{' b': -9.0694, ' A': -5.038006, ' B': -0.0068035806, ' "': -9.309352, " '": -10.436121}
{' b': -9.26755, ' A': -6.4307113, ' B': -0.0018324514, ' "': -9.783076, " '": -10.480031}
{' b': -9.196233, ' A': -6.0102882, ' B': -0.0026863113, ' "': -9.823709, " '": -10.529658}
{' b': -9.258012, ' A': -6.1941524, ' B': -0.002250357, ' "': -9.928108, " '": -10.699309}
{' b': -9.345146, ' A': -6.2060275, ' B': -0.0022241923, ' "': -9.876797, " '": -10.624575}
{' b': -9.386623, ' A': -6.4640627, ' B': -0.0017711256, ' "': -9.732862, " '": -10.47637}
{' b': -9.55957, ' A': -6.556428, ' B': -0.0016016805, ' "': -9.913072, " '": -10.67151}
{' b': -9.341889, ' A': -5.1778994, ' B': -0.005917901, ' "': -9.417108, " '": -10.341266}
{' b': -9.226498, ' A': -4.389137, 'B': -10.555491, ' B': -0.012750296, ' "': -9.591199}
{' b': -9.238794, ' A': -4.445282, 'B': -10.466751, ' B': -0.012060204, ' "': -9.657049}
{' b': -9.189521, ' A': -3.9445212, 'B': -10.46505, ' B': -0.019812016, ' "': -9.674112}
{' b': -9.35933, ' A': -3.8485808, 'B': -10.464539, ' B': -0.02177587, ' "': -9.769158}
{' b': -9.562396, ' A': -4.4416037, ' B': -0.012086087, ' "': -9.460173, " '": -10.394734}
{' b': -9.246968, ' A': -3.973386, 'B': -10.397263, ' B': -0.019254174, ' "': -9.673119}
{' B': -0.019570803, ' A': -3.9563305, ' b': -9.280334, ' "': -9.701718, 'B': -10.443379}
{' b': -9.361632, ' A': -3.843987, 'B': -10.453787, ' B': -0.021874318, ' "': -9.825085}
{' b': -9.227982, ' A': -4.0880356, 'B': -10.485965, ' B': -0.0171684, ' "': -9.683242}
{' b': -9.547678, ' A': -4.08439, ' B': -0.017196171, ' "': -9.668397, " '": -10.55497}
{' b': -9.347312, ' A': -4.1097393, 'B': -10.530366, ' B': -0.016780825, ' "': -9.764466}
{' B': -0.013803271, ' A': -4.3064895, ' b': -9.358399, ' "': -9.766024, 'B': -10.481206}
{' b': -9.344736, ' A': -3.997221, 'B': -10.458723, ' B': -0.018774137, ' "': -9.780988}
{' b': -9.3378315, ' A': -3.7400773, 'B': -10.477777, ' B': -0.024283946, ' "': -9.791923}
{' b': -9.675132, ' A': -5.05569, ' B': -0.0065984824, ' "': -9.670722, " '": -10.5354185}
{' B': -0.020102426, ' A': -3.9275937, ' b': -9.481698, ' "': -9.857252, 'B': -10.562488}
{' b': -9.411216, ' A': -3.9795742, 'B': -10.52602, ' B': -0.019100394, ' "': -9.796497}
{' b': -9.337875, ' A': -4.03265, 'B': -10.478514, ' B': -0.018127888, ' "': -9.745659}
{' b': -9.297713, ' A': -3.8485172, 'B': -10.474043, ' B': -0.021792013, ' "': -9.690321}
{' B': -0.015596953, ' A': -4.1843667, ' b': -9.439439, ' "': -9.4854355, " '": -10.377375}
{' B': -0.012576566, ' A': -4.4038043, ' b': -9.083004, ' "': -9.675277, 'B': -10.440786}
{' b': -9.366574, ' A': -4.6890106, 'B': -10.51992, ' B': -0.009471986, ' "': -9.68319}
{' b': -9.421073, ' A': -4.416776, ' B': -0.012387961, ' "': -9.554102, " '": -10.453727}
{' b': -9.450356, ' A': -4.838995, 'B': -10.538799, ' B': -0.0081580365, ' "': -9.802099}
{' B': -0.004530399, ' A': -5.4561906, ' "': -9.388715, ' b': -9.456752, " '": -10.262882}
{' b': -9.41958, ' A': -4.9809656, 'B': -10.559844, ' B': -0.0071098036, ' "': -9.784703}
{' b': -9.397204, ' A': -5.064925, ' B': -0.0065571424, ' "': -9.690816, " '": -10.567374}
{' B': -0.0052973432, ' A': -5.283755, ' b': -9.421787, ' "': -9.794366, 'B': -10.611544}
{' b': -9.361293, ' A': -4.940745, 'B': -10.565838, ' B': -0.0074012913, ' "': -9.727565}
{' b': -9.443803, ' A': -5.499769, ' B': -0.0043185214, ' "': -9.592069, " '": -10.461527}
{' b': -9.373302, ' A': -5.509911, ' B': -0.0042827222, ' "': -9.646032, " '": -10.546076}
{' b': -9.267155, ' A': -5.207686, 'B': -10.633074, ' B': -0.0057225768, ' "': -9.683335}
{' b': -9.551625, ' A': -5.445623, ' B': -0.0045183054, ' "': -9.81491, " '": -10.703249}
{' B': -0.0016904599, ' A': -6.510456, ' "': -9.592199, ' b': -9.686766, " '": -10.445896}
{' b': -9.701563, ' A': -6.230386, ' B': -0.0021755674, ' "': -9.573994, " '": -10.422794}
{' b': -8.854954, ' A': -5.808585, 'B': -10.522549, ' B': -0.0033087821, ' "': -9.381828}
{' B': -0.0047375923, ' A': -5.421058, ' b': -8.796681, ' "': -9.448005, 'B': -10.497578}
{' b': -8.674608, ' A': -5.494705, 'B': -10.4065895, ' B': -0.0044423277, ' "': -9.452814}
{' b': -8.69327, ' A': -4.8794436, 'B': -10.3775835, ' B': -0.007966719, ' "': -9.407019}
{' b': -8.802959, ' A': -5.1083407, 'B': -10.416474, ' B': -0.006370209, ' "': -9.467162}
{' b': -8.892997, ' A': -5.4942484, 'B': -10.487237, ' B': -0.0044112536, ' "': -9.463302}
{' B': -0.0061960877, ' A': -5.138087, ' b': -8.787374, ' "': -9.495633, 'B': -10.34544}
{' b': -8.576001, ' A': -5.832439, 'B': -10.450651, ' B': -0.0032993958, ' "': -9.277183}
{' B': -0.0041083037, ' A': -5.569744, ' b': -8.816003, ' "': -9.560906, 'B': -10.482789}
{' b': -8.654846, ' A': -5.5618973, 'B': -10.392733, ' B': -0.0041907206, ' "': -9.333797}
{' b': -8.82096, ' A': -5.5631075, 'B': -10.584357, ' B': -0.00414739, ' "': -9.386616}
{' b': -8.79813, ' A': -6.2835426, 'B': -10.543301, ' B': -0.0021748494, ' "': -9.381812}
{' b': -8.888703, ' A': -6.3336215, 'B': -10.581684, ' B': -0.0020731278, ' "': -9.332568}
{' b': -8.810487, ' A': -6.193979, 'B': -10.5492935, ' B': -0.0023382383, ' "': -9.471867}
{' b': -8.886433, ' A': -5.852233, 'B': -10.599989, ' B': -0.0031650881, ' "': -9.48986}
{' b': -8.865372, ' A': -6.286494, 'B': -10.59909, ' B': -0.002167802, ' "': -9.299109}
{' B': -0.0033327634, ' A': -5.7863793, ' b': -8.966314, ' "': -9.617016, 'B': -10.614179}
{' b': -8.928047, ' A': -5.700439, 'B': -10.594494, ' B': -0.0036296162, ' "': -9.452807}
{' b': -8.826917, ' A': -6.027208, 'B': -10.569102, ' B': -0.0027008338, ' "': -9.535079}
{' b': -8.823065, ' A': -5.7372093, 'B': -10.544987, ' B': -0.003517995, ' "': -9.521456}
{' b': -8.809984, ' A': -5.7015676, 'B': -10.637745, ' B': -0.0036501952, ' "': -9.372602}
{' b': -8.810933, ' A': -6.1796947, 'B': -10.552856, ' B': -0.0023685894, ' "': -9.460729}
{' b': -8.843375, ' A': -6.73457, 'B': -10.617362, ' B': -0.0014717197, ' "': -9.500112}
{' b': -8.855116, ' A': -6.519253, 'B': -10.603194, ' B': -0.0017666473, ' "': -9.418415}
{' b': -8.916651, ' A': -6.879711, 'B': -10.642388, ' B': -0.0012994632, ' "': -9.530292}
{' b': -8.867671, ' A': -6.3381886, 'B': -10.649022, ' B': -0.0020649438, ' "': -9.408545}
{' b': -8.829743, ' A': -6.891581, 'B': -10.597739, ' B': -0.001320413, ' "': -9.378471}
{' b': -8.840487, ' A': -7.1287174, 'B': -10.671107, ' B': -0.0010892844, ' "': -9.431788}
{' B': -0.0012370355, ' A': -6.96144, ' b': -8.869097, ' "': -9.393514, 'B': -10.643808}
{' b': -8.700837, ' A': -6.8484726, 'B': -10.608115, ' B': -0.0013794418, ' "': -9.42097}
{' b': -8.716824, ' A': -6.917595, 'B': -10.667444, ' B': -0.0013010148, ' "': -9.427854}
{' b': -8.67318, ' A': -7.3282194, 'B': -10.594392, ' B': -0.0009973361, ' "': -9.261093}
{' B': -0.0013519244, ' A': -6.888843, ' b': -8.672772, ' "': -9.304191, 'B': -10.624399}
{' b': -8.768464, ' A': -7.196226, 'B': -10.653905, ' B': -0.0010727547, ' "': -9.227586}
{' B': -0.0008276665, ' A': -7.58011, ' b': -8.815514, ' "': -9.246686, " '": -10.634426}
{' B': -0.0008365564, ' A': -7.4870076, ' b': -8.942096, ' "': -9.441121, " '": -10.705806}
{' b': -9.15307, ' A': -5.3082147, ' B': -0.0052745715, ' "': -9.151084, " '": -10.189799}
{' b': -8.98477, ' A': -5.02914, ' B': -0.006877636, ' "': -9.338186, " '": -10.338246}
{' b': -8.867919, ' A': -4.7277565, ' B': -0.009212559, ' "': -9.341, " '": -10.370775}
{' b': -8.810369, ' A': -4.3352656, 'B': -10.346804, ' B': -0.0135322055, ' "': -9.291023}
{' b': -8.933523, ' A': -4.8727775, 'B': -10.413318, ' B': -0.007997001, ' "': -9.303721}
{' B': -0.006384906, ' A': -5.104724, ' "': -9.082302, ' b': -9.342661, " '": -10.233271}
{' b': -8.816216, ' A': -4.6541424, 'B': -10.322798, ' B': -0.009914709, ' "': -9.276938}
{' b': -8.940909, ' A': -4.779942, 'B': -10.394058, ' B': -0.0087458575, ' "': -9.312407}
{' b': -8.812098, ' A': -4.6903706, ' B': -0.009563512, ' "': -9.317118, " '": -10.380691}
{' b': -8.79645, ' A': -4.8011436, ' B': -0.008606308, ' "': -9.223261, " '": -10.299644}
{' b': -9.17366, ' A': -4.875031, ' B': -0.007952302, ' "': -9.244948, " '": -10.409427}
{' b': -8.804082, ' A': -4.9459095, ' B': -0.0074920263, ' "': -9.198268, " '": -10.276682}
{' b': -9.066157, ' A': -5.532191, ' B': -0.0042674, ' "': -9.290171, " '": -10.233021}
{' b': -8.925582, ' A': -5.071884, ' B': -0.0066146795, ' "': -9.322779, " '": -10.239553}
{' b': -8.963461, ' A': -4.7852902, ' B': -0.008706171, ' "': -9.317891, " '": -10.269641}
{' b': -9.396513, ' A': -5.9986577, ' B': -0.0027395645, ' "': -9.326625, " '": -10.373862}
{' b': -9.047007, ' A': -5.0905952, ' B': -0.006477411, ' "': -9.312846, " '": -10.255426}
{' b': -8.944912, ' A': -4.8306456, ' B': -0.008330519, ' "': -9.334188, " '": -10.29797}
{' b': -9.084211, ' A': -5.1392097, ' B': -0.0061667007, ' "': -9.392626, " '": -10.382148}
{' b': -8.867326, ' A': -4.6671658, ' B': -0.009779092, ' "': -9.3202305, " '": -10.208198}
{' b': -9.20716, ' A': -4.8627977, ' B': -0.00806538, ' "': -9.167179, " '": -10.080296}
{' b': -8.8103895, ' A': -4.97147, ' B': -0.007292071, ' "': -9.32966, " '": -10.378273}
{' b': -8.961999, ' A': -5.456125, ' B': -0.004592432, ' "': -9.256643, " '": -10.333869}
{' b': -9.071654, ' A': -5.5969076, ' B': -0.0040237997, ' "': -9.160043, " '": -10.341934}
{' b': -9.081807, ' A': -5.7709584, ' B': -0.0034286326, ' "': -9.242198, " '": -10.196727}
{' b': -9.232429, ' A': -6.017705, ' B': -0.002753249, ' "': -9.0754795, " '": -10.0149355}
{' b': -9.060936, ' A': -5.924282, ' B': -0.0029836292, ' "': -9.274838, " '": -10.215544}
{' b': -9.034084, ' A': -5.759089, ' B': -0.0034797138, ' "': -9.179727, " '": -10.154867}
{' B': -0.0025054794, ' A': -6.117671, ' b': -9.108686, ' "': -9.176566, " '": -10.388463}
{' b': -9.057726, ' A': -6.094695, ' B': -0.0025652947, ' "': -9.280485, " '": -10.13683}
{' b': -9.171052, ' A': -6.382696, ' B': -0.0020034255, ' "': -9.095831, " '": -10.049785}
{' b': -8.965154, ' A': -6.3519917, ' B': -0.0020743217, ' "': -9.216236, " '": -10.061292}
{' b': -9.001545, ' A': -5.9992833, ' B': -0.0027948518, ' "': -9.19888, " '": -10.2979355}
{' b': -9.132694, ' A': -6.1058917, ' B': -0.002525435, ' "': -9.29264, " '": -10.180344}
{' b': -9.288776, ' A': -6.769303, ' B': -0.0014678984, ' "': -8.946523, " '": -9.98426}
{' b': -9.379076, ' A': -6.530386, ' B': -0.0017648564, ' "': -9.009794, " '": -9.958178}
{' b': -9.288015, ' A': -6.1100903, 'B': -10.66265, ' B': -0.0024568366, ' "': -9.5478115}
{' b': -9.030445, ' A': -5.8458805, 'B': -10.607876, ' B': -0.0031584508, ' "': -9.519552}
{' b': -9.020832, ' A': -5.79425, 'B': -10.604985, ' B': -0.0033012494, ' "': -9.664766}
{' b': -9.061514, ' A': -4.873094, 'B': -10.5634165, ' B': -0.007930433, ' "': -9.642545}
{' B': -0.005202669, ' A': -5.3053584, ' b': -9.2228, ' "': -9.717664, 'B': -10.593009}
{' b': -9.422892, ' A': -5.965441, 'B': -10.662079, ' B': -0.002791146, ' "': -9.541774}
{' b': -9.26099, ' A': -5.8628063, 'B': -10.644208, ' B': -0.0030481378, ' "': -9.989048}
{' b': -9.195358, ' A': -5.731055, 'B': -10.582466, ' B': -0.0034741506, ' "': -9.807373}
{' b': -9.29473, ' A': -5.624492, 'B': -10.6552925, ' B': -0.0038065852, ' "': -10.076294}
{' b': -9.079955, ' A': -5.5383554, 'B': -10.596467, ' B': -0.0041757575, ' "': -9.776914}
{' b': -9.418584, ' A': -4.9741035, 'B': -10.710164, ' B': -0.007142943, ' "': -9.694184}
{' b': -9.26689, ' A': -6.2107635, 'B': -10.705183, ' B': -0.0022070478, ' "': -9.969733}
{' b': -9.334067, ' A': -6.0517974, 'B': -10.721224, ' B': -0.0025477842, ' "': -9.904776}
{' b': -9.003523, ' A': -5.8668404, 'B': -10.585943, ' B': -0.0031038, ' "': -9.51601}
{' b': -9.298109, ' A': -5.388988, 'B': -10.710992, ' B': -0.004796643, ' "': -9.707222}
{' b': -9.507062, ' A': -6.138113, 'B': -10.825672, ' B': -0.0023514421, ' "': -9.74216}
{' b': -9.445692, ' A': -6.227518, 'B': -10.814261, ' B': -0.0021551978, ' "': -9.965727}
{' b': -9.265092, ' A': -5.4583564, 'B': -10.661727, ' B': -0.0044762725, ' "': -9.885579}
{' b': -9.319936, ' A': -6.031255, 'B': -10.72131, ' B': -0.002595831, ' "': -9.996903}
{' b': -9.208925, ' A': -5.4434133, 'B': -10.63988, ' B': -0.0045515364, ' "': -9.822408}
{' b': -9.332032, ' A': -5.370353, 'B': -10.731083, ' B': -0.0048824116, ' "': -9.608512}
{' b': -9.237557, ' A': -6.1952252, 'B': -10.716204, ' B': -0.002249163, ' "': -9.892527}
{' b': -9.377378, ' A': -7.217833, 'B': -10.790795, ' B': -0.00092568324, ' "': -9.852929}
{' b': -9.318283, ' A': -6.663008, 'B': -10.743371, ' B': -0.0014809737, ' "': -9.791587}
{' b': -9.489744, ' A': -7.331644, 'B': -10.816007, ' B': -0.0008304121, ' "': -9.945955}
{' B': -0.0020727692, ' A': -6.2921586, ' b': -9.318816, ' "': -9.558731, 'B': -10.8578615}
{' b': -9.439324, ' A': -7.565755, 'B': -10.825795, ' B': -0.0007106937, ' "': -9.79526}
{' b': -9.25559, ' A': -7.4027624, 'B': -10.819139, ' B': -0.0008199123, ' "': -9.730367}
{' b': -9.4120035, ' A': -7.781824, 'B': -10.895126, ' B': -0.0006028587, ' "': -9.883838}
{' b': -9.144606, ' A': -7.125828, 'B': -10.757785, ' B': -0.0010436969, ' "': -9.521898}
{' b': -9.307697, ' A': -7.026491, 'B': -10.809887, ' B': -0.0010947746, ' "': -9.696474}
{' b': -9.189024, ' A': -7.438384, 'B': -10.777126, ' B': -0.00080237177, ' "': -9.783993}
{' b': -9.166608, ' A': -7.3136873, 'B': -10.79147, ' B': -0.00089567545, ' "': -9.576349}
{' B': -0.00074546697, ' A': -7.4947486, ' b': -9.440586, ' "': -9.791688, 'B': -10.801048}
{' b': -9.494977, ' A': -8.116179, ' B': -0.000498966, ' "': -9.592564, " '": -10.893176}
{' b': -9.382473, ' A': -6.94602, 'B': -10.884646, ' B': -0.0011676336, ' "': -9.659274}
{' b': -9.289526, ' A': -5.9946647, ' B': -0.002752054, ' "': -9.424117, " '": -10.388384}
{' b': -9.116892, ' A': -5.203947, 'B': -10.592749, ' B': -0.005773531, ' "': -9.54865}
{' b': -9.000149, ' A': -5.388803, 'B': -10.590323, ' B': -0.004846114, ' "': -9.5994625}
{' b': -8.979717, ' A': -4.914301, 'B': -10.512416, ' B': -0.00765244, ' "': -9.505325}
{' b': -9.195224, ' A': -4.8851585, 'B': -10.564474, ' B': -0.00782964, ' "': -9.650912}
{' b': -9.426132, ' A': -5.285176, ' B': -0.0053298203, ' "': -9.386744, " '": -10.371745}
{' b': -9.091986, ' A': -5.3018403, 'B': -10.48873, ' B': -0.005259353, ' "': -9.586226}
{' b': -9.071442, ' A': -5.376425, 'B': -10.53616, ' B': -0.004892535, ' "': -9.622707}
{' b': -9.098585, ' A': -5.232327, 'B': -10.51887, ' B': -0.0056083235, ' "': -9.647991}
{' B': -0.0048131743, ' A': -5.3977113, ' b': -8.977477, ' "': -9.549595, 'B': -10.5457945}
{' b': -9.532575, ' A': -5.147169, ' B': -0.006050239, ' "': -9.577316, " '": -10.574151}
{' B': -0.004634709, ' A': -5.4311633, ' b': -9.164968, ' "': -9.65056, 'B': -10.581426}
