{':': -4.013479, ' 1': -3.0032432, ' odd': -0.8996038, ' 0': -2.3386698, ' even': -1.0329771}
{' Odd': -2.5866604, ' Even': -4.588437, ' O': -5.0194407, ' odd': -0.5120183, ' even': -1.2877303}
{' ': -4.24692, ' Even': -4.463992, ' odd': -2.6856704, ' 0': -4.110574, ' even': -0.1521144}
{' Odd': -4.120112, ' 1': -5.523274, ' odd': -0.24702214, ' 0': -5.4203997, ' even': -1.7186121}
{' Odd': -4.143344, ' 1': -3.2037325, ' odd': -0.9306812, ' 0': -2.1265326, ' even': -1.0195608}
{':': -4.447759, ' Even': -4.1216893, ' odd': -3.6894317, ' 0': -4.570665, ' even': -0.08851026}
{' Odd': -2.8009548, ':': -4.407605, ' odd': -0.48414335, ' 0': -4.2107687, ' even': -1.51367}
{' even': -0.1389953, ' 0': -2.7972717, ':': -4.381671, ' Even': -4.5014677, ' odd': -4.737586}
{' Odd': -2.7748191, ' 1': -3.759255, ' odd': -0.4715078, ' 0': -2.930159, ' even': -1.5996748}
{' even': -0.14913851, ' odd': -2.900343, ' Even': -3.6686153, ':': -4.0918307, ' 0': -4.7073402}
{' Odd': -2.771909, ' Even': -4.7965345, ' O': -5.4930086, ' odd': -0.550318, ' even': -1.1273148}
{' ': -4.260267, ':': -4.548429, ' odd': -3.1067946, ' 0': -3.663468, ' even': -0.13489692}
{' Odd': -2.8421297, ' 1': -5.05657, ' odd': -0.20783257, ' 0': -4.445852, ' even': -2.401657}
{':': -3.329548, ' 1': -2.7243564, ' odd': -0.9851855, ' 0': -1.9042767, ' even': -1.2232703}
{' ': -4.490877, ':': -3.4166958, ' Even': -4.362947, ' 0': -1.7834495, ' even': -0.32299545}
{' Odd': -3.3102455, ' 1': -4.002529, ' odd': -0.23431315, ' 0': -3.142807, ' even': -2.4994106}
{':': -4.494382, ' 4': -4.456881, ' 0': -0.606531, ' zero': -4.259299, ' even': -0.97712314}
{' Odd': -3.73665, ' 1': -4.2808833, ' odd': -0.41945234, ' 0': -3.2992997, ' even': -1.3967911}
{':': -4.978295, ' Even': -3.9836707, ' odd': -3.4855456, ' 0': -3.8237596, ' even': -0.1056668}
{' even': -0.7680907, ' odd': -0.8075548, ' Odd': -3.5941803, ' 0': -4.3646865, ':': -4.4105687}
{' ': -4.6275024, ' Even': -4.1733007, ' odd': -3.014045, ' 0': -4.98429, ' even': -0.11219919}
{' odd': -0.1916147, ' even': -2.5020213, ' Odd': -3.0128636, ' 0': -4.3408647, ' 1': -4.796839}
{' even': -1.0373198, ' odd': -1.0716653, ' 0': -1.9120088, ' 1': -2.941971, ' Odd': -3.8653188}
{' even': -0.109377876, ' odd': -3.7358358, ' 0': -3.9190233, ' Even': -3.9700031, ':': -4.3257523}
{' odd': -0.26539555, ' even': -2.2076876, ' Odd': -3.0151653, ' 1': -3.9693823, ' 0': -4.130518}
{':': -4.223441, ' Even': -4.337515, ' odd': -4.081449, ' 0': -2.9818408, ' even': -0.14401619}
{' odd': -0.49987802, ' even': -1.2454501, ' Odd': -3.1338701, ' 0': -3.6925914, ' 1': -4.6953964}
{' even': -0.06724066, ' odd': -3.53893, ' Even': -4.524988, ':': -5.0981803, ' 0': -5.600753}
{' Odd': -3.4815855, ' not': -4.697483, ' odd': -0.5578778, ' 0': -3.7305927, ' even': -1.1319143}
{' Even': -4.2023606, ' "': -5.485964, ' odd': -3.0773745, ' 0': -4.3784285, ' even': -0.10909585}
{' Odd': -4.093587, ' 1': -5.32399, ' odd': -0.14427559, ' 0': -4.5975494, ' even': -2.4019144}
{' Odd': -3.4565122, ' 1': -3.358833, ' odd': -0.76837033, ' 0': -2.4729602, ' even': -1.1797911}
{':': -3.9495003, ' Even': -4.043485, ' odd': -4.3296113, ' 0': -4.3084693, ' even': -0.093116276}
{' Odd': -3.5018513, ' 1': -4.187512, ' odd': -0.25149673, ' 0': -4.1922965, ' even': -2.1428301}
{':': -4.39719, ' Even': -4.329709, ' odd': -4.362773, ' 0': -3.2101412, ' even': -0.11849436}
{' odd': -0.5706031, ' even': -1.0616024, ' 0': -3.8359828, ' Odd': -3.9161553, ' 1': -4.8009534}
{':': -4.353732, ' Even': -3.6321561, ' odd': -2.7239711, ' 0': -3.1197097, ' even': -0.21292952}
{' Odd': -3.082799, ' Even': -5.3178368, ' odd': -0.38933948, ' 0': -4.6266747, ' even': -1.4713384}
{' even': -0.101990364, ' odd': -3.3166242, ' 0': -4.070591, ' Even': -4.6518703, ':': -4.969214}
{' Odd': -3.504591, ' 1': -5.1008873, ' odd': -0.3315946, ' 0': -3.8621423, ' even': -1.5941163}
{' Odd': -3.7749312, ' 1': -3.0255225, ' odd': -0.9835105, ' 0': -2.314962, ' even': -0.9764428}
{':': -4.2284484, ' Even': -4.4759407, ' EVEN': -4.7733526, ' 0': -3.267378, ' even': -0.09796462}
{' Odd': -2.7460585, ' 1': -4.049446, ' odd': -0.3567707, ' 0': -3.8456366, ' even': -1.9440806}
{':': -4.502232, ' Even': -3.6209767, ' odd': -3.6396031, ' 0': -2.4055145, ' even': -0.22801656}
{' odd': -0.4072531, ' even': -1.9049127, ' Odd': -2.6586766, ' 0': -2.9533591, ' 1': -3.2896857}
{' even': -0.088946395, ' odd': -3.800874, ' Even': -3.977043, ' 0': -4.096458, ':': -5.0139174}
{' Odd': -4.056446, ':': -5.2378545, ' odd': -0.43539536, ' 0': -5.3806777, ' even': -1.1859161}
{' ': -4.4199452, ':': -4.3566422, ' Even': -4.010156, ' odd': -2.813801, ' even': -0.14583829}
{' Odd': -3.5284111, ' 1': -5.1002655, ' odd': -0.18471473, ' 0': -4.259658, ' even': -2.2925894}
{' odd': -0.9860869, ' even': -1.1371995, ' 0': -1.9802141, ' 1': -2.7708168, ':': -3.5264366}
{' even': -0.078927785, ' 0': -3.7172005, ' Even': -4.03625, ':': -4.5472245, ' EVEN': -4.9631996}
{' Odd': -2.8881812, ' 1': -4.090104, ' odd': -0.29494733, ' 0': -4.0895953, ' even': -2.1143746}
{' even': -0.15838584, ' 0': -2.77868, ' Even': -3.7670836, ' odd': -4.1585956, ':': -4.9241633}
{' odd': -0.5065332, ' even': -1.210303, ' Odd': -3.2170975, ' 0': -3.9295847, ' 1': -4.5443606}
{' even': -0.07853532, ' odd': -3.8077927, ' Even': -3.960184, ':': -4.727689, ' EVEN': -5.2249565}
{' Odd': -3.437547, ' ': -5.2442436, ':': -4.3900657, ' odd': -0.51052123, ' even': -1.1146158}
{' ': -4.7903137, ' Even': -4.8250885, ' odd': -3.8838587, ' 0': -3.463254, ' even': -0.10295523}
{' odd': -0.10950515, ' even': -3.1880333, ' Odd': -3.5106404, ' 1': -4.6504827, ' 0': -4.696234}
{' Odd': -4.0684896, ' 1': -3.5621047, ' odd': -0.8827577, ' 0': -2.4167829, ' even': -0.94461215}
{':': -2.6764665, ' Even': -3.8579316, ' odd': -3.518043, ' 0': -2.8013263, ' even': -0.28288037}
{' odd': -0.25330088, ' even': -2.2164497, ' Odd': -3.4383068, ' 0': -3.7418406, ' 1': -4.2723227}
{' even': -0.28350505, ' 0': -1.877504, ':': -3.9015527, ' odd': -4.114424, ' Even': -4.4757676}
{' Odd': -2.9632235, ' 1': -4.054952, ' odd': -0.35770884, ' 0': -3.2755194, ' even': -1.7751901}
{':': -4.2202744, ' Even': -3.6250603, ' odd': -2.757962, ' 0': -2.782623, ' even': -0.23729202}
{' Odd': -3.066294, ':': -3.974129, ' odd': -0.83601034, ' 0': -4.1229978, ' even': -0.82257783}
{' Even': -4.4890575, ' "': -4.8931694, ' odd': -2.9709332, ' 0': -3.0387332, ' even': -0.16873479}
{' odd': -0.13348264, ' even': -3.2028728, ' Odd': -3.601041, ' 0': -3.7714303, ' 1': -4.0488944}
{' odd': -0.98259264, ' even': -0.99294484, ' 0': -2.1889095, ' 1': -3.1336935, ':': -3.9989033}
{':': -3.8046424, ' Even': -3.8933258, ' odd': -3.8380992, ' 0': -4.6046276, ' even': -0.10891997}
{' Odd': -3.2333403, ':': -4.276017, ' odd': -0.29300505, ' 0': -3.8059547, ' even': -2.1235485}
{' even': -0.13430835, ' 0': -3.1255095, ':': -4.0154924, ' odd': -4.286096, ' Even': -4.4133315}
{' odd': -0.60979295, ' even': -1.0027497, ' Odd': -3.409772, ' 0': -4.0839033, ' Even': -4.5546484}
{':': -4.6600313, ' Even': -4.296832, ' odd': -3.3539867, ' 0': -3.3970954, ' even': -0.12552178}
{' odd': -0.38153455, ' even': -1.6483907, ' Odd': -2.5864422, ' 0': -4.7419314, ' Even': -4.922269}
{' ': -5.4892673, ' Even': -4.5640664, ' odd': -2.2290058, ' 0': -4.4276876, ' even': -0.1694977}
{' Odd': -3.344203, ' 1': -3.877835, ' odd': -0.18058313, ' 0': -3.5793056, ' even': -2.8171225}
{' odd': -0.8667568, ' even': -1.1104206, ' 0': -2.3107705, ' 1': -3.2719977, ' Odd': -3.4900181}
{':': -3.5759432, ' Even': -3.930139, ' EVEN': -4.5459137, ' 0': -3.4625726, ' even': -0.12033611}
{' odd': -0.35650426, ' even': -1.4999425, ' Odd': -3.6603067, ' 0': -4.367309, ':': -4.9955964}
{' even': -0.1552282, ' 0': -2.7630327, ' Even': -4.1025686, ' odd': -4.1995354, ':': -4.4582086}
{' Odd': -4.324363, ':': -4.81093, ' Even': -4.712038, ' odd': -1.0537412, ' even': -0.5233284}
{' even': -0.07474671, ' odd': -3.5012686, ' Even': -4.7758813, ':': -4.910952, ' 0': -4.9383626}
{' odd': -0.58770174, ' even': -0.93308145, ' Odd': -3.9826734, ':': -5.042839, ' 0': -5.3341565}
{' even': -0.15112025, ' odd': -2.5774946, ' Even': -4.4195604, ' ': -4.4373198, ' 0': -4.550152}
{' odd': -0.2789686, ' even': -1.8999794, ' Odd': -3.2029474, ' 0': -4.123019, ' 1': -4.5560026}
{' even': -0.96273965, ' odd': -1.4089171, ' 0': -1.8594387, ':': -2.7999778, ' 1': -2.870648}
{':': -4.109794, ' Even': -4.2156434, ' EVEN': -4.872475, ' 0': -3.9177928, ' even': -0.07786726}
{' odd': -0.45411053, ' even': -1.3013881, ' Odd': -3.5387156, ':': -4.553083, ' Even': -4.728754}
{':': -4.541622, ' Even': -4.1704435, ' odd': -4.2053037, ' 0': -2.0370376, ' even': -0.24827659}
{' Odd': -4.03664, ':': -4.7398453, ' Even': -4.619837, ' odd': -0.9347326, ' even': -0.6106275}
{':': -5.2512827, ' Even': -4.438342, ' odd': -3.9275572, ' 0': -4.5179873, ' even': -0.06564282}
{' Odd': -3.6268804, ' 1': -5.419998, ' odd': -0.25056276, ' 0': -4.584656, ' even': -1.8155175}
{':': -4.8888664, ' Even': -4.5817494, ' odd': -3.4336874, ' 0': -4.265105, ' even': -0.09261279}
{' Odd': -4.1334157, ' ': -5.6989174, ':': -5.433896, ' odd': -0.37627652, ' even': -1.2857404}
{' odd': -1.1620893, ' 0': -1.2912492, ' 1': -1.5652903, ' even': -2.2179744, ':': -3.3494203}
{' even': -0.057374686, ' 0': -4.0057287, ' Even': -4.3960004, ':': -4.954043, ' EVEN': -5.457568}
{' Odd': -2.8634207, ':': -3.8954117, ' odd': -0.39088395, ' 0': -4.149421, ' even': -1.7665124}
{' even': -0.277451, ' 0': -2.1034532, ' Even': -3.7658172, ':': -3.8782678, ' EVEN': -4.1176662}
{' Odd': -3.6273303, ':': -4.1554904, ' odd': -0.93369347, ' even': -0.7090746, ' right': -4.0758824}
{':': -4.786497, ' Even': -4.2092004, ' odd': -2.9381952, ' 0': -3.4999056, ' even': -0.14566527}
{' odd': -0.67779404, ' even': -1.0416523, ' Odd': -3.0233767, ':': -3.3880885, ' Even': -4.6518674}
{' even': -0.07166942, ' 0': -3.8736663, ' odd': -4.319987, ' ': -4.724343, ':': -5.280828}
{' odd': -0.19679375, ' even': -2.0046294, ' Odd': -3.9168434, ' 0': -5.2968006, ' ': -5.555376}
{' odd': -1.1284043, ' even': -1.2702385, ' 0': -1.7813954, ' 1': -2.4881017, ':': -3.113859}
{' even': -0.06800411, ' 0': -3.5448213, ' Even': -4.7037992, ':': -4.959894, ' EVEN': -5.3945518}
{' odd': -0.39707783, ' even': -1.4236766, ' Odd': -3.5099642, ' 0': -4.139221, ':': -4.9909496}
{':': -4.1275997, ' Even': -4.052123, ' odd': -4.191283, ' 0': -2.62992, ' even': -0.18396099}
{' Odd': -3.0871644, ' 1': -3.6047301, ' odd': -0.40968305, ' 0': -2.8903632, ' even': -1.7177054}
{':': -5.2394824, ' Even': -4.15592, ' odd': -3.853525, ' 0': -4.7261806, ' even': -0.06864729}
{' Odd': -3.6920626, ':': -4.7672954, ' odd': -0.42469272, ' 0': -5.830382, ' even': -1.2313619}
{' ': -5.013957, ':': -4.773305, ' Even': -3.2889066, ' odd': -2.7118404, ' even': -0.15883428}
{' Odd': -3.2081544, ' 1': -5.1258664, ' odd': -0.2115772, ' 0': -4.2279468, ' even': -2.1973226}
{':': -3.6359022, ' 1': -2.905633, ' odd': -0.9283809, ' 0': -2.217038, ' even': -1.0646924}
{' even': -0.19688548, ' 0': -2.6169722, ':': -3.5823636, ' Even': -3.9123366, ' EVEN': -4.1654572}
{' Odd': -3.2634022, ' 1': -4.389372, ' odd': -0.30790627, ' 0': -3.3664293, ' even': -1.9403001}
{':': -5.059144, ' Even': -4.232107, ' odd': -4.9993706, ' 0': -3.7396228, ' even': -0.07853112}
{' Odd': -3.5525455, ':': -4.2162952, ' odd': -0.78375167, ' even': -0.82596695, ' right': -4.2745714}
{':': -5.3574414, ' Even': -4.3766065, ' odd': -3.898952, ' 0': -4.5244284, ' even': -0.06626562}
