{' odd': -1.1430392, ' even': -1.5204941, ' 0': -1.5531594, ' 1': -1.6788993, ':': -4.5269637}
{' ': -4.472285, ' Even': -4.5450635, ' odd': -3.53477, ' 0': -2.5847738, ' even': -0.17301542}
{' Odd': -3.7585344, ' 1': -4.296419, ' odd': -0.21882479, ' 0': -3.8803437, ' even': -2.0793567}
{' 0': -1.0161101, ' odd': -1.537357, ' 1': -1.5422025, ' even': -2.0878913, ':': -3.9207356}
{' even': -0.726522, ' 0': -1.018684, ' 1': -3.2113671, ':': -3.4385102, ' odd': -3.9639888}
{' Odd': -3.4856367, ' 1': -3.8401566, ' odd': -0.20734712, ' 0': -3.0945437, ' even': -2.8085127}
{' even': -0.34362197, ' 0': -1.5383366, ' odd': -3.865267, ' Even': -4.772818, ' zero': -4.7890067}
{' odd': -0.1872402, ' even': -2.1519752, ' Odd': -3.8997207, ' 0': -4.2547183, ' 1': -4.9935346}
{' even': -0.2510102, ' odd': -2.3159106, ' 0': -2.6497376, ' Even': -4.4513445, ' Odd': -4.87456}
{' odd': -0.41913852, ' even': -1.3632666, ' Odd': -3.134933, ' 0': -4.2065654, ' Even': -5.461107}
{':': -5.114988, ' Even': -4.0977793, ' odd': -3.5789263, ' 0': -4.2395396, ' even': -0.08924248}
{' odd': -0.1399821, ' even': -3.0021973, ' Odd': -3.3684003, ' 1': -3.8865008, ' 0': -4.210008}
{':': -3.221932, ' 1': -0.83863705, ' odd': -2.0685537, ' 0': -1.3073432, ' even': -2.675017}
{' 1': -3.8129005, ' odd': -3.4246063, ' 0': -1.531565, ' zero': -4.0140333, ' even': -0.42998338}
{' Odd': -2.9919086, ' 1': -4.8470664, ' odd': -0.12981847, ' 0': -4.1123214, ' even': -3.6835825}
{' even': -0.41021156, ' 0': -1.9669361, ' odd': -2.0863512, ' 1': -4.346326, ':': -4.6444006}
{' Odd': -3.8734396, ' 1': -2.7984538, ' odd': -0.40145475, ' 0': -2.1495998, ' even': -2.223831}
{' even': -0.3081295, ' 0': -2.0922062, ' odd': -2.563223, ' Even': -4.300745, ':': -4.5305624}
{' Odd': -3.4104028, ' 1': -5.202673, ' odd': -0.3742522, ' 0': -4.1535573, ' even': -1.4616725}
{' even': -0.15524581, ' 0': -2.593131, ' odd': -3.9702196, ' ': -4.258362, ' Even': -4.7868786}
{' Odd': -3.2683265, ' 1': -3.4220645, ' odd': -0.1865206, ' 0': -3.486823, ' even': -3.0340803}
{' 0': -0.78443503, ' 1': -1.2549894, ' odd': -2.022162, ' even': -2.7849557, ':': -4.2394233}
{' even': -0.4861142, ' 0': -1.355929, ':': -3.5281665, ' 1': -3.73853, ' odd': -4.276502}
{' Odd': -3.8465254, ' 1': -2.9911327, ' odd': -0.39755926, ' 0': -2.1176577, ' even': -2.292447}
{' Even': -4.62987, ' odd': -3.9365857, ' 0': -1.7612624, ' zero': -4.8793807, ' even': -0.27472067}
{' odd': -0.24022725, ' even': -2.2979195, ' Odd': -2.9946597, ' 0': -3.6793416, ' 1': -3.9028037}
{':': -4.5791183, ' 1': -4.593242, ' odd': -3.0507467, ' 0': -1.3656862, ' even': -0.4530876}
{' Odd': -3.508035, ' 1': -4.8066077, ' odd': -0.49810162, ' 0': -3.2207618, ' even': -1.2656121}
{' ': -4.850378, ' Even': -4.304655, ' odd': -3.3514738, ' 0': -2.6058903, ' even': -0.17706867}
{' Odd': -2.9422038, ' 1': -4.104659, ' odd': -0.16299194, ' 0': -4.4672003, ' even': -2.8021853}
{' 1': -1.1064168, ' 0': -1.4246597, ' odd': -1.6487447, ' even': -2.3745863, ':': -3.2125626}
{':': -3.5894213, ' 1': -4.0990744, ' odd': -4.4119234, ' 0': -1.536761, ' even': -0.39592168}
{' Odd': -3.165488, ' 1': -3.0566738, ' odd': -0.22753176, ' 0': -3.2550764, ' even': -3.6057148}
{':': -3.7053525, ' 1': -3.6785293, ' odd': -2.5411897, ' 0': -1.2097098, ' even': -0.7038676}
{' Odd': -3.5180473, ' 1': -3.4416952, ' odd': -0.2960856, ' 0': -2.806507, ' even': -2.17809}
{':': -4.454544, ' odd': -3.2813172, ' 0': -1.507978, ' zero': -4.947417, ' even': -0.37774423}
{' Odd': -4.305958, ' 1': -5.2469645, ' odd': -0.23600101, ' 0': -3.8757086, ' even': -1.8931102}
{' ': -4.2518907, ' 1': -5.0841603, ' odd': -2.5517955, ' 0': -2.269994, ' even': -0.26758137}
{' odd': -0.112800434, ' even': -3.048291, ' 1': -3.8173234, ' Odd': -3.9481466, ' 0': -4.483515}
{' 1': -0.98587894, ' 0': -1.1172725, ' odd': -1.8401165, ' even': -2.7536278, ':': -3.605011}
{':': -4.363428, ' 1': -4.1604066, ' 0': -0.8894345, ' zero': -3.9615052, ' even': -0.6904657}
{' Odd': -3.4896967, ' 1': -3.7729657, ' odd': -0.16931574, ' 0': -3.435672, ' even': -3.1751359}
{' 1': -3.531666, ' odd': -3.0757837, ' 0': -0.77742124, ' zero': -4.179511, ' even': -0.9068596}
{' Odd': -3.4439778, ' 1': -3.2309604, ' odd': -0.22973719, ' 0': -2.8767927, ' even': -2.8269193}
{':': -4.6760516, ' Even': -4.2152133, ' odd': -2.8201864, ' 0': -2.5093513, ' even': -0.21876879}
{' Odd': -3.8255756, ' 1': -4.229092, ' odd': -0.31096423, ' 0': -3.5508447, ' even': -1.7237707}
{' ': -2.4147186, ':': -3.7353935, ' 1': -3.4293509, ' 0': -0.3437414, ' even': -2.6180239}
{' odd': -0.09853427, ' Odd': -3.6277547, ' 1': -3.7520566, ' even': -3.8301282, ' 0': -4.350723}
{':': -3.5358057, ' 1': -1.3565828, ' odd': -1.843503, ' 0': -1.0320827, ' even': -2.1058493}
{' 0': -0.5905861, ' even': -1.0563015, ' zero': -3.7113736, ' 1': -3.878362, ':': -4.351414}
{' odd': -0.18798499, ' even': -2.760466, ' 0': -3.3716538, ' Odd': -3.6729484, ' 1': -4.035505}
{' 1': -4.332283, ' odd': -3.2034156, ' 0': -1.2870215, ' zero': -4.388938, ' even': -0.48845857}
{' odd': -0.3689838, ' 0': -2.4241643, ' even': -2.4425683, ' 1': -2.474339, ' Odd': -3.6583772}
{':': -4.7281814, ' 1': -4.8714633, ' odd': -3.082424, ' 0': -2.0376053, ' even': -0.26436892}
{' odd': -0.23484488, ' 0': -2.5486038, ' even': -3.3568234, ' Odd': -3.6325316, ' 1': -4.0365357}
{' even': -0.17411433, ' 0': -2.7282152, ' odd': -3.1930256, ' Even': -4.2926846, ':': -4.7144384}
{' odd': -0.15789622, ' even': -2.6343403, ' Odd': -3.658127, ' 0': -3.924056, ' 1': -4.0048842}
{':': -2.896624, ' 1': -0.53120553, ' odd': -2.5875018, ' 0': -1.6858428, ' even': -3.2357402}
{' even': -0.24214731, ' 0': -1.9284981, ' zero': -4.4029565, ' odd': -4.686908, ':': -4.732042}
{' odd': -0.2972262, ' 1': -2.3013985, ' 0': -2.7521794, ' even': -3.1618958, ' Odd': -3.5562856}
{' 0': -0.7949431, ' even': -0.99071044, ' odd': -2.6953032, ' 1': -2.9157193, ':': -4.5235844}
{' Odd': -4.1138396, ' 1': -3.6061213, ' odd': -0.15577544, ' 0': -3.2727861, ' even': -2.9492915}
{':': -4.790621, ' Even': -4.2942834, ' odd': -2.9825861, ' 0': -3.099789, ' even': -0.15603472}
{' Odd': -3.0095747, ' 1': -5.129643, ' odd': -0.32213655, ' 0': -4.0444036, ' even': -1.720184}
{' ': -4.407222, ' Even': -4.315962, ' odd': -3.3271189, ' 0': -2.7287567, ' even': -0.17155068}
{' Odd': -4.3741403, ' 1': -4.525043, ' odd': -0.1561048, ' 0': -4.0905576, ' even': -2.3737667}
{':': -4.576257, ' 1': -1.3577682, ' odd': -1.6299125, ' 0': -0.9871218, ' even': -2.1875212}
{' even': -0.39051324, ' 0': -1.6041906, ':': -3.4828439, ' 1': -4.148643, ' Even': -4.3594217}
{' Odd': -4.2780395, ' 1': -2.7026887, ' odd': -0.33697382, ' 0': -2.368835, ' even': -2.4963148}
{':': -4.515533, ' odd': -4.3478236, ' 0': -1.1113007, ' zero': -4.395657, ' even': -0.5158637}
{' Odd': -3.0214927, ' 1': -3.9799135, ' odd': -0.21745779, ' 0': -4.1732893, ' even': -2.3478928}
{' ': -4.30957, ':': -4.145567, ' odd': -2.4538066, ' 0': -1.7042435, ' even': -0.4256085}
{' Odd': -4.296786, ' an': -5.683113, ' odd': -0.3548801, ' 0': -5.0403247, ' even': -1.3420293}
{' ': -4.309915, ':': -4.99523, ' odd': -2.9598317, ' 0': -3.0575078, ' even': -0.15727867}
{' Odd': -3.6246412, ' 1': -4.07027, ' odd': -0.17861164, ' 0': -4.0125747, ' even': -2.420839}
{':': -3.4483652, ' 1': -1.6433134, ' odd': -1.4100676, ' 0': -1.2594929, ' even': -1.8211031}
{' 0': -0.60465187, ' even': -1.0577062, ' zero': -3.6085238, ':': -3.99109, ' 1': -4.0108485}
{' Odd': -4.391944, ' 1': -3.959105, ' odd': -0.051215738, ' 0': -5.045384, ' even': -5.3338637}
{' ': -4.7681413, ' 4': -4.6683545, ' 0': -1.972896, ' zero': -4.374223, ' even': -0.23028049}
{' odd': -0.35333654, ' even': -1.4743292, ' Odd': -3.7808974, ' 0': -4.1996756, ' 1': -5.0742865}
{' even': -0.3608408, ' odd': -2.0052392, ' 0': -2.2709293, ' Odd': -4.515584, ' Even': -4.5215683}
{' Odd': -3.9968026, ' 1': -4.056976, ' odd': -0.37489447, ' 0': -2.8647218, ' even': -1.645492}
{' ': -4.6842666, ' Even': -4.598587, ' odd': -3.365898, ' 0': -2.1929116, ' even': -0.22629987}
{' odd': -0.1564948, ' even': -2.8762746, ' 1': -3.2533183, ' Odd': -3.974033, ' 0': -3.9975848}
{':': -4.389249, ' 1': -1.7938663, ' odd': -0.77808577, ' 0': -2.0319548, ' even': -1.7299281}
{' even': -0.61638993, ' 0': -1.3142143, ' odd': -3.1494012, ' 1': -3.1535776, ':': -3.325769}
{' odd': -0.23302253, ' even': -2.4886975, ' Odd': -3.2253559, ' 0': -3.3983521, ' 1': -4.1776752}
{' even': -0.5232186, ' 0': -1.4153218, ' odd': -2.4831672, ' 1': -3.3220198, ' zero': -4.4784217}
{' Odd': -3.4307652, ' Even': -5.2508755, ' odd': -0.4394685, ' 0': -4.512767, ' even': -1.259967}
{':': -4.5528436, ' 1': -4.2254124, ' odd': -2.8890607, ' 0': -1.0677356, ' even': -0.636648}
{' Odd': -3.0975478, ' Even': -5.238, ' odd': -0.4706109, ' 0': -4.01774, ' even': -1.2819436}
{':': -4.8472342, ' Even': -4.607942, ' odd': -3.353438, ' 0': -2.3216224, ' even': -0.20561098}
{' odd': -0.10448616, ' even': -3.254273, ' Odd': -3.482164, ' 1': -4.367451, ' 0': -4.584848}
{':': -3.5976868, ' 1': -0.95752615, ' odd': -1.7145985, ' 0': -1.2596608, ' even': -2.6145248}
{' even': -0.8060745, ' 0': -1.0384552, ' 1': -2.7450314, ' odd': -3.1469278, ':': -3.7050154}
{' Odd': -3.2261074, ' 1': -4.67583, ' odd': -0.22844611, ' 0': -3.5420952, ' even': -2.421197}
{':': -4.907811, ' odd': -4.573124, ' 0': -1.2245588, ' zero': -4.461947, ' even': -0.44116488}
{' Odd': -3.908606, ' 1': -4.662595, ' odd': -0.33141947, ' 0': -3.9478934, ' even': -1.541677}
{':': -4.829947, ' Even': -4.5406604, ' odd': -2.5551677, ' 0': -2.9039474, ' even': -0.19758084}
{' Odd': -3.4569018, ' ': -4.7689676, ' odd': -0.5666535, ' 0': -3.8705466, ' even': -1.1007532}
{' an': -6.013524, ' Even': -5.63096, ' odd': -4.1560907, ' 0': -4.553919, ' even': -0.044166617}
{' odd': -0.11893056, ' even': -2.544441, ' Odd': -4.222322, ' 0': -4.974048, ' 1': -5.4637628}
{' 1': -0.50963503, ' 0': -1.3168745, ' odd': -2.8838978, ':': -3.8935325, ' even': -4.038123}
{' even': -0.21893822, ' 0': -2.0592027, ' 1': -4.504069, ' zero': -4.6025114, ':': -4.709449}
{' Odd': -3.4075603, ' 1': -3.6107006, ' odd': -0.28646952, ' 0': -2.543955, ' even': -2.5136356}
{':': -4.038231, ' 1': -3.72028, ' odd': -1.5536864, ' 0': -2.052122, ' even': -0.59465235}
{' Odd': -3.6912642, ' 1': -5.0918617, ' odd': -0.2149867, ' 0': -4.464866, ' even': -1.9974153}
{' 1': -4.8929763, ' odd': -2.9707415, ' 0': -1.7052339, ' zero': -4.9756274, ' even': -0.32269526}
{' odd': -0.2539107, ' even': -1.9430406, ' Odd': -2.9013467, ' 0': -4.9728093, ' 1': -5.72578}
{' even': -0.2677994, ' 0': -2.215228, ' odd': -2.7450283, ' ': -4.2435703, ':': -4.649622}
{' Odd': -3.659149, ' 1': -3.97974, ' odd': -0.11245148, ' 0': -4.3399277, ' even': -3.3050623}
{' 0': -0.7396159, ' 1': -1.4133573, ' odd': -2.1035962, ' even': -2.4689984, ':': -3.9933906}
{':': -5.135528, ' 1': -5.019977, ' 0': -2.8956249, ' zero': -4.8572803, ' even': -0.10644121}
{' odd': -0.23282887, ' even': -2.561602, ' Odd': -3.1851304, ' 0': -3.225478, ' 1': -4.130302}
{' 1': -3.8277504, ' odd': -3.2798798, ' 0': -1.2884904, ' zero': -4.529421, ' even': -0.4849235}
{' Odd': -3.992799, ' 1': -3.7812712, ' odd': -0.21292418, ' 0': -3.4432042, ' even': -2.3057597}
{':': -4.002934, ' 1': -4.304808, ' odd': -2.1869922, ' 0': -1.679791, ' even': -0.4934317}
{' Odd': -4.8877707, ' 1': -5.388835, ' odd': -0.25604373, ' 0': -4.5610275, ' even': -1.6816248}
{' even': -0.15727867, ' odd': -2.9598317, ' 0': -3.0575078, ' ': -4.309915, ':': -4.99523}
{' odd': -0.15037067, ' even': -2.5321438, ' Odd': -3.8324556, ' 0': -4.3101406, ' 1': -4.3131456}
{':': -3.6198974, ' 1': -1.3421329, ' odd': -1.8483024, ' 0': -0.927897, ' even': -2.4074273}
{':': -4.169629, ' 1': -4.0990915, ' 0': -0.8795311, ' zero': -3.5348635, ' even': -0.7282707}
{' odd': -0.24000196, ' 0': -2.791283, ' even': -2.9949305, ' Odd': -3.187086, ' 1': -3.3910382}
{':': -4.476581, ' 1': -4.6441503, ' odd': -3.5962098, ' 0': -1.8612114, ' even': -0.28214887}
{' odd': -0.21240892, ' even': -2.4671583, ' 0': -3.1444206, ' Odd': -3.5322323, ' 1': -4.030176}
{':': -4.7032757, ' 1': -3.783254, ' odd': -3.4567637, ' 0': -0.60226184, ' even': -1.0339959}
{' Odd': -3.5705733, ' 1': -6.4191313, ' odd': -0.17502941, ' 0': -5.120213, ' even': -2.1885507}
{' even': -0.4934688, ' 0': -1.2395186, ' ': -3.7119963, ' odd': -3.83575, ':': -4.5099325}
{' Odd': -3.382538, ' 1': -3.9554417, ' odd': -0.16416381, ' 0': -4.0440817, ' even': -2.6418393}
{':': -4.253323, ' 1': -1.0774885, ' odd': -2.24894, ' 0': -0.82062113, ' even': -3.0315776}
{' 0': -0.5286922, ' even': -1.171752, ' 1': -3.487212, ' zero': -3.8173294, ':': -4.301127}
{' Odd': -3.586337, ' 1': -3.8504481, ' odd': -0.31869167, ' 0': -2.47265, ' even': -2.2094827}
{' even': -0.4433863, ' 0': -1.4948266, ' odd': -2.841385, ' 1': -4.276741, ' zero': -4.4671154}
{' Odd': -3.8225102, ' 1': -2.3800302, ' odd': -0.2562452, ' 0': -2.7737575, ' even': -3.4811752}
{':': -5.160482, ' odd': -3.326195, ' 0': -1.555511, ' zero': -4.8695955, ' even': -0.347138}
{' odd': -0.17140895, ' even': -2.2003198, ' Odd': -3.7512865, ' 0': -4.897503, ' 1': -6.052436}
{' ': -4.345466, ' Even': -4.9860296, ' odd': -2.3487933, ' 0': -2.828131, ' even': -0.22731237}
{' odd': -0.40251997, ' even': -1.7505834, ' Odd': -2.844645, ' 0': -3.268271, ' 1': -3.6344304}
{' 0': -0.92158246, ' 1': -1.2142222, ' odd': -1.845876, ' even': -2.55347, ':': -4.1949463}
{':': -3.3854384, ' 1': -4.143056, ' odd': -4.1721444, ' 0': -1.6137064, ' even': -0.39723673}
{' odd': -0.26923385, ' even': -2.4264786, ' 0': -2.7806056, ' Odd': -3.3181546, ' 1': -3.8126433}
{' even': -0.7634007, ' 0': -0.86104554, ' odd': -3.6154723, ' 1': -3.8944647, ' zero': -4.377506}
{' odd': -0.22745436, ' even': -2.5853224, ' 0': -2.9390821, ' 1': -3.4604938, ' Odd': -3.579601}
{':': -5.1293116, ' Even': -5.0471272, ' odd': -3.231863, ' 0': -2.3179028, ' even': -0.19330555}
{' Odd': -3.4752784, ' an': -5.024144, ' Even': -6.0922327, ' odd': -0.35942233, ' even': -1.3927666}
{' even': -0.18401651, ' odd': -2.6740067, ' 0': -3.1644833, ' Even': -4.0657473, ':': -4.707413}
{' Odd': -4.148189, ' 1': -4.7399774, ' odd': -0.14555034, ' 0': -4.5436044, ' even': -2.3919132}
{':': -3.5961983, ' 1': -1.7386613, ' odd': -1.5287919, ' 0': -1.1016936, ' even': -1.8856043}
{':': -4.406805, ' 1': -4.572983, ' 0': -1.5499012, ' zero': -4.086897, ' even': -0.34730554}
{' odd': -0.13374999, ' 0': -3.0454557, ' even': -3.6270351, ' Odd': -3.897704, ' 1': -3.9051769}
{':': -4.348606, ' odd': -3.8877952, ' 0': -1.1649818, ' zero': -4.006013, ' even': -0.5206041}
{' odd': -0.26595607, ' even': -1.915207, ' Odd': -3.527518, ' 0': -4.0433674, ' 1': -4.0748615}
{':': -4.353791, ' 1': -4.5036774, ' odd': -2.6991067, ' 0': -1.4220825, ' even': -0.47564852}
{' Odd': -3.8518527, ' 1': -4.767238, ' odd': -0.43267214, ' 0': -3.2771058, ' even': -1.3467623}
{':': -4.702638, ' 1': -3.7966435, ' odd': -2.8764873, ' 0': -1.376904, ' even': -0.49651477}
{' odd': -0.10942049, ' even': -2.839782, ' Odd': -3.6485, ' 1': -5.134463, ' 0': -5.1602387}
{' 1': -0.7973616, ' 0': -1.144541, ' odd': -2.3000634, ' even': -3.1954854, ':': -3.3809671}
{' 0': -0.70019126, ' even': -0.89684474, ' zero': -3.5028512, ' 1': -3.9700487, ':': -4.362725}
{' Odd': -3.507773, ' 1': -3.371562, ' odd': -0.23498957, ' 0': -2.904177, ' even': -3.0259116}
{' even': -0.34563583, ' 0': -1.7137941, ' odd': -3.0781727, ' zero': -4.358141, ':': -4.636055}
{' odd': -0.2491844, ' even': -2.0790708, ' 1': -3.4592655, ' 0': -3.4913766, ' Odd': -4.2433305}
{' even': -0.24107008, ' 0': -2.126322, ' odd': -2.9835598, ' Even': -4.6706715, ':': -4.973131}
{' Odd': -3.2017195, ' ': -5.737745, ' odd': -0.20635353, ' 0': -5.143218, ' even': -2.0919812}
{' ': -4.5721436, ':': -4.929562, ' odd': -2.700808, ' 0': -2.4521518, ' even': -0.22569129}
{' odd': -0.15284534, ' even': -2.6699493, ' Odd': -3.5711823, ' 1': -4.066249, ' 0': -4.205205}
{':': -4.30091, ' 1': -1.4430073, ' odd': -1.6886624, ' 0': -0.90342236, ' even': -2.3533366}
{' even': -0.083664134, ' 0': -3.1628516, ' Even': -4.819271, ':': -4.8618574, ' EVEN': -5.3455887}
{' Odd': -3.6761947, ' 1': -4.0149875, ' odd': -0.22108614, ' 0': -2.8073068, ' even': -2.6402423}
{' even': -0.17359829, ' 0': -2.271943, ' 4': -4.8109274, ' ': -4.879194, ' zero': -4.929593}
{' Odd': -3.42727, ' 1': -3.5076997, ' odd': -0.20161825, ' 0': -3.0359325, ' even': -2.880721}
{' even': -0.27494547, ' 0': -2.299453, ' odd': -2.3947937, ':': -4.9332237, ' Even': -5.0057564}
{' odd': -0.39138088, ' even': -1.4584012, ' 0': -3.282987, ' Odd': -3.899083, ' 1': -4.5454006}
{' Even': -5.6650176, ' 1': -5.5605187, ' odd': -3.2824345, ' 0': -3.2421138, ' even': -0.1083297}
{' odd': -0.086415894, ' even': -3.0065627, ' Odd': -3.8528397, ' 0': -5.5098825, ' 1': -6.146971}
{':': -3.373292, ' 1': -0.796053, ' odd': -2.3074112, ' 0': -1.1457303, ' even': -3.1908636}
{':': -3.268873, ' 1': -3.0715442, ' 0': -0.9952276, ' zero': -3.954252, ' even': -0.809448}
{' Odd': -3.3917587, ' 1': -3.9674654, ' odd': -0.1714031, ' 0': -3.4920368, ' even': -3.1056442}
{' 1': -2.9962065, ' odd': -4.7557964, ' 0': -0.21866532, ' zero': -4.6793766, ' even': -2.2239933}
{' Odd': -3.3669877, ' 1': -3.4718473, ' odd': -0.27143067, ' 0': -3.0149224, ' even': -2.266313}
{' 1': -4.6078644, ' odd': -3.404873, ' 0': -1.2874777, ' zero': -4.351156, ' even': -0.46806553}
{' odd': -0.2362362, ' even': -2.1627069, ' 0': -3.2880874, ' Odd': -3.8591545, ' 1': -4.0841537}
{' ': -4.65224, ' Even': -4.820382, ' odd': -2.3795483, ' 0': -2.6192713, ' even': -0.23412043}
{' Odd': -3.5091636, ' 1': -3.8344915, ' odd': -0.13713446, ' 0': -4.035244, ' even': -3.011339}
{' 1': -0.96808505, ' 0': -1.0223396, ' odd': -2.2774398, ' even': -3.0449014, ':': -3.1836727}
{':': -3.8035524, ' 1': -2.8079667, ' odd': -3.5243032, ' 0': -1.060849, ' even': -0.7274854}
{' Odd': -3.7264729, ' 1': -3.5922801, ' odd': -0.18237878, ' 0': -3.0964508, ' even': -3.1516047}
{' ': -4.155895, ' 1': -2.5768213, ' odd': -3.292903, ' 0': -0.62966746, ' even': -1.1995815}
{' odd': -0.2535484, ' even': -2.4615114, ' 1': -2.8464618, ' 0': -2.9099488, ' Odd': -4.4421897}
