{' Odd': -5.348096, ' 1': -5.963485, ' "': -5.626325, ' odd': -0.31360403, ' even': -1.3776909}
{' even': -0.0021973113, ' Even': -7.1888404, ' 0': -8.2711935, ' odd': -8.298216, ' "': -8.341811}
{' odd': -0.054688312, ' even': -3.3168826, ' 1': -4.8124843, ' Odd': -5.4067945, ' "': -7.0844088}
{' even': -0.0021440268, ' Even': -7.337753, ' odd': -7.566473, ' EVEN': -8.567773, ' ': -8.697983}
{' Odd': -5.096531, ':': -7.96896, ' 1': -6.8406086, ' odd': -0.041557617, ' even': -3.4548626}
{' ': -7.9293466, ' an': -6.7737637, ' Even': -6.695925, ' odd': -8.006533, ' even': -0.0040250546}
{' Odd': -4.500689, ':': -7.2127995, ' 1': -5.9847436, ' odd': -0.119173415, ' even': -2.3526309}
{' odd': -0.34684083, ' even': -1.3689251, ' Odd': -4.340224, ':': -4.592651, ' 1': -5.6230397}
{' even': -0.010931078, ' odd': -5.349612, ' Even': -6.199521, ' "': -6.9677567, ':': -7.096576}
{' odd': -0.035560384, ' even': -3.5881689, ' Odd': -5.8046675, ' 1': -6.030346, ' "': -7.522483}
{' ': -8.473614, ' an': -9.073615, ' Even': -6.9709244, ' odd': -8.361587, ' even': -0.0019964983}
{' Odd': -5.8262525, ' 1': -6.207718, ' "': -7.0788217, ' odd': -0.11628588, ' even': -2.2824235}
{' even': -0.0012886003, ' Even': -7.981907, ' odd': -8.289819, ' an': -8.651063, ' ': -8.936234}
{' Odd': -4.795877, ' an': -7.653518, ' 1': -7.565503, ' odd': -0.025690261, ' even': -4.2413073}
{' an': -6.424982, ' Even': -6.2703824, ' "': -6.542173, ' odd': -7.4984927, ' even': -0.0066478625}
{' Odd': -5.0845094, ' an': -6.8978295, ' 1': -6.009375, ' odd': -0.037219595, ' even': -3.6813025}
{' odd': -0.25012398, ' even': -1.6463547, ' Odd': -4.3163214, ' "': -5.486116, ':': -5.9436984}
{' Even': -6.978637, ' "': -8.097278, ' odd': -6.4822087, ' 0': -8.623922, ' even': -0.003904417}
{' odd': -0.021225091, ' even': -4.3199434, ' Odd': -5.856262, ' 1': -5.980815, ' an': -7.3814483}
{' even': -0.0026092771, ' Even': -6.8399467, ' odd': -7.408789, ' 0': -8.36828, ' ': -8.5240555}
{' Odd': -5.982582, ' ': -7.9147916, ' 1': -4.2274375, ' odd': -0.050474763, ' even': -3.5046089}
{' an': -7.3884873, ' Even': -7.067512, ' "': -8.280016, ' odd': -7.676513, ' even': -0.0028126617}
{' Odd': -5.1589766, ' ': -8.298331, ' 1': -7.207842, ' odd': -0.028162096, ' even': -3.920038}
{' even': -0.0020307796, ' Even': -7.4496927, ' an': -7.9737926, ' "': -8.053, ' ': -8.51947}
{' odd': -0.078622945, ' even': -2.883476, ' Odd': -4.248125, ' 1': -6.109716, ':': -7.5079045}
{' odd': -0.44266286, ' even': -1.1133896, ' Odd': -4.8130956, ':': -5.3156466, ' 0': -5.493473}
{' even': -0.010463209, ' odd': -5.261211, ' Even': -6.040601, ' "': -7.3335595, ' 0': -7.859151}
{' Odd': -5.703011, ' an': -8.116638, ' 1': -7.240487, ' odd': -0.025311656, ' even': -3.9284086}
{' even': -0.0032854613, ' Even': -6.3278913, ' "': -8.254194, ' ': -8.4134035, ' EVEN': -8.586106}
{' odd': -0.060369756, ' even': -3.242191, ' 1': -4.7698517, ' Odd': -4.9939394, ' "': -6.8517118}
{' ': -8.931669, ' an': -8.379764, ' Even': -7.839523, ' odd': -7.822373, ' even': -0.001484076}
{' Odd': -5.076556, ':': -7.995636, ' 1': -6.798734, ' odd': -0.025080912, ' even': -4.1518955}
{' ': -8.494437, ' an': -7.8144107, ' Even': -7.4854703, ' "': -8.042821, ' even': -0.0020917018}
{' Odd': -4.087758, ':': -7.2334414, ' 1': -6.507364, ' odd': -0.08142222, ' even': -2.8722737}
{' odd': -0.336189, ' even': -1.3005579, ' Odd': -5.2321773, ' 1': -5.8349514, ':': -6.819038}
{':': -7.9988027, ' Even': -6.134772, ' "': -6.672533, ' odd': -6.0901875, ' even': -0.007565294}
{' Odd': -4.9475737, ' an': -7.5122004, ' 1': -5.654225, ' odd': -0.029301578, ' even': -4.1486125}
{' even': -0.002201371, ' Even': -6.889509, ' odd': -7.807537, ' 0': -8.660957, ' ': -8.818696}
{' odd': -0.06408306, ' even': -3.3263452, ' 1': -3.9533079, ' Odd': -5.358995, ' ': -7.5636}
{' even': -0.0037871401, ' Even': -6.651069, ' odd': -7.0939236, ' EVEN': -7.8066664, ' an': -8.0821085}
{' Odd': -6.1882844, ' 1': -6.397219, 'odd': -8.661598, ' odd': -0.0059499783, ' even': -6.4804444}
{':': -7.4277496, ' an': -8.285732, ' Even': -6.5131025, ' odd': -7.529791, ' even': -0.00374819}
{' odd': -0.030245192, ' even': -4.024454, ' Odd': -4.852704, ' 1': -5.8859577, ' ': -8.291388}
{' Odd': -4.4991884, ':': -5.6064186, ' 1': -5.7885942, ' odd': -0.3479323, ' even': -1.3154292}
{' even': -0.0036192664, ' odd': -6.482716, ' Even': -6.8252, ' "': -8.714459, ' ': -8.733516}
{' odd': -0.052962117, ' even': -3.4204116, ' Odd': -4.5683694, ' 1': -5.789729, ' "': -6.1482925}
{' ': -9.368511, ' Even': -7.3611617, ' EVEN': -9.297438, ' odd': -8.037726, ' even': -0.0013783661}
{' odd': -0.22840895, ' even': -1.664179, ' Odd': -5.0774865, ' 1': -5.566938, ':': -6.7626634}
{' an': -8.687611, ' Even': -6.7482166, ' EVEN': -7.994287, ' odd': -7.3004904, ' even': -0.0028808068}
{' Odd': -5.2246895, ' an': -8.044809, ' 1': -6.3719025, ' odd': -0.019291846, ' even': -4.558114}
{':': -7.143137, ' Even': -6.07479, ' EVEN': -7.835971, ' odd': -7.752637, ' even': -0.0048295255}
{' Odd': -4.122211, ':': -7.31998, ' 1': -6.038846, ' odd': -0.064590484, ' even': -3.2022517}
{' Odd': -4.3693695, ':': -5.2148643, ' 1': -5.625148, ' odd': -0.2816614, ' even': -1.5491555}
{' even': -0.011379874, ' odd': -5.608948, ' Even': -5.700455, ':': -6.674448, ' EVEN': -7.1054807}
{' Odd': -5.1479917, ' 1': -7.298681, ' "': -6.7976966, ' odd': -0.024203891, ' even': -4.2254558}
{' ': -8.545779, ' Even': -6.4942794, ' odd': -7.410904, ' 0': -8.783282, ' even': -0.0030233257}
{' odd': -0.044230103, ' even': -3.4860368, ' 1': -4.936876, ' Odd': -5.5038924, ' ': -8.02136}
{' an': -8.451543, ' Even': -6.77703, ' EVEN': -8.454402, ' odd': -7.200624, ' even': -0.0029707754}
{' odd': -0.016421698, ' even': -4.4639864, ' Odd': -6.175437, ' 1': -6.6134233, ' an': -7.634988}
{':': -7.1254272, ' an': -7.0923166, ' Even': -6.2946587, ' odd': -7.2716513, ' even': -0.00551548}
{' Odd': -5.1420207, ' 1': -6.187528, 'odd': -8.636489, ' odd': -0.012694817, ' even': -5.566696}
{' Odd': -5.0121975, ' "': -6.0629807, ' odd': -0.24708198, ' 0': -5.9807687, ' even': -1.6112041}
{' an': -8.397309, ' Even': -7.130847, ' "': -7.6880536, ' odd': -7.1997013, ' even': -0.002890551}
{' odd': -0.018670952, ' even': -4.6165547, ' Odd': -5.212473, ' 1': -6.3182287, ' "': -8.387246}
{' Even': -6.7675395, ' "': -8.8135195, ' EVEN': -8.440704, ' odd': -7.817068, ' even': -0.002515934}
{' Odd': -5.253183, ':': -7.462621, ' 1': -5.680144, ' odd': -0.19185455, ' even': -1.8170738}
{' ': -8.825004, ' an': -8.704971, ' Even': -7.2488575, ' odd': -7.5562434, ' even': -0.0018818356}
{' Odd': -6.2732506, ' an': -8.424599, ' 1': -6.7244544, ' odd': -0.010802429, ' even': -4.9962797}
{' ': -8.232053, ' an': -7.7434487, ' Even': -6.586402, ' odd': -7.0613294, ' even': -0.0037240798}
{' odd': -0.07353327, ' even': -2.9672022, ' Odd': -4.301893, ' 1': -5.780805, ' ': -7.694189}
{' Odd': -5.2204814, ' 1': -5.1584735, ' odd': -0.27172711, ' 0': -6.1938915, ' even': -1.5281091}
{' Even': -6.3930864, ' "': -7.5882096, ' odd': -5.4038925, ' 0': -7.7169924, ' even': -0.008853971}
{' Odd': -5.8188148, ' 1': -6.5622854, ' "': -7.458692, ' odd': -0.04009766, ' even': -3.4121542}
{' even': -0.003017826, ' Even': -6.257864, ' EVEN': -8.211757, ' odd': -8.447906, ' ': -8.8962555}
{' Odd': -6.608404, ' ': -8.090222, ' 1': -6.2410116, ' odd': -0.07001312, ' even': -2.7676525}
{' an': -7.527623, ' Even': -6.8207808, ' "': -8.25394, ' odd': -7.7126074, ' even': -0.0030330715}
{' Odd': -4.842707, ' ': -8.043767, ' 1': -5.079277, ' odd': -0.021766184, ' even': -5.108944}
{' ': -7.615161, ' an': -7.6422596, ' Even': -6.1256323, ' odd': -6.9291825, ' even': -0.0053687124}
{' odd': -0.05387627, ' even': -3.7580159, ' Odd': -4.107419, ' 1': -4.5885816, ' ': -7.6836066}
{' Odd': -5.335652, ' 1': -5.732495, ' "': -6.4037623, ' odd': -0.28715128, ' even': -1.4557035}
{':': -7.6229095, ' Even': -6.0593677, ' "': -6.6391788, ' odd': -6.2855425, ' even': -0.00789054}
{' odd': -0.04836372, ' even': -3.7290976, ' Odd': -4.1072893, ' 1': -6.014772, ' "': -6.6957827}
{' even': -0.0013377809, ' Even': -7.329488, ' odd': -8.4359, ' EVEN': -9.3042755, ' ': -9.341738}
{' Odd': -5.492711, ' 1': -6.385444, ' "': -6.497226, ' odd': -0.06915667, ' even': -2.8617249}
{' an': -7.541012, ' Even': -6.5490785, ' "': -7.867389, ' odd': -7.968738, ' even': -0.0035011256}
{' Odd': -5.1448417, ':': -8.2503, ' 1': -8.216761, ' odd': -0.030690998, ' even': -3.7846773}
{':': -7.869761, ' an': -6.703471, ' Even': -6.313193, ' "': -7.3502927, ' even': -0.005192485}
{' Odd': -4.8352785, ' an': -6.937136, ' 1': -5.710951, ' odd': -0.028147507, ' even': -4.2809253}
{' Odd': -4.4731417, ' 1': -5.420698, ' odd': -0.1795694, ' 0': -6.0876255, ' even': -1.9659481}
{' Even': -6.4296584, ' "': -7.660124, ' odd': -6.6102257, ' 0': -8.089428, ' even': -0.004969385}
{' odd': -0.035783436, ' even': -4.0340676, ' Odd': -4.3647714, ' 1': -6.023523, ':': -7.8606496}
{' Even': -7.110261, ' EVEN': -8.886433, ' odd': -8.050086, ' 0': -8.773628, ' even': -0.0017969798}
{' odd': -0.08102047, ' even': -2.6970828, ' Odd': -5.412174, ' 1': -5.8228545, ':': -7.5959463}
{' an': -8.2265005, ' Even': -6.760074, ' EVEN': -8.20741, ' odd': -7.2127256, ' even': -0.0033814465}
{' odd': -0.023124982, ' even': -4.6576843, ' Odd': -5.1164765, ' 1': -5.1170096, ' ': -8.149381}
{' ': -7.8687487, ' an': -6.3092957, ' Even': -6.05148, ' "': -6.885122, ' even': -0.006991433}
{' Odd': -4.237941, ' Even': -7.512789, ' 1': -5.0987005, ' odd': -0.096284166, ' even': -2.6882641}
{' Odd': -4.2264214, ' 1': -5.227822, ' odd': -0.14059639, ' 0': -6.1615453, ' even': -2.2806635}
{' Even': -6.4725723, ' "': -7.512057, ' odd': -5.54557, ' 0': -7.9040995, ' even': -0.007839972}
{' odd': -0.037155937, ' even': -3.6952674, ' Odd': -4.968258, ' "': -6.510225, ' 1': -6.919028}
{' even': -0.0034243253, ' Even': -6.3334956, ' odd': -7.849832, ' EVEN': -7.964581, ' 0': -8.063652}
{' Odd': -5.289397, ':': -6.971266, ' 1': -4.0360174, ' odd': -0.17200951, ' even': -2.036389}
{' ': -9.102165, ' an': -7.9061675, ' Even': -7.713748, ' odd': -7.642364, ' even': -0.0018149549}
{' Odd': -5.056196, ' an': -7.9138217, ' 1': -6.7955213, ' odd': -0.024967117, ' even': -4.17058}
{' ': -8.138747, ' an': -6.928768, ' Even': -6.878374, ' odd': -8.0200405, ' even': -0.003483183}
{' Odd': -4.601385, ' ': -7.5386763, ' 1': -5.521314, ' odd': -0.09819722, ' even': -2.5682175}
{' Odd': -5.448154, ':': -6.868663, ' 1': -5.905744, ' odd': -0.40651783, ' even': -1.1320808}
{' even': -0.009397255, ' odd': -5.371369, ' Even': -6.0969157, ' "': -7.8047423, ' EVEN': -7.8164816}
{' Odd': -4.741992, ':': -8.050305, ' 1': -5.6137033, ' odd': -0.04384491, ' even': -3.5547845}
{' Even': -6.878311, ' EVEN': -8.4151745, ' odd': -7.90167, ' 0': -8.483125, ' even': -0.0023270645}
{' odd': -0.044699453, ' even': -3.3846347, ' 1': -4.9718947, ' Odd': -6.590649, ' ': -8.200171}
{' even': -0.004668182, ' Even': -6.511746, ' odd': -7.0148544, ' an': -7.419272, ' EVEN': -7.743652}
{' odd': -0.026795398, ' even': -3.969327, ' Odd': -5.1998415, ' 1': -7.417617, ' an': -8.385823}
{' an': -6.861049, ' Even': -6.353281, ' "': -7.484174, ' odd': -7.2994213, ' even': -0.0056505213}
{' Odd': -4.4903193, ':': -7.5846014, ' 1': -6.432161, ' odd': -0.10970408, ' even': -2.4310694}
{' Odd': -5.372469, ':': -6.7194624, ' "': -5.9985566, ' odd': -0.5684682, ' even': -0.8688471}
{':': -6.806468, ' Even': -5.6043053, ' EVEN': -7.0195503, ' odd': -5.774991, ' even': -0.010912216}
{' odd': -0.053073116, ' even': -3.511941, ' Odd': -4.206416, ' 1': -5.725376, ':': -7.105963}
{' ': -8.713389, ' Even': -7.6181417, ' odd': -8.793353, ' 0': -9.453589, ' even': -0.0011851769}
{' Odd': -5.485946, ' 1': -5.6589055, ' odd': -0.20135604, ' 0': -7.40441, ' even': -1.7665721}
{' an': -7.9385757, ' Even': -6.82398, ' EVEN': -8.287118, ' odd': -7.951431, ' even': -0.002820075}
{' Odd': -4.749482, ' an': -7.689105, ' 1': -6.4997816, ' odd': -0.024829565, ' even': -4.378102}
{' even': -0.0030293649, ' Even': -6.981394, ' odd': -7.207485, ' ': -7.9342623, ':': -8.150101}
{' Odd': -4.06882, ' 1': -6.638534, ' "': -7.443498, ' odd': -0.06125281, ' even': -3.2690716}
{' Odd': -4.2899137, ' 1': -5.3249235, ' odd': -0.10410556, ' 0': -5.831052, ' even': -2.6392589}
{' Even': -6.7634974, ' "': -7.8011427, ' odd': -6.383376, ' 0': -8.411383, ' even': -0.004591654}
{' Odd': -6.0861235, ' 1': -6.598325, ' "': -7.6231904, ' odd': -0.014816339, ' even': -4.6437473}
{' an': -8.728926, ' Even': -6.413602, ' "': -7.8974566, ' EVEN': -8.670539, ' even': -0.0030156127}
{' odd': -0.038387302, ' even': -3.4613645, ' Odd': -5.9526167, ' 1': -5.9657264, ' ': -8.508926}
{' even': -0.0023394322, ' odd': -7.1556854, ' Even': -7.4840817, ' an': -8.565546, ' EVEN': -8.566213}
{' odd': -0.023352897, ' even': -4.3493814, ' Odd': -4.9422216, ' 1': -7.0590353, ' an': -7.268683}
{' ': -7.6994095, ' an': -7.4342093, ' Even': -6.281138, ' odd': -7.1726727, ' even': -0.004794068}
{' odd': -0.09621736, ' even': -2.6557076, ' Odd': -4.2004824, ' 1': -5.901294, ':': -7.150472}
{' Odd': -5.4255533, ':': -6.733245, ' 1': -5.6181164, ' odd': -0.3526029, ' even': -1.2568827}
{' even': -0.008166931, ' Even': -5.944323, ' odd': -6.540975, ' "': -6.6002398, ':': -7.59661}
{' Odd': -4.625042, ':': -7.8520513, ' 1': -6.1127768, ' odd': -0.04433234, ' even': -3.5414596}
{' even': -0.0039816084, ' Even': -6.598529, ' odd': -7.3088574, ' "': -7.9759135, ' 0': -8.011112}
{' odd': -0.10914478, ' even': -2.5496907, ' 1': -4.3990664, ' Odd': -4.7735276, ':': -7.0809093}
{' ': -8.859466, ' an': -7.9188294, ' Even': -7.9378724, ' odd': -7.8324523, ' even': -0.0016726077}
{' Odd': -6.2251306, ' an': -8.474782, ' 1': -6.2345424, ' odd': -0.009710056, ' even': -5.3478665}
{' even': -0.0022750904, ' Even': -7.088828, ' odd': -7.5913796, ' ': -8.319729, ' an': -8.435963}
{' odd': -0.03193561, ' even': -4.253941, ' Odd': -4.3754587, ' "': -6.6484265, ' 1': -6.8728795}
{' odd': -0.2686846, ' even': -1.6015006, ' Odd': -4.1269836, ' "': -5.4356465, ':': -5.910418}
{':': -7.279843, ' Even': -6.234353, ' EVEN': -7.613535, ' odd': -5.752104, ' even': -0.008086409}
{' Odd': -5.818537, ' an': -7.708045, ' 1': -6.1628532, ' odd': -0.030184314, ' even': -3.788088}
{' Even': -6.188008, ' "': -8.189743, ' EVEN': -8.035814, ' odd': -7.7898464, ' even': -0.0040281694}
{' odd': -0.03809624, ' even': -3.701323, ' 1': -4.7201867, ' Odd': -6.1543665, ' ': -8.057288}
{' an': -7.669747, ' Even': -7.8247247, ' odd': -8.319779, ' 0': -8.676753, ' even': -0.0016946406}
{' Odd': -4.9518704, ' an': -7.535736, ' 1': -6.160074, ' odd': -0.014948585, ' even': -5.4541163}
{':': -7.229322, ' an': -7.398527, ' Even': -6.334284, ' odd': -7.2933874, ' even': -0.0052105193}
