{' Odd': -5.5208697, ':': -7.6079073, ' 1': -7.179145, ' odd': -0.029677026, ' even': -3.7682366}
{' odd': -0.010711635, ' Odd': -4.769666, '\n': -7.7667017, ' even': -7.776502, ' ': -7.9967713}
{' Odd': -5.1651063, ':': -6.651793, ' 1': -5.04306, ' odd': -0.08791393, ' even': -2.6939223}
{':': -9.18385, ' Even': -7.58521, ' "': -9.180463, ' odd': -8.392534, ' even': -0.0012537473}
{' Odd': -6.077026, ' ': -8.802386, ' 1': -6.488523, ' odd': -0.005774851, ' even': -6.6381574}
{' even': -0.0013152786, ' Even': -7.8059006, ' ': -8.189029, ' 0': -8.79704, '\n': -9.171478}
{' Odd': -6.453215, ' ': -6.6738043, ' 1': -5.8500066, ' odd': -0.0103303455, ' even': -5.725215}
{':': -8.926745, ' an': -9.848448, ' Even': -6.8646994, ' EVEN': -9.382075, ' even': -0.0015081347}
{' Odd': -7.1355, ' 1': -8.259411, 'odd': -9.100314, ' odd': -0.0015201324, ' even': -8.928277}
{':': -8.5151615, ' an': -9.091514, ' Even': -7.333776, ' odd': -8.44441, ' even': -0.0015040768}
{' odd': -0.020251494, ' Odd': -4.7184515, ' even': -4.8312445, ' 1': -6.368436, '\n': -7.5121465}
{' Odd': -5.489657, ' 1': -5.2419276, ' not': -5.808799, ' odd': -0.3299176, ' even': -1.3369156}
{':': -8.35178, ' Even': -8.206035, ' odd': -8.1083145, ' 0': -8.727044, ' even': -0.001468974}
{' Odd': -6.4392123, ':': -7.7266555, ' 1': -5.8814096, ' odd': -0.0074442257, ' even': -6.316504}
{' even': -0.0008725265, ' Even': -8.052366, ' ': -8.712165, ' EVEN': -9.044702, '\n': -9.7660675}
{' odd': -0.010856358, ' even': -5.5942616, ' 1': -5.8396163, ' Odd': -5.8457513, '\n': -7.875572}
{' even': -0.00052294007, ' Even': -8.485847, '\n': -9.61813, ' odd': -9.815706, ':': -10.065996}
{'\n': -8.195971, ' Odd': -6.169639, ' ': -7.7990437, ' 1': -7.330347, ' odd': -0.0041471496}
{'\n': -6.3083324, ' ': -5.513451, ':': -5.791199, ' an': -6.876155, ' even': -0.0124454135}
{'\n': -8.411439, ' Odd': -4.4283648, ' 1': -4.35379, ' odd': -0.027983952, ' even': -6.441644}
{' Odd': -4.94783, ':': -5.8805075, ' 1': -6.2159333, ' odd': -0.24806514, ' even': -1.594369}
{' even': -0.006481912, ' odd': -6.0506954, ' Even': -7.0423183, ':': -7.191412, ' 0': -7.3291087}
{'\n': -9.170729, ' Odd': -6.3714857, ' 1': -7.471629, ' odd': -0.0038259712, ' even': -7.0085654}
{'\n': -8.195506, ' ': -8.129522, ' Even': -6.318246, ' EVEN': -9.796937, ' even': -0.0025531629}
{'\n': -7.772512, ' Odd': -5.3522, ' 1': -5.6248655, ' odd': -0.024839342, ' even': -4.22175}
{' even': -0.0029402252, ' Even': -6.3758264, ':': -7.769437, ' odd': -8.700893, ' EVEN': -8.737693}
{' odd': -0.009851683, ' Odd': -5.251713, ' even': -5.6207485, ' 1': -8.100997, '\n': -8.575196}
{'\n': -8.737001, ' ': -9.115695, ':': -7.719009, ' Even': -7.512612, ' even': -0.0015251476}
{' odd': -0.019519808, ' Odd': -4.899021, ' even': -5.15926, ' 1': -5.2732525, '\n': -8.33726}
{' Odd': -5.4389997, ':': -7.063251, ' "': -7.5840917, ' odd': -0.041243207, ' even': -3.401028}
{':': -7.991116, ' Even': -7.864203, ' odd': -7.0773244, ' 0': -7.984453, ' even': -0.0029974969}
{' Odd': -5.2852693, ' 1': -7.932528, ' "': -7.8220243, ' odd': -0.010880763, ' even': -5.5278654}
{' even': -0.0009467437, ' Even': -7.929253, '\n': -8.842333, ' EVEN': -8.949414, ' ': -9.029409}
{' odd': -0.08839122, ' 1': -2.5838, ' Odd': -5.9190288, '\n': -6.362512, ' ': -6.3783393}
{' even': -0.00076795614, ' Even': -8.205877, '\n': -8.57436, ' ': -9.4105015, ' an': -9.597023}
{' Odd': -5.87179, ' an': -8.87562, ' 1': -7.353229, ' odd': -0.0051878714, ' even': -6.803564}
{' ': -8.699555, ':': -7.357983, ' Even': -7.7588315, ' odd': -8.478559, ' even': -0.0019150386}
{' odd': -0.02362224, ' Odd': -3.9934554, ' even': -5.9823437, ' 1': -7.0622096, ':': -7.6920724}
{' odd': -0.10202819, ' even': -2.5124934, ' 1': -4.5093107, ' Odd': -6.331618, ' 0': -7.176706}
{'\n': -9.737834, ':': -8.597634, ' Even': -6.6697435, ' odd': -8.821138, ' even': -0.0018800428}
{' odd': -0.011222057, ' Odd': -5.078385, ' even': -5.811544, ' 1': -7.214964, '\n': -8.116072}
{'\n': -8.7284775, ' ': -8.84014, ':': -8.70166, ' Even': -7.961871, ' even': -0.0012363212}
{' odd': -0.019386768, ' 1': -4.4174256, ' Odd': -5.775367, ' even': -6.1486425, ' ': -7.5401974}
{' even': -0.0013256647, ' Even': -6.9222455, ' an': -9.333128, ' odd': -9.850178, ':': -9.989624}
{' odd': -0.0040297247, ' Odd': -6.2485986, ' even': -7.159549, ' ': -7.792524, '\n': -8.470352}
{' even': -0.0018079075, ' Even': -7.4551826, ':': -7.965025, ' ': -8.043447, '\n': -8.939177}
{' Odd': -5.469529, ' ': -7.8595014, ' 1': -5.5153813, ' odd': -0.009632959, ' even': -8.142388}
{'\n': -5.725113, ' Odd': -5.6692, ' 1': -4.4702573, ' odd': -0.04432549, ' even': -4.1293993}
{':': -8.363368, ' an': -9.070246, ' Even': -6.458274, ' "': -9.5124655, ' even': -0.0023001817}
{' odd': -0.04697475, ' 1': -3.3096013, ' even': -5.4228616, ' Odd': -5.712248, '\n': -7.6616573}
{'\n': -7.213158, ' ': -6.1380224, ':': -8.001223, ' Even': -7.584599, ' even': -0.0046453695}
{'\n': -8.17566, ' Odd': -5.5023956, ' 1': -7.975775, ' odd': -0.041788597, ' even': -3.351107}
{' ': -9.759389, ' Even': -8.63787, ' EVEN': -9.750305, ' odd': -9.8845215, ' even': -0.00048036288}
{' Odd': -6.0223966, ' 1': -8.76517, 'odd': -8.671887, ' odd': -0.0033537557, ' even': -8.713658}
{' even': -0.0011495523, ' ': -8.363725, '\n': -8.397238, ' Even': -8.68349, ':': -8.89863}
{' odd': -0.04568537, ' 1': -3.781956, ' Odd': -4.050041, ' even': -5.8961277, '\n': -7.898759}
{' Odd': -5.8098903, ':': -6.67306, ' 1': -7.144881, ' odd': -0.18980505, ' even': -1.7997731}
{':': -7.9908338, ' Even': -6.919134, ' "': -8.500421, ' odd': -7.827611, ' even': -0.0023568186}
{' odd': -0.0048879837, ' Odd': -6.2702, ' even': -6.7574797, ' 1': -6.809918, ':': -8.616}
{'\n': -7.1375184, ' ': -5.6953874, ':': -7.1756964, ' Even': -7.367708, ' even': -0.007782482}
{' odd': -0.050919656, ' even': -3.1187944, ' Odd': -6.0854144, ' 1': -6.1452475, ':': -8.303941}
{' ': -9.559329, ' Even': -9.044772, ' EVEN': -10.070148, ' odd': -9.8823, ' even': -0.00043020982}
{'\n': -8.662744, ' Odd': -5.6597986, ' ': -8.8958025, ' odd': -0.016411642, ' even': -4.4286623}
{' ': -9.9946785, ':': -9.158708, ' an': -8.399686, ' Even': -7.0008793, ' even': -0.0014813296}
{'\n': -6.9037995, ' Odd': -4.3729477, ' 1': -2.888568, ' odd': -0.080096364, ' even': -5.2027044}
{' Odd': -6.513382, ':': -8.030684, ' 1': -6.1310396, ' odd': -0.069655195, ' even': -2.781617}
{' even': -0.0020521632, ' odd': -7.111992, ' Even': -7.8669086, ':': -8.494002, ' EVEN': -8.843014}
{'\n': -8.488463, ' Odd': -6.2584605, ' 1': -8.007698, ' odd': -0.005040312, ' even': -6.3154254}
{' ': -8.84476, ':': -9.041632, ' Even': -7.632922, ' EVEN': -9.471127, ' even': -0.001031884}
{'\n': -6.796726, ' Odd': -5.3730645, ' 1': -4.7503357, ' odd': -0.06512726, ' even': -3.0670478}
{' ': -10.051903, ' Even': -8.313523, ' EVEN': -9.81633, ' odd': -9.840669, ' even': -0.00052461185}
{' Odd': -5.6716523, ' an': -8.731283, ' 1': -8.883918, ' odd': -0.0056234887, ' even': -6.5653605}
{' ': -8.251457, ' an': -8.734039, ' Even': -8.218405, ' odd': -8.444181, ' even': -0.0012684878}
{' odd': -0.033759356, ' Odd': -3.9268332, ' even': -5.127062, ' 1': -5.2249737, '\n': -7.1783485}
{' odd': -0.057453662, ' even': -3.0433679, ' Odd': -5.4910445, ':': -6.954851, ' 1': -7.413391}
{' even': -0.004612493, ' odd': -6.0897865, ' Even': -7.320005, ':': -7.558567, ' ': -8.322182}
{' Odd': -5.2300043, ':': -7.958907, ' 1': -6.033782, ' odd': -0.010527358, ' even': -6.426893}
{'\n': -9.060267, ' ': -8.414133, ':': -9.141137, ' Even': -7.464435, ' even': -0.0012634745}
{' Odd': -4.6518154, ':': -7.545565, ' 1': -7.6334267, ' odd': -0.013420381, ' even': -6.204651}
{' ': -9.070759, ' an': -8.927561, ' Even': -7.7148986, ' odd': -7.666962, ' even': -0.0015107628}
{' Odd': -5.5009847, ' an': -8.00181, ' 1': -5.943971, ' odd': -0.015371766, ' even': -4.9349174}
{' even': -0.0008466986, ' Even': -8.207151, ' an': -9.04499, ' odd': -9.189527, ' ': -9.242579}
{' odd': -0.034170832, ' Odd': -4.1519933, ' 1': -4.639561, ' even': -5.139688, ' an': -7.574891}
{' Odd': -5.084093, ':': -5.985193, ' 1': -6.080664, ' odd': -0.09771195, ' even': -2.5773156}
{'\n': -8.973342, ':': -8.043647, ' Even': -7.650312, ' odd': -7.4461393, ' even': -0.0020336455}
{'\n': -7.02774, ' Odd': -5.62276, ' 1': -5.319304, ' odd': -0.012444568, ' even': -6.536552}
{' ': -8.663231, ':': -8.799821, ' Even': -7.1438475, ' EVEN': -8.996409, ' even': -0.0015542204}
{'\n': -7.814998, ' Odd': -5.6353374, ' 1': -4.5303254, ' odd': -0.035460398, ' even': -3.9644861}
{' ': -9.341564, ':': -8.971285, ' Even': -7.5904555, ' EVEN': -9.0291815, ' even': -0.0011030084}
{'\n': -8.784429, ' Odd': -6.028871, ' 1': -7.258923, ' odd': -0.0074135996, ' even': -5.6019855}
{' ': -8.809159, ':': -8.937356, ' an': -7.9556193, ' Even': -7.900966, ' even': -0.0013492389}
{' Odd': -4.401969, ':': -7.459763, ' an': -7.441939, ' odd': -0.03485438, ' even': -3.9571564}
{' Odd': -6.095495, ' an': -6.7255907, ' 1': -7.282524, ' odd': -0.15845226, ' even': -1.9676775}
{':': -7.370511, ' an': -7.9736614, ' Even': -6.641292, ' "': -7.8141932, ' even': -0.00377631}
{'\n': -7.1110945, ' Odd': -5.219152, ' 1': -5.06261, ' odd': -0.016862536, ' even': -5.721584}
{'\n': -9.4666395, ' ': -9.658408, ':': -9.886233, ' Even': -7.8573165, ' even': -0.0007075915}
{' Odd': -5.691895, ':': -7.468767, ' 1': -4.9531927, ' odd': -0.07380986, ' even': -2.8460858}
{'\n': -9.110629, ':': -8.713654, ' an': -9.148338, ' Even': -7.495924, ' even': -0.0012499288}
{' odd': -0.0066574644, ' even': -5.7689652, ' Odd': -6.016389, ' 1': -8.070531, '\n': -8.075565}
{'\n': -8.379784, ' ': -8.612703, ' Even': -8.254973, ' odd': -8.334177, ' even': -0.0013691148}
{' Odd': -4.9263296, ' an': -8.377643, ' 1': -5.368631, ' odd': -0.014855116, ' even': -6.3648376}
{' odd': -0.18174452, ' even': -1.8946484, ' 1': -5.2002897, ' Odd': -5.3579526, ':': -6.516642}
{' even': -0.0021718643, ':': -7.475788, ' odd': -7.8933296, ' ': -8.054777, ' Even': -8.115425}
{' odd': -0.014614188, ' Odd': -4.6808176, ':': -6.49364, ' even': -6.821918, ' ': -7.1843586}
{' ': -10.259351, ':': -10.118969, ' Even': -7.3778567, ' EVEN': -10.192617, ' even': -0.00083136663}
{' Odd': -5.6557055, ':': -8.461373, ' 1': -7.7866035, ' odd': -0.018311812, ' even': -4.3053985}
{' even': -0.00020525271, ' Even': -9.597784, ' an': -10.158257, ' ': -10.303372, '\n': -10.994721}
{' odd': -0.0075066793, ' 1': -5.8822527, ' Odd': -6.0080943, ' even': -6.5612803, ' ': -8.564644}
{'\n': -8.396993, ' ': -8.716563, ':': -8.513799, ' Even': -8.586036, ' even': -0.001124788}
{' odd': -0.022685036, ' Odd': -4.399508, ' 1': -5.266135, ' even': -5.832422, '\n': -7.24339}
{' Odd': -5.264094, ':': -5.850954, ' 1': -3.455998, ' odd': -0.16324489, ' even': -2.2532563}
{':': -7.84342, ' Even': -7.6067834, ' "': -8.488473, ' odd': -7.0557747, ' even': -0.0027384877}
{' odd': -0.009184407, ' Odd': -5.4846673, ' even': -6.005727, ' 1': -6.246446, ':': -8.831041}
{' ': -9.197792, ':': -10.228758, ' Even': -7.481443, ' EVEN': -9.774145, ' even': -0.0008687691}
{' Odd': -5.459468, ':': -8.529709, ' 1': -4.977849, ' odd': -0.068930715, ' even': -2.9087515}
{' even': -0.00057846407, ' Even': -8.148191, ' an': -9.826133, ' odd': -9.828053, ':': -10.169926}
{'\n': -8.8031435, ' Odd': -5.8269343, ' 1': -8.432692, ' odd': -0.008503029, ' even': -5.3701687}
{':': -8.405521, ' an': -8.717994, ' Even': -7.5468183, ' odd': -8.705288, ' even': -0.0014032573}
{' odd': -0.0744368, ' Odd': -3.1487145, ' even': -4.0228677, ' 1': -4.7902684, '\n': -6.6328397}
{' odd': -0.025818571, ' even': -4.279513, ' 1': -5.8998585, ' Odd': -6.0777693, ' ': -6.3137345}
{'\n': -7.385674, ' ': -7.5119123, ':': -6.9493165, ' 0': -7.0074677, ' even': -0.0044317893}
{' odd': -0.017633773, ' 1': -4.8531265, ' even': -5.188023, ' Odd': -5.852123, ' ': -8.375683}
{' even': -0.00049180974, ' Even': -8.300162, ' ': -9.437656, '\n': -10.068575, ' EVEN': -10.257886}
{'\n': -9.007379, ' Odd': -6.467102, ' 1': -7.383942, ' odd': -0.015465769, ' even': -4.3733606}
{' an': -9.300651, ' Even': -8.122459, ' "': -9.696214, ' odd': -9.077624, ' even': -0.0007313909}
{' Odd': -5.272993, ' 1': -8.571247, 'odd': -8.514636, ' odd': -0.0063003316, ' even': -8.566494}
{' ': -9.042603, ':': -7.1372414, ' an': -8.25906, ' Even': -5.8119082, ' even': -0.004651175}
{' odd': -0.011103498, ' 1': -5.355687, ' Odd': -5.490458, ' even': -6.4394403, ' an': -9.05484}
{' Odd': -5.900162, ' an': -6.758007, ' 1': -6.9112606, ' odd': -0.2618479, ' even': -1.5001214}
{' even': -0.007750166, ' odd': -5.542204, ' 0': -7.1224465, ' Even': -7.3214326, ' 1': -7.5073557}
{'\n': -7.8609757, ' Odd': -6.5604577, ' ': -7.284368, ' 1': -6.8474555, ' odd': -0.0043117586}
{' even': -0.00061406806, ' Even': -8.062694, ' ': -9.81671, ' odd': -9.966011, ' EVEN': -10.028155}
{' Odd': -5.9517694, ' 1': -6.945897, ' "': -7.6192408, ' odd': -0.32312647, ' even': -1.3101584}
{'\n': -9.209201, ' ': -9.033208, ':': -8.567919, ' Even': -7.6005354, ' even': -0.0011691842}
{' odd': -0.0070013977, ' Odd': -5.927339, ' even': -6.1358733, ' 1': -6.6392326, ' ': -8.533822}
{' ': -9.575615, ':': -9.026535, ' an': -8.374713, ' Even': -7.5452733, ' even': -0.0011892958}
{' Odd': -4.4564195, ':': -8.831862, ' 1': -6.481154, ' odd': -0.016100496, ' even': -6.162821}
{'\n': -5.7600274, ' Odd': -4.0162296, ':': -6.6903973, ' odd': -0.12879393, ' even': -2.3594706}
{' ': -7.3659277, ' 1': -6.6227703, ' odd': -5.785791, ' 0': -6.7319546, ' even': -0.008285262}
{' Odd': -6.1271844, ' 1': -3.1448686, ' "': -8.007723, ' odd': -0.049272433, ' even': -6.6939573}
{' even': -0.0011689449, ' Even': -7.2850947, ' EVEN': -8.936995, ' ': -9.29929, ':': -9.551879}
{' Odd': -5.8226857, ':': -8.320881, ' 1': -5.6090746, ' odd': -0.02188961, ' even': -4.259322}
{'\n': -8.629357, ' ': -8.994562, ':': -9.241358, ' Even': -8.159549, ' even': -0.0009572444}
{'\n': -7.963919, ' Odd': -6.5681415, ' ': -7.2968, ' 1': -5.1022696, ' odd': -0.009477462}
{'\n': -5.5558414, ' ': -5.207288, ':': -4.9198313, ' an': -6.299732, ' even': -0.023380416}
{'\n': -7.25775, ' Odd': -4.568741, ' ': -6.8028426, ' 1': -1.4612207, ' odd': -0.2821321}
{' odd': -0.1655466, ' even': -1.9497299, ' 1': -5.726139, ' Odd': -6.047632, ' an': -6.321216}
{' even': -0.0033910754, ' Even': -6.9250536, ':': -7.1563797, ' odd': -7.1781435, ' ': -8.474487}
{' Odd': -5.8340716, ':': -8.409198, ' 1': -7.1090455, ' odd': -0.007474189, ' even': -5.904976}
{' ': -10.028574, ':': -10.361191, ' Even': -8.097211, ' EVEN': -10.1680765, ' even': -0.00053206563}
{' odd': -0.0068070013, ' even': -5.7416873, ' Odd': -6.1126876, ' 1': -7.3901706, '\n': -8.612413}
{' ': -8.910176, ':': -8.460662, ' Even': -7.51014, ' EVEN': -9.0361185, ' even': -0.001433281}
{' Odd': -5.6063285, ' ': -8.642527, ':': -8.59434, ' odd': -0.0049532712, ' even': -7.7675185}
{' ': -8.582061, ' an': -8.134076, ' Even': -7.819944, ' odd': -7.6795106, ' even': -0.0018529918}
{' Odd': -4.9348097, ':': -8.6138115, ' 1': -8.204334, ' odd': -0.014748468, ' even': -5.06322}
{' Odd': -5.853053, ' 1': -4.323421, ' odd': -0.50477743, ' 0': -6.0672464, ' even': -0.98312706}
{'\n': -6.669862, ':': -6.680689, ' Even': -6.9364495, ' odd': -7.5117145, ' even': -0.0049217027}
{' Odd': -5.646424, ' 1': -6.482922, ' "': -8.494644, ' odd': -0.011876101, ' even': -5.1458483}
{'\n': -9.111703, ' ': -8.417147, ':': -8.74502, ' Even': -7.7990026, ' even': -0.0012025438}
{' odd': -0.010913664, ' even': -5.3142276, ' 1': -5.588966, ' Odd': -6.491844, ':': -8.595939}
{' ': -8.273213, ' an': -8.678543, ' Even': -8.145016, ' odd': -8.060268, ' even': -0.0015391757}
{' Odd': -5.7826943, ' an': -9.1138735, 'odd': -9.1664505, ' odd': -0.01375517, ' even': -4.598277}
{' even': -0.0017953081, ' odd': -7.53838, ' Even': -8.222924, ' an': -8.315281, ' ': -8.393962}
{'\n': -7.9793253, ' Odd': -5.01573, ' 1': -5.701375, ' odd': -0.01629071, ' even': -5.3125095}
{' Odd': -5.644247, ':': -7.0217853, ' 1': -4.72505, ' odd': -0.20723946, ' even': -1.7634317}
