{' No': -0.0012985077, ' ': -10.666913, 'No': -6.681705, ' no': -11.2756815, ' NO': -11.998761}
{' No': -0.0015093295, ' ': -10.701864, 'No': -6.5287113, ' no': -11.137961, ' NO': -11.63732}
{' No': -0.0014659873, ' ': -10.729464, 'No': -6.5583463, ' no': -11.125193, ' NO': -11.635941}
{' No': -0.001633801, ' ': -10.625981, 'No': -6.4544797, ' no': -10.786271, ' NO': -11.29022}
{' No': -0.001681324, ' ': -10.866435, 'No': -6.4072156, ' no': -12.318827, ' NO': -12.139145}
{' No': -0.0013161149, 'No': -6.6609373, ' ': -10.752758, ' no': -11.8908415, ' NO': -12.075934}
{' No': -0.0014149548, ' ': -10.746165, 'No': -6.5922637, ' no': -11.329995, ' NO': -11.740418}
{' No': -0.5975479, ' Yes': -0.8038143, 'Yes': -6.688858, 'No': -7.208452, ' ': -8.814806}
{' No': -0.0017677231, ' ': -10.90846, 'No': -6.3567443, ' no': -12.1507015, ' NO': -12.006347}
{' No': -0.0022876947, 'No': -6.167269, ' Yes': -8.767601, ' ': -10.649981, ' no': -12.639267}
{' No': -0.0010865398, 'No': -6.8394837, ' ': -11.639314, ' no': -12.571329, ' NO': -12.881629}
{' No': -0.00093433383, ' ': -11.527106, 'No': -7.002992, ' no': -11.564334, ' NO': -12.223635}
{' No': -0.000921388, ' ': -11.438414, 'No': -7.0188346, ' no': -11.540535, ' NO': -12.167483}
{' No': -0.0010035424, ' ': -11.399607, 'No': -6.9387937, ' no': -11.157986, ' NO': -11.81448}
{' No': -0.0011551618, ' ': -11.534311, 'No': -6.7792635, ' no': -12.661516, ' NO': -12.45388}
{' No': -0.00080929237, ' ': -11.493788, 'No': -7.142973, ' no': -12.325422, ' NO': -12.5439415}
{' No': -0.0010272283, ' ': -11.407742, 'No': -6.9088473, ' no': -11.406192, ' NO': -12.212499}
{' No': -2.776899, 'No': -10.106509, ' Yes': -0.06580545, ' yes': -9.321556, 'Yes': -6.6487}
{' No': -0.0011557596, ' ': -11.590981, 'No': -6.7797318, ' no': -12.524663, ' NO': -12.226041}
{' No': -0.0014227746, ' ': -11.591994, 'No': -6.7646003, ' Yes': -8.280647, ' NO': -13.113714}
{' No': -0.0013759792, ' ': -11.536479, 'No': -6.6030583, ' no': -12.20757, ' NO': -12.657355}
{' No': -0.0014157321, ' ': -11.149625, 'No': -6.5898757, ' no': -11.017004, ' NO': -11.666364}
{' No': -0.0012025438, ' ': -11.377749, 'No': -6.7466207, ' no': -11.62241, ' NO': -12.052809}
{' No': -0.0014199099, ' ': -11.100753, 'No': -6.5926065, ' no': -10.685973, ' NO': -11.616001}
{' No': -0.0016069341, ' ': -11.493258, 'No': -6.4470806, ' no': -12.316305, ' NO': -12.235556}
{' No': -0.0012017094, ' ': -11.347781, 'No': -6.7444158, ' no': -12.053923, ' NO': -12.188274}
{' No': -0.0013122956, ' ': -11.329082, 'No': -6.6610966, ' no': -11.3350525, ' NO': -11.9185915}
{' No': -0.96158, 'No': -7.7351146, ' Yes': -0.48512045, ' yes': -9.387181, 'Yes': -6.4998603}
{' No': -0.0017273573, ' ': -11.392582, 'No': -6.3744726, ' no': -12.41899, ' NO': -12.1815}
{' No': -0.0024782293, ' ': -11.296307, 'No': -6.102196, ' Yes': -8.432363, ' no': -12.915808}
{' No': -0.0012225333, ' ': -11.957923, 'No': -6.71816, ' no': -12.646767, ' NO': -12.685176}
{' No': -0.00098069, ' ': -11.916022, 'No': -6.9508758, ' no': -11.736318, ' NO': -11.82758}
{' No': -0.00095199456, 'No': -6.980177, ' ': -11.7834835, ' no': -11.856943, ' NO': -11.967177}
{' No': -0.0012085127, ' ': -11.616157, 'No': -6.747758, ' no': -11.177983, ' NO': -11.457618}
{' No': -0.0014827629, 'No': -6.525832, ' ': -11.646982, ' NO': -12.300401, ' no': -12.750158}
{' No': -0.0009956652, ' ': -11.7551155, 'No': -6.929342, ' no': -12.421, ' NO': -12.344618}
{' No': -0.0012112573, ' ': -11.585796, 'No': -6.7397327, ' no': -11.496857, ' NO': -11.799047}
{' No': -1.78244, 'No': -8.865624, ' Yes': -0.186302, ' yes': -9.462803, 'Yes': -6.509964}
{' No': -0.0012507641, ' ': -11.989655, 'No': -6.695941, ' no': -12.905912, ' NO': -12.175723}
{' No': -0.0018723995, ' ': -11.632739, 'No': -6.397771, ' Yes': -8.569169, ' NO': -12.645835}
{' No': -0.0010592701, ' ': -12.161617, 'No': -6.8610673, ' no': -12.852841, ' NO': -12.76485}
{' No': -0.00088839623, ' ': -11.8900385, 'No': -7.0494266, ' no': -11.909159, ' NO': -12.013965}
{' No': -0.0009075475, ' ': -11.810229, 'No': -7.0287623, ' no': -11.838655, ' NO': -11.994442}
{' No': -0.0011340956, 'No': -6.809878, ' no': -11.329167, ' NO': -11.579395, ' ': -11.6606655}
{' No': -0.0010527672, ' ': -11.970384, 'No': -6.8690066, ' no': -13.042178, ' NO': -12.44094}
{' No': -0.0007680734, ' ': -11.917658, 'No': -7.18914, ' no': -12.693103, ' NO': -12.690221}
{' No': -0.0010914339, ' ': -11.845536, 'No': -6.8380666, ' no': -11.975449, ' NO': -12.215359}
{' No': -0.8093301, 'No': -7.9438305, ' Yes': -0.5916538, ' yes': -9.789989, 'Yes': -6.9268756}
{' No': -0.0010900006, ' ': -12.256305, 'No': -6.8320355, ' no': -13.265511, ' NO': -12.405148}
{' No': -0.00154849, ' ': -12.025964, 'No': -6.539947, ' Yes': -9.295489, ' NO': -12.840617}
{' No': -0.0012129882, 'No': -6.724819, ' ': -12.122026, ' no': -12.582465, ' NO': -12.938197}
{' No': -0.0010134461, ' ': -11.933384, 'No': -6.9148316, ' no': -11.803296, ' NO': -12.117147}
{' No': -0.00094519305, ' ': -12.160994, 'No': -6.980374, ' no': -12.156882, ' NO': -12.402944}
{' No': -0.0013508496, ' ': -11.638677, 'No': -6.6315117, ' no': -11.192785, ' NO': -11.682852}
{' No': -0.0013909019, ' ': -11.850904, 'No': -6.588244, ' no': -12.834173, ' NO': -12.608399}
{' No': -0.0011370213, ' ': -11.861282, 'No': -6.792734, ' no': -12.60775, ' NO': -12.479645}
{' No': -0.001154684, ' ': -11.907951, 'No': -6.7806416, ' no': -11.890605, ' NO': -12.328929}
{' No': -2.2390268, 'No': -9.219987, ' Yes': -0.114791475, ' yes': -9.274791, 'Yes': -6.400697}
{' No': -0.0015961875, ' ': -11.878724, 'No': -6.450446, ' no': -12.735822, ' NO': -12.232539}
{' No': -0.0017398376, ' ': -11.92393, 'No': -6.5174274, ' Yes': -8.298431, ' NO': -13.134642}
{' No': -0.0022341672, ' ': -11.867613, 'No': -6.1126785, ' no': -12.286928, ' NO': -12.230165}
{' No': -0.0018107733, 'No': -6.3338113, ' no': -11.327052, ' NO': -11.363277, ' ': -11.595437}
{' No': -0.0017712459, ' ': -11.472551, 'No': -6.3563166, ' no': -11.4045725, ' NO': -11.381199}
{' No': -0.0018546645, ' ': -11.458151, 'No': -6.3131104, ' no': -11.065962, ' NO': -11.231799}
{' No': -0.0027729755, ' ': -11.583091, 'No': -5.897765, ' no': -12.20213, ' NO': -11.749166}
{' No': -0.0015833542, ' ': -11.590396, 'No': -6.462471, ' no': -12.278027, ' NO': -11.948944}
{' No': -0.0017962635, ' ': -11.49356, 'No': -6.3394117, ' no': -11.570216, ' NO': -11.656352}
{' No': -0.4859004, ' ': -9.534654, 'No': -6.8121347, ' Yes': -0.9614673, 'Yes': -6.6644545}
{' No': -0.002707347, ' ': -11.714368, 'No': -5.9226894, ' no': -12.0655575, ' NO': -11.463793}
{' No': -0.003345563, ' ': -11.44135, 'No': -5.735904, ' Yes': -9.342112, ' NO': -11.796371}
{' No': -0.0015579807, ' ': -10.887393, 'No': -6.484373, ' no': -11.932401, ' NO': -12.619092}
{' No': -0.001633801, ' ': -10.668967, 'No': -6.445672, ' no': -11.156197, ' NO': -12.008832}
{' No': -0.0014399061, ' ': -10.668522, 'No': -6.5743995, ' no': -11.27515, ' NO': -12.011233}
{' No': -0.0014637242, ' ': -10.757533, 'No': -6.562655, ' no': -10.782975, ' NO': -11.8504095}
{' No': -0.0016803684, ' ': -10.731482, 'No': -6.4087586, ' no': -12.303487, ' NO': -12.385048}
{' No': -0.0014498152, ' ': -10.664427, 'No': -6.563345, ' no': -11.729401, ' NO': -12.230626}
{' No': -0.0015041932, ' ': -10.694892, 'No': -6.5308104, ' no': -11.073485, ' NO': -12.098011}
{' No': -0.09237186, ' ': -9.171921, 'No': -6.8279753, ' Yes': -2.4441957, 'Yes': -8.371685}
{' No': -0.0017624685, ' ': -10.919207, 'No': -6.358904, ' no': -12.081012, ' NO': -12.2748165}
{' No': -0.0025554334, ' ': -10.829427, 'No': -5.990781, ' Yes': -10.766585, ' no': -12.246437}
{' No': -0.0017106972, ' ': -11.1785, 'No': -6.3858805, ' no': -11.987677, ' NO': -12.734935}
{' No': -0.0017586462, 'No': -6.3697224, ' ': -10.809078, ' no': -11.022245, ' NO': -11.9269085}
{' No': -0.001740674, 'No': -6.382066, ' ': -10.704602, ' no': -10.950252, ' NO': -11.983755}
{' No': -0.0017158334, ' ': -10.710322, 'No': -6.4023504, ' no': -10.584843, ' NO': -11.795647}
{' No': -0.0018809984, ' ': -11.018724, 'No': -6.2917194, ' no': -12.084467, ' NO': -12.333047}
{' No': -0.001588485, 'No': -6.46656, ' ': -10.862352, ' no': -11.743524, ' NO': -12.295615}
{' No': -0.00159159, ' ': -10.892618, 'No': -6.4694085, ' no': -11.165443, ' NO': -12.010663}
{' No': -0.009387326, ' ': -10.213939, 'No': -6.419633, ' Yes': -4.8737845, 'Yes': -10.517858}
{' No': -0.0017528548, ' ': -11.192263, 'No': -6.36243, ' no': -12.014506, ' NO': -12.198438}
{' No': -0.002432461, ' ': -10.972034, 'No': -6.035206, ' Yes': -11.444829, ' no': -12.349164}
{' No': -0.0015555937, ' ': -11.082669, 'No': -6.48149, ' no': -12.410407, ' NO': -12.788917}
{' No': -0.001520491, 'No': -6.513012, ' ': -10.91688, ' no': -11.458713, ' NO': -12.097219}
{' No': -0.0011968153, ' ': -11.077747, 'No': -6.7528, ' no': -11.696358, ' NO': -12.432208}
{' No': -0.0013983622, ' ': -10.889271, 'No': -6.6059914, ' no': -10.841236, ' NO': -12.068354}
{' No': -0.0016409649, ' ': -10.846092, 'No': -6.4303613, ' no': -12.513307, ' NO': -12.498995}
{' No': -0.0012569706, ' ': -10.949615, 'No': -6.7020736, ' no': -12.050892, ' NO': -12.562829}
{' No': -0.0014975072, ' ': -10.743071, 'No': -6.531931, ' no': -11.311455, ' NO': -12.182746}
{' No': -0.123076916, ' ': -9.321605, 'No': -6.835423, ' Yes': -2.1690097, 'Yes': -8.025811}
{' No': -0.0017419852, ' ': -11.143712, 'No': -6.3676267, ' no': -12.230397, ' NO': -12.421335}
{' No': -0.0018204479, ' ': -11.078678, 'No': -6.330495, ' Yes': -11.050283, ' no': -12.76751}
{' No': -0.0025874036, ' ': -11.038285, 'No': -5.971341, ' no': -11.438176, ' NO': -12.419242}
{' No': -0.0024221244, ' ': -10.747122, 'No': -6.047189, ' no': -10.710235, ' NO': -11.692432}
{' No': -0.0022213247, ' ': -10.759141, 'No': -6.1331644, ' no': -10.897847, ' NO': -11.825179}
{' No': -0.002013161, 'No': -6.243073, ' no': -10.272178, ' ': -10.768505, ' NO': -11.638067}
{' No': -0.0032153754, 'No': -5.7527976, ' ': -10.875791, ' no': -11.779999, ' NO': -12.001473}
{' No': -0.002267144, ' ': -10.919042, 'No': -6.106314, ' no': -11.465315, ' NO': -12.187086}
{' No': -0.0024043773, ' ': -10.701325, 'No': -6.054034, ' no': -10.802142, ' NO': -11.834463}
{' No': -0.027353419, ' ': -9.724836, 'No': -6.009739, ' Yes': -3.7162893, 'Yes': -8.953003}
{' No': -0.003166284, ' ': -11.02665, 'No': -5.767408, ' no': -11.7443, ' NO': -11.954216}
{' No': -0.004340733, ' ': -10.899266, 'No': -5.451843, ' Yes': -11.398734, ' no': -12.149014}
{' No': -0.0014311315, ' ': -11.558584, 'No': -6.5634236, ' no': -12.050859, ' NO': -12.801557}
{' No': -0.0011970546, ' ': -11.520228, 'No': -6.7522626, ' no': -11.334327, ' NO': -12.137817}
{' No': -0.0011609484, ' ': -11.588097, 'No': -6.7798705, ' no': -11.558358, ' NO': -12.340791}
{' No': -0.0013167119, ' ': -11.380736, 'No': -6.663384, ' no': -10.845463, ' NO': -11.876012}
{' No': -0.0017001327, 'No': -6.390557, ' ': -11.3515215, ' NO': -12.299689, ' no': -12.451703}
{' No': -0.0012845406, 'No': -6.674744, ' ': -11.363215, ' no': -12.1572075, ' NO': -12.511185}
{' No': -0.0016027552, ' ': -11.120695, 'No': -6.45796, ' no': -11.371604, ' NO': -12.060374}
{' No': -0.14904206, ' ': -9.817786, 'No': -6.8545833, ' Yes': -1.9882259, 'Yes': -7.839983}
{' No': -0.0018403905, ' ': -11.491932, 'No': -6.310737, ' no': -12.200177, ' NO': -12.072765}
{' No': -0.0023541907, ' ': -11.174554, 'No': -6.0746956, ' Yes': -10.429363, ' no': -12.658569}
{' No': -0.003718695, ' ': -9.982036, 'No': -5.623627, ' no': -10.52144, ' NO': -10.742192}
{' No': -0.0032508948, 'No': -5.779537, ' no': -9.824963, ' ': -9.877619, ' NO': -10.047325}
{' No': -0.0030328324, ' ': -9.840775, 'No': -5.848372, ' no': -10.062656, ' NO': -10.082056}
{' No': -0.003478397, 'No': -5.718593, ' no': -9.561109, ' ': -9.780086, ' NO': -9.847405}
{' No': -0.0040059634, ' ': -9.594187, 'No': -5.5548615, ' no': -10.662954, ' NO': -10.463578}
{' No': -0.00341452, 'No': -5.7143764, ' ': -9.851633, ' no': -10.555082, ' NO': -10.55862}
{' No': -0.0030010846, ' ': -9.761485, 'No': -5.8594456, ' no': -10.016208, ' NO': -10.27}
{' No': -0.023557857, ' ': -9.045606, 'No': -6.302442, ' Yes': -3.8528898, 'Yes': -9.392596}
{' No': -0.0025789775, ' ': -10.408752, 'No': -5.994461, ' no': -10.864231, ' NO': -10.414936}
{' No': -0.0034203217, ' ': -9.942938, 'No': -5.7272153, ' Yes': -9.631708, ' NO': -10.588194}
{' No': -0.0024374207, 'No': -6.0297585, ' ': -11.14, ' no': -11.626361, ' NO': -12.573184}
{' No': -0.0021612914, ' ': -11.042656, 'No': -6.159683, ' no': -10.796409, ' NO': -11.743064}
{' No': -0.0019077518, 'No': -6.2855015, ' no': -10.933417, ' ': -10.97607, ' NO': -11.956154}
{' No': -0.0020567016, ' ': -10.991282, 'No': -6.215109, ' no': -10.466248, ' NO': -11.674829}
{' No': -0.0031478675, ' ': -10.824885, 'No': -5.7743464, ' no': -11.670884, ' NO': -12.085422}
{' No': -0.002491913, ' ': -10.810646, 'No': -6.012053, ' no': -11.343661, ' NO': -12.073963}
{' No': -0.0025791577, 'No': -5.9817543, ' no': -10.783203, ' ': -10.79966, ' NO': -11.748649}
{' No': -0.006419641, ' ': -10.464908, 'No': -6.067752, ' Yes': -5.5146155, 'Yes': -10.776742}
{' No': -0.0036948242, ' ': -11.06568, 'No': -5.611332, ' no': -11.7195, ' NO': -12.026662}
{' No': -0.004031819, 'No': -5.525121, ' ': -10.942, ' Yes': -11.490385, ' no': -12.235929}
{' No': -0.0036950633, ' ': -11.09877, 'No': -5.6124115, ' no': -11.48243, ' NO': -11.919638}
{' No': -0.0034344355, ' ': -10.868722, 'No': -5.69529, ' no': -10.49812, ' NO': -11.084636}
{' No': -0.003082515, ' ': -10.766567, 'No': -5.8048863, ' no': -10.566706, ' NO': -11.15855}
{' No': -0.003175551, ' ': -10.862976, 'No': -5.778138, ' no': -10.237254, ' NO': -11.01846}
{' No': -0.0042226245, ' ': -11.07849, 'No': -5.4784293, ' no': -11.67695, ' NO': -11.617413}
{' No': -0.0028680747, ' ': -10.963857, 'No': -5.8695817, ' no': -11.460281, ' NO': -11.635989}
{' No': -0.0028680747, ' ': -10.919185, 'No': -5.872752, ' no': -11.011485, ' NO': -11.469854}
{' No': -0.023501348, ' ': -9.864473, 'No': -5.76067, ' Yes': -3.9178872, 'Yes': -9.012117}
{' No': -0.0038371007, ' ': -11.241464, 'No': -5.5736494, ' no': -11.770044, ' NO': -11.627879}
{' No': -0.004981965, ' ': -11.151059, 'No': -5.313938, ' Yes': -10.980858, ' no': -12.008129}
{' No': -0.001110587, ' ': -11.261832, 'No': -6.822445, ' no': -12.488745, ' NO': -12.683496}
{' No': -0.0010155938, ' ': -11.201027, 'No': -6.9214215, ' no': -11.747148, ' NO': -12.052963}
{' No': -0.000960586, ' ': -10.988151, 'No': -6.9846196, ' no': -11.617796, ' NO': -11.876087}
{' No': -0.0009936969, ' ': -11.083786, 'No': -6.9521422, ' no': -11.249349, ' NO': -11.875346}
{' No': -0.0014606201, 'No': -6.549661, ' ': -10.910979, ' NO': -12.20633, ' no': -12.537435}
{' No': -0.0010445323, 'No': -6.893171, ' ': -10.947228, ' no': -12.165958, ' NO': -12.209325}
{' No': -0.0011593406, ' ': -10.917705, 'No': -6.7902055, ' no': -11.723018, ' NO': -12.034707}
{' No': -0.056400537, ' ': -9.678505, 'No': -7.0326767, ' Yes': -2.9234238, 'Yes': -8.962929}
{' No': -0.0014150739, 'No': -6.5769763, ' ': -11.20925, ' NO': -12.267798, ' no': -12.947807}
{' No': -0.001550279, 'No': -6.502582, ' Yes': -10.417607, ' ': -11.272926, ' NO': -12.738688}
{' No': -0.0010954889, ' ': -11.304798, 'No': -6.8358674, ' no': -12.500624, ' NO': -12.676596}
{' No': -0.0010325994, ' ': -11.1090355, 'No': -6.9064875, ' no': -11.74471, ' NO': -11.933359}
{' No': -0.0009527098, ' ': -11.153841, 'No': -6.9871297, ' no': -11.801037, ' NO': -12.077623}
{' No': -0.0010919089, ' ': -10.955393, 'No': -6.855923, ' no': -11.371248, ' NO': -11.777546}
{' No': -0.0014867033, ' ': -10.872619, 'No': -6.5322003, ' no': -12.522446, ' NO': -12.235117}
{' No': -0.0010432191, ' ': -11.002262, 'No': -6.892143, ' no': -12.355231, ' NO': -12.271611}
{' No': -0.0011663195, ' ': -10.970125, 'No': -6.7810807, ' no': -11.950886, ' NO': -12.118202}
{' No': -0.04826013, ' ': -9.554634, 'No': -6.9773426, ' Yes': -3.0794716, 'Yes': -9.091068}
{' No': -0.0014335185, 'No': -6.5666056, ' ': -11.019751, ' NO': -12.161746, ' no': -12.811249}
{' No': -0.0017404355, 'No': -6.382108, ' Yes': -10.742737, ' ': -10.879784, ' NO': -12.688581}
{' No': -0.0012681301, ' ': -11.230529, 'No': -6.687198, ' no': -12.676287, ' NO': -12.640448}
{' No': -0.0011900119, ' ': -11.067658, 'No': -6.7603145, ' no': -11.879781, ' NO': -11.881543}
{' No': -0.0010653554, 'No': -6.872086, ' ': -11.098172, ' no': -11.964914, ' NO': -12.01168}
{' No': -0.001169662, ' ': -10.982166, 'No': -6.7829475, ' no': -11.494792, ' NO': -11.7588625}
{' No': -0.0015559513, ' ': -10.842074, 'No': -6.485736, ' no': -12.577009, ' NO': -12.194864}
{' No': -0.001116432, ' ': -10.982478, 'No': -6.8224874, ' no': -12.503498, ' NO': -12.181364}
{' No': -0.0012608491, 'No': -6.700912, ' ': -10.967072, ' no': -12.018725, ' NO': -12.054381}
{' No': -0.053114977, ' ': -9.64238, 'No': -7.019719, ' Yes': -2.9830923, 'Yes': -9.013255}
{' No': -0.0014954205, 'No': -6.5196815, ' ': -11.283703, ' NO': -12.309173, ' no': -13.055934}
{' No': -0.0016800108, 'No': -6.4146113, ' Yes': -10.78515, ' ': -11.141267, ' NO': -12.716754}
{' No': -0.0015737416, ' ': -10.928255, 'No': -6.47307, ' no': -12.35296, ' NO': -12.495713}
{' No': -0.0016204864, 'No': -6.456708, ' ': -10.617736, ' no': -11.260214, ' NO': -11.570501}
{' No': -0.0014572776, ' ': -10.593457, 'No': -6.565136, ' no': -11.339924, ' NO': -11.661843}
{' No': -0.001496911, ' ': -10.650022, 'No': -6.5418563, ' no': -10.899903, ' NO': -11.555031}
{' No': -0.0022289718, ' ': -10.582717, 'No': -6.1254373, ' no': -12.1978245, ' NO': -12.06079}
{' No': -0.0014562628, ' ': -10.7293625, 'No': -6.5575705, ' no': -11.966787, ' NO': -12.091034}
{' No': -0.0016287267, ' ': -10.635727, 'No': -6.4469585, ' no': -11.665425, ' NO': -11.86835}
{' No': -0.017780168, ' Yes': -4.124059, 'No': -6.630714, ' ': -9.707097, 'Yes': -9.833873}
{' No': -0.0022060913, ' ': -10.804095, 'No': -6.1326323, ' no': -12.478149, ' NO': -12.005163}
{' No': -0.0026405314, ' ': -10.781034, 'No': -5.956505, ' Yes': -10.943293, ' NO': -12.448431}
{' No': -0.0012831083, ' ': -11.144163, 'No': -6.6777606, ' no': -12.263578, ' NO': -12.654775}
{' No': -0.0012413335, ' ': -10.87691, 'No': -6.724307, ' no': -11.390808, ' NO': -11.805336}
{' No': -0.0012076764, ' ': -10.8932705, 'No': -6.74922, ' no': -11.640551, ' NO': -11.955335}
