{' A': -0.80889344, 'A': -10.1387825, ' B': -0.59010154, ' "': -8.692387, " '": -9.863986}
{' A': -0.06398921, 'A': -9.70281, ' B': -2.7854455, ' "': -9.029521, " '": -10.121814}
{' A': -0.010078884, 'A': -9.65607, ' B': -4.627316, ' "': -9.328267, " '": -10.23714}
{' A': -0.0332858, 'A': -9.62169, ' B': -3.4264264, ' "': -9.465503, " '": -10.441906}
{' A': -0.009575907, 'A': -9.724229, ' B': -4.6735525, ' "': -9.707566, " '": -10.682422}
{' A': -0.028626973, 'A': -9.688891, ' B': -3.5758164, ' "': -9.353713, " '": -10.430548}
{' A': -0.015862297, 'A': -9.750033, ' B': -4.1649823, ' "': -9.488201, " '": -10.553095}
{' A': -0.0054900087, 'A': -9.741712, ' B': -5.250626, ' "': -9.296726, " '": -10.386426}
{' A': -0.0141019765, ' B': -4.286849, ' "': -9.179955, 'A': -9.717633, " '": -10.305528}
{' A': -0.008761371, 'A': -9.784561, ' B': -4.764846, ' "': -9.509657, " '": -10.654206}
{' A': -0.010234777, 'A': -9.724194, ' B': -4.6109886, ' "': -9.259877, " '": -10.356844}
{' A': -0.11966379, ' B': -2.1849487, ' "': -8.92672, 'A': -9.763604, " '": -10.139188}
{' A': -0.14527434, ' B': -2.0034459, ' "': -8.710382, " '": -9.804659, 'A': -9.829001}
{' b': -9.736645, ' A': -1.1053301, ' B': -0.4027715, ' "': -8.703072, " '": -9.5673685}
{' B': -0.63193685, ' A': -0.7592849, ' "': -8.71799, " '": -9.547301, ' b': -9.896319}
{' b': -9.645831, ' A': -0.9183398, ' B': -0.51019007, ' "': -8.739901, " '": -9.612781}
{' A': -0.5287516, 'A': -9.918769, ' B': -0.8910067, ' "': -8.777766, " '": -9.665717}
{' b': -9.687623, ' A': -1.1250786, ' B': -0.39301914, ' "': -8.97919, " '": -9.914251}
{' A': -0.2684227, 'A': -9.6217, ' B': -1.4483219, ' "': -8.619881, " '": -9.452246}
{' A': -0.31272194, 'A': -9.725428, ' B': -1.3162582, ' "': -8.889239, " '": -9.700184}
{' A': -0.2960189, 'A': -9.754447, ' B': -1.3631748, ' "': -8.888084, " '": -9.675293}
{' A': -0.1891312, 'A': -9.697478, ' B': -1.7604661, ' "': -8.995655, " '": -9.823413}
{' A': -0.20644884, 'A': -9.703885, ' B': -1.6808941, ' "': -9.179939, " '": -9.835425}
{' A': -0.19141617, 'A': -9.731761, ' B': -1.7497847, ' "': -8.752676, " '": -9.538508}
{' A': -0.08563599, 'A': -9.625065, ' B': -2.503946, ' "': -9.231177, " '": -9.836084}
{' A': -0.081954, 'A': -9.630255, ' B': -2.545827, ' "': -9.343513, " '": -10.065207}
{' A': -0.059050776, 'A': -9.643041, ' B': -2.8638585, ' "': -9.294666, " '": -9.969899}
{' A': -0.3642448, 'A': -9.870049, ' B': -1.1876721, ' "': -9.069497, " '": -9.758567}
{' A': -0.09549647, 'A': -9.561711, ' B': -2.3999588, ' "': -8.928611, " '": -9.769339}
{' A': -0.07674466, 'A': -9.612584, ' B': -2.6095722, ' "': -9.220707, " '": -9.8781595}
{' A': -0.045245547, 'A': -9.66411, ' B': -3.1250029, ' "': -9.254767, " '": -9.8659}
{' A': -0.06193833, 'A': -9.623964, ' B': -2.8174999, ' "': -9.235554, " '": -9.884055}
{' A': -0.045149513, 'A': -9.649438, ' B': -3.1272666, ' "': -9.197053, " '": -9.850587}
{' A': -0.017567469, 'A': -9.611532, ' B': -4.068047, ' "': -9.205889, " '": -9.828004}
{' A': -0.046104155, 'A': -9.638777, ' B': -3.1068854, ' "': -9.171735, " '": -9.829689}
{' A': -0.03442448, 'A': -9.629626, ' B': -3.3947628, ' "': -9.269566, " '": -9.943041}
{' A': -0.02757489, 'A': -9.657908, ' B': -3.6150708, ' "': -9.277632, " '": -9.929556}
{' A': -0.09748813, 'A': -9.657509, ' B': -2.379835, ' "': -9.098088, " '": -9.751086}
{' A': -0.022623943, ' B': -3.815158, ' "': -9.07628, 'A': -9.590432, " '": -9.657518}
{' A': -0.07448893, 'A': -9.620286, ' B': -2.6385033, ' "': -9.206683, " '": -9.862295}
{' A': -0.017979562, 'A': -9.647216, ' B': -4.0424967, ' "': -9.431993, " '": -10.0663595}
{' A': -0.03973182, 'A': -9.596888, ' B': -3.252506, ' "': -9.345007, " '": -10.064933}
{' A': -0.03435779, 'A': -9.639558, ' B': -3.3960273, ' "': -9.404728, " '": -10.069663}
{' A': -0.015076011, 'A': -9.649787, ' B': -4.2208614, ' "': -9.312869, " '": -9.965731}
{' A': -0.02711393, 'A': -9.611075, ' B': -3.6316574, ' "': -9.359608, " '": -10.046429}
{' A': -0.018053902, 'A': -9.654725, ' B': -4.037715, ' "': -9.470881, " '": -10.151559}
{' A': -0.014622051, ' B': -4.2507553, ' "': -9.408643, 'A': -9.661067, " '": -10.069499}
{' A': -0.19505964, 'A': -9.777076, ' B': -1.7326173, ' "': -8.708253, " '": -9.592392}
{' A': -0.2882132, ' B': -1.3863424, ' "': -8.663837, " '": -9.488709, 'A': -9.808826}
{' b': -10.069981, ' A': -0.93919, ' B': -0.49639904, ' "': -8.933631, " '": -9.895256}
{' b': -9.984573, ' A': -1.0639367, ' B': -0.42371035, ' "': -9.183953, " '": -10.124888}
{' b': -10.078728, ' A': -0.98661447, ' B': -0.46699178, ' "': -9.323313, " '": -10.1017475}
{' A': -0.6061981, 'A': -10.092829, ' B': -0.7889812, ' "': -9.378919, " '": -10.165138}
{' B': -0.2760941, ' A': -1.4229714, ' "': -9.315643, ' b': -9.794706, " '": -10.309992}
{' A': -0.33017623, 'A': -9.698349, ' B': -1.2698735, ' "': -9.04084, " '": -9.860315}
{' A': -0.44020432, 'A': -9.917121, ' B': -1.0333135, ' "': -9.47896, " '": -10.166388}
{' A': -0.2809612, 'A': -9.833032, ' B': -1.4078323, ' "': -9.420269, " '": -10.134244}
{' A': -0.31581292, ' B': -1.3072603, ' "': -9.607651, 'A': -9.832544, " '": -10.296914}
{' A': -0.20788386, 'A': -9.759445, ' B': -1.6742096, ' "': -9.599985, " '": -10.323789}
{' A': -0.30702507, 'A': -9.835712, ' B': -1.3317748, ' "': -8.828645, " '": -9.761606}
{' A': -0.09322985, 'A': -9.639606, ' B': -2.4218793, ' "': -9.465534, " '": -10.200433}
{' A': -0.12249506, ' B': -2.1623147, ' "': -9.615915, 'A': -9.72932, " '": -10.329937}
{' A': -0.056099486, ' B': -2.91252, 'A': -9.719773, ' "': -9.746869, " '": -10.416229}
{' A': -0.46335688, 'A': -10.008242, ' B': -0.99275476, ' "': -9.355748, " '": -10.0546055}
{' A': -0.14639394, 'A': -9.667321, ' B': -1.995763, ' "': -9.356889, " '": -10.132216}
{' A': -0.0871473, 'A': -9.7064495, ' B': -2.486195, ' "': -9.645785, " '": -10.31261}
{' A': -0.05293849, ' B': -2.9691544, 'A': -9.730198, ' "': -9.745134, " '": -10.415699}
{' A': -0.06541606, 'A': -9.66231, ' B': -2.763128, ' "': -9.6688795, " '": -10.337273}
{' A': -0.0382687, ' B': -3.2880604, 'A': -9.691059, ' "': -9.735185, " '": -10.387156}
{' A': -0.019108228, 'A': -9.690851, ' B': -3.978823, ' "': -9.702681, " '": -10.306008}
{' A': -0.04198432, 'A': -9.686748, ' B': -3.1968114, ' "': -9.71803, " '": -10.363686}
{' A': -0.06943098, 'A': -9.690108, ' B': -2.705299, ' "': -9.655367, " '": -10.354567}
{' A': -0.048705913, ' B': -3.0506818, ' "': -9.675421, 'A': -9.724803, " '": -10.381893}
{' A': -0.15841956, 'A': -9.727976, ' B': -1.922349, ' "': -9.4914255, " '": -10.2048025}
{' A': -0.031018823, 'A': -9.653901, ' B': -3.4965372, ' "': -9.524682, " '": -10.195701}
{' A': -0.10629351, 'A': -9.714055, ' B': -2.2966087, ' "': -9.585583, " '": -10.26322}
{' A': -0.028401284, 'A': -9.700056, ' B': -3.5829036, ' "': -9.802772, " '": -10.485193}
{' A': -0.05798952, 'A': -9.649133, ' B': -2.8801596, ' "': -9.74798, " '": -10.498243}
{' A': -0.048824452, 'A': -9.675423, ' B': -3.0483418, ' "': -9.745239, " '": -10.4628105}
{' A': -0.02350617, ' B': -3.7715166, 'A': -9.658715, ' "': -9.712443, " '": -10.391688}
{' A': -0.028941914, 'A': -9.680638, ' B': -3.5643938, ' "': -9.756169, " '": -10.488342}
{' A': -0.04176722, 'A': -9.692596, ' B': -3.2016203, ' "': -9.742858, " '": -10.486648}
{' A': -0.026340738, 'A': -9.68812, ' B': -3.6577876, ' "': -9.790393, " '": -10.483362}
{' A': -0.33298725, ' B': -1.2625985, ' "': -9.0812, 'A': -9.91997, " '": -9.926446}
{' A': -0.5001857, 'A': -10.063259, ' B': -0.93332946, ' "': -8.935509, " '": -9.661315}
{' A': -0.81004566, ' B': -0.5891747, ' (': -10.071151, ' "': -8.794911, " '": -9.838153}
{' A': -0.8346837, ' B': -0.5698083, ' (': -10.139259, ' "': -8.857781, " '": -9.950902}
{' b': -10.137254, ' A': -0.87571096, ' B': -0.53939575, ' "': -8.9331255, " '": -10.017134}
{' A': -0.47133434, 'A': -10.038539, ' B': -0.97949785, ' "': -8.976653, " '": -10.044472}
{' b': -10.214237, ' A': -1.0866184, ' B': -0.41192424, ' "': -9.173152, " '": -10.251499}
{' A': -0.33182073, 'A': -9.848614, ' B': -1.265796, ' "': -8.71364, " '": -9.887954}
{' A': -0.29332078, 'A': -9.898539, ' B': -1.3708012, ' "': -9.086647, " '": -10.06116}
{' A': -0.31059426, ' B': -1.3216836, ' "': -9.146717, 'A': -9.883338, " '": -10.135149}
{' A': -0.16428703, 'A': -9.819012, ' B': -1.8889518, ' "': -9.271218, " '": -10.183365}
{' A': -0.17208882, ' B': -1.8462945, ' "': -9.237891, 'A': -9.83088, " '": -10.190284}
{' A': -0.21621428, ' B': -1.6392679, ' "': -8.959586, 'A': -9.858349, " '": -9.905413}
{' A': -0.062356763, 'A': -9.735746, ' B': -2.8101134, ' "': -9.40873, " '": -10.209369}
{' A': -0.08575632, 'A': -9.75431, ' B': -2.501814, ' "': -9.411991, " '": -10.217848}
{' A': -0.05746572, 'A': -9.766746, ' B': -2.889659, ' "': -9.413283, " '": -10.155686}
{' A': -0.337627, 'A': -9.935599, ' B': -1.2508045, ' "': -9.360222, " '": -10.173926}
{' A': -0.10680048, 'A': -9.665365, ' B': -2.2924902, ' "': -9.227381, " '": -10.114187}
{' A': -0.061503027, 'A': -9.782446, ' B': -2.823237, ' "': -9.487711, " '": -10.219157}
{' A': -0.038336642, 'A': -9.815221, ' B': -3.2866845, ' "': -9.492365, " '": -10.2016325}
{' A': -0.06773918, 'A': -9.770527, ' B': -2.7294936, ' "': -9.426851, " '": -10.193018}
{' A': -0.035868194, 'A': -9.760746, ' B': -3.3526616, ' "': -9.476227, " '": -10.196709}
{' A': -0.019441282, 'A': -9.753606, ' B': -3.9631839, ' "': -9.369096, " '": -10.115555}
{' A': -0.030352585, ' B': -3.5184946, ' "': -9.428727, 'A': -9.746343, " '": -10.150706}
{' A': -0.04198028, 'A': -9.782329, ' B': -3.1969922, ' "': -9.52362, " '": -10.292254}
{' A': -0.030826405, 'A': -9.790815, ' B': -3.5022886, ' "': -9.46703, " '": -10.238956}
{' A': -0.103636965, 'A': -9.767717, ' B': -2.3209126, ' "': -9.280767, " '": -10.066578}
{' A': -0.027897222, 'A': -9.716676, ' B': -3.6034243, ' "': -9.181219, " '": -9.964755}
{' A': -0.065958686, ' B': -2.75528, ' "': -9.501492, 'A': -9.743356, " '": -10.26335}
{' A': -0.020229295, 'A': -9.756124, ' B': -3.9219244, ' "': -9.593949, " '": -10.35528}
{' A': -0.03465628, ' B': -3.3861117, ' "': -9.590369, 'A': -9.707325, " '": -10.384231}
{' A': -0.031140992, 'A': -9.747554, ' B': -3.4920082, ' "': -9.575418, " '": -10.379974}
{' A': -0.027051281, 'A': -9.740549, ' B': -3.6324587, ' "': -9.4173565, " '": -10.242851}
{' A': -0.027827784, 'A': -9.742729, ' B': -3.6039917, ' "': -9.547116, " '": -10.346127}
{' A': -0.017540295, 'A': -9.752656, ' B': -4.0644326, ' "': -9.61425, " '": -10.440155}
{' A': -0.013276855, 'A': -9.788886, ' B': -4.344194, ' "': -9.651641, " '": -10.449869}
{' A': -0.22209741, 'A': -9.921054, ' B': -1.615204, ' "': -8.8933325, " '": -9.964536}
{' A': -0.34744954, 'A': -9.999759, ' B': -1.2271262, ' "': -8.6864, " '": -9.523361}
{' b': -9.97547, ' A': -1.25239, 'A': -10.417734, ' B': -0.33705348, ' "': -9.0041895}
{' B': -0.42930782, ' A': -1.0534916, ' "': -8.910765, ' b': -9.9536915, 'A': -10.417668}
{' b': -9.845533, ' A': -1.1683862, 'A': -10.500291, ' B': -0.37278348, ' "': -8.958726}
{' A': -0.49512967, 'A': -9.886094, ' B': -0.9411899, ' (': -10.196964, ' "': -8.871015}
{' b': -10.013351, ' A': -0.83625466, 'A': -10.231415, ' B': -0.56851447, ' "': -9.044716}
{' A': -0.34515253, 'A': -9.739191, ' B': -1.2324853, ' "': -8.967051, " '": -10.358829}
{' A': -0.52694607, 'A': -9.880902, ' B': -0.89344895, ' (': -10.081431, ' "': -8.861693}
{' A': -0.31670043, 'A': -9.7446165, ' B': -1.3053193, ' (': -10.0785475, ' "': -8.749287}
{' A': -0.20434266, ' B': -1.6899517, ' "': -9.092779, 'A': -9.719928, ' (': -10.37428}
{' A': -0.17171465, 'A': -9.703399, ' B': -1.8485277, ' (': -10.336668, ' "': -8.941183}
{' A': -0.17011459, 'A': -9.680248, ' B': -1.8572007, ' "': -8.885553, " '": -10.376242}
{' A': -0.0770884, 'A': -9.652062, ' B': -2.605155, ' (': -10.24192, ' "': -8.988584}
{' A': -0.104267165, ' B': -2.3152199, ' "': -9.111857, 'A': -9.701226, ' (': -10.525075}
{' A': -0.053038545, 'A': -9.681466, ' B': -2.968169, ' (': -10.477373, ' "': -9.182536}
{' A': -0.3257702, 'A': -9.844003, ' B': -1.281062, ' (': -10.486088, ' "': -9.091048}
{' A': -0.08405635, 'A': -9.592749, ' B': -2.5214589, ' (': -10.529641, ' "': -9.096797}
{' A': -0.08779971, 'A': -9.677694, ' B': -2.4795766, ' (': -10.411719, ' "': -9.093693}
{' A': -0.044895064, ' B': -3.131788, ' "': -9.126614, 'A': -9.70088, ' (': -10.460211}
{' A': -0.05259359, 'A': -9.679579, ' B': -2.9761775, ' (': -10.538098, ' "': -9.248516}
{' A': -0.028629178, 'A': -9.633021, ' B': -3.576845, ' (': -10.475485, ' "': -9.186342}
{' A': -0.010265971, 'A': -9.677303, ' B': -4.608296, ' (': -10.462973, ' "': -9.292827}
{' A': -0.03709185, 'A': -9.698084, ' B': -3.3194003, ' (': -10.504012, ' "': -9.322095}
{' A': -0.048880156, 'A': -9.691784, ' B': -3.047848, ' (': -10.62879, ' "': -9.236073}
{' A': -0.06231889, ' B': -2.8109033, ' "': -9.098858, 'A': -9.694845, ' (': -10.590583}
{' A': -0.08938169, 'A': -9.689973, ' B': -2.4621882, ' (': -10.679895, ' "': -9.185019}
{' A': -0.023599539, 'A': -9.645055, ' B': -3.7697828, ' "': -9.11836, " '": -10.511701}
{' A': -0.056179676, 'A': -9.644714, ' B': -2.911818, ' (': -10.443942, ' "': -9.249098}
{' A': -0.02572738, 'A': -9.685164, ' B': -3.6820784, ' (': -10.584252, ' "': -9.369905}
{' A': -0.05498632, 'A': -9.641039, ' B': -2.932496, ' (': -10.636394, ' "': -9.328999}
{' A': -0.035429023, 'A': -9.679531, ' B': -3.3643475, ' (': -10.701951, ' "': -9.386425}
{' A': -0.016568158, 'A': -9.63823, ' B': -4.1230874, ' (': -10.643888, ' "': -9.323443}
{' A': -0.038542844, ' B': -3.2817905, ' "': -9.233789, 'A': -9.669249, ' (': -10.52204}
{' A': -0.01721315, ' B': -4.084588, ' "': -9.328142, 'A': -9.655169, ' (': -10.620262}
{' A': -0.014540401, 'A': -9.640965, ' B': -4.255465, ' (': -10.512062, ' "': -9.258547}
{' A': -0.0890898, ' B': -2.4659019, ' "': -8.951676, 'A': -9.637491, " '": -10.483504}
{' A': -0.22118318, 'A': -9.773471, ' B': -1.6188864, ' "': -8.830262, " '": -10.282413}
{' A': -0.35213187, ' B': -1.2162199, ' "': -8.471509, " '": -9.5414095, 'A': -9.656993}
{' A': -0.31443295, 'A': -9.675763, ' B': -1.3116807, ' "': -8.602813, " '": -9.646826}
{' A': -0.32668737, 'A': -9.69549, ' B': -1.279183, ' "': -8.6052685, " '": -9.687222}
{' A': -0.15071316, 'A': -9.592463, ' B': -1.9694655, ' "': -8.737834, " '": -9.8363695}
{' A': -0.39626354, 'A': -9.791657, ' B': -1.1185517, ' "': -8.569648, " '": -9.720655}
{' A': -0.0856541, ' B': -2.5045345, ' "': -8.692734, 'A': -9.553097, " '": -9.828861}
{' A': -0.1139898, 'A': -9.514903, ' B': -2.231656, ' "': -8.761577, " '": -9.811774}
{' A': -0.06315738, 'A': -9.521785, ' B': -2.7995732, ' "': -8.754211, " '": -9.810136}
{' A': -0.05868076, 'A': -9.616056, ' B': -2.8701525, ' "': -9.0170965, " '": -10.053802}
{' A': -0.037892483, 'A': -9.58821, ' B': -3.3002555, ' "': -8.973317, " '": -10.014041}
{' A': -0.029641354, 'A': -9.552878, ' B': -3.5448294, ' "': -8.850039, " '": -9.888381}
{' A': -0.012393452, 'A': -9.609029, ' B': -4.4220996, ' "': -8.958277, " '": -9.960925}
{' A': -0.016126966, 'A': -9.67663, ' B': -4.154017, ' "': -8.929909, " '": -10.048883}
{' A': -0.010291204, 'A': -9.698799, ' B': -4.611121, ' "': -8.947878, " '": -10.00546}
{' A': -0.08891259, 'A': -9.586088, ' B': -2.468088, ' "': -8.93759, " '": -9.922282}
{' A': -0.014188607, 'A': -9.550644, ' B': -4.2841563, ' "': -8.985725, " '": -10.064721}
{' A': -0.029133422, 'A': -9.577108, ' B': -3.5619664, ' "': -8.876751, " '": -9.816312}
{' A': -0.0075555644, 'A': -9.674758, ' B': -4.929098, ' "': -9.040133, " '": -9.922346}
{' A': -0.010136747, 'A': -9.625403, ' B': -4.6246653, ' "': -9.122867, " '": -10.0312}
{' A': -0.011732798, 'A': -9.627883, ' B': -4.4777017, ' "': -8.998291, " '": -9.883355}
{' A': -0.003697337, 'A': -9.660598, ' B': -5.688308, ' "': -8.997309, " '": -9.866984}
{' A': -0.009174181, 'A': -9.622106, ' B': -4.7269015, ' "': -9.19989, " '": -10.053601}
{' A': -0.007089697, ' B': -4.990547, ' "': -9.22676, 'A': -9.64183, " '": -10.120118}
{' A': -0.0069426363, ' B': -5.0145087, ' "': -9.075107, 'A': -9.724392, " '": -9.951934}
{' A': -0.01778296, 'A': -9.574198, ' B': -4.056517, ' "': -8.956187, " '": -9.835886}
{' A': -0.0038885595, 'A': -9.601287, ' B': -5.6367292, ' "': -8.956479, " '": -9.819565}
{' A': -0.011414904, 'A': -9.563224, ' B': -4.5043783, ' "': -9.15058, " '": -10.004848}
{' A': -0.0070781712, ' B': -4.990255, ' "': -9.305089, 'A': -9.64292, " '": -10.194351}
{' A': -0.009250821, 'A': -9.62372, ' B': -4.7136645, ' "': -9.376651, " '": -10.286018}
{' A': -0.007327438, 'A': -9.645723, ' B': -4.955325, ' "': -9.2520895, " '": -10.176019}
{' A': -0.0029226525, 'A': -9.629609, ' B': -5.9394746, ' "': -9.113369, " '": -9.995806}
{' A': -0.0059965695, ' B': -5.1732097, ' "': -8.996514, 'A': -9.628297, " '": -9.827952}
{' A': -0.004388923, ' B': -5.485122, ' "': -9.329431, 'A': -9.7381115, " '": -10.24082}
{' A': -0.0034886256, ' B': -5.7420573, ' "': -9.096381, 'A': -9.733027, " '": -9.97379}
{' A': -0.023684066, 'A': -9.653636, ' B': -3.7688086, ' "': -8.798662, " '": -9.903679}
{' A': -0.029791113, 'A': -9.641301, ' B': -3.5417366, ' "': -8.58433, " '": -9.626808}
{' b': -10.186025, ' A': -0.98553544, 'A': -10.364844, ' B': -0.4676884, ' "': -8.886969}
{' b': -10.31992, ' A': -0.82382023, 'A': -10.298664, ' B': -0.5781021, ' "': -9.02542}
{' A': -0.6556959, ' B': -0.73259836, ' "': -9.085099, 'A': -10.222342, " '": -10.610099}
{' A': -0.43280995, ' B': -1.0468713, ' "': -9.038388, 'A': -10.035236, ' (': -10.569324}
{' B': -0.44786188, ' A': -1.0194333, ' "': -9.411445, ' b': -10.493262, 'A': -10.57026}
{' A': -0.25531867, 'A': -9.682905, ' B': -1.4916315, ' (': -10.520822, ' "': -8.879955}
{' A': -0.23390026, 'A': -9.8379965, ' B': -1.5686246, ' (': -10.7041645, ' "': -9.39438}
{' A': -0.17046462, 'A': -9.812343, ' B': -1.8549606, ' (': -10.587977, ' "': -9.104289}
{' A': -0.16505611, 'A': -9.817071, ' B': -1.884382, ' "': -9.352877, " '": -10.766569}
{' A': -0.09216034, 'A': -9.790925, ' B': -2.4320822, ' (': -11.012958, ' "': -9.636182}
{' A': -0.11039667, 'A': -9.728195, ' B': -2.2609763, ' "': -9.08567, " '": -10.526126}
{' A': -0.05112113, 'A': -9.794923, ' B': -3.002901, ' "': -9.521447, " '": -10.919993}
{' A': -0.038893647, ' B': -3.2709816, ' "': -9.639598, 'A': -9.805277, " '": -11.03832}
{' A': -0.02636754, 'A': -9.755848, ' B': -3.6554682, ' (': -10.937381, ' "': -9.826448}
{' A': -0.28052673, 'A': -9.954235, ' B': -1.4089848, ' "': -9.383157, " '": -10.771955}
{' A': -0.063915625, 'A': -9.694613, ' B': -2.7861388, ' "': -9.134369, " '": -10.643872}
{' A': -0.04534608, 'A': -9.721627, ' B': -3.1212797, ' (': -10.561411, ' "': -9.376935}
{' A': -0.02892492, 'A': -9.769711, ' B': -3.5645635, ' (': -10.72416, ' "': -9.574742}
{' A': -0.026770603, ' B': -3.641402, ' "': -9.617758, 'A': -9.719965, ' (': -10.763893}
{' A': -0.013871806, 'A': -9.737851, ' B': -4.2994094, ' (': -10.749304, ' "': -9.619164}
{' A': -0.0052023097, 'A': -9.732692, ' B': -5.3023953, ' (': -10.634257, ' "': -9.561617}
{' A': -0.022821134, 'A': -9.693054, ' B': -3.8007944, ' (': -10.654509, ' "': -9.596929}
{' A': -0.027989531, 'A': -9.789396, ' B': -3.5975428, ' "': -9.388003, " '": -10.833776}
{' A': -0.024203276, ' B': -3.7416735, ' "': -9.475132, 'A': -9.809104, " '": -10.85287}
{' A': -0.031099489, 'A': -9.81676, ' B': -3.4919913, ' "': -9.593475, " '": -10.960497}
{' A': -0.006034587, 'A': -9.679665, ' B': -5.1516166, ' (': -10.615395, ' "': -9.454061}
{' A': -0.041500766, 'A': -9.736388, ' B': -3.2083876, ' "': -9.305705, " '": -10.705337}
{' A': -0.009723175, 'A': -9.738063, ' B': -4.656606, ' (': -10.833195, ' "': -9.853154}
{' A': -0.026800541, ' B': -3.6405528, ' "': -9.446034, 'A': -9.749936, " '": -10.879659}
{' A': -0.013337077, 'A': -9.833781, ' B': -4.33578, ' (': -11.24713, ' "': -9.824027}
{' A': -0.0040621012, 'A': -9.786259, ' B': -5.558166, ' "': -9.491664, " '": -10.858907}
{' A': -0.008462092, 'A': -9.7539835, ' B': -4.7957544, ' (': -10.947473, ' "': -9.952722}
{' a': -11.234968, ' A': -0.0064231795, 'A': -9.843702, ' B': -5.0760756, ' "': -9.784982}
{' A': -0.008928902, 'A': -9.852258, ' B': -4.7425904, ' "': -9.642978, " '": -11.021233}
{' A': -0.15016237, 'A': -9.812849, ' B': -1.972451, ' "': -8.806396, " '": -10.372737}
{' A': -0.13994016, 'A': -9.797023, ' B': -2.0378625, ' "': -8.942666, " '": -10.403188}
{' A': -0.6861912, 'A': -10.087709, ' B': -0.7009579, ' "': -8.5988865, " '": -9.854971}
{' B': -0.6575126, ' A': -0.73081774, ' "': -8.839696, " '": -10.038718, ' b': -10.162594}
{' b': -10.140759, ' A': -0.70233136, ' B': -0.68474555, ' "': -8.809939, " '": -10.023357}
{' A': -0.36891407, 'A': -9.947733, ' B': -1.1770214, ' "': -8.953592, " '": -10.123835}
{' b': -10.233898, ' A': -0.68698597, ' B': -0.6999388, ' "': -9.0283, " '": -10.232428}
{' A': -0.15572801, 'A': -9.607064, ' B': -1.9389789, ' "': -8.820381, " '": -9.942495}
{' A': -0.29666296, 'A': -9.871148, ' B': -1.3610607, ' "': -9.008311, " '": -10.08276}
{' A': -0.18100585, 'A': -9.774305, ' B': -1.8001311, ' "': -9.126866, " '": -10.0851965}
{' A': -0.15143102, 'A': -9.813495, ' B': -1.9642723, ' "': -9.218259, " '": -10.268741}
{' A': -0.113327146, 'A': -9.780606, ' B': -2.2360191, ' "': -9.236928, " '": -10.328894}
{' A': -0.13279273, ' B': -2.087079, ' "': -8.952015, 'A': -9.770901, " '": -10.046969}
{' A': -0.046643708, 'A': -9.715992, ' B': -3.094028, ' "': -9.329777, " '": -10.234513}
{' A': -0.0580127, 'A': -9.756769, ' B': -2.8801866, ' "': -9.3741665, " '": -10.306717}
{' A': -0.039928604, 'A': -9.753914, ' B': -3.246706, ' "': -9.397406, " '": -10.3034315}
{' A': -0.2396065, 'A': -9.852624, ' B': -1.547399, ' "': -9.2868395, " '": -10.208628}
