{' No': -0.008999929, ' ': -10.2733345, ' Generally': -10.194226, 'No': -4.7260695, ' Yes': -10.883266}
{' No': -0.010546394, ' ': -10.213526, ' Generally': -8.996697, 'No': -4.5918603, ' Yes': -8.638786}
{' No': -0.009379808, ' ': -10.088405, ' Generally': -9.312089, 'No': -4.711002, ' Yes': -8.550582}
{' No': -0.008105096, ' ': -10.352242, ' Generally': -10.413867, 'No': -4.8392057, ' Yes': -9.334365}
{' No': -0.010955121, ' ': -10.050634, ' Generally': -10.103739, 'No': -4.8226366, ' Yes': -5.8968396}
{' No': -0.007653041, ' ': -10.008844, 'No': -5.083874, ' Yes': -6.590695, 'Yes': -12.182607}
{' No': -0.21679017, ' Generally': -3.5697868, 'No': -4.7602644, ' Yes': -1.9232378, ' It': -4.773131}
{' No': -0.18769413, ' Generally': -3.2113776, 'No': -4.59086, ' Yes': -2.3418784, ' It': -3.8842235}
{' No': -0.03258344, ' Generally': -5.207121, 'No': -4.482086, ' Yes': -4.851017, ' It': -5.0703964}
{' No': -0.04767079, ' Generally': -5.4434814, 'No': -4.6808457, ' Yes': -3.4366171, ' It': -8.499903}
{' No': -0.009763743, ' ': -9.547905, ' Generally': -9.799757, 'No': -4.8452816, ' Yes': -6.3741856}
{' No': -6.111244, ' Generally': -3.7758014, ' Yes': -0.031483546, 'Yes': -6.17089, ' It': -5.9609013}
{' No': -2.6974785, ' Generally': -4.2299433, 'No': -6.880503, ' Yes': -0.09144504, 'Yes': -5.9247766}
{' No': -2.46807, ' Generally': -3.7787411, 'No': -6.5018263, ' Yes': -0.12083162, 'Yes': -5.9417415}
{' No': -0.017911779, ' Yes': -4.6796565, 'No': -4.7903, ' ': -9.79529, ' Generally': -9.842017}
{' Yes': -0.003850205, 'Yes': -6.2653813, ' Generally': -6.3439703, ' yes': -9.826582, ' Typically': -10.153815}
{' No': -9.692681, ' Generally': -6.452495, ' Yes': -0.0032477838, ' yes': -9.865822, 'Yes': -6.5375133}
{' No': -3.3690476, ' Generally': -8.381633, 'No': -8.097888, ' Yes': -0.03826604, 'Yes': -6.0266695}
{' No': -3.520749, ' Generally': -4.186528, ' Yes': -0.04984942, 'Yes': -6.2740107, ' It': -7.23049}
{' No': -2.0500677, ' Generally': -6.266153, 'No': -6.6398582, ' Yes': -0.14446256, 'Yes': -6.119148}
{' ': -11.188236, ' Generally': -11.168065, ' Yes': -0.001398243, ' yes': -10.232483, 'Yes': -6.623373}
{' No': -0.009727509, ' ': -10.291949, ' Generally': -8.978471, 'No': -4.6602917, ' Yes': -10.099502}
{' No': -0.009966781, ' ': -10.366531, ' Generally': -9.284227, 'No': -4.6401796, ' Yes': -9.036631}
{' No': -0.009776504, ' ': -10.63273, ' Generally': -9.536435, 'No': -4.6583242, ' Yes': -8.88197}
{' No': -0.0077803214, ' ': -10.212816, ' Generally': -10.138265, 'No': -4.8781548, ' Yes': -9.849454}
{' No': -0.0078594815, 'No': -5.00159, ' Yes': -6.878838, ' Generally': -10.218345, ' ': -10.557107}
{' No': -0.00799556, 'No': -5.169616, ' Yes': -6.1115165, ' ': -9.98922, 'Yes': -11.862789}
{' No': -0.23307985, ' Generally': -3.4558868, 'No': -4.7055626, ' Yes': -2.0387914, ' It': -3.4501321}
{' No': -0.24413773, ' Generally': -3.0258493, 'No': -4.6323934, ' Yes': -2.4151084, ' It': -2.7685423}
{' No': -0.09848475, ' Generally': -4.6361814, 'No': -4.5053563, ' Yes': -3.061146, ' It': -3.74601}
{' No': -0.029746655, ' Generally': -5.548431, 'No': -4.7074122, ' Yes': -4.1980815, ' It': -7.190334}
{' No': -0.010478931, ' ': -9.543034, ' Generally': -9.439272, 'No': -4.8927245, ' Yes': -5.8983}
{' No': -5.6108456, ' Generally': -3.47467, ' Yes': -0.05158797, 'Yes': -6.0381203, ' It': -4.476133}
{' No': -2.56902, ' Generally': -3.641331, ' Yes': -0.11759639, 'Yes': -5.9140134, ' It': -6.0598373}
{' No': -1.6019374, ' Generally': -2.9758275, 'No': -5.720372, ' Yes': -0.30913657, ' It': -5.249078}
{' No': -0.03329665, ' Generally': -9.329338, 'No': -4.8023334, ' Yes': -3.718784, 'Yes': -9.2907295}
{' Yes': -0.0053412057, ' Generally': -5.671387, 'Yes': -6.4269567, ' Typically': -9.737851, ' yes': -9.8917055}
{' No': -8.587333, ' Generally': -5.785189, ' Yes': -0.0049525523, 'Yes': -6.5673475, ' It': -9.420121}
{' No': -3.8103645, ' Generally': -7.757445, 'No': -8.676146, ' Yes': -0.025181822, 'Yes': -6.247124}
{' No': -2.8917685, ' Generally': -3.597827, ' Yes': -0.097214684, 'Yes': -6.3601727, ' It': -5.1933413}
{' No': -2.4626665, ' Generally': -6.191478, 'No': -7.25002, ' Yes': -0.09463219, 'Yes': -6.272357}
{' ': -11.016403, ' Generally': -10.669512, ' Yes': -0.0010787218, ' yes': -10.224995, 'Yes': -6.9098043}
{' No': -0.009484624, ' ': -10.131261, ' Generally': -8.1696005, 'No': -4.747199, ' Yes': -7.8013697}
{' No': -0.010938973, ' ': -10.133852, ' Generally': -8.150127, 'No': -4.6903744, ' Yes': -6.626742}
{' No': -0.01007479, ' ': -10.070885, ' Generally': -8.080488, 'No': -4.7879543, ' Yes': -6.6401267}
{' No': -0.007802246, 'No': -4.9377337, ' Yes': -7.7845073, ' Generally': -8.9754, ' ': -10.2692995}
{' No': -0.011604409, ' ': -10.054361, ' Generally': -8.451217, 'No': -4.9990096, ' Yes': -5.406376}
{' No': -0.011841661, ' ': -9.936287, 'No': -5.3358407, ' Yes': -4.9801717, 'Yes': -11.00823}
{' No': -0.31691846, ' Generally': -3.249776, 'No': -4.728766, ' Yes': -1.6521978, ' It': -3.6134038}
{' No': -0.32269895, ' Generally': -2.89461, 'No': -4.6386857, ' Yes': -1.9505295, ' It': -2.7798522}
{' No': -0.06747963, ' Generally': -4.402555, 'No': -4.432878, ' Yes': -3.5276043, ' It': -4.606792}
{' No': -0.13280152, ' Generally': -4.2441735, 'No': -4.635433, ' Yes': -2.3312953, ' It': -6.474507}
{' No': -0.01155032, 'No': -4.8296957, ' Yes': -5.7227187, ' Generally': -8.929186, ' ': -9.79032}
{' No': -5.765501, ' Generally': -3.252684, ' Yes': -0.059170544, 'Yes': -6.1988773, ' It': -4.475512}
{' Yes': -0.03886979, ' No': -3.8167853, ' Generally': -4.420696, 'Yes': -5.98891, ' It': -7.733795}
{' Yes': -0.13027383, ' No': -2.6544247, ' Generally': -3.1430528, ' It': -5.6987724, 'Yes': -6.2023354}
{' No': -0.02234097, ' Generally': -9.0123205, 'No': -4.8017597, ' Yes': -4.2945824, 'Yes': -9.8771925}
{' Generally': -5.398061, ' Typically': -9.394191, ' Yes': -0.0064002033, ' yes': -9.875434, 'Yes': -6.4415708}
{' Generally': -5.2869744, ' Typically': -9.367575, ' Yes': -0.0067566526, 'Yes': -6.661858, ' It': -9.283307}
{' No': -3.9930549, ' Generally': -7.342159, 'No': -8.819287, ' Yes': -0.0215812, 'Yes': -6.24994}
{' No': -3.9694476, ' Generally': -3.429025, ' Yes': -0.058146995, 'Yes': -6.4564276, ' It': -6.2931743}
{' Yes': -0.070931144, ' No': -2.7545936, ' Generally': -6.1718116, 'Yes': -6.2939806, 'No': -7.4820023}
{' ': -11.218501, ' Generally': -10.341046, ' Yes': -0.0010388028, ' yes': -10.239907, 'Yes': -6.9569097}
{' No': -0.014002175, ' ': -9.419018, ' Generally': -7.243021, 'No': -4.373408, ' Yes': -7.9303875}
{' An': -9.077904, ' No': -0.014892925, ' Generally': -6.859529, 'No': -4.413697, ' Yes': -6.672004}
{' No': -0.014623261, ' ': -9.4747095, ' Generally': -6.616885, 'No': -4.4049487, ' Yes': -7.292381}
{' An': -9.46412, ' No': -0.013138487, ' Generally': -7.0610943, 'No': -4.520991, ' Yes': -6.844134}
{' An': -9.09067, ' No': -0.013004121, ' Generally': -7.7347717, 'No': -4.6654506, ' Yes': -5.869961}
{' No': -0.013939315, 'No': -4.678162, ' Yes': -5.4342256, ' ': -9.06109, ' Generally': -10.499779}
{' No': -1.7863374, ' Generally': -3.5055144, ' Yes': -0.25750792, 'Yes': -5.8447785, ' It': -4.095206}
{' Yes': -0.58407843, ' No': -1.2817484, ' It': -2.5204988, ' Generally': -2.7498176, 'No': -5.406887}
{' No': -0.39844584, ' Generally': -3.3234851, 'No': -4.4518366, ' Yes': -1.6011074, ' It': -2.6827705}
{' No': -0.48359814, ' Generally': -3.6446145, 'No': -4.751437, ' Yes': -1.0949261, ' It': -4.7710185}
{' No': -0.02114942, ' ': -8.695329, ' Generally': -8.000143, 'No': -4.4414945, ' Yes': -4.7683225}
{' Generally': -3.8776686, ' Yes': -0.03175778, 'Yes': -6.0465817, ' In': -7.4455204, ' It': -5.1612535}
{' No': -5.5528727, ' Generally': -4.2873507, ' Yes': -0.023854418, 'Yes': -5.799596, ' It': -6.5495286}
{' No': -4.785615, ' Generally': -3.8707232, ' Yes': -0.037183277, 'Yes': -5.830827, ' It': -6.11367}
{' No': -0.34596273, ' Generally': -7.2126102, 'No': -4.617689, ' Yes': -1.2725717, 'Yes': -6.6282096}
{' Generally': -5.3832736, ' Typically': -9.216723, ' Yes': -0.0068832175, ' yes': -9.38639, 'Yes': -6.3000174}
{' Generally': -4.821083, ' Yes': -0.011470974, 'Yes': -6.2579594, ' In': -8.741655, ' It': -7.305626}
{' No': -4.5490956, ' Generally': -7.0529947, 'No': -8.72171, ' Yes': -0.015499911, 'Yes': -5.6623445}
{' No': -6.136182, ' Generally': -3.927693, ' Yes': -0.031576984, 'Yes': -6.0756955, ' It': -5.36282}
{' No': -4.7384267, ' ': -8.721516, ' Generally': -6.049013, ' Yes': -0.014841383, 'Yes': -5.853658}
{' Yes': -0.0022275376, 'Yes': -6.2263713, ' Generally': -8.948436, ' yes': -9.432235, ' ': -10.694581}
{' No': -0.009614904, ' ': -9.681131, ' Generally': -9.041234, 'No': -4.6869736, ' Yes': -8.808456}
{' No': -0.00955587, ' ': -9.746914, ' Generally': -9.20381, 'No': -4.755527, ' Yes': -7.2385955}
{' No': -0.008742008, ' ': -9.734636, ' Generally': -8.734316, 'No': -4.7960553, ' Yes': -8.551132}
{' No': -0.0076625296, ' ': -9.904446, ' Generally': -9.442068, 'No': -4.9165215, ' Yes': -8.739496}
{' No': -0.0072797644, ' ': -9.973235, ' Generally': -9.549692, 'No': -5.0022, ' Yes': -7.8841276}
{' No': -0.0059054294, ' ': -9.845549, ' Generally': -11.595236, 'No': -5.283905, ' Yes': -7.201515}
{' Yes': -0.64539057, ' No': -0.87057406, ' Generally': -3.6651525, ' It': -3.913026, 'No': -5.409196}
{' No': -0.40419322, ' Yes': -1.4530004, ' It': -3.132438, ' Generally': -3.193336, 'No': -4.937377}
{' No': -0.24139978, ' Generally': -4.140856, 'No': -4.8470325, ' Yes': -1.8805407, ' It': -3.4122334}
{' No': -0.03324267, ' Generally': -5.465137, 'No': -4.7607627, ' Yes': -4.0145845, ' It': -6.8950586}
{' No': -0.010436526, ' ': -9.22366, ' Generally': -8.437182, 'No': -5.152675, ' Yes': -5.4660254}
{' No': -5.5123515, ' Generally': -3.6833363, ' Yes': -0.044216212, 'Yes': -6.343237, ' It': -4.570513}
{' No': -3.1732457, ' Generally': -3.6876674, ' Yes': -0.07990214, 'Yes': -6.0137987, ' It': -5.3021173}
{' Yes': -0.65070355, ' No': -0.91889584, ' Generally': -2.888779, ' It': -4.438242, 'No': -5.2170033}
{' No': -0.03486944, ' Generally': -7.8480115, 'No': -5.0107603, ' Yes': -3.6122773, 'Yes': -9.408932}
{' Generally': -4.9707813, ' Typically': -9.159702, ' Yes': -0.008972383, 'Yes': -6.47069, ' It': -9.129534}
{' Yes': -0.0080499975, ' Generally': -5.151969, 'Yes': -6.6337175, ' No': -8.073603, ' It': -8.159465}
{' No': -2.493637, ' Generally': -6.5142817, 'No': -7.4889526, ' Yes': -0.090820394, 'Yes': -6.307787}
{' No': -2.6416821, ' Generally': -3.5577052, ' Yes': -0.117485635, 'Yes': -6.423584, ' It': -5.0257974}
{' No': -2.4299984, ' Generally': -5.534355, 'No': -7.423246, ' Yes': -0.0995559, 'Yes': -6.4334807}
{' ': -10.860311, ' Generally': -9.175521, ' Yes': -0.0011569526, ' yes': -10.243495, 'Yes': -6.9218855}
{' No': -0.009670755, ' ': -9.222191, ' Generally': -8.097525, 'No': -4.7393746, ' Yes': -7.745863}
{' No': -0.011667184, ' ': -9.185761, ' Generally': -9.0315275, 'No': -4.6901393, ' Yes': -6.139142}
{' No': -0.009923496, 'No': -4.695253, ' Yes': -7.4427347, ' Generally': -9.518479, ' ': -9.67726}
{' No': -0.008252267, ' ': -9.854447, ' Generally': -9.852632, 'No': -4.9178534, ' Yes': -7.153975}
{' No': -0.013019096, ' ': -9.402745, ' Generally': -10.199288, 'No': -4.9652376, ' Yes': -5.147701}
{' No': -0.007355234, ' ': -9.571016, 'No': -5.1882043, ' Yes': -6.3969326, 'Yes': -12.127796}
{' No': -1.0263051, ' Generally': -3.772414, 'No': -5.552777, ' Yes': -0.5092782, ' It': -4.838933}
{' No': -0.4480129, ' Generally': -3.210403, 'No': -4.973024, ' Yes': -1.2923046, ' It': -3.4328833}
{' No': -0.107380114, ' Yes': -2.9571116, ' It': -3.600418, 'No': -4.4688225, ' Generally': -4.8622937}
{' No': -0.13970776, ' Generally': -4.538866, 'No': -4.7021275, ' Yes': -2.235409, ' It': -6.3617606}
{' No': -0.009047265, ' ': -9.010254, ' Generally': -9.650481, 'No': -4.92949, ' Yes': -6.460568}
{' No': -7.1953526, ' Generally': -3.837309, ' Yes': -0.030611161, 'Yes': -6.1986957, ' It': -5.4575367}
{' No': -4.881338, ' Generally': -4.9524918, ' Yes': -0.019643744, 'Yes': -5.9110923, ' It': -6.7520905}
{' No': -3.022557, ' Generally': -3.785783, ' Yes': -0.082658, 'Yes': -5.9779177, ' It': -5.8332605}
{' No': -0.08501677, ' Yes': -2.6165087, 'No': -4.8523507, 'Yes': -8.212006, ' ': -8.482744}
{' ': -10.261361, ' Generally': -6.539953, ' Yes': -0.003167838, ' yes': -9.600701, 'Yes': -6.485248}
{' Generally': -5.8772473, ' Yes': -0.004697228, ' yes': -9.485802, 'Yes': -6.489087, ' It': -9.495776}
{' Yes': -0.074308, ' No': -2.6883903, 'Yes': -6.0394797, 'No': -7.4774866, ' ': -8.089986}
{' No': -5.1508265, ' Generally': -4.4831915, ' Yes': -0.021502696, 'Yes': -6.236981, ' It': -6.6854506}
{' Yes': -0.052893367, ' No': -3.0702615, 'Yes': -6.026598, ' Generally': -6.4107475, 'No': -7.6367054}
{' Yes': -0.0012943298, 'Yes': -6.7408633, ' yes': -9.894574, ' ': -10.371762, ' Generally': -10.574126}
{' No': -0.0085675325, ' ': -9.831725, ' Generally': -7.731925, 'No': -4.846391, ' Yes': -8.980802}
{' No': -0.008573002, ' ': -10.003199, ' Generally': -8.059962, 'No': -4.8840957, ' Yes': -7.5078025}
{' No': -0.008733592, ' ': -10.298902, ' Generally': -8.506166, 'No': -4.816265, ' Yes': -8.00335}
{' No': -0.006782458, ' ': -10.554982, ' Generally': -9.572208, 'No': -5.048984, ' Yes': -8.365854}
{' No': -0.009372707, ' ': -10.227527, ' Generally': -9.118918, 'No': -5.014211, ' Yes': -5.989074}
{' No': -0.0063158656, ' ': -10.449621, ' Generally': -11.716882, 'No': -5.3915505, ' Yes': -6.3795075}
{' Yes': -0.39313444, ' No': -1.4535193, ' Generally': -3.0680628, ' It': -3.4424925, ' A': -5.878394}
{' That': -5.147353, ' No': -0.92783636, ' Generally': -2.2072763, ' Yes': -1.3220605, ' It': -1.5891905}
{' No': -0.44563484, ' Generally': -3.3760564, 'No': -4.878998, ' Yes': -1.6092814, ' It': -2.222593}
{' No': -0.20082678, ' Yes': -2.0985813, ' Generally': -3.4871826, ' It': -4.2075157, 'No': -4.765711}
{' No': -0.014569311, ' Yes': -4.896838, 'No': -5.0614576, ' Generally': -7.730336, ' ': -9.066918}
{' Generally': -3.1599998, ' Typically': -7.012568, ' Yes': -0.063690275, 'Yes': -6.175689, ' It': -4.300022}
{' Yes': -0.057861052, ' Generally': -3.7432761, ' No': -3.7482543, ' It': -5.48986, 'Yes': -5.921281}
{' Yes': -0.23741753, ' No': -2.105635, ' Generally': -2.6967852, ' It': -4.3408184, 'Yes': -6.057978}
{' No': -0.16577901, ' Yes': -1.9341238, 'No': -4.9739184, ' Generally': -7.3996234, 'Yes': -7.6607203}
{' Generally': -4.95457, ' Typically': -9.083436, ' Yes': -0.009089245, 'Yes': -6.4530663, ' It': -9.530082}
{' Generally': -4.677297, ' Typically': -8.991705, ' Yes': -0.011777609, 'Yes': -6.5231695, ' It': -7.8048143}
{' No': -3.2138638, ' Generally': -6.789971, 'No': -8.058325, ' Yes': -0.045063842, 'Yes': -6.1383023}
{' No': -4.4739137, ' Generally': -3.1865375, ' Yes': -0.07309989, 'Yes': -6.328621, ' It': -4.3416142}
{' No': -3.4625733, ' Generally': -5.632482, 'No': -8.181357, ' Yes': -0.038573507, 'Yes': -6.171193}
{' ': -11.186615, ' Generally': -10.219142, ' Yes': -0.0010267505, ' yes': -10.255036, 'Yes': -6.973067}
{' An': -9.506829, ' No': -0.011064923, ' Generally': -6.556347, 'No': -4.698027, ' Yes': -8.338417}
{' No': -0.010325046, ' ': -9.853754, ' Generally': -7.406912, 'No': -4.7115903, ' Yes': -7.6036854}
{' No': -0.00934118, ' ': -9.938367, ' Generally': -7.483386, 'No': -4.7615137, ' Yes': -9.619666}
{' No': -0.008977677, ' ': -10.265598, ' Generally': -8.075579, 'No': -4.7755275, ' Yes': -9.125582}
{' An': -9.623208, ' No': -0.009055684, ' Generally': -8.03172, 'No': -4.919584, ' Yes': -6.6931834}
{' No': -0.0067003057, ' ': -9.976789, ' Generally': -10.673, 'No': -5.1854706, ' Yes': -6.909267}
{' No': -1.2794775, ' Generally': -2.4884846, 'No': -5.548318, ' Yes': -0.57910085, ' It': -2.895133}
{' That': -4.4178643, ' No': -1.0941396, ' Generally': -1.9042306, ' Yes': -1.5228506, ' It': -1.339377}
{' No': -0.27381054, ' Generally': -3.2274923, 'No': -4.4010534, ' Yes': -3.225766, ' It': -2.0132532}
{' No': -0.2974958, ' Generally': -3.474801, 'No': -4.7478967, ' Yes': -1.5923433, ' It': -4.6939554}
{' No': -0.01854222, ' ': -9.048711, ' Generally': -7.1829915, 'No': -4.9420686, ' Yes': -4.5853467}
{' Yes': -0.21447101, ' Generally': -2.424495, ' It': -2.4330435, ' That': -5.52822, ' No': -5.643487}
{' No': -1.820196, ' Generally': -2.1777952, ' Typically': -5.594959, ' Yes': -0.39677227, ' It': -3.2915723}
{' No': -1.1627111, ' Generally': -1.7991036, 'No': -5.069722, ' Yes': -0.7958498, ' It': -3.030854}
{' No': -0.03688793, ' Yes': -3.645389, 'No': -4.7072444, ' Generally': -7.128492, 'Yes': -9.133503}
{' Yes': -0.017132686, ' Generally': -4.239968, 'Yes': -6.3312078, ' It': -8.367512, ' Typically': -8.415526}
{' Generally': -3.8773034, ' Typically': -8.162803, ' Yes': -0.026093967, 'Yes': -6.4047327, ' It': -6.088596}
{' No': -1.8938335, ' Generally': -5.4837365, 'No': -6.610836, ' Yes': -0.17299692, 'Yes': -6.0367546}
{' Yes': -0.25273305, ' Generally': -2.2604578, ' It': -2.5930746, ' No': -3.4316516, ' Typically': -6.0652957}
{' No': -3.2772665, ' Generally': -4.906287, 'No': -7.900313, ' Yes': -0.049792282, 'Yes': -6.0660005}
{' ': -10.968768, ' Generally': -8.634046, ' Yes': -0.0012985077, ' yes': -10.063827, 'Yes': -6.8609843}
{' An': -9.157695, ' No': -0.012900563, ' Generally': -6.347169, 'No': -4.559142, ' Yes': -8.411137}
{' No': -0.013176053, 'No': -4.5770144, ' Generally': -6.388141, ' Yes': -7.4245105, ' An': -8.758866}
{' An': -9.068206, ' No': -0.01410113, ' Generally': -6.14628, 'No': -4.513546, ' Yes': -7.6355696}
{' No': -0.01010345, ' ': -9.76367, ' Generally': -7.458849, 'No': -4.74238, ' Yes': -7.4016685}
{' No': -0.012154564, 'No': -4.6874623, ' Yes': -6.2873735, ' Generally': -7.1574183, ' An': -9.211015}
{' No': -0.009252444, ' ': -9.634118, ' Generally': -9.884117, 'No': -5.0504184, ' Yes': -5.9283347}
{' That': -5.275293, ' No': -1.6773139, ' Generally': -2.582643, ' Yes': -0.4704526, ' It': -2.4302876}
{' That': -3.773481, ' No': -1.8425497, ' Generally': -2.1064162, ' Yes': -1.2572187, ' It': -0.94173557}
{' That': -3.474324, ' No': -1.2326342, ' Generally': -3.1581082, ' Yes': -1.9221885, ' It': -0.75358653}
{' No': -0.53648275, ' Yes': -1.3145399, ' It': -2.6492794, ' Generally': -2.9168978, 'No': -4.7458296}
{' No': -0.03934513, ' Generally': -6.1864796, 'No': -4.7017426, ' Yes': -3.6289577, ' It': -7.98109}
{' That': -6.1445613, ' Generally': -2.5340443, ' Yes': -0.13738641, 'Yes': -6.020744, ' It': -3.292198}
{' No': -4.117228, ' Generally': -2.9927814, ' Yes': -0.123154506, 'Yes': -5.6442842, ' It': -3.2465255}
{' Yes': -0.17341198, ' Generally': -2.6433942, ' No': -3.2486303, ' It': -3.3143919, 'Yes': -5.74703}
{' No': -0.39686692, ' Generally': -6.0839376, 'No': -4.8877115, ' Yes': -1.1520529, 'Yes': -6.65457}
{' Yes': -0.016964743, ' Generally': -4.2988343, 'Yes': -6.2023735, ' It': -7.5366573, ' Typically': -8.330425}
{' Generally': -4.1566205, ' Typically': -8.343435, ' Yes': -0.020086918, 'Yes': -6.392997, ' It': -6.418488}
{' Yes': -0.011684069, ' No': -5.030544, 'Yes': -5.872318, ' Generally': -6.266517, ' ': -9.374688}
{' No': -5.6564546, ' Generally': -3.0888464, ' Yes': -0.11825243, 'Yes': -6.106116, ' It': -2.9165347}
{' No': -5.4490047, ' Generally': -5.1500735, ' Yes': -0.013707792, 'Yes': -6.0144343, ' It': -7.6260138}
{' ': -11.130079, ' Generally': -9.303553, ' Yes': -0.001293256, ' yes': -10.049131, 'Yes': -6.7809467}
{' No': -0.010300176, 'No': -4.6891236, ' Generally': -7.1726036, ' Yes': -9.603292, ' ': -9.609726}
{' An': -9.279918, ' No': -0.010630848, ' Generally': -7.3624907, 'No': -4.660167, ' Yes': -8.712792}
{' No': -0.011767357, ' Generally': -6.9903913, 'No': -4.5717893, ' Yes': -8.936902, ' It': -9.338436}
{' No': -0.008599453, ' ': -10.091777, ' Generally': -8.349816, 'No': -4.806676, ' Yes': -9.8507395}
{' An': -9.300796, ' No': -0.008822824, ' Generally': -7.8801856, 'No': -4.8316264, ' Yes': -8.285834}
{' No': -0.007197872, 'No': -5.016679, ' Yes': -7.7510233, ' Generally': -9.906312, ' ': -10.077014}
{' That': -5.25586, ' No': -1.7450241, ' Generally': -2.7445815, ' Yes': -0.43144843, ' It': -2.480248}
{' It': -0.77061987, ' Yes': -1.5169768, ' No': -1.8805137, ' Generally': -2.235828, ' That': -3.398816}
{' That': -3.6729636, ' No': -0.7729489, ' Generally': -3.1840475, ' Yes': -2.571205, ' It': -0.9882086}
{' No': -0.3147738, ' Generally': -3.0623283, 'No': -4.624731, ' Yes': -1.8872988, ' It': -3.023878}
{' No': -0.017798854, ' Generally': -6.480778, 'No': -4.651717, ' Yes': -5.152742, ' It': -8.033605}
{' That': -4.750625, ' No': -5.9608088, ' Generally': -2.6374795, ' Yes': -0.27098233, ' It': -1.9499108}
{' No': -2.5242152, ' Generally': -2.6324553, ' Yes': -0.23516607, 'Yes': -5.710917, ' It': -3.1385853}
{' That': -5.5307226, ' No': -2.23985, ' Generally': -2.241292, ' Yes': -0.34707552, ' It': -2.800061}
{' No': -0.11402234, ' Generally': -6.312787, 'No': -4.6169996, ' Yes': -2.351575, 'Yes': -7.754506}
{' Generally': -4.0533686, ' Typically': -8.21644, ' Yes': -0.022192933, 'Yes': -6.206606, ' It': -6.477015}
{' Generally': -3.983787, ' Typically': -8.327629, ' Yes': -0.027082147, 'Yes': -6.348697, ' It': -5.3370852}
{' No': -2.8533638, ' Generally': -5.3179655, 'No': -7.4592957, ' Yes': -0.068943866, 'Yes': -5.9080987}
{' That': -5.2553716, ' No': -4.6286907, ' Generally': -2.7078917, ' Yes': -0.28228796, ' It': -1.8790668}
{' No': -4.6649604, ' Generally': -4.8799734, ' Yes': -0.021594599, 'Yes': -5.956498, ' It': -7.051793}
{' ': -11.001917, ' Generally': -8.806303, ' Yes': -0.0012434821, ' yes': -9.995897, 'Yes': -6.8893294}
{' An': -9.622911, ' No': -0.012573367, ' Generally': -6.727554, 'No': -4.5411415, ' Yes': -7.777513}
{' No': -0.012301483, 'No': -4.5897837, ' Generally': -6.9008603, ' Yes': -7.154103, ' An': -9.175545}
{' An': -9.320383, ' No': -0.012165602, ' Generally': -6.516363, 'No': -4.6359577, ' Yes': -7.3088794}
{' An': -10.313547, ' No': -0.0087106805, ' Generally': -7.7781754, 'No': -4.872478, ' Yes': -7.6163726}
{' No': -0.0112241665, 'No': -4.8226404, ' Yes': -6.043591, ' Generally': -7.5878415, ' An': -8.852109}
