{' Odd': -5.2988777, ' an': -5.418198, ' "': -5.5695252, ' odd': -0.7049424, ' even': -0.75354266}
{' even': -0.6685631, ' odd': -0.79518056, ' 1': -4.734089, ' Odd': -5.274854, ':': -5.572217}
{' ': -5.47355, ' an': -5.1631546, ' "': -5.7790337, ' odd': -5.0449743, ' even': -0.037859116}
{' Odd': -4.94515, ' ': -6.2966633, ' 1': -4.028359, ' odd': -0.14809199, ' even': -2.2972457}
{' ': -5.890451, ' an': -5.746375, ' Even': -6.1988873, ' 0': -6.1011596, ' even': -0.019594874}
{' ': -4.884166, ' an': -5.2235103, ' 1': -2.2795331, ' odd': -0.81548303, ' even': -0.8712453}
{' even': -0.011176547, ' an': -5.9513435, ' odd': -6.0953207, ' Even': -6.6173983, ' ': -6.6882915}
{'\n': -5.272126, ' Odd': -4.8922453, ' 1': -3.2661574, ' odd': -0.23966353, ' even': -1.9042333}
{' ': -6.48783, ':': -6.50384, ' an': -5.8663983, ' Even': -6.2204475, ' even': -0.0123757105}
{'\n': -4.4525223, ' Odd': -4.850772, ' 1': -3.6273558, ' odd': -0.49309364, ' even': -1.1338321}
{' Odd': -5.0873494, ' 1': -4.7064013, ' odd': -0.481528, ' 0': -5.3545966, ' even': -1.0901088}
{' even': -0.02662956, ' odd': -5.2529554, ' an': -5.8861012, ' "': -6.027815, ' ': -6.0586686}
{' Odd': -4.8120275, ' an': -5.3528285, ' 1': -3.7780902, ' odd': -0.19034964, ' even': -2.0735416}
{'\n': -5.3884754, ' ': -5.6490507, ':': -6.212737, ' odd': -6.14087, ' even': -0.019771827}
{'\n': -4.9396324, ' ': -5.142208, ' 1': -3.2590325, ' odd': -0.63736635, ' even': -0.91427624}
{' ': -6.054418, ' an': -5.39971, ' Even': -6.2835407, ' odd': -6.346989, ' even': -0.015996862}
{'\n': -5.796597, ' Odd': -5.3145647, ' 1': -3.9662375, ' odd': -0.18010086, ' even': -2.0640578}
{':': -6.1965737, ' an': -5.1408496, ' Even': -6.2701197, ' odd': -6.181134, ' even': -0.016494287}
{'\n': -4.7695785, ' Odd': -5.3169045, ' 1': -3.2632108, ' odd': -0.2653546, ' even': -1.7880576}
{' Odd': -4.8464093, ':': -5.6826825, ' 1': -4.978484, ' odd': -0.48797297, ' even': -1.0478828}
{' even': -0.044967324, ' odd': -4.518255, ' an': -4.6180215, ' ': -5.4594264, ' 1': -5.514217}
{' Odd': -4.733211, ' an': -5.2460446, ' 1': -3.9286902, ' odd': -0.14709137, ' even': -2.3810458}
{' ': -6.3946824, ' an': -6.5609403, ' Even': -6.0601277, ' odd': -6.3160934, ' even': -0.012621656}
{'\n': -4.266674, ' ': -4.7373514, ' 1': -2.2653074, ' odd': -1.0327244, ' even': -0.69971377}
{' ': -6.8599205, ' an': -6.352083, ' Even': -7.1656218, ' odd': -6.5868363, ' even': -0.0077277}
{' odd': -0.38564909, ' even': -1.3230566, ' 1': -3.5887558, ' Odd': -5.14376, '\n': -5.18386}
{' even': -0.012786877, ' an': -5.7406297, ' odd': -5.876455, ':': -6.4162345, ' Even': -6.6153827}
{' odd': -0.6095984, ' even': -1.0096867, ' 1': -3.2824945, '\n': -4.00804, ' Odd': -4.765662}
{' Odd': -5.47924, ' an': -5.3123918, ' 1': -5.4952316, ' odd': -0.81095666, ' even': -0.66051066}
{'\n': -3.8043697, ' ': -4.4435296, ' 1': -5.088763, ' odd': -4.574691, ' even': -0.08433905}
{'\n': -4.939838, ' Odd': -5.061196, ' 1': -3.8574967, ' odd': -0.29712167, ' even': -1.588267}
{' even': -0.016194688, ' Even': -5.70793, ' odd': -6.0643816, ' an': -6.186204, ' ': -6.46057}
{' Odd': -5.3387794, ' an': -6.062098, ' 1': -4.923146, ' odd': -0.5087517, ' even': -0.985028}
{' even': -0.011792684, ' an': -5.3031545, ' Even': -6.4952803, ' odd': -6.7388306, ' ': -7.2393436}
{' Odd': -5.5126643, ' an': -6.3714147, ' 1': -4.8948045, ' odd': -0.097348176, ' even': -2.576866}
{' ': -6.3325562, ':': -6.410062, ' an': -5.1411257, ' Even': -6.4218807, ' even': -0.017261906}
{' odd': -0.26654282, ' even': -1.9308152, ' 1': -3.040196, ' Odd': -4.1583247, '\n': -5.1050816}
{'\n': -5.7511644, ' 1': -4.659238, ' odd': -0.9978126, ' 0': -5.6160955, ' even': -0.51786363}
{' even': -0.028463526, ' odd': -5.341121, ' an': -5.535375, ' 1': -5.890361, ' ': -6.0932045}
{' odd': -0.12363375, ' even': -2.503717, ' Odd': -4.468936, ' 1': -5.0561132, ' an': -5.372051}
{'\n': -5.848523, ' ': -5.478153, ' an': -6.161475, ' odd': -6.273755, ' even': -0.020081995}
{' ': -5.743079, ' an': -5.854095, ' 1': -3.4916258, ' odd': -0.93324107, ' even': -0.5891191}
{' an': -5.2995358, ' Even': -6.508255, ' "': -7.2274466, ' odd': -6.76974, ' even': -0.011831347}
{' Odd': -4.9850264, ' an': -5.336232, ' 1': -4.624624, ' odd': -0.29252768, ' even': -1.5009712}
{'\n': -6.211173, ' ': -6.2798557, ':': -6.368328, ' an': -5.8923626, ' even': -0.014052045}
{' odd': -0.29726204, ' even': -1.7938669, ' 1': -3.0533235, ' Odd': -3.993466, ':': -5.395828}
{' Odd': -5.5539794, ' 1': -4.428319, ' odd': -0.64642435, ' 0': -5.261857, ' even': -0.82239735}
{' an': -6.0269504, ' Even': -6.3227425, ' "': -6.0417576, ' odd': -4.4481735, ' even': -0.03084122}
{' odd': -0.19095562, ' even': -2.1103663, ' 1': -3.9219744, '\n': -4.3944697, ' ': -5.252973}
{' ': -6.6524577, ' an': -6.010513, ' Even': -6.139325, ' odd': -6.580251, ' even': -0.013196647}
{' Odd': -5.6481557, ' an': -5.6979613, ' 1': -3.5352945, ' odd': -0.6281997, ' even': -0.87803566}
{' even': -0.011363838, ' Even': -6.2346354, ' odd': -6.425205, ' ': -6.4528575, ' an': -6.603515}
{' odd': -0.17825168, ' even': -2.097294, ' 1': -3.9162219, ' Odd': -4.8008127, ' an': -5.510804}
{' ': -6.2934575, ':': -6.040635, ' an': -5.1986504, ' odd': -5.9571004, ' even': -0.01858527}
{' Odd': -4.030697, ' an': -5.5673127, ' 1': -3.5738862, ' odd': -0.24116634, ' even': -1.9176971}
{' an': -5.375264, ' 1': -5.5973783, ' odd': -0.81430084, ' 0': -5.7819085, ' even': -0.6409304}
{' even': -0.030193591, ' an': -4.8713226, ' odd': -5.410639, ' ': -5.692298, ' "': -5.933276}
{' odd': -0.12681787, ' even': -2.3642275, ' Odd': -4.9645796, ' 1': -5.061327, ' "': -5.998204}
{' even': -0.016807068, ' ': -5.829484, ' odd': -5.8923063, '\n': -6.0910544, ':': -6.338793}
{' even': -0.7593709, ' odd': -0.824051, ' 1': -2.776654, '\n': -4.8926497, ' ': -5.1646547}
{' even': -0.008143374, ' Even': -6.4587255, ' an': -6.5543933, ' ': -6.934756, ' odd': -7.0813}
{' Odd': -4.784986, ' an': -5.6005306, ' 1': -4.549216, ' odd': -0.1305788, ' even': -2.425946}
{':': -7.1012635, ' an': -5.146796, ' Even': -6.517463, ' "': -6.6498046, ' even': -0.012541014}
{' Odd': -4.194221, ' ': -5.2085166, ' 1': -3.540912, ' odd': -0.2664611, ' even': -1.8294294}
{' odd': -0.66807586, ' even': -0.81023824, ' 1': -4.4394484, '\n': -4.918526, ' 0': -5.444909}
{' even': -0.034382775, ' odd': -4.978391, ' an': -5.2129345, ' ': -5.746111, ' 1': -5.7585044}
{'\n': -4.510513, ' Odd': -4.719848, ' 1': -3.4308107, ' odd': -0.23399736, ' even': -2.0071049}
{' even': -0.019343378, ' an': -5.5407896, ' ': -5.873437, ' Even': -6.026473, ' "': -6.1011257}
{' even': -0.6223745, ' odd': -0.845704, ' 1': -4.2686253, ':': -5.7476244, ' 0': -5.873269}
{' an': -5.935658, ' Even': -6.9005027, ' "': -6.998997, ' odd': -6.2671313, ' even': -0.009748274}
{'\n': -5.620913, ' ': -5.8301497, ' 1': -3.998619, ' odd': -0.37168425, ' even': -1.2919742}
{'\n': -5.9290347, ' ': -5.94755, ':': -6.115176, ' an': -5.3400187, ' even': -0.02021117}
{' odd': -0.26264158, ' even': -1.7170548, ' 1': -4.0141044, ' Odd': -4.3966374, ' an': -5.3418794}
{' odd': -0.6141124, ' even': -0.84019613, ' Odd': -5.126637, ' 0': -5.6267858, ' 1': -5.829872}
{':': -5.838065, ' an': -5.621365, ' Even': -6.1443596, ' odd': -4.627141, ' even': -0.031297803}
{'\n': -5.511685, ' Odd': -4.6305203, ' 1': -3.74995, ' odd': -0.18671471, ' even': -2.1478925}
{' even': -0.00978794, ' an': -6.308307, ' Even': -6.7173448, ' 0': -6.718472, ' ': -6.888053}
{' Odd': -5.5822854, ' an': -5.8571453, ' 1': -3.9936295, ' odd': -0.6984121, ' even': -0.76484126}
{' an': -5.203993, ' Even': -6.0229793, ' "': -6.946195, ' odd': -6.5314026, ' even': -0.014380635}
{' odd': -0.30993965, ' even': -1.4640173, ' 1': -3.994857, '\n': -5.724798, ' ': -5.840617}
{':': -6.440516, ' an': -5.376679, ' Even': -6.4333425, ' odd': -6.431125, ' even': -0.014193384}
{' Odd': -4.276655, ' an': -5.4954214, ' 1': -5.2185965, ' odd': -0.32932663, ' even': -1.3986653}
{' Odd': -5.7511673, ':': -5.698816, ' 1': -5.5458293, ' odd': -1.0301244, ' even': -0.4892689}
{':': -5.8098083, ' an': -5.8180957, ' 1': -5.8555646, ' odd': -4.360095, ' even': -0.035488248}
{' odd': -0.09540498, ' even': -3.105179, ' 1': -4.09359, ' Odd': -4.2909393, ' an': -5.7122355}
{' even': -0.0158844, ' an': -5.7775245, ' ': -6.1244626, ' Even': -6.378573, ' 0': -6.4219303}
{'\n': -4.8936286, ' ': -4.9640403, ' 1': -2.1232047, ' odd': -0.6800619, ' even': -1.0747687}
{' ': -6.579813, ' an': -6.406913, ' Even': -6.5937634, ' odd': -6.5718575, ' even': -0.010301802}
{'\n': -5.5593724, ' Odd': -4.9356165, ' 1': -3.9762323, ' odd': -0.21965799, ' even': -1.8453084}
{' even': -0.014539254, ' an': -5.471408, ':': -6.1127787, ' odd': -6.2711515, ' Even': -6.376705}
{' odd': -0.48329502, ' even': -1.0810829, ' 1': -4.237747, ' Odd': -4.8497825, ' an': -5.119949}
{' odd': -0.5841674, ' even': -0.91621006, ' 1': -4.4179373, '\n': -5.1653185, ' Odd': -5.2866287}
{' ': -5.552076, ' an': -5.482151, ' 1': -4.9886975, ' odd': -4.5056205, ' even': -0.04182402}
{' Odd': -4.629409, ' an': -5.151824, ' 1': -3.8118494, ' odd': -0.23961082, ' even': -1.8526859}
{' even': -0.013507193, ' Even': -6.0496616, ' an': -6.0614643, ' odd': -6.5652485, ' ': -6.633399}
{' odd': -0.5829021, ' even': -0.9976846, ' 1': -3.043183, ' Odd': -5.214279, ' an': -5.5284357}
{' ': -6.2094326, ' an': -6.079672, ' Even': -6.3636947, ' odd': -6.491477, ' even': -0.013305184}
{'\n': -5.261104, ' Odd': -5.2374105, ' 1': -3.3912175, ' odd': -0.19625792, ' even': -2.1302798}
{' even': -0.01776421, ' an': -5.180707, ' "': -6.0137334, ':': -6.060693, ' Even': -6.1771584}
{'\n': -5.121781, ' Odd': -4.5367, ' 1': -4.2334466, ' odd': -0.30928507, ' even': -1.5166243}
{'\n': -5.421075, ' 1': -4.183668, ' odd': -0.913308, ' 0': -5.1364374, ' even': -0.5943049}
{' ': -5.3663583, ' an': -5.4426208, ' 1': -5.5585165, ' odd': -4.6471143, ' even': -0.036751445}
{' odd': -0.15309128, ' even': -2.4248884, ' 1': -3.583054, ' Odd': -4.7349124, '\n': -5.637815}
{' even': -0.016905332, ' odd': -5.74713, ' Even': -5.8118997, ' an': -5.903972, ' "': -6.460912}
{' Odd': -5.625468, ' ': -5.648623, ' 1': -3.1569042, ' odd': -0.76317793, ' even': -0.76449776}
{':': -6.381298, ' an': -6.2814274, ' Even': -6.101219, ' "': -7.01916, ' even': -0.010747483}
{'\n': -5.692569, ' Odd': -5.2938757, ' 1': -3.4523525, ' odd': -0.20220411, ' even': -2.0282547}
{' ': -6.1091275, ' an': -4.8828874, ' Even': -6.0999722, ' "': -6.4769225, ' even': -0.019104585}
{' Odd': -4.1425543, ' an': -5.112647, ' 1': -4.4157505, ' odd': -0.29770556, ' even': -1.5606297}
{' even': -0.5590384, ' odd': -0.9388068, ':': -5.101919, ' Odd': -5.1548347, ' "': -5.2242184}
{' an': -5.4242086, ' Even': -6.0571647, ' "': -6.178505, ' odd': -5.1989765, ' even': -0.027343864}
{' Odd': -4.99611, ' an': -5.109116, ' 1': -3.9613223, ' odd': -0.2971313, ' even': -1.5740591}
{' ': -6.4172525, ':': -5.7761774, ' Even': -6.0227757, ' odd': -6.3391314, ' even': -0.015568559}
{' Odd': -5.215211, ' ': -4.9994826, ' 1': -3.2938688, ' odd': -0.7113618, ' even': -0.83031344}
{' even': -0.009412237, ' an': -6.1510406, ' odd': -6.2660418, ' Even': -6.765662, ' ': -7.060056}
{' Odd': -5.3022532, ' an': -5.3894563, ' 1': -4.1231856, ' odd': -0.13863443, ' even': -2.3783958}
{' even': -0.012608555, ' an': -5.6416054, ' odd': -5.783165, ':': -6.4411216, ' "': -6.6848416}
{' odd': -0.225848, ' even': -2.1847246, ' 1': -3.3041208, ' Odd': -3.501235, ':': -4.930983}
{' odd': -0.58646345, ' even': -0.90549797, ' 1': -4.349411, ' 0': -5.388026, ' Odd': -5.5873218}
{'\n': -5.4477315, ' ': -5.3125787, ':': -5.5382056, ' odd': -4.09551, ' even': -0.05226407}
{' odd': -0.15704523, ' even': -2.5001447, ' 1': -3.5100343, ' Odd': -4.6064286, ' ': -5.3795857}
{' even': -0.014272401, ' an': -5.8453093, ' 0': -6.0370817, ' ': -6.3113017, ' odd': -6.3315125}
{' odd': -0.55597305, ' even': -1.2195349, ' 1': -2.4003, ' ': -4.7407136, '\n': -4.8648667}
{' ': -7.0925446, ' an': -6.0587454, ' Even': -7.058166, ' odd': -6.1398745, ' even': -0.009550154}
{' Odd': -5.2864413, ' an': -5.6997313, ' 1': -4.3126073, ' odd': -0.22206825, ' even': -1.7852014}
{' ': -6.100448, ' an': -5.0295987, ' Even': -6.1575327, ' odd': -6.6835084, ' even': -0.017527374}
{'\n': -4.884258, ' Odd': -4.634073, ' 1': -3.6522946, ' odd': -0.31389955, ' even': -1.5960585}
{'\n': -5.8414145, ' 1': -4.7806683, ' odd': -0.8845572, ' 0': -5.8862023, ' even': -0.58288234}
{' an': -5.305982, ' Even': -6.338009, ' "': -6.4741364, ' odd': -4.5927553, ' even': -0.028109128}
{' Odd': -4.4317026, ' an': -5.4121327, ' 1': -4.7776885, ' odd': -0.13858937, ' even': -2.3860097}
{' ': -6.407798, ' an': -6.656028, ' Even': -6.4051266, ' odd': -6.7102895, ' even': -0.0116462605}
{' Odd': -4.9423275, ' ': -4.9983635, ' 1': -3.2003574, ' odd': -0.25889504, ' even': -1.8875438}
{' ': -5.916697, ' an': -5.3006744, ' Even': -6.2870417, ' odd': -5.9836726, ' even': -0.01929768}
{' Odd': -5.163337, ':': -5.281258, ' 1': -4.387416, ' odd': -0.3962819, ' even': -1.223995}
{' even': -0.015848247, ' an': -4.942635, ' Even': -6.147583, ' odd': -6.671124, ' ': -6.8273683}
{' odd': -0.46967852, ' even': -1.1913668, ' 1': -3.4457443, ' Odd': -4.652001, '\n': -4.983537}
{' Odd': -5.3729215, ' 1': -5.023133, ' odd': -0.6885452, ' 0': -5.5379, ' even': -0.76720136}
{' even': -0.049683716, ' odd': -4.645341, ' an': -4.9213114, ' ': -5.105566, '\n': -5.5115395}
{' odd': -0.11602051, ' even': -2.5364716, ' Odd': -4.2931857, ' 1': -5.482595, ' an': -5.72265}
{'\n': -6.1158905, ' ': -5.9696765, ':': -5.8291335, ' odd': -5.6978097, ' even': -0.019646782}
{' odd': -0.7725027, ' even': -1.1933286, ' 1': -1.6949623, '\n': -3.9684033, ' ': -4.729607}
{' ': -6.30426, ' an': -5.0806336, ' Even': -6.2519703, ' odd': -6.1528783, ' even': -0.018715529}
{' Odd': -5.5991626, ':': -6.4746666, ' 1': -4.225821, ' odd': -0.28527418, ' even': -1.5078808}
{' even': -0.01426454, ' an': -5.288098, ' Even': -6.4275694, ' ': -6.5969634, ':': -6.862188}
{' odd': -0.19453305, ' even': -2.4066913, ' 1': -2.9432235, ' Odd': -4.1321282, ':': -5.7336826}
{'\n': -5.352175, ' Odd': -5.2567525, ' 1': -4.6839604, ' odd': -0.7251193, ' even': -0.74342513}
{' even': -0.029849635, ' odd': -4.7361636, '\n': -5.587145, ' 1': -5.6228085, ' ': -5.720218}
{' Odd': -5.081742, ' an': -5.834377, ' 1': -3.7238252, ' odd': -0.15837656, ' even': -2.2883623}
{' even': -0.025154196, ' ': -5.4286118, ' an': -5.5346565, ' odd': -5.9722443, ' Even': -6.0203986}
{' odd': -0.65945166, ' even': -0.93836516, ' 1': -2.890735, '\n': -4.7373257, ' ': -5.0488634}
{' even': -0.013353811, ' an': -5.297023, ' Even': -6.3688464, ' odd': -6.4846196, ' ': -7.043995}
{' odd': -0.35170072, ' even': -1.5258187, ' 1': -3.0120668, '\n': -4.5164747, ' ': -5.2600193}
{' even': -0.012110701, ' an': -5.2304792, ' Even': -6.6739717, ' "': -6.882462, ' ': -7.0556097}
{' odd': -0.35209295, ' even': -1.4250147, ' 1': -3.9532871, ' Odd': -4.376955, ' an': -4.9996443}
{' Odd': -5.336242, ' 1': -4.7528825, ' odd': -0.661331, ' 0': -5.4530435, ' even': -0.803725}
{'\n': -4.780312, ' ': -4.9527574, ' 1': -5.228602, ' odd': -4.289734, ' even': -0.05665862}
{' Odd': -4.630362, ' an': -5.0980477, ' 1': -4.484184, ' odd': -0.13129506, ' even': -2.448509}
{'\n': -5.98296, ' ': -5.779891, ' odd': -6.195245, ' 0': -6.2954097, ' even': -0.019195115}
{' odd': -0.6115495, ' even': -1.0966835, ' 1': -2.3905938, '\n': -5.1060085, ' ': -5.140456}
{' an': -5.741161, ' Even': -6.351687, ' "': -6.7150445, ' odd': -6.658451, ' even': -0.010646873}
{' odd': -0.21023591, ' even': -2.0395892, ' 1': -3.3410199, ' Odd': -5.101593, ' an': -5.4926643}
{':': -5.3386235, ' an': -5.619388, ' Even': -5.795807, ' odd': -5.740485, ' even': -0.021309663}
{' Odd': -4.1235647, ' an': -4.9053, ' 1': -4.1447716, ' odd': -0.2753384, ' even': -1.6860098}
{' even': -0.71254086, ' odd': -0.73447925, ' Odd': -5.3778124, ' 0': -5.594242, ' an': -5.686921}
{' even': -0.029579101, ' odd': -4.9612164, ' an': -5.4516487, ' Even': -5.806765, ' "': -5.883244}
{'\n': -4.0591235, ' ': -4.921238, ' 1': -3.630641, ' odd': -0.25724995, ' even': -1.8605138}
{' even': -0.023338925, '\n': -5.42886, ' ': -5.6106167, ' Even': -5.8916445, ':': -6.0179443}
{'\n': -4.960557, ' ': -4.797242, ' 1': -2.4106352, ' odd': -0.57922, ' even': -1.1658145}
{' ': -6.6995, ' an': -5.967859, ' Even': -6.4537334, ' odd': -7.0546937, ' even': -0.009774155}
{' odd': -0.17855904, ' even': -2.2235703, ' 1': -3.3532128, ' Odd': -5.105929, ' an': -5.1709743}
{':': -7.050327, ' an': -5.032115, ' Even': -6.091601, ' "': -6.68088, ' even': -0.014548142}
{'\n': -5.142748, ' Odd': -3.8577492, ' 1': -4.11456, ' odd': -0.16149634, ' even': -2.4405577}
{' Odd': -5.283271, ' an': -5.3879676, ' "': -5.7196507, ' odd': -0.6826227, ' even': -0.7662667}
{':': -6.4292517, ' an': -6.0915575, ' "': -6.0714464, ' odd': -4.2842183, ' even': -0.030543992}
{' odd': -0.10310052, ' even': -2.5590475, ' 1': -4.748465, ' Odd': -5.532427, ' ': -6.631896}
{' ': -6.021412, ' an': -5.990687, ' Even': -6.2919545, ' odd': -6.7523155, ' even': -0.014677515}
{' ': -4.72421, ' an': -5.272395, ' 1': -2.3071823, ' odd': -0.95604885, ' even': -0.74250966}
{' even': -0.013585494, ' an': -5.323962, ' Even': -6.1355257, ' odd': -6.595067, ' ': -7.022771}
{'\n': -5.234207, ' Odd': -5.041527, ' 1': -3.4995377, ' odd': -0.17714095, ' even': -2.261213}
{' even': -0.01668985, ' an': -5.2817416, ':': -6.0226455, ' odd': -6.102002, ' Even': -6.3551426}
{' odd': -0.46721724, ' even': -1.2160175, ' 1': -3.3944993, ' an': -4.763333, ' Odd': -4.8417554}
{' Odd': -5.3105054, ' an': -5.8660064, ' "': -5.5911994, ' odd': -0.64425826, ' even': -0.80302596}
