(30, 'dog', 'htgtrseee')
(32, 'bandage', 'gfererrrr')
(32, 'bandage', 'mnnaaarfda')
(32, 'bandage', 'sra')
(32, 'bandage', 'grl')
(32, 'patient', 'htgtrseee')
(32, 'patient', 'oogggggsa')
(32, 'patient', 'gfererrrr')
(32, 'patient', 'mnnaaarfda')
(32, 'patient', 'sra')
(32, 'patient', 'grl')
(33, 'dog', 'htgtrseee')
(33, 'dog', 'oogggggsa')
(33, 'dog', 'gfererrrr')
(33, 'dog', 'mnnaaarfda')
(33, 'dog', 'sra')
(33, 'dog', 'grl')
(33, 'cat', 'htgtrseee')
(33, 'cat', 'oogggggsa')
(33, 'cat', 'gfererrrr')
(33, 'cat', 'mnnaaarfda')
(33, 'cat', 'sra')
(33, 'cat', 'grl')
(33, 'airplane', 'htgtrseee')
(33, 'airplane', 'oogggggsa')
(33, 'airplane', 'gfererrrr')
(33, 'airplane', 'mnnaaarfda')
(33, 'airplane', 'sra')
(33, 'airplane', 'grl')
(33, 'car', 'htgtrseee')
(33, 'car', 'oogggggsa')
(33, 'car', 'gfererrrr')
(33, 'car', 'mnnaaarfda')
(33, 'car', 'sra')
(33, 'car', 'grl')
(33, 'tree', 'htgtrseee')
(33, 'tree', 'oogggggsa')
(33, 'tree', 'gfererrrr')
(33, 'tree', 'mnnaaarfda')
(33, 'tree', 'sra')
(33, 'tree', 'grl')
(33, 'lecturer', 'htgtrseee')
(33, 'lecturer', 'oogggggsa')
(33, 'lecturer', 'gfererrrr')
(33, 'lecturer', 'mnnaaarfda')
(33, 'lecturer', 'sra')
(33, 'lecturer', 'grl')
(33, 'nurse', 'htgtrseee')
(33, 'nurse', 'oogggggsa')
(33, 'nurse', 'gfererrrr')
(33, 'nurse', 'mnnaaarfda')
(33, 'nurse', 'sra')
(33, 'nurse', 'grl')
(33, 'doctor', 'htgtrseee')
(33, 'doctor', 'oogggggsa')
(33, 'doctor', 'gfererrrr')
(33, 'doctor', 'mnnaaarfda')
(33, 'doctor', 'sra')
(33, 'doctor', 'grl')
(33, 'hospital', 'htgtrseee')
(33, 'hospital', 'oogggggsa')
(33, 'hospital', 'gfererrrr')
(33, 'hospital', 'mnnaaarfda')
(33, 'hospital', 'sra')
(33, 'hospital', 'grl')
(33, 'surgeon', 'htgtrseee')
(33, 'surgeon', 'oogggggsa')
(33, 'surgeon', 'gfererrrr')
(33, 'surgeon', 'mnnaaarfda')
(33, 'surgeon', 'sra')
(33, 'surgeon', 'grl')
(33, 'bandage', 'htgtrseee')
(33, 'bandage', 'oogggggsa')
(33, 'bandage', 'gfererrrr')
(33, 'bandage', 'mnnaaarfda')
(33, 'bandage', 'sra')
(33, 'bandage', 'grl')
(33, 'patient', 'htgtrseee')
(33, 'patient', 'oogggggsa')
(33, 'patient', 'gfererrrr')
(33, 'patient', 'mnnaaarfda')
(33, 'patient', 'sra')
(33, 'patient', 'grl')
(34, 'dog', 'htgtrseee')
(34, 'dog', 'oogggggsa')
(34, 'dog', 'gfererrrr')
(34, 'dog', 'mnnaaarfda')
(34, 'dog', 'sra')
(34, 'dog', 'grl')
(34, 'cat', 'htgtrseee')
(34, 'cat', 'oogggggsa')
(34, 'cat', 'gfererrrr')
(34, 'cat', 'mnnaaarfda')
(34, 'cat', 'sra')
(34, 'cat', 'grl')
(34, 'airplane', 'htgtrseee')
(34, 'airplane', 'oogggggsa')
(34, 'airplane', 'gfererrrr')
(34, 'airplane', 'mnnaaarfda')
(34, 'airplane', 'sra')
(34, 'airplane', 'grl')
(34, 'car', 'htgtrseee')
(34, 'car', 'oogggggsa')
(34, 'car', 'gfererrrr')
(34, 'car', 'mnnaaarfda')
(34, 'car', 'sra')
(34, 'car', 'grl')
(34, 'tree', 'htgtrseee')
(34, 'tree', 'oogggggsa')
(34, 'tree', 'gfererrrr')
(34, 'tree', 'mnnaaarfda')
(34, 'tree', 'sra')
(34, 'tree', 'grl')
(34, 'lecturer', 'htgtrseee')
(34, 'lecturer', 'oogggggsa')
(34, 'lecturer', 'gfererrrr')
(34, 'lecturer', 'mnnaaarfda')
(34, 'lecturer', 'sra')
(34, 'lecturer', 'grl')
(34, 'nurse', 'htgtrseee')
(34, 'nurse', 'oogggggsa')
(34, 'nurse', 'gfererrrr')
(34, 'nurse', 'mnnaaarfda')
(34, 'nurse', 'sra')
(34, 'nurse', 'grl')
(34, 'doctor', 'htgtrseee')
(34, 'doctor', 'oogggggsa')
(34, 'doctor', 'gfererrrr')
(34, 'doctor', 'mnnaaarfda')
(34, 'doctor', 'sra')
(34, 'doctor', 'grl')
(34, 'hospital', 'htgtrseee')
(34, 'hospital', 'oogggggsa')
(34, 'hospital', 'gfererrrr')
(34, 'hospital', 'mnnaaarfda')
(34, 'hospital', 'sra')
(34, 'hospital', 'grl')
(34, 'surgeon', 'htgtrseee')
(34, 'surgeon', 'oogggggsa')
(34, 'surgeon', 'gfererrrr')
(34, 'surgeon', 'mnnaaarfda')
(34, 'surgeon', 'sra')
(34, 'surgeon', 'grl')
(34, 'bandage', 'htgtrseee')
(34, 'bandage', 'oogggggsa')
(34, 'bandage', 'gfererrrr')
(34, 'bandage', 'mnnaaarfda')
(34, 'bandage', 'sra')
(34, 'bandage', 'grl')
(34, 'patient', 'htgtrseee')
(34, 'patient', 'oogggggsa')
(34, 'patient', 'gfererrrr')
(34, 'patient', 'mnnaaarfda')
(34, 'patient', 'sra')
(34, 'patient', 'grl')
(35, 'dog', 'htgtrseee')
(35, 'dog', 'oogggggsa')
(35, 'dog', 'gfererrrr')
(35, 'dog', 'mnnaaarfda')
(35, 'dog', 'sra')
(35, 'dog', 'grl')
(35, 'cat', 'htgtrseee')
(35, 'cat', 'oogggggsa')
(35, 'cat', 'gfererrrr')
(35, 'cat', 'mnnaaarfda')
(35, 'cat', 'sra')
(35, 'cat', 'grl')
(35, 'airplane', 'htgtrseee')
(35, 'airplane', 'oogggggsa')
(35, 'airplane', 'gfererrrr')
(35, 'airplane', 'mnnaaarfda')
(35, 'airplane', 'sra')
(35, 'airplane', 'grl')
(35, 'car', 'htgtrseee')
(35, 'car', 'oogggggsa')
(35, 'car', 'gfererrrr')
(35, 'car', 'mnnaaarfda')
(35, 'car', 'sra')
(35, 'car', 'grl')
(35, 'tree', 'htgtrseee')
(35, 'tree', 'oogggggsa')
(35, 'tree', 'gfererrrr')
(35, 'tree', 'mnnaaarfda')
(35, 'tree', 'sra')
(35, 'tree', 'grl')
(35, 'lecturer', 'htgtrseee')
(35, 'lecturer', 'oogggggsa')
(35, 'lecturer', 'gfererrrr')
(35, 'lecturer', 'mnnaaarfda')
(35, 'lecturer', 'sra')
(35, 'lecturer', 'grl')
(35, 'nurse', 'htgtrseee')
(35, 'nurse', 'oogggggsa')
(35, 'nurse', 'gfererrrr')
(35, 'nurse', 'mnnaaarfda')
(35, 'nurse', 'sra')
(35, 'nurse', 'grl')
(35, 'doctor', 'htgtrseee')
(35, 'doctor', 'oogggggsa')
(35, 'doctor', 'gfererrrr')
(35, 'doctor', 'mnnaaarfda')
(35, 'doctor', 'sra')
(35, 'doctor', 'grl')
(35, 'hospital', 'htgtrseee')
(35, 'hospital', 'oogggggsa')
(35, 'hospital', 'gfererrrr')
(35, 'hospital', 'mnnaaarfda')
(35, 'hospital', 'sra')
(35, 'hospital', 'grl')
(35, 'surgeon', 'htgtrseee')
(35, 'surgeon', 'oogggggsa')
(35, 'surgeon', 'gfererrrr')
(35, 'surgeon', 'mnnaaarfda')
(35, 'surgeon', 'sra')
(35, 'surgeon', 'grl')
(35, 'bandage', 'htgtrseee')
(35, 'bandage', 'oogggggsa')
(35, 'bandage', 'gfererrrr')
(35, 'bandage', 'mnnaaarfda')
(35, 'bandage', 'sra')
(35, 'bandage', 'grl')
(35, 'patient', 'htgtrseee')
(35, 'patient', 'oogggggsa')
(35, 'patient', 'gfererrrr')
(35, 'patient', 'mnnaaarfda')
(35, 'patient', 'sra')
(35, 'patient', 'grl')
(36, 'dog', 'htgtrseee')
(36, 'dog', 'oogggggsa')
(36, 'dog', 'gfererrrr')
(36, 'dog', 'mnnaaarfda')
(36, 'dog', 'sra')
(36, 'dog', 'grl')
(36, 'cat', 'htgtrseee')
(36, 'cat', 'oogggggsa')
(36, 'cat', 'gfererrrr')
(36, 'cat', 'mnnaaarfda')
(36, 'cat', 'sra')
(36, 'cat', 'grl')
(36, 'airplane', 'htgtrseee')
(36, 'airplane', 'oogggggsa')
(36, 'airplane', 'gfererrrr')
(36, 'airplane', 'mnnaaarfda')
(36, 'airplane', 'sra')
(36, 'airplane', 'grl')
(36, 'car', 'htgtrseee')
(36, 'car', 'oogggggsa')
(36, 'car', 'gfererrrr')
(36, 'car', 'mnnaaarfda')
(36, 'car', 'sra')
(36, 'car', 'grl')
(36, 'tree', 'htgtrseee')
(36, 'tree', 'oogggggsa')
(36, 'tree', 'gfererrrr')
(36, 'tree', 'mnnaaarfda')
(36, 'tree', 'sra')
(36, 'tree', 'grl')
(36, 'lecturer', 'htgtrseee')
(36, 'lecturer', 'oogggggsa')
(36, 'lecturer', 'gfererrrr')
(36, 'lecturer', 'mnnaaarfda')
(36, 'lecturer', 'sra')
(36, 'lecturer', 'grl')
(36, 'nurse', 'htgtrseee')
(36, 'nurse', 'oogggggsa')
(36, 'nurse', 'gfererrrr')
(36, 'nurse', 'mnnaaarfda')
(36, 'nurse', 'sra')
(36, 'nurse', 'grl')
(36, 'doctor', 'htgtrseee')
(36, 'doctor', 'oogggggsa')
(36, 'doctor', 'gfererrrr')
(36, 'doctor', 'mnnaaarfda')
(36, 'doctor', 'sra')
(36, 'doctor', 'grl')
(36, 'hospital', 'htgtrseee')
(36, 'hospital', 'oogggggsa')
(36, 'hospital', 'gfererrrr')
(36, 'hospital', 'mnnaaarfda')
(36, 'hospital', 'sra')
(36, 'hospital', 'grl')
(36, 'surgeon', 'htgtrseee')
(36, 'surgeon', 'oogggggsa')
(36, 'surgeon', 'gfererrrr')
(36, 'surgeon', 'mnnaaarfda')
(36, 'surgeon', 'sra')
(36, 'surgeon', 'grl')
(36, 'bandage', 'htgtrseee')
(36, 'bandage', 'oogggggsa')
(36, 'bandage', 'gfererrrr')
(36, 'bandage', 'mnnaaarfda')
(36, 'bandage', 'sra')
(36, 'bandage', 'grl')
(36, 'patient', 'htgtrseee')
(36, 'patient', 'oogggggsa')
(36, 'patient', 'gfererrrr')
(36, 'patient', 'mnnaaarfda')
(36, 'patient', 'sra')
(36, 'patient', 'grl')
(37, 'dog', 'htgtrseee')
(37, 'dog', 'oogggggsa')
(37, 'dog', 'gfererrrr')
(37, 'dog', 'mnnaaarfda')
(37, 'dog', 'sra')
(37, 'dog', 'grl')
(37, 'cat', 'htgtrseee')
(37, 'cat', 'oogggggsa')
(37, 'cat', 'gfererrrr')
(37, 'cat', 'mnnaaarfda')
(37, 'cat', 'sra')
(37, 'cat', 'grl')
(37, 'airplane', 'htgtrseee')
(37, 'airplane', 'oogggggsa')
(37, 'airplane', 'gfererrrr')
(37, 'airplane', 'mnnaaarfda')
(37, 'airplane', 'sra')
(37, 'airplane', 'grl')
(37, 'car', 'htgtrseee')
(37, 'car', 'oogggggsa')
(37, 'car', 'gfererrrr')
(37, 'car', 'mnnaaarfda')
(37, 'car', 'sra')
(37, 'car', 'grl')
(37, 'tree', 'htgtrseee')
(37, 'tree', 'oogggggsa')
(37, 'tree', 'gfererrrr')
(37, 'tree', 'mnnaaarfda')
(37, 'tree', 'sra')
(37, 'tree', 'grl')
(37, 'lecturer', 'htgtrseee')
(37, 'lecturer', 'oogggggsa')
(37, 'lecturer', 'gfererrrr')
(37, 'lecturer', 'mnnaaarfda')
(37, 'lecturer', 'sra')
(37, 'lecturer', 'grl')
(37, 'nurse', 'htgtrseee')
(37, 'nurse', 'oogggggsa')
(37, 'nurse', 'gfererrrr')
(37, 'nurse', 'mnnaaarfda')
(37, 'nurse', 'sra')
(37, 'nurse', 'grl')
(37, 'doctor', 'htgtrseee')
(37, 'doctor', 'oogggggsa')
(37, 'doctor', 'gfererrrr')
(37, 'doctor', 'mnnaaarfda')
(37, 'doctor', 'sra')
(37, 'doctor', 'grl')
(37, 'hospital', 'htgtrseee')
(37, 'hospital', 'oogggggsa')
(37, 'hospital', 'gfererrrr')
(37, 'hospital', 'mnnaaarfda')
(37, 'hospital', 'sra')
(37, 'hospital', 'grl')
(37, 'surgeon', 'htgtrseee')
(37, 'surgeon', 'oogggggsa')
(37, 'surgeon', 'gfererrrr')
(37, 'surgeon', 'mnnaaarfda')
(37, 'surgeon', 'sra')
(37, 'surgeon', 'grl')
(37, 'bandage', 'htgtrseee')
(37, 'bandage', 'oogggggsa')
(37, 'bandage', 'gfererrrr')
(37, 'bandage', 'mnnaaarfda')
(37, 'bandage', 'sra')
(37, 'bandage', 'grl')
(37, 'patient', 'htgtrseee')
(37, 'patient', 'oogggggsa')
(37, 'patient', 'gfererrrr')
(37, 'patient', 'mnnaaarfda')
(37, 'patient', 'sra')
(37, 'patient', 'grl')
(38, 'dog', 'htgtrseee')
(38, 'dog', 'oogggggsa')
(38, 'dog', 'gfererrrr')
(38, 'dog', 'mnnaaarfda')
(38, 'dog', 'sra')
(38, 'dog', 'grl')
(38, 'cat', 'htgtrseee')
(38, 'cat', 'oogggggsa')
(38, 'cat', 'gfererrrr')
(38, 'cat', 'mnnaaarfda')
(38, 'cat', 'sra')
(38, 'cat', 'grl')
(38, 'airplane', 'htgtrseee')
(38, 'airplane', 'oogggggsa')
(38, 'airplane', 'gfererrrr')
(38, 'airplane', 'mnnaaarfda')
(38, 'airplane', 'sra')
(38, 'airplane', 'grl')
(38, 'car', 'htgtrseee')
(38, 'car', 'oogggggsa')
(38, 'car', 'gfererrrr')
(38, 'car', 'mnnaaarfda')
(38, 'car', 'sra')
(38, 'car', 'grl')
(38, 'tree', 'htgtrseee')
(38, 'tree', 'oogggggsa')
(38, 'tree', 'gfererrrr')
(38, 'tree', 'mnnaaarfda')
(38, 'tree', 'sra')
(38, 'tree', 'grl')
(38, 'lecturer', 'htgtrseee')
(38, 'lecturer', 'oogggggsa')
(38, 'lecturer', 'gfererrrr')
(38, 'lecturer', 'mnnaaarfda')
(38, 'lecturer', 'sra')
(38, 'lecturer', 'grl')
(38, 'nurse', 'htgtrseee')
(38, 'nurse', 'oogggggsa')
(38, 'nurse', 'gfererrrr')
(38, 'nurse', 'mnnaaarfda')
(38, 'nurse', 'sra')
(38, 'nurse', 'grl')
(38, 'doctor', 'htgtrseee')
(38, 'doctor', 'oogggggsa')
(38, 'doctor', 'gfererrrr')
(38, 'doctor', 'mnnaaarfda')
(38, 'doctor', 'sra')
(38, 'doctor', 'grl')
(38, 'hospital', 'htgtrseee')
(38, 'hospital', 'oogggggsa')
(38, 'hospital', 'gfererrrr')
(38, 'hospital', 'mnnaaarfda')
(38, 'hospital', 'sra')
(38, 'hospital', 'grl')
(38, 'surgeon', 'htgtrseee')
(38, 'surgeon', 'oogggggsa')
(38, 'surgeon', 'gfererrrr')
(38, 'surgeon', 'mnnaaarfda')
(38, 'surgeon', 'sra')
(38, 'surgeon', 'grl')
(38, 'bandage', 'htgtrseee')
(38, 'bandage', 'oogggggsa')
(38, 'bandage', 'gfererrrr')
(38, 'bandage', 'mnnaaarfda')
(38, 'bandage', 'sra')
(38, 'bandage', 'grl')
(38, 'patient', 'htgtrseee')
(38, 'patient', 'oogggggsa')
(38, 'patient', 'gfererrrr')
(38, 'patient', 'mnnaaarfda')
(38, 'patient', 'sra')
(38, 'patient', 'grl')
(39, 'dog', 'htgtrseee')
(39, 'dog', 'oogggggsa')
(39, 'dog', 'gfererrrr')
(39, 'dog', 'mnnaaarfda')
(39, 'dog', 'sra')
(39, 'dog', 'grl')
(39, 'cat', 'htgtrseee')
(39, 'cat', 'oogggggsa')
(39, 'cat', 'gfererrrr')
(39, 'cat', 'mnnaaarfda')
(39, 'cat', 'sra')
(39, 'cat', 'grl')
(39, 'airplane', 'htgtrseee')
(39, 'airplane', 'oogggggsa')
(39, 'airplane', 'gfererrrr')
(39, 'airplane', 'mnnaaarfda')
(39, 'airplane', 'sra')
(39, 'airplane', 'grl')
(39, 'car', 'htgtrseee')
(39, 'car', 'oogggggsa')
(39, 'car', 'gfererrrr')
(39, 'car', 'mnnaaarfda')
(39, 'car', 'sra')
(39, 'car', 'grl')
(39, 'tree', 'htgtrseee')
(39, 'tree', 'oogggggsa')
(39, 'tree', 'gfererrrr')
(39, 'tree', 'mnnaaarfda')
(39, 'tree', 'sra')
(39, 'tree', 'grl')
(39, 'lecturer', 'htgtrseee')
(39, 'lecturer', 'oogggggsa')
(39, 'lecturer', 'gfererrrr')
(39, 'lecturer', 'mnnaaarfda')
(39, 'lecturer', 'sra')
(39, 'lecturer', 'grl')
(39, 'nurse', 'htgtrseee')
(39, 'nurse', 'oogggggsa')
(39, 'nurse', 'gfererrrr')
(39, 'nurse', 'mnnaaarfda')
(39, 'nurse', 'sra')
(39, 'nurse', 'grl')
(39, 'doctor', 'htgtrseee')
(39, 'doctor', 'oogggggsa')
(39, 'doctor', 'gfererrrr')
(39, 'doctor', 'mnnaaarfda')
(39, 'doctor', 'sra')
(39, 'doctor', 'grl')
(39, 'hospital', 'htgtrseee')
(39, 'hospital', 'oogggggsa')
(39, 'hospital', 'gfererrrr')
(39, 'hospital', 'mnnaaarfda')
(39, 'hospital', 'sra')
(39, 'hospital', 'grl')
(39, 'surgeon', 'htgtrseee')
(39, 'surgeon', 'oogggggsa')
(39, 'surgeon', 'gfererrrr')
(39, 'surgeon', 'mnnaaarfda')
(39, 'surgeon', 'sra')
(39, 'surgeon', 'grl')
(39, 'bandage', 'htgtrseee')
(39, 'bandage', 'oogggggsa')
(39, 'bandage', 'gfererrrr')
(39, 'bandage', 'mnnaaarfda')
(39, 'bandage', 'sra')
(39, 'bandage', 'grl')
(39, 'patient', 'htgtrseee')
(39, 'patient', 'oogggggsa')
(39, 'patient', 'gfererrrr')
(39, 'patient', 'mnnaaarfda')
(39, 'patient', 'sra')
(39, 'patient', 'grl')
(40, 'dog', 'htgtrseee')
(40, 'dog', 'oogggggsa')
(40, 'dog', 'gfererrrr')
(40, 'dog', 'mnnaaarfda')
(40, 'dog', 'sra')
(40, 'dog', 'grl')
(40, 'cat', 'htgtrseee')
(40, 'cat', 'oogggggsa')
(40, 'cat', 'gfererrrr')
(40, 'cat', 'mnnaaarfda')
(40, 'cat', 'sra')
(40, 'cat', 'grl')
(40, 'airplane', 'htgtrseee')
(40, 'airplane', 'oogggggsa')
(40, 'airplane', 'gfererrrr')
(40, 'airplane', 'mnnaaarfda')
(40, 'airplane', 'sra')
(40, 'airplane', 'grl')
(40, 'car', 'htgtrseee')
(40, 'car', 'oogggggsa')
(40, 'car', 'gfererrrr')
(40, 'car', 'mnnaaarfda')
(40, 'car', 'sra')
(40, 'car', 'grl')
(40, 'tree', 'htgtrseee')
(40, 'tree', 'oogggggsa')
(40, 'tree', 'gfererrrr')
(40, 'tree', 'mnnaaarfda')
(40, 'tree', 'sra')
(40, 'tree', 'grl')
(40, 'lecturer', 'htgtrseee')
(40, 'lecturer', 'oogggggsa')
(40, 'lecturer', 'gfererrrr')
(40, 'lecturer', 'mnnaaarfda')
(40, 'lecturer', 'sra')
(40, 'lecturer', 'grl')
(40, 'nurse', 'htgtrseee')
(40, 'nurse', 'oogggggsa')
(40, 'nurse', 'gfererrrr')
(40, 'nurse', 'mnnaaarfda')
(40, 'nurse', 'sra')
(40, 'nurse', 'grl')
(40, 'doctor', 'htgtrseee')
(40, 'doctor', 'oogggggsa')
(40, 'doctor', 'gfererrrr')
(40, 'doctor', 'mnnaaarfda')
(40, 'doctor', 'sra')
(40, 'doctor', 'grl')
(40, 'hospital', 'htgtrseee')
(40, 'hospital', 'oogggggsa')
(40, 'hospital', 'gfererrrr')
(40, 'hospital', 'mnnaaarfda')
(40, 'hospital', 'sra')
(40, 'hospital', 'grl')
(40, 'surgeon', 'htgtrseee')
(40, 'surgeon', 'oogggggsa')
(40, 'surgeon', 'gfererrrr')
(40, 'surgeon', 'mnnaaarfda')
(40, 'surgeon', 'sra')
(40, 'surgeon', 'grl')
(40, 'bandage', 'htgtrseee')
(40, 'bandage', 'oogggggsa')
(40, 'bandage', 'gfererrrr')
(40, 'bandage', 'mnnaaarfda')
(40, 'bandage', 'sra')
(40, 'bandage', 'grl')
(40, 'patient', 'htgtrseee')
(40, 'patient', 'oogggggsa')
(40, 'patient', 'gfererrrr')
(40, 'patient', 'mnnaaarfda')
(40, 'patient', 'sra')
