{' No': -0.27960142, ' Yes': -1.828668, '\n': -2.867862, 'No': -4.083987, ' Not': -5.576015}
{' No': -0.15839276, 'No': -2.1325693, '\n': -3.672749, ' ': -6.601525, ' Yes': -7.4874353}
{' No': -0.7077749, '\n': -1.4173963, 'No': -2.2825449, ' Yes': -2.0839152, 'Yes': -4.4461665}
{' No': -0.29715326, 'No': -2.1533637, '\n': -2.2820568, ' Yes': -3.947563, ' Unfortunately': -4.561516}
{' No': -0.55243146, '\n': -1.6228814, 'No': -2.0306873, ' Yes': -2.8623888, ' Unfortunately': -4.2202797}
{' No': -0.3332944, '\n': -2.184979, 'No': -2.243813, ' Yes': -3.1194022, ' Unfortunately': -4.6990266}
{' No': -0.27760136, '\n': -3.0757408, 'No': -2.5349789, ' Yes': -2.5061512, ' Unfortunately': -3.8386822}
{' No': -0.35658523, '\n': -2.3501515, 'No': -2.3392854, ' Yes': -2.5332954, ' Unfortunately': -4.1623845}
{' No': -0.37218806, '\n': -1.811668, 'No': -2.7517753, ' Yes': -2.7800763, ' Not': -4.613967}
{' No': -0.15356271, '\n': -3.2927072, ' ': -6.7247033, 'No': -2.3272593, ' Unfortunately': -5.544693}
{' No': -0.45165658, '\n': -1.4603101, 'No': -2.3221457, ' Unfortunately': -4.148699, ' Yes': -4.9327374}
{' No': -0.1731383, '\n': -2.578799, 'No': -2.622319, ' Unfortunately': -5.458571, ' Yes': -6.163931}
{' No': -0.16013733, 'No': -2.8049548, '\n': -3.07613, ' Yes': -3.419817, ' Unfortunately': -6.075235}
{' No': -0.40883735, '\n': -1.6027746, 'No': -2.60575, ' Yes': -3.1019468, ' ': -5.385663}
{'\n': -0.61834776, ' No': -1.2024941, 'No': -2.8295407, ' Yes': -3.186379, ' Unfortunately': -3.6041627}
{' No': -0.2653357, '\n': -2.1082425, ' ': -5.2863374, 'No': -2.5110157, ' Unfortunately': -4.023146}
{' No': -0.9541533, '\n': -0.78048533, ' ': -4.377844, 'No': -2.4593146, ' Unfortunately': -3.2436965}
{' No': -0.5080972, '\n': -1.2594094, 'No': -2.737694, ' Unfortunately': -4.0274396, ' Yes': -4.3115597}
{' No': -0.2798968, '\n': -2.2482998, 'No': -2.7033317, ' Unfortunately': -3.365735, ' Yes': -3.8764505}
{' No': -0.30679902, '\n': -1.9020327, 'No': -2.577013, ' Unfortunately': -3.8903275, ' Yes': -4.6812305}
{' No': -0.08209744, ' Not': -6.1605353, '\n': -3.074035, 'No': -3.8784783, ' Yes': -4.9566183}
{' No': -0.040193956, ' Not': -7.759566, '\n': -4.768639, ' ': -8.115116, 'No': -3.5168252}
{' No': -0.10780198, 'No': -2.9386659, '\n': -3.0818124, ' Not': -6.8894906, ' ': -6.939455}
{' No': -0.0614359, 'No': -3.5063422, '\n': -3.6457634, ' Yes': -6.3912673, ' ': -7.061029}
{' No': -0.095509976, '\n': -4.981889, 'No': -3.9377627, ' Yes': -2.7616723, 'Yes': -7.1627917}
{' No': -0.07034944, '\n': -3.84792, ' ': -7.4924264, 'No': -3.2483659, ' Yes': -4.999617}
{' No': -0.14243531, '\n': -2.6952612, ' Yes': -3.0580082, 'No': -4.3474083, ' Not': -6.403869}
{' No': -0.036424693, ' Not': -8.208079, '\n': -4.8464203, 'No': -3.6165712, ' Yes': -8.102652}
{' No': -0.07263037, 'No': -3.2552512, '\n': -3.5534387, ' Unfortunately': -7.2326264, ' Not': -7.258196}
{' No': -0.08085547, '\n': -4.25677, ' ': -7.651704, 'No': -2.7818575, ' Yes': -7.598328}
{' No': -0.09639213, ' Yes': -2.6892664, 'No': -4.2492814, '\n': -4.770348, 'Yes': -7.0887184}
{' No': -0.03297639, '\n': -4.6510987, ' ': -7.862301, 'No': -4.200157, ' Yes': -4.9290924}
{' No': -0.27389926, '\n': -2.6821425, 'No': -4.6010666, ' Yes': -1.8677691, 'Yes': -5.7288814}
{' No': -0.019259641, '\n': -5.7922597, 'No': -4.169606, ' Yes': -8.683816, ' no': -9.002179}
{' No': -0.032941457, '\n': -4.503818, ' ': -7.985315, 'No': -3.8996367, ' Yes': -8.07024}
{' No': -0.06519349, '\n': -4.065047, ' ': -7.6449585, 'No': -3.194605, ' Yes': -5.5298805}
{' No': -0.026117768, '\n': -6.1742, ' ': -9.288574, 'No': -4.1594296, ' Yes': -4.8560257}
{' No': -0.027756387, 'No': -3.7602868, '\n': -5.7826924, ' Yes': -7.1043797, ' ': -8.940474}
{' No': -0.30970323, '\n': -1.8589834, 'No': -2.8406022, ' Unfortunately': -3.3546896, ' ': -5.2256904}
{' No': -0.1309909, 'No': -2.8167226, '\n': -3.1787221, ' Unfortunately': -4.1805587, ' ': -5.9413347}
{' No': -0.25709015, '\n': -2.4301724, ' ': -5.4448285, 'No': -2.6407685, ' Unfortunately': -2.8925593}
{' No': -0.18453243, '\n': -2.5845146, ' ': -5.425215, 'No': -2.6793041, ' Unfortunately': -4.088363}
{' No': -0.09332009, 'No': -2.9179754, '\n': -3.8882933, ' Unfortunately': -4.6048784, ' ': -6.661908}
{' No': -0.14839402, '\n': -2.8443396, 'No': -2.8527222, ' Yes': -5.175278, ' Unfortunately': -4.422619}
{' No': -0.3634081, '\n': -2.4928331, 'No': -4.020146, ' Yes': -1.6307896, 'Yes': -5.388999}
{' No': -0.03706179, 'No': -3.6475048, '\n': -4.681698, ' Yes': -7.8337135, ' ': -8.527008}
{' No': -0.098275684, '\n': -3.2241836, ' ': -6.99777, 'No': -3.000003, ' Yes': -6.3756046}
{' No': -0.11399341, 'No': -2.997389, '\n': -3.145194, ' Yes': -4.320338, ' ': -7.280455}
{' No': -0.04326373, '\n': -5.3637705, 'No': -3.6144574, ' Yes': -4.584237, 'Yes': -8.564267}
{' No': -0.03748844, '\n': -5.425182, ' ': -8.912032, 'No': -3.4663768, ' Yes': -7.0310087}
{' No': -0.18303572, '\n': -2.3897674, ' Yes': -2.907256, 'No': -4.079228, ' Not': -6.522623}
{' No': -0.050323308, '\n': -3.7124648, ' ': -7.8544455, 'No': -3.7843187, ' Yes': -6.72487}
{' No': -0.11047555, '\n': -2.8807142, ' ': -7.191129, 'No': -3.0660114, ' Yes': -7.329429}
{' No': -0.06985575, 'No': -3.3377848, '\n': -3.7599685, ' Yes': -4.8553934, ' ': -8.01419}
{' No': -0.041916132, ' Not': -7.9929175, '\n': -4.945177, 'No': -3.5759544, ' Yes': -5.2980824}
{' No': -0.036159042, '\n': -5.7617273, ' ': -9.047208, 'No': -3.4584632, ' Yes': -7.3853693}
{' No': -0.026182072, 'No': -3.884548, '\n': -5.5002995, ' Yes': -7.0466304, ' Not': -8.879367}
{' No': -0.047632586, ' Not': -9.833506, '\n': -6.9804707, ' ': -9.406821, 'No': -3.093762}
{' No': -0.06310284, ' Not': -9.641082, '\n': -4.618885, ' ': -8.024027, 'No': -2.9806213}
{' No': -0.042458784, '\n': -5.496663, ' ': -8.89108, 'No': -3.2964642, ' Yes': -8.589303}
{' No': -0.033244886, '\n': -5.7280936, 'No': -4.2339, ' Yes': -4.227367, 'Yes': -8.634132}
{' No': -0.034102067, 'No': -3.6240218, '\n': -5.1339645, ' Yes': -7.2048798, ' ': -8.758751}
{' No': -0.37895748, '\n': -2.4504123, 'No': -4.4896903, ' Yes': -1.5579545, 'Yes': -5.4235854}
{' No': -0.03357053, '\n': -4.223632, ' ': -7.6971917, 'No': -4.103759, ' Yes': -7.005925}
{' No': -0.09088711, '\n': -3.1525972, ' ': -6.6541286, 'No': -3.2071798, ' Yes': -6.555617}
{' No': -0.025781628, 'No': -4.114828, '\n': -4.8189964, ' Yes': -7.231338, ' ': -8.363541}
{' No': -0.03066672, 'No': -4.0719814, ' Yes': -4.6950817, '\n': -5.6280828, ' ': -8.715598}
{' No': -0.043551754, '\n': -4.804574, ' ': -8.184056, 'No': -3.4547265, ' Yes': -6.0524225}
{' No': -0.24678248, '\n': -2.4078715, ' ': -5.8376994, 'No': -2.1216488, ' Yes': -5.66695}
{' No': -0.1456017, 'No': -2.189175, '\n': -3.8305895, ' ': -6.8649673, ' Unfortunately': -8.313011}
{' No': -0.1930315, '\n': -2.8208485, ' ': -6.194409, 'No': -2.1923141, ' Unfortunately': -6.83014}
{' No': -0.176371, '\n': -3.4819396, ' ': -6.6713448, 'No': -2.0609326, ' Yes': -6.6226482}
{' No': -0.1486482, 'No': -2.1390235, '\n': -4.0792856, ' Yes': -6.4050627, ' ': -7.011311}
{' No': -0.15520287, 'No': -2.1312485, '\n': -3.7786465, ' ': -6.982694, ' Yes': -7.259466}
{' No': -0.7254814, '\n': -1.4419942, 'No': -2.2770274, ' Yes': -1.9596751, 'Yes': -4.2366714}
{' No': -0.26836455, '\n': -2.3968723, 'No': -2.14852, ' Yes': -4.241799, ' Unfortunately': -4.898937}
{' No': -0.60587925, '\n': -1.4155049, 'No': -2.075827, ' Yes': -2.9792123, ' Unfortunately': -4.024851}
{' No': -0.32304224, '\n': -2.155493, 'No': -2.1985059, ' Yes': -3.4950066, ' Unfortunately': -4.506655}
{' No': -0.44853482, '\n': -2.5582952, 'No': -2.4578938, ' Yes': -1.7967365, ' Unfortunately': -4.410117}
{' No': -0.46732858, '\n': -2.1358294, 'No': -2.1137958, ' Yes': -2.2140517, 'Yes': -4.6742625}
{' No': -0.45942557, ' Not': -4.922686, '\n': -1.5783297, 'No': -2.7214115, ' Yes': -2.555657}
{' No': -0.16491334, 'No': -2.27623, '\n': -3.134174, ' Unfortunately': -5.9468226, ' ': -6.8992243}
{' No': -0.34834847, '\n': -1.7150801, 'No': -2.3724856, ' Unfortunately': -4.594848, ' Yes': -5.376056}
{' No': -0.18609083, 'No': -2.5105844, '\n': -2.5570586, ' Unfortunately': -5.5856605, ' Yes': -5.9653034}
{' No': -0.25936183, ' Not': -5.8672795, '\n': -2.436995, 'No': -2.8159049, ' Yes': -2.644778}
{' No': -0.3816366, '\n': -1.658389, ' ': -5.785952, 'No': -2.6831942, ' Yes': -3.07449}
{' No': -1.0356106, '\n': -0.7206273, 'No': -2.6028352, ' Yes': -3.1651328, ' Unfortunately': -3.9854453}
{' No': -0.28772596, ' Not': -5.264008, '\n': -2.0198789, 'No': -2.4021153, ' Unfortunately': -4.124842}
{' No': -0.6236499, '\n': -1.1848778, 'No': -2.3966887, ' Unfortunately': -3.095608, ' Not': -4.736475}
{' No': -0.26248023, '\n': -2.092991, 'No': -2.7469466, ' Unfortunately': -3.5879464, ' Yes': -5.23827}
{' No': -0.360777, '\n': -1.8950634, 'No': -2.638012, ' Yes': -3.2937431, ' Unfortunately': -3.7421362}
{' No': -0.38690373, '\n': -1.5823555, 'No': -2.5053425, ' Yes': -4.5005717, ' Unfortunately': -4.53516}
{' No': -0.0509645, '\n': -4.0649066, ' ': -7.381702, 'No': -3.5736349, ' Yes': -5.877361}
{' No': -0.04863176, '\n': -5.4176593, ' ': -8.639151, 'No': -3.1629024, ' Yes': -8.498674}
{' No': -0.10520357, '\n': -3.6367395, ' ': -7.277731, 'No': -2.6347942, ' Yes': -7.768706}
{' No': -0.039776597, '\n': -5.160334, ' ': -8.193969, 'No': -3.4400413, ' Yes': -7.4493604}
{' No': -0.039884873, 'No': -3.9495258, ' Yes': -4.2445316, '\n': -5.3264103, ' ': -8.238664}
{' No': -0.048481528, '\n': -4.9633427, ' ': -7.9851265, 'No': -3.3686507, ' Yes': -5.240816}
{' No': -0.18693586, '\n': -2.953337, 'No': -4.1440563, ' Yes': -2.3298876, 'Yes': -6.1107087}
{' No': -0.046612173, '\n': -4.7974973, ' ': -8.322266, 'No': -3.317774, ' Yes': -7.672111}
{' No': -0.100751095, '\n': -3.2490299, 'No': -2.9505262, ' Yes': -6.9407854, ' Unfortunately': -6.15873}
{' No': -0.11200376, '\n': -3.5231748, ' ': -7.207331, 'No': -2.613541, ' Yes': -6.4024086}
{' No': -0.022539504, '\n': -6.0173283, 'No': -4.833517, ' Yes': -4.453522, 'Yes': -9.208855}
{' No': -0.030375933, 'No': -4.1579547, '\n': -4.680928, ' Yes': -5.394769, ' ': -8.048326}
{' No': -0.08976468, '\n': -2.9103098, ' ': -7.093785, 'No': -3.9424865, ' Yes': -4.6706033}
{' No': -0.021179676, 'No': -3.944958, '\n': -6.614517, ' Yes': -9.364298, ' no': -9.82203}
{' No': -0.044486683, 'No': -3.4235568, '\n': -4.5656214, ' ': -8.478141, ' Not': -8.845017}
{' No': -0.050458394, '\n': -4.499709, ' ': -8.067292, 'No': -3.3009276, ' Yes': -7.274141}
{' No': -0.032908194, 'No': -3.9774785, ' Yes': -4.6307187, '\n': -5.63764, 'Yes': -8.960873}
{' No': -0.02601988, '\n': -5.4360385, ' ': -8.95905, 'No': -3.8919387, ' Yes': -7.2202106}
{' No': -0.46524864, '\n': -1.6193967, ' Unfortunately': -2.5909677, 'No': -2.9094968, ' Yes': -3.8703005}
{' No': -0.13837051, ' Not': -6.3149066, '\n': -3.5323217, 'No': -2.556057, ' Unfortunately': -4.064184}
{' No': -0.32115412, '\n': -2.0027585, 'No': -2.7322886, ' Unfortunately': -2.7814333, ' Not': -5.3032727}
{' No': -0.20406274, '\n': -2.4669068, ' ': -5.9064097, 'No': -2.6759405, ' Unfortunately': -3.7701275}
{' No': -0.20998979, '\n': -2.735571, 'No': -2.9046862, ' Yes': -3.4099865, ' Unfortunately': -3.6969702}
{' No': -0.17038326, '\n': -2.7228432, 'No': -2.6607761, ' Yes': -5.203155, ' Unfortunately': -4.414152}
{' No': -0.14784098, '\n': -2.4239469, 'No': -3.843535, ' Yes': -3.7711031, ' The': -6.6847606}
{' No': -0.050399344, '\n': -4.095264, ' ': -8.077769, 'No': -3.4568284, ' The': -8.405921}
{' No': -0.098521575, '\n': -3.0040336, 'No': -3.1966815, ' ': -7.02466, ' Yes': -7.1873612}
{' No': -0.20127389, '\n': -2.9783258, ' ': -7.21445, 'No': -2.0734947, ' Yes': -5.502192}
{' No': -0.058669, 'No': -3.150113, '\n': -4.565505, ' Yes': -5.761264, ' ': -8.41071}
{' No': -0.086324595, ' Not': -9.579227, '\n': -4.484411, ' ': -8.599375, 'No': -2.644365}
{' No': -0.3529034, ' Yes': -1.8156073, '\n': -2.2258968, 'No': -4.0579205, 'Yes': -5.6053905}
{' No': -0.06524407, '\n': -3.7499804, 'No': -3.3355265, ' Yes': -6.062892, ' The': -7.2687197}
{' No': -0.11520834, '\n': -2.8312821, 'No': -3.129914, ' Yes': -6.0270348, ' Unfortunately': -6.857025}
{' No': -0.17992118, '\n': -2.605235, 'No': -2.552722, ' Yes': -4.6952424, ' The': -6.5915213}
{' No': -0.044980288, ' Not': -8.618154, '\n': -4.9183474, 'No': -3.4931977, ' Yes': -5.182903}
{' No': -0.04839281, 'No': -3.1843889, '\n': -5.241058, ' Yes': -8.556767, ' ': -8.883666}
{' No': -0.07809144, '\n': -3.5621822, 'No': -3.6867397, ' Yes': -3.976996, ' The': -6.9553556}
{' No': -0.094471686, '\n': -4.3154016, 'No': -2.589314, ' Yes': -7.4792595, ' The': -7.5914636}
{' No': -0.07336431, '\n': -4.5059376, ' ': -7.8549943, 'No': -2.8416424, ' The': -8.017284}
{' No': -0.19028786, '\n': -3.0596666, ' ': -7.3389916, 'No': -2.1065342, ' Yes': -5.784831}
{' No': -0.07341857, '\n': -4.293856, 'No': -3.424136, ' Yes': -3.7442157, 'Yes': -7.5399423}
{' No': -0.054236397, 'No': -3.2540994, '\n': -4.45951, ' Yes': -6.093901, ' ': -8.493707}
{' No': -0.06390914, '\n': -3.4219964, ' ': -7.1116004, 'No': -4.419557, ' Yes': -4.229856}
{' No': -0.052071285, '\n': -4.432881, ' ': -7.551146, 'No': -3.2837033, ' Yes': -7.912318}
{' No': -0.07500233, 'No': -3.2706676, '\n': -3.4205012, ' ': -7.1871047, ' Yes': -8.020279}
{' No': -0.032998316, '\n': -4.6227427, ' ': -8.127003, 'No': -3.8369856, ' Yes': -7.6359625}
{' No': -0.02201524, 'No': -4.3396497, '\n': -5.4249635, ' Yes': -5.5080953, ' ': -8.767905}
{' No': -0.038871773, 'No': -3.674705, '\n': -4.470934, ' Yes': -7.042421, ' ': -8.216774}
{' No': -0.21314134, 'No': -2.17298, '\n': -2.6824424, ' Yes': -5.7345986, ' ': -5.764515}
{' No': -0.16520377, 'No': -2.014485, '\n': -4.096398, ' ': -6.8672166, ' Unfortunately': -8.03811}
{' No': -0.16795519, 'No': -2.2573411, '\n': -3.0834446, ' ': -6.416817, ' Unfortunately': -6.6412277}
{' No': -0.22232698, 'No': -1.8684603, '\n': -3.1637063, ' ': -6.580433, ' Unfortunately': -7.7426267}
{' No': -0.14935641, '\n': -3.3944924, ' ': -6.701569, 'No': -2.2863116, ' Yes': -6.868249}
{' No': -0.14576802, '\n': -3.44138, ' ': -7.053559, 'No': -2.288123, ' Unfortunately': -7.4787393}
{' Yes': -0.68326426, ' No': -1.6009337, '\n': -1.6662812, 'Yes': -3.3192372, 'No': -3.3884208}
{' No': -0.43996105, '\n': -2.0775247, 'No': -2.2143388, ' Yes': -2.661776, ' Unfortunately': -3.828253}
{' No': -0.98504484, '\n': -1.451981, 'No': -2.78422, ' Yes': -1.3317417, 'Yes': -3.909329}
{' No': -0.5320834, '\n': -2.2297456, 'No': -2.4660738, ' Yes': -1.7391832, ' The': -4.3763657}
{' No': -0.46231276, '\n': -2.1857204, 'No': -2.6573315, ' Yes': -1.9695951, ' Unfortunately': -3.6203878}
{' No': -0.5206551, '\n': -1.6584686, 'No': -2.3573308, ' Yes': -2.495289, ' Unfortunately': -3.8048232}
{' No': -0.40134576, '\n': -1.821962, 'No': -2.5256896, ' Yes': -2.7587543, ' Unfortunately': -4.6782203}
{' No': -0.18889199, '\n': -3.280588, 'No': -2.1133344, ' The': -6.0383973, ' Unfortunately': -5.2228045}
{' No': -0.26511323, '\n': -2.37968, 'No': -2.226663, ' Yes': -5.16299, ' Unfortunately': -3.9861135}
{' No': -0.19232614, '\n': -2.6461797, 'No': -2.4113755, ' Yes': -5.442654, ' Unfortunately': -5.4962316}
{' No': -0.21339622, '\n': -2.8874187, 'No': -2.561741, ' Yes': -3.078091, ' Unfortunately': -5.3135815}
{' No': -0.3534805, '\n': -2.0623906, 'No': -2.5157444, ' Yes': -2.5924025, 'Yes': -5.5643244}
{' No': -0.54413116, '\n': -1.7287662, 'No': -2.486674, ' Yes': -3.7265213, ' Unfortunately': -2.2153935}
{' No': -0.20851739, 'No': -2.3827422, '\n': -3.1511083, ' Unfortunately': -3.1640553, ' Not': -5.711222}
{' No': -0.48810542, '\n': -1.7180495, ' Unfortunately': -2.3617911, 'No': -2.4403474, ' Not': -4.912524}
{' No': -0.3311013, '\n': -2.3198173, 'No': -2.3916426, ' Unfortunately': -2.5697696, ' ': -5.450154}
{' No': -0.38010547, '\n': -1.8304284, 'No': -2.6010945, ' Unfortunately': -2.8016083, ' ': -5.0444975}
{' No': -0.43835622, '\n': -1.5306547, 'No': -2.463907, ' Unfortunately': -3.2370834, ' ': -5.2769356}
{' No': -0.10187295, '\n': -3.0827742, 'No': -3.5377154, ' Yes': -4.048389, ' The': -6.344171}
{' No': -0.062172487, 'No': -3.1178823, '\n': -4.2999845, ' Yes': -7.119058, ' The': -7.5586047}
{' No': -0.10828254, '\n': -3.668175, ' ': -7.0987096, 'No': -2.6150231, ' Yes': -6.7316813}
{' No': -0.12401456, 'No': -2.6498055, '\n': -3.2096508, ' Yes': -5.708998, ' ': -7.0171576}
{' No': -0.12162191, ' Yes': -2.639549, 'No': -3.3524282, '\n': -5.0860057, 'Yes': -6.555394}
{' No': -0.0352176, 'No': -3.6466868, '\n': -5.133728, ' Yes': -6.0954494, ' ': -8.481129}
{' No': -0.28128695, ' Yes': -2.0854805, '\n': -2.474139, 'No': -3.736922, ' The': -5.1566057}
{' No': -0.056095768, 'No': -3.2985785, '\n': -4.271313, ' The': -6.624392, ' Yes': -7.3657126}
{' No': -0.13951449, '\n': -2.6702476, 'No': -3.0416102, ' Yes': -5.4099994, ' Unfortunately': -5.5775595}
{' No': -0.15113604, 'No': -2.3291147, '\n': -3.2927473, ' Unfortunately': -6.4025855, ' Yes': -6.5971427}
{' No': -0.0502155, ' Yes': -3.5713162, 'No': -4.1830716, '\n': -5.3320413, 'Yes': -7.8949757}
{' No': -0.05361374, '\n': -4.0231056, ' ': -7.7314644, 'No': -3.5391104, ' Yes': -5.493265}
{' No': -0.09735738, '\n': -3.1748755, ' Yes': -3.4561563, 'No': -4.1454163, ' The': -6.765154}
{' No': -0.03491746, '\n': -5.3645205, ' ': -8.908184, 'No': -3.541692, ' no': -8.833884}
{' No': -0.058035754, '\n': -3.8515995, ' ': -7.7204084, 'No': -3.387105, ' no': -8.301328}
{' No': -0.19373961, '\n': -2.967385, ' ': -7.4572906, 'No': -2.1233776, ' Yes': -5.6627007}
{' No': -0.035881665, 'No': -3.6231027, ' Yes': -5.1209397, '\n': -6.0829716, 'Yes': -9.313915}
{' No': -0.028750261, 'No': -3.7418714, '\n': -5.5282674, ' Yes': -7.6671033, ' ': -9.187632}
{' No': -0.49017483, '\n': -1.6140226, 'No': -2.0808427, ' Yes': -4.662313, ' Unfortunately': -3.2828972}
{' No': -0.20506147, 'No': -2.1294558, '\n': -3.3017755, ' Unfortunately': -3.8073711, ' The': -5.782547}
{' No': -0.372258, 'No': -1.980208, '\n': -2.1860816, ' Unfortunately': -3.116227, ' Yes': -5.459887}
{' No': -0.30744195, '\n': -2.358721, 'No': -2.3331852, ' The': -5.1930866, ' Unfortunately': -2.8862133}
{' No': -0.27997106, '\n': -2.1519556, 'No': -2.4150934, ' Unfortunately': -3.6509101, ' ': -5.406575}
{' No': -0.4874811, '\n': -1.4342736, 'No': -2.2961226, ' Yes': -4.497386, ' Unfortunately': -3.7021246}
{' No': -0.71324337, '\n': -2.5283642, 'No': -4.452223, ' Yes': -0.9087866, 'Yes': -4.348261}
{' No': -0.029742723, 'No': -4.05914, '\n': -4.517242, ' Yes': -7.246017, ' ': -8.719513}
{' No': -0.09731992, 'No': -2.8009636, '\n': -3.5804093, ' Yes': -6.044523, ' ': -7.1008215}
{' No': -0.18062368, 'No': -2.5318751, '\n': -2.6718118, ' Yes': -4.219045, ' ': -7.0146995}
{' No': -0.03914775, '\n': -5.3682966, ' ': -8.607991, 'No': -3.6790726, ' Yes': -4.823394}
{' No': -0.032648962, '\n': -5.479844, ' ': -8.82103, 'No': -3.6207206, ' Yes': -6.948319}
{' No': -0.1029691, ' Yes': -2.8362987, '\n': -3.952611, 'No': -4.1182585, ' Not': -6.3059525}
{' No': -0.02113858, 'No': -3.964488, '\n': -6.4975667, ' Yes': -8.316594, ' Not': -9.576741}
{' No': -0.054949794, '\n': -4.591998, 'No': -3.1868505, ' Yes': -7.101618, ' Unfortunately': -7.475563}
{' No': -0.07347932, 'No': -3.1067224, ' Yes': -4.117617, '\n': -4.7668214, 'Yes': -7.615408}
{' No': -0.020642305, 'No': -4.0887785, ' Yes': -6.359233, '\n': -6.3631487, ' ': -9.548535}
{' No': -0.0269759, 'No': -3.7818127, '\n': -5.8261027, ' Yes': -7.224861, ' ': -9.643274}
{' No': -0.021084221, 'No': -4.109461, '\n': -5.915798, ' Yes': -6.4912586, ' Not': -9.489496}
{' No': -0.037971605, '\n': -7.1572547, ' ': -9.860389, 'No': -3.3163376, ' Yes': -9.7239065}
{' No': -0.039876502, 'No': -3.3783374, '\n': -5.36568, ' ': -8.614724, ' Yes': -10.181994}
{' No': -0.05551582, '\n': -5.6579914, ' ': -9.209679, 'No': -2.990748, ' Yes': -9.273225}
{' No': -0.046615478, '\n': -4.941936, 'No': -3.7506576, ' Yes': -4.2415004, 'Yes': -8.310197}
{' No': -0.039906524, '\n': -4.817179, ' ': -8.715196, 'No': -3.5095546, ' Yes': -7.0121994}
{' No': -0.026118318, ' Not': -8.472632, '\n': -4.9429765, 'No': -4.4815493, ' Yes': -5.0161295}
{' No': -0.025561782, '\n': -7.2192893, ' ': -9.898656, 'No': -3.7210915, ' Yes': -8.820222}
{' No': -0.0266235, '\n': -5.395308, ' ': -8.828522, 'No': -3.856606, ' Yes': -8.166012}
{' No': -0.017136686, 'No': -4.1710825, '\n': -7.214343, ' Yes': -7.3082438, ' ': -10.172273}
{' No': -0.022902241, 'No': -4.1258397, ' Yes': -5.295516, '\n': -6.6491003, ' ': -9.497755}
{' No': -0.023743818, '\n': -6.250346, ' ': -9.210156, 'No': -3.870242, ' Yes': -7.5627756}
{' No': -0.17029923, 'No': -2.5573366, '\n': -2.6747813, ' Yes': -5.1205497, ' Unfortunately': -6.4171667}
