{' number': -6.5517163, ' #': -6.544743, ' 1': -2.2409306, ' 2': -0.15288188, ' two': -3.472717}
{' number': -6.5482006, ' #': -6.4872828, ' 1': -3.5990865, ' 2': -0.065252215, ' two': -3.4307723}
{' number': -6.4845386, ' #': -6.553228, ' 1': -3.6572108, ' 2': -0.065143295, ' two': -3.3867793}
{' number': -6.481693, ' #': -6.478771, ' 1': -3.3532403, ' 2': -0.07191227, ' two': -3.4813511}
{' 2': -0.06222919, ' two': -3.4535444, ' 1': -3.6766984, ' number': -6.520635, ' #': -6.5357976}
{' number': -6.535302, ' #': -6.3471293, ' 1': -2.9672937, ' 2': -0.09036928, ' two': -3.4771123}
{' number': -6.545984, ' #': -6.434911, ' 1': -2.799568, ' 2': -0.09859459, ' two': -3.537544}
{' number': -6.5145216, ' #': -6.3616934, ' 1': -2.57179, ' 2': -0.115771584, ' two': -3.5525446}
{' number': -6.5743685, ' #': -6.4369555, ' 1': -2.7863276, ' 2': -0.09810484, ' two': -3.5795672}
{' 2': -0.07832831, ' 1': -3.1849356, ' two': -3.5012581, ' #': -6.4384665, ' number': -6.4973526}
{' number': -6.5447693, ' #': -6.3996468, ' 1': -3.2816048, ' 2': -0.07618715, ' two': -3.4425602}
{' number': -6.479024, ' #': -6.3637204, ' 1': -2.3450637, ' 2': -0.13584094, ' two': -3.6254857}
{' 2': -0.10173384, ' 1': -2.7602537, ' two': -3.5344656, ' #': -6.3382583, ' number': -6.4721823}
{' 2': -0.09651054, ' 1': -2.815806, ' two': -3.5783105, ' #': -6.373938, ' number': -6.424576}
{' number': -6.41553, ' #': -6.428449, ' 1': -3.2058291, ' 2': -0.078441314, ' two': -3.474155}
{' 2': -0.09512549, ' 1': -2.8278735, ' two': -3.5933478, ' #': -6.415452, ' number': -6.4702225}
{' number': -6.4068832, ' #': -6.3671184, ' 1': -3.1933553, ' 2': -0.0810926, ' two': -3.4188268}
{' number': -6.4219217, ' #': -6.3683715, ' 1': -2.4890459, ' 2': -0.122127555, ' two': -3.5926018}
{' 2': -0.12084555, ' 1': -2.502973, ' two': -3.5874116, ' #': -6.4204335, ' number': -6.4616275}
{' number': -6.4983163, ' #': -6.502683, ' 1': -2.5845168, ' 2': -0.11074485, ' two': -3.672646}
{' 2': -0.22991842, ' 1': -1.7242764, ' two': -3.827193, ' one': -6.3240824, ' #': -6.3658557}
{' number': -6.410503, ' #': -6.3984303, ' 1': -2.1963243, ' 2': -0.1525297, ' two': -3.6688354}
{' 2': -0.13714519, ' 1': -2.339225, ' two': -3.6059692, ' number': -6.3994756, ' #': -6.4265146}
{' number': -6.461794, ' #': -6.4871764, ' 1': -2.5708392, ' 2': -0.11546353, ' two': -3.5587327}
{' 2': -0.10689778, ' 1': -2.6785665, ' two': -3.553379, ' number': -6.447027, ' #': -6.464952}
{' number': -6.440593, ' #': -6.3963814, ' 1': -1.8535093, ' 2': -0.20310912, ' two': -3.8115551}
{' number': -6.4248037, ' #': -6.316674, ' 1': -2.470857, ' 2': -0.1236641, ' two': -3.6042032}
{' number': -6.3612614, ' #': -6.278068, ' 1': -2.1832075, ' 2': -0.15614599, ' two': -3.6206918}
{' number': -6.4352417, ' #': -6.382915, ' 1': -2.8476064, ' 2': -0.09696969, ' two': -3.4995344}
{' number': -6.5321264, ' #': -6.365717, ' 1': -2.9150186, ' 2': -0.09030418, ' two': -3.5702062}
{' number': -6.437027, ' #': -6.3429666, ' 1': -3.2623026, ' 2': -0.07393487, ' two': -3.5429556}
{' 2': -0.123183504, ' 1': -2.4670231, ' two': -3.627879, ' #': -6.3186736, ' number': -6.485749}
{' 2': -0.10900093, ' 1': -2.6548266, ' two': -3.5533464, ' #': -6.384983, ' number': -6.4327493}
{' number': -6.6058345, ' #': -6.5003257, ' 1': -3.1548996, ' 2': -0.07606886, ' two': -3.6082535}
{' number': -6.489493, ' #': -6.4124928, ' 1': -3.856936, ' 2': -0.05625046, ' two': -3.507922}
{' number': -6.803271, ' #': -6.591409, ' 1': -2.9867573, ' 2': -0.081930384, ' two': -3.6903212}
{' number': -6.467104, ' #': -6.3328166, ' 1': -3.4409525, ' 2': -0.071522295, ' two': -3.4087641}
{' 2': -0.06979489, ' two': -3.4213398, ' 1': -3.4676275, ' #': -6.4507937, ' number': -6.54155}
{' number': -6.488037, ' #': -6.4652796, ' 1': -3.8429291, ' 2': -0.059020303, ' two': -3.4301903}
{' number': -6.4592, ' #': -6.4129615, ' 1': -3.42067, ' 2': -0.06988387, ' two': -3.4715676}
{' number': -6.5136185, ' #': -6.4779425, ' 1': -3.7034125, ' 2': -0.061564896, ' two': -3.4549074}
{' 2': -0.08887962, ' 1': -2.994086, ' two': -3.47856, ' #': -6.3322234, ' number': -6.4979653}
{' 2': -0.08904738, ' 1': -3.0018127, ' two': -3.4575834, ' #': -6.3812895, ' number': -6.4934344}
{' number': -6.5076838, ' #': -6.368174, ' 1': -2.4851909, ' 2': -0.12313415, ' two': -3.5681946}
{' number': -6.520554, ' #': -6.452133, ' 1': -2.9001052, ' 2': -0.09286784, ' two': -3.5142314}
{' number': -6.495443, ' #': -6.4658065, ' 1': -3.2120376, ' 2': -0.077710964, ' two': -3.4819238}
{' number': -6.524893, ' #': -6.3914657, ' 1': -2.905392, ' 2': -0.09540584, ' two': -3.4349558}
{' 2': -0.10622476, ' 1': -2.6889062, ' two': -3.5515027, ' #': -6.413029, ' number': -6.4841084}
{' number': -6.495881, ' #': -6.3812566, ' 1': -2.8608906, ' 2': -0.09596388, ' two': -3.4992783}
{' number': -6.4495635, ' #': -6.3832517, ' 1': -3.2377493, ' 2': -0.07506985, ' two': -3.5345078}
{' number': -6.4341807, ' #': -6.4346023, ' 1': -3.316999, ' 2': -0.07390952, ' two': -3.468599}
{' number': -6.4675894, ' #': -6.276882, ' 1': -2.9634972, ' 2': -0.09062956, ' two': -3.4825666}
{' number': -6.4344273, ' #': -6.3565493, ' 1': -3.312844, ' 2': -0.07486054, ' two': -3.4500167}
{' number': -6.425554, ' #': -6.3518405, ' 1': -2.6010437, ' 2': -0.11297814, ' two': -3.5657904}
{' number': -6.500174, ' #': -6.4721856, ' 1': -2.5018775, ' 2': -0.120062664, ' two': -3.6100507}
{' number': -6.4586496, ' #': -6.4597144, ' 1': -2.4899378, ' 2': -0.12125317, ' two': -3.6091032}
{' number': -6.3750057, ' #': -6.2844357, ' 1': -2.0176241, ' 2': -0.17983656, ' two': -3.6335087}
{' number': -6.3972387, ' #': -6.3893604, ' 1': -2.5252566, ' 2': -0.119767666, ' two': -3.561254}
{' number': -6.4050035, ' #': -6.4756393, ' 1': -2.62166, ' 2': -0.11251618, ' two': -3.522989}
{' number': -6.4658537, ' #': -6.444796, ' 1': -2.7464626, ' 2': -0.10269443, ' two': -3.5262783}
{' number': -6.475744, ' #': -6.4581723, ' 1': -2.9620419, ' 2': -0.08726137, ' two': -3.5750961}
{' 2': -0.18570817, ' 1': -1.9782306, ' two': -3.650296, ' #': -6.2612844, ' number': -6.461455}
{' number': -6.3772006, ' #': -6.322832, ' 1': -2.744539, ' 2': -0.10291467, ' two': -3.537235}
{' number': -6.3192863, ' #': -6.2797914, ' 1': -2.2399855, ' 2': -0.15085135, ' two': -3.5587394}
{' number': -6.3988466, ' #': -6.3868093, ' 1': -3.0566838, ' 2': -0.085816845, ' two': -3.470777}
{' number': -6.4820285, ' #': -6.334205, ' 1': -2.821518, ' 2': -0.095449634, ' two': -3.5980742}
{' number': -6.404536, ' #': -6.241937, ' 1': -3.1469011, ' 2': -0.08058066, ' two': -3.502364}
{' number': -6.463859, ' #': -6.2945538, ' 1': -2.7345133, ' 2': -0.102254085, ' two': -3.577058}
{' 2': -0.09850711, ' 1': -2.808979, ' two': -3.5273707, ' #': -6.4143047, ' number': -6.4232397}
{' number': -6.53481, ' #': -6.373963, ' 1': -2.9797606, ' 2': -0.08627449, ' two': -3.5768366}
{' number': -6.5110807, ' #': -6.361854, ' 1': -4.223561, ' 2': -0.05036387, ' two': -3.476786}
{' 2': -0.08772021, ' 1': -2.9323778, ' two': -3.6040757, ' #': -6.453566, ' number': -6.794358}
{' number': -6.6975474, ' #': -6.4027205, ' 1': -3.3535435, ' 2': -0.07347996, ' two': -3.4318666}
{' 2': -0.06789362, ' two': -3.4413714, ' 1': -3.4871247, ' #': -6.6184425, ' number': -6.794973}
{' number': -6.802801, ' #': -6.6021805, ' 1': -3.8053389, ' 2': -0.058487874, ' two': -3.4538813}
{' number': -6.764478, ' #': -6.5538144, ' 1': -3.386515, ' 2': -0.06954241, ' two': -3.5004907}
{' number': -6.732068, ' #': -6.6109023, ' 1': -3.945247, ' 2': -0.056380607, ' two': -3.4263566}
{' number': -6.7012553, ' #': -6.457732, ' 1': -2.6791701, ' 2': -0.111588895, ' two': -3.4116073}
{' number': -6.817088, ' #': -6.5240016, ' 1': -3.015782, ' 2': -0.08650486, ' two': -3.4903517}
{' number': -6.7051945, ' #': -6.4061394, ' 1': -2.5996628, ' 2': -0.11362667, ' two': -3.538332}
{' number': -6.802002, ' #': -6.5477724, ' 1': -2.6816719, ' 2': -0.107228175, ' two': -3.520661}
{' number': -6.7511683, ' #': -6.562061, ' 1': -3.073413, ' 2': -0.083924815, ' two': -3.4784179}
{' number': -6.7298055, ' #': -6.458586, ' 1': -2.9259365, ' 2': -0.09418963, ' two': -3.4250953}
{' #': -6.570705, ' 1': -2.284858, ' 2': -0.14238103, ' one': -6.6499143, ' two': -3.611835}
{' 2': -0.08961055, ' 1': -2.9713604, ' two': -3.476123, ' #': -6.497466, ' number': -6.740735}
{' number': -6.700939, ' #': -6.4843626, ' 1': -2.9935942, ' 2': -0.08590063, ' two': -3.5524645}
{' number': -6.708937, ' #': -6.5892324, ' 1': -3.0605218, ' 2': -0.08480628, ' two': -3.4718509}
{' number': -6.5918107, ' #': -6.2788916, ' 1': -2.5331202, ' 2': -0.1236276, ' two': -3.433659}
{' number': -6.703987, ' #': -6.4871106, ' 1': -3.0489056, ' 2': -0.08684878, ' two': -3.4361281}
{' number': -6.6968617, ' #': -6.502743, ' 1': -2.3320947, ' 2': -0.13778387, ' two': -3.591752}
{' #': -6.5524845, ' 1': -2.214131, ' 2': -0.15122853, ' one': -6.570289, ' two': -3.6116316}
{' #': -6.4852276, ' 1': -2.1840644, ' 2': -0.15346673, ' one': -6.638688, ' two': -3.6692479}
{' #': -6.3837595, ' 1': -1.7280189, ' 2': -0.23251654, ' one': -6.162199, ' two': -3.70617}
{' #': -6.5529337, ' 1': -1.998018, ' 2': -0.18034719, ' one': -6.420902, ' two': -3.688104}
{' #': -6.608051, ' 1': -2.1863976, ' 2': -0.15349968, ' one': -6.5981574, ' two': -3.6522903}
{' 2': -0.16089898, ' 1': -2.123534, ' two': -3.6899953, ' #': -6.554432, ' one': -6.6394944}
{' number': -6.7519526, ' #': -6.578621, ' 1': -2.4633405, ' 2': -0.12295148, ' two': -3.6183662}
{' #': -6.2286015, ' 1': -1.6743221, ' 2': -0.24724963, ' one': -6.091408, ' two': -3.65324}
{' 2': -0.14392614, ' 1': -2.2529464, ' two': -3.691043, ' #': -6.5154185, ' one': -6.691358}
{' #': -6.456526, ' 1': -1.8870819, ' 2': -0.20168965, ' one': -6.3016524, ' two': -3.6391993}
{' number': -6.7278423, ' #': -6.5984282, ' 1': -2.8876586, ' 2': -0.092569046, ' two': -3.5328307}
{' 2': -0.13256556, ' 1': -2.3657312, ' two': -3.6379135, ' #': -6.5008492, ' one': -6.738993}
{' number': -6.6554255, ' #': -6.42292, ' 1': -2.5492463, ' 2': -0.116427094, ' two': -3.5886369}
{' #': -6.464194, ' 1': -1.8148533, ' 2': -0.21100968, ' one': -6.351806, ' two': -3.781755}
{' 2': -0.19962025, ' 1': -1.8864927, ' two': -3.6954737, ' one': -6.3563733, ' #': -6.499622}
{' 2': -0.10991675, ' 1': -2.6251357, ' two': -3.572546, ' #': -6.5706635, ' number': -6.811733}
{' number': -6.652014, ' #': -6.5069695, ' 1': -3.60384, ' 2': -0.06301142, ' two': -3.4895442}
{' #': -6.5917063, ' 1': -2.4604118, ' 2': -0.121586435, ' one': -6.848731, ' two': -3.6644137}
{' number': -6.1303244, ' #': -6.202574, ' 1': -2.5866578, ' 2': -0.11272364, ' two': -3.6581395}
{' number': -6.2144823, ' #': -6.27724, ' 1': -2.8399308, ' 2': -0.09302076, ' two': -3.6700816}
{' number': -6.1898074, ' #': -6.326882, ' 1': -2.74262, ' 2': -0.098132595, ' two': -3.724025}
{' number': -6.1440306, ' #': -6.285986, ' 1': -2.2879777, ' 2': -0.13892594, ' two': -3.7835388}
{' 2': -0.099577904, ' 1': -2.7158937, ' two': -3.743804, ' number': -6.167737, ' #': -6.322566}
{' 2': -0.23874016, ' 1': -1.6978772, ' two': -3.7962978, ' one': -6.0287848, ' number': -6.142641}
{' number': -6.114931, ' #': -6.1664157, ' 1': -1.9092487, ' 2': -0.19554384, ' two': -3.7772317}
{' number': -6.0711145, ' 1': -1.6824784, ' 2': -0.24152614, ' one': -6.0693083, ' two': -3.838183}
{' number': -6.1127844, ' #': -6.2156305, ' 1': -2.1192775, ' 2': -0.1615292, ' two': -3.7768228}
{' number': -6.063244, ' #': -6.2111454, ' 1': -2.0769453, ' 2': -0.16749491, ' two': -3.7886038}
{' number': -6.0760975, ' 1': -1.6625799, ' 2': -0.2483669, ' one': -5.950076, ' two': -3.779174}
{' number': -6.1345835, ' 1': -1.5494648, ' 2': -0.27319482, ' one': -5.988927, ' two': -3.9272377}
{' 2': -0.19759493, ' 1': -1.8982214, ' two': -3.7837706, ' number': -6.068522, ' #': -6.1198306}
{' number': -5.9866447, ' #': -6.117332, ' 1': -1.7673042, ' 2': -0.22191314, ' two': -3.8556983}
{' number': -5.9451303, ' #': -6.1587906, ' 1': -2.3911583, ' 2': -0.13164447, ' two': -3.6693451}
{' number': -5.9848933, ' #': -6.040663, ' 1': -2.0437407, ' 2': -0.17594865, ' two': -3.6996033}
{' number': -6.0015693, ' #': -6.108045, ' 1': -1.9635934, ' 2': -0.18808468, ' two': -3.7212093}
{' number': -5.960656, ' 1': -1.5045182, ' 2': -0.2869335, ' one': -5.9855924, ' two': -3.9231105}
{' number': -6.064706, ' 1': -1.4203542, ' 2': -0.31235066, ' one': -5.8656015, ' two': -3.9525828}
{' number': -6.0491543, ' 1': -1.4956298, ' 2': -0.288118, ' one': -5.999289, ' two': -3.9626458}
{' 2': -0.49370214, ' 1': -1.0080626, ' two': -4.15157, ' one': -5.542857, ' number': -6.0211706}
{' number': -6.0712237, ' 1': -1.0736066, ' 2': -0.45590594, ' one': -5.614433, ' two': -4.132786}
{' number': -6.012763, ' 1': -1.2862867, ' 2': -0.35927722, ' one': -5.7896323, ' two': -4.0338297}
{' number': -6.0801516, ' 1': -1.5442896, ' 2': -0.2745925, ' one': -6.0497956, ' two': -3.927823}
{' number': -6.0346637, ' 1': -1.3876176, ' 2': -0.3219686, ' one': -5.9268255, ' two': -4.008053}
{' number': -6.0628233, ' 1': -0.998234, ' 2': -0.5016805, ' one': -5.447542, ' two': -4.089561}
{' 2': -0.36449817, ' 1': -1.2755948, ' two': -4.013874, ' one': -5.746868, ' number': -6.0385876}
{' number': -5.9555783, ' 1': -1.1408337, ' 2': -0.4259555, ' one': -5.5853086, ' two': -3.9982307}
{' number': -6.00152, ' 1': -1.6857978, ' 2': -0.24133606, ' one': -6.0160513, ' two': -3.8282344}
{' number': -6.036443, ' 1': -1.6322963, ' 2': -0.25355992, ' one': -5.995875, ' two': -3.8550038}
{' number': -5.971303, ' 1': -1.5498977, ' 2': -0.27497056, ' one': -5.9043837, ' two': -3.8995929}
{' number': -6.074145, ' 1': -1.2168286, ' 2': -0.3857187, ' one': -5.8043356, ' two': -4.132348}
{' number': -6.03775, ' 1': -1.2977997, ' 2': -0.3549343, ' one': -5.793699, ' two': -4.030077}
{' number': -6.0674467, ' 1': -1.6313474, ' 2': -0.25284356, ' one': -6.0508547, ' two': -3.8843684}
{' number': -5.9442368, ' #': -6.091409, ' 1': -2.3477976, ' 2': -0.13556507, ' two': -3.7028887}
{' 2': -0.34294993, ' 1': -1.3302279, ' two': -3.997975, ' one': -5.781087, ' #': -6.154422}
{' number': -6.5729856, ' #': -6.4458923, ' 1': -3.672877, ' 2': -0.058916926, ' two': -3.56178}
{' number': -6.595202, ' #': -6.4917755, ' 1': -3.5393145, ' 2': -0.06299454, ' two': -3.5519814}
{' 2': -0.057363328, ' two': -3.5729656, ' 1': -3.7082877, ' #': -6.5769935, ' number': -6.6039314}
{' number': -6.590399, ' #': -6.5300436, ' 1': -3.274677, ' 2': -0.06962772, ' two': -3.6470258}
{' number': -6.6210623, ' #': -6.614132, ' 1': -3.929685, ' 2': -0.050586168, ' two': -3.6241543}
{' number': -6.5342007, ' #': -6.4016323, ' 1': -2.7531512, ' 2': -0.10039933, ' two': -3.5844538}
{' number': -6.5747514, ' #': -6.4959464, ' 1': -2.825276, ' 2': -0.09324306, ' two': -3.6490784}
{' number': -6.535429, ' #': -6.4008226, ' 1': -2.773608, ' 2': -0.09732906, ' two': -3.6363761}
{' 2': -0.11130419, ' 1': -2.5567615, ' two': -3.7308757, ' #': -6.5156527, ' number': -6.6147394}
{' number': -6.553462, ' #': -6.511926, ' 1': -3.1625504, ' 2': -0.07455893, ' two': -3.6492202}
{' number': -6.5819435, ' #': -6.44987, ' 1': -2.9032168, ' 2': -0.09018285, ' two': -3.590034}
{' 2': -0.11868563, ' 1': -2.488671, ' two': -3.6958702, ' #': -6.4306064, ' number': -6.56529}
{' number': -6.5519643, ' #': -6.4423027, ' 1': -2.9130409, ' 2': -0.08889467, ' two': -3.6134343}
{' number': -6.4900265, ' #': -6.4579654, ' 1': -2.8891618, ' 2': -0.087674916, ' two': -3.7090626}
{' number': -6.4609213, ' #': -6.4664726, ' 1': -3.1437695, ' 2': -0.07709819, ' two': -3.5995724}
{' number': -6.5955615, ' #': -6.448771, ' 1': -3.2602916, ' 2': -0.07024341, ' two': -3.652225}
{' number': -6.469394, ' #': -6.407363, ' 1': -3.1472108, ' 2': -0.07719971, ' two': -3.5942419}
{' number': -6.5185466, ' #': -6.462921, ' 1': -2.5031855, ' 2': -0.115971036, ' two': -3.7429297}
{' 2': -0.13542385, ' 1': -2.3114417, ' two': -3.7550526, ' #': -6.4969187, ' number': -6.536013}
{' number': -6.572785, ' #': -6.53174, ' 1': -2.4835215, ' 2': -0.11573873, ' two': -3.8143775}
{' number': -6.508335, ' #': -6.4543586, ' 1': -1.8782417, ' 2': -0.1964104, ' two': -3.8726225}
{' number': -6.491614, ' #': -6.4938946, ' 1': -2.5638878, ' 2': -0.111329295, ' two': -3.71536}
{' 2': -0.12453086, ' 1': -2.4279995, ' two': -3.6990583, ' #': -6.4903865, ' number': -6.492428}
{' number': -6.562468, ' #': -6.540116, ' 1': -2.5897129, ' 2': -0.109122045, ' two': -3.7051644}
{' number': -6.5161853, ' #': -6.542598, ' 1': -2.667682, ' 2': -0.10326719, ' two': -3.6918864}
{' #': -6.3545017, ' 1': -1.8977953, ' 2': -0.19646522, ' one': -6.4101005, ' two': -3.756247}
{' number': -6.5217357, ' #': -6.480525, ' 1': -2.312651, ' 2': -0.13443972, ' two': -3.7878494}
{' 2': -0.155448, ' 1': -2.1554651, ' two': -3.7453105, ' #': -6.431176, ' number': -6.5069957}
{' number': -6.5364017, ' #': -6.4894676, ' 1': -2.9060187, ' 2': -0.08750113, ' two': -3.6748195}
{' number': -6.57881, ' #': -6.528978, ' 1': -2.8227944, ' 2': -0.09019732, ' two': -3.7633998}
{' number': -6.507685, ' #': -6.472502, ' 1': -2.9110796, ' 2': -0.086633876, ' two': -3.6991482}
{' number': -6.5412836, ' #': -6.4447236, ' 1': -2.2020965, ' 2': -0.14796785, ' two': -3.7874274}
{' number': -6.517296, ' #': -6.4998956, ' 1': -2.6564395, ' 2': -0.10402579, ' two': -3.7010584}
{' number': -6.6201277, ' #': -6.528285, ' 1': -2.7735882, ' 2': -0.0946791, ' two': -3.7163696}
{' number': -6.5126762, ' #': -6.4614787, ' 1': -3.9830804, ' 2': -0.051041406, ' two': -3.585448}
{' number': -6.90287, ' #': -6.581119, ' 1': -2.8714514, ' 2': -0.08469722, ' two': -3.840377}
{' number': -6.5158405, ' #': -6.282673, ' 1': -3.617306, ' 2': -0.0650048, ' two': -3.4349122}
{' number': -6.64448, ' #': -6.372628, ' 1': -3.4589682, ' 2': -0.06613857, ' two': -3.5393229}
{' number': -6.6185794, ' #': -6.470973, ' 1': -3.7259834, ' 2': -0.057061143, ' two': -3.572297}
{' number': -6.4855504, ' #': -6.2633867, ' 1': -3.0829988, ' 2': -0.08177016, ' two': -3.5543673}
{' number': -6.5124764, ' #': -6.375221, ' 1': -3.8557165, ' 2': -0.056085367, ' two': -3.513267}
{' number': -6.48085, ' #': -6.269193, ' 1': -2.8926926, ' 2': -0.09599498, ' two': -3.4499261}
{' number': -6.5574064, ' #': -6.3431993, ' 1': -2.7363214, ' 2': -0.10239143, ' two': -3.5614445}
{' number': -6.487342, ' #': -6.227848, ' 1': -2.405145, ' 2': -0.13119054, ' two': -3.577771}
{' number': -6.532997, ' #': -6.300076, ' 1': -2.5471704, ' 2': -0.11710542, ' two': -3.5821586}
{' number': -6.487524, ' #': -6.3440857, ' 1': -2.7631571, ' 2': -0.10150541, ' two': -3.5333712}
{' number': -6.53135, ' #': -6.2505016, ' 1': -3.1854877, ' 2': -0.07933841, ' two': -3.4799538}
{' number': -6.50537, ' #': -6.3127613, ' 1': -2.408655, ' 2': -0.13039382, ' two': -3.5838506}
{' number': -6.4727335, ' #': -6.2886376, ' 1': -2.820964, ' 2': -0.097401716, ' two': -3.541289}
{' number': -6.4405704, ' #': -6.2667546, ' 1': -2.6455896, ' 2': -0.10870725, ' two': -3.5919034}
{' number': -6.4068, ' #': -6.2855563, ' 1': -3.0378683, ' 2': -0.08672708, ' two': -3.4784698}
{' number': -6.383, ' #': -6.1457095, ' 1': -2.6336634, ' 2': -0.11056342, ' two': -3.5782282}
{' 2': -0.093696795, ' 1': -2.9291725, ' two': -3.454916, ' #': -6.2372556, ' number': -6.4332914}
{' number': -6.4673963, ' #': -6.2392077, ' 1': -2.1208303, ' 2': -0.16360065, ' two': -3.650417}
{' number': -6.509944, ' #': -6.3153024, ' 1': -2.0729494, ' 2': -0.17006987, ' two': -3.661994}
{' number': -6.496685, ' #': -6.3629684, ' 1': -2.3289323, ' 2': -0.13631694, ' two': -3.6662452}
{' #': -6.195219, ' 1': -1.7776107, ' 2': -0.22132292, ' one': -6.2810116, ' two': -3.7368426}
{' 2': -0.13446264, ' 1': -2.3642828, ' two': -3.6105785, ' #': -6.249653, ' number': -6.4409266}
{' 2': -0.14896956, ' 1': -2.2359235, ' two': -3.6233594, ' #': -6.331301, ' number': -6.414634}
{' number': -6.4790716, ' #': -6.3188615, ' 1': -2.4060848, ' 2': -0.13044252, ' two': -3.589089}
{' number': -6.4380536, ' #': -6.3367615, ' 1': -2.6540196, ' 2': -0.108519755, ' two': -3.5708437}
{' number': -6.4152327, ' #': -6.2007017, ' 1': -2.1704721, ' 2': -0.16049857, ' two': -3.5475376}
{' 2': -0.11674986, ' 1': -2.571395, ' two': -3.5394523, ' #': -6.224263, ' number': -6.410041}
{' number': -6.360643, ' #': -6.2054644, ' 1': -2.1057684, ' 2': -0.16725017, ' two': -3.617533}
{' number': -6.4121647, ' #': -6.2902737, ' 1': -2.707314, ' 2': -0.10702574, ' two': -3.4989874}
{' number': -6.441029, ' #': -6.3324656, ' 1': -2.626664, ' 2': -0.1092709, ' two': -3.6200378}
