{'\n': -2.2317417, ' 4': -2.1409109, ' 5': -2.2281368, ' 6': -2.2501428, ' 8': -1.6070192}
{'\n': -2.4571903, ' 4': -2.0841138, ' 5': -2.199785, ' 6': -2.1946208, ' 8': -1.6157099}
{'\n': -2.0112758, ' 4': -2.1753948, ' 5': -2.236607, ' 6': -2.2696157, ' 8': -1.645966}
{'\n': -2.185874, ' 4': -2.0588067, ' 5': -2.1677752, ' 6': -2.2588663, ' 8': -1.5879279}
{'\n': -2.06897, ' 4': -2.1877882, ' 5': -2.254804, ' 6': -2.267338, ' 8': -1.6560204}
{' 8': -1.5513725, ' 4': -2.0045547, ' 5': -2.1501715, ' 6': -2.2262707, ' 7': -2.4089947}
{'\n': -2.0974448, ' 4': -2.1644957, ' 5': -2.233764, ' 6': -2.2636979, ' 8': -1.624408}
{'\n': -2.2940228, ' 4': -2.0886593, ' 5': -2.1943047, ' 6': -2.2232745, ' 8': -1.6281978}
{' 4': -2.092483, ' 5': -2.2056801, ' 6': -2.2015252, ' 7': -2.484181, ' 8': -1.6004319}
{' 8': -1.6265169, ' 4': -2.112517, ' 6': -2.1744542, ' 5': -2.2068994, ' 3': -2.4633892}
{' 8': -1.6480095, '\n': -1.9780818, ' 4': -2.1661751, ' 5': -2.2888663, ' 6': -2.3153079}
{' 8': -1.5824581, ' 4': -2.046967, ' 5': -2.1845748, ' 6': -2.218209, ' 7': -2.4618785}
{' 8': -1.665932, '\n': -1.9829677, ' 4': -2.1932442, ' 5': -2.2870047, ' 6': -2.2897408}
{' 8': -1.593336, ' 4': -2.0696094, ' 5': -2.214217, ' 6': -2.2278926, '\n': -2.3064983}
{'\n': -1.7609543, ' 4': -2.2241585, ' 5': -2.330274, ' 6': -2.3410478, ' 8': -1.7126613}
{' 4': -2.065924, ' 5': -2.2109482, ' 6': -2.1909955, ' 7': -2.4580061, ' 8': -1.5807507}
{' 8': -1.6331421, ' 4': -2.1631925, ' 6': -2.2345874, ' 5': -2.2349966, '\n': -2.2645497}
{' 8': -1.5747378, ' 4': -2.0663912, ' 5': -2.191172, ' 6': -2.1960795, ' 3': -2.4666893}
{'\n': -1.9814482, ' 4': -2.2036438, ' 5': -2.270958, ' 6': -2.2782955, ' 8': -1.6893024}
{'\n': -2.3565736, ' 4': -2.048822, ' 5': -2.2080703, ' 6': -2.2465758, ' 8': -1.5877175}
{'\n': -1.8890074, ' 4': -2.2151394, ' 5': -2.2941704, ' 6': -2.298618, ' 8': -1.694456}
{'\n': -2.4582345, ' 4': -2.054155, ' 5': -2.2116935, ' 6': -2.214114, ' 8': -1.5829561}
{'\n': -1.950472, ' 4': -2.2005796, ' 5': -2.2725496, ' 6': -2.278513, ' 8': -1.7069808}
{' 8': -1.6003946, ' 4': -2.041891, ' 5': -2.1950781, ' 6': -2.1988835, ' 7': -2.4510608}
{'\n': -2.264221, ' 4': -2.169711, ' 5': -2.2759597, ' 6': -2.2885094, ' 8': -1.6315325}
{' 3': -2.4725492, ' 4': -2.105191, ' 5': -2.2053697, ' 6': -2.1748567, ' 8': -1.6203}
{'\n': -1.8703059, ' 4': -2.223396, ' 5': -2.2980165, ' 6': -2.2914448, ' 8': -1.6986332}
{' 8': -1.5949745, ' 4': -2.0885737, ' 6': -2.2046576, ' 5': -2.207162, '\n': -2.4034052}
{'\n': -1.8265527, ' 4': -2.222773, ' 5': -2.301821, ' 6': -2.302254, ' 8': -1.7153629}
{' 8': -1.6001859, ' 4': -2.0555482, ' 5': -2.2070985, ' 6': -2.2094696, '\n': -2.3960433}
{'\n': -1.7142427, ' 4': -2.2567375, ' 5': -2.329518, ' 6': -2.33339, ' 8': -1.7443635}
{'\n': -2.1672354, ' 4': -2.084011, ' 5': -2.2184856, ' 6': -2.2449396, ' 8': -1.6181363}
{' 8': -1.641635, ' 4': -2.1729405, ' 5': -2.2326097, '\n': -2.2349586, ' 6': -2.254778}
{' 8': -1.6378, ' 4': -2.0490034, ' 5': -2.1945674, ' 6': -2.2525403, '\n': -2.3357656}
{'\n': -2.109244, ' 4': -2.1752832, ' 5': -2.2354667, ' 6': -2.2533863, ' 8': -1.6518304}
{'\n': -2.1026971, ' 4': -2.0705593, ' 5': -2.2143755, ' 6': -2.2588718, ' 8': -1.6343524}
{'\n': -2.256075, ' 4': -2.1609116, ' 5': -2.2204237, ' 6': -2.2327979, ' 8': -1.640274}
{'\n': -2.2738183, ' 4': -2.0709877, ' 5': -2.2062454, ' 6': -2.239459, ' 8': -1.6221094}
{' 8': -1.6563407, ' 4': -2.1437628, ' 5': -2.2098057, ' 6': -2.2133076, '\n': -2.3209965}
{' 8': -1.6750965, ' 4': -2.1006575, '\n': -2.125846, ' 5': -2.2188807, ' 6': -2.2368546}
{' 8': -1.5171694, ' 4': -2.0947833, ' 5': -2.2258725, ' 6': -2.2646391, ' 7': -2.4421751}
{' 8': -1.5700829, ' 4': -2.1170254, ' 5': -2.2696784, ' 6': -2.27685, '\n': -2.290024}
{'\n': -1.5124742, ' 8': -1.6728421, ' 4': -2.275964, ' 5': -2.4182637, ' 6': -2.4998274}
{'\n': -1.9939628, ' 4': -2.1454978, ' 5': -2.2767653, ' 6': -2.3719401, ' 8': -1.5714651}
{' 8': -1.6257683, '\n': -1.7245004, ' 4': -2.2347493, ' 5': -2.3733556, ' 6': -2.4589505}
{' 8': -1.5236423, ' 4': -2.0911386, '\n': -2.1912801, ' 5': -2.2243688, ' 6': -2.3318527}
{'\n': -1.5889555, ' 8': -1.6870601, ' 4': -2.2877185, ' 5': -2.4024704, ' 6': -2.476301}
{' 8': -1.5334797, ' 4': -2.0895815, '\n': -2.2200994, ' 5': -2.2301798, ' 6': -2.3140287}
{' 8': -1.6251506, '\n': -1.8534032, ' 4': -2.2134008, ' 5': -2.3392506, ' 6': -2.400652}
{'\n': -2.2874603, ' 4': -2.0854027, ' 5': -2.2416534, ' 6': -2.296111, ' 8': -1.5323381}
{'\n': -1.4166638, ' 4': -2.322169, ' 5': -2.443644, ' 6': -2.4969757, ' 8': -1.7583481}
{'\n': -1.4962938, ' 8': -1.666108, ' 4': -2.263008, ' 5': -2.414976, ' 7': -2.466651}
{'\n': -1.9250193, ' 4': -2.2081652, ' 5': -2.320739, ' 6': -2.360898, ' 8': -1.6245195}
{' 8': -1.6504091, '\n': -1.7846817, ' 4': -2.2370906, ' 5': -2.3620553, ' 6': -2.442243}
{'\n': -1.6063186, ' 4': -2.2836957, ' 5': -2.394706, ' 6': -2.459964, ' 8': -1.7107346}
{'\n': -2.3518953, ' 4': -2.0701113, ' 5': -2.2132845, ' 6': -2.297761, ' 8': -1.5356053}
{' 8': -1.6588228, '\n': -1.7896392, ' 4': -2.2599726, ' 5': -2.3681583, ' 6': -2.4040842}
{'\n': -1.9668887, ' 4': -2.1502233, ' 5': -2.2988837, ' 6': -2.358538, ' 8': -1.5835927}
{'\n': -1.6602607, ' 8': -1.7075, ' 4': -2.2916627, ' 5': -2.40462, ' 6': -2.4421556}
{'\n': -1.6448841, ' 8': -1.6456661, ' 4': -2.228691, ' 5': -2.3553097, ' 6': -2.4736414}
{' 8': -1.6789593, '\n': -1.7601379, ' 4': -2.2646, ' 5': -2.3738387, ' 6': -2.4031947}
{' 8': -1.6557521, '\n': -1.8519689, ' 4': -2.2322483, ' 5': -2.3719244, ' 6': -2.4170666}
{'\n': -1.6101762, ' 4': -2.3029308, ' 5': -2.4197237, ' 6': -2.4490817, ' 8': -1.7241536}
{'\n': -1.5878686, ' 8': -1.727187, ' 4': -2.2967968, ' 5': -2.414606, ' 6': -2.436676}
{'\n': -1.7869378, ' 4': -2.267808, ' 5': -2.3686323, ' 6': -2.4106276, ' 8': -1.6813747}
{'\n': -1.7920262, ' 4': -2.2661061, ' 5': -2.3689914, ' 6': -2.4071157, ' 8': -1.6912056}
{'\n': -1.7218157, ' 4': -2.2731655, ' 5': -2.3814733, ' 6': -2.4199798, ' 8': -1.7059914}
{'\n': -1.6885647, ' 4': -2.2914488, ' 5': -2.3911765, ' 6': -2.429772, ' 8': -1.719497}
{'\n': -1.8264141, ' 4': -2.255187, ' 5': -2.3438063, ' 6': -2.3728724, ' 8': -1.6811382}
{'\n': -1.6581589, ' 8': -1.7301672, ' 4': -2.2810113, ' 5': -2.3705442, ' 6': -2.3962705}
{'\n': -1.6578028, ' 4': -2.283561, ' 5': -2.3617861, ' 6': -2.3785422, ' 8': -1.7333654}
{'\n': -1.9356042, ' 4': -2.2325194, ' 5': -2.3354514, ' 6': -2.3646004, ' 8': -1.6805737}
{' 4': -2.071773, ' 5': -2.195187, ' 6': -2.2585816, ' 7': -2.3462214, ' 8': -1.4518}
{'\n': -2.394452, ' 4': -2.101015, ' 5': -2.223381, ' 6': -2.2613497, ' 8': -1.5541964}
{'\n': -1.5478349, ' 4': -2.2889066, ' 5': -2.3842769, ' 6': -2.4269176, ' 8': -1.7095562}
{' 8': -1.5299871, ' 4': -2.0917442, ' 5': -2.2099292, ' 6': -2.2665403, '\n': -2.3463905}
{'\n': -1.4609513, ' 4': -2.3140225, ' 5': -2.4060578, ' 6': -2.4496427, ' 8': -1.7367722}
{'\n': -1.6615158, ' 4': -2.2380223, ' 5': -2.3592925, ' 6': -2.4037921, ' 8': -1.6873364}
{'\n': -1.6106235, ' 8': -1.7189331, ' 4': -2.2711766, ' 5': -2.3589213, ' 6': -2.3905706}
{'\n': -1.623887, ' 8': -1.7147387, ' 4': -2.2433603, ' 5': -2.3655224, ' 6': -2.4182577}
{'\n': -1.6240759, ' 8': -1.7039957, ' 4': -2.2672043, ' 5': -2.3595114, ' 6': -2.39649}
{' 8': -1.5533884, ' 4': -2.0876663, '\n': -2.2047555, ' 5': -2.230397, ' 6': -2.2984083}
{'\n': -1.6545131, ' 8': -1.7168976, ' 4': -2.2661455, ' 5': -2.3438632, ' 6': -2.366595}
{'\n': -1.6195738, ' 8': -1.7335607, ' 4': -2.2582018, ' 5': -2.3561976, ' 6': -2.393349}
{'\n': -1.7732912, ' 4': -2.2123945, ' 5': -2.3099678, ' 6': -2.3365543, ' 8': -1.6933609}
{' 8': -1.7000301, '\n': -1.7408693, ' 4': -2.2375154, ' 5': -2.3384705, ' 6': -2.3520823}
{'\n': -1.7168332, ' 4': -2.2386084, ' 5': -2.3223152, ' 6': -2.3432477, ' 8': -1.716445}
{' 8': -1.6984446, '\n': -1.8104527, ' 4': -2.2117875, ' 5': -2.3128808, ' 6': -2.3327534}
{' 4': -2.135762, ' 5': -2.2071168, ' 6': -2.2503889, ' 7': -2.415198, ' 8': -1.5701663}
{' 8': -1.5191044, ' 4': -2.0737853, ' 5': -2.2013803, ' 6': -2.276916, ' 7': -2.4115872}
{'\n': -2.147444, ' 4': -2.1645977, ' 5': -2.242923, ' 6': -2.2733586, ' 8': -1.6133329}
{'\n': -1.9308932, ' 4': -2.146415, ' 5': -2.255936, ' 6': -2.3519213, ' 8': -1.5995553}
{' 8': -1.5900017, ' 4': -2.1429753, ' 5': -2.2204158, ' 6': -2.2482345, '\n': -2.3467605}
{'\n': -2.2704206, ' 4': -2.1523824, ' 5': -2.2313704, ' 6': -2.2618613, ' 8': -1.6044573}
{'\n': -2.2587554, ' 4': -2.1679037, ' 5': -2.240898, ' 6': -2.2576816, ' 8': -1.600354}
{'\n': -2.1261735, ' 4': -2.1421106, ' 5': -2.2628274, ' 6': -2.3169532, ' 8': -1.5732923}
{' 4': -2.1448128, ' 5': -2.2020857, ' 6': -2.2204535, ' 7': -2.4096339, ' 8': -1.5623304}
{' 8': -1.5803765, ' 4': -2.1347876, ' 5': -2.2076464, ' 6': -2.2415254, '\n': -2.4207773}
{' 8': -1.5642655, ' 4': -2.1217015, ' 5': -2.1928682, ' 6': -2.226575, ' 7': -2.4264586}
{'\n': -2.3845785, ' 4': -2.140373, ' 5': -2.2112825, ' 6': -2.2328277, ' 8': -1.5896366}
{' 8': -1.5743713, ' 4': -2.1396277, ' 5': -2.184146, ' 6': -2.2074175, ' 7': -2.422865}
{' 4': -2.1220112, ' 5': -2.187066, ' 6': -2.2034175, ' 7': -2.435682, ' 8': -1.5835198}
{' 8': -1.5830804, ' 4': -2.125578, ' 5': -2.1710415, ' 6': -2.1803932, ' 3': -2.4181166}
{' 4': -2.0114594, ' 5': -2.1484556, ' 6': -2.2245922, ' 7': -2.3322248, ' 8': -1.4714793}
{' 8': -1.467604, ' 4': -1.9660562, ' 6': -2.1545603, ' 5': -2.1550047, ' 7': -2.381806}
{' 8': -1.5185709, ' 4': -2.0028841, ' 5': -2.1820135, ' 6': -2.2164395, ' 7': -2.4276783}
{'\n': -1.2291805, ' 8': -1.8455896, ' 4': -2.33607, ' 5': -2.4759216, ' 6': -2.596116}
{' 4': -1.974088, ' 5': -2.1617653, ' 6': -2.2460444, ' 7': -2.3661625, ' 8': -1.5015022}
{'\n': -1.4702271, ' 8': -1.737074, ' 4': -2.2551854, ' 5': -2.408885, ' 6': -2.5375347}
{'\n': -2.0232892, ' 4': -2.0503466, ' 5': -2.2158523, ' 6': -2.3894763, ' 8': -1.5627332}
{'\n': -1.0296265, ' 4': -2.452005, ' 5': -2.5889661, ' 7': -2.6822543, ' 8': -1.932776}
{'\n': -1.4757059, ' 8': -1.7672327, ' 4': -2.2353876, ' 5': -2.412668, ' 6': -2.5554845}
{'\n': -1.4819334, ' 8': -1.7822388, ' 4': -2.2513912, ' 5': -2.394491, ' 6': -2.5006359}
{'\n': -1.6020855, ' 8': -1.7609992, ' 4': -2.2125506, ' 5': -2.372394, ' 6': -2.4788995}
{'\n': -1.2805808, ' 4': -2.3370574, ' 5': -2.4704506, ' 6': -2.5913002, ' 8': -1.8559428}
{'\n': -1.104843, ' 8': -1.9614627, ' 4': -2.4120157, ' 5': -2.5380914, ' 6': -2.6450965}
{'\n': -1.4193227, ' 4': -2.2828567, ' 5': -2.4245813, ' 6': -2.5243747, ' 8': -1.8057992}
{'\n': -1.212914, ' 4': -2.3532233, ' 5': -2.5133023, ' 6': -2.6062388, ' 8': -1.8690896}
{'\n': -1.2411973, ' 8': -1.881111, ' 4': -2.3655012, ' 5': -2.4992445, ' 6': -2.6075552}
{'\n': -1.5148965, ' 4': -2.254866, ' 5': -2.4012158, ' 6': -2.4854147, ' 8': -1.8030341}
{'\n': -1.5585763, ' 8': -1.7490158, ' 4': -2.2475195, ' 5': -2.382877, ' 6': -2.4814901}
{'\n': -1.3436474, ' 8': -1.827308, ' 4': -2.268581, ' 5': -2.438064, ' 6': -2.5572655}
{'\n': -1.4993865, ' 4': -2.2586782, ' 5': -2.4072692, ' 6': -2.523271, ' 8': -1.7320726}
{'\n': -1.1812099, ' 4': -2.371097, ' 5': -2.5116563, ' 6': -2.5943284, ' 8': -1.8938525}
{'\n': -1.2879299, ' 4': -2.355784, ' 5': -2.4894736, ' 6': -2.6037772, ' 8': -1.831714}
{'\n': -1.234982, ' 8': -1.8799481, ' 4': -2.3566499, ' 5': -2.497954, ' 6': -2.5674984}
{'\n': -1.0596468, ' 4': -2.4367058, ' 5': -2.560486, ' 6': -2.668031, ' 8': -1.9817563}
{'\n': -1.1228896, ' 8': -1.9749538, ' 4': -2.416345, ' 5': -2.5377514, ' 6': -2.6217804}
{'\n': -1.4594008, ' 4': -2.281715, ' 5': -2.414391, ' 6': -2.511972, ' 8': -1.7922492}
{'\n': -1.1847911, ' 4': -2.3800206, ' 5': -2.5195792, ' 6': -2.5890174, ' 8': -1.9106296}
{'\n': -1.4958106, ' 8': -1.78928, ' 4': -2.282983, ' 5': -2.4021578, ' 6': -2.4739554}
{'\n': -1.4397565, ' 8': -1.8310404, ' 4': -2.3028824, ' 5': -2.424349, ' 6': -2.4865983}
{'\n': -1.2855918, ' 8': -1.8684795, ' 4': -2.347449, ' 5': -2.4659765, ' 6': -2.54168}
{'\n': -1.283505, ' 4': -2.344234, ' 5': -2.4665008, ' 6': -2.5330405, ' 8': -1.8875508}
{'\n': -1.4759182, ' 8': -1.81568, ' 4': -2.2884192, ' 5': -2.4099765, ' 6': -2.4768338}
{'\n': -1.6362935, ' 4': -2.233364, ' 5': -2.3616924, ' 6': -2.4307978, ' 8': -1.7822971}
{'\n': -1.4090309, ' 4': -2.3270466, ' 5': -2.4431934, ' 6': -2.5373983, ' 8': -1.7890855}
{'\n': -1.0671192, ' 4': -2.4491975, ' 5': -2.5893466, ' 6': -2.6951585, ' 8': -1.9388711}
{'\n': -1.2986346, ' 4': -2.3610773, ' 5': -2.4814672, ' 6': -2.5773716, ' 8': -1.8297396}
{'\n': -1.0324522, ' 8': -1.9943749, ' 4': -2.4703681, ' 5': -2.5969615, ' 6': -2.681541}
{'\n': -1.2826278, ' 8': -1.8368814, ' 4': -2.3727157, ' 5': -2.4998598, ' 6': -2.6023996}
{'\n': -1.045486, ' 8': -1.9559895, ' 4': -2.4744747, ' 5': -2.6086652, ' 6': -2.6941237}
{'\n': -1.2030092, ' 4': -2.3950574, ' 5': -2.5206888, ' 6': -2.6183288, ' 8': -1.8885868}
{'\n': -0.98847723, ' 4': -2.5010962, ' 5': -2.6279902, ' 6': -2.71695, ' 8': -2.0325615}
{'\n': -1.439499, ' 4': -2.326876, ' 5': -2.431528, ' 6': -2.5242367, ' 8': -1.7765428}
{'\n': -1.4366338, ' 8': -1.795614, ' 4': -2.3217561, ' 5': -2.4408033, ' 6': -2.5131233}
{'\n': -1.4809791, ' 8': -1.7739336, ' 4': -2.3313277, ' 5': -2.4319565, ' 6': -2.495354}
{'\n': -1.3079069, ' 8': -1.8635986, ' 4': -2.3702934, ' 5': -2.4768038, ' 6': -2.5491273}
{'\n': -1.2970004, ' 4': -2.3740582, ' 5': -2.4896522, ' 6': -2.571795, ' 8': -1.852797}
{'\n': -1.3338435, ' 4': -2.3515847, ' 5': -2.4743493, ' 6': -2.5492957, ' 8': -1.8488458}
{'\n': -1.2862629, ' 8': -1.8727592, ' 4': -2.3796954, ' 5': -2.4899259, ' 6': -2.5696902}
{'\n': -1.2306049, ' 8': -1.9062785, ' 4': -2.4115484, ' 5': -2.51614, ' 6': -2.5893075}
{'\n': -1.470818, ' 8': -1.781593, ' 4': -2.3189712, ' 5': -2.4174447, ' 6': -2.502399}
{'\n': -1.0718052, ' 4': -2.4729178, ' 5': -2.5807087, ' 6': -2.6552062, ' 8': -1.9789641}
{'\n': -1.3884288, ' 8': -1.8186467, ' 4': -2.3497937, ' 5': -2.4443305, ' 6': -2.5184205}
{'\n': -1.127815, ' 4': -2.4477518, ' 5': -2.5373933, ' 6': -2.6034477, ' 8': -1.9583433}
{'\n': -1.5010849, ' 8': -1.7876258, ' 4': -2.3118112, ' 5': -2.4099517, ' 6': -2.471518}
{'\n': -1.3726878, ' 8': -1.8453784, ' 4': -2.353376, ' 5': -2.4609504, ' 6': -2.5120826}
{'\n': -1.4295576, ' 4': -2.332278, ' 5': -2.4334466, ' 6': -2.4959514, ' 8': -1.818651}
{'\n': -1.2909306, ' 8': -1.8959416, ' 4': -2.3879423, ' 5': -2.4872444, ' 6': -2.5484447}
{'\n': -1.5612172, ' 4': -2.291294, ' 5': -2.3841534, ' 6': -2.4610462, ' 8': -1.7620288}
{'\n': -1.1547663, ' 8': -1.9396889, ' 4': -2.436149, ' 5': -2.5294077, ' 6': -2.6027923}
{'\n': -1.4844347, ' 4': -2.3229024, ' 5': -2.4083695, ' 6': -2.4774613, ' 8': -1.792461}
{'\n': -1.4036071, ' 8': -1.8450037, ' 4': -2.3469799, ' 5': -2.433439, ' 6': -2.498122}
{'\n': -1.5427216, ' 4': -2.303193, ' 5': -2.386338, ' 6': -2.4524307, ' 8': -1.7784585}
{'\n': -1.5034896, ' 4': -2.3125556, ' 5': -2.4017124, ' 6': -2.4549294, ' 8': -1.8153716}
{'\n': -1.5317221, ' 4': -2.3071117, ' 5': -2.3897793, ' 6': -2.4464645, ' 8': -1.8034383}
{'\n': -1.6001927, ' 8': -1.8018155, ' 4': -2.2793937, ' 5': -2.3584163, ' 6': -2.4036205}
{' 8': -1.6995591, '\n': -1.7505302, ' 4': -2.1934757, ' 5': -2.2992277, ' 6': -2.3991413}
{' 4': -2.0006835, ' 5': -2.1788938, ' 6': -2.2538974, ' 7': -2.3903358, ' 8': -1.5054022}
{'\n': -0.92580426, ' 4': -2.4995136, ' 5': -2.611288, ' 6': -2.759201, ' 8': -2.0188572}
{'\n': -0.896356, ' 8': -2.0608933, ' 4': -2.5090325, ' 5': -2.6431296, ' 6': -2.7846444}
{'\n': -1.0055114, ' 4': -2.444977, ' 5': -2.5705378, ' 6': -2.709452, ' 8': -1.9547025}
{'\n': -1.056238, ' 4': -2.4016025, ' 5': -2.5395823, ' 6': -2.67049, ' 8': -1.94742}
{'\n': -0.9193532, ' 4': -2.4985785, ' 5': -2.6148849, ' 6': -2.7648215, ' 8': -2.0312736}
{'\n': -1.0201918, ' 4': -2.431315, ' 5': -2.5629697, ' 6': -2.6976573, ' 8': -1.9829735}
{'\n': -1.1096803, ' 8': -1.899911, ' 4': -2.4110203, ' 5': -2.5203278, ' 6': -2.6397107}
{'\n': -1.0323354, ' 4': -2.4392025, ' 5': -2.5688946, ' 6': -2.686143, ' 8': -1.9617072}
{'\n': -1.0600909, ' 4': -2.447337, ' 5': -2.5445442, ' 6': -2.6550596, ' 8': -1.9436501}
{'\n': -0.92625993, ' 8': -2.0479374, ' 4': -2.5146313, ' 5': -2.6204624, ' 6': -2.7469072}
{'\n': -1.0427012, ' 4': -2.4557528, ' 5': -2.5596223, ' 6': -2.6665108, ' 8': -1.9562496}
{'\n': -0.9623676, ' 4': -2.489183, ' 5': -2.6097226, ' 6': -2.725042, ' 8': -2.0249057}
{'\n': -1.2804512, ' 4': -2.344762, ' 5': -2.4531672, ' 6': -2.5452523, ' 8': -1.8563702}
{'\n': -1.0437356, ' 4': -2.4374487, ' 5': -2.5557203, ' 6': -2.6703627, ' 8': -1.9776385}
{'\n': -1.442166, ' 4': -2.3021057, ' 5': -2.3926408, ' 6': -2.5017602, ' 8': -1.7802846}
{'\n': -1.0924232, ' 8': -1.9404134, ' 4': -2.4143486, ' 5': -2.5372436, ' 6': -2.6454017}
{'\n': -1.2131894, ' 4': -2.3712723, ' 5': -2.469333, ' 6': -2.5632927, ' 8': -1.874408}
{'\n': -1.249943, ' 4': -2.3532374, ' 5': -2.4535036, ' 6': -2.5428078, ' 8': -1.8676654}
{'\n': -1.1958462, ' 8': -1.8858713, ' 4': -2.3808694, ' 5': -2.4715323, ' 6': -2.573709}
{'\n': -1.1535677, ' 8': -1.9151118, ' 4': -2.3809903, ' 5': -2.489176, ' 6': -2.5873332}
{'\n': -1.3112972, ' 4': -2.3433979, ' 5': -2.4337697, ' 6': -2.542727, ' 8': -1.8415295}
{'\n': -1.1258172, ' 8': -1.9394808, ' 4': -2.4161177, ' 5': -2.5065038, ' 6': -2.606615}
{'\n': -1.3381798, ' 8': -1.825224, ' 4': -2.3260748, ' 5': -2.417312, ' 6': -2.5073376}
{'\n': -1.0757229, ' 8': -1.9727491, ' 4': -2.4283812, ' 5': -2.5320666, ' 6': -2.6319525}
{'\n': -1.3122375, ' 8': -1.8483894, ' 4': -2.344529, ' 5': -2.4256217, ' 6': -2.50761}
{'\n': -1.124128, ' 4': -2.4079251, ' 5': -2.501376, ' 6': -2.5959191, ' 8': -1.9545503}
{'\n': -1.5976173, ' 8': -1.7669774, ' 4': -2.2628644, ' 5': -2.3509216, ' 6': -2.4231348}
{'\n': -1.3482649, ' 4': -2.3376837, ' 5': -2.4214528, ' 6': -2.480923, ' 8': -1.8595735}
{'\n': -1.5224625, ' 4': -2.2847068, ' 5': -2.373658, ' 6': -2.443982, ' 8': -1.799749}
{'\n': -1.6111236, ' 4': -2.2453249, ' 5': -2.343582, ' 6': -2.4052377, ' 8': -1.7872691}
{'\n': -1.4842407, ' 4': -2.2745078, ' 5': -2.3569653, ' 6': -2.4377701, ' 8': -1.7675477}
{'\n': -1.2321486, ' 4': -2.3418002, ' 5': -2.450316, ' 6': -2.5614007, ' 8': -1.8593841}
{'\n': -1.2271165, ' 4': -2.3464897, ' 5': -2.4404752, ' 6': -2.5664206, ' 8': -1.8430393}
{'\n': -1.1876273, ' 8': -1.8860307, ' 4': -2.364449, ' 5': -2.4632516, ' 6': -2.5747716}
{'\n': -1.2617224, ' 4': -2.3294437, ' 5': -2.4253607, ' 6': -2.538181, ' 8': -1.8325682}
{'\n': -1.1874462, ' 4': -2.3649213, ' 5': -2.456265, ' 6': -2.569487, ' 8': -1.8860632}
{'\n': -1.2535483, ' 8': -1.856773, ' 4': -2.3364177, ' 5': -2.4243379, ' 6': -2.5429873}
{'\n': -1.2821388, ' 8': -1.8527899, ' 4': -2.3191433, ' 5': -2.4135435, ' 6': -2.5277174}
