{' b': -9.33841, ' A': -1.2189229, ' B': -0.3510315, ' "': -8.545751, " '": -9.839435}
{' B': -0.013650146, ' A': -4.328704, ' "': -8.865577, ' b': -9.046057, " '": -10.096448}
{' b': -9.052048, ' A': -3.606311, ' B': -0.027987877, ' "': -8.561453, " '": -9.806811}
{' b': -9.069203, ' A': -4.7553196, ' B': -0.009024108, ' "': -8.83545, " '": -10.0138445}
{' b': -9.039487, ' A': -4.7591248, ' B': -0.009033731, ' "': -8.676678, " '": -9.810898}
{' b': -9.080449, ' A': -3.8646166, ' B': -0.021595573, ' "': -8.754013, " '": -10.025404}
{' b': -9.120829, ' A': -3.1355548, ' B': -0.04488322, ' "': -8.659512, " '": -9.932225}
{' b': -9.334906, ' A': -2.1965299, ' B': -0.11839157, ' "': -8.457134, " '": -9.817748}
{' b': -9.005054, ' A': -3.8233716, ' B': -0.022502868, ' "': -8.818976, " '": -10.02942}
{' b': -9.028925, ' A': -1.437774, ' B': -0.27181354, ' "': -8.554336, " '": -9.601673}
{' b': -8.862585, ' A': -2.680907, ' B': -0.07149399, ' "': -8.686964, " '": -9.68661}
{' b': -8.942999, ' A': -1.817378, ' B': -0.17791265, ' "': -8.571372, " '": -9.696913}
{' b': -8.910828, ' A': -2.2750793, ' B': -0.109048195, ' "': -8.576018, " '": -9.619956}
{' b': -8.969038, ' A': -1.9097102, ' B': -0.16096906, ' "': -8.454226, " '": -9.455147}
{' B': -0.14648212, ' A': -1.9970661, ' "': -8.582581, ' b': -8.942817, " '": -9.519516}
{' b': -8.880635, ' A': -3.6085863, ' B': -0.027915122, ' "': -8.843888, " '": -9.806257}
{' b': -8.817619, ' A': -2.9068213, ' B': -0.056738734, ' "': -8.6312, " '": -9.635242}
{' b': -8.922796, ' A': -2.9635444, ' B': -0.053491432, ' "': -8.78718, " '": -9.778792}
{' b': -8.965007, ' A': -2.3540745, ' B': -0.10032461, ' "': -8.700135, " '": -9.737812}
{' b': -8.851518, ' A': -3.4401095, ' B': -0.033020556, ' "': -8.921754, " '": -9.888518}
{' b': -8.869095, ' A': -3.4137175, ' B': -0.033955358, ' "': -8.716544, " '": -9.674861}
{' b': -9.023657, ' A': -1.9809086, ' B': -0.14900139, ' "': -8.647259, " '": -9.753846}
{' b': -8.944127, ' A': -2.3977544, ' B': -0.09584795, ' "': -8.695833, " '": -9.723792}
{' b': -9.145423, ' A': -1.4444438, ' B': -0.26974586, ' "': -8.459219, " '": -9.533844}
{' b': -8.774944, ' A': -3.9472706, ' B': -0.019990591, ' "': -8.683594, " '": -9.637628}
{' b': -8.8687935, ' A': -5.0614004, ' B': -0.0067815576, ' "': -8.86852, " '": -9.770497}
{' b': -8.850742, ' A': -3.9086692, ' B': -0.020752626, ' "': -8.6626625, " '": -9.724295}
{' B': -0.03334138, ' A': -3.4313934, ' "': -8.73819, ' b': -8.910941, " '": -9.814805}
{' B': -0.014013603, ' A': -4.306177, ' "': -8.792979, ' b': -8.932494, " '": -9.730517}
{' b': -8.825719, ' A': -4.827579, ' B': -0.008445442, ' "': -8.95364, " '": -9.972731}
{' B': -0.008850485, ' A': -4.7811394, ' "': -8.831061, ' b': -8.881608, " '": -9.746921}
{' b': -8.904752, ' A': -3.3699627, ' B': -0.03545033, ' "': -8.770893, " '": -9.829457}
{' B': -0.019394852, ' A': -3.9760046, ' "': -8.752592, ' b': -8.881148, " '": -9.723723}
{' b': -8.982246, ' A': -3.0286565, ' B': -0.050055195, ' "': -8.725261, " '": -9.733849}
{' b': -8.84766, ' A': -3.9043236, ' B': -0.020830402, ' "': -8.716243, " '": -9.739532}
{' b': -8.995366, ' A': -4.7100344, ' B': -0.009450023, ' "': -8.861144, " '": -9.783254}
{' b': -8.794011, ' A': -4.33354, ' B': -0.013685073, ' "': -8.708407, " '": -9.69526}
{' b': -8.913082, ' A': -4.821662, ' B': -0.0084831305, ' "': -8.934524, " '": -9.932826}
{' b': -8.96152, ' A': -3.9740953, ' B': -0.019421833, ' "': -8.719024, " '": -9.717657}
{' b': -8.912777, ' A': -5.0235643, ' B': -0.0070316503, ' "': -8.805438, " '": -9.759908}
{' b': -8.867898, ' A': -5.2219, ' B': -0.0058543487, ' "': -8.779754, " '": -9.708519}
{' B': -0.014281531, ' A': -4.2871637, ' "': -8.7704735, ' b': -8.885081, " '": -9.798906}
{' B': -0.022440508, ' A': -3.828387, ' "': -8.719209, ' b': -8.922004, " '": -9.7392645}
{' b': -9.015192, ' A': -2.471701, ' B': -0.08875879, ' "': -8.533686, " '": -9.711488}
{' b': -8.813978, ' A': -3.8265586, ' B': -0.022514088, ' "': -8.675894, " '": -9.690555}
{' B': -0.20830712, ' A': -1.6734809, ' "': -8.753461, ' b': -9.151786, " '": -9.873349}
{' b': -9.065437, ' A': -3.115053, ' B': -0.0457764, ' "': -9.012064, " '": -10.080238}
{' b': -9.1202, ' A': -2.1857765, ' B': -0.11967542, ' "': -8.898778, " '": -10.000045}
{' b': -9.086443, ' A': -2.5674996, ' B': -0.08028662, ' "': -8.778937, " '": -9.856042}
{' b': -9.112837, ' A': -2.4015138, ' B': -0.09538636, ' "': -8.86711, " '": -9.865581}
{' b': -9.163326, ' A': -2.2594147, ' B': -0.11071395, ' "': -8.874985, " '": -9.918467}
{' B': -0.02028209, ' A': -3.9255686, ' "': -9.061157, ' b': -9.140473, " '": -10.019124}
{' B': -0.039894924, ' A': -3.2513587, ' "': -8.959495, ' b': -8.997863, " '": -9.955738}
{' b': -9.134182, ' A': -3.6479266, ' B': -0.026726032, ' "': -9.172327, " '": -10.151194}
{' b': -9.133813, ' A': -2.7625825, ' B': -0.06559342, ' "': -9.027048, " '": -10.055579}
{' b': -9.02355, ' A': -3.6674297, ' B': -0.026223002, ' "': -9.145497, " '": -10.147714}
{' b': -9.033551, ' A': -3.8563428, ' B': -0.021753939, ' "': -8.952375, " '": -9.946903}
{' b': -9.217152, ' A': -2.6009243, ' B': -0.077477336, ' "': -9.0353155, " '": -10.09506}
{' B': -0.053016488, ' A': -2.9702358, ' "': -9.052463, ' b': -9.166596, " '": -10.090266}
{' b': -9.251634, ' A': -2.0080752, ' B': -0.14462061, ' "': -8.823569, " '": -9.860071}
{' b': -9.025404, ' A': -4.0787764, ' B': -0.01744949, ' "': -8.962045, " '": -9.975041}
{' b': -9.065728, ' A': -5.4118643, ' B': -0.004822757, ' "': -9.060377, " '": -10.013756}
{' B': -0.012779935, ' A': -4.395571, ' "': -8.950665, ' b': -9.020969, " '": -10.01672}
{' b': -9.141171, ' A': -3.9194238, ' B': -0.020397179, ' "': -9.057126, " '": -10.1006}
{' B': -0.009910735, ' A': -4.6540947, ' "': -9.035125, ' b': -9.127016, " '": -10.055761}
{' b': -9.126961, ' A': -5.2892623, ' B': -0.005351993, ' "': -9.318839, " '": -10.318027}
{' b': -9.304307, ' A': -5.0504265, ' B': -0.006716148, ' "': -9.2230425, " '": -10.124987}
{' b': -9.124838, ' A': -4.1051836, ' B': -0.016953588, ' "': -9.118152, " '": -10.1958685}
{' b': -9.139867, ' A': -4.4916077, ' B': -0.011596511, ' "': -9.095827, " '": -10.121352}
{' B': -0.029910065, ' A': -3.5356777, ' "': -9.059192, ' b': -9.200621, " '": -10.0878525}
{' B': -0.014006286, ' A': -4.3004365, ' "': -9.027325, ' b': -9.0999775, " '": -10.00816}
{' B': -0.004934523, ' A': -5.370329, ' "': -9.315295, ' b': -9.361467, " '": -10.134305}
{' b': -9.036153, ' A': -4.9710183, ' B': -0.007315128, ' "': -9.025478, " '": -10.06154}
{' B': -0.004637405, ' A': -5.4385343, ' b': -9.25999, ' "': -9.292188, " '": -10.230872}
{' b': -9.075563, ' A': -4.3434224, ' B': -0.013464482, ' "': -8.827408, " '": -9.904168}
{' b': -9.1745, ' A': -5.246716, ' B': -0.005604247, ' "': -9.080431, " '": -10.025341}
{' b': -9.2894745, ' A': -5.4519725, ' B': -0.004604109, ' "': -9.1458, " '": -10.078426}
{' b': -9.263424, ' A': -4.8534, ' B': -0.008147282, ' "': -9.081048, " '": -10.066769}
{' B': -0.015739901, ' A': -4.179972, ' "': -9.096915, ' b': -9.1930895, " '": -10.162132}
{' b': -9.254053, ' A': -2.876266, ' B': -0.058366295, ' "': -8.927075, " '": -10.0976305}
{' B': -0.016502589, ' A': -4.133198, ' "': -9.071278, ' b': -9.127031, " '": -10.080061}
{' b': -9.744479, ' A': -1.3606217, ' B': -0.29707274, ' "': -8.388687, " '": -9.543642}
{' b': -9.597207, ' A': -2.622002, ' B': -0.07588025, ' "': -8.630454, " '": -9.654184}
{' b': -9.710499, ' A': -1.7759969, ' B': -0.18599701, ' "': -8.698735, " '": -9.845234}
{' b': -9.695105, ' A': -2.0449498, ' B': -0.1390623, ' "': -8.567047, " '": -9.635426}
{' b': -9.571597, ' A': -1.816776, ' B': -0.17798972, ' "': -8.336779, " '": -9.540693}
{' b': -9.675253, ' A': -1.8672769, ' B': -0.16837288, ' "': -8.637886, " '": -9.720602}
{' b': -9.553393, ' A': -3.358366, ' B': -0.03579369, ' "': -8.745201, " '": -9.841498}
{' b': -9.553503, ' A': -2.6546237, ' B': -0.07337649, ' "': -8.623319, " '": -9.623469}
{' B': -0.054313544, ' A': -2.9476087, ' "': -8.658369, ' b': -9.535351, " '": -9.688556}
{' b': -9.618867, ' A': -2.2872083, ' B': -0.10756674, ' "': -8.538526, " '": -9.620158}
{' b': -9.5533695, ' A': -3.1013706, ' B': -0.046368532, ' "': -8.972638, " '": -10.076546}
{' b': -9.493042, ' A': -3.2895262, ' B': -0.038407184, ' "': -8.581696, " '": -9.7348}
{' b': -9.810382, ' A': -1.7858061, ' B': -0.18399388, ' "': -8.675933, " '": -9.899368}
{' B': -0.12112788, ' A': -2.174154, ' "': -8.755919, ' b': -9.732696, " '": -9.879068}
{' b': -9.786282, ' A': -1.5103061, ' B': -0.2501686, ' "': -8.367848, " '": -9.538237}
{' b': -9.488412, ' A': -3.6122808, ' B': -0.02775118, ' "': -8.731629, " '": -9.76216}
{' b': -9.653925, ' A': -4.708504, ' B': -0.009411576, ' "': -8.780574, " '": -9.703937}
{' b': -9.581719, ' A': -3.7039678, ' B': -0.025297472, ' "': -8.780329, " '": -9.875587}
{' b': -9.634298, ' A': -3.2314603, ' B': -0.04065503, ' "': -8.8594885, " '": -9.968354}
{' B': -0.017028157, ' A': -4.1026564, ' "': -8.771986, ' b': -9.552933, " '": -9.854603}
{' b': -9.582616, ' A': -4.503638, ' B': -0.011446737, ' "': -8.951629, " '": -10.039494}
{' B': -0.01065832, ' A': -4.57975, ' "': -8.834579, ' b': -9.485589, " '": -9.883208}
{' B': -0.0327406, ' A': -3.4464557, ' "': -8.772839, ' b': -9.544375, " '": -9.967481}
{' b': -9.622628, ' A': -3.7287588, ' B': -0.024665153, ' "': -8.823893, " '": -9.921106}
{' b': -9.667905, ' A': -2.9405136, ' B': -0.054662816, ' "': -8.734872, " '": -9.861929}
{' b': -9.628486, ' A': -3.4035087, ' B': -0.034181442, ' "': -8.813446, " '": -9.91837}
{' b': -9.536824, ' A': -4.5580215, ' B': -0.010870337, ' "': -8.899646, " '": -9.926921}
{' b': -9.498923, ' A': -4.13089, ' B': -0.016590096, ' "': -8.687314, " '": -9.74577}
{' b': -9.539857, ' A': -4.646418, ' B': -0.009982014, ' "': -8.836092, " '": -9.953106}
{' B': -0.023887563, ' A': -3.7626264, ' "': -8.644325, ' b': -9.564292, " '": -9.776074}
{' B': -0.010093635, ' A': -4.6351123, ' "': -8.821781, ' b': -9.6317215, " '": -9.883463}
{' B': -0.010346788, ' A': -4.6125994, ' "': -8.738263, ' b': -9.549298, " '": -9.751235}
{' b': -9.5538435, ' A': -4.155746, ' B': -0.016164644, ' "': -8.715558, " '": -9.888306}
{' b': -9.641987, ' A': -3.5023363, ' B': -0.030950643, ' "': -8.763369, " '": -9.930113}
{' b': -9.860016, ' A': -2.1899922, ' B': -0.119130574, ' "': -8.593616, " '": -9.875258}
{' b': -9.5942955, ' A': -3.5598154, ' B': -0.02924057, ' "': -8.72344, " '": -9.791849}
{' b': -9.300272, ' A': -1.4785442, ' B': -0.2593918, ' (': -9.9792385, ' "': -8.410663}
{' b': -9.119139, ' A': -2.9013338, ' B': -0.05699451, ' "': -8.559969, " '": -10.089513}
{' b': -9.217791, ' A': -1.8936294, ' B': -0.16370793, ' (': -10.014215, ' "': -8.47954}
{' b': -9.157514, ' A': -2.3863428, ' B': -0.0970001, ' "': -8.466389, " '": -10.070367}
{' b': -9.143981, ' A': -2.1070468, ' B': -0.13022494, ' "': -8.386892, " '": -10.010499}
{' B': -0.16725236, ' A': -1.8739021, ' "': -8.439452, ' b': -9.214348, " '": -10.021093}
{' b': -9.107845, ' A': -3.7698975, ' B': -0.023731485, ' "': -8.745317, " '": -10.203789}
{' b': -9.056833, ' A': -2.8148177, ' B': -0.06228685, ' "': -8.522703, " '": -9.993351}
{' b': -9.114076, ' A': -3.2239683, ' B': -0.041032538, ' "': -8.724291, " '": -10.194163}
{' b': -9.232635, ' A': -2.4564917, ' B': -0.090118594, ' "': -8.554001, " '": -10.112927}
{' b': -9.106146, ' A': -3.320696, ' B': -0.037180312, ' "': -8.844433, " '": -10.429284}
{' b': -9.032878, ' A': -3.598154, ' B': -0.028200353, ' "': -8.615799, " '": -10.149217}
{' b': -9.212495, ' A': -2.33595, ' B': -0.10219104, ' (': -10.240841, ' "': -8.625191}
{' b': -9.167464, ' A': -2.6763432, ' B': -0.07173679, ' "': -8.68201, " '": -10.302719}
{' b': -9.347326, ' A': -1.6938218, ' B': -0.20370002, ' "': -8.45581, " '": -10.104363}
{' B': -0.022299096, ' A': -3.8352795, ' "': -8.53611, ' b': -8.979715, " '": -10.09657}
{' b': -9.053804, ' A': -5.2141438, ' B': -0.005857586, ' "': -8.714285, " '": -10.140055}
{' B': -0.014738002, ' A': -4.253591, ' "': -8.671173, ' b': -9.0029745, " '": -10.232223}
{' b': -9.071679, ' A': -3.887536, ' B': -0.021117456, ' "': -8.713268, " '": -10.300016}
{' b': -9.099286, ' A': -4.1945558, ' B': -0.015615783, ' "': -8.621552, " '": -10.099635}
{' b': -9.122211, ' A': -4.858232, ' B': -0.008151667, ' "': -8.880107, " '": -10.341444}
{' b': -9.018918, ' A': -5.1325636, ' B': -0.0063163447, ' "': -8.751092, " '": -10.213972}
{' b': -9.043391, ' A': -3.8713074, ' B': -0.021461714, ' "': -8.7041445, " '": -10.315243}
{' B': -0.014418366, ' A': -4.2741227, ' "': -8.726557, ' b': -9.080024, " '": -10.283598}
{' b': -9.14728, ' A': -3.493359, ' B': -0.031302046, ' "': -8.597434, " '": -10.109456}
{' b': -9.091187, ' A': -3.8820438, ' B': -0.02123684, ' "': -8.684856, " '": -10.251244}
{' b': -9.093371, ' A': -5.242344, ' B': -0.005684151, ' "': -8.778694, " '": -10.253246}
{' b': -8.96463, ' A': -4.551152, ' B': -0.011065768, ' "': -8.568097, " '": -10.039895}
{' b': -9.078385, ' A': -5.253158, ' B': -0.005621091, ' "': -8.805872, " '": -10.271788}
{' b': -9.086643, ' A': -4.303647, ' B': -0.014026172, ' "': -8.650186, " '": -10.172681}
{' b': -9.143867, ' A': -5.1013646, ' B': -0.0064933077, ' "': -8.738178, " '": -10.198309}
{' b': -9.039091, ' A': -5.069929, ' B': -0.00673121, ' "': -8.626102, " '": -10.059473}
{' B': -0.00785119, ' A': -4.9028573, ' "': -8.714297, ' b': -9.062841, " '": -10.218203}
{' B': -0.015469886, ' A': -4.2025466, ' "': -8.71535, ' b': -9.084798, " '": -10.287909}
{' b': -9.22208, ' A': -2.5741193, ' B': -0.079765014, ' "': -8.4853945, " '": -10.221302}
{' b': -9.056518, ' A': -4.2346573, ' B': -0.014984405, ' "': -8.783492, " '": -10.272639}
{' b': -9.381694, ' A': -1.4813392, ' B': -0.2586678, ' "': -8.215049, " '": -9.433787}
{' b': -9.310266, ' A': -2.755145, ' B': -0.06623753, ' "': -8.420129, " '": -9.520972}
{' b': -9.308395, ' A': -1.8306946, ' B': -0.17541362, ' "': -8.203081, " '": -9.400581}
{' b': -9.23849, ' A': -2.3757567, ' B': -0.09815942, ' "': -8.275919, " '": -9.469671}
{' b': -9.297737, ' A': -2.0072768, ' B': -0.1449337, ' "': -8.226456, " '": -9.407551}
{' b': -9.391853, ' A': -1.8261516, ' B': -0.17629512, ' "': -8.156706, " '": -9.277514}
{' b': -9.240677, ' A': -3.720567, ' B': -0.024974203, ' "': -8.563697, " '": -9.655072}
{' B': -0.072313346, ' A': -2.6703587, ' "': -8.333618, ' b': -9.218047, " '": -9.40854}
{' B': -0.04795182, ' A': -3.0712154, ' "': -8.52114, ' b': -9.343163, " '": -9.553865}
{' b': -9.349241, ' A': -2.4456635, ' B': -0.09120583, ' "': -8.387808, " '": -9.48642}
{' B': -0.038257185, ' A': -3.2944925, ' "': -8.539968, ' b': -9.255866, " '": -9.610379}
{' b': -9.246658, ' A': -3.322258, ' B': -0.037244838, ' "': -8.423785, " '": -9.459576}
{' b': -9.443266, ' A': -1.8675148, ' B': -0.1684696, ' "': -8.301029, " '": -9.43908}
{' b': -9.377288, ' A': -2.4609718, ' B': -0.089731224, ' "': -8.461675, " '": -9.560129}
{' b': -9.59815, ' A': -1.4849888, ' B': -0.25753745, ' "': -8.256343, " '": -9.452664}
{' b': -9.18204, ' A': -3.980062, ' B': -0.019332988, ' "': -8.477834, " '": -9.6015215}
{' B': -0.005836362, ' A': -5.22142, ' "': -8.568484, ' b': -9.368331, " '": -9.612978}
{' b': -9.255302, ' A': -4.0539966, ' B': -0.01798399, ' "': -8.42822, " '": -9.532595}
{' b': -9.314996, ' A': -3.209062, ' B': -0.041734286, ' "': -8.404807, " '": -9.549876}
{' b': -9.376241, ' A': -4.3320236, ' B': -0.013660599, ' "': -8.53398, " '": -9.5838995}
{' B': -0.0070020566, ' A': -5.023245, ' "': -8.671508, ' b': -9.316153, " '": -9.719369}
{' b': -9.315166, ' A': -5.134705, ' B': -0.006352217, ' "': -8.509061, " '": -9.498682}
{' b': -9.278647, ' A': -3.6172094, ' B': -0.02770749, ' "': -8.430182, " '": -9.564982}
{' b': -9.308088, ' A': -4.291293, ' B': -0.014239816, ' "': -8.482519, " '": -9.542053}
{' b': -9.337456, ' A': -3.1532977, ' B': -0.04414986, ' "': -8.395175, " '": -9.508827}
{' b': -9.244716, ' A': -4.0594897, ' B': -0.017890781, ' "': -8.437445, " '": -9.529228}
{' B': -0.0061266976, ' A': -5.168619, ' "': -8.581108, ' b': -9.350157, " '": -9.667706}
{' B': -0.008841704, ' A': -4.791951, ' "': -8.352247, ' b': -9.184019, " '": -9.432486}
{' b': -9.276839, ' A': -5.3326883, ' B': -0.0052652825, ' "': -8.590746, " '": -9.703669}
{' b': -9.3279085, ' A': -4.2561283, ' B': -0.01474, ' "': -8.45407, " '": -9.554736}
{' b': -9.380474, ' A': -5.3022046, ' B': -0.005423485, ' "': -8.535481, " '": -9.581572}
{' b': -9.465273, ' A': -5.1191998, ' B': -0.00642792, ' "': -8.546935, " '": -9.477997}
{' B': -0.012531355, ' A': -4.4239216, ' "': -8.44371, ' b': -9.252974, " '": -9.591211}
{' b': -9.310827, ' A': -3.970169, ' B': -0.019514337, ' "': -8.457608, " '": -9.583038}
{' B': -0.06877204, ' A': -2.7182565, ' "': -8.349209, ' b': -9.537278, " '": -9.609966}
{' B': -0.011759818, ' A': -4.488269, ' "': -8.524961, ' b': -9.198379, " '": -9.623361}
{' b': -9.336381, ' A': -1.421343, ' B': -0.27690333, ' (': -9.947228, ' "': -8.493024}
{' b': -9.1249485, ' A': -2.9250839, ' B': -0.05559432, ' (': -10.26231, ' "': -8.670532}
{' b': -9.180192, ' A': -2.0736113, ' B': -0.1348828, ' (': -10.085935, ' "': -8.587412}
{' B': -0.097989924, ' A': -2.3761156, ' "': -8.593038, ' b': -9.2149315, ' (': -10.248831}
{' b': -9.20852, ' A': -2.0801232, ' B': -0.1339525, ' "': -8.52056, " '": -10.192436}
{' b': -9.160612, ' A': -2.0799181, ' B': -0.13398972, ' "': -8.560953, " '": -10.083416}
{' b': -9.041116, ' A': -3.8961022, ' B': -0.02092474, ' "': -8.821582, " '": -10.372928}
{' b': -9.040368, ' A': -2.9708514, ' B': -0.053071983, ' "': -8.6701355, " '": -10.20742}
{' b': -9.10822, ' A': -3.4073772, ' B': -0.03408085, ' "': -8.82635, " '": -10.348136}
{' b': -9.205387, ' A': -2.5889533, ' B': -0.07850301, ' "': -8.70941, " '": -10.29252}
{' b': -9.065886, ' A': -3.9800584, ' B': -0.01920672, ' "': -9.035186, " '": -10.547635}
{' b': -9.042854, ' A': -3.531988, ' B': -0.0301133, ' "': -8.657787, " '": -10.212509}
{' b': -9.264903, ' A': -2.0713844, ' B': -0.13519108, ' (': -10.167613, ' "': -8.57391}
{' b': -9.193655, ' A': -2.5636065, ' B': -0.080597006, ' "': -8.689582, " '": -10.282151}
{' b': -9.461276, ' A': -1.4358377, ' B': -0.27228072, ' (': -10.079934, ' "': -8.565344}
{' b': -8.984336, ' A': -4.1049533, ' B': -0.017022518, ' "': -8.80997, " '": -10.327796}
{' b': -8.996672, ' A': -5.228044, ' B': -0.0057672374, ' "': -8.787211, " '": -10.30916}
{' b': -9.02927, ' A': -4.143266, ' B': -0.016412307, ' "': -8.686303, " '": -10.24795}
{' b': -9.042914, ' A': -4.0914183, ' B': -0.017260872, ' "': -8.728644, " '": -10.319612}
{' b': -9.053864, ' A': -4.35112, ' B': -0.013370967, ' "': -8.741706, " '": -10.296063}
{' b': -8.998448, ' A': -5.2784023, ' B': -0.0054590222, ' "': -9.006153, " '": -10.528514}
{' B': -0.0063786684, ' A': -5.117577, ' "': -8.820963, ' b': -9.066975, " '": -10.327005}
{' b': -9.039188, ' A': -3.8107593, ' B': -0.022790032, ' "': -8.698996, " '": -10.320388}
{' b': -9.016801, ' A': -4.341172, ' B': -0.01351257, ' "': -8.705026, " '": -10.289222}
{' b': -9.125225, ' A': -3.4071853, ' B': -0.03410447, ' "': -8.695156, " '": -10.273371}
{' B': -0.016972562, ' A': -4.1092176, ' "': -8.694553, ' b': -9.024149, " '": -10.244411}
{' b': -9.062706, ' A': -5.4487433, ' B': -0.004662973, ' "': -8.906136, " '": -10.432824}
{' b': -8.915319, ' A': -4.999704, ' B': -0.007182683, ' "': -8.692842, " '": -10.240651}
{' b': -9.051616, ' A': -5.5668178, ' B': -0.004182881, ' "': -8.902001, " '": -10.453585}
{' b': -9.075924, ' A': -4.457067, ' B': -0.01204639, ' "': -8.764611, " '": -10.35343}
{' B': -0.0039439695, ' A': -5.632146, ' "': -8.905979, ' b': -9.04849, " '": -10.423159}
{' B': -0.004730943, ' A': -5.44319, ' "': -8.753851, ' b': -8.9872465, " '": -10.265825}
{' b': -9.034192, ' A': -4.8789325, ' B': -0.008012381, ' "': -8.790562, " '": -10.398918}
{' B': -0.016260112, ' A': -4.1512084, ' "': -8.7228775, ' b': -9.105945, " '": -10.357005}
{' b': -9.263892, ' A': -2.6902075, ' B': -0.07073512, ' "': -8.553853, " '": -10.252928}
{' B': -0.01160839, ' A': -4.4956765, ' "': -8.794842, ' b': -9.037357, " '": -10.296137}
{' b': -9.386703, ' A': -1.479938, ' B': -0.2588515, ' "': -8.748056, " '": -10.059314}
{' b': -9.226446, ' A': -2.6848044, ' B': -0.07108082, ' "': -8.816211, " '": -10.059428}
{' b': -9.292775, ' A': -1.946496, ' B': -0.1545191, ' "': -8.75973, " '": -10.075628}
{' b': -9.306607, ' A': -2.408972, ' B': -0.09462597, ' "': -8.789994, " '": -10.044161}
{' B': -0.13747689, ' A': -2.0551958, ' "': -8.797682, ' b': -9.311007, " '": -10.104969}
{' b': -9.2711935, ' A': -2.0308254, ' B': -0.14114083, ' "': -8.732759, " '": -9.953055}
{' b': -9.216285, ' A': -3.5577843, ' B': -0.0292696, ' "': -8.952088, " '": -10.137599}
{' B': -0.07248059, ' A': -2.6659462, ' "': -8.823147, ' b': -9.198334, " '": -10.009499}
{' b': -9.296919, ' A': -3.1614323, ' B': -0.043617375, ' "': -9.081487, " '": -10.248683}
{' b': -9.354513, ' A': -2.3248935, ' B': -0.103305325, ' "': -8.879593, " '": -10.11241}
{' b': -9.177139, ' A': -3.5675433, ' B': -0.02895756, ' "': -9.100828, " '": -10.295554}
{' b': -9.172107, ' A': -3.3259885, ' B': -0.036991216, ' "': -8.794017, " '": -9.996022}
{' b': -9.4142685, ' A': -1.9863467, ' B': -0.14798693, ' "': -8.846228, " '": -10.157151}
{' b': -9.313844, ' A': -2.5997484, ' B': -0.0775679, ' "': -8.926766, " '": -10.182643}
{' B': -0.20245016, ' A': -1.698765, ' "': -8.832123, ' b': -9.499663, " '": -10.160886}
{' b': -9.147891, ' A': -4.0800524, ' B': -0.017407337, ' "': -8.913606, " '": -10.060053}
