{' odd': -0.07231655, ' even': -3.1923, ' Odd': -3.978082, ':': -5.562586, ' 1': -5.7901106}
{' odd': -0.027815036, ' 1': -4.421631, ' Odd': -4.572651, ' even': -6.5503993, ' ': -6.8843017}
{':': -7.2890205, ' Even': -7.9725995, ' 0': -4.784149, ' zero': -8.233238, ' even': -0.010343958}
{' odd': -0.019316277, ' Odd': -4.737722, ' 1': -4.9693475, ':': -6.13971, 'odd': -8.236684}
{' even': -0.010026624, ':': -5.860993, ' Even': -5.952029, ' 0': -6.024343, ' EVEN': -7.4161305}
{' odd': -0.006522525, ' 1': -5.6863875, ' Odd': -6.377457, ' even': -7.6068645, ' ': -8.491351}
{' ': -6.0676594, ':': -5.412026, ' Even': -7.1908627, ' 0': -5.7536135, ' even': -0.012698742}
{' odd': -0.009715834, ' Odd': -5.301292, ' even': -6.1752987, ' 1': -6.4470544, ':': -8.015496}
{' even': -0.003249818, ' Even': -6.5093913, ':': -7.0765243, ' ': -8.097091, ' EVEN': -8.215615}
{' Odd': -5.000948, ':': -7.678425, ' 1': -6.760496, ' odd': -0.0096001, ' even': -7.4871755}
{' even': -0.0060775233, ':': -5.922053, ' Even': -6.2208614, '\n': -7.3294144, ' ': -7.8824368}
{' odd': -0.08118129, ' 1': -2.9442947, ' Odd': -3.79166, ':': -6.9757752, ' even': -7.371056}
{' ': -8.793121, ':': -7.566303, ' Even': -5.8206573, ' EVEN': -8.900965, ' even': -0.004225738}
{' Odd': -4.7614408, ':': -6.7926054, ' 1': -5.833669, ' odd': -0.013516437, ' even': -8.414473}
{' even': -0.04306358, ' 0': -3.6072583, ' Even': -5.1664257, ':': -5.576295, ' zero': -5.837571}
{' odd': -0.28595775, ' 1': -1.4690975, ' Odd': -4.6673336, ':': -5.296048, ' even': -7.4073625}
{' even': -0.001525985, ' Even': -7.6999097, ' 0': -7.7978005, ':': -8.443024, ' ': -8.797267}
{'\n': -5.8573737, ' Odd': -0.72084385, ' ': -6.382697, ':': -4.861032, ' odd': -0.6989647}
{' ': -9.011066, ':': -9.90108, ' Even': -7.9454083, ' EVEN': -9.770257, ' even': -0.00072697556}
{' Odd': -3.6288424, ':': -8.369257, ' 1': -5.7854724, ' odd': -0.03837529, ' even': -4.965567}
{'\n': -9.596044, ' ': -9.096713, ':': -8.763996, ' Even': -8.80115, ' even': -0.00063207984}
{' Odd': -3.9790792, ' ': -7.5837436, ':': -7.7011776, ' 1': -6.586619, ' odd': -0.022645893}
{' even': -0.00041095246, ' Even': -8.435861, ' 0': -9.601134, ':': -10.510645, ' EVEN': -10.708632}
{' Odd': -1.7665671, ':': -5.523827, ' 1': -4.962091, ' ->': -6.214357, ' odd': -0.210554}
{' even': -0.0015953511, ' Even': -6.972778, ':': -8.963166, ' odd': -9.074086, ' EVEN': -9.152407}
{'\n': -6.772037, ' Odd': -5.1278033, ' 1': -5.176386, ' odd': -0.017585607, ' even': -6.1236362}
{' even': -0.0038798833, ' Even': -6.172083, ':': -7.1209307, ' ': -8.341757, ' 0': -8.590581}
{' odd': -0.03542544, ' even': -4.118827, ' Odd': -4.27792, ' 1': -6.237156, ' ': -7.2923346}
{'\n': -8.310182, ' ': -7.8451424, ':': -8.084589, ' Even': -8.0426855, ' even': -0.0016380983}
{' odd': -0.012997055, ' Odd': -4.794146, ' even': -5.8662205, ' 1': -7.0887537, ' ': -8.311264}
{' even': -0.001105035, ' Even': -7.564492, ' 0': -8.633537, ' ': -8.86542, ' an': -9.544655}
{' odd': -0.010311617, ' 1': -5.215136, ' Odd': -5.820987, ' even': -6.797115, ' ': -8.532802}
{':': -9.318266, ' an': -9.420898, ' Even': -7.7032137, ' EVEN': -9.999734, ' even': -0.0007457054}
{' odd': -0.24957371, ' even': -1.7566233, ':': -3.8185444, ' Odd': -4.217512, ' 1': -5.1868286}
{' even': -0.020034317, ' 0': -5.079253, ':': -5.262262, ' odd': -5.599341, ' Even': -6.378412}
{' Odd': -3.7845404, ':': -4.744177, ' 1': -4.1707935, ' odd': -0.0821727, ' even': -3.6386986}
{' even': -0.001898018, ':': -7.401634, ' Even': -7.7009554, ' 0': -8.509157, ' ': -8.705407}
{'\n': -5.836306, ' Odd': -4.9391303, ' 1': -4.453737, ' odd': -0.035899952, ' even': -4.96977}
{' ': -8.240658, ':': -6.999183, ' an': -9.049087, ' Even': -6.849795, ' even': -0.002642923}
{' Odd': -5.8166604, ' 1': -4.8589296, 'odd': -8.546025, ' odd': -0.012109192, ' even': -7.423873}
{' even': -0.0046344697, ':': -6.091991, ' Even': -7.1886916, ' an': -7.539881, ' ': -7.9241676}
{' odd': -0.060462452, ' 1': -3.3363757, ' Odd': -4.4945416, ' even': -4.8817215, ':': -6.0429645}
{':': -7.18027, ' an': -7.841855, ' Even': -6.0784035, ' odd': -8.023167, ' even': -0.0042891297}
{' 11': -5.936388, ' Odd': -5.7168975, ' 1': -2.2543607, ' odd': -0.12661219, ' even': -6.2260947}
{' even': -0.0042151436, ' Even': -6.5525737, ':': -6.6388097, '\n': -7.348949, ' ': -7.925908}
{' odd': -0.022558343, ' Odd': -4.4549866, ':': -5.3663597, '\n': -6.1199203, ' 1': -6.8058324}
{' even': -0.012636928, ':': -5.576371, ' ': -5.5932884, ' Even': -6.2636814, '\n': -6.7914643}
{' Odd': -3.8536894, ' ': -5.9199185, ':': -6.2731667, ' odd': -0.033356115, ' even': -5.5205884}
{' even': -0.002210871, ' ': -7.330122, ' 0': -7.5344563, ' Even': -7.752835, ':': -8.419854}
{' Odd': -4.5832844, ' ': -6.2089343, ' 1': -5.3152432, ' odd': -0.024184104, ' even': -5.6111174}
{' an': -8.148672, ' Even': -8.177846, ' odd': -8.872939, ' 0': -8.394449, ' even': -0.0012857355}
{' Odd': -5.7823033, ' ': -7.272814, ' 1': -2.3459194, ' odd': -0.1066884, ' even': -7.4975796}
{':': -8.785925, ' an': -9.5939665, ' Even': -7.5360465, ' 0': -7.662199, ' even': -0.0014438464}
{' Odd': -5.341147, ':': -7.0374417, ' 1': -3.8261173, ' odd': -0.030091189, ' even': -7.2054043}
{'\n': -7.9173408, ' ': -8.064423, ':': -8.128203, ' Even': -6.0753884, ' even': -0.003587683}
{' Odd': -5.6079917, ' 1': -2.9735548, ' one': -7.828857, ' odd': -0.060507093, ' even': -6.228639}
{'\n': -8.509239, ' ': -8.355674, ':': -7.80561, ' Even': -7.031852, ' even': -0.002069545}
{' Odd': -4.466366, ':': -7.7046313, ' 1': -5.6762004, ' odd': -0.016544584, ' even': -7.843756}
{':': -7.689892, ' Even': -8.2588625, ' EVEN': -8.615843, ' 0': -8.340194, ' even': -0.0013638621}
{' odd': -0.010948071, ' Odd': -5.2133636, ' even': -5.4280148, ' 1': -7.9173155, ':': -8.032156}
{' ': -9.140193, ':': -9.062846, ' Even': -7.5744114, ' EVEN': -9.762676, ' even': -0.0009406594}
{' Odd': -5.380316, ' ': -7.91366, ' 1': -4.618834, ' odd': -0.017019004, ' even': -7.012579}
{' even': -0.0021599764, ' Even': -6.645684, ':': -7.86818, ' ': -8.295803, ' odd': -9.835826}
{' odd': -0.027529243, ' Odd': -3.905603, ' 1': -5.4182553, ':': -7.2159977, ' ': -7.639489}
{'\n': -4.2677374, ' ': -3.247879, ':': -1.0796875, ' Even': -3.8965197, ' even': -0.574838}
{' Odd': -4.390284, ':': -8.321896, ' 1': -3.3623872, ' odd': -0.049833883, ' even': -8.103812}
{' even': -0.0014013472, ' ': -7.8980074, ' Even': -8.072795, ':': -8.41056, ' 0': -8.8157015}
{' Odd': -2.1996698, ' ': -7.7742276, ':': -6.4258327, ' odd': -0.122283004, ' even': -7.402882}
{' ': -9.157585, ':': -8.431388, ' Even': -8.118605, ' 0': -8.448909, ' even': -0.0010776488}
{' Odd': -5.3467846, ':': -7.659499, ' 1': -5.0027804, ' odd': -0.017084725, ' even': -5.616952}
{' even': -0.0035446729, '\n': -6.422624, ':': -7.0774226, ' ': -7.6781816, ' Even': -8.668166}
{' odd': -0.026896298, ' Odd': -3.7175074, ' 1': -7.121941, '\n': -7.896023, ':': -8.087778}
{' even': -0.0008475321, ' Even': -7.566612, ':': -9.238617, ' ': -9.773633, ' 0': -10.165154}
{' Odd': -4.468989, ':': -6.3057013, ' 1': -5.1658177, ' odd': -0.023483103, ' even': -6.5889926}
{':': -8.746759, ' Even': -7.22075, ' EVEN': -9.368659, ' 0': -8.916055, ' even': -0.0014258779}
{'\n': -7.3789315, ' Odd': -4.1657357, ':': -6.442774, ' 1': -6.985069, ' odd': -0.01998579}
{' even': -0.004981245, ' Even': -5.7114778, ':': -7.660614, ' an': -7.96055, ' EVEN': -8.362219}
{' Odd': -4.0177107, ' ': -6.791161, ':': -6.0516887, ' odd': -0.040915728, ' even': -4.0834837}
{' even': -0.0013270971, ':': -7.818838, ' Even': -7.863797, ' ': -8.474605, ' EVEN': -9.406524}
{' odd': -0.027048038, ' Odd': -3.8297975, ' 1': -6.3127565, ' ': -6.8986425, '\n': -7.3450394}
{' ': -8.937218, ':': -9.133768, ' Even': -7.693879, ' EVEN': -10.100084, ' even': -0.00088529586}
{' Odd': -4.4138217, ' ': -6.5887117, ':': -5.4691596, ' odd': -0.02229471, ' even': -6.425769}
{':': -8.79623, ' an': -9.921768, ' Even': -5.560526, ' EVEN': -9.389965, ' even': -0.004219694}
{' Odd': -5.895268, ' 1': -5.667968, ' odd': -0.5438409, ' 0': -4.9816904, ' even': -0.91677326}
{' even': -0.004448853, ' 0': -6.4067, ' Even': -6.9389715, ':': -6.9614573, ' odd': -8.10834}
{' Odd': -4.518027, ':': -5.5628915, ' 1': -3.9709811, ' odd': -0.044407673, ' even': -5.056375}
{' ': -8.534541, ':': -8.185537, ' Even': -7.140462, ' 0': -8.218055, ' even': -0.0020293463}
{' odd': -0.05381727, ' 1': -3.216443, ' Odd': -5.456418, ' even': -5.7154894, ':': -5.8679266}
{' even': -0.005565528, ':': -5.947572, ' Even': -6.999986, '\n': -7.2148247, ' ': -7.3781133}
{' Odd': -6.7545447, ' ': -7.777471, ' 1': -4.744465, ' odd': -0.012325985, ' even': -7.574391}
{' ': -7.0947404, ':': -5.3909016, ' Even': -6.658215, ' odd': -7.397204, ' even': -0.008983631}
{' Odd': -5.2658916, ':': -6.209161, ' 1': -1.6203674, ' odd': -0.24819233, ' even': -4.6643486}
{' even': -0.0027903088, ' Even': -6.663995, ':': -7.751523, ' odd': -7.9633183, ' an': -8.053917}
{' odd': -0.24362445, ' 1': -1.6241612, ' Odd': -5.4825788, ' 11': -5.5808225, ':': -5.5911975}
{' ': -8.2061615, ':': -8.110608, ' an': -7.8315864, ' Even': -6.3676095, ' even': -0.0034027388}
{' Odd': -5.8426566, ':': -6.0283756, ' 1': -3.2270832, ' one': -7.6724753, ' odd': -0.049268927}
{' even': -0.0019023779, ' 0': -7.381714, ' an': -8.0059805, ' Even': -8.346308, ' ': -8.521855}
{' odd': -0.012779693, ' Odd': -5.027522, ' 1': -6.356185, ' even': -6.7452593, ' ': -6.817992}
{' even': -0.038117416, ' Even': -3.9838743, ':': -4.6684504, ' ': -5.51229, '\n': -6.069707}
{' odd': -0.036456406, ' Odd': -3.7842436, ' even': -5.097789, ' 1': -5.624831, ' ': -6.746036}
{' even': -0.0065348856, ' Even': -5.413626, ':': -7.073202, '\n': -7.5905366, ' ': -7.727637}
{' odd': -0.011460483, ' 1': -5.0336523, ' Odd': -5.8490667, ' even': -7.323928, ' ': -7.776766}
{'\n': -9.752086, ' ': -8.706341, ':': -7.6704297, ' Even': -5.332663, ' even': -0.0057111853}
{' Odd': -4.3619437, ':': -5.7792335, ' 1': -3.6833317, ' one': -7.024283, ' odd': -0.04585677}
{'\n': -6.5634546, ' ': -6.417944, ':': -6.9056916, ' Even': -6.6055126, ' even': -0.0064520957}
{' odd': -0.06992266, ' 1': -2.7841368, ' Odd': -5.933771, ' 3': -6.9150457, ' even': -7.6515913}
{' ': -8.400459, ':': -8.238346, ' Even': -7.7060204, ' 0': -8.260789, ' even': -0.0015250293}
{' Odd': -4.916935, ' ': -7.2488475, ' 1': -5.863778, ' odd': -0.013769066, ' even': -6.592089}
{' ': -8.680394, ':': -7.6762295, ' Even': -7.58784, ' EVEN': -8.607594, ' even': -0.0016559504}
{' Odd': -4.4049096, ' ': -7.58772, ':': -7.1013827, ' odd': -0.027425217, ' even': -4.4288936}
{' even': -0.004965011, ' Even': -5.7056856, ':': -7.3137293, ' ': -8.399606, '\n': -8.483697}
{' odd': -0.09422945, ' 1': -2.4971778, ' Odd': -5.3222027, ' even': -7.3699565, ' ': -7.451051}
{' ': -8.055784, ':': -8.034356, ' Even': -6.8636255, ' odd': -9.265482, ' even': -0.0021023941}
{' odd': -0.016355777, ' Odd': -4.289149, ' 1': -6.6025214, ':': -8.019821, ' ': -8.04111}
{':': -6.6405754, ' Even': -5.6666536, ' 0': -5.4999704, ' zero': -6.7035866, ' even': -0.012066116}
{' Odd': -4.706894, ':': -6.7438183, ' 1': -2.6382182, ' odd': -0.08840014, ' even': -7.0661507}
{' even': -0.0008151402, ' Even': -7.4120092, ' 0': -9.799391, ' odd': -10.085363, ' EVEN': -10.554401}
{' Odd': -4.6755834, ' ': -8.175051, ' 1': -6.504145, ' odd': -0.012362132, ' even': -7.4330726}
{' an': -7.709889, ' Even': -7.3565474, ' EVEN': -9.550746, ' 0': -9.557985, ' even': -0.001442414}
{'\n': -6.9696465, ' Odd': -3.7486572, ' 1': -6.261861, ' odd': -0.039528225, ' even': -4.604475}
{':': -8.930557, ' an': -9.155967, ' Even': -8.064994, ' EVEN': -9.276883, ' even': -0.0009349317}
{' odd': -0.010928124, ' Odd': -5.2723417, ' 1': -5.321395, ' even': -8.182341, ' ': -8.444245}
{' ': -7.496832, ':': -8.162907, ' Even': -8.813727, ' 0': -6.173711, ' even': -0.0036398463}
{' odd': -0.012661435, ' 1': -5.0722065, ' Odd': -5.3880258, ' ': -7.437757, ' even': -8.040493}
{' ': -9.492, ':': -8.0680485, ' Even': -6.690371, ' EVEN': -9.4673, ' even': -0.0019324777}
{' odd': -0.013998307, ' 1': -5.1049547, ' Odd': -5.546992, ':': -6.619266, ' ': -7.6147294}
{' even': -0.0045740497, ' Even': -5.9200797, ':': -6.9889154, ' ': -8.268392, ' EVEN': -8.573962}
{' odd': -0.04059736, ' even': -3.5818226, ' Odd': -4.825298, ':': -6.629298, ' 1': -7.1809087}
{' ': -8.64992, ':': -7.865012, ' Even': -7.3325505, ' 0': -9.419616, ' even': -0.0015039567}
{' Odd': -3.9914312, ':': -7.215777, ' 1': -7.396585, ' odd': -0.023383403, ' even': -6.471895}
{' ': -10.049759, ':': -9.561067, ' Even': -8.3672285, ' 0': -10.4571705, ' even': -0.00048489467}
{' Odd': -5.938836, ' ': -8.27347, ' 1': -7.6799498, ' odd': -0.0057671177, ' even': -6.3433223}
{' even': -0.0006407295, ' Even': -7.863992, ' an': -9.272006, ':': -9.93219, ' ': -10.206748}
{' odd': -0.12090595, ' even': -2.492298, ' 1': -4.336505, ' 0': -4.733824, ' Odd': -5.2808304}
{' even': -0.0059017707, ' Even': -6.2503138, ':': -6.5851917, ' odd': -7.1727295, ' 0': -7.591346}
{' odd': -0.038252726, ' Odd': -4.305038, ' 1': -4.3311114, ' even': -4.9212976, ' not': -6.827387}
{':': -7.209299, ' Even': -6.719994, ' EVEN': -8.794804, ' 0': -7.029994, ' even': -0.003395381}
{' Odd': -4.9212017, ':': -5.004407, ' 1': -5.025186, ' odd': -0.04727959, ' even': -3.7563438}
{' ': -8.03211, ':': -6.227914, ' Even': -7.4378624, ' odd': -8.482802, ' even': -0.0038644446}
{'\n': -6.838633, ' Odd': -6.111485, ' ': -7.070558, ' 1': -4.493475, ' odd': -0.01785383}
{' even': -0.053025536, ':': -3.6606684, ' ': -4.43306, ' 0': -6.0254025, ' an': -6.047463}
{' Odd': -5.8438015, ' ': -5.4212604, ' 1': -2.0473084, ' odd': -0.1539731, ' even': -6.243142}
{' even': -0.0054055653, ' Even': -5.7271323, ':': -6.7888975, ' ': -8.395603, ' odd': -8.5856}
{' 11': -5.3050337, ' Odd': -5.321883, ':': -5.493491, ' 1': -3.8792207, ' odd': -0.042938326}
{' even': -0.0015833542, ' Even': -7.718711, ':': -8.101296, ' an': -8.41573, ' div': -8.799255}
{' Odd': -5.6037464, ':': -7.647534, ' 1': -4.4702215, ' odd': -0.017810687, ' even': -7.2558084}
{' ': -7.491112, ':': -6.8242955, ' an': -7.4038243, ' Even': -5.8391066, ' even': -0.0065120263}
{' Odd': -2.8891258, ' 1': -6.5622764, ' odd': -0.06526182, ' 0': -7.0642986, ' even': -6.020758}
{'\n': -4.659262, ' ': -3.8364007, ':': -3.5537817, ' Even': -5.299092, ' even': -0.07722908}
{' odd': -0.03665449, ' 1': -3.4967852, ' Odd': -6.1925097, ' even': -6.330676, ' an': -7.5086594}
{' even': -0.0013808743, ' Even': -7.844323, ':': -8.0786295, ' an': -8.85002, ' ': -8.922306}
{' Odd': -5.326339, ' 1': -4.8032737, 'odd': -8.011106, ' odd': -0.01512672, ' even': -7.552874}
{'\n': -7.972344, ' ': -7.594364, ':': -7.6218996, ' Even': -6.101551, ' even': -0.0040700603}
{' Odd': -5.0706396, ':': -5.7456136, ' 1': -2.4782138, ' one': -6.608664, ' odd': -0.10157562}
{':': -7.7192287, ' Even': -7.5526967, ' EVEN': -8.522632, ' 0': -8.299053, ' even': -0.001950573}
{' Odd': -5.9066844, ' 1': -2.078712, ' one': -7.2774167, ' odd': -0.14342836, ' even': -5.871596}
{' even': -0.002215289, ' Even': -7.0706096, ' ': -7.8694983, ' 0': -7.943874, ':': -8.707688}
{' Odd': -5.7471514, ' ': -7.1299214, ' 1': -2.082785, ' odd': -0.14027257, ' even': -7.5930967}
{' even': -0.0024727327, ':': -7.04244, ' Even': -7.542917, ' ': -7.8534613, ' odd': -8.351276}
{'\n': -7.4892573, ' Odd': -3.9822779, ':': -7.178227, ' odd': -0.025695032, ' even': -5.5503182}
{' even': -0.0027932983, ' Even': -6.419273, ':': -8.157379, ' an': -8.302492, ' ': -8.60635}
{' odd': -0.10030345, ' 1': -2.6175764, ' Odd': -4.0089126, ':': -6.053105, ' even': -7.751838}
{' ': -4.6459503, ':': -2.8704562, ' Even': -5.4127164, ' 0': -3.154881, ' even': -0.14330846}
{' Odd': -3.9371958, ' ': -7.4689417, ':': -7.1242037, ' 1': -7.2246404, ' odd': -0.022981094}
{' even': -0.007805911, ' Even': -5.592442, ' 0': -6.096357, ':': -7.150534, ' EVEN': -7.8037634}
{' odd': -0.039407812, ' 1': -3.7512112, ' Odd': -4.7027025, ':': -6.0212793, ' ': -6.755014}
{' even': -0.005169718, ' Even': -5.5160246, ' ': -7.780436, ':': -8.43899, ' EVEN': -8.571668}
{' Odd': -3.4765337, ':': -8.435287, ' 1': -8.349071, ' odd': -0.03251238, ' even': -8.660374}
{' ': -8.943615, ':': -8.948824, ' Even': -7.507888, ' EVEN': -9.420364, ' even': -0.001107482}
{' odd': -0.021597277, ' Odd': -4.417614, ' 1': -5.4019613, ' even': -5.9015484, ':': -7.373552}
{' even': -0.0007509534, ' Even': -7.7535467, ' an': -9.127101, ':': -9.896768, ' EVEN': -10.1362295}
{' odd': -0.0143395765, ' Odd': -4.734014, ' 1': -5.502122, ' even': -8.175614, ':': -8.262869}
{' ': -9.4773445, ':': -9.468917, ' Even': -6.790309, ' EVEN': -10.004289, ' even': -0.0014450394}
{' Odd': -5.2559395, ' ': -7.1601014, ':': -6.7634296, ' 1': -3.9905176, ' odd': -0.027429689}
{' even': -0.0013544315, ' Even': -7.226601, ':': -8.611744, ' ': -8.665855, '\n': -9.578126}
{' Odd': -5.90981, ' ': -8.394003, ' 1': -4.8727007, ' odd': -0.012873999, ' even': -6.975548}
{' ': -8.641471, ':': -8.855735, ' Even': -6.561, ' EVEN': -8.666446, ' even': -0.0023243162}
{' Odd': -4.8118687, ' ': -7.511377, ':': -7.9416685, ' odd': -0.01654822, ' even': -5.0157747}
{' even': -0.00090742746, ' Even': -8.083498, ' ': -8.340012, ':': -9.1048765, '\n': -9.66144}
