{' Odd': -5.2571063, ':': -6.1377196, ' 1': -6.0909314, ' odd': -0.12720275, ' even': -2.2342947}
{'\n': -6.885002, ' Odd': -3.4821012, ':': -5.1081505, ' odd': -0.048076674, ' even': -5.112157}
{' even': -0.0021258094, ' Even': -6.669487, ' an': -8.426128, ' ': -8.4930105, ':': -8.664052}
{' odd': -0.030498086, ' Odd': -3.6702342, ' even': -5.954779, ' an': -7.4917974, ':': -7.5716314}
{' Odd': -5.2545786, ':': -6.910256, ' 1': -5.9659047, ' odd': -0.09031604, ' even': -2.5970793}
{' even': -0.0024607198, ' odd': -6.828802, ' Even': -7.960589, ' 0': -8.362739, ':': -8.437841}
{' odd': -0.06365527, ' even': -3.1274483, ' Odd': -4.555402, ' 1': -5.963988, ' 0': -6.7134466}
{' ': -9.766522, ':': -9.865982, ' Even': -7.105164, ' EVEN': -9.197193, ' even': -0.0011604707}
{' Odd': -5.123525, ' an': -7.9483914, ' 1': -7.596334, ' odd': -0.011329778, ' even': -5.5986533}
{' even': -0.0028236017, ' Even': -6.446738, ' an': -7.7778573, ' odd': -8.210585, ':': -8.765386}
{' Odd': -4.7291317, ':': -8.372246, ' 1': -8.436409, ' odd': -0.012651777, ' even': -6.0279737}
{' even': -0.001890734, ' Even': -7.505399, ' an': -7.6676507, ' odd': -8.204732, ':': -8.736725}
{' Odd': -3.5960455, ':': -6.9028773, ' 1': -5.772765, ' odd': -0.04024403, ' even': -5.0999246}
{' Odd': -4.96189, ':': -7.048669, ' 1': -6.634057, ' odd': -0.1724236, ' even': -1.9218608}
{' ': -8.419449, ':': -6.6438513, ' Even': -7.768353, ' odd': -8.430429, ' even': -0.0026903728}
{' Odd': -5.7076654, ':': -7.270722, ' 1': -6.6730733, ' odd': -0.008381489, ' even': -6.29602}
{' ': -10.036095, ' Even': -7.2295127, ' "': -10.344831, ' EVEN': -10.195555, ' even': -0.0009259226}
{' Odd': -4.887596, ':': -7.595917, ' 1': -7.785469, ' odd': -0.012079509, ' even': -5.8360724}
{' ': -8.703073, ' an': -9.0827265, ' Even': -8.002628, ' EVEN': -10.279232, ' even': -0.00078799913}
{' Odd': -4.6245217, ' ': -8.0351715, ':': -7.9151154, ' odd': -0.012129826, ' even': -7.378444}
{':': -7.493746, ' an': -6.6511445, ' Even': -6.042994, ' "': -7.801573, ' even': -0.0060842396}
{' Odd': -4.645507, ' an': -7.6115465, ' 1': -5.612159, ' odd': -0.024993269, ' even': -4.5905046}
{' Odd': -5.899521, ':': -7.0556593, ' 1': -6.0645256, ' odd': -0.117693335, ' even': -2.2778227}
{' ': -8.44038, ':': -8.369583, ' Even': -6.8815093, ' odd': -6.829556, ' even': -0.0030448497}
{' Odd': -5.3488784, ' ': -7.572901, ' 1': -5.5044045, ' odd': -0.013535164, ' even': -5.833681}
{' even': -0.00081848085, ' Even': -7.3555, ' an': -10.032315, ' EVEN': -10.255154, ' ': -10.704237}
{' Odd': -5.0283027, ':': -7.3161273, ' 1': -5.239767, ' odd': -0.01557201, ' even': -6.0857396}
{' even': -0.0013958551, ' Even': -6.89464, ' an': -9.121655, ' EVEN': -9.702327, ':': -9.884532}
{' Odd': -4.381977, ':': -8.035333, ' an': -7.0047703, ' odd': -0.015888577, ' even': -6.7640443}
{' ': -6.8561606, ':': -7.5792747, ' an': -7.907752, ' Even': -8.219978, ' even': -0.003244017}
{' Odd': -3.5129735, ' an': -7.541348, ' 1': -7.480583, ' odd': -0.037403107, ' even': -5.341322}
{' odd': -0.070517056, ' even': -2.925486, ' Odd': -4.9166737, ' 1': -5.7109947, ':': -6.799642}
{' even': -0.0018480339, ' Even': -6.474215, ':': -9.498614, ' odd': -9.903532, ' "': -10.2659}
{' Odd': -4.1240964, ':': -7.25593, ' 1': -7.7069945, ' odd': -0.019203803, ' even': -6.9516187}
{' ': -7.753022, ':': -8.324656, ' Even': -5.546223, ' EVEN': -8.941134, ' even': -0.0049547693}
{' odd': -0.05149207, ' even': -3.2521834, ' Odd': -5.035968, ':': -6.1955514, ' 1': -6.604836}
{' ': -9.186866, ':': -9.83483, ' an': -9.489468, ' Even': -8.348148, ' even': -0.0006270693}
{' odd': -0.0115894545, ' Odd': -5.055493, ' even': -5.60775, ' 1': -7.5294275, ' an': -8.465576}
{' ': -7.955998, ' an': -7.7698646, ' Even': -7.8649926, ' odd': -8.826159, ' even': -0.0017309411}
{' odd': -0.036529668, ' Odd': -3.8069074, ' even': -4.635351, ' 1': -6.6557074, ':': -6.6789875}
{' Odd': -4.8930783, ':': -5.0349183, ' 1': -5.6022725, ' odd': -0.40675718, ' even': -1.1701182}
{' even': -0.0059194, ' Even': -5.9688754, ':': -6.360166, ' an': -7.6078577, ' ': -8.183829}
{' odd': -0.0053855525, ' Odd': -5.9281588, ' even': -6.4655476, ' 1': -7.577643, 'odd': -8.460075}
{'\n': -7.533051, ' ': -7.238192, ':': -6.900688, ' Even': -5.0993385, ' even': -0.008863232}
{' Odd': -3.4883454, ':': -4.8164406, ' 1': -4.54045, ' odd': -0.06540244, ' even': -5.232757}
{' even': -0.0014209846, ' Even': -7.07836, ' an': -8.998999, ' odd': -9.1994505, ' ': -9.227343}
{' odd': -0.010431707, ' even': -5.0678315, ' Odd': -6.199519, ' 1': -6.5914397, ' an': -8.377716}
{' even': -0.002124734, ' Even': -7.002308, ' an': -7.6583095, ':': -8.371707, ' ': -8.620695}
{' Odd': -5.12676, ':': -8.529145, ' 1': -6.4672203, ' odd': -0.01086389, ' even': -5.9481673}
{' odd': -0.058492042, ' even': -3.2681265, ' Odd': -4.262416, ':': -6.6294336, ' 1': -6.6567316}
{' ': -8.579653, ':': -8.407028, ' Even': -7.327148, ' odd': -7.537521, ' even': -0.002377134}
{' Odd': -5.9792104, ' an': -8.098478, ' 1': -7.223018, ' odd': -0.007390182, ' even': -5.716964}
{' even': -0.006569923, ' Even': -5.417756, ':': -7.1664543, ' ': -7.6324124, ' EVEN': -8.594045}
{' Odd': -4.813304, ' an': -6.863632, ' 1': -6.489358, ' odd': -0.029939912, ' even': -4.0593376}
{' even': -0.0010041384, ' Even': -7.4610424, ' an': -9.1733885, ' odd': -9.317621, ' ': -9.727964}
{' Odd': -5.001026, ':': -9.110678, 'odd': -8.386186, ' odd': -0.007866092, ' even': -7.540466}
{' even': -0.0007278128, ' Even': -7.995039, ' an': -8.532604, ' ': -10.177552, ' odd': -10.249425}
{' Odd': -4.22912, ':': -7.657416, ' 1': -6.7805963, ' odd': -0.021444237, ' even': -5.620417}
{' Odd': -5.014514, ':': -7.243331, ' 1': -5.2656813, ' odd': -0.14045055, ' even': -2.152114}
{' ': -9.146243, ':': -8.330564, ' Even': -7.4543676, ' odd': -8.757131, ' even': -0.0013115794}
{' odd': -0.01284375, ' even': -4.6552453, ' Odd': -6.233448, ' an': -7.773679, ' 1': -8.316702}
{' even': -0.00078179466, ' Even': -7.4168296, ' ': -9.863494, ' EVEN': -10.489898, ' an': -10.820894}
{' odd': -0.05530773, ' even': -3.0488932, ' 1': -5.525821, ' Odd': -6.5666847, ' an': -7.8817253}
{' ': -8.36933, ':': -8.542432, ' an': -8.476866, ' Even': -7.018844, ' even': -0.0019755936}
{' Odd': -4.543781, ':': -7.375452, ' 1': -7.324647, ' odd': -0.01375529, ' even': -7.423134}
{' even': -0.0009741307, ' Even': -7.600297, ' an': -8.735505, ' odd': -9.501592, ':': -9.776721}
{'\n': -6.909288, ' Odd': -2.6188085, ':': -6.1893935, ' odd': -0.084645905, ' even': -6.2712092}
{' Odd': -5.650272, ':': -7.752323, ' 1': -6.2553616, ' odd': -0.03590032, ' even': -3.5604556}
{' even': -0.0031800931, ' Even': -6.7522044, ':': -7.069031, ' odd': -7.664474, ' EVEN': -8.79721}
{' Odd': -5.9961157, ' ': -8.888716, ' 1': -5.516728, ' odd': -0.008098125, ' even': -6.9069443}
{' even': -0.0015486083, ' Even': -6.930597, ' an': -8.500239, ' "': -9.515715, ' ': -9.549867}
{'\n': -7.578161, ' Odd': -5.478658, ':': -6.712247, ' odd': -0.013759401, ' even': -5.022184}
{' even': -0.00092568324, ' Even': -7.8271513, ' ': -8.652424, ' odd': -9.482424, ' EVEN': -9.700517}
{' odd': -0.0028502622, ' Odd': -6.544302, ' even': -7.65469, ' 1': -7.817869, ' an': -8.670088}
{' ': -8.852353, ' an': -9.000624, ' Even': -8.215321, ' odd': -7.614027, ' even': -0.0013737123}
{' Odd': -4.021675, ' an': -7.5794907, ' 1': -7.5312257, ' odd': -0.023061728, ' even': -5.9826884}
{' odd': -0.15228541, ' even': -2.1218345, ' 1': -4.491941, ' Odd': -5.3152966, ':': -6.004616}
{' ': -8.959133, ':': -8.067571, ' Even': -7.0105453, ' EVEN': -9.195265, ' even': -0.0017788872}
{' Odd': -5.5063443, ':': -7.3974147, ' 1': -7.560168, ' odd': -0.006563323, ' even': -7.1912746}
{' even': -0.000974846, ' Even': -7.70288, ' ': -8.85769, ' an': -9.607208, ' "': -9.632972}
{' odd': -0.035379622, ' even': -3.7483044, ' 1': -4.8273, ' Odd': -6.135066, ' ': -8.452276}
{' <': -8.151349, ' ': -7.31329, ' Even': -7.7569513, ' odd': -7.9064183, ' even': -0.0030761764}
{' Odd': -4.4942784, ':': -6.9860377, ' an': -7.8345165, ' odd': -0.015754389, ' even': -6.252261}
{':': -8.811318, ' an': -7.207527, ' Even': -6.0558963, ' odd': -9.05196, ' even': -0.0036809442}
{' odd': -0.021929149, ' Odd': -4.2722397, ' 1': -5.615162, ' even': -6.051359, ':': -7.502378}
{' Odd': -5.0590205, ':': -5.349351, ' 1': -5.4638777, ' odd': -0.17304277, ' even': -1.9695419}
{' even': -0.0068302867, ' Even': -5.7029486, ':': -6.187475, ' ': -7.807672, ' "': -8.417399}
{' odd': -0.016204018, ' 1': -4.8228626, ' Odd': -5.423419, ':': -7.003964, ' even': -7.054765}
{' ': -9.284803, ' Even': -7.827444, ' EVEN': -9.291518, ' odd': -9.243745, ' even': -0.0009715044}
{' Odd': -6.1180854, ' an': -8.453659, ' 1': -5.460254, ' odd': -0.047139995, ' even': -3.2531524}
{' ': -8.663706, ':': -6.871444, ' Even': -5.032501, ' EVEN': -8.350208, ' even': -0.0084556015}
{' odd': -0.033638094, ' Odd': -3.4950447, ' even': -6.888856, ' an': -7.9209104, ':': -7.938015}
{' even': -0.0006981674, ' ': -8.561901, ':': -8.881867, ' Even': -8.900376, ' an': -9.278596}
{' Odd': -5.3832884, ' an': -8.594155, ' 1': -6.31091, ' odd': -0.008304074, ' even': -6.6723}
{' Odd': -5.035809, ':': -6.1072497, ' 1': -6.5277257, ' odd': -0.35128748, ' even': -1.2643447}
{':': -9.118516, ' an': -9.559991, ' Even': -7.9778676, ' odd': -8.744472, ' even': -0.0008861294}
{' Odd': -6.614157, ' an': -8.613874, ' 1': -7.993248, ' odd': -0.011105246, ' even': -4.7618775}
{' even': -0.0017630645, ' Even': -6.6584334, ' EVEN': -8.895437, ':': -9.11277, ' ': -9.6628685}
{' odd': -0.040841218, ' 1': -3.8183184, ' even': -4.3624268, ' Odd': -5.5277834, ':': -7.774188}
{' ': -8.636558, ':': -8.002903, ' an': -8.979744, ' Even': -7.6996336, ' even': -0.0013940049}
{' Odd': -5.598096, ' ': -8.076913, ' 1': -7.558032, ' odd': -0.0075792274, ' even': -5.9819765}
{' ': -8.551662, ':': -8.706202, ' an': -8.40995, ' Even': -6.2018666, ' even': -0.0029765142}
{' Odd': -5.104751, ' an': -7.242934, ' "': -7.9311604, ' odd': -0.014590902, ' even': -5.0656886}
{' odd': -0.34614176, ' even': -1.2797985, ' Odd': -5.2008476, ':': -6.1054482, ' an': -6.4310594}
{' even': -0.018626744, ':': -4.737764, ' Even': -5.00505, ' ': -6.8161564, ' EVEN': -7.581477}
{' Odd': -3.6448138, ':': -7.5862813, ' 1': -7.4740124, ' odd': -0.031114863, ' even': -6.1906}
{' even': -0.0012351272, ' Even': -7.116791, ' 0': -9.5627365, ' an': -9.658927, ' EVEN': -9.711711}
{' Odd': -6.222024, ' ': -8.889709, ' 1': -6.459715, ' odd': -0.007769208, ' even': -5.63878}
{' even': -0.0013077591, ' Even': -7.2936616, ' ': -8.720959, ' an': -8.751778, ':': -9.377875}
{' Odd': -4.6303387, ' an': -7.8551226, ' 1': -8.556113, ' odd': -0.01717216, ' even': -5.098629}
{' ': -8.309728, ':': -7.2323155, ' an': -7.904305, ' Even': -6.046051, ' even': -0.004054859}
{' Odd': -4.9188137, ' an': -8.747305, ' 1': -7.8151965, ' odd': -0.014276394, ' even': -5.149639}
{' odd': -0.21495427, ' even': -1.6926744, ' Odd': -5.277682, ':': -6.7835627, ' 1': -7.0817065}
{':': -7.763105, ' Even': -6.912477, ' "': -8.316843, ' odd': -7.3862863, ' even': -0.0031164763}
{' odd': -0.00888861, ' Odd': -5.46793, ' even': -5.7733493, ' 1': -7.4395785, ':': -8.366629}
{' ': -9.616953, ' an': -10.1497, ' Even': -7.484665, ' EVEN': -10.198374, ' even': -0.000827428}
{' Odd': -6.0098333, ':': -8.123064, ' 1': -7.2426004, ' odd': -0.014892441, ' even': -4.5445533}
{' an': -9.217681, ' Even': -7.675596, ' EVEN': -9.597373, ' odd': -9.594842, ' even': -0.0008654275}
{' odd': -0.0083677815, ' Odd': -5.5088863, ' even': -5.9524684, ' 1': -7.8858223, ' ': -8.12158}
{' ': -9.27297, ':': -8.91295, ' an': -8.489461, ' Even': -7.2299204, ' even': -0.0013564618}
{' odd': -0.01051477, ' Odd': -4.986118, ' even': -6.3218718, ' an': -6.991994, ' 1': -7.97114}
{' Odd': -3.356803, ':': -4.764845, ' Even': -5.7061763, ' odd': -0.29359937, ' even': -1.6024505}
{' ': -8.648997, ' an': -8.582317, ' Even': -7.569911, ' odd': -7.201866, ' even': -0.0021093823}
{' odd': -0.012180083, ' Odd': -4.894563, ' 1': -6.2082086, ' even': -6.4561872, ' ': -7.849508}
{'\n': -8.987227, ' ': -8.472705, ':': -7.519112, ' Even': -7.934611, ' even': -0.0014183572}
{' odd': -0.029281203, ' even': -3.7967503, ' Odd': -5.3346124, ' an': -7.783948, ' 1': -8.430379}
{' even': -0.0005972493, ' Even': -8.604727, ' an': -8.741465, ' ': -9.194538, ' EVEN': -10.343516}
{' Odd': -6.181605, ' 1': -6.949121, 'odd': -8.94967, ' odd': -0.0046177637, ' even': -6.908006}
{' ': -8.643523, ':': -8.858937, ' an': -7.983952, ' Even': -7.4793878, ' even': -0.0015671739}
{' Odd': -3.9746108, ' an': -7.7700214, ' 1': -7.7745256, ' odd': -0.032579318, ' even': -4.4699783}
{' odd': -0.3485757, ' even': -1.252741, ' Odd': -5.634779, ':': -6.8089504, ' 1': -6.9270005}
{' even': -0.0010634462, ' odd': -8.079308, ':': -8.258774, ' Even': -8.374316, ' EVEN': -9.959941}
{' odd': -0.009366813, ' even': -5.207187, ' Odd': -6.019296, ' 1': -6.995331, 'odd': -9.005575}
{' ': -9.288029, ' an': -10.665903, ' Even': -7.8217263, ' EVEN': -10.195792, ' even': -0.0006666147}
{' Odd': -5.180657, ':': -6.8239713, ' 1': -6.3405204, ' odd': -0.0227629, ' even': -4.33264}
{' ': -9.083424, ':': -8.840519, ' an': -9.031629, ' Even': -8.05264, ' even': -0.0009061161}
{' odd': -0.0073689856, ' even': -5.6159344, ' Odd': -5.8684583, ' an': -8.332242, 'odd': -8.789827}
{' even': -0.0033984324, ' Even': -6.45716, ':': -6.807302, ' ': -8.671139, ' an': -8.677921}
{' odd': -0.02436456, ' Odd': -4.2968254, ' even': -4.783483, ' 1': -7.4254084, ' an': -7.472423}
{' Odd': -5.0357194, ':': -6.2042146, ' 1': -5.6330047, ' odd': -0.058650676, ' even': -3.1803102}
{' even': -0.002902806, ' odd': -6.384105, ' Even': -7.863705, ' 1': -8.658185, ' 0': -8.719905}
{' odd': -0.016513376, ' even': -4.7531567, ' Odd': -5.3333297, ' 1': -6.65657, ' an': -7.5923953}
{' even': -0.00152479, ' Even': -7.1581883, ' ': -8.147823, ':': -8.771046, ' EVEN': -9.043945}
{' Odd': -5.619353, ':': -7.7286205, ' 1': -7.5200834, ' odd': -0.0076031294, ' even': -6.1001844}
{' even': -0.0008219398, ' Even': -7.895895, ' an': -8.95545, ' ': -9.414585, ' EVEN': -9.643082}
{' Odd': -5.508834, ' 1': -7.8978577, 'odd': -8.986986, ' odd': -0.0054711285, ' even': -7.353522}
{' even': -0.0015650262, ' Even': -7.549602, ' odd': -8.394514, ' an': -8.4146, ' ': -8.732031}
{' Odd': -5.6073685, ':': -8.094846, ' 1': -5.8510365, ' odd': -0.018283948, ' even': -4.5623226}
{' Odd': -4.4219728, ':': -6.828032, ' 1': -7.241655, ' odd': -0.04011131, ' even': -3.7488668}
{':': -8.058583, ' Even': -7.941507, ' odd': -7.6608386, ' 0': -5.857984, ' even': -0.0050209607}
{' odd': -0.026974857, ' Odd': -4.012313, ' even': -5.2040486, ':': -6.908343, ' 1': -7.031317}
{' even': -0.0006476483, ' Even': -7.802462, ' EVEN': -9.579337, ' ': -10.329622, ' odd': -10.367329}
{' Odd': -5.823571, ':': -8.099678, ' an': -7.723475, ' odd': -0.02607849, ' even': -3.8561947}
{':': -8.961215, ' an': -8.700683, ' Even': -7.0794086, ' EVEN': -8.6616535, ' even': -0.0015949935}
{' Odd': -5.327553, ' ': -8.2160225, ':': -8.456181, 'odd': -8.208511, ' odd': -0.00633554}
{' ': -9.039589, ':': -8.278719, ' an': -8.893895, ' Even': -8.069432, ' even': -0.0010595095}
{' Odd': -4.150453, ' an': -6.8878293, ' 1': -7.636969, ' odd': -0.025442062, ' even': -4.975833}
{' Odd': -5.703221, ':': -6.4386563, ' 1': -6.438433, ' odd': -0.21631122, ' even': -1.6861503}
{' ': -7.989746, ':': -8.089481, ' Even': -6.711708, ' odd': -8.471117, ' even': -0.0024973515}
{' Odd': -6.160323, ' an': -8.050433, ' 1': -5.2752147, ' odd': -0.009388892, ' even': -6.731524}
{' even': -0.0014014654, ' Even': -6.83859, ':': -9.260774, ' ': -9.536794, '\n': -9.625903}
{' Odd': -5.447053, ' an': -7.5866523, ' 1': -6.4238434, ' odd': -0.019619977, ' even': -4.408185}
{':': -8.408243, ' an': -9.035165, ' Even': -6.363189, ' EVEN': -8.959449, ' even': -0.002401629}
{' Odd': -6.0782356, ' ': -8.290413, ' 1': -7.375205, ' odd': -0.004935241, ' even': -6.7184877}
{' ': -8.072374, ':': -8.888763, ' an': -8.797089, ' Even': -7.492828, ' even': -0.0014918378}
{' odd': -0.064934395, ' Odd': -2.891421, ' even': -5.4047, ' 1': -6.5554748, ':': -7.510039}
{' Odd': -5.4142995, ':': -6.734566, ' 1': -6.043478, ' odd': -0.2917278, ' even': -1.4161308}
{' ': -6.7791367, ':': -5.536007, ' Even': -3.9765348, ' odd': -8.132614, ' even': -0.026172096}
{' Odd': -5.9185324, ' ': -8.070382, ' 1': -4.893304, ' odd': -0.024653487, ' even': -4.331708}
{' even': -0.0010833183, ' Even': -7.3250113, ' an': -9.270525, ':': -9.539088, ' EVEN': -9.766769}
{' Odd': -5.9405694, ' an': -7.4435935, ' 1': -3.651326, ' odd': -0.12895097, ' even': -2.4046276}
{' ': -9.65904, ' an': -9.104031, ' Even': -8.183476, ' odd': -9.447842, ' even': -0.0006799144}
{' Odd': -6.1513066, ' an': -8.374082, ' 1': -7.045505, ' odd': -0.006970006, ' even': -5.7418404}
{' an': -7.590037, ' Even': -7.6989408, ' odd': -8.183605, ' 0': -8.6183195, ' even': -0.0019232207}
{' Odd': -5.236328, ':': -8.880654, ' 1': -5.029331, ' odd': -0.01700027, ' even': -5.447899}
{' odd': -0.22861217, ' even': -1.6729537, ' Odd': -4.9148226, ':': -5.3684063, ' 1': -6.2179976}
{' even': -0.015847644, ' Even': -4.635282, ':': -5.4878902, ' ': -7.4125133, '\n': -7.771721}
{' Odd': -3.528797, ':': -5.685062, ' "': -6.959926, ' odd': -0.040940877, ' even': -5.607344}
{' even': -0.0012462287, ' Even': -7.0797305, ' ': -9.248071, ' an': -9.487732, ' EVEN': -9.954639}
{' Odd': -5.347736, ':': -4.560615, ' 1': -5.685858, ' odd': -0.02624087, ' even': -5.0897326}
{' ': -9.850477, ' an': -9.25762, ' Even': -8.511563, ' EVEN': -9.79387, ' even': -0.0005614051}
{' Odd': -6.126454, ':': -8.399984, ' 1': -5.8296, ' odd': -0.00695344, ' even': -6.8813705}
{' ': -9.054393, ' an': -8.219502, ' Even': -7.380727, ' odd': -8.824275, ' even': -0.0015294439}
{' Odd': -4.094426, ' an': -8.872296, ' 1': -6.697578, ' odd': -0.021580836, ' even': -5.8759475}
{' odd': -0.25252035, ' even': -1.5553558, ' Odd': -5.036654, ':': -6.034501, ' 1': -7.0174627}
{' ': -7.74203, ':': -6.772081, ' Even': -6.4989634, ' odd': -6.27199, ' even': -0.006541964}
{' odd': -0.006984589, ' Odd': -5.8130393, ' even': -6.0529103, ' 1': -6.7793164, 'odd': -9.23246}
