{' Yes': -0.0011409608, 'Yes': -6.832336, ' yes': -10.393673, ' ': -11.210345, ' Generally': -11.526474}
{' No': -8.113963, ' ': -9.677967, ' Yes': -0.0027674162, ' yes': -9.213111, 'Yes': -6.0785155}
{' YES': -12.874215, ' ': -10.513117, ' Yes': -0.0023281402, ' yes': -9.516763, 'Yes': -6.1112046}
{' No': -5.9101763, ' ': -9.251239, ' Yes': -0.005870597, ' yes': -8.994597, 'Yes': -5.846919}
{' ': -10.954927, ' Generally': -10.048731, ' Yes': -0.0020132815, ' yes': -9.330251, 'Yes': -6.2922297}
{' YES': -12.740124, ' ': -10.633827, ' Yes': -0.0021443844, ' yes': -9.377284, 'Yes': -6.204579}
{' No': -5.2438703, ' ': -9.350329, ' Yes': -0.008738459, ' yes': -8.838378, 'Yes': -5.8114386}
{' No': -4.8111057, ' ': -9.268169, 'No': -9.471201, ' Yes': -0.010530792, 'Yes': -6.1836944}
{' No': -0.031513438, ' Yes': -3.8174267, 'No': -4.755205, ' ': -8.3450165, 'Yes': -9.084959}
{' An': -9.876463, ' No': -0.010588017, ' ': -9.06439, 'No': -4.5958576, ' Yes': -8.307165}
{' ': -11.041534, ' Generally': -10.5637245, ' Yes': -0.00105026, ' yes': -10.327132, 'Yes': -6.940572}
{' No': -5.982623, ' ': -9.744149, ' Yes': -0.00388832, ' yes': -10.359481, 'Yes': -6.681155}
{' No': -10.32498, ' ': -10.586771, ' Yes': -0.0011587427, ' yes': -10.475168, 'Yes': -6.840974}
{' No': -2.6119463, ' ': -9.4874735, 'No': -8.450367, ' Yes': -0.077896066, 'Yes': -6.7139754}
{' ': -10.697943, ' Generally': -10.970934, ' Yes': -0.0011352313, ' yes': -10.227863, 'Yes': -6.8618984}
{' No': -9.537077, ' ': -10.530267, ' Yes': -0.0012501663, ' yes': -10.154569, 'Yes': -6.809954}
{' No': -1.0064311, ' ': -9.122075, 'No': -6.410762, ' Yes': -0.45964006, 'Yes': -6.8938475}
{' No': -1.215917, ' ': -8.412808, 'No': -6.5619445, ' Yes': -0.35547388, 'Yes': -6.905095}
{' No': -0.0045072283, ' ': -9.762524, 'No': -5.510092, ' A': -11.7764, ' Yes': -7.8738365}
{' An': -12.147567, ' No': -0.006427559, ' ': -10.002521, 'No': -5.059959, ' Yes': -12.120739}
{' Yes': -0.0013729953, 'Yes': -6.6664596, ' yes': -9.817528, ' ': -10.75672, ' Generally': -10.917613}
{' No': -5.947437, ' ': -9.036134, ' Yes': -0.004463102, ' yes': -9.699927, 'Yes': -6.412065}
{' No': -12.559807, ' ': -10.288737, ' Yes': -0.0017241341, ' yes': -9.802803, 'Yes': -6.4211097}
{' No': -3.588322, ' ': -9.064217, 'No': -9.267464, ' Yes': -0.029995307, 'Yes': -6.4240456}
{' ': -10.568971, ' Generally': -11.553569, ' Yes': -0.0013326483, ' yes': -9.6263, 'Yes': -6.7046046}
{' No': -12.415908, ' ': -10.275137, ' Yes': -0.0013538345, ' yes': -9.797942, 'Yes': -6.6807146}
{' No': -4.7201457, ' ': -9.472678, ' Yes': -0.010575608, ' yes': -9.549825, 'Yes': -6.565856}
{' No': -0.8619471, ' ': -7.5837464, 'No': -6.1909413, ' Yes': -0.5549995, 'Yes': -6.9412675}
{' No': -0.004349171, ' ': -9.598196, 'No': -5.529743, ' Yes': -8.107317, 'Yes': -13.825187}
{' No': -0.005803988, 'No': -5.1721897, ' ': -9.299034, ' Yes': -10.926956, ' An': -13.07973}
{' ': -11.374689, ' Generally': -10.427554, ' Yes': -0.0010671472, ' yes': -10.096736, 'Yes': -6.927977}
{' No': -7.499111, ' ': -10.168664, ' Yes': -0.0018931228, ' yes': -10.073582, 'Yes': -6.6828275}
{' No': -12.53277, ' ': -10.960871, ' Yes': -0.0011586235, ' yes': -10.239063, 'Yes': -6.8132195}
{' No': -3.950956, 'No': -9.967484, ' Yes': -0.020917619, ' yes': -9.986741, 'Yes': -6.6264734}
{' ': -11.2521715, ' Generally': -10.833874, ' Yes': -0.001179331, ' yes': -9.955656, 'Yes': -6.818985}
{' Yes': -0.0011571911, 'Yes': -6.8268976, ' yes': -10.086526, ' ': -10.995496, ' No': -11.593093}
{' No': -2.293175, ' ': -9.466078, 'No': -7.8724113, ' Yes': -0.108431004, 'Yes': -6.6710334}
{' Yes': -0.38255614, ' No': -1.1540577, 'No': -6.6559377, 'Yes': -6.993933, ' ': -8.416449}
{' No': -0.0033631441, ' ': -10.262238, 'No': -5.744631, ' A': -13.252389, ' Yes': -9.033398}
{' An': -12.322512, ' No': -0.004529441, ' ': -9.998338, 'No': -5.415155, ' Yes': -10.979878}
{' ': -11.499526, ' Generally': -8.885096, ' Yes': -0.0012175248, ' yes': -10.089685, 'Yes': -6.889934}
{' No': -5.7387404, ' ': -10.09755, ' Yes': -0.004746935, ' yes': -10.08961, 'Yes': -6.5602336}
{' No': -12.30685, ' ': -11.281869, ' Yes': -0.0012286215, ' yes': -10.242264, 'Yes': -6.748186}
{' No': -2.772257, 'No': -8.532764, ' Yes': -0.06663152, ' yes': -10.017647, 'Yes': -6.4170947}
{' ': -11.229689, ' Generally': -9.293044, ' Yes': -0.0013924524, ' yes': -9.846559, 'Yes': -6.707838}
{' No': -10.3801565, ' ': -10.882671, ' Yes': -0.0014123294, ' yes': -9.894534, 'Yes': -6.6446075}
{' No': -1.1574802, 'No': -6.3761325, ' A': -8.220386, ' Yes': -0.38285434, 'Yes': -6.5381866}
{' Yes': -0.4997895, ' No': -0.94141513, 'No': -6.2565436, 'Yes': -6.9559336, ' ': -8.615716}
{' No': -0.004327203, ' ': -10.150523, 'No': -5.4856334, ' A': -11.821507, ' Yes': -9.005292}
{' An': -11.433708, ' No': -0.0058144196, ' ': -10.076937, 'No': -5.16132, ' Yes': -12.429393}
{' ': -11.61678, ' Generally': -7.8744917, ' Yes': -0.0016167861, ' yes': -9.88878, 'Yes': -6.7602963}
{' No': -9.433688, ' ': -10.649902, ' Yes': -0.0016898639, ' yes': -10.094881, 'Yes': -6.476017}
{' Yes': -0.0014482627, 'Yes': -6.573863, ' yes': -10.211782, ' ': -11.403868, ' YES': -13.679077}
{' No': -5.782495, ' ': -10.420327, ' Yes': -0.004970703, ' yes': -9.923971, 'Yes': -6.3309264}
{' ': -11.181143, ' Generally': -9.46237, ' Yes': -0.0015976209, ' yes': -9.753245, 'Yes': -6.545806}
{' ': -10.933908, ' Generally': -12.025785, ' Yes': -0.0015875332, ' yes': -9.79183, 'Yes': -6.50602}
{' Yes': -0.013216397, ' No': -4.5883946, 'Yes': -5.977337, ' yes': -9.239616, ' Generally': -9.2745495}
{' No': -3.74438, ' Generally': -8.870058, 'No': -8.727599, ' Yes': -0.026063316, 'Yes': -6.4462314}
{' No': -0.0077786394, ' ': -9.604012, 'No': -5.3771844, ' A': -11.380162, ' Yes': -5.7975965}
{' An': -10.370605, ' No': -0.0068172636, ' ': -9.748052, 'No': -5.014906, ' Yes': -9.904129}
{' Yes': -0.0013410042, 'Yes': -6.8661304, ' Generally': -8.419247, ' yes': -9.897921, ' ': -11.278366}
{' No': -7.856283, ' ': -10.439293, ' Yes': -0.0020144754, ' yes': -9.829952, 'Yes': -6.481249}
{' No': -12.279397, ' ': -11.416125, ' Yes': -0.0014021825, ' yes': -10.005167, 'Yes': -6.6173024}
{' No': -2.6428745, ' ': -9.770376, 'No': -8.224185, ' Yes': -0.076252766, 'Yes': -6.291552}
{' ': -11.134091, ' Generally': -8.682751, ' Yes': -0.0015623979, ' yes': -9.742334, 'Yes': -6.644186}
{' No': -8.845226, ' ': -10.491073, ' Yes': -0.0018538273, ' yes': -9.679497, 'Yes': -6.449598}
{' No': -0.599889, ' Generally': -7.148818, 'No': -5.5818644, ' Yes': -0.81054795, 'Yes': -6.702252}
{' No': -0.8923117, ' Generally': -8.083885, 'No': -6.0182, ' Yes': -0.5342737, 'Yes': -6.83059}
{' No': -0.0055818893, ' ': -9.81861, 'No': -5.2598004, ' A': -10.854026, ' Yes': -8.145087}
{' An': -10.6031685, ' No': -0.0069052465, ' ': -9.988669, ' Generally': -11.528678, 'No': -4.992413}
{' ': -11.863715, ' Generally': -9.52358, ' Yes': -0.0010963262, ' yes': -10.27134, 'Yes': -6.931821}
{' Yes': -0.0012749326, 'Yes': -6.7192426, ' yes': -10.3196945, ' No': -10.995492, ' ': -11.1432}
{' YES': -13.98092, ' ': -11.649362, ' Yes': -0.0012513612, ' yes': -10.485065, 'Yes': -6.715868}
{' Yes': -0.0036954219, ' No': -6.154156, 'Yes': -6.5051045, ' yes': -10.172446, ' ': -10.906218}
{' Yes': -0.0013333644, 'Yes': -6.730086, ' Generally': -9.537577, ' yes': -9.937643, ' ': -11.544829}
{' Yes': -0.0013632642, 'Yes': -6.653394, ' yes': -10.035249, ' ': -11.314966, ' Generally': -12.046936}
{' No': -3.948072, ' Generally': -9.257558, 'No': -8.870816, ' Yes': -0.02202383, 'Yes': -6.187412}
{' No': -1.6413344, ' Generally': -8.66498, 'No': -6.728359, ' Yes': -0.2190265, 'Yes': -6.6120086}
{' No': -0.0050717625, ' ': -10.208575, 'No': -5.3838863, ' A': -12.352161, ' Yes': -7.7650604}
{' No': -0.0060238536, 'No': -5.1299534, ' ': -10.2270565, ' Yes': -10.266525, ' An': -11.458319}
{' ': -11.473041, ' Generally': -8.091914, ' Yes': -0.0019268045, ' yes': -9.366299, 'Yes': -6.498874}
{' No': -11.102969, ' ': -10.529763, ' Yes': -0.00263581, ' yes': -9.214126, 'Yes': -5.9988203}
{' YES': -12.700064, ' ': -10.845271, ' Yes': -0.002135486, ' yes': -9.263548, 'Yes': -6.2089567}
{' No': -6.6143427, ' ': -9.508407, ' Yes': -0.0046096793, ' yes': -8.811587, 'Yes': -5.8137507}
{' ': -11.019895, ' Generally': -9.379038, ' Yes': -0.0018842245, ' yes': -9.141751, 'Yes': -6.400792}
{' ': -10.610587, ' Generally': -11.794014, ' Yes': -0.002248445, ' yes': -9.079692, 'Yes': -6.1729307}
{' No': -5.7270536, ' ': -8.992433, ' Yes': -0.007216665, ' yes': -8.578193, 'Yes': -5.702241}
{' Yes': -0.015464014, ' No': -4.394162, 'Yes': -5.987639, 'No': -8.78313, ' ': -8.988595}
{' No': -0.0309804, ' ': -7.8801317, 'No': -4.391612, ' A': -8.846353, ' Yes': -4.048974}
{' An': -9.250179, ' No': -0.015227479, ' ': -8.672451, 'No': -4.2227163, ' Yes': -8.841531}
{' ': -10.81798, ' Generally': -12.760467, ' Yes': -0.001212212, ' yes': -10.475552, 'Yes': -6.761635}
{' Yes': -0.001777454, 'Yes': -6.5792894, ' No': -8.253774, ' ': -9.399945, ' yes': -10.161439}
{' No': -11.639258, ' ': -9.967356, ' Yes': -0.0013625489, ' yes': -10.189114, 'Yes': -6.672896}
{' No': -3.1660943, ' ': -9.062077, 'No': -8.812253, ' Yes': -0.044781424, 'Yes': -6.6363363}
{' Yes': -0.0011544465, 'Yes': -6.824518, ' yes': -10.377743, ' ': -10.477449, ' Generally': -12.700046}
{' No': -9.962773, ' ': -9.879197, ' Yes': -0.0013817096, ' yes': -10.2950945, 'Yes': -6.6895623}
{' No': -1.9900578, ' ': -8.819296, 'No': -7.522719, ' Yes': -0.14918777, 'Yes': -6.759268}
{' No': -0.99091464, ' ': -7.8503294, 'No': -6.1287, ' Yes': -0.46990135, 'Yes': -6.829063}
{' No': -0.00442634, ' ': -10.1945505, 'No': -5.4545436, ' A': -13.327343, ' Yes': -9.223351}
{' An': -12.390616, ' No': -0.006543165, ' ': -9.881498, 'No': -5.0427747, ' Yes': -11.804439}
{' ': -10.702799, ' Generally': -11.049617, ' Yes': -0.001287288, ' yes': -9.579596, 'Yes': -6.7474914}
{' No': -5.8877482, ' ': -8.873966, ' Yes': -0.0046100384, ' yes': -9.471098, 'Yes': -6.446355}
{' Yes': -0.0015030011, 'Yes': -6.598655, ' yes': -9.555184, ' ': -9.813431, ' No': -11.497151}
{' No': -2.1761675, ' ': -8.61889, 'No': -7.7362375, ' Yes': -0.12280947, 'Yes': -6.5807066}
{' ': -10.304455, ' Generally': -10.437063, ' Yes': -0.0013739509, ' yes': -9.43186, 'Yes': -6.710745}
{' No': -8.900014, ' ': -9.696383, ' Yes': -0.0017430609, ' yes': -9.54255, 'Yes': -6.527759}
{' No': -0.5430581, ' ': -8.631888, 'No': -6.0843997, ' Yes': -0.87744874, 'Yes': -7.3714724}
{' No': -0.15835603, ' ': -8.58407, 'No': -5.3440304, ' Yes': -1.9574854, 'Yes': -8.309389}
{' No': -0.004380603, ' ': -10.19535, 'No': -5.4470167, ' Yes': -10.749988, ' no': -13.766517}
{' No': -0.0056525, 'No': -5.1884756, ' ': -9.930561, ' Yes': -13.056583, ' An': -13.292703}
{' No': -13.484216, ' ': -11.148838, ' Yes': -0.0011394074, ' yes': -10.31863, 'Yes': -6.8243794}
{' No': -4.7634535, ' ': -8.708192, ' Yes': -0.010609944, ' yes': -9.878638, 'Yes': -6.3450193}
{' No': -9.289458, ' ': -10.085498, ' Yes': -0.0013327666, ' yes': -10.207723, 'Yes': -6.7611556}
{' No': -0.5008875, ' ': -8.507107, 'No': -6.5476556, ' Yes': -0.93725455, 'Yes': -7.348046}
{' No': -11.7768345, ' ': -9.937108, ' Yes': -0.001311937, ' yes': -10.033195, 'Yes': -6.7210855}
{' No': -7.65127, ' ': -9.6731205, ' Yes': -0.0016633535, ' yes': -10.202267, 'Yes': -6.830015}
{' No': -0.15234011, ' ': -8.7773075, 'No': -5.984293, ' Yes': -1.9776193, 'Yes': -8.44154}
{' No': -0.22281961, ' ': -8.095714, 'No': -5.6666117, ' Yes': -1.6313643, 'Yes': -8.123591}
{' No': -0.0031867311, 'No': -5.7651644, ' ': -10.2277975, ' Yes': -11.623957, ' no': -14.424476}
{' No': -0.004642554, ' ': -9.885691, 'No': -5.3866634, ' Yes': -13.826331, ' no': -13.859022}
{' ': -11.159721, ' Generally': -11.092918, ' Yes': -0.0014908821, ' yes': -10.11888, 'Yes': -6.55964}
{' No': -6.251912, ' ': -9.872872, ' Yes': -0.0036409232, ' yes': -10.313296, 'Yes': -6.4321055}
{' No': -12.116646, ' ': -10.962625, ' Yes': -0.0013280527, ' yes': -10.412592, 'Yes': -6.6668286}
{' No': -2.211482, ' ': -8.920114, 'No': -7.8346143, ' Yes': -0.11862281, 'Yes': -6.351391}
{' ': -10.539511, ' Generally': -9.872511, ' Yes': -0.0016772643, ' yes': -9.815926, 'Yes': -6.4793897}
{' No': -9.904639, ' ': -10.022481, ' Yes': -0.0016265763, ' yes': -10.027402, 'Yes': -6.515161}
{' No': -0.7725132, ' ': -8.523906, 'No': -6.0007806, ' Yes': -0.6271161, 'Yes': -6.7593403}
{' No': -0.5717923, ' Yes': -0.8423803, 'No': -5.596225, 'Yes': -7.161199, ' ': -8.282231}
{' No': -0.0046954327, ' ': -10.3089285, 'No': -5.3758, ' A': -14.26309, ' Yes': -10.729173}
{' An': -14.376852, ' No': -0.006693645, ' ': -10.588041, 'No': -5.014167, ' no': -14.293625}
{' ': -11.550427, ' Generally': -9.708824, ' Yes': -0.0010931029, ' yes': -10.241712, 'Yes': -6.92762}
{' No': -6.356076, ' ': -10.010141, ' Yes': -0.0032867754, ' yes': -10.138149, 'Yes': -6.5374126}
{' No': -11.910155, ' ': -11.0362625, ' Yes': -0.0013128925, ' yes': -10.243188, 'Yes': -6.683642}
{' No': -3.1172383, ' ': -9.834474, 'No': -8.748696, ' Yes': -0.047355074, 'Yes': -6.3777723}
{' Yes': -0.0013116975, 'Yes': -6.769431, ' Generally': -9.389106, ' yes': -9.901109, ' ': -10.976037}
{' No': -9.747056, ' ': -10.540263, ' Yes': -0.0014606201, ' yes': -9.91986, 'Yes': -6.636096}
{' No': -1.390994, 'No': -6.558594, ' A': -8.832666, ' Yes': -0.29065418, 'Yes': -6.4867754}
{' No': -0.6767712, ' ': -8.6306715, 'No': -5.9307284, ' Yes': -0.7176076, 'Yes': -7.136364}
{' No': -0.0048415028, ' ': -10.238041, 'No': -5.3626256, ' A': -12.213884, ' Yes': -9.228708}
{' An': -11.87293, ' No': -0.006490787, ' ': -10.209724, 'No': -5.0486584, ' Yes': -12.667608}
{' Yes': -0.0022779582, 'Yes': -6.4106812, ' Generally': -7.8952355, ' yes': -8.885586, ' ': -9.8536415}
{' Yes': -0.0025262723, 'Yes': -6.20596, ' yes': -8.646148, ' No': -8.845954, ' ': -9.217333}
{' Yes': -0.0023136248, 'Yes': -6.2335544, ' yes': -8.61158, ' ': -9.17112, ' YES': -11.034793}
{' No': -4.5723276, ' ': -8.426012, ' A': -8.116516, ' Yes': -0.0141673265, 'Yes': -5.8910575}
{' ': -9.4526415, ' Generally': -7.515597, ' Yes': -0.002766698, ' yes': -8.819603, 'Yes': -6.2776246}
{' ': -9.101134, ' Generally': -8.526006, ' Yes': -0.0028163677, ' yes': -8.759137, 'Yes': -6.1396813}
{' No': -1.6835805, ' Generally': -6.009582, ' A': -6.239517, ' Yes': -0.21733876, 'Yes': -5.9622765}
{' No': -2.2055802, 'No': -7.0136323, ' A': -7.536972, ' Yes': -0.12165886, 'Yes': -6.1930237}
{' No': -0.0092935935, ' ': -8.355614, 'No': -4.8929224, ' A': -8.643014, ' Yes': -6.6922}
{' No': -0.009187955, 'No': -4.742388, ' ': -8.67413, ' An': -8.918955, ' Generally': -10.459142}
{' ': -10.948302, ' Generally': -8.025826, ' Yes': -0.0014588282, ' yes': -10.083762, 'Yes': -6.8506513}
{' No': -7.4448547, ' ': -9.84457, ' Yes': -0.0025219687, ' yes': -9.915204, 'Yes': -6.3132215}
{' Yes': -0.0013418386, 'Yes': -6.675993, ' yes': -10.347196, ' ': -10.429309, ' No': -11.079005}
{' No': -1.2003089, ' ': -8.832017, 'No': -6.238336, ' Yes': -0.36422068, 'Yes': -6.28152}
{' ': -10.454162, ' Generally': -7.9966903, ' Yes': -0.0020326898, ' yes': -9.764135, 'Yes': -6.447308}
{' No': -9.213975, ' Generally': -9.445243, ' Yes': -0.0020017528, ' yes': -9.775348, 'Yes': -6.371196}
{' No': -0.2845013, ' Generally': -6.4024973, 'No': -4.8787622, ' Yes': -1.4416058, 'Yes': -7.1160936}
{' No': -0.5749468, ' ': -8.10669, 'No': -5.351541, ' Yes': -0.8420672, 'Yes': -6.9495306}
{' No': -0.007596045, 'No': -4.8931265, ' ': -10.267247, ' Yes': -10.758998, ' A': -11.746527}
{' An': -10.944935, ' No': -0.012167112, ' ': -9.944864, ' Generally': -11.689047, 'No': -4.421896}
{' ': -10.921182, ' Generally': -11.220534, ' Yes': -0.002147252, ' yes': -9.76292, 'Yes': -6.190551}
{' No': -5.8772187, ' ': -9.005379, ' Yes': -0.005791458, ' yes': -9.594581, 'Yes': -5.898877}
{' Yes': -0.0024730903, 'Yes': -6.052253, ' yes': -9.710933, ' ': -10.093322, ' No': -11.611235}
{' No': -2.747168, ' ': -8.872334, 'No': -7.7843156, ' Yes': -0.06952554, 'Yes': -6.026554}
{' Yes': -0.0020854888, 'Yes': -6.2304134, ' yes': -9.592966, ' ': -10.557703, ' Generally': -11.378826}
{' Yes': -0.0024499057, 'Yes': -6.0675936, ' yes': -9.573884, ' ': -10.039971, ' No': -11.6346035}
{' No': -3.4826832, ' ': -8.700697, 'No': -8.216873, ' Yes': -0.03452307, 'Yes': -5.9416027}
{' No': -1.5339171, ' ': -7.886803, 'No': -6.3229837, ' Yes': -0.24816574, 'Yes': -6.301472}
{' No': -0.00772734, ' ': -9.1756935, 'No': -4.9493146, ' A': -12.144945, ' Yes': -7.619377}
{' An': -12.855401, ' No': -0.00829049, ' ': -9.499014, 'No': -4.8078127, ' Yes': -11.99484}
{' ': -11.201808, ' Generally': -11.8175535, ' Yes': -0.0009802122, ' yes': -10.675432, 'Yes': -6.98229}
{' Yes': -0.0042794934, ' No': -5.8987246, 'Yes': -6.5691247, ' ': -9.543595, ' yes': -10.259108}
{' Yes': -0.0011940707, 'Yes': -6.8320103, ' No': -9.978249, ' ': -10.23057, ' yes': -10.442194}
{' No': -1.3870345, ' ': -9.514305, 'No': -7.167876, ' Yes': -0.29003638, 'Yes': -6.8432765}
{' ': -10.782447, ' Generally': -12.418515, ' Yes': -0.0011077214, ' yes': -10.479358, 'Yes': -6.8603864}
{' No': -8.036275, ' ': -9.9464855, ' Yes': -0.0014681377, ' yes': -10.496301, 'Yes': -6.8481145}
{' No': -0.32643008, ' Yes': -1.2892768, 'No': -5.985132, 'Yes': -7.876496, ' ': -9.33708}
{' No': -0.24065539, ' ': -8.350278, 'No': -5.7233195, ' Yes': -1.5604091, 'Yes': -8.072646}
{' No': -0.0036257284, 'No': -5.6423597, ' ': -10.208538, ' Yes': -10.290367, ' A': -13.69994}
{' No': -0.0047487314, ' ': -10.463276, 'No': -5.3593683, ' Yes': -13.604257, ' no': -13.793077}
{' ': -10.835358, ' Generally': -9.116299, ' Yes': -0.0010118936, ' yes': -10.276119, 'Yes': -7.086062}
{' Yes': -0.022746192, ' No': -3.8728435, 'Yes': -6.576127, ' ': -8.843392, 'No': -9.210875}
{' No': -9.068731, ' ': -9.850861, ' Yes': -0.0013407657, ' yes': -10.1975975, 'Yes': -6.785253}
{' No': -0.32872844, ' ': -9.105788, 'No': -6.081689, ' Yes': -1.2826813, 'Yes': -7.739016}
{' ': -10.410482, ' Generally': -9.360257, ' Yes': -0.001272906, ' yes': -9.906389, 'Yes': -6.822371}
{' No': -8.817238, ' ': -10.032572, ' Yes': -0.0013986006, ' yes': -9.968626, 'Yes': -6.781103}
{' No': -0.2143507, ' Generally': -8.950316, 'No': -5.783, ' Yes': -1.6648017, 'Yes': -8.177878}
{' No': -0.23820566, ' ': -8.273903, 'No': -5.637442, ' Yes': -1.571593, 'Yes': -8.072556}
{' No': -0.0039635976, ' ': -10.0680275, 'No': -5.548767, ' A': -12.450337, ' Yes': -11.216969}
{' No': -0.005593278, 'No': -5.198647, ' ': -10.117339, ' An': -12.109726, ' Generally': -12.936871}
{' Yes': -0.0015098073, 'Yes': -6.5511765, ' yes': -10.192929, ' Generally': -10.8756075, ' ': -11.078397}
{' Yes': -0.006823445, ' No': -5.3410134, 'Yes': -6.294686, ' ': -9.402432, ' yes': -9.99621}
{' No': -9.198319, ' ': -10.068486, ' Yes': -0.0016398901, ' yes': -10.145839, 'Yes': -6.535065}
{' No': -0.5755503, ' ': -9.263845, 'No': -6.212673, ' Yes': -0.8331949, 'Yes': -7.1196537}
{' ': -10.450571, ' Generally': -11.547274, ' Yes': -0.0015131489, ' yes': -10.060395, 'Yes': -6.5556817}
{' No': -8.172139, ' ': -9.89734, ' Yes': -0.0016698603, ' yes': -10.232024, 'Yes': -6.65257}
{' No': -0.38479292, ' ': -9.157528, 'No': -5.8336487, ' Yes': -1.1528059, 'Yes': -7.5168157}
{' No': -0.2916761, ' ': -8.155053, 'No': -5.54962, ' Yes': -1.3930212, 'Yes': -7.714516}
{' No': -0.0041464316, ' ': -10.055973, 'No': -5.509044, ' A': -12.900106, ' Yes': -10.140311}
