{' number': -5.9342136, ' 1': -1.799021, ' 2': -0.25823066, ' one': -5.402187, ' two': -2.9497304}
{' #': -5.6728525, ' 1': -1.7838522, ' 2': -0.247977, ' one': -5.588849, ' two': -3.187924}
{' #': -5.765832, ' 1': -1.3640345, ' 2': -0.36103624, ' one': -5.279137, ' two': -3.322214}
{' #': -5.75471, ' 1': -1.580482, ' 2': -0.29193652, ' one': -5.479799, ' two': -3.3006568}
{' #': -5.789699, ' 1': -1.8232409, ' 2': -0.23956168, ' one': -5.5973086, ' two': -3.1746795}
{' #': -5.6994534, ' 1': -1.5454315, ' 2': -0.30130044, ' one': -5.4831047, ' two': -3.3202863}
{' number': -5.7715535, ' 1': -1.1529431, ' 2': -0.4501329, ' one': -5.100003, ' two': -3.373612}
{' #': -5.837265, ' 1': -1.2353116, ' 2': -0.40779322, ' one': -5.22402, ' two': -3.4162235}
{' #': -5.778081, ' 1': -1.0177608, ' 2': -0.5210718, ' one': -4.95149, ' two': -3.4607594}
{' 2': -0.33154392, ' 1': -1.461852, ' two': -3.2362013, ' one': -5.323003, ' #': -5.757684}
{' #': -5.831207, ' 1': -1.3686445, ' 2': -0.360233, ' one': -5.2696977, ' two': -3.2984767}
{' #': -5.804616, ' 1': -1.4671603, ' 2': -0.32656592, ' one': -5.388002, ' two': -3.292016}
{' 2': -0.29336834, ' 1': -1.5850648, ' two': -3.2489269, ' one': -5.4565263, ' #': -5.728818}
{' #': -5.7158074, ' 1': -1.4390289, ' 2': -0.33743402, ' one': -5.367655, ' two': -3.271491}
{' #': -5.7817097, ' 1': -1.781915, ' 2': -0.24516025, ' one': -5.6405764, ' two': -3.2315855}
{' #': -5.6322894, ' 1': -1.4235686, ' 2': -0.3447797, ' one': -5.314922, ' two': -3.243259}
{' #': -5.6705246, ' 1': -1.805753, ' 2': -0.24824658, ' one': -5.5368567, ' two': -3.106767}
{' #': -5.673165, ' 1': -1.6105794, ' 2': -0.2936677, ' one': -5.3665423, ' two': -3.1395516}
{' #': -5.578794, ' 1': -1.5512604, ' 2': -0.3115315, ' one': -5.3153887, ' two': -3.1256108}
{' #': -5.5167365, ' 1': -1.9840485, ' 2': -0.21405962, ' one': -5.7223573, ' two': -3.109054}
{' #': -5.6386323, ' 1': -1.5752606, ' 2': -0.29783487, ' one': -5.4125366, ' two': -3.229046}
{' #': -5.70651, ' 1': -1.9700767, ' 2': -0.21481808, ' one': -5.7352877, ' two': -3.1212857}
{' #': -5.69397, ' 1': -1.9879137, ' 2': -0.2088001, ' one': -5.75561, ' two': -3.1731782}
{' 2': -0.17729081, ' 1': -2.1978579, ' two': -3.1708114, ' #': -5.667087, ' number': -5.7510896}
{' number': -6.1031103, ' #': -5.8280554, ' 1': -2.2892585, ' 2': -0.16070522, ' two': -3.2314734}
{' #': -5.767421, ' 1': -1.6083775, ' 2': -0.29132843, ' one': -5.474978, ' two': -3.1638906}
{' #': -5.5094314, ' 1': -1.6757177, ' 2': -0.27768844, ' one': -5.521461, ' two': -3.1248753}
{' #': -5.6477757, ' 1': -1.2235312, ' 2': -0.41984704, ' one': -5.221026, ' two': -3.3121064}
{' #': -5.6469455, ' 1': -1.3655833, ' 2': -0.36411464, ' one': -5.3156724, ' two': -3.2588384}
{' number': -5.7430277, ' #': -5.614587, ' 1': -1.8953282, ' 2': -0.22680248, ' two': -3.158073}
{' #': -5.7099466, ' 1': -1.4634755, ' 2': -0.33210316, ' one': -5.335898, ' two': -3.2164702}
{' number': -5.726761, ' 1': -1.6923358, ' 2': -0.27185306, ' one': -5.5793605, ' two': -3.1335282}
{' #': -5.613284, ' 1': -1.192201, ' 2': -0.43530974, ' one': -5.09711, ' two': -3.3182178}
{' #': -5.633441, ' 1': -1.3803756, ' 2': -0.36243695, ' one': -5.271132, ' two': -3.207156}
{' #': -5.678437, ' 1': -1.2305932, ' 2': -0.4167885, ' one': -5.1699443, ' two': -3.3124528}
{' #': -5.575974, ' 1': -1.354658, ' 2': -0.37543276, ' one': -5.159679, ' two': -3.16662}
{' #': -5.649608, ' 1': -1.2253635, ' 2': -0.41998163, ' one': -5.1230845, ' two': -3.3058858}
{' #': -5.508601, ' 1': -1.4821255, ' 2': -0.33157837, ' one': -5.312855, ' two': -3.1597834}
{' 2': -0.32992104, ' 1': -1.4752495, ' two': -3.2142382, ' one': -5.3449993, ' #': -5.5671673}
{' number': -5.649134, ' 1': -1.6978995, ' 2': -0.27112842, ' one': -5.5335345, ' two': -3.140097}
{' #': -5.5817323, ' 1': -1.968027, ' 2': -0.22106533, ' one': -5.660933, ' two': -3.033382}
{' #': -5.4988475, ' 1': -1.3917887, ' 2': -0.35371044, ' one': -5.3596206, ' two': -3.3032782}
{' #': -5.6390643, ' 1': -1.3772676, ' 2': -0.36198214, ' one': -5.2795987, ' two': -3.2365568}
{' #': -5.5850954, ' 1': -1.4782645, ' 2': -0.33089116, ' one': -5.3435025, ' two': -3.1748052}
{' #': -5.6112547, ' 1': -1.1558429, ' 2': -0.4513427, ' one': -5.07934, ' two': -3.3457365}
{' #': -5.5512176, ' 1': -1.4083161, ' 2': -0.3562112, ' one': -5.2406454, ' two': -3.1577857}
{' #': -5.545693, ' 1': -1.41922, ' 2': -0.35109708, ' one': -5.255659, ' two': -3.1797922}
{' #': -5.565247, ' 1': -1.6816282, ' 2': -0.2762213, ' one': -5.5015073, ' two': -3.1266813}
{' #': -5.5563164, ' 1': -1.4257967, ' 2': -0.34674683, ' one': -5.309623, ' two': -3.2083645}
{' #': -5.5977287, ' 1': -1.6092844, ' 2': -0.2902574, ' one': -5.5237713, ' two': -3.201987}
{' #': -5.575757, ' 1': -2.095091, ' 2': -0.20317675, ' one': -5.738017, ' two': -2.9834366}
{' number': -5.710929, ' #': -5.716603, ' 1': -1.9564385, ' 2': -0.21976899, ' two': -3.080456}
{' #': -5.557173, ' 1': -1.6534779, ' 2': -0.28628665, ' one': -5.4298735, ' two': -3.084415}
{' #': -5.565252, ' 1': -1.9406574, ' 2': -0.22603682, ' one': -5.678963, ' two': -3.034804}
{' #': -5.4916396, ' 1': -1.8081588, ' 2': -0.25432384, ' one': -5.500754, ' two': -3.0166926}
{' number': -5.729815, ' #': -5.370991, ' 1': -2.1737134, ' 2': -0.19447304, ' two': -2.9625182}
{' #': -5.5025067, ' 1': -1.9085569, ' 2': -0.23258117, ' one': -5.5979204, ' two': -3.0367174}
{' #': -5.477894, ' 1': -1.8655586, ' 2': -0.2410546, ' one': -5.575314, ' two': -3.0405178}
{' number': -5.7537293, ' #': -5.5498424, ' 1': -2.0531728, ' 2': -0.20491594, ' two': -3.067634}
{' number': -5.6368985, ' #': -5.4838777, ' 1': -2.2782695, ' 2': -0.17626469, ' two': -3.024365}
{' #': -5.6811705, ' 1': -1.9782449, ' 2': -0.21116096, ' one': -5.8332844, ' two': -3.157616}
{' #': -5.865717, ' 1': -2.4193819, ' 2': -0.17957872, ' one': -5.747679, ' two': -2.7112901}
{' #': -5.866867, ' 1': -1.6860254, ' 2': -0.2752894, ' one': -5.4318843, ' two': -3.0891569}
{' #': -5.903929, ' 1': -2.4157133, ' 2': -0.16934124, ' one': -5.8701324, ' two': -2.8448951}
{' #': -5.868265, ' 1': -2.3904893, ' 2': -0.17753582, ' one': -5.7744427, ' two': -2.775812}
{' 2': -0.12354479, ' two': -2.770094, ' 1': -3.0726416, ' #': -5.8725758, ' number': -5.925834}
{' 2': -0.20793912, ' 1': -2.186905, ' two': -2.7191105, ' one': -5.512516, ' #': -5.87747}
{' #': -5.8934646, ' 1': -2.468354, ' 2': -0.17038985, ' one': -5.8533297, ' two': -2.7592037}
{' #': -5.766646, ' 1': -1.1811401, ' 2': -0.44101247, ' one': -5.0176654, ' two': -3.2923784}
{' #': -5.767443, ' 1': -2.163627, ' 2': -0.2081749, ' one': -5.508403, ' two': -2.7699368}
{' #': -5.783501, ' 1': -2.3029504, ' 2': -0.18722014, ' one': -5.684854, ' two': -2.7900338}
{' #': -5.748082, ' 1': -1.3268158, ' 2': -0.38610193, ' one': -5.0620413, ' two': -3.1510513}
{' 2': -0.3216655, ' 1': -1.5167493, ' two': -3.1137986, ' one': -5.231076, ' #': -5.763566}
{' 2': -0.30538097, ' 1': -1.5786124, ' two': -3.0877886, ' one': -5.3160915, ' #': -5.6694226}
{' 2': -0.37267858, ' 1': -1.3550394, ' two': -3.1865082, ' one': -5.2127666, ' #': -5.6630874}
{' 2': -0.2322875, ' 1': -1.9111814, ' two': -3.0078306, ' one': -5.5593877, ' #': -5.7402797}
{' #': -5.675165, ' 1': -2.2273057, ' 2': -0.2058482, ' one': -5.6106033, ' two': -2.688169}
{' #': -5.725556, ' 1': -2.3447733, ' 2': -0.18602493, ' one': -5.7363725, ' two': -2.7480767}
{' 2': -0.34082913, ' 1': -1.4689076, ' two': -3.0543718, ' one': -5.2496405, ' #': -5.7183814}
{' #': -5.8355455, ' 1': -2.2566142, ' 2': -0.19411625, ' one': -5.6370664, ' two': -2.777618}
{' #': -5.8207774, ' 1': -2.0803406, ' 2': -0.21334392, ' one': -5.52999, ' two': -2.8592904}
{' #': -5.7903323, ' 1': -1.3054633, ' 2': -0.39628172, ' one': -5.0403314, ' two': -3.1301398}
{' #': -5.7427387, ' 1': -2.1220317, ' 2': -0.21430728, ' one': -5.5023937, ' two': -2.7690847}
{' #': -5.754484, ' 1': -2.178668, ' 2': -0.2061969, ' one': -5.6383657, ' two': -2.7611856}
{' number': -5.932849, ' #': -5.8218875, ' 1': -2.603614, ' 2': -0.16179207, ' two': -2.7040951}
{' number': -5.830653, ' #': -5.8102293, ' 1': -2.6289027, ' 2': -0.15534231, ' two': -2.762083}
{' 2': -0.16537645, ' two': -2.6129777, ' 1': -2.654682, ' #': -5.7207375, ' number': -5.8775916}
{' number': -5.8471084, ' #': -5.7845883, ' 1': -2.8437092, ' 2': -0.14405775, ' two': -2.6927276}
{' number': -5.83279, ' #': -5.7857127, ' 1': -2.6021779, ' 2': -0.16406198, ' two': -2.6843657}
{' number': -5.8875275, ' #': -5.78855, ' 1': -2.9713485, ' 2': -0.13930243, ' two': -2.6482728}
{' #': -5.6907845, ' 1': -1.8010033, ' 2': -0.25680438, ' one': -5.388699, ' two': -2.9848773}
{' #': -5.6248317, ' 1': -2.2990036, ' 2': -0.18180677, ' one': -5.7980347, ' two': -2.8761253}
{' #': -5.7099156, ' 1': -1.9997622, ' 2': -0.21915703, ' one': -5.5973134, ' two': -2.963635}
{' number': -5.8968873, ' #': -5.8087964, ' 1': -3.040132, ' 2': -0.13134746, ' two': -2.6949267}
{' #': -5.692719, ' 1': -2.2023323, ' 2': -0.18553622, ' one': -5.813551, ' two': -3.00504}
{' number': -5.805481, ' #': -5.728036, ' 1': -3.3670533, ' 2': -0.11115803, ' two': -2.7642398}
{' 2': -0.1901368, ' 1': -2.1417835, ' two': -3.0477188, ' one': -5.816652, ' #': -5.9110475}
{' number': -5.587201, ' 1': -2.131155, ' 2': -0.18812756, ' one': -5.642568, ' two': -3.176809}
{' number': -5.605437, ' 1': -2.375862, ' 2': -0.15973637, ' one': -5.824421, ' two': -3.1044135}
{' number': -5.5382175, ' 1': -2.2938106, ' 2': -0.1708038, ' one': -5.7270665, ' two': -3.0908515}
{' number': -5.5045276, ' 1': -2.2997127, ' 2': -0.17152746, ' one': -5.696383, ' two': -3.0760415}
{' number': -5.458034, ' #': -5.809646, ' 1': -2.5487685, ' 2': -0.14119692, ' two': -3.137195}
{' number': -5.624279, ' 1': -1.970852, ' 2': -0.21720538, ' one': -5.3992267, ' two': -3.1161616}
{' number': -5.4342923, ' #': -5.6326575, ' 1': -2.2077942, ' 2': -0.18152244, ' two': -3.118637}
{' number': -5.459508, ' 1': -1.9795069, ' 2': -0.21659224, ' one': -5.406387, ' two': -3.127614}
{' number': -5.388184, ' 1': -1.9287373, ' 2': -0.22899401, ' one': -5.327955, ' two': -3.0905359}
{' 2': -0.22945376, ' 1': -1.8927305, ' two': -3.1773028, ' one': -5.3886375, ' number': -5.484329}
{' number': -5.422955, ' 1': -1.8617167, ' 2': -0.24290232, ' one': -5.235334, ' two': -3.0745463}
{' number': -5.445018, ' 1': -2.1072552, ' 2': -0.20012602, ' one': -5.447354, ' two': -3.0575917}
{' number': -5.301528, ' #': -5.4425497, ' 1': -2.1710663, ' 2': -0.1953452, ' two': -3.0067348}
{' number': -5.2591257, ' #': -5.470128, ' 1': -2.3676243, ' 2': -0.16930974, ' two': -3.0225086}
{' number': -5.243585, ' #': -5.5529966, ' 1': -2.530916, ' 2': -0.15634689, ' two': -2.948175}
{' 2': -0.15576708, ' 1': -2.5036025, ' two': -2.978229, ' number': -5.438005, ' #': -5.61455}
{' number': -5.2831974, ' #': -5.4794683, ' 1': -2.2019749, ' 2': -0.19041842, ' two': -3.0114577}
{' 2': -0.19521731, ' 1': -2.1582186, ' two': -3.0140476, ' number': -5.386402, ' one': -5.508648}
{' 2': -0.2046834, ' 1': -2.0421162, ' two': -3.130314, ' one': -5.4882984, ' number': -5.525943}
{' number': -5.4358187, ' 1': -1.9949771, ' 2': -0.21350603, ' one': -5.443864, ' two': -3.130744}
{' number': -5.3783507, ' 1': -1.933698, ' 2': -0.23183188, ' one': -5.2941437, ' two': -3.0300286}
{' number': -5.4303436, ' 1': -2.148109, ' 2': -0.1976332, ' one': -5.469258, ' two': -3.001495}
{' number': -5.37121, ' #': -5.59756, ' 1': -2.2712564, ' 2': -0.18195656, ' two': -2.9829264}
{' number': -5.4646187, ' #': -5.6387863, ' 1': -2.363373, ' 2': -0.17077284, ' two': -2.9694026}
{' number': -5.3246574, ' #': -5.5321784, ' 1': -2.5014594, ' 2': -0.15488249, ' two': -3.0071487}
{' number': -5.5069766, ' #': -5.600448, ' 1': -2.4694746, ' 2': -0.16133118, ' two': -2.938042}
{' number': -5.3817577, ' #': -5.536327, ' 1': -2.5280998, ' 2': -0.1529357, ' two': -2.9905972}
{' number': -5.3515763, ' #': -5.5073895, ' 1': -2.4202583, ' 2': -0.16761288, ' two': -2.940234}
{' number': -5.378884, ' #': -5.517916, ' 1': -2.575955, ' 2': -0.15298904, ' two': -2.9241226}
{' number': -5.353989, ' #': -5.4592795, ' 1': -2.3553562, ' 2': -0.17268744, ' two': -2.9827821}
{' 2': -0.15826993, ' 1': -2.5217361, ' two': -2.9193726, ' number': -5.3819757, ' #': -5.5271006}
{' number': -5.466517, ' #': -5.554639, ' 1': -2.498377, ' 2': -0.15681484, ' two': -2.9684947}
{' number': -5.2896357, ' #': -5.414424, ' 1': -2.6857522, ' 2': -0.14246301, ' two': -2.9535651}
{' number': -5.3679166, ' #': -5.4545045, ' 1': -2.785033, ' 2': -0.1307438, ' two': -3.0106592}
{' number': -5.2776194, ' #': -5.546587, ' 1': -2.9867709, ' 2': -0.120563895, ' two': -2.9608884}
{' number': -5.5705137, ' 1': -1.7061827, ' 2': -0.25778803, ' one': -5.5220246, ' two': -3.3784814}
{' #': -5.9808164, ' 1': -1.7658578, ' 2': -0.23752609, ' one': -5.8089523, ' two': -3.4256268}
{' 2': -0.25255212, ' 1': -1.7187387, ' two': -3.3319435, ' one': -5.7315164, ' number': -6.0488334}
{' number': -6.0275493, ' 1': -1.9047341, ' 2': -0.21269664, ' one': -5.93038, ' two': -3.3404238}
{' 2': -0.25833288, ' 1': -1.6864562, ' two': -3.3724399, ' one': -5.7395782, ' number': -6.026432}
{' number': -5.8809896, ' 1': -1.8440547, ' 2': -0.22659455, ' one': -5.8318176, ' two': -3.3167775}
{' #': -6.1082354, ' 1': -1.7197695, ' 2': -0.2516984, ' one': -5.627132, ' two': -3.347716}
{' number': -5.897769, ' 1': -1.6515942, ' 2': -0.2679272, ' one': -5.6719413, ' two': -3.3702161}
{' number': -5.926355, ' 1': -1.5921553, ' 2': -0.28212166, ' one': -5.6202316, ' two': -3.4007683}
{' number': -5.8873663, ' 1': -1.4860095, ' 2': -0.31465328, ' one': -5.4818034, ' two': -3.3848875}
{' number': -5.9638796, ' 1': -1.6040576, ' 2': -0.27885658, ' one': -5.630486, ' two': -3.398977}
{' #': -5.8667445, ' 1': -1.7363695, ' 2': -0.24872333, ' one': -5.5899477, ' two': -3.3526092}
{' number': -5.9557934, ' 1': -1.6322523, ' 2': -0.27428702, ' one': -5.5724463, ' two': -3.3472583}
{' #': -5.738413, ' 1': -1.6776907, ' 2': -0.26459706, ' one': -5.6588016, ' two': -3.3274612}
{' number': -5.921195, ' 1': -1.6153079, ' 2': -0.27412528, ' one': -5.653373, ' two': -3.4426432}
{' number': -5.907416, ' 1': -1.9711099, ' 2': -0.20501953, ' one': -5.8678184, ' two': -3.275296}
{' #': -5.9619107, ' 1': -1.937915, ' 2': -0.21066393, ' one': -5.835088, ' two': -3.2766886}
{' number': -5.820156, ' 1': -1.8638585, ' 2': -0.22436087, ' one': -5.814088, ' two': -3.29853}
{' number': -5.8725877, ' 1': -1.4638898, ' 2': -0.31821993, ' one': -5.535545, ' two': -3.4514346}
{' number': -5.924589, ' 1': -1.5963866, ' 2': -0.28141457, ' one': -5.616597, ' two': -3.394341}
{' number': -5.9731255, ' 1': -1.3139544, ' 2': -0.36878872, ' one': -5.411539, ' two': -3.5094151}
{' #': -5.870467, ' 1': -1.5714114, ' 2': -0.29130572, ' one': -5.5390224, ' two': -3.3445377}
{' number': -5.9266133, ' 1': -1.7521731, ' 2': -0.2474028, ' one': -5.646386, ' two': -3.3025672}
{' number': -5.8714266, ' 1': -1.8157147, ' 2': -0.23420992, ' one': -5.7425895, ' two': -3.2865553}
{' 2': -0.25320545, ' 1': -1.7213851, ' two': -3.3250475, ' one': -5.7010765, ' number': -5.9229717}
{' number': -5.8635197, ' 1': -1.5623863, ' 2': -0.29126823, ' one': -5.604407, ' two': -3.3887126}
{' #': -6.0620956, ' 1': -2.2447994, ' 2': -0.16534503, ' one': -6.036462, ' two': -3.2357411}
{' number': -5.9061847, ' #': -5.9109917, ' 1': -2.0499747, ' 2': -0.19403106, ' two': -3.235926}
{' number': -5.806369, ' 1': -1.8695765, ' 2': -0.22667019, ' one': -5.750411, ' two': -3.2371223}
{' number': -5.859364, ' 1': -1.9245679, ' 2': -0.21750046, ' one': -5.764769, ' two': -3.205108}
{' #': -5.561082, ' 1': -1.8662324, ' 2': -0.22628836, ' one': -5.7459335, ' two': -3.2733254}
{' number': -5.8628597, ' #': -5.750859, ' 1': -2.3027165, ' 2': -0.16266577, ' two': -3.1836693}
{' #': -5.8561516, ' 1': -1.6255362, ' 2': -0.27546537, ' one': -5.5889864, ' two': -3.3692513}
{' #': -5.8662233, ' 1': -2.0685709, ' 2': -0.19342798, ' one': -5.888015, ' two': -3.1966438}
{' number': -5.8602157, ' #': -5.8883505, ' 1': -2.2275522, ' 2': -0.16827196, ' two': -3.2459238}
{' 2': -0.16355222, ' 1': -2.2454345, ' two': -3.3026302, ' number': -5.8361144, ' #': -5.846536}
{' number': -6.218141, ' #': -6.06571, ' 1': -2.3905745, ' 2': -0.14197823, ' two': -3.366021}
{' #': -5.865438, ' 1': -1.5213238, ' 2': -0.3115002, ' one': -5.41167, ' two': -3.2446609}
{' #': -5.8307405, ' 1': -1.6499728, ' 2': -0.27885422, ' one': -5.516256, ' two': -3.1886039}
{' number': -5.8640194, ' 1': -1.8944265, ' 2': -0.22379886, ' one': -5.782169, ' two': -3.189657}
{' #': -5.8963494, ' 1': -1.5766147, ' 2': -0.29339263, ' one': -5.5255675, ' two': -3.2721467}
{' number': -5.861268, ' #': -5.9177847, ' 1': -2.091902, ' 2': -0.19023342, ' two': -3.1838455}
{' 2': -0.30403137, ' 1': -1.5370502, ' two': -3.286728, ' one': -5.4280086, ' #': -5.9243507}
{' number': -5.7915225, ' 1': -1.7702945, ' 2': -0.24966285, ' one': -5.651862, ' two': -3.1953986}
{' #': -5.834154, ' 1': -1.4916185, ' 2': -0.31885654, ' one': -5.3985786, ' two': -3.2843792}
{' #': -5.704421, ' 1': -1.4261384, ' 2': -0.3452554, ' one': -5.260709, ' two': -3.223593}
{' #': -5.793798, ' 1': -1.4140795, ' 2': -0.34442705, ' one': -5.331606, ' two': -3.2946851}
{' #': -5.8355145, ' 1': -1.4937341, ' 2': -0.32099512, ' one': -5.335836, ' two': -3.2362154}
{' 2': -0.2617379, ' 1': -1.7191926, ' two': -3.1906796, ' one': -5.5304213, ' #': -5.8272166}
{' #': -5.5177264, ' 1': -1.8356776, ' 2': -0.23805968, ' one': -5.678305, ' two': -3.1810696}
{' #': -5.7259226, ' 1': -1.5620295, ' 2': -0.2998929, ' one': -5.429107, ' two': -3.2606225}
{' number': -5.8143578, ' #': -5.833353, ' 1': -2.1242223, ' 2': -0.19000676, ' two': -3.110905}
{' 2': -0.21293733, ' 1': -1.9912958, ' two': -3.086562, ' one': -5.685724, ' #': -5.7478795}
{' #': -5.6980467, ' 1': -1.9118911, ' 2': -0.22506052, ' one': -5.7082677, ' two': -3.1349268}
{' #': -5.740218, ' 1': -1.6514277, ' 2': -0.28116938, ' one': -5.461004, ' two': -3.1596103}
{' #': -5.722647, ' 1': -1.5409468, ' 2': -0.30732912, ' one': -5.408222, ' two': -3.235792}
{' #': -5.704214, ' 1': -1.3661889, ' 2': -0.36150435, ' one': -5.2758517, ' two': -3.3093057}
{' #': -5.749643, ' 1': -1.6182609, ' 2': -0.2875304, ' one': -5.4511313, ' two': -3.193437}
{' #': -5.7476234, ' 1': -1.5496061, ' 2': -0.30637342, ' one': -5.383188, ' two': -3.207176}
{' #': -5.6710863, ' 1': -2.0098424, ' 2': -0.21237633, ' one': -5.695062, ' two': -3.057576}
{' 2': -0.29524317, ' 1': -1.5990533, ' two': -3.1667488, ' one': -5.423826, ' #': -5.649396}
{' 2': -0.21230733, ' 1': -1.9820864, ' two': -3.130804, ' #': -5.7258043, ' number': -5.7525015}
{' 2': -0.23462133, ' 1': -1.8472655, ' two': -3.1819882, ' one': -5.662134, ' #': -5.6938744}
{' number': -5.7537456, ' #': -5.6882157, ' 1': -2.307562, ' 2': -0.17099975, ' two': -3.0292854}
{' number': -5.70157, ' #': -5.6158557, ' 1': -2.0855634, ' 2': -0.2042406, ' two': -2.9956298}
{' 2': -0.17343743, ' 1': -2.319964, ' two': -2.9641707, ' #': -5.714473, ' number': -5.799541}
{' #': -5.6264763, ' 1': -1.9241655, ' 2': -0.22903037, ' one': -5.584378, ' two': -3.0377672}
