{' even': -1.0942594, ' odd': -1.5870781, ' Right': -2.7791169, ' the': -3.3494256, ' 0': -3.576772}
{' odd': -0.37322065, ' even': -2.6304207, ' 1': -2.7934513, ' Odd': -2.9686766, ':': -3.4620457}
{' even': -0.04992179, ' Even': -4.368511, ' ': -5.2055097, '\n': -5.219248, ':': -5.4022193}
{' odd': -0.05656861, ' Odd': -3.223756, ' ': -5.7337446, ':': -5.8881035, '\n': -6.386519}
{' even': -0.05186698, ':': -3.9232183, ' ': -4.6927037, '?': -5.2235436, ' Even': -5.4843593}
{' odd': -0.09029622, ' Odd': -2.9911807, ' 1': -4.214516, ' even': -5.142438, ' ': -5.3944325}
{':': -4.168428, ' Even': -3.333851, ' EVEN': -4.373676, ' odd': -3.251056, ' even': -0.16008326}
{' odd': -0.027038788, ' Odd': -4.653105, ' even': -4.755983, ' ': -6.0471454, ':': -6.25869}
{' even': -0.51676655, ' 0': -2.1267948, ' -->': -2.4481754, '-->': -3.0061693, ' EVEN': -3.3671837}
{'\n': -5.082579, ' Odd': -2.0278106, ' ': -4.7897134, ':': -4.6929536, ' odd': -0.19387685}
{':': -5.519508, ' Even': -5.4997096, ' odd': -4.172699, ' 0': -3.6452663, ' even': -0.0715561}
{' Odd': -2.5095134, ' ': -2.9403348, ' 1': -2.4041095, ' odd': -0.73143244, ' even': -1.8243108}
{' 0': -0.58905286, ' ': -2.2725294, ':': -2.5144973, ' even': -2.813397, '\n': -2.8195138}
{' 1': -0.6597322, ' odd': -0.99770015, ' 0': -2.8530695, ' even': -3.9896004, ' Odd': -4.8712296}
{' even': -0.090309724, ' 0': -3.632547, ' ': -4.0289474, '\n': -4.5589786, ':': -4.9175005}
{' odd': -0.119864486, ' Odd': -2.5191555, ' 1': -4.31223, ' ': -4.5898447, ':': -5.7330317}
{' even': -0.08885728, ' Even': -3.132152, ':': -4.2652335, ' ->': -4.9347796, ' ': -5.3932242}
{' odd': -0.63059187, ' even': -1.4875941, ' Odd': -2.4047894, ' 1': -3.2746377, ':': -3.52078}
{'\n': -3.5357573, ' ': -3.9536858, ':': -4.118193, ' odd': -4.6872816, ' even': -0.11052627}
{'\n': -6.320303, ' Odd': -2.4066148, ' ': -6.234437, ' 1': -4.838878, ' odd': -0.11620467}
{' even': -0.012564916, ' Even': -5.7029424, ' 0': -6.5465846, ' EVEN': -7.0944624, ' odd': -7.1065645}
{' Odd': -2.9684582, ' 1': -3.4756868, ' odd': -0.38646308, ' 0': -3.7074583, ' even': -1.8361683}
{'\n': -4.914642, ' ': -5.161288, ' Even': -4.1368394, ' odd': -4.00571, ' even': -0.07360999}
{' Odd': -2.9964797, ' ': -4.7106304, ':': -5.0128894, ' odd': -0.16257186, ' even': -2.900916}
{' even': -0.033784624, ' ': -5.0368505, ' Even': -5.118004, ':': -5.748521, '\n': -5.996948}
{'\n': -5.8994308, ' Odd': -3.0116847, ' ': -5.8218317, ' odd': -0.0697292, ' even': -5.304139}
{' ': -5.6222653, ':': -5.4580774, ' Even': -4.0303636, ' odd': -5.2112513, ' even': -0.04483784}
{'\n': -6.315713, ' Odd': -2.2157292, ' ': -5.8900094, ' 1': -5.459226, ' odd': -0.13104308}
{'\n': -4.5895767, ' ': -4.94667, ':': -3.2787971, ' Even': -2.2346716, ' even': -0.21380617}
{' odd': -0.38191646, ' Odd': -2.4603896, ' 1': -2.7284043, ' even': -2.8198225, ' 0': -3.6552508}
{' Odd': -5.9684076, ' an': -5.721198, ' Even': -4.643579, ' odd': -3.1074111, ' even': -0.07025326}
{' even': -0.62400347, ' odd': -1.0888072, ':': -4.0982018, ' 1': -4.1404495, ' 0': -4.4989243}
{' even': -0.021689434, ' Even': -4.6742373, ':': -5.4977803, ' EVEN': -6.823509, '\n': -6.8804297}
{' odd': -0.030418392, ' Odd': -4.322674, ' even': -5.3447285, ' 1': -5.989297, ':': -6.202341}
{' Odd': -4.0845923, ':': -3.420931, ' Even': -3.1706357, ' odd': -1.8769858, ' even': -0.49409813}
{' odd': -0.32957613, ' even': -1.4643588, ' Odd': -4.21143, ':': -4.8187785, ' ': -5.2556787}
{' even': -0.02949524, ' Even': -4.0624743, ':': -5.6610465, ' ': -6.5121384, ' EVEN': -6.9108014}
{' Odd': -3.8587387, ' ': -6.00239, ':': -6.278497, ' odd': -0.09586128, ' even': -2.856628}
{' even': -0.23942421, ' odd': -2.553348, ':': -3.2590697, ' Even': -3.3725896, ' ': -5.0597405}
{' odd': -0.04797171, ' even': -3.4954298, ' Odd': -4.757828, ':': -6.242433, ' ': -6.59684}
{' even': -0.026883073, ' Even': -4.4840455, ':': -5.5315266, ' odd': -6.231866, ' ': -6.600545}
{' odd': -0.046782047, ' Odd': -3.5443203, ' even': -5.113198, ':': -5.412935, ' ': -6.0715866}
{' even': -0.031047536, ' Even': -4.7208996, ':': -5.2440424, ' ': -5.7354198, '\n': -5.862477}
{' odd': -0.020691108, ' Odd': -4.7809825, ' 1': -6.0370655, ':': -6.367628, ' ': -6.4737306}
{' ': -5.6598215, ':': -6.2216935, ' Even': -5.940075, ' odd': -5.949207, ' even': -0.017807286}
{' Odd': -2.7963357, ':': -4.7481923, ' 1': -5.056569, ' odd': -0.14033203, ' even': -3.704403}
{' even': -0.21879475, ' Even': -2.392308, ' 0': -3.294375, ':': -4.105683, ' ': -4.3937106}
{' Odd': -2.638226, ':': -4.5612636, ' 1': -4.3137426, ' odd': -0.15462358, ' even': -4.0188174}
{' even': -0.32499892, '\n': -2.2325325, ' ': -2.4384205, ' Even': -4.168043, ':': -4.189894}
{' odd': -0.23241307, ' 1': -1.9604583, ' Odd': -3.867207, '\n': -3.897743, ' ': -4.8874784}
{' even': -0.07750058, ' 0': -3.6950142, ' Even': -4.5206056, ' odd': -5.2882032, ' ': -5.3341618}
{' Odd': -2.7301493, ':': -3.2318373, ' 1': -3.413309, ' odd': -0.34468192, ' even': -2.763981}
{' even': -0.016669124, ' Even': -5.2092805, ':': -5.4548764, ' ': -6.314081, '\n': -7.203852}
{' odd': -0.062390387, ' 1': -3.8549936, '\n': -4.8617, ' Odd': -4.9730844, ' even': -5.1574183}
{' even': -0.09021148, ' Even': -3.0465996, ':': -4.7538543, ' ': -5.019051, '\n': -5.02659}
{' odd': -0.15373494, ' 1': -2.4313705, ' Odd': -3.4089406, ' even': -5.3592124, ' 0': -5.363675}
{'\n': -5.3585896, ' ': -4.340091, ':': -4.026832, ' Even': -5.1912193, ' even': -0.058113705}
{'\n': -5.549937, ' Odd': -3.3288558, ' 1': -4.6115646, ' odd': -0.07259011, ' even': -4.72301}
{'\n': -5.07095, ' ': -4.319205, ':': -5.1273484, ' Even': -4.960028, ' even': -0.051281862}
{' odd': -0.34959188, ' Odd': -1.3614413, ' 1': -4.830996, ':': -4.8635964, '\n': -5.2476487}
{' even': -0.06914466, ' 0': -3.9941819, ' Even': -4.1588526, ' EVEN': -5.0828834, ' odd': -5.1493936}
{' Odd': -1.7264807, ' ': -3.3109522, ':': -2.3549206, ' odd': -0.610059, ' even': -2.9289877}
{' even': -0.23909923, ' 0': -2.286846, ':': -3.7726264, ' Even': -4.0248485, '\n': -4.090409}
{' odd': -0.30837998, ' even': -1.722166, ' 1': -3.8141754, ' Odd': -4.1970053, ' ': -4.347894}
{'\n': -5.7891326, ' ': -5.338287, ':': -5.3922048, ' Even': -3.408974, ' even': -0.05582768}
{' odd': -0.038442247, ' Odd': -4.633262, ' 1': -4.641887, ' ': -5.2523947, '\n': -5.6011295}
{' even': -0.029666036, ' Even': -4.745263, ':': -5.141883, '\n': -5.7825775, ' ': -6.016781}
{'\n': -4.142087, ' Odd': -2.982656, ' 1': -3.2450852, ' odd': -0.19548768, ' even': -2.9104273}
{' even': -0.14846522, ' 0': -3.2934341, '\n': -3.388195, ' Even': -4.127017, ':': -4.1661024}
{' Odd': -3.0603614, ' ': -5.2862954, ':': -5.648922, ' 1': -5.3434186, ' odd': -0.07871593}
{' even': -0.0205093, ' Even': -5.0145826, ' odd': -5.8198586, ' an': -6.259154, ' EVEN': -6.642028}
{' Odd': -3.9125953, ' ': -7.0078197, ' 1': -6.1114426, ' odd': -0.03276782, ' even': -5.073506}
{' even': -0.07753981, ':': -3.6113646, ' Even': -4.071763, ' EVEN': -5.015193, '\n': -5.5066977}
{' odd': -0.046748564, ' Odd': -4.205889, ' 1': -5.1706114, ' even': -5.250393, '\n': -5.5060267}
{' even': -0.008141752, ' odd': -5.561694, ' Even': -6.2449145, ' ': -7.35967, ' an': -7.8005433}
{' odd': -0.10416086, ' Odd': -2.9027717, ':': -4.8233404, ' ': -4.9360204, ' 1': -5.196384}
{'\n': -5.8343844, ':': -4.630646, ' Even': -4.1746, ' odd': -4.593627, ' even': -0.055225708}
{'\n': -5.3668237, ' Odd': -1.9421058, ' ': -5.4003415, ':': -5.539997, ' odd': -0.18421127}
{'\n': -5.482498, ' ': -4.8112617, ':': -5.4812384, ' Even': -5.135191, ' even': -0.03660583}
{' odd': -0.09333474, ' Odd': -3.216784, ' even': -3.9203725, ' 1': -5.287906, ' ': -5.3051047}
{' an': -5.120064, ' Even': -5.0101595, ' odd': -4.1092052, ' 0': -5.840525, ' even': -0.048591774}
{' even': -0.6207374, ' odd': -1.5037262, ' 0': -2.9380276, ':': -3.2187653, ' 1': -3.6704257}
{':': -3.3428988, ' 1': -3.9055362, ' odd': -3.366051, ' 0': -2.489802, ' even': -0.31362197}
{' Odd': -4.1856737, ':': -5.4729867, ' 1': -5.8339434, ' odd': -0.10900724, ' even': -2.7186577}
{' even': -0.02124153, ' Even': -4.717817, ' ': -6.2724385, ':': -6.3138433, ' odd': -6.5539494}
{' Odd': -3.0838916, ':': -4.567821, ' 1': -5.7742743, ' odd': -0.078478575, ' even': -5.0038285}
{':': -3.111602, ' Even': -4.3181214, ' odd': -2.251939, ' 0': -3.1254504, ' even': -0.33591223}
{' Odd': -3.9800923, ' ': -5.270196, ' Even': -5.1380453, ' odd': -0.3103679, ' even': -1.493066}
{' ': -5.0939403, ':': -4.39055, ' Even': -5.6066413, ' odd': -4.470984, ' even': -0.048607543}
{' odd': -0.028144747, ' Odd': -4.420561, ' even': -4.9230986, ':': -6.2563596, ' ': -6.548918}
{' ': -5.4157553, ':': -4.210227, ' Even': -3.776894, ' odd': -4.398925, ' even': -0.072944656}
{' Odd': -3.0501544, ':': -3.2202744, ' 1': -2.7098434, ' odd': -0.33556926, ' even': -3.2327278}
{' even': -0.03553358, ' ': -4.773975, ':': -5.1137958, '\n': -5.682846, ' Even': -5.7079377}
{' Odd': -3.7692776, ':': -5.6705055, ' 1': -6.1714153, ' odd': -0.039786708, ' even': -6.5019383}
{'\n': -5.989331, ' ': -5.5231013, ':': -5.6151295, ' Even': -5.0824327, ' even': -0.02776993}
{'\n': -4.9760337, ' Odd': -3.4708762, ' ': -4.5766187, ' 1': -4.439228, ' odd': -0.08226336}
{' ': -4.8612156, ':': -3.770994, ' Even': -3.559865, ' 0': -3.665633, ' even': -0.12290099}
{' odd': -0.101040475, ' Odd': -3.7938752, '\n': -4.3147626, ' 1': -4.3300347, ' ': -4.3798766}
{' -->': -2.7299044, ' ': -3.1066313, ' Even': -3.8201544, ' ->': -2.7001886, ' even': -0.28673005}
{'\n': -5.658498, ' Odd': -4.3304405, ' ': -5.4514194, ' 1': -3.8469892, ' odd': -0.057013374}
{' even': -0.057749778, ' 0': -4.0397487, ' Even': -4.702139, ' odd': -4.799159, ' ': -5.5881977}
{'\n': -4.6165457, ' Odd': -2.8737104, ' ': -4.4703026, ':': -4.4204683, ' odd': -0.11953737}
{' ': -4.128806, ':': -4.5964994, ' Even': -4.068879, ' 0': -5.0895815, ' even': -0.07915782}
{' odd': -0.013357313, ' Odd': -4.8520107, ' even': -6.3575573, ' ': -6.922727, ':': -7.4198895}
{' even': -0.16189459, ' Even': -3.388108, ':': -3.5494866, ' ': -3.717173, '\n': -4.0088363}
{' odd': -0.08547957, ' Odd': -2.8158882, ' even': -5.012278, ' 1': -5.086799, ' ': -5.7826047}
{' even': -0.025646474, ' Even': -4.873563, ' ': -5.3021684, ':': -5.834208, ' EVEN': -6.1625957}
{'\n': -5.474199, ' Odd': -2.5803733, ' ': -5.4665847, ':': -5.846736, ' odd': -0.09812904}
{' even': -0.024173966, ' 0': -5.4838247, ' Even': -5.626572, ':': -5.714418, ' ': -5.7806005}
{' odd': -0.037611526, ' Odd': -3.985861, ' 1': -4.786883, ' even': -5.643979, ' ': -6.6024065}
{' even': -0.053677887, ' odd': -4.33979, ' Even': -4.4989758, ' 0': -4.7534246, ' EVEN': -5.557472}
{' Odd': -2.8250067, ' ': -2.5557015, ' 1': -3.0213556, ' odd': -0.32942906, ' even': -3.5880063}
{' ': -4.622956, ':': -4.797063, '?': -4.7771525, ' ->': -4.9339066, ' even': -0.048766308}
{' odd': -0.057279438, ' Odd': -4.2166276, '\n': -4.3747563, ' even': -4.798522, ' ': -5.107372}
{' even': -0.12369155, ' odd': -3.3939896, ' 0': -4.1035624, ' ': -4.3370113, ' Even': -4.442322}
{'\n': -6.2080173, ' Odd': -2.885629, ' ': -4.5699816, ':': -6.3141794, ' odd': -0.07779459}
{' ': -5.6608257, ' Even': -5.4060783, ' odd': -4.6553254, ' 0': -5.0204334, ' even': -0.046213083}
{' odd': -0.12701039, ' even': -3.416769, ' 1': -3.5812557, ' Odd': -4.1170063, '\n': -4.4124155}
{' even': -0.09306322, ' -->': -3.2900846, ':': -4.7112308, ' ': -4.99106, ' Even': -5.1936245}
{' odd': -0.2680902, ' even': -1.7109852, ' Odd': -3.4417982, ':': -5.1045947, ' Even': -5.5756197}
{' even': -0.054106213, ' odd': -3.932839, ' Even': -5.093855, ' 0': -5.141642, ' ': -5.5168552}
{' Odd': -2.551825, ' ': -3.7635064, ' 1': -3.7844138, ' odd': -0.23265427, ' even': -3.5522895}
{'\n': -6.0780015, ':': -4.699538, ' Even': -4.1592026, ' EVEN': -6.2141504, ' even': -0.03881396}
{' odd': -0.10965173, ' Odd': -2.840314, '\n': -4.308771, ':': -4.902031, ' ': -5.171022}
{' even': -0.070265725, ' 0': -3.3967416, '\n': -5.0039377, ' ': -5.102295, ':': -5.3500314}
{' odd': -0.038395356, ' Odd': -4.7332225, ' 1': -5.0672154, ' even': -5.067902, ' ': -6.143032}
{' ': -5.692742, ':': -5.6382685, ' Even': -4.977287, ' 0': -5.572633, ' even': -0.028379085}
{' -->': -4.902322, '\n': -4.608099, ' Odd': -2.333644, ' ': -3.9939253, ' odd': -0.18430723}
{' -->': -3.8781514, '\n': -4.627009, ' ': -4.295254, ':': -4.2897744, ' even': -0.09963393}
{' odd': -0.056248758, ' Odd': -3.816639, ' 1': -4.2501783, ' ': -5.397724, '\n': -6.029742}
{' an': -4.204907, ' Even': -5.76448, ' odd': -2.807964, ' 0': -5.8388667, ' even': -0.11044001}
{':': -3.3079522, ' 1': -4.0996327, ' odd': -0.9900459, ' 0': -4.157553, ' even': -0.7590384}
{':': -5.2527194, ' Even': -3.949512, ' odd': -2.8318102, ' Right': -4.563975, ' even': -0.15682927}
{' odd': -0.23475684, ' Odd': -2.468734, ' even': -2.9451592, ':': -3.7840972, ' ': -4.966757}
{' even': -0.052180916, ':': -4.597904, ' Even': -5.005524, ' 0': -5.2082915, ' odd': -5.3001037}
{' odd': -0.3855789, ' even': -1.2497776, ' Odd': -4.3943305, ' ': -5.3857093, ':': -5.673542}
{' even': -0.16399582, ' 0': -3.6859815, ':': -3.9245212, ' odd': -3.9810398, ' ': -4.0862336}
{' Odd': -3.3437197, ' ': -4.0617123, ':': -4.548576, ' odd': -0.25812563, ' even': -1.9516814}
{' ': -4.9182916, ':': -4.3845325, ' Even': -5.169315, ' odd': -5.4530663, ' even': -0.04849967}
{' Odd': -3.3449762, ' ': -5.4784856, ':': -5.1792793, ' odd': -0.08909599, ' even': -3.6506689}
{' even': -0.05828523, ':': -4.258462, ' Even': -4.6883273, ' odd': -5.1760864, ' 0': -5.264675}
{' odd': -0.22251272, ' Odd': -2.2698998, ':': -3.3151796, ' ': -4.143502, '\n': -4.652804}
{' even': -0.03226335, ' ': -5.0648756, ' Even': -5.2985682, ':': -5.3849587, '\n': -6.0341296}
{' odd': -0.033082284, ' Odd': -4.214985, ':': -5.4341826, ' ': -5.595631, '\n': -5.745098}
{' even': -0.039867815, ' Even': -4.3546815, ' ': -4.978434, ':': -5.2269945, '\n': -5.555052}
{' Odd': -2.110395, ':': -4.414191, ' Even': -4.0292706, ' odd': -0.5328013, ' even': -1.4720504}
{'\n': -4.1017327, ' ': -3.956742, ':': -4.335572, ' Even': -3.4354615, ' even': -0.11562885}
{' -->': -4.4764323, ' Odd': -2.7444868, ' ': -4.5409737, ' 1': -4.9738708, ' odd': -0.13172735}
{' ': -4.717679, ':': -4.8787565, ' Even': -3.7124517, ' odd': -4.842759, ' even': -0.07269773}
{' odd': -0.11188876, ' Odd': -3.6679802, ' 1': -3.7498932, '\n': -3.7528236, ' ': -4.084419}
{' ': -5.6817985, ' Even': -3.801971, ' EVEN': -5.9988837, ' 0': -5.001905, ' even': -0.04676125}
{'\n': -4.8747883, ' Odd': -2.4930093, ' ': -4.794046, ':': -4.8645706, ' odd': -0.14189313}
{'\n': -5.4503403, ' ': -4.6767826, ':': -4.5953956, ' Even': -4.162371, ' even': -0.063628085}
{' odd': -0.03294442, ' Odd': -3.9185827, ' ': -6.042993, ' even': -6.044491, ' 1': -6.3593273}
{' even': -0.034607843, ' Even': -4.515061, ':': -5.1880026, ' ': -5.214368, ' ->': -6.0534983}
{' odd': -0.047529135, ' 1': -3.817647, ' Odd': -4.003919, ' even': -6.234149, ' ': -6.578155}
{' even': -0.06651997, ' Even': -3.8966572, ':': -4.3648663, ' ': -4.681307, ' EVEN': -5.3264446}
{' odd': -0.0634538, ' Odd': -3.0274255, '\n': -5.775115, ' ': -5.958416, ' 1': -6.3362904}
{'\n': -4.8554735, ' ': -4.5279694, ':': -4.2130413, ' Even': -4.3988876, ' even': -0.06307624}
{' Odd': -3.1389084, ':': -4.668873, ' 1': -4.441747, ' odd': -0.099648684, ' even': -4.7432814}
{' even': -0.05786408, ' 0': -4.211428, ' Even': -4.220164, ' odd': -5.375237, ' ': -5.4710374}
{' odd': -0.16472252, ' even': -2.198905, ' Odd': -3.9268332, ' 1': -5.041216, ' 0': -5.9444456}
{'\n': -4.296045, ' ': -4.355162, ':': -3.273033, ' Even': -2.8364224, ' even': -0.18712297}
{' odd': -0.04545792, ' Odd': -4.5912695, ' ': -4.894356, ' even': -4.9604244, '\n': -5.073427}
{' even': -0.23893875, ' 0': -2.624021, '\n': -3.0653596, ' ': -3.567115, ':': -3.8310845}
{'\n': -5.313005, ' Odd': -3.2302928, ' ': -5.1536193, ' 1': -5.066832, ' odd': -0.074312754}
{':': -3.3598561, ' Even': -3.5032103, ' EVEN': -4.332792, ' odd': -4.383517, ' even': -0.14069964}
{' odd': -0.21409757, ' Odd': -2.718303, ' even': -3.1091723, ' 1': -3.2293687, ' ': -4.5979333}
{'\n': -5.6566978, ' ': -5.192236, ':': -4.869008, ' Even': -5.6940255, ' even': -0.029006217}
{' odd': -0.061382413, ' Odd': -2.9600449, ' 1': -5.59091, ' even': -6.3465157, ' "': -7.887357}
{' even': -0.026146337, ' Even': -5.481484, ' odd': -5.619114, '\n': -5.818013, ' 0': -5.9347467}
{' odd': -0.18279418, ' Odd': -3.1611474, ' 1': -3.2580392, '\n': -4.0788016, ' ': -4.42821}
{' even': -0.06205534, ' Even': -3.9046636, ':': -4.7855535, ' ->': -4.9658723, '\n': -5.575377}
{'\n': -4.111203, ' Odd': -3.5695724, ':': -4.4839687, ' odd': -0.23927534, ' even': -2.1618187}
{' even': -0.027313726, ' Even': -4.536279, ' odd': -4.9547076, ' ': -6.1550236, ' an': -6.637086}
{' Odd': -3.435287, ' ': -6.0999293, ' ->': -6.4666605, ' odd': -0.060958628, ' even': -4.1667304}
{' even': -0.035774358, ':': -4.9136524, ' 0': -4.937438, ' Even': -5.300042, ' ': -5.533786}
{'\n': -5.22711, ' Odd': -2.4886663, ' ': -4.909397, ':': -5.8479586, ' odd': -0.115224585}
{' ': -4.0853324, ':': -4.0513816, ' Even': -3.8937678, ' 0': -3.6261497, ' even': -0.13030404}
{' Odd': -3.5989172, ' ': -4.924181, ' 1': -4.0412498, ' odd': -0.105526306, ' even': -3.507994}
{' Odd': -6.70823, ' an': -4.8874035, ' Even': -4.9899616, ' odd': -3.6598043, ' even': -0.054543715}
{' even': -0.22646073, ' odd': -2.2308152, ' Even': -4.2552032, ' 0': -4.2572365, ':': -4.7857695}
{' even': -0.44067577, ' 0': -2.09797, ':': -3.023777, ' odd': -3.1645563, ' Even': -3.3894997}
{' odd': -0.049502447, ' Odd': -4.128257, ' 1': -4.557124, ' even': -4.6399, ':': -6.1951466}
{' ': -4.4626613, ':': -3.6710365, ' Even': -4.4447083, ' 0': -2.2015817, ' even': -0.24705952}
{' even': -0.7721973, ' odd': -0.92199486, ' Odd': -3.7057881, ' Even': -3.818274, ':': -4.329923}
{' ': -6.6770077, ':': -6.5180025, ' Even': -5.7144995, ' odd': -6.4267473, ' even': -0.009954861}
{' odd': -0.16788885, ' even': -2.3837395, ' Odd': -3.39386, ' ': -4.3993206, ':': -5.534815}
{' ': -5.3509574, ':': -5.3067603, ' an': -6.694087, ' Even': -6.180612, ' even': -0.02030642}
{' odd': -0.101863645, ' Odd': -3.4413075, ' even': -3.4867084, ':': -4.165254, ' ': -5.3646436}
{' even': -0.44098967, ' 0': -2.0088751, ':': -2.568248, ' Even': -3.2594888, ' 1': -3.6220322}
{' odd': -0.16906324, ' even': -2.9245822, ' Odd': -3.1848493, ' 1': -3.3939166, ':': -4.977548}
{' ': -4.64569, ':': -4.07664, ' Even': -4.09472, ' EVEN': -5.0988383, ' even': -0.07914086}
{' odd': -0.026894892, ' Odd': -4.4597387, ' ': -6.1635375, ' even': -6.240103, ' an': -6.2750373}
{' even': -0.04487923, ' ': -4.48236, ':': -4.8740444, '\n': -5.1273355, ' odd': -5.172286}
{' odd': -0.08661704, ' Odd': -3.1147628, ' ': -4.642079, ' 1': -4.682463, ' even': -5.549906}
{' even': -0.29933155, ' 0': -2.4063814, ':': -3.1758783, ' Even': -3.212319, ' ': -3.860544}
{' odd': -0.027468653, ' Odd': -4.173775, ' ': -5.553617, ' even': -5.8726788, '\n': -6.7045274}
{' even': -0.038411893, ' Even': -4.367457, ' ': -5.4213724, ':': -5.5223055, ' odd': -5.9701343}
{' Odd': -3.6332793, ' ': -4.5279417, ':': -4.775282, ' 1': -1.0582821, ' odd': -0.5541403}
{'\n': -3.7393935, ':': -3.7511206, ' Even': -3.7156382, ' 0': -3.0814383, ' even': -0.2536309}
{' Odd': -2.8193965, ' ': -4.5262895, ':': -4.0698895, ' odd': -0.14818156, ' even': -4.1498847}
{'\n': -3.715793, ' ': -4.149474, ':': -3.7388391, ' 0': -3.3324723, ' even': -0.15688735}
{'\n': -5.641911, ' Odd': -4.0290313, ' ': -5.736039, ' odd': -0.033043534, ' even': -6.08977}
{' ': -3.663622, ':': -3.2557871, ' Even': -3.6099255, ' 0': -3.0398905, ' even': -0.23433332}
{' odd': -0.19766705, ' 1': -2.13848, ' Odd': -3.7562778, ' ': -4.917372, '\n': -5.2029824}
{' even': -0.03541995, ' ': -4.5328116, ':': -5.335932, ' Even': -5.4403157, '\n': -5.5214496}
{' odd': -0.0539795, ' Odd': -3.2395566, '\n': -5.71914, ':': -6.1160975, ' ': -6.175273}
{'\n': -4.922494, ' ': -5.189748, ':': -5.009337, ' Even': -4.8943796, ' even': -0.043274805}
{' Odd': -2.6605098, ':': -3.6496572, ' 1': -1.3801184, ' odd': -0.6632737, ' even': -2.7835946}
{':': -4.880093, ' Even': -3.99904, ' odd': -4.6626625, ' 0': -4.087391, ' even': -0.0784399}
{' odd': -0.10746095, ' Odd': -2.512552, ' ': -5.2520056, ':': -5.298968, ' even': -5.3303924}
{'\n': -2.9842732, ' ': -2.543979, ':': -2.4309351, ' 0': -0.51334983, ' even': -2.955523}
{' odd': -0.27518284, ' Odd': -2.9088323, ' -->': -3.1588895, ' 1': -3.368677, ' even': -3.4625437}
{'\n': -4.533044, ' ': -3.8411348, ':': -4.6174626, ' odd': -4.9270883, ' even': -0.08234393}
{' odd': -0.13491055, ' even': -2.3097086, ' Odd': -3.7716346, ' ': -6.8739133, ' Even': -7.16721}
{' even': -0.0746737, ' 0': -4.257804, ' Even': -4.539588, ' EVEN': -4.660676, ' odd': -4.663846}
{'\n': -4.624336, ' Odd': -3.0864987, ' ': -5.006762, ' odd': -0.22735786, ' even': -2.1330547}
{'\n': -5.607689, ' ': -5.5744605, ' odd': -5.9145646, ' 0': -5.87009, ' even': -0.025387956}
{' odd': -0.07454423, ' Odd': -3.0055172, ' even': -5.467533, ' 1': -5.517916, ' ': -6.109045}
{' ': -7.1411414, ':': -6.942381, ' Even': -3.829644, ' odd': -5.5633273, ' even': -0.032338146}
{' Odd': -3.975468, ' ': -3.984812, ' 1': -3.4494658, ' odd': -0.24544172, ' even': -2.3663914}
{' ': -5.923718, ':': -5.396842, ' Even': -5.1511297, ' odd': -3.8993988, ' even': -0.04786022}
{'\n': -6.5587897, ' Odd': -3.7185822, ' ': -6.624977, ' odd': -0.039932393, ' even': -5.1669025}
{' even': -0.016668273, ' Even': -5.0541368, ' 0': -5.8525524, ' odd': -6.402157, ' ': -6.599641}
