{' Odd': -3.8927994, ':': -2.7249298, ' odd': -1.0518513, ' 0': -3.9049375, ' even': -0.8212777}
{' odd': -0.12797086, ' even': -2.7282307, ' Odd': -3.3787851, ':': -5.070648, ' ': -5.6086297}
{' -->': -4.320969, ':': -2.571629, ' an': -3.8027625, ' Even': -4.026711, ' even': -0.19993053}
{' Odd': -4.3127475, ' ': -5.883714, ':': -5.812353, ' odd': -0.038997203, ' even': -4.3325562}
{' Even': -4.3922544, ' 1': -4.6198106, ' odd': -1.694509, ' 0': -3.7053864, ' even': -0.3436656}
{' even': -0.19679803, ' odd': -3.284779, ' Even': -3.387363, ':': -3.5298905, ' EVEN': -4.6046805}
{' Odd': -3.5993886, ':': -5.197378, ' 1': -3.9173913, ' odd': -0.10819281, ' even': -3.589703}
{'\n': -5.977104, ' ': -5.421474, ':': -5.3049703, ' Even': -4.3681893, ' even': -0.03618123}
{' odd': -0.5870655, ' even': -1.3473748, ' 0': -2.657234, ' 1': -3.6005514, ' Odd': -3.6344275}
{':': -3.6075523, ' Even': -3.6799781, ' odd': -3.714493, ' 0': -3.1714163, ' even': -0.20256066}
{' Odd': -3.77655, ':': -3.8282847, ' Even': -4.248466, ' odd': -1.1061579, ' even': -0.56792706}
{' ': -5.3180065, ':': -4.5195484, ' Even': -4.6312485, ' odd': -5.666713, ' even': -0.04609018}
{' Odd': -4.397704, ' ': -6.403808, ':': -5.906303, ' odd': -0.045133796, ' even': -3.94734}
{' even': -1.1989934, ' 0': -1.5811622, ' odd': -2.1253583, ':': -2.257386, ' 1': -2.4814715}
{':': -3.3093436, ' Even': -3.5097058, ' EVEN': -4.433561, ' 0': -4.825832, ' even': -0.14673935}
{' Odd': -3.6689816, ':': -4.322323, ' Even': -4.8744936, ' odd': -0.44237792, ' even': -1.3219002}
{' ': -5.7870216, ':': -5.201293, ' Even': -4.5991, ' odd': -5.9910393, ' even': -0.029489653}
{' Odd': -3.6396964, ':': -4.241515, ' 1': -4.4061923, ' odd': -0.34390095, ' even': -1.6125432}
{' ': -5.070852, ':': -4.0985208, ' Even': -3.26573, ' odd': -4.996825, ' even': -0.098255485}
{' odd': -0.62568414, ' even': -1.0316262, ' Odd': -3.6616805, ' 0': -4.279574, ' not': -4.707177}
{' ': -5.4008307, ':': -3.968689, ' an': -5.3329573, ' Even': -4.610631, ' even': -0.047356702}
{' odd': -0.67411435, ':': -2.4653425, ' 1': -2.5071297, ' even': -2.579895, ' 0': -3.1102512}
{' odd': -1.2346536, ' even': -1.3383248, ' 0': -1.8463432, ' 1': -2.3683236, ':': -3.5721598}
{' even': -0.35830727, ' 0': -2.1321044, ' odd': -2.9164174, ' 1': -3.939784, ':': -4.126237}
{' odd': -0.25981295, ' even': -2.1454065, ' Odd': -2.914414, ':': -4.9542546, ' 1': -5.056539}
{':': -5.9511585, ' Even': -4.788477, ' EVEN': -6.17902, ' odd': -6.2127676, ' even': -0.022221023}
{' Odd': -4.2496047, ' 1': -4.1501517, ' odd': -0.26665774, ' 0': -5.7286077, ' even': -1.6946924}
{' ': -4.7831187, ':': -4.862268, ' odd': -4.803168, ' 0': -5.157528, ' even': -0.059986528}
{' -->': -3.046196, ' Odd': -3.6492052, ':': -3.2886333, ' odd': -0.23959073, ' even': -2.742346}
{' even': -0.1333866, ':': -3.2851188, ' Even': -3.5129013, ' ': -4.4981375, ' an': -4.9875393}
{' odd': -0.1775467, ' even': -2.293875, ' Odd': -3.7698953, ':': -4.3745127, ' ': -5.379836}
{':': -3.525889, ' Even': -3.6069217, ' odd': -2.085488, ' 0': -4.115865, ' even': -0.3237349}
{' ': -6.072124, ':': -4.7385902, ' Even': -5.1223946, ' 0': -4.7685766, ' even': -0.041543204}
{' Odd': -3.035504, ':': -4.471519, ' O': -5.0819297, ' odd': -0.19358422, ' even': -2.8205228}
{':': -4.885108, ' Even': -4.783228, ' odd': -2.9538555, ' 0': -3.9600344, ' even': -0.13473514}
{' Odd': -3.9735847, ' ': -5.485428, ':': -5.057015, ' odd': -0.121238165, ' even': -2.5808165}
{' ': -5.2312336, ':': -4.972999, ' Even': -4.7566805, ' odd': -5.0865436, ' even': -0.04178375}
{'\n': -5.0808764, ' Odd': -3.1878371, ' ': -3.7964704, ' odd': -0.12911297, ' even': -3.592588}
{' even': -0.074674144, ':': -3.8960738, ' Even': -4.332281, ' ': -5.044699, ' an': -5.070608}
{' Odd': -3.6745987, ' ': -4.914419, ':': -4.6834726, ' odd': -0.13848893, ' even': -2.878771}
{' even': -0.64690983, ' odd': -1.4823562, ' Even': -3.6203756, ' Odd': -3.753829, ':': -3.853604}
{' ': -6.216587, ':': -4.976317, ' Even': -4.963201, ' 0': -6.188769, ' even': -0.02631381}
{' odd': -0.026830113, ' Odd': -4.274289, ' even': -5.239547, ' ': -6.285007, ':': -6.3883166}
{'\n': -5.9624634, ' ': -6.0925217, ':': -4.172858, ' Even': -3.815129, ' even': -0.05592632}
{' odd': -0.34040865, ' even': -1.7101158, ' 1': -3.7477388, ' Odd': -3.7921317, ' 0': -3.906929}
{' even': -0.02429115, ' Even': -4.15709, ' odd': -5.9885836, ':': -6.625489, ' an': -6.8252325}
{' Odd': -3.8781264, ' ': -4.8042574, ':': -4.4961233, ' odd': -0.19714469, ' even': -2.1542244}
{' -->': -3.8525584, ' ': -3.9896452, ':': -2.812177, ' Even': -4.4595995, ' even': -0.1566471}
{' odd': -0.3777962, ' even': -1.5282593, ' Odd': -3.039707, ':': -4.2848186, ' Even': -4.405259}
{' even': -0.25783178, ' odd': -1.9595444, ' 0': -4.288802, ' always': -4.3736763, ' Even': -4.6921396}
{' even': -0.06006969, ':': -4.197387, ' Even': -4.255422, ' 0': -4.769134, ' EVEN': -5.1627297}
{' Odd': -4.4631968, ' ': -6.549988, ':': -6.2937136, ' odd': -0.038903438, ' even': -4.2033997}
{' even': -0.16846557, ' Even': -3.3149917, ':': -3.6655035, ' odd': -3.7932224, ' 0': -4.061536}
{' Odd': -3.498995, ' ': -6.348126, ' 1': -5.425516, ' odd': -0.06565586, ' even': -3.8523648}
{' -->': -4.9264817, ':': -4.4345694, ' Even': -3.7781305, ' ->': -4.806139, ' even': -0.0665831}
{' odd': -0.078118, ' Odd': -3.3068416, ' even': -4.2126327, ' ': -5.0458474, ':': -5.351318}
{' ': -4.195391, ':': -3.4702482, ' an': -4.6337857, ' odd': -4.2058597, ' even': -0.109313846}
{' Odd': -4.273831, ' ': -5.712631, ':': -5.351093, ' odd': -0.046268202, ' even': -4.355511}
{' even': -0.556799, ' odd': -1.217782, ':': -3.7915084, ' Even': -4.1300163, ' Odd': -4.330504}
{':': -4.866433, ' Even': -4.5799136, ' EVEN': -5.726244, ' 0': -5.773054, ' even': -0.03725381}
{' Odd': -2.9117908, ':': -4.111904, ' 1': -4.7931557, ' odd': -0.16623901, ' even': -3.243926}
{' even': -0.15748748, ':': -3.0636973, ' Even': -3.7265334, ' 0': -4.499908, ' ': -4.6343837}
{' Odd': -2.8939362, ' ': -6.062508, ':': -4.7519445, ' odd': -0.15495877, ' even': -2.8125837}
{' ': -5.726209, ':': -5.8243093, ' Even': -5.6208363, ' odd': -6.166688, ' even': -0.019805389}
{'\n': -3.1598802, ' ': -3.2133543, ':': -3.5281415, ' odd': -1.5168625, ' even': -0.45541534}
{' ': -3.9267187, ':': -3.0671074, ' Even': -4.246052, ' 0': -3.6881735, ' even': -0.16372035}
{'\n': -4.4378543, ' Odd': -4.284225, ':': -4.0029087, ' odd': -0.23232418, ' even': -1.9763588}
{' even': -0.55214596, ' odd': -1.4458303, ' 0': -2.8216665, ':': -3.6621435, ' 1': -3.6922112}
{':': -4.471857, ' Even': -3.8021603, ' EVEN': -5.2126656, ' odd': -3.6049013, ' even': -0.085659295}
{' Odd': -4.547556, ' not': -6.6308537, ' odd': -0.024694905, ' neither': -6.5526867, ' even': -5.119372}
{' even': -0.06739055, ' Even': -4.4194136, ':': -4.540744, ' odd': -4.5950212, ' 0': -4.976177}
{' Odd': -3.2215135, ':': -4.461175, ' Even': -5.1048994, ' odd': -0.280369, ' even': -1.7905648}
{' ': -6.036155, ':': -5.707157, ' Even': -5.9742503, ' odd': -5.166901, ' even': -0.027113747}
{'\n': -4.107217, ' ': -3.450369, ':': -3.8208418, ' odd': -0.12373472, ' even': -4.2609253}
{' even': -0.06319478, ':': -4.206344, ' Even': -4.4296494, ' ': -4.4432063, ' odd': -5.5424714}
{' Odd': -3.9753115, ' ': -5.404203, ':': -4.929919, ' odd': -0.057201874, ' even': -4.2055545}
{' preserved': -3.812721, ' 1': -2.9974132, ' odd': -1.7499216, ' 0': -2.0056188, ' even': -0.8513543}
{' even': -0.27688903, ' odd': -2.9291134, ':': -3.1392763, ' 0': -3.223814, ' Even': -3.345074}
{' odd': -0.16412358, ' even': -2.877058, ' Odd': -3.5393496, ' 1': -4.2245197, ':': -4.4409943}
{':': -4.1081133, ' Even': -3.5900846, ' odd': -1.7275349, ' 0': -4.4122925, ' even': -0.43790895}
{' odd': -0.0676094, ' Odd': -3.4871955, ' even': -3.8465369, ':': -5.211164, ' ': -5.9416122}
{':': -4.0543227, ' Even': -3.6995063, ' EVEN': -4.587821, ' odd': -3.0876927, ' even': -0.15128665}
{' odd': -0.26247332, ' even': -1.5794488, ' Odd': -4.793042, ' ': -5.610979, ' neither': -6.0411987}
{' ': -4.21964, ':': -5.183661, ' Even': -5.5265436, ' odd': -5.50414, ' even': -0.04517209}
{' odd': -0.075477086, ' Odd': -3.5169425, ' even': -4.310789, ':': -4.8177533, ' 1': -5.1811976}
{':': -3.3772323, ' 1': -3.7015238, ' odd': -1.6655321, ' 0': -3.5975695, ' even': -0.47184375}
{':': -4.2224426, ' Even': -4.2288604, ' odd': -2.9732666, ' 0': -3.8996172, ' even': -0.13534352}
{' odd': -0.11225907, ' Odd': -3.1265984, ' even': -3.4682293, ':': -5.154011, ' 1': -5.5454407}
{':': -4.568692, ' Even': -4.0781155, ' odd': -2.0927277, ' 0': -3.2514076, ' even': -0.28281027}
{' odd': -0.22834867, ' even': -2.173906, ' Odd': -3.374437, ':': -4.2269826, ' 1': -4.387265}
{' even': -0.09415185, ':': -3.3619807, '\n': -4.1438093, ' Even': -4.469014, ' ': -5.0330405}
{' Odd': -3.7695553, ' ': -5.6213207, ':': -5.5832195, ' odd': -0.06799429, ' even': -3.6428158}
{' even': -0.09860558, ' odd': -3.8391058, ':': -3.9706929, ' ': -4.565953, ' Even': -4.6268277}
{' Odd': -4.2387877, ' ': -6.4552603, ':': -6.432504, ' odd': -0.04531278, ' even': -3.936796}
{':': -3.854796, ' 1': -3.0183675, ' odd': -1.3170508, ' 0': -2.547227, ' even': -0.73294914}
{' even': -0.0667139, ' 0': -3.9145863, ' Even': -4.69556, ':': -4.7382083, ' 1': -5.583437}
{' Odd': -3.750801, ' ': -7.2666445, ':': -6.732838, ' odd': -0.030483404, ' even': -6.3764873}
{' even': -0.033912502, ' Even': -4.3251333, ':': -5.6466737, ' ': -5.6572747, '\n': -6.1202564}
{' Odd': -3.303822, ' ': -5.4728556, ':': -4.6834836, ' odd': -0.0861745, ' even': -3.8250384}
{' even': -0.03858001, ':': -4.595446, ' Even': -4.8486195, ' ': -5.2874794, ' odd': -5.6429944}
{' odd': -0.22546603, ' even': -2.351354, ' -->': -3.5203927, ' ->': -3.7291548, ' ': -4.158193}
{'\n': -5.39539, ' ': -4.4791803, ':': -3.4483256, ' Even': -3.0495532, ' even': -0.1173511}
{':': -3.1918166, ' 1': -2.5747998, ' odd': -0.6274264, ' 0': -2.9580815, ' even': -1.6102906}
{' even': -0.80038923, ' odd': -1.008336, ' 0': -3.3626306, ':': -3.503476, ' 1': -3.7059832}
{' even': -0.11516139, ':': -3.8302672, ' 0': -3.9880962, ' EVEN': -4.1858063, ' Even': -4.406183}
{' Odd': -4.108738, ':': -4.648573, ' odd': -0.33134475, ' 0': -4.646738, ' even': -1.5957158}
{' even': -0.014497043, ' Even': -5.3777046, ' ': -6.234084, ':': -6.3359957, '\n': -6.5683265}
{' Odd': -3.427705, ' ': -6.4389777, ':': -5.8294973, ' odd': -0.05342063, ' even': -4.706704}
{'\n': -5.10871, ' ': -4.5196557, ':': -4.749949, ' Even': -4.6985164, ' even': -0.049385898}
{' Odd': -4.6674523, ' ': -5.813419, ':': -5.8971562, ' odd': -0.043663703, ' even': -3.8986409}
{' ': -3.8370767, ':': -2.5967546, ' Even': -3.3670049, ' 0': -4.30985, ' even': -0.22789617}
{' Odd': -3.8430312, ':': -5.3808117, ' an': -5.5217075, ' odd': -0.19507436, ' even': -2.0146646}
{':': -3.0723808, ' 1': -2.5979452, ' odd': -1.3128594, ' 0': -1.9455909, ' even': -1.3280344}
{':': -4.781604, ' Even': -4.710075, ' EVEN': -5.4061303, ' 0': -4.883291, ' even': -0.043947794}
{' odd': -1.2953045, ' even': -1.9812471, ' right': -2.5819962, ' wrong': -2.592664, ' Right': -2.6921303}
{' -->': -5.73312, ' ': -6.42925, ':': -5.5102253, ' Even': -3.890926, ' even': -0.04092765}
{' odd': -0.05158753, ' Odd': -3.650882, ' even': -4.793192, ':': -5.034791, ' ': -6.0372763}
{' even': -0.04354055, ' Even': -4.449816, ' ': -4.8822026, ':': -5.0426593, ' odd': -5.546427}
{' Odd': -4.641218, ' ': -4.725196, ':': -4.313989, ' odd': -0.25055975, ' even': -1.7770003}
{' ': -3.326917, ':': -3.9476426, ' Even': -3.6522758, ' odd': -4.462872, ' even': -0.14115874}
{' Odd': -2.857556, ':': -4.8023534, ' 1': -4.5967927, ' odd': -0.26586512, ' even': -2.0521028}
{' even': -0.7011071, ' odd': -1.1476126, ' 1': -3.3269079, ':': -3.4391057, ' -->': -3.9402952}
{' ': -6.676817, ':': -5.777333, ' Even': -4.0977235, ' EVEN': -6.2947245, ' even': -0.026700629}
{' Odd': -4.022728, ' an': -6.8791957, ' odd': -0.030102063, ' neither': -6.652689, ' even': -5.6030045}
{':': -5.1764283, ' Even': -3.9108787, ' EVEN': -5.795853, ' odd': -5.8245053, ' even': -0.042986736}
{' Odd': -3.7879133, ' ': -5.489173, ':': -5.0065527, ' odd': -0.19377065, ' even': -2.000929}
{' even': -0.069952905, ' Even': -3.7160718, ':': -3.8161469, ' ': -5.637953, '\n': -5.703437}
{' odd': -0.29066783, ' even': -2.2740796, ':': -3.3403208, ' Odd': -3.402241, ' ': -3.9470396}
{' ': -4.626052, ':': -4.5156584, ' Even': -5.194991, ' odd': -5.1697083, ' even': -0.05078833}
{' Odd': -3.523987, ' ': -5.344415, ':': -4.551176, ' odd': -0.07418757, ' even': -4.8707523}
{' even': -1.1509217, ' odd': -1.604002, ' 0': -2.117917, ':': -2.2889698, ' 1': -2.6420171}
{' even': -0.030161401, ' Even': -4.8179803, ':': -4.856257, ' ': -5.941035, ' EVEN': -6.29391}
{' Odd': -4.298998, ' ': -5.879124, ':': -6.6227183, ' odd': -0.028577782, ' even': -5.202421}
{':': -5.194097, ' Even': -4.8990793, ' odd': -5.448463, ' 0': -5.132826, ' even': -0.037548963}
{' odd': -0.44380164, ' even': -1.385885, ' 1': -3.2140832, ' 0': -3.6984298, ' Odd': -4.604421}
{' even': -0.27078515, ' 0': -3.0436065, ' odd': -3.2262673, ':': -3.271233, ' Even': -3.3342712}
{' Odd': -3.5958865, ' ': -4.5475464, ':': -4.531329, ' odd': -0.121968694, ' even': -2.991251}
{' ': -5.102543, ':': -3.8867188, ' an': -6.0047994, ' Even': -4.786786, ' even': -0.05003564}
{' Odd': -2.4249027, ':': -2.3076503, ' Even': -3.3850257, ' odd': -1.0564774, ' even': -1.3847531}
{' -->': -4.488539, ':': -5.079394, ' 1': -4.056873, ' odd': -1.1081539, ' even': -0.5213096}
{' even': -0.07362039, ' odd': -4.3424783, ' 0': -4.429505, ':': -4.5933185, ' Even': -4.721107}
{' Odd': -2.6610928, ' ': -5.3972006, ':': -5.4670715, ' odd': -0.10303881, ' even': -4.7527285}
{' ': -6.2406874, ':': -6.2819543, ' Even': -5.8058553, ' odd': -6.336785, ' even': -0.016765367}
{' odd': -0.19143856, ' even': -2.2382734, ' Odd': -3.2821195, ':': -4.149364, ' ': -5.4141955}
{' even': -0.032039244, ' Even': -4.8039193, ':': -5.0290837, ' ': -5.6379056, '\n': -6.179216}
{' Odd': -2.3971765, ':': -3.9133487, ' Even': -4.500734, ' odd': -0.41616303, ' even': -1.734717}
{' ': -4.837117, ':': -3.4897025, ' an': -4.695899, ' Even': -4.419165, ' even': -0.08001268}
{' odd': -0.06579055, ' Odd': -3.5430508, ' even': -4.5555215, ':': -5.3098483, ' 1': -5.5171986}
{':': -3.6994243, ' 1': -4.035086, ' odd': -1.1586187, ' 0': -4.144256, ' even': -0.5961358}
{' ': -6.174563, ':': -5.461487, ' Even': -3.8723464, ' odd': -4.9547777, ' even': -0.049960006}
{' Odd': -4.8197117, ':': -6.6066613, ' 1': -4.948406, ' odd': -0.030227564, ' even': -5.0983706}
{'\n': -5.75323, ':': -5.5252542, ' Even': -4.222644, ' odd': -5.784125, ' even': -0.03754661}
{' odd': -0.10487599, ' Odd': -3.219083, ' even': -3.3613017, ':': -4.5709352, ' ': -5.5889015}
{' ': -7.0074883, ':': -6.4026794, ' Even': -5.405333, ' odd': -4.8053517, ' even': -0.019752799}
{' Odd': -3.6407735, ' ': -4.9192247, ':': -5.3228793, ' odd': -0.42161566, ' even': -1.2640802}
{' ': -4.828397, ':': -4.4447355, ' Even': -5.0781116, ' even': -0.05890985, ' 8': -4.682723}
{' odd': -0.7122466, ' even': -1.2127607, ':': -2.9608073, ' Odd': -3.6172814, ' 0': -3.7615075}
{' even': -0.8038972, ' odd': -1.3395342, ' 0': -2.2389758, ' 1': -3.018999, ':': -3.6121597}
{' even': -0.09198178, ':': -4.0188923, ' 0': -4.2298455, ' Even': -4.498986, ' odd': -5.172627}
{' Odd': -3.019641, ' ': -5.264161, ' 1': -5.620552, ' odd': -0.07940791, ' even': -4.774287}
{' even': -0.10397103, ' Even': -3.547393, ':': -3.7659056, ' ': -4.788221, '\n': -4.982171}
{' Odd': -2.9450514, ' ': -5.84077, ':': -4.7138667, ' odd': -0.11545597, ' even': -3.3661346}
{' ': -6.097605, ':': -5.9470816, ' Even': -5.5423074, ' odd': -5.871216, ' even': -0.019783989}
{' Odd': -2.8355763, ' 1': -2.892668, ' odd': -0.34013978, ' 0': -3.838883, ' even': -2.1514208}
{' ': -5.4936075, ':': -3.8435383, ' an': -4.6174574, ' Even': -4.8021393, ' even': -0.05488601}
{' odd': -0.13079399, ' Odd': -3.0397685, ' even': -3.5085592, ':': -4.1875644, ' ': -5.021758}
{' Even': -4.1700196, ' 1': -4.434546, ' odd': -1.5415406, ' 0': -3.1986642, ' even': -0.42923507}
{':': -6.2001595, ' Even': -5.0348907, ' EVEN': -6.6152496, ' odd': -4.5816946, ' even': -0.029979035}
{' Odd': -2.794873, ':': -2.5437973, ' odd': -0.8566881, ' 0': -3.658526, ' even': -1.3059325}
{'\n': -5.56174, ' ': -5.020143, ':': -4.20175, ' Even': -3.0664299, ' even': -0.09259964}
{' odd': -0.16240919, ' even': -2.2447035, ' Odd': -4.4114594, ':': -4.5064163, ' 1': -4.955735}
{':': -3.0772989, ' Even': -2.2912157, ' odd': -2.1684358, ' Right': -2.4844632, ' even': -0.5811049}
{' Odd': -3.078009, ':': -4.0136075, ' Even': -4.534766, ' odd': -0.38788748, ' even': -1.6183896}
{' even': -0.04510705, ':': -4.186167, ' Even': -4.19049, ' ': -5.3472805, ' an': -5.8600492}
{'\n': -6.3218207, ' Odd': -4.294898, ' ': -5.8672647, ' odd': -0.04731383, ' even': -3.8695374}
{':': -3.5162096, ' 1': -3.0185156, ' odd': -1.3525869, ' 0': -2.2341146, ' even': -1.093608}
{' ': -5.019067, ':': -4.3960657, ' Even': -3.8552072, ' 0': -4.2787476, ' even': -0.08360392}
