{' 4': -1.8759372, ' 5': -2.0415103, ' 6': -1.9434497, ' 7': -2.378564, ' 8': -1.4408824}
{' 8': -1.647249, '\n': -2.0340621, ' 4': -2.0802858, ' 6': -2.1741073, ' 5': -2.1784122}
{'\n': -2.0373619, ' 4': -2.0901306, ' 5': -2.2205198, ' 6': -2.2181365, ' 8': -1.6098926}
{'\n': -2.0133522, ' 4': -2.1202676, ' 5': -2.248243, ' 6': -2.2085264, ' 8': -1.604144}
{'\n': -1.9800227, ' 4': -2.1229384, ' 5': -2.2559886, ' 6': -2.235863, ' 8': -1.5974449}
{'\n': -1.8433982, ' 4': -2.1695309, ' 5': -2.264067, ' 6': -2.2482862, ' 8': -1.6378213}
{'\n': -1.8474369, ' 4': -2.172925, ' 5': -2.2853222, ' 6': -2.2514114, ' 8': -1.6312065}
{' 8': -1.668482, '\n': -1.7030755, ' 4': -2.2057745, ' 5': -2.2873776, ' 6': -2.2886477}
{' 8': -1.6363318, '\n': -1.865208, ' 4': -2.148536, ' 6': -2.2419379, ' 5': -2.256673}
{'\n': -1.5283324, ' 8': -1.7348238, ' 4': -2.2604597, ' 5': -2.3288238, ' 6': -2.3322196}
{'\n': -1.8490356, ' 4': -2.1076195, ' 5': -2.2573836, ' 6': -2.3200858, ' 8': -1.6310236}
{' 8': -1.4960686, ' 4': -1.9540114, ' 6': -2.0871634, ' 5': -2.1155324, ' 3': -2.430373}
{' 8': -1.4989979, ' 4': -1.9889168, ' 6': -2.1683314, ' 5': -2.1708062, ' 3': -2.4498124}
{' 8': -1.4798602, ' 4': -1.9448699, ' 5': -2.1091363, ' 6': -2.1158018, ' 3': -2.4383237}
{' 8': -1.5400856, ' 4': -2.0522373, '\n': -2.1165159, ' 5': -2.219094, ' 6': -2.2517173}
{' 8': -1.5015613, ' 4': -2.0098164, ' 6': -2.116213, ' 5': -2.1560528, ' 3': -2.4353707}
{' 3': -2.427655, ' 4': -1.9862056, ' 5': -2.1565893, ' 6': -2.1446853, ' 8': -1.4996142}
{' 8': -1.5178134, ' 4': -1.9930303, ' 6': -2.1478698, ' 5': -2.159889, ' 7': -2.4524508}
{'\n': -2.3599536, ' 4': -1.9942385, ' 5': -2.172323, ' 6': -2.1827667, ' 8': -1.5247675}
{' 8': -1.544981, ' 4': -2.0273876, ' 6': -2.1087582, ' 5': -2.1432202, ' 3': -2.4356291}
{' 3': -2.4270558, ' 4': -1.999831, ' 5': -2.1759489, ' 6': -2.1491532, ' 8': -1.4987484}
{' 8': -1.544237, ' 4': -1.9799945, ' 6': -2.1004696, ' 5': -2.1361551, ' 3': -2.4018688}
{' 8': -1.5550606, ' 4': -2.0118363, ' 6': -2.153949, ' 5': -2.1690085, ' 3': -2.423877}
{' 8': -1.5849367, ' 4': -2.0238528, ' 6': -2.1341243, ' 5': -2.147229, '\n': -2.2954633}
{' 8': -1.5345548, ' 4': -1.9650282, ' 6': -2.138348, ' 5': -2.1393664, ' 3': -2.4255767}
{'\n': -2.3262022, ' 4': -1.9963473, ' 5': -2.1476545, ' 6': -2.1473217, ' 8': -1.5708666}
{' 8': -1.5676754, ' 4': -2.0343416, ' 6': -2.1585987, ' 5': -2.1824234, '\n': -2.3157568}
{'\n': -2.3107934, ' 4': -2.0738702, ' 5': -2.1984162, ' 6': -2.1501193, ' 8': -1.542622}
{' 8': -1.5461452, ' 4': -2.0798264, ' 6': -2.1799498, '\n': -2.18532, ' 5': -2.219302}
{'\n': -2.073041, ' 4': -2.0902548, ' 5': -2.2137406, ' 6': -2.178877, ' 8': -1.5997553}
{' 8': -1.5374756, ' 4': -2.0398922, ' 6': -2.1962729, ' 5': -2.2093058, '\n': -2.2318935}
{'\n': -2.2234628, ' 4': -2.0728302, ' 5': -2.1830118, ' 6': -2.1448193, ' 8': -1.5757015}
{'\n': -2.3678355, ' 4': -2.0120177, ' 5': -2.179249, ' 6': -2.151566, ' 8': -1.541323}
{' 8': -1.6152649, ' 4': -2.0984643, '\n': -2.11172, ' 6': -2.172104, ' 5': -2.216959}
{' 8': -1.5612767, ' 4': -2.0550635, '\n': -2.1558802, ' 6': -2.2004244, ' 5': -2.2174208}
{'\n': -2.1776502, ' 4': -2.0763977, ' 5': -2.1992958, ' 6': -2.17636, ' 8': -1.5620773}
{'\n': -2.1258895, ' 4': -2.050678, ' 5': -2.2174737, ' 6': -2.2146518, ' 8': -1.5440719}
{'\n': -2.2197285, ' 4': -2.0238018, ' 5': -2.17727, ' 6': -2.1844177, ' 8': -1.5590172}
{'\n': -2.2278154, ' 4': -2.067786, ' 5': -2.208781, ' 6': -2.1901357, ' 8': -1.5556047}
{' 8': -1.6048769, '\n': -2.0415623, ' 4': -2.100773, ' 6': -2.2069316, ' 5': -2.2179406}
{' 8': -1.5835266, ' 4': -2.0758066, '\n': -2.146678, ' 6': -2.1923943, ' 5': -2.2200918}
{'\n': -2.106913, ' 4': -2.1166174, ' 5': -2.2108788, ' 6': -2.174763, ' 8': -1.608249}
{' 8': -1.562673, ' 4': -2.035743, '\n': -2.1862347, ' 5': -2.2018313, ' 6': -2.2317107}
{'\n': -2.4295332, ' 4': -2.0090964, ' 5': -2.1328595, ' 6': -2.1653683, ' 8': -1.5832474}
{'\n': -1.8855048, ' 4': -2.0639696, ' 5': -2.1928062, ' 6': -2.2893915, ' 8': -1.6479102}
{'\n': -1.941963, ' 4': -2.0483518, ' 5': -2.157684, ' 6': -2.2555053, ' 8': -1.6481568}
{' 8': -1.6430223, '\n': -1.9314213, ' 4': -2.0511959, ' 5': -2.164278, ' 6': -2.2734709}
{' 8': -1.6487933, '\n': -1.9165641, ' 4': -2.0944414, ' 5': -2.2038708, ' 6': -2.2447252}
{'\n': -1.9540766, ' 4': -2.0813026, ' 5': -2.190955, ' 6': -2.2343595, ' 8': -1.6347616}
{' 8': -1.6278099, '\n': -1.956427, ' 4': -2.0421422, ' 5': -2.1693418, ' 6': -2.2581925}
{'\n': -1.7533239, ' 4': -2.1226847, ' 5': -2.2251847, ' 6': -2.3075469, ' 8': -1.6634487}
{' 8': -1.6610283, '\n': -1.8252242, ' 4': -2.137933, ' 5': -2.223618, ' 6': -2.2855875}
{' 8': -1.5942736, '\n': -2.0317667, ' 4': -2.0565948, ' 5': -2.1961164, ' 6': -2.2408953}
{'\n': -1.8723528, ' 4': -2.1018136, ' 5': -2.196301, ' 6': -2.2640042, ' 8': -1.6627975}
{' 8': -1.6564002, '\n': -1.822985, ' 4': -2.1110253, ' 5': -2.2122645, ' 6': -2.2826412}
{' 8': -1.6358234, '\n': -1.8995179, ' 4': -2.0654507, ' 5': -2.1856139, ' 6': -2.2587845}
{'\n': -1.9598252, ' 4': -2.0709417, ' 5': -2.1977928, ' 6': -2.231033, ' 8': -1.6163309}
{'\n': -1.8347542, ' 4': -2.0783405, ' 5': -2.2001383, ' 6': -2.2909927, ' 8': -1.6431142}
{'\n': -1.7797492, ' 4': -2.1271508, ' 5': -2.2348223, ' 6': -2.3068419, ' 8': -1.659013}
{' 8': -1.6097722, ' 4': -2.0808215, ' 5': -2.1678405, '\n': -2.1760268, ' 6': -2.2152696}
{'\n': -2.2202427, ' 4': -2.0484107, ' 5': -2.1499627, ' 6': -2.233847, ' 8': -1.5977871}
{'\n': -2.3471801, ' 4': -2.0474937, ' 5': -2.1322048, ' 6': -2.203964, ' 8': -1.586578}
{'\n': -2.0557642, ' 4': -2.0786695, ' 5': -2.166364, ' 6': -2.2604752, ' 8': -1.6085997}
{' 8': -1.5804564, ' 4': -2.0402036, ' 5': -2.138144, '\n': -2.1517427, ' 6': -2.2626798}
{' 3': -2.4334183, ' 4': -2.0018177, ' 5': -2.128171, ' 6': -2.1493785, ' 8': -1.5402602}
{'\n': -2.1297574, ' 4': -2.0592217, ' 5': -2.1610198, ' 6': -2.2157652, ' 8': -1.6068892}
{' 8': -1.5886852, ' 4': -2.075841, '\n': -2.1336765, ' 5': -2.1704216, ' 6': -2.2435415}
{' 8': -1.6077701, ' 4': -2.057501, '\n': -2.123071, ' 5': -2.138529, ' 6': -2.2128117}
{'\n': -2.3183374, ' 4': -2.0083075, ' 5': -2.121462, ' 6': -2.1845846, ' 8': -1.563078}
{' 8': -1.5829607, ' 4': -2.0103593, ' 5': -2.1206708, ' 6': -2.1898572, '\n': -2.2653434}
{' 8': -1.5930544, ' 4': -2.0549893, ' 5': -2.156362, ' 6': -2.194513, '\n': -2.2278209}
{'\n': -2.024112, ' 4': -2.0556414, ' 5': -2.154752, ' 6': -2.249163, ' 8': -1.6161054}
{' 8': -1.5343381, ' 4': -1.9767992, ' 5': -2.1058707, ' 6': -2.1695588, ' 3': -2.433946}
{'\n': -2.3448567, ' 4': -2.0049987, ' 5': -2.1238694, ' 6': -2.1874604, ' 8': -1.5698638}
{'\n': -2.0982914, ' 4': -2.042371, ' 5': -2.1673052, ' 6': -2.2519436, ' 8': -1.5839996}
{' 8': -1.5815438, ' 4': -2.0519845, ' 5': -2.143606, '\n': -2.1866016, ' 6': -2.2029798}
{'\n': -1.8257161, ' 4': -2.0992987, ' 5': -2.1912043, ' 6': -2.29188, ' 8': -1.6356052}
{' 8': -1.6338893, '\n': -1.820694, ' 4': -2.0834563, ' 5': -2.1786003, ' 6': -2.2818844}
{'\n': -1.7828848, ' 4': -2.1136227, ' 5': -2.2079792, ' 6': -2.3097916, ' 8': -1.6299592}
{'\n': -2.0011694, ' 4': -2.0645144, ' 5': -2.1571753, ' 6': -2.2384672, ' 8': -1.5863935}
{'\n': -2.0455785, ' 4': -2.0378842, ' 5': -2.1618316, ' 6': -2.245401, ' 8': -1.5598874}
{'\n': -2.1920002, ' 4': -2.0274827, ' 5': -2.1362133, ' 6': -2.2228458, ' 8': -1.5444267}
{'\n': -1.7741809, ' 4': -2.115211, ' 5': -2.2169807, ' 6': -2.3251054, ' 8': -1.6211964}
{' 8': -1.6108254, '\n': -2.0034063, ' 4': -2.072498, ' 5': -2.1589868, ' 6': -2.243943}
{' 8': -1.5899861, '\n': -2.0346787, ' 4': -2.0552168, ' 5': -2.1589901, ' 6': -2.2492936}
{'\n': -2.1290207, ' 4': -2.0465002, ' 5': -2.140379, ' 6': -2.2261417, ' 8': -1.5904654}
{' 8': -1.5672328, ' 4': -2.057223, ' 5': -2.1418006, '\n': -2.1559246, ' 6': -2.235319}
{'\n': -2.0406065, ' 4': -2.0788221, ' 5': -2.1621084, ' 6': -2.2363071, ' 8': -1.5871955}
{'\n': -2.2419324, ' 4': -2.0303714, ' 5': -2.1415162, ' 6': -2.207213, ' 8': -1.5548474}
{'\n': -2.191542, ' 4': -2.0306437, ' 5': -2.144374, ' 6': -2.2200718, ' 8': -1.5665599}
{'\n': -2.0152028, ' 4': -2.0799108, ' 5': -2.1696742, ' 6': -2.2708762, ' 8': -1.5922475}
{' 8': -1.631377, '\n': -1.8686187, ' 4': -2.1120281, ' 5': -2.1975439, ' 6': -2.2684753}
{'\n': -1.8364501, ' 4': -2.1120028, ' 5': -2.1993155, ' 6': -2.2921376, ' 8': -1.6113752}
{' 8': -1.6147989, '\n': -1.8577102, ' 4': -2.1011717, ' 5': -2.1936514, ' 6': -2.278351}
{' 8': -1.5806434, '\n': -1.9037445, ' 4': -2.1023357, ' 5': -2.1955707, ' 6': -2.2918546}
{' 8': -1.5872959, '\n': -1.9459738, ' 4': -2.076569, ' 5': -2.1623986, ' 6': -2.2580647}
{'\n': -2.2062132, ' 4': -2.0333254, ' 5': -2.1267893, ' 6': -2.2066426, ' 8': -1.5489742}
{'\n': -2.1842492, ' 4': -2.0410225, ' 5': -2.147342, ' 6': -2.1992502, ' 8': -1.5709021}
{' 8': -1.5919263, '\n': -1.9924599, ' 4': -2.0762765, ' 5': -2.1690252, ' 6': -2.258388}
{'\n': -1.6787987, ' 4': -2.1552, ' 5': -2.23911, ' 6': -2.31314, ' 8': -1.677618}
{'\n': -1.8136941, ' 4': -2.1191835, ' 5': -2.2186708, ' 6': -2.3140793, ' 8': -1.6063336}
{' 8': -1.6098316, '\n': -1.9559639, ' 4': -2.0804431, ' 5': -2.1768157, ' 6': -2.246}
{'\n': -2.106343, ' 4': -2.0632322, ' 5': -2.156634, ' 6': -2.229136, ' 8': -1.5737034}
{' 8': -1.6713375, '\n': -1.6996598, ' 4': -2.1601033, ' 5': -2.2273295, ' 6': -2.2893882}
{' 8': -1.5817686, '\n': -2.0503354, ' 4': -2.0633361, ' 5': -2.183602, ' 6': -2.2360654}
{'\n': -1.8091942, ' 4': -2.1227024, ' 5': -2.2312887, ' 6': -2.2850435, ' 8': -1.6552112}
{' 8': -1.5537452, ' 4': -2.0306356, ' 5': -2.1750085, '\n': -2.2115116, ' 6': -2.2637272}
{' 8': -1.5475065, ' 4': -1.991544, ' 5': -2.148741, ' 6': -2.2529175, '\n': -2.2855656}
{' 8': -1.6469691, '\n': -1.7143624, ' 4': -2.0678406, ' 5': -2.232918, ' 6': -2.3967202}
{' 8': -1.652605, '\n': -1.6916744, ' 4': -2.0635881, ' 5': -2.211341, ' 6': -2.3798237}
{'\n': -1.5926627, ' 8': -1.6821307, ' 4': -2.0970545, ' 5': -2.2390382, ' 6': -2.416234}
{'\n': -1.8932453, ' 4': -2.012917, ' 5': -2.1690404, ' 6': -2.323198, ' 8': -1.6055809}
{' 8': -1.6217068, '\n': -1.869398, ' 4': -2.0154617, ' 5': -2.163145, ' 6': -2.327134}
{'\n': -1.6754657, ' 4': -2.077242, ' 5': -2.2118123, ' 6': -2.3610888, ' 8': -1.6740189}
{'\n': -1.7451754, ' 4': -2.0487087, ' 5': -2.2169712, ' 6': -2.3809965, ' 8': -1.6370628}
{'\n': -1.980039, ' 4': -2.006903, ' 5': -2.1655478, ' 6': -2.3291116, ' 8': -1.5890669}
{' 8': -1.6548729, '\n': -1.7086905, ' 4': -2.0440426, ' 5': -2.204299, ' 6': -2.3970041}
{'\n': -1.7520171, ' 4': -2.046447, ' 5': -2.1776037, ' 6': -2.371978, ' 8': -1.6448318}
{'\n': -1.8116618, ' 4': -2.048359, ' 5': -2.175003, ' 6': -2.3421166, ' 8': -1.6444454}
{' 8': -1.6123284, '\n': -1.9577827, ' 4': -1.9993963, ' 5': -2.153864, ' 6': -2.305357}
{'\n': -2.1342826, ' 4': -1.9725299, ' 5': -2.121819, ' 6': -2.2600398, ' 8': -1.584847}
{' 8': -1.6275135, '\n': -1.891279, ' 4': -2.018954, ' 5': -2.1595142, ' 6': -2.304424}
{'\n': -2.1103213, ' 4': -1.9816612, ' 5': -2.127456, ' 6': -2.2782454, ' 8': -1.5943159}
{' 8': -1.6221384, '\n': -1.8658203, ' 4': -2.0451405, ' 5': -2.1897883, ' 6': -2.36231}
{' 8': -1.5950367, '\n': -1.9055854, ' 4': -2.011987, ' 5': -2.1730585, ' 6': -2.3609858}
{' 8': -1.5913271, ' 4': -1.989346, '\n': -1.9998918, ' 5': -2.1514812, ' 6': -2.3250299}
{' 8': -1.6183802, '\n': -1.8320205, ' 4': -2.0351818, ' 5': -2.179136, ' 6': -2.361304}
{' 8': -1.5764432, ' 4': -1.9970213, '\n': -2.024014, ' 5': -2.1563, ' 6': -2.3196542}
{' 8': -1.5816666, ' 4': -1.9649768, '\n': -2.098084, ' 5': -2.1387029, ' 6': -2.2988508}
{'\n': -1.986978, ' 4': -1.9948792, ' 5': -2.1389658, ' 6': -2.2978168, ' 8': -1.6206603}
{' 8': -1.6078922, '\n': -1.903292, ' 4': -2.0359, ' 5': -2.1683638, ' 6': -2.3268502}
{' 8': -1.5988624, '\n': -1.9801061, ' 4': -2.0209177, ' 5': -2.1675947, ' 6': -2.305679}
{' 8': -1.5762408, ' 4': -1.9709742, '\n': -2.129431, ' 5': -2.1311877, ' 6': -2.2787554}
{' 8': -1.6014686, ' 4': -1.9845337, '\n': -2.0704713, ' 5': -2.130816, ' 6': -2.2773318}
{'\n': -2.2362344, ' 4': -1.9545656, ' 5': -2.1225746, ' 6': -2.2534673, ' 8': -1.5750082}
{' 8': -1.6214151, '\n': -1.9577569, ' 4': -2.0038939, ' 5': -2.154643, ' 6': -2.3036423}
{'\n': -2.2259424, ' 4': -1.9583176, ' 5': -2.1076038, ' 6': -2.2363918, ' 8': -1.5835379}
{' 8': -1.6455511, '\n': -1.8380599, ' 4': -2.0489151, ' 5': -2.1806073, ' 6': -2.3305151}
{' 8': -1.6048893, '\n': -1.995891, ' 4': -2.0162108, ' 5': -2.157146, ' 6': -2.3229728}
{' 8': -1.5570977, ' 4': -2.0047896, ' 5': -2.1396096, '\n': -2.226741, ' 6': -2.2784731}
{' 8': -1.5733107, ' 4': -2.019515, '\n': -2.0244977, ' 5': -2.150343, ' 6': -2.3238783}
{'\n': -2.1685393, ' 4': -1.9898932, ' 5': -2.1114964, ' 6': -2.296661, ' 8': -1.569796}
{'\n': -2.2244294, ' 4': -1.9695513, ' 5': -2.1173966, ' 6': -2.294655, ' 8': -1.5530568}
{' 8': -1.5424262, ' 4': -1.9842073, ' 5': -2.123213, '\n': -2.2401955, ' 6': -2.3024857}
{' 8': -1.5550593, ' 4': -1.9370612, ' 5': -2.111922, '\n': -2.288041, ' 6': -2.2921522}
{' 8': -1.57641, ' 4': -1.9742582, ' 5': -2.102552, '\n': -2.207216, ' 6': -2.2784898}
{' 8': -1.5492406, ' 4': -1.9489648, ' 5': -2.1015534, ' 6': -2.2662435, '\n': -2.3456216}
{'\n': -2.2852368, ' 4': -1.9747834, ' 5': -2.1266484, ' 6': -2.314445, ' 8': -1.5176415}
{' 8': -1.5170714, ' 4': -1.9352946, ' 5': -2.1049895, ' 6': -2.2940469, '\n': -2.3702521}
{' 8': -1.54518, ' 4': -1.9491471, ' 5': -2.1017053, ' 6': -2.2843397, '\n': -2.349098}
{'\n': -2.3607538, ' 4': -1.9448833, ' 5': -2.1145668, ' 6': -2.2820299, ' 8': -1.5299195}
{' 8': -1.5498755, ' 4': -1.9692215, ' 5': -2.1118557, ' 6': -2.2409775, '\n': -2.3436396}
{' 3': -2.4296846, ' 4': -1.9337013, ' 5': -2.0903444, ' 6': -2.217248, ' 8': -1.537198}
{'\n': -2.3700407, ' 4': -1.9532584, ' 5': -2.1035564, ' 6': -2.2364357, ' 8': -1.5462786}
{' 8': -1.5214881, ' 4': -1.9681289, ' 5': -2.1130152, ' 6': -2.2529151, '\n': -2.413511}
{' 8': -1.545864, ' 4': -2.0251434, ' 5': -2.1618319, '\n': -2.1629102, ' 6': -2.2966328}
{' 8': -1.5368265, ' 4': -2.0093253, ' 5': -2.1407015, '\n': -2.2529159, ' 6': -2.2650912}
{' 8': -1.5488142, ' 4': -1.9860309, ' 5': -2.1208508, ' 6': -2.2629228, '\n': -2.2898457}
{'\n': -2.3935258, ' 4': -1.9926983, ' 5': -2.1244562, ' 6': -2.2471123, ' 8': -1.5264385}
{' 3': -2.4273026, ' 4': -1.951565, ' 5': -2.0941632, ' 6': -2.216633, ' 8': -1.5237296}
{' 8': -1.5181861, ' 4': -1.9332546, ' 5': -2.0966258, ' 6': -2.223432, ' 3': -2.4245198}
{' 8': -1.5281944, ' 4': -1.9587812, ' 5': -2.100832, ' 6': -2.20537, ' 3': -2.4301462}
{' 8': -1.5213721, ' 4': -1.9612134, ' 5': -2.0995505, ' 6': -2.216019, ' 3': -2.4175923}
{'\n': -2.1888463, ' 4': -2.008106, ' 5': -2.145457, ' 6': -2.2617235, ' 8': -1.560519}
{'\n': -2.190663, ' 4': -2.0089738, ' 5': -2.1464708, ' 6': -2.2674854, ' 8': -1.5364856}
{' 3': -2.443718, ' 4': -1.9518669, ' 5': -2.085695, ' 6': -2.186964, ' 8': -1.5242451}
{' 8': -1.5234483, ' 4': -1.970857, ' 5': -2.1030917, ' 6': -2.2027564, ' 3': -2.4538999}
{' 8': -1.5456185, ' 4': -1.9904189, ' 5': -2.1241968, ' 6': -2.2263274, '\n': -2.2668073}
{' 3': -2.464789, ' 4': -1.9578164, ' 5': -2.0865233, ' 6': -2.1768546, ' 8': -1.508718}
{' 8': -1.5464321, ' 4': -2.0148742, ' 5': -2.142946, '\n': -2.228395, ' 6': -2.2433374}
{'\n': -2.3250158, ' 4': -2.003845, ' 5': -2.1256485, ' 6': -2.2430353, ' 8': -1.5237901}
{' 8': -1.6093769, '\n': -1.9503022, ' 4': -2.053152, ' 5': -2.1810207, ' 6': -2.2897625}
{'\n': -1.628226, ' 4': -2.0998695, ' 5': -2.2288072, ' 6': -2.374423, ' 8': -1.6753768}
{'\n': -1.6559732, ' 4': -2.0818326, ' 5': -2.191221, ' 6': -2.3548212, ' 8': -1.6686056}
{'\n': -1.7370188, ' 4': -2.0704775, ' 5': -2.186, ' 6': -2.333725, ' 8': -1.6394129}
{'\n': -1.849374, ' 4': -2.0419524, ' 5': -2.1620798, ' 6': -2.306349, ' 8': -1.6178106}
{'\n': -2.0113995, ' 4': -2.0187943, ' 5': -2.1283457, ' 6': -2.2593262, ' 8': -1.5865604}
{' 8': -1.6184138, '\n': -1.8614519, ' 4': -2.0499418, ' 5': -2.1701143, ' 6': -2.287608}
{'\n': -1.8885916, ' 4': -2.0508926, ' 5': -2.1708543, ' 6': -2.3011682, ' 8': -1.6020772}
{'\n': -1.8599863, ' 4': -2.0371351, ' 5': -2.1654491, ' 6': -2.283434, ' 8': -1.6246108}
{' 8': -1.6073, ' 4': -1.9689211, '\n': -2.0116992, ' 5': -2.1432147, ' 6': -2.2569716}
{'\n': -2.188387, ' 4': -1.9594744, ' 5': -2.108613, ' 6': -2.213785, ' 8': -1.5769528}
{' 8': -1.5669369, ' 4': -1.9633496, ' 5': -2.097688, ' 6': -2.203747, '\n': -2.2344582}
{'\n': -2.0719247, ' 4': -1.9983381, ' 5': -2.1377976, ' 6': -2.2280297, ' 8': -1.5922332}
{' 8': -1.5835055, ' 4': -1.9794796, '\n': -2.1141806, ' 5': -2.1350555, ' 6': -2.2320192}
{' 8': -1.591927, ' 4': -2.0016513, '\n': -2.1068988, ' 5': -2.1291811, ' 6': -2.2214463}
{' 8': -1.6184541, '\n': -1.840973, ' 4': -2.0586567, ' 5': -2.1766825, ' 6': -2.3103774}
{'\n': -1.9824271, ' 4': -2.0562184, ' 5': -2.1560435, ' 6': -2.2527452, ' 8': -1.6226248}
{' 8': -1.5966971, '\n': -1.9681102, ' 4': -2.0368264, ' 5': -2.1651595, ' 6': -2.2787802}
{' 8': -1.5792795, ' 4': -1.9802986, ' 5': -2.0924852, ' 6': -2.2195594, '\n': -2.2292285}
{'\n': -2.3304906, ' 4': -1.9851108, ' 5': -2.087216, ' 6': -2.20688, ' 8': -1.5421338}
{'\n': -2.2601013, ' 4': -1.9847469, ' 5': -2.0988102, ' 6': -2.2066429, ' 8': -1.5524395}
{' 3': -2.4124806, ' 4': -1.9368583, ' 5': -2.089017, ' 6': -2.1773713, ' 8': -1.5244638}
{' 3': -2.4311764, ' 4': -1.9596437, ' 5': -2.075205, ' 6': -2.1434586, ' 8': -1.5336916}
{'\n': -2.3842757, ' 4': -1.9770434, ' 5': -2.109174, ' 6': -2.1979344, ' 8': -1.5266353}
{'\n': -2.0661721, ' 4': -2.0293384, ' 5': -2.1504998, ' 6': -2.2195058, ' 8': -1.58954}
{'\n': -2.0794582, ' 4': -2.034089, ' 5': -2.128131, ' 6': -2.2220116, ' 8': -1.563777}
{' 8': -1.5473188, ' 4': -1.9857867, ' 5': -2.101807, ' 6': -2.1892018, '\n': -2.3503928}
{'\n': -2.3938646, ' 4': -1.9897871, ' 5': -2.0936136, ' 6': -2.1714296, ' 8': -1.5392923}
{' 8': -1.5989859, '\n': -2.0083792, ' 4': -2.023453, ' 5': -2.1496098, ' 6': -2.245762}
{' 8': -1.5544688, ' 4': -1.978415, ' 5': -2.1064115, ' 6': -2.1935496, '\n': -2.288363}
{'\n': -2.1400778, ' 4': -2.023984, ' 5': -2.1378622, ' 6': -2.2069504, ' 8': -1.580557}
{'\n': -2.0249298, ' 4': -2.033922, ' 5': -2.1525736, ' 6': -2.263651, ' 8': -1.584177}
{' 8': -1.5978625, '\n': -1.9981223, ' 4': -2.0509121, ' 5': -2.162947, ' 6': -2.2536318}
{'\n': -1.6931933, ' 4': -2.1126127, ' 5': -2.2087784, ' 6': -2.322091, ' 8': -1.661435}
{'\n': -1.5652786, ' 8': -1.6880119, ' 4': -2.144401, ' 5': -2.2332253, ' 6': -2.3517299}
{' 8': -1.6412524, '\n': -1.6768283, ' 4': -2.1182947, ' 5': -2.2115211, ' 6': -2.3231812}
{'\n': -1.9438573, ' 4': -2.044714, ' 5': -2.1757812, ' 6': -2.2492218, ' 8': -1.5866853}
{'\n': -1.9803792, ' 4': -2.0545015, ' 5': -2.1446106, ' 6': -2.2282612, ' 8': -1.5815537}
{' 8': -1.6066129, '\n': -1.9942093, ' 4': -2.0438344, ' 5': -2.1464078, ' 6': -2.21076}
{'\n': -1.9725238, ' 4': -2.0646155, ' 5': -2.159171, ' 6': -2.2451088, ' 8': -1.5765479}
{'\n': -2.0409195, ' 4': -2.012439, ' 5': -2.1382325, ' 6': -2.2151463, ' 8': -1.60946}
{' 8': -1.5835085, ' 4': -1.9904299, ' 5': -2.1185532, ' 6': -2.1690617, '\n': -2.2196941}
