{' number': -6.164637, ' 1': -1.2105025, ' 2': -0.41595247, ' one': -5.496359, ' two': -3.3839087}
{' number': -6.4478335, ' #': -6.477689, ' 1': -3.2923942, ' 2': -0.075429775, ' two': -3.450546}
{' number': -6.336571, ' #': -6.538595, ' 1': -2.8888059, ' 2': -0.09097739, ' two': -3.6020684}
{' number': -6.583198, ' #': -6.5503116, ' 1': -3.368981, ' 2': -0.06864607, ' two': -3.5568302}
{' number': -6.3409534, ' #': -6.489055, ' 1': -3.3877716, ' 2': -0.06832316, ' two': -3.5617638}
{' number': -6.4204073, ' #': -6.6066227, ' 1': -3.3209682, ' 2': -0.07327047, ' two': -3.475328}
{' 2': -0.07617036, ' 1': -3.2327654, ' two': -3.499531, ' number': -6.4524436, ' #': -6.5468726}
{' number': -6.3370843, ' #': -6.483815, ' 1': -3.0987597, ' 2': -0.08585504, ' two': -3.408368}
{' number': -6.464816, ' #': -6.611265, ' 1': -4.529142, ' 2': -0.04534677, ' two': -3.4952886}
{' number': -6.480399, ' #': -6.746263, ' 1': -5.5086555, ' 2': -0.037860975, ' two': -3.499519}
{' number': -6.4870853, ' #': -6.768273, ' 1': -4.745574, ' 2': -0.04361476, ' two': -3.4719172}
{' number': -6.3760095, ' #': -6.767945, ' 1': -4.9246535, ' 2': -0.04332149, ' two': -3.4409597}
{' 2': -0.054326512, ' two': -3.545295, ' 1': -3.8829453, ' number': -6.3823137, ' #': -6.6376495}
{' number': -6.6078315, ' #': -6.837254, ' 1': -5.4730854, ' 2': -0.034046315, ' two': -3.6241395}
{' 2': -0.03395733, ' two': -3.6395252, ' 1': -5.471148, ' number': -6.3860664, ' #': -6.8522644}
{' number': -6.3913975, ' #': -6.7953863, ' 1': -5.1052117, ' 2': -0.04277476, ' two': -3.4177842}
{' number': -6.445486, ' #': -6.66084, ' 1': -3.730039, ' 2': -0.062493928, ' two': -3.4036689}
{' number': -6.362527, ' #': -6.579781, ' 1': -3.5252438, ' 2': -0.068182066, ' two': -3.41695}
{' 2': -0.07945921, ' 1': -3.2058382, ' two': -3.438565, ' number': -6.4527006, ' #': -6.5245676}
{' number': -6.5272236, ' #': -6.68998, ' 1': -5.5762334, ' 2': -0.039637987, ' two': -3.436437}
{' number': -6.3499646, ' #': -6.4735074, ' 1': -3.7807431, ' 2': -0.060988024, ' two': -3.422537}
{' number': -6.3217626, ' #': -6.64836, ' 1': -5.169211, ' 2': -0.046030693, ' two': -3.324849}
{' number': -6.3714104, ' #': -6.52724, ' 1': -3.9601347, ' 2': -0.055847786, ' two': -3.453318}
{' number': -6.549162, ' #': -6.6576624, ' 1': -4.074964, ' 2': -0.050898895, ' two': -3.5224144}
{' number': -6.2652273, ' #': -6.4876814, ' 1': -2.8838665, ' 2': -0.09290073, ' two': -3.5558124}
{' number': -6.445015, ' #': -6.6892595, ' 1': -4.232084, ' 2': -0.050437897, ' two': -3.4585683}
{' number': -6.3561893, ' 1': -1.9672321, ' 2': -0.18810505, ' one': -6.5184236, ' two': -3.615517}
{' 2': -0.5172935, ' 1': -0.9803864, ' two': -3.8360076, ' one': -5.6390786, ' number': -6.285217}
{' number': -6.6161695, ' #': -6.6790195, ' 1': -3.3363495, ' 2': -0.07324976, ' two': -3.4468477}
{' #': -6.2279305, ' 1': -1.6759335, ' 2': -0.249109, ' one': -6.249119, ' two': -3.5962312}
{' number': -6.2474775, ' 1': -0.87739885, ' 2': -0.58270764, ' one': -5.6356997, ' two': -4.0050726}
{' number': -6.1660476, ' 1': -0.84928113, ' 2': -0.6091879, ' one': -5.4921417, ' two': -3.9035718}
{' number': -6.290089, ' 1': -1.0892724, ' 2': -0.45406803, ' one': -5.850364, ' two': -3.8235824}
{' number': -6.255185, ' 1': -1.1675055, ' 2': -0.4164621, ' one': -5.93948, ' two': -3.768431}
{' number': -6.371365, ' #': -6.313143, ' 1': -2.797553, ' 2': -0.10322675, ' two': -3.421975}
{' 2': -0.079861335, ' 1': -3.159205, ' two': -3.5043166, ' number': -6.309032, ' #': -6.371412}
{' number': -6.1756496, ' 1': -1.4503566, ' 2': -0.30875313, ' one': -6.1031914, ' two': -3.7045813}
{' number': -6.36571, ' #': -6.4173107, ' 1': -3.355473, ' 2': -0.07515215, ' two': -3.3951437}
{' 2': -0.10550286, ' 1': -2.718616, ' two': -3.5197694, ' number': -6.266991, ' #': -6.3912}
{' number': -6.51752, ' #': -6.482983, ' 1': -3.5513186, ' 2': -0.06434988, ' two': -3.5025}
{' number': -6.267174, ' #': -6.389031, ' 1': -3.4522266, ' 2': -0.067249395, ' two': -3.532566}
{' 2': -0.0809612, ' 1': -3.1845703, ' two': -3.4274712, ' number': -6.361668, ' #': -6.4871063}
{' 2': -0.08208463, ' 1': -3.1257036, ' two': -3.471737, ' number': -6.3982253, ' #': -6.52228}
{' number': -6.2458177, ' #': -6.3812375, ' 1': -3.1240258, ' 2': -0.08583126, ' two': -3.384587}
{' number': -6.365354, ' #': -6.497175, ' 1': -4.6155796, ' 2': -0.047502574, ' two': -3.4121225}
{' number': -6.418465, ' #': -6.6381884, ' 1': -5.2765284, ' 2': -0.04172434, ' two': -3.4229748}
{' number': -6.412511, ' #': -6.702797, ' 1': -5.1318274, ' 2': -0.041554634, ' two': -3.450917}
{' number': -6.338103, ' #': -6.716494, ' 1': -4.795502, ' 2': -0.04549815, ' two': -3.4119837}
{' number': -6.352732, ' #': -6.591094, ' 1': -4.030669, ' 2': -0.0496073, ' two': -3.6060627}
{' number': -6.6198854, ' #': -6.7576594, ' 1': -5.543183, ' 2': -0.03481531, ' two': -3.588728}
{' number': -6.333289, ' #': -6.792827, ' 1': -5.5323377, ' 2': -0.03460414, ' two': -3.6121302}
{' number': -6.340064, ' #': -6.672779, ' 1': -5.2932076, ' 2': -0.04543777, ' two': -3.3199358}
{' number': -6.3844666, ' #': -6.6596518, ' 1': -3.9086444, ' 2': -0.058577232, ' two': -3.3976102}
{' number': -6.269382, ' #': -6.487891, ' 1': -3.4958606, ' 2': -0.070606284, ' two': -3.3848212}
{' number': -6.3475227, ' #': -6.436204, ' 1': -3.1385317, ' 2': -0.08498686, ' two': -3.3814094}
{' 2': -0.03784296, ' two': -3.4516098, ' 1': -6.0149035, ' number': -6.463458, ' #': -6.654389}
{' number': -6.260488, ' #': -6.4529104, ' 1': -3.8176246, ' 2': -0.061490603, ' two': -3.3883474}
{' number': -6.294752, ' #': -6.637365, ' 1': -5.6831007, ' 2': -0.044545453, ' two': -3.3013582}
{' number': -6.28135, ' #': -6.519398, ' 1': -4.318163, ' 2': -0.052017663, ' two': -3.391602}
{' number': -6.4543004, ' #': -6.5535455, ' 1': -3.7162433, ' 2': -0.06091662, ' two': -3.4636664}
{' number': -6.1426244, ' #': -6.3607965, ' 1': -2.6373167, ' 2': -0.112929285, ' two': -3.4948797}
{' number': -6.3448396, ' #': -6.6044726, ' 1': -3.942958, ' 2': -0.05778464, ' two': -3.404016}
{' number': -6.234687, ' 1': -1.8989844, ' 2': -0.20122105, ' one': -6.461973, ' two': -3.5996718}
{' number': -6.1623774, ' 1': -1.0011402, ' 2': -0.5076939, ' one': -5.658958, ' two': -3.764066}
{' number': -6.5133524, ' #': -6.614209, ' 1': -3.1472692, ' 2': -0.08303176, ' two': -3.4062126}
{' #': -6.322916, ' 1': -1.8723538, ' 2': -0.22208528, ' one': -6.063769, ' two': -3.2300942}
{' #': -6.3695383, ' 1': -1.4361624, ' 2': -0.32469314, ' one': -5.768569, ' two': -3.4190931}
{' number': -6.3044634, ' 1': -1.0071021, ' 2': -0.5190516, ' one': -5.2988157, ' two': -3.478751}
{' #': -6.387876, ' 1': -1.383665, ' 2': -0.343849, ' one': -5.7468557, ' two': -3.3928084}
{' 2': -0.34882095, ' 1': -1.3699982, ' two': -3.3909369, ' one': -5.766552, ' number': -6.3346705}
{' number': -6.5845795, ' #': -6.467873, ' 1': -3.195483, ' 2': -0.09160899, ' two': -3.1505284}
{' number': -6.6582475, ' #': -6.6685553, ' 1': -4.3832846, ' 2': -0.057822466, ' two': -3.1998472}
{' #': -6.2660913, ' 1': -1.739773, ' 2': -0.24725756, ' one': -5.9697747, ' two': -3.293484}
{' 2': -0.0643188, ' two': -3.1605422, ' 1': -4.0769467, ' number': -6.6622744, ' #': -6.71309}
{' number': -6.4775767, ' #': -6.6217246, ' 1': -3.3283308, ' 2': -0.080867425, ' two': -3.2637403}
{' number': -6.736705, ' #': -6.7221894, ' 1': -3.845225, ' 2': -0.06290529, ' two': -3.3042288}
{' number': -6.5015745, ' #': -6.5786276, ' 1': -3.617227, ' 2': -0.07215664, ' two': -3.2370486}
{' number': -6.5676804, ' #': -6.708088, ' 1': -3.7086256, ' 2': -0.07057015, ' two': -3.2069035}
{' number': -6.615485, ' #': -6.6782837, ' 1': -3.5697887, ' 2': -0.075005405, ' two': -3.1965206}
{' number': -6.497681, ' #': -6.5741835, ' 1': -3.5428286, ' 2': -0.08315793, ' two': -3.0515473}
{' number': -6.6197925, ' #': -6.693264, ' 1': -5.146321, ' 2': -0.049168367, ' two': -3.2354531}
{' number': -6.606397, ' #': -6.7894278, ' 1': -5.9565954, ' 2': -0.04846707, ' two': -3.1682677}
{' 2': -0.04867037, ' two': -3.2022328, ' 1': -5.4460244, ' number': -6.6424446, ' #': -6.8927093}
{' number': -6.6069107, ' #': -6.8872604, ' 1': -5.2740936, ' 2': -0.051919967, ' two': -3.1495187}
{' number': -6.5540166, ' #': -6.775571, ' 1': -4.3503194, ' 2': -0.054163598, ' two': -3.2996032}
{' number': -6.8159623, ' #': -6.885241, ' 1': -5.91491, ' 2': -0.04073021, ' two': -3.3542564}
{' number': -6.5241637, ' #': -6.895616, ' 1': -5.9416056, ' 2': -0.041124076, ' two': -3.3515356}
{' number': -6.5487576, ' #': -6.8444285, ' 1': -5.479666, ' 2': -0.053618144, ' two': -3.0939126}
{' number': -6.649615, ' #': -6.8272123, ' 1': -4.4696054, ' 2': -0.05872083, ' two': -3.1497624}
{' number': -6.526889, ' #': -6.6964903, ' 1': -4.105712, ' 2': -0.06775973, ' two': -3.081334}
{' number': -6.575142, ' #': -6.6061473, ' 1': -3.652469, ' 2': -0.07770658, ' two': -3.09097}
{' number': -6.699062, ' #': -6.836155, ' 1': -6.3246846, ' 2': -0.047115378, ' two': -3.1753001}
{' number': -6.5007243, ' #': -6.608205, ' 1': -4.6099606, ' 2': -0.060611896, ' two': -3.0860803}
{' number': -6.51406, ' #': -6.8086524, ' 1': -6.101396, ' 2': -0.050826527, ' two': -3.1105626}
{' number': -6.5369534, ' #': -6.7965865, ' 1': -4.8573384, ' 2': -0.051434215, ' two': -3.2312338}
{' number': -6.6709447, ' #': -6.756951, ' 1': -4.2571445, ' 2': -0.057004727, ' two': -3.258888}
{' 2': -0.0756421, ' two': -3.1858635, ' 1': -3.5784075, ' number': -6.42455, ' #': -6.5891957}
{' 2': -0.05896706, ' two': -3.1313012, ' 1': -4.5421877, ' number': -6.598584, ' #': -6.6935196}
{' 2': -0.16421087, ' 1': -2.2235465, ' two': -3.2557747, ' one': -6.412131, ' number': -6.49001}
{' number': -6.2985125, ' 1': -0.90045637, ' 2': -0.5886392, ' one': -5.1930475, ' two': -3.5302858}
{' number': -6.754283, ' #': -6.7201967, ' 1': -3.5646813, ' 2': -0.08121807, ' two': -3.0650895}
{' number': -5.7907057, ' 1': -1.491548, ' 2': -0.30850533, ' one': -5.647296, ' two': -3.480237}
{' number': -5.7208023, ' 1': -0.97810197, ' 2': -0.53096235, ' one': -5.1985703, ' two': -3.7196372}
{' number': -5.652143, ' 1': -1.0141581, ' 2': -0.5152529, ' one': -5.1407733, ' two': -3.5876558}
{' number': -5.6909566, ' 1': -0.9872169, ' 2': -0.52785486, ' one': -5.2102857, ' two': -3.6610353}
{' number': -5.685234, ' 1': -1.0320523, ' 2': -0.5002186, ' one': -5.2801256, ' two': -3.6456175}
{' number': -5.891126, ' #': -6.081931, ' 1': -2.6190543, ' 2': -0.12143304, ' two': -3.3566165}
{' 2': -0.08327899, ' 1': -3.269823, ' two': -3.329697, ' number': -5.8667393, ' #': -6.0901003}
{' number': -5.6788483, ' 1': -1.2967932, ' 2': -0.37554374, ' one': -5.468693, ' two': -3.5384312}
{' number': -5.894819, ' #': -6.1172934, ' 1': -3.284608, ' 2': -0.08760946, ' two': -3.2072744}
{' number': -5.7454867, ' #': -6.084823, ' 1': -2.701117, ' 2': -0.116243966, ' two': -3.3353543}
{' number': -6.01418, ' #': -6.222343, ' 1': -3.364565, ' 2': -0.07685878, ' two': -3.3783686}
{' number': -5.7712994, ' #': -6.09588, ' 1': -3.1694217, ' 2': -0.08773946, ' two': -3.3367379}
{' number': -5.8237834, ' #': -6.134836, ' 1': -3.2878413, ' 2': -0.086013526, ' two': -3.244388}
{' number': -5.8220778, ' #': -6.1226206, ' 1': -2.8891423, ' 2': -0.10477769, ' two': -3.287414}
{' number': -5.678625, ' #': -6.0817103, ' 1': -2.9622595, ' 2': -0.10492741, ' two': -3.1970675}
{' 2': -0.05448952, ' two': -3.350792, ' 1': -4.3776073, ' number': -5.8455024, ' #': -6.2078576}
{' number': -5.878121, ' #': -6.2150474, ' 1': -4.6112785, ' 2': -0.058531284, ' two': -3.179127}
{' number': -5.843555, ' #': -6.3144174, ' 1': -4.177336, ' 2': -0.06141942, ' two': -3.24557}
{' number': -5.8144097, ' #': -6.295626, ' 1': -4.2432775, ' 2': -0.061188806, ' two': -3.2287586}
{' 2': -0.07014342, ' two': -3.3322682, ' 1': -3.6503243, ' number': -5.7172256, ' #': -6.2140203}
{' number': -6.0032296, ' #': -6.3297467, ' 1': -4.8924465, ' 2': -0.047149494, ' two': -3.3842714}
{' 2': -0.046086185, ' two': -3.3473022, ' 1': -5.381228, ' number': -5.7928843, ' #': -6.2811465}
{' number': -5.8324013, ' #': -6.264842, ' 1': -4.855041, ' 2': -0.058938425, ' two': -3.119762}
{' number': -5.879549, ' #': -6.266449, ' 1': -3.667261, ' 2': -0.072791636, ' two': -3.238159}
{' number': -5.7515883, ' #': -6.1954007, ' 1': -3.3796034, ' 2': -0.08438432, ' two': -3.2012627}
{' number': -5.897089, ' #': -6.230838, ' 1': -3.2951112, ' 2': -0.08588069, ' two': -3.231238}
{' 2': -0.048706915, ' two': -3.2487857, ' 1': -5.5407476, ' number': -5.9598775, ' #': -6.274837}
{' number': -5.738542, ' #': -6.1521077, ' 1': -3.875036, ' 2': -0.07031816, ' two': -3.1908164}
{' number': -5.80404, ' #': -6.250292, ' 1': -5.457944, ' 2': -0.053185817, ' two': -3.164178}
{' number': -5.753386, ' #': -6.21546, ' 1': -4.2989745, ' 2': -0.059886467, ' two': -3.2491848}
{' number': -5.9599576, ' #': -6.2717915, ' 1': -4.2067685, ' 2': -0.05792326, ' two': -3.3141773}
{' number': -5.629825, ' #': -6.1022587, ' 1': -2.5911975, ' 2': -0.12538312, ' two': -3.3401468}
{' 2': -0.061433177, ' two': -3.2237866, ' 1': -4.2394576, ' number': -5.8701224, ' #': -6.229994}
{' number': -5.744436, ' 1': -1.8946929, ' 2': -0.2140269, ' one': -5.944088, ' two': -3.3806453}
{' number': -5.6533136, ' 1': -0.892094, ' 2': -0.5944274, ' one': -5.0336285, ' two': -3.662886}
{' number': -6.030299, ' #': -6.3297243, ' 1': -3.2369876, ' 2': -0.08715224, ' two': -3.2456355}
{' #': -6.3048635, ' 1': -1.2106966, ' 2': -0.3923849, ' one': -5.9406824, ' two': -3.9001286}
{' number': -6.364979, ' 1': -0.5426641, ' 2': -0.9193616, ' one': -5.2915444, ' two': -4.4723}
{' number': -6.365013, ' 1': -0.48917633, ' 2': -1.0050111, ' one': -5.1638074, ' two': -4.463406}
{' #': -6.320318, ' 1': -0.6235717, ' 2': -0.8160442, ' one': -5.3649483, ' two': -4.3096642}
{' number': -6.375531, ' 1': -0.6011507, ' 2': -0.8411981, ' one': -5.408919, ' two': -4.365982}
{' number': -6.4892826, ' #': -6.379694, ' 1': -2.2915707, ' 2': -0.1408617, ' two': -3.6559448}
{' 2': -0.098398715, ' 1': -2.7359776, ' two': -3.6910367, ' #': -6.466031, ' number': -6.4780674}
{' 2': -0.56074685, ' 1': -0.90163577, ' two': -4.1261477, ' one': -5.693674, ' #': -6.2931495}
{' 2': -0.116667196, ' 1': -2.538157, ' two': -3.6128826, ' #': -6.4381123, ' number': -6.4772167}
{' number': -6.376551, ' #': -6.4115453, ' 1': -1.8202907, ' 2': -0.21070397, ' two': -3.7753265}
{' number': -6.5367875, ' #': -6.4800243, ' 1': -2.7181184, ' 2': -0.0999944, ' two': -3.6764047}
{' number': -6.3088307, ' #': -6.374074, ' 1': -2.3246207, ' 2': -0.13515814, ' two': -3.7334304}
{' 2': -0.1533316, ' 1': -2.1919, ' two': -3.6536689, ' number': -6.372372, ' #': -6.4697776}
{' number': -6.433562, ' #': -6.491115, ' 1': -2.3122797, ' 2': -0.13745973, ' two': -3.6863678}
{' number': -6.3212743, ' #': -6.40528, ' 1': -2.2244263, ' 2': -0.15049766, ' two': -3.6176703}
{' number': -6.5822086, ' #': -6.583402, ' 1': -4.5143776, ' 2': -0.043798573, ' two': -3.545368}
{' number': -6.5482273, ' #': -6.602435, ' 1': -4.2960186, ' 2': -0.04739795, ' two': -3.5207407}
{' number': -6.4689026, ' #': -6.596122, ' 1': -3.376897, ' 2': -0.06934869, ' two': -3.5265245}
{' number': -6.38642, ' #': -6.6031566, ' 1': -3.1778088, ' 2': -0.075992726, ' two': -3.5810888}
{' number': -6.3467336, ' #': -6.527554, ' 1': -2.763182, ' 2': -0.095732175, ' two': -3.722401}
{' number': -6.657399, ' #': -6.7406697, ' 1': -4.515857, ' 2': -0.038631186, ' two': -3.7195086}
{' number': -6.415726, ' #': -6.663778, ' 1': -4.297681, ' 2': -0.04435452, ' two': -3.627387}
{' number': -6.459072, ' #': -6.679011, ' 1': -4.0466466, ' 2': -0.053618208, ' two': -3.4565284}
{' number': -6.4138927, ' #': -6.575629, ' 1': -2.8194602, ' 2': -0.09638254, ' two': -3.5608277}
{' number': -6.3068023, ' #': -6.461478, ' 1': -2.4128547, ' 2': -0.1297183, ' two': -3.591148}
{' number': -6.4567847, ' #': -6.5236144, ' 1': -2.9371395, ' 2': -0.08992424, ' two': -3.5355704}
{' number': -6.575113, ' #': -6.6681213, ' 1': -4.956287, ' 2': -0.039842535, ' two': -3.5360277}
{' number': -6.2669296, ' #': -6.3597107, ' 1': -2.782614, ' 2': -0.09959258, ' two': -3.5586112}
{' number': -6.3902216, ' #': -6.6265516, ' 1': -4.6549854, ' 2': -0.04492025, ' two': -3.468775}
{' number': -6.366185, ' #': -6.5017347, ' 1': -3.1732051, ' 2': -0.076269805, ' two': -3.5866933}
{' number': -6.4711967, ' #': -6.5162015, ' 1': -2.9863808, ' 2': -0.08480803, ' two': -3.6091495}
{' 2': -0.14575541, ' 1': -2.2423646, ' two': -3.7072368, ' number': -6.2409377, ' #': -6.382513}
{' number': -6.391717, ' #': -6.5506563, ' 1': -3.1135855, ' 2': -0.07981214, ' two': -3.557616}
{' 2': -0.34626806, ' 1': -1.3231167, ' two': -3.8763373, ' one': -6.0823956, ' number': -6.3498645}
{' number': -6.2918096, ' 1': -0.6889525, ' 2': -0.74523836, ' one': -5.4053144, ' two': -4.1860857}
{' number': -6.689229, ' #': -6.71632, ' 1': -3.155193, ' 2': -0.07770137, ' two': -3.539659}
{' #': -6.087242, ' 1': -1.079158, ' 2': -0.46383768, ' one': -5.626546, ' two': -3.7618072}
{' #': -6.1705527, ' 1': -0.5308883, ' 2': -0.9451758, ' one': -5.1377873, ' two': -4.327063}
{' #': -6.163137, ' 1': -0.529325, ' 2': -0.95352125, ' one': -5.045572, ' two': -4.210475}
{' 1': -0.70236665, ' 2': -0.73771554, ' two': -4.0635495, ' one': -5.324951, ' #': -6.1455836}
{' #': -6.2057004, ' 1': -0.7215815, ' 2': -0.71726906, ' one': -5.400155, ' two': -4.060067}
{' 2': -0.12380873, ' 1': -2.526677, ' two': -3.4524312, ' #': -6.238631, ' number': -6.368695}
{' number': -6.256214, ' #': -6.184613, ' 1': -2.3558657, ' 2': -0.13896778, ' two': -3.5212557}
{' #': -6.0391173, ' 1': -0.77243406, ' 2': -0.67217433, ' one': -5.3568053, ' two': -4.009254}
{' 2': -0.13775863, ' 1': -2.3862307, ' two': -3.4514866, ' #': -6.2797694, ' number': -6.3084526}
{' number': -6.18982, ' #': -6.2081666, ' 1': -1.786721, ' 2': -0.2247837, ' two': -3.5899034}
{' number': -6.4601827, ' #': -6.369235, ' 1': -2.9560704, ' 2': -0.08995091, ' two': -3.5093749}
{' number': -6.1728067, ' #': -6.2059636, ' 1': -2.4451094, ' 2': -0.12949283, ' two': -3.5272894}
{' number': -6.2459755, ' #': -6.296585, ' 1': -2.3888175, ' 2': -0.1378009, ' two': -3.4447958}
{' number': -6.259246, ' #': -6.3160877, ' 1': -2.3301322, ' 2': -0.14247414, ' two': -3.4944315}
{' 2': -0.14788866, ' 1': -2.3269222, ' two': -3.3734863, ' number': -6.150736, ' #': -6.220769}
{' 2': -0.04853364, ' two': -3.3830616, ' 1': -4.612069, ' #': -6.4320216, ' number': -6.441474}
{' 2': -0.051682238, ' two': -3.34035, ' 1': -4.4740357, ' number': -6.407281, ' #': -6.4501796}
{' number': -6.3435364, ' #': -6.4655657, ' 1': -3.6284118, ' 2': -0.06678373, ' two': -3.3743987}
{' number': -6.29878, ' #': -6.4982004, ' 1': -3.6944952, ' 2': -0.06404792, ' two': -3.4007025}
{' 2': -0.09575664, ' 1': -2.841915, ' two': -3.5583131, ' number': -6.2272377, ' #': -6.3968487}
{' number': -6.5496664, ' #': -6.612029, ' 1': -4.6685643, ' 2': -0.043100607, ' two': -3.5145187}
{' number': -6.3338947, ' #': -6.591099, ' 1': -4.818374, ' 2': -0.043878663, ' two': -3.4590757}
{' 2': -0.062679596, ' two': -3.2810748, ' 1': -3.9485075, ' number': -6.291798, ' #': -6.443119}
{' number': -6.2804956, ' #': -6.424325, ' 1': -2.867509, ' 2': -0.10014663, ' two': -3.3792052}
{' number': -6.1716638, ' #': -6.2954926, ' 1': -2.4600663, ' 2': -0.13133483, ' two': -3.4280553}
{' number': -6.344754, ' #': -6.348507, ' 1': -2.9543488, ' 2': -0.09504604, ' two': -3.3772779}
{' number': -6.458015, ' #': -6.526604, ' 1': -5.0362725, ' 2': -0.043892488, ' two': -3.4058309}
{' number': -6.1481657, ' #': -6.2124867, ' 1': -2.956547, ' 2': -0.095880695, ' two': -3.3677177}
{' number': -6.254657, ' #': -6.45953, ' 1': -4.7136292, ' 2': -0.051665295, ' two': -3.280484}
{' number': -6.202769, ' #': -6.3426924, ' 1': -3.2944124, ' 2': -0.07813424, ' two': -3.39331}
{' number': -6.321326, ' #': -6.3509626, ' 1': -3.001607, ' 2': -0.08925369, ' two': -3.4637978}
