{':': -4.082746, ' 1': -3.410071, ' odd': -0.86872554, ' 0': -2.3384464, ' even': -1.0354984}
{' even': -0.061313774, ' Even': -3.698311, ':': -3.802273, ' odd': -6.373494, ' ': -6.400891}
{' odd': -0.12251003, ' even': -3.4420748, ' Odd': -3.5490742, ' 1': -3.7222443, ' 0': -4.9721613}
{':': -2.20146, ' 1': -1.1577053, ' odd': -1.6267985, ' 0': -1.6104451, ' even': -2.1990395}
{' even': -0.54256713, ' 0': -1.5055501, ' odd': -2.8635147, ':': -3.7811038, ' zero': -3.7956586}
{' odd': -0.13421333, ' even': -2.600685, ' Odd': -3.7943676, ' 0': -4.9235463, ' 1': -4.9459}
{':': -3.888182, ' Even': -3.95295, ' odd': -2.1444163, ' 0': -4.520536, ' even': -0.24639076}
{':': -2.993038, ' 1': -2.1182125, ' odd': -1.1342342, ' 0': -2.0082672, ' even': -1.7304732}
{' ': -5.8828044, ':': -4.967972, ' Even': -5.3523664, ' odd': -3.8825538, ' even': -0.047345202}
{' Odd': -3.1015022, ':': -5.0936794, ' Even': -6.0030465, ' odd': -0.18874075, ' even': -2.2498093}
{' even': -0.049898352, ':': -4.0952616, ' Even': -4.1797857, ' an': -5.726157, ' ': -5.8477364}
{' Odd': -3.1792896, ':': -4.7358217, ' 1': -4.944584, ' odd': -0.17530538, ' even': -2.5223036}
{':': -4.17525, ' 1': -3.9660442, ' odd': -0.74588686, ' 0': -4.033878, ' even': -0.8130179}
{':': -6.6989746, ' Even': -4.848752, ' odd': -6.620785, ' 0': -6.070827, ' even': -0.019860411}
{' Odd': -3.143768, ':': -4.0695534, ' odd': -0.30904204, ' 0': -3.80496, ' even': -2.176119}
{' ': -6.374292, ':': -7.4649673, ' Even': -7.2408643, ' odd': -6.9787774, ' even': -0.00572959}
{' odd': -0.28011492, ' even': -2.0462282, ' Odd': -3.032832, ':': -4.0175734, ' not': -5.450157}
{'\n': -5.8998346, ':': -4.471662, ' Even': -4.687955, ' odd': -5.7217326, ' even': -0.042515814}
{' even': -0.49168956, ' odd': -1.0559224, ' not': -5.224048, ' neither': -5.318975, ':': -5.594772}
{':': -2.635732, ' 1': -3.71484, ' odd': -3.3490562, ' 0': -0.8570473, ' even': -1.0277083}
{' Odd': -4.207461, ' 1': -4.770402, ' odd': -0.44341117, ' 0': -4.549053, ' even': -1.2274754}
{' even': -0.8532086, ' odd': -0.9455586, ' 1': -3.0182934, ' 0': -3.166932, ':': -3.520876}
{' even': -0.010828944, ' Even': -5.3550797, ':': -6.95388, ' EVEN': -7.217585, ' 0': -7.2213364}
{' odd': -0.03718687, ' Odd': -3.8919106, ':': -5.4156246, ' even': -5.9476194, ' not': -6.9919453}
{' ': -6.245252, ':': -4.7726607, ' Even': -5.7245345, ' 0': -4.0254483, ' even': -0.041235507}
{' Odd': -4.9642997, ' 1': -4.2270827, ' odd': -0.2573805, ' 0': -5.1868677, ' even': -1.6628314}
{':': -3.410302, ' 1': -3.9460084, ' odd': -2.0238187, ' 0': -1.9280281, ' even': -0.510209}
{' even': -0.48827633, ' odd': -1.110444, ' Odd': -4.1714296, ':': -4.4838095, ' Even': -5.3578434}
{':': -2.2144668, ' Even': -3.6141071, ' odd': -3.2419515, ' 0': -1.7901427, ' even': -0.5773722}
{' odd': -0.19094878, ' even': -2.5862412, ' Odd': -2.9268126, ':': -3.843069, ' ': -5.477167}
{':': -3.3420615, ' 1': -2.1374488, ' odd': -2.090859, ' 0': -0.5473876, ' even': -2.3366113}
{' even': -0.22585697, ' odd': -2.5708907, ' 0': -3.258727, ':': -3.9655411, ' Even': -4.5519757}
{' Odd': -5.126235, ' 1': -6.977623, ' "': -7.204207, ' odd': -0.016963772, ' even': -5.2693477}
{':': -3.192041, ' 1': -3.7638144, ' odd': -1.7980103, ' 0': -2.364469, ' even': -0.5450502}
{' odd': -0.63462377, ' even': -1.2215904, ' 0': -2.9401448, ' Odd': -3.3382053, ' 1': -3.6349468}
{':': -4.4429264, ' Even': -4.42927, ' odd': -2.803888, ' 0': -3.4689357, ' even': -0.16222283}
{' odd': -0.09732328, ' Odd': -3.6167312, '\n': -4.393964, ' even': -4.659537, ' ': -4.704788}
{':': -4.231051, ' Even': -4.8162274, ' odd': -4.6019483, ' 0': -2.6264396, ' even': -0.14641146}
{' odd': -0.058720578, ' 1': -4.425045, ' even': -4.522543, ' ': -4.788478, '\n': -4.9437685}
{' odd': -1.4784245, ' even': -1.5313114, ' 0': -1.5660968, ' 1': -2.2756248, ':': -2.5026333}
{'\n': -7.1476145, ':': -5.921479, ' Even': -5.7761846, ' odd': -7.153573, ' even': -0.012678457}
{' odd': -0.0529202, ' 1': -4.730476, ' Odd': -4.778765, ' ': -5.128329, ' neither': -5.283443}
{' ': -4.741452, ':': -3.1361845, ' Even': -3.5946033, ' odd': -4.0153255, ' even': -0.15557466}
{' odd': -0.29776615, ' even': -1.5873541, ' Odd': -3.8570137, ' 0': -4.792775, ' 1': -5.2126493}
{':': -5.5396547, ' Even': -4.6377826, ' odd': -4.8827977, ' 0': -5.3322806, ' even': -0.03401942}
{' Odd': -2.8966885, ':': -4.5767994, ' odd': -0.47986695, ' 0': -4.3189726, ' even': -1.3635283}
{':': -4.6523004, ' Even': -4.83664, ' odd': -5.010146, ' 0': -3.4968982, ' even': -0.07964263}
{' Odd': -2.844533, ' ': -4.920354, ':': -3.2692935, ' odd': -0.30013096, ' even': -2.1776743}
{':': -3.1750517, ' 1': -2.5171537, ' odd': -0.8315382, ' 0': -2.9213667, ' even': -1.2163248}
{':': -5.239049, ' Even': -5.0743814, ' EVEN': -5.645496, ' 0': -4.937933, ' even': -0.034861602}
{' odd': -0.8871912, ' even': -1.1276973, ':': -3.0810034, ' 0': -3.1622174, ' 1': -3.7089515}
{' even': -0.009015025, ' Even': -6.3240314, ':': -6.6423926, ' odd': -6.665341, ' ': -6.8538647}
{' Odd': -3.0663345, ' 1': -4.4807262, ' odd': -0.17911927, ' 0': -3.8473206, ' even': -2.8210218}
{' even': -0.0599295, ' Even': -4.089816, ':': -4.499452, '\n': -5.059978, ' ': -5.432222}
{' odd': -0.34549004, ' even': -1.8869996, ' ': -3.4728425, '\n': -4.0785966, ':': -4.394009}
{' even': -0.057408903, ':': -3.963072, ' Even': -4.1736712, ' ': -4.8563495, ' an': -6.1011763}
{' Odd': -4.658148, ':': -7.068443, ' an': -6.4913945, ' odd': -0.046498522, ' even': -3.4536617}
{' even': -0.3036957, ' odd': -1.495451, ' 1': -5.2925076, ' Even': -5.3795123, ' 0': -5.6206155}
{':': -3.451574, ' 1': -4.4952717, ' odd': -4.6032553, ' 0': -2.482156, ' even': -0.21128766}
{'\n': -6.298527, ' Odd': -3.9410245, ' ': -5.930657, ' odd': -0.032016777, ' even': -6.8498178}
{' even': -0.058440413, ' odd': -4.343255, ' 0': -4.387659, ' Even': -5.099104, ':': -5.200239}
{' odd': -0.068451196, ' even': -3.277074, ' Odd': -4.361088, ':': -5.2882776, ' 1': -5.9721603}
{' ': -7.6705737, ':': -6.8059087, ' Even': -5.6654787, ' not': -8.31962, ' even': -0.0066432436}
{' odd': -0.20022753, ' even': -2.3195417, ' Odd': -3.1807961, ':': -4.353398, ' 0': -5.540598}
{' even': -0.093625516, ' odd': -3.6916192, ':': -4.205947, ' Even': -4.254724, ' an': -4.9017}
{' <': -6.0303698, ' Odd': -3.4684544, ':': -4.642687, ' odd': -0.18942074, ' even': -2.1772633}
{':': -4.0705676, ' 1': -3.3713737, ' odd': -0.88596284, ' 0': -4.0177307, ' even': -0.7400087}
{' even': -0.43440765, ' odd': -2.2144437, ' Left': -2.8340936, ':': -3.3409646, ' left': -3.43942}
{' Odd': -4.320908, ' 1': -4.345163, ' odd': -0.06827434, ' 0': -5.536959, ' even': -3.9995458}
{' ': -6.068083, ':': -5.4117446, ' Even': -5.219808, ' 0': -5.8185, ' even': -0.02498398}
{' Odd': -4.0639195, ' ': -7.00187, ':': -6.3621235, ' odd': -0.037024986, ' even': -4.2880874}
{' even': -0.27627262, ' 0': -2.570773, ' odd': -2.601733, ':': -3.9997363, ' Even': -4.340786}
{' Odd': -2.2624645, ':': -5.062909, ' Even': -5.352524, ' odd': -0.27112958, ' even': -2.2626648}
{':': -4.44264, ' an': -5.191876, ' Even': -4.8833127, ' odd': -5.1661534, ' even': -0.042649914}
{' Odd': -3.5848284, ':': -4.172634, ' 1': -4.6417108, ' odd': -0.29630178, ' even': -1.7582463}
{':': -2.4773905, ' 1': -2.1270657, ' odd': -1.8120539, ' 0': -1.6127797, ' even': -1.6854575}
{':': -4.4161396, ' Even': -4.4646506, ' EVEN': -5.6386185, ' odd': -5.617643, ' even': -0.04811608}
{' Odd': -4.019659, ':': -3.9533424, ' 1': -3.9014318, ' odd': -0.15963551, ' even': -3.4455698}
{' even': -0.07031599, ' Even': -4.0388274, ' odd': -4.2153554, ':': -5.1843867, ' 0': -5.236303}
{' Odd': -3.699875, ' 1': -3.9938707, ' odd': -0.46026924, ' 0': -3.1441863, ' even': -1.4634479}
{':': -6.4020853, ' Even': -5.1902485, ' EVEN': -6.730553, ' odd': -6.4370847, ' even': -0.016804889}
{' Odd': -4.94671, ':': -5.9095607, ' Even': -5.350623, ' odd': -1.2679722, ' even': -0.3728039}
{' even': -0.034630984, ' 0': -4.4438505, ':': -5.547458, ' Even': -5.616376, ' ': -5.8030014}
{' odd': -0.031934686, ' Odd': -4.4351254, ' even': -4.9122753, ':': -5.3897996, ' ': -6.5207553}
{' odd': -0.89528054, ' even': -1.3501508, ' 0': -2.060704, ' 1': -2.5845058, ' left': -3.9404197}
{':': -5.554967, ' Even': -5.063399, ' EVEN': -6.905209, ' odd': -6.8252664, ' even': -0.017207572}
{'\n': -6.353445, ' Odd': -3.3449583, ':': -5.127289, ' odd': -0.06231039, ' even': -4.9861174}
{':': -4.7901564, ' EVEN': -5.3838787, ' odd': -4.132073, ' 0': -5.1418705, ' even': -0.05295961}
{' Odd': -3.693507, ' 1': -4.158201, ' odd': -0.37449446, ' 0': -4.667177, ' even': -1.4402655}
{' ': -5.7909694, ':': -4.592458, ' Even': -5.1090755, ' odd': -4.337407, ' even': -0.048755858}
{' Odd': -3.3428106, ':': -4.002843, ' odd': -0.47680756, ' 0': -4.330746, ' even': -1.3038406}
{':': -3.9442508, ' Even': -4.113391, ' odd': -3.030965, ' 0': -3.8386724, ' even': -0.15280424}
{' Odd': -5.0241504, ' 1': -3.9028726, ' odd': -0.28383812, ' 0': -5.478251, ' even': -1.5921972}
{':': -3.618775, ' 1': -2.2777448, ' odd': -1.2408605, ' 0': -2.373608, ' even': -0.9607502}
{':': -4.639109, ' Even': -5.229148, ' EVEN': -5.811749, ' 0': -4.073383, ' even': -0.052273363}
{' odd': -0.057789944, ' 1': -4.310684, ' even': -4.3470526, ' Odd': -4.5278053, ' 0': -4.928404}
{'\n': -7.403087, ' ': -6.7199254, ':': -7.338227, ' Even': -6.307202, ' even': -0.005772092}
{' Odd': -3.409794, ' ': -6.692848, ':': -5.8061295, ' odd': -0.051346112, ' even': -4.761282}
{':': -6.122162, ' an': -6.2026443, ' Even': -5.174298, ' odd': -4.605168, ' even': -0.026564308}
{' Odd': -3.5250604, ' ': -5.1306405, ':': -4.7441387, ' odd': -0.33982468, ' even': -1.5032625}
{':': -3.1902463, ' Even': -4.2399664, ' odd': -3.607434, ' 0': -3.351858, ' even': -0.16930947}
{' <': -5.0711584, ' Odd': -4.5057487, ':': -6.2609825, ' odd': -0.20979376, ' even': -1.8305241}
{':': -2.735457, ' 1': -2.9396482, ' odd': -1.5679957, ' 0': -2.4063563, ' even': -0.9438511}
{' even': -0.09477498, ' odd': -4.0103297, ' Even': -4.3860164, ' 0': -4.6633697, ':': -4.6787543}
{' Odd': -2.5533686, ':': -4.1933985, ' odd': -0.3532925, ' 0': -4.3629484, ' even': -1.9701558}
{':': -4.841381, ' Even': -4.9626737, ' EVEN': -5.8245115, ' 0': -4.0530963, ' even': -0.055478577}
{' Odd': -3.4463367, ':': -5.08766, ' odd': -0.17048462, ' 0': -5.2473593, ' even': -2.4329166}
{':': -4.845659, ' Even': -4.9867163, ' odd': -1.9597218, ' 0': -4.4304123, ' even': -0.22740686}
{' odd': -0.5581713, ' even': -1.0124788, ' Odd': -3.8783605, ':': -4.3636794, ' Even': -5.233829}
{' even': -0.32217973, ' odd': -2.2487962, ':': -3.136283, ' 0': -3.4867218, ' Even': -3.8907087}
{' odd': -0.069354884, ' even': -3.0718791, ' Odd': -4.5047984, ' ': -6.0556445, ':': -6.396461}
{' odd': -0.405311, ' even': -1.8239405, ':': -2.7383187, ' 1': -3.6131587, ' Odd': -3.7693646}
{' even': -0.08499561, ' odd': -3.9241629, ' 0': -4.5826654, ' Even': -4.676116, ':': -5.180649}
{' Odd': -4.670791, ' 1': -5.6404314, ' not': -6.6066656, ' odd': -0.03553006, ' even': -4.2322693}
{' even': -0.6560603, ' odd': -1.3916475, ' 0': -3.2131088, ':': -3.6768138, ' Odd': -3.8070533}
{' Odd': -4.4014277, ' 1': -2.776005, ' odd': -0.42707005, ' 0': -3.74471, ' even': -1.461739}
{':': -5.4405427, ' Even': -5.4984117, ' odd': -3.9324667, ' 0': -6.363056, ' even': -0.0372243}
{' Odd': -3.8097298, ' ': -5.4579353, ':': -4.7280064, ' odd': -0.41589963, ' even': -1.2547021}
{' even': -0.33069026, ' 0': -2.2293003, ' odd': -2.788795, ':': -3.171723, ' Even': -4.636185}
{' Odd': -4.5753837, ' ': -6.0890217, ':': -5.801123, ' odd': -0.039989088, ' even': -4.0093856}
{':': -2.815211, ' 1': -1.8997142, ' odd': -1.8083475, ' 0': -1.1580333, ' even': -1.8524455}
{':': -3.4748876, ' 1': -4.0946646, ' odd': -2.1605804, ' 0': -3.0747602, ' even': -0.36347565}
{' odd': -0.053167526, ' Odd': -3.438402, ' even': -5.058546, ' 1': -6.312099, ':': -6.350102}
{' even': -0.010385452, ' Even': -5.5775185, ':': -6.481358, ' odd': -6.9670997, ' not': -7.338527}
{' odd': -0.109511, ' even': -2.9629617, ' Odd': -3.6095567, ':': -5.218228, ' 0': -5.5143743}
{' even': -0.0716239, ' odd': -3.4960744, ':': -4.7682867, ' 0': -4.86519, ' Even': -5.013467}
{' Odd': -3.8614283, ':': -3.9355521, ' Even': -5.115353, ' odd': -0.47419515, ' even': -1.2447393}
{':': -4.7346425, ' Even': -4.5318546, ' odd': -3.6865542, ' 0': -3.5279176, ' even': -0.09736395}
{' Odd': -2.567425, ':': -3.798652, ' 1': -5.094116, ' odd': -0.26266047, ' even': -2.314115}
{' even': -0.84823036, ' odd': -1.2461139, ' 0': -2.634822, ' 1': -2.7486792, ' left': -3.3947647}
{' even': -0.067244485, ' odd': -3.951061, ':': -4.4567666, ' Even': -4.5087957, ' EVEN': -5.5235085}
{' Odd': -5.19565, ':': -7.308552, ' 1': -6.4633694, ' odd': -0.009819116, ' even': -7.556798}
{' even': -0.014981621, ' Even': -5.508132, ' 0': -6.0799375, ':': -6.1899395, ' ': -6.640574}
{' odd': -0.21325015, ' even': -1.8756989, ' 1': -4.1195145, ' Odd': -4.7886457, ' 0': -5.0112886}
{' even': -0.10222405, ' odd': -3.8999438, ' Even': -4.0161552, ' 0': -4.0228515, ':': -4.3395853}
{' Odd': -4.2540197, ':': -5.1242933, ' Even': -5.453582, ' odd': -0.7049994, ' even': -0.77161646}
{' ': -5.7916026, ':': -4.72457, ' Even': -4.764642, ' odd': -4.892795, ' even': -0.040645156}
{'\n': -7.087768, ' Odd': -4.2740645, ':': -5.891824, ' odd': -0.049077712, ' even': -3.6694925}
{' odd': -0.9669542, ' even': -1.3833543, ' 0': -1.9335499, ' 1': -2.5322647, ':': -3.2228916}
{' even': -0.16805412, ' odd': -3.3429615, ':': -3.4503655, ' Even': -3.5981574, ' EVEN': -4.864594}
{' Odd': -4.5084887, ' 1': -5.72468, ' odd': -0.036843464, ' 0': -5.997827, ' even': -4.773716}
{' even': -0.0043928744, ' Even': -6.752454, ' odd': -7.0737486, ':': -7.800151, ' ': -7.8007646}
{' Odd': -4.642493, ' 1': -4.6079917, ' odd': -0.1962947, ' 0': -5.7537208, ' even': -1.8996733}
{' even': -0.15903215, ' odd': -2.901007, ':': -3.8040595, ' Even': -4.126448, ' 0': -4.3306613}
{' Odd': -4.3176165, ' ': -4.1422176, ':': -4.976798, ' odd': -0.08732804, ' even': -3.8988924}
{':': -3.9335275, ' Even': -4.81435, ' odd': -4.430632, ' 0': -5.0095882, ' even': -0.07334763}
{' odd': -0.05997982, ' even': -3.0954688, ' Odd': -4.783481, ':': -7.0954485, ' ': -7.3889656}
{':': -2.6638505, ' 1': -2.1645486, ' odd': -1.5289724, ' 0': -2.4188201, ' even': -0.8773543}
{' even': -0.037090797, ' 0': -4.1359863, ':': -5.125136, ' Even': -5.7642746, ' odd': -6.2426095}
{' Odd': -3.2012618, ':': -5.3191366, ' O': -5.8233523, ' odd': -0.072052285, ' even': -4.7281194}
{':': -3.8602574, ' Even': -4.3472285, ' odd': -3.8357232, ' 0': -4.691169, ' even': -0.09883432}
{' odd': -0.48149782, ' even': -1.2352458, ' 0': -3.4517066, ' 1': -3.770709, ':': -4.859769}
{':': -5.6206646, ' an': -5.7358494, ' Even': -5.0924335, ' odd': -4.5197625, ' even': -0.03435594}
{' Odd': -3.726548, ':': -4.0131645, ' odd': -0.2736092, ' 0': -4.3443136, ' even': -2.000823}
{':': -5.3418818, ' an': -5.498906, ' Even': -4.889622, ' odd': -4.3716626, ' even': -0.03892277}
{' Odd': -3.7895744, ':': -4.374657, ' "': -5.0737348, ' odd': -0.30564582, ' even': -1.6334732}
{' Even': -5.0161777, ' 1': -3.2607331, ' odd': -1.5147014, ' 0': -3.2785897, ' even': -0.4257857}
{':': -5.664469, ' Even': -5.2455053, ' EVEN': -6.3840065, ' 0': -4.651718, ' even': -0.0293106}
{' Odd': -3.6463196, ' 1': -4.5068464, ' odd': -0.06090674, ' 0': -5.5325003, ' even': -4.7603407}
{' even': -0.04498191, ' Even': -4.9222813, ' odd': -4.9538684, ':': -4.968094, ' 0': -5.091817}
{' Odd': -3.2335186, ':': -4.1155043, ' odd': -0.3215125, ' 0': -4.7878733, ' even': -1.8218683}
{' ': -6.8844934, ':': -6.945039, ' Even': -5.825976, ' odd': -7.671324, ' even': -0.0074294535}
{' odd': -0.13522753, ' even': -2.8515568, ' ': -4.530703, ' Odd': -4.557315, ' neither': -4.618684}
{' even': -0.59345865, ':': -2.3257978, ' 8': -2.5118575, ' 0': -2.686808, ' ': -3.3676903}
{' odd': -0.065759234, ' ': -3.9243338, ' even': -4.5290565, ':': -4.927337, ' Odd': -5.04083}
{' Odd': -4.223137, ':': -3.955886, ' 1': -4.34464, ' odd': -0.77441984, ' even': -0.8144075}
{':': -4.9057837, ' Even': -4.75161, ' odd': -4.804022, ' 0': -4.9017954, ' even': -0.051761016}
{' Odd': -4.7602825, ' 1': -5.1175857, ' odd': -0.08287077, ' 0': -5.433813, ' even': -3.1159086}
{':': -2.7247033, ' 1': -2.4415014, ' odd': -1.6894851, ' 0': -1.4169317, ' even': -1.2739474}
{' Odd': -4.1039186, ' 1': -3.379302, ' odd': -0.25607297, ' 0': -3.8503656, ' even': -2.0241842}
{':': -6.639101, ' Even': -5.5529823, ' odd': -4.323371, ' 0': -6.510735, ' even': -0.026527522}
{' Odd': -3.6948016, ':': -2.7673907, ' odd': -0.56564, ' 0': -2.9829686, ' even': -1.912269}
{' even': -0.10002648, ' 0': -3.3177502, ' odd': -3.961345, ':': -4.7567043, ' Even': -5.1196756}
{' odd': -0.07778705, ' even': -3.3170877, ' Odd': -3.9736695, ':': -5.0558257, '\n': -5.8252416}
{':': -2.7853184, ' 1': -2.9635441, ' odd': -1.6369714, ' 0': -2.3151038, ' even': -1.4481144}
{' even': -0.07831896, ' 0': -3.468877, ':': -4.292996, ' Even': -5.064711, ' zero': -5.442536}
{' Odd': -2.7001169, ':': -2.7997699, ' odd': -0.6364257, ' even': -1.5737569, ' Left': -4.052645}
{':': -5.0273623, ' Even': -5.2887807, ' EVEN': -5.9456124, ' 0': -3.4750688, ' even': -0.06474093}
{' Odd': -3.260143, ':': -3.643871, ' odd': -0.6856678, ' 0': -3.8659468, ' even': -1.1251535}
{':': -7.461385, ' an': -7.355623, ' Even': -6.315107, ' odd': -6.3104954, ' even': -0.007207178}
{' odd': -0.5762606, ' even': -1.1247293, ' 0': -3.1695154, ' Odd': -3.9660308, ':': -4.9079533}
{' even': -0.09058905, ':': -3.964677, ' Even': -4.0960917, ' 0': -4.3381267, ' an': -4.8576446}
{' Odd': -4.3760753, ':': -5.6630535, ' 1': -5.6052933, ' odd': -0.3629271, ' even': -1.2930714}
{':': -3.3602092, ' 1': -3.4745805, ' odd': -0.95849043, ' 0': -3.0135295, ' even': -0.8367996}
{':': -2.790862, ' 1': -2.24696, ' odd': -2.4226038, ' 0': -0.7386888, ' even': -1.9548753}
{' odd': -0.08923583, ' even': -3.5020506, ' Odd': -3.6579468, ' 1': -5.307488, ':': -5.570652}
{':': -4.2062736, ' Even': -3.7079666, ' odd': -2.821013, ' 0': -3.7390363, ' even': -0.18130577}
{' Odd': -2.4257581, ' ': -5.674199, ':': -4.4262195, ' odd': -0.21054141, ' even': -2.610995}
{':': -3.3161962, ' Even': -4.061236, ' odd': -2.3211658, ' 0': -4.6961493, ' even': -0.25410149}
{' Odd': -3.5139275, ':': -4.5942698, ' Even': -5.4359303, ' odd': -0.33604336, ' even': -1.5609703}
{':': -5.0509796, ' Even': -4.8749323, ' odd': -2.9062297, ' 0': -3.748664, ' even': -0.12148574}
{' odd': -0.32884994, ' even': -1.4004384, ' Odd': -4.776656, ' 1': -4.912363, ':': -5.5668964}
{':': -3.7440784, ' 1': -2.9638727, ' odd': -1.2080837, ' 0': -1.8428532, ' even': -1.0246788}
{':': -5.005313, ' Even': -5.2309036, ' EVEN': -5.862576, ' odd': -4.52461, ' even': -0.036991093}
{' odd': -0.017119102, ' Odd': -4.8503966, ' even': -6.0710287, ' 1': -6.553623, ' neither': -7.18026}
{' ': -5.8429303, ' Even': -6.0825024, ' 0': -3.3661754, ' zero': -5.920673, ' even': -0.05148592}
{' Odd': -4.6053987, ':': -5.3846745, ' 1': -4.491183, ' odd': -0.047146432, ' even': -5.426311}
{' even': -0.018347023, ' Even': -5.226736, ':': -5.482164, ' odd': -6.178356, ' ': -6.661057}
{' Odd': -3.7261426, ' ': -3.8241808, ':': -3.9356184, ' odd': -0.37753487, ' even': -1.7719773}
{':': -5.198062, ' Even': -4.9948006, ' odd': -4.092984, ' 0': -3.263774, ' even': -0.08709169}
{' odd': -0.03729848, ' Odd': -3.9431372, ' even': -4.999735, ':': -5.4718094, '\n': -6.959341}
{':': -4.2831693, ' 1': -3.2354503, ' odd': -1.0599923, ' 0': -2.385267, ' even': -0.8268839}
