{' No': -12.621933, ' ': -10.259762, ' Yes': -0.0020083846, ' yes': -10.109585, 'Yes': -6.2551475}
{' No': -0.005363979, ' ': -10.144907, ' Generally': -14.272299, 'No': -5.238657, ' no': -14.234214}
{' No': -0.004095138, ' ': -10.507963, ' Generally': -14.20384, 'No': -5.5073776, ' no': -14.592213}
{' ': -10.428087, ' Generally': -12.149008, ' Yes': -0.0021236583, ' yes': -9.9588375, 'Yes': -6.197909}
{' ': -10.473706, ' Generally': -11.84955, ' Yes': -0.0019389272, ' yes': -9.731132, 'Yes': -6.2999506}
{' ': -9.956072, ' Generally': -10.963262, ' Yes': -0.0020946276, ' yes': -9.82485, 'Yes': -6.2380695}
{' No': -6.7790923, ' ': -9.120802, ' Yes': -0.0038145431, ' yes': -9.411825, 'Yes': -6.01798}
{' No': -11.979302, ' ': -10.151505, ' Yes': -0.0018172237, ' yes': -9.684892, 'Yes': -6.375955}
{' No': -0.04217269, ' ': -8.372508, 'No': -5.251628, ' Yes': -3.3325205, 'Yes': -9.071418}
{' Yes': -0.009859269, ' Generally': -5.223297, 'Yes': -5.947723, ' No': -7.0087695, ' It': -8.095178}
{' Yes': -0.081507385, ' Generally': -3.3329873, ' No': -3.971402, ' It': -4.1235433, 'Yes': -5.782295}
{' No': -0.12285368, ' Generally': -4.455045, 'No': -4.4765906, ' Yes': -4.1555705, ' It': -2.634658}
{' No': -0.013346381, ' ': -9.019418, ' Generally': -9.584376, 'No': -4.839968, ' Yes': -5.277161}
{' No': -0.0066610025, ' ': -10.442823, 'No': -5.019589, ' A': -14.884835, ' no': -14.147704}
{' That': -5.5158944, ' No': -0.27362847, ' Generally': -2.9826298, 'No': -4.2460885, ' It': -1.8218939}
{' No': -0.013043069, ' ': -10.103713, ' Generally': -8.488358, 'No': -4.3761296, ' It': -9.450636}
{' No': -0.008758063, ' ': -10.398274, ' Generally': -11.0614805, 'No': -4.7481112, ' A': -13.362543}
{' No': -0.0058388202, ' ': -10.85681, 'No': -5.149767, ' no': -13.975297, ' NO': -14.929201}
{' No': -0.02649049, 'No': -4.43773, ' Generally': -4.7346907, ' It': -5.398526, ' Typically': -8.197034}
{' No': -0.0074905846, 'No': -4.9293175, ' Generally': -8.740616, ' ': -9.916803, ' A': -12.157016}
{' No': -0.005769274, ' ': -10.647044, 'No': -5.162648, ' no': -13.993239, ' NO': -14.911524}
{' No': -0.017114373, 'No': -4.7856097, ' Yes': -5.0990653, ' Generally': -6.135864, ' ': -8.806125}
{' No': -0.007167554, ' ': -10.297717, ' Generally': -13.465557, 'No': -4.947086, ' no': -14.010567}
{' No': -0.0052654026, ' ': -10.608611, ' Generally': -13.665009, 'No': -5.2545652, ' no': -14.271635}
{' ': -10.230949, ' Generally': -11.374852, ' Yes': -0.002239067, ' yes': -9.888162, 'Yes': -6.150993}
{' Yes': -0.0019512892, 'Yes': -6.2933044, ' yes': -9.741472, ' ': -10.444724, ' Generally': -11.823262}
{' No': -10.722837, ' ': -9.807418, ' Yes': -0.0021270055, ' yes': -9.785326, 'Yes': -6.232618}
{' No': -6.407325, ' ': -8.91018, ' Yes': -0.004571476, ' yes': -9.375119, 'Yes': -5.945241}
{' No': -11.097904, ' ': -10.1578045, ' Yes': -0.0018444521, ' yes': -9.761642, 'Yes': -6.3623543}
{' No': -0.027003944, ' ': -9.241873, 'No': -5.5254245, ' Yes': -3.794351, 'Yes': -9.714639}
{' No': -6.413109, ' Generally': -5.12673, ' Yes': -0.011692394, 'Yes': -5.873461, ' It': -7.603848}
{' No': -3.329102, ' Generally': -3.232796, ' Yes': -0.1352847, 'Yes': -5.661432, ' It': -3.195938}
{' No': -0.16811934, ' Generally': -4.3054943, 'No': -4.515861, ' Yes': -4.0819182, ' It': -2.2475624}
{' No': -0.008082746, ' ': -9.448081, ' Generally': -9.640206, 'No': -4.9551115, ' Yes': -7.0948515}
{' No': -0.0052225036, ' ': -10.473935, 'No': -5.263212, ' A': -14.513124, ' no': -14.55291}
{' That': -4.4694657, ' No': -0.70100623, ' Generally': -2.7415981, 'No': -4.54183, ' It': -0.9071868}
{' No': -0.015209384, ' ': -9.701624, ' Generally': -7.321264, 'No': -4.271347, ' It': -8.231375}
{' No': -0.009036075, ' ': -10.434037, ' Generally': -10.643709, 'No': -4.7176943, ' A': -13.003772}
{' No': -0.0064674537, ' ': -10.927991, 'No': -5.0472655, ' no': -14.347887, ' NO': -15.115923}
{' No': -0.04986433, ' Not': -7.777806, ' Generally': -4.371016, 'No': -4.258549, ' It': -3.9176183}
{' No': -0.007943891, ' ': -10.167081, ' Generally': -8.338448, 'No': -4.87898, ' Yes': -11.347487}
{' No': -0.0052317306, ' ': -10.743078, 'No': -5.2601223, ' no': -14.405518, ' NO': -15.262883}
{' No': -0.020606466, ' ': -8.759849, ' Generally': -5.8519473, 'No': -4.652063, ' Yes': -4.8778872}
{' No': -0.0062249964, ' ': -10.294997, ' Generally': -13.043233, 'No': -5.0885005, ' no': -14.328349}
{' No': -0.004657583, ' ': -10.722598, ' Generally': -13.448608, 'No': -5.377012, ' no': -14.717253}
{' ': -10.606929, ' Generally': -11.07318, ' Yes': -0.0017598402, ' yes': -10.0248, 'Yes': -6.3963003}
{' ': -10.820076, ' Generally': -11.323805, ' Yes': -0.0016403678, ' yes': -9.92766, 'Yes': -6.4676266}
{' ': -10.262063, ' Generally': -10.528077, ' Yes': -0.0017335673, ' yes': -9.933732, 'Yes': -6.434327}
{' No': -7.2590446, ' ': -9.333065, ' Yes': -0.0028347792, ' yes': -9.523476, 'Yes': -6.2768326}
{' Yes': -0.001495659, 'Yes': -6.5629344, ' yes': -9.924805, ' ': -10.704511, ' No': -12.024372}
{' No': -0.04305593, ' ': -8.8369055, 'No': -5.4321146, ' Yes': -3.2827942, 'Yes': -9.294719}
{' No': -6.277384, ' Generally': -4.673722, ' Yes': -0.016249089, 'Yes': -5.870209, ' It': -6.8421693}
{' No': -3.5211952, ' Generally': -3.0523672, ' Yes': -0.16650313, 'Yes': -5.7084417, ' It': -2.7338421}
{' No': -0.1235365, ' Generally': -4.522971, 'No': -4.470218, ' Yes': -4.823512, ' It': -2.5317109}
{' No': -0.015110504, ' ': -9.063158, ' Generally': -8.319817, 'No': -4.94343, ' Yes': -4.9018383}
{' No': -0.005593038, ' ': -10.5676365, ' Generally': -14.333509, 'No': -5.194258, ' no': -14.173867}
{' No': -0.55995923, ' It': -1.1042058, ' Generally': -2.782894, ' That': -4.353565, 'No': -4.5316124}
{' No': -0.011047325, 'No': -4.6138625, ' Generally': -7.707721, ' It': -7.7222233, ' Not': -10.061043}
{' No': -0.008186461, 'No': -4.8187237, ' Generally': -10.084822, ' ': -10.641609, ' A': -12.764895}
{' No': -0.0052308915, 'No': -5.2590704, ' ': -11.11315, ' no': -13.962053, ' NO': -14.944078}
{' No': -0.036115475, ' Generally': -4.4479785, ' Typically': -7.9355917, 'No': -4.4221134, ' It': -4.567512}
{' No': -0.007777738, ' ': -10.061742, ' Generally': -7.9001274, 'No': -4.922193, ' Yes': -10.8946905}
{' No': -0.004688484, ' ': -10.842281, ' Generally': -14.471018, 'No': -5.3697567, ' no': -14.091963}
{' No': -0.0481127, ' ': -8.656627, ' Generally': -4.994941, 'No': -4.79513, ' Yes': -3.4655948}
{' No': -0.005719938, ' ': -10.470913, ' Generally': -12.402919, 'No': -5.173036, ' no': -14.084338}
{' No': -0.004873548, ' ': -10.764937, ' Generally': -13.023649, 'No': -5.331707, ' no': -14.366458}
{' ': -10.19909, ' Generally': -10.484832, ' Yes': -0.0025303357, ' yes': -9.445592, 'Yes': -6.0438924}
{' Yes': -0.0025959502, 'Yes': -6.0368385, ' yes': -9.193558, ' Generally': -9.972086, ' ': -10.251678}
{' ': -9.653661, ' Generally': -8.838416, ' Yes': -0.0032324763, ' yes': -9.176191, 'Yes': -5.852178}
{' ': -9.437515, ' Generally': -9.402485, ' Yes': -0.0034069247, ' yes': -9.024007, 'Yes': -5.806364}
{' Yes': -0.002202685, 'Yes': -6.186435, ' yes': -9.367148, ' ': -10.13982, ' An': -12.201714}
{' No': -0.14577036, ' ': -7.736708, 'No': -4.906841, ' Yes': -2.0614102, 'Yes': -7.6470857}
{' Yes': -0.007794437, ' Generally': -5.671059, 'Yes': -5.7522683, ' It': -8.175958, ' A': -8.499841}
{' Generally': -4.1748486, ' A': -7.0141544, ' Yes': -0.036176655, 'Yes': -5.4880443, ' It': -4.4797573}
{' Yes': -0.7844135, ' It': -1.2135345, ' No': -1.8317674, ' Generally': -3.0233355, ' That': -4.0826216}
{' No': -0.17666231, ' Generally': -6.3226886, 'No': -4.6573024, ' A': -6.7030296, ' Yes': -1.9086969}
{' No': -0.0091548115, ' ': -9.918259, 'No': -4.704593, ' A': -12.655103, ' no': -13.371556}
{' That': -3.5335708, ' No': -1.4070927, ' Generally': -2.314176, ' Yes': -3.340522, ' It': -0.58629566}
{' That': -8.138364, ' No': -0.026902912, ' Generally': -5.316463, 'No': -4.1282268, ' It': -5.508167}
{' No': -0.011906742, ' ': -9.913306, ' Generally': -8.146338, 'No': -4.4753675, ' A': -9.737441}
{' No': -0.007981262, '\n': -14.281673, ' ': -10.436104, 'No': -4.8388925, ' no': -13.326162}
{' That': -5.049163, ' No': -0.3694086, ' Generally': -2.5105944, 'No': -4.4539723, ' It': -1.6539184}
{' No': -0.02113779, ' Generally': -4.9398594, 'No': -4.4859586, ' A': -7.960039, ' Yes': -6.4006634}
{' No': -0.005324725, '\n': -13.783207, ' ': -10.185855, 'No': -5.246297, ' no': -13.369964}
{' No': -0.656124, ' Generally': -2.8516843, 'No': -4.9547787, ' A': -5.8676715, ' Yes': -0.8956985}
{' No': -0.008219515, ' ': -9.779305, ' Generally': -11.044908, 'No': -4.815615, ' A': -12.828929}
{' No': -0.009265437, 'No': -4.6925445, ' ': -10.098163, ' Generally': -11.346923, ' no': -13.577579}
{' ': -10.35866, ' Generally': -11.790126, ' Yes': -0.0019466907, ' yes': -10.160659, 'Yes': -6.2869883}
{' ': -10.692273, ' Generally': -12.288956, ' Yes': -0.0017079544, ' yes': -10.132853, 'Yes': -6.4166703}
{' No': -11.100064, ' ': -9.959037, ' Yes': -0.0018288685, ' yes': -10.081595, 'Yes': -6.3744574}
{' No': -8.687359, ' ': -9.510117, ' Yes': -0.002182199, ' yes': -9.831474, 'Yes': -6.293518}
{' No': -11.307144, ' ': -10.293627, ' Yes': -0.0015822785, ' yes': -10.163017, 'Yes': -6.509427}
{' No': -0.06982302, ' Yes': -2.7680519, 'No': -5.442467, ' ': -8.693661, 'Yes': -8.853537}
{' Yes': -0.009361457, ' Generally': -5.649519, 'Yes': -5.895334, ' No': -6.3844104, ' It': -7.574434}
{' No': -4.437054, ' Generally': -4.6916885, ' Yes': -0.033323515, 'Yes': -5.958214, ' It': -4.9458256}
{' No': -0.20381299, ' It': -2.1398044, ' Yes': -3.646041, ' Generally': -4.374587, 'No': -4.405463}
{' No': -0.016689608, ' Yes': -4.7005005, 'No': -4.9809113, ' Generally': -8.170633, ' ': -8.72661}
{' No': -0.0050720028, ' ': -10.194506, ' Generally': -14.013884, 'No': -5.2947464, ' A': -13.707861}
{' That': -4.1929736, ' No': -0.40229225, ' Generally': -2.88422, ' Yes': -3.9418905, ' It': -1.5222167}
{' That': -8.016065, ' No': -0.017431112, ' Generally': -6.7731376, 'No': -4.3225436, ' It': -6.1434736}
{' No': -0.008346867, ' ': -10.235592, ' Generally': -9.84404, 'No': -4.802752, ' A': -11.760594}
{' No': -0.0055882437, ' ': -10.878701, 'No': -5.1938033, ' A': -14.286016, ' no': -13.956695}
{' That': -4.839026, ' No': -0.23848599, ' Generally': -3.570536, 'No': -4.4562116, ' It': -1.8378187}
{' No': -0.008579857, ' ': -9.403639, ' Generally': -7.0519834, 'No': -4.9204164, ' Yes': -8.413517}
{' No': -0.0056379335, ' ': -10.625372, ' Generally': -13.526975, 'No': -5.1861663, ' no': -13.987559}
{' No': -0.93815887, ' Generally': -4.191848, 'No': -5.715159, ' Yes': -0.5321091, 'Yes': -6.723616}
{' No': -0.006309327, 'No': -5.0790343, ' ': -10.070241, ' Generally': -11.259656, ' A': -12.623345}
{' No': -0.0050345003, ' Not': -14.022776, ' ': -10.505452, ' Generally': -11.68249, 'No': -5.301881}
{' ': -9.719936, ' Generally': -12.214306, ' Yes': -0.0020238487, ' yes': -9.621851, 'Yes': -6.2739124}
{' Yes': -0.0021260488, 'Yes': -6.224277, ' yes': -9.434957, ' ': -9.818259, ' Generally': -12.757476}
{' ': -9.438545, ' Generally': -11.96754, ' Yes': -0.0022035204, ' yes': -9.603796, 'Yes': -6.194844}
{' No': -9.770577, ' ': -8.931537, ' Yes': -0.002738009, ' yes': -9.301305, 'Yes': -6.0175543}
{' YES': -12.879036, ' ': -9.708951, ' Yes': -0.0020382458, ' yes': -9.779231, 'Yes': -6.25965}
{' No': -0.3662225, ' Yes': -1.1987401, 'No': -5.6321297, ' ': -7.1932564, 'Yes': -7.245273}
{' No': -8.9578905, ' Generally': -6.1844325, ' Yes': -0.0052775084, ' yes': -8.77162, 'Yes': -5.995849}
{' No': -6.784531, ' Generally': -5.186345, ' Yes': -0.014843923, 'Yes': -5.7791376, ' It': -5.699982}
{' That': -4.282886, ' No': -0.5796368, ' Generally': -3.830451, ' Yes': -2.0933948, ' It': -1.3345999}
{' No': -0.090055525, ' ': -7.506435, ' Generally': -7.952825, 'No': -4.8594813, ' Yes': -2.5644093}
{' No': -0.0049394947, ' ': -9.773965, 'No': -5.325193, ' A': -13.985464, ' no': -14.1112585}
{' That': -4.113023, ' No': -1.1522263, ' Generally': -2.603404, ' Yes': -3.83496, ' It': -0.59854025}
{' That': -8.164217, ' No': -0.024522878, ' Generally': -6.27268, 'No': -4.0487976, ' It': -5.517605}
{' No': -0.009072344, ' ': -9.629176, ' Generally': -10.240368, 'No': -4.7210245, ' Yes': -11.394404}
{' No': -0.005158333, ' ': -10.267298, 'No': -5.276915, ' no': -13.802223, ' NO': -15.303792}
{' No': -0.34240127, ' Generally': -3.083303, 'No': -4.4452205, ' Yes': -5.184297, ' It': -1.5344598}
{' No': -0.010579765, ' ': -8.873387, ' Generally': -7.130658, 'No': -4.8218894, ' Yes': -6.533229}
{' No': -0.004250161, '\n': -15.458089, ' ': -10.104946, 'No': -5.473088, ' no': -13.901877}
{' No': -0.42435363, ' ': -6.791018, ' Generally': -4.647706, 'No': -4.864547, ' Yes': -1.1223556}
{' No': -0.0061574643, ' ': -9.718803, ' Generally': -13.1491585, 'No': -5.103842, ' no': -13.844104}
{' No': -0.004618662, ' ': -10.073815, ' Generally': -13.42848, 'No': -5.3899407, ' no': -14.200681}
{' ': -10.56137, ' Generally': -11.252542, ' Yes': -0.0016170247, ' yes': -10.1090555, 'Yes': -6.4815993}
{' ': -10.570906, ' Generally': -10.884647, ' Yes': -0.0014841962, ' yes': -9.914473, 'Yes': -6.583164}
{' ': -9.991311, ' Generally': -10.040122, ' Yes': -0.00173948, ' yes': -9.979675, 'Yes': -6.4437366}
{' No': -8.573986, ' ': -9.4350395, ' Yes': -0.0023078287, ' yes': -9.661938, 'Yes': -6.265754}
{' No': -12.196743, ' ': -10.376014, ' Yes': -0.0015476528, ' yes': -9.991304, 'Yes': -6.531489}
{' No': -0.10329482, ' ': -8.514317, 'No': -5.5475993, ' Yes': -2.3663735, 'Yes': -8.514332}
{' Yes': -0.010065216, ' Generally': -5.1661606, 'Yes': -5.9969215, ' It': -7.4873924, ' A': -8.046762}
{' No': -6.3413587, ' Generally': -3.9367378, ' Yes': -0.04634374, 'Yes': -5.776823, ' It': -4.0747895}
{' That': -3.8284037, ' No': -0.90535, ' Generally': -3.0422254, ' Yes': -2.5727315, ' It': -0.8429359}
{' No': -0.07271837, ' Generally': -6.958477, 'No': -4.96563, ' A': -7.8894043, ' Yes': -2.7917733}
{' No': -0.0046514133, 'No': -5.3804235, ' ': -10.387052, ' A': -13.395854, ' Generally': -14.09153}
{' That': -3.5391946, ' No': -1.457709, ' Generally': -2.5278957, ' Yes': -4.929192, ' It': -0.46275017}
{' That': -8.067742, ' No': -0.023324039, ' Generally': -5.5781813, 'No': -4.246331, ' It': -5.521882}
{' No': -0.0071219904, 'No': -4.9656386, ' Generally': -9.50154, ' ': -10.276929, ' A': -12.039883}
{' No': -0.005164744, 'No': -5.272289, ' ': -10.959158, ' no': -14.237017, ' A': -14.719409}
{' That': -4.941113, ' No': -0.46166867, ' Generally': -2.4861114, 'No': -4.7244954, ' It': -1.3471457}
{' No': -0.009178992, ' ': -9.413858, ' Generally': -6.3069534, 'No': -4.965661, ' Yes': -8.76645}
{' No': -0.0038246543, ' ': -10.452871, ' Generally': -13.985032, 'No': -5.576565, ' no': -14.250381}
{' No': -0.11609588, ' Generally': -4.0992484, 'No': -4.7104807, ' A': -7.7475348, ' Yes': -2.4971364}
{' No': -0.005230652, 'No': -5.265719, ' ': -10.225363, ' Generally': -11.478218, ' A': -13.343832}
{' No': -0.0044922004, ' Not': -14.355219, ' ': -10.752428, ' Generally': -11.817996, 'No': -5.4146714}
{' ': -10.469543, ' Generally': -10.197452, ' Yes': -0.0017490326, ' yes': -10.043308, 'Yes': -6.417801}
{' ': -10.525088, ' Generally': -9.808975, ' Yes': -0.0015687273, ' yes': -9.943191, 'Yes': -6.5512514}
{' ': -9.712476, ' Generally': -8.646947, ' Yes': -0.0022051358, ' yes': -9.746534, 'Yes': -6.2821765}
{' No': -6.80626, ' ': -9.222173, ' Generally': -8.04289, ' Yes': -0.0039268536, 'Yes': -6.106538}
{' No': -11.185716, ' ': -10.111232, ' Yes': -0.0016204864, ' yes': -9.953998, 'Yes': -6.499194}
{' No': -0.02161482, ' ': -9.2750025, 'No': -5.533547, ' Yes': -4.0581217, 'Yes': -10.034555}
{' No': -7.0074825, ' Generally': -4.199327, ' Yes': -0.023744425, 'Yes': -5.8433495, ' It': -6.0279503}
{' That': -4.8005075, ' No': -4.3989363, ' Generally': -2.7098553, ' Yes': -0.2710794, ' It': -1.9934744}
{' That': -3.2167737, ' No': -0.85881025, ' Generally': -3.3088832, ' Yes': -4.6064887, ' It': -0.7533699}
{' No': -0.010569041, ' Generally': -7.3104744, 'No': -4.763243, ' A': -8.595404, ' Yes': -6.9175744}
{' No': -0.0048373686, ' ': -10.537339, ' Generally': -13.34135, 'No': -5.340296, ' A': -13.321102}
{' That': -3.3621485, ' No': -1.6831838, ' Generally': -2.517359, ' Yes': -5.3002872, ' It': -0.40215313}
{' No': -0.051403027, ' It': -3.677677, 'No': -4.1755595, ' Generally': -5.185404, ' That': -5.9998207}
{' No': -0.009410613, 'No': -4.6986995, ' Generally': -8.482536, ' ': -10.530332, ' A': -11.361882}
{' No': -0.004892535, ' ': -10.851917, ' Generally': -14.640705, 'No': -5.3269424, ' no': -14.298238}
{' That': -4.4968495, ' No': -0.6507631, ' Generally': -2.1638017, 'No': -4.7165017, ' It': -1.1102738}
{' No': -0.012539565, ' ': -9.354542, ' Generally': -5.708803, 'No': -4.7302117, ' Yes': -9.745384}
{' No': -0.0036966186, ' ': -10.776037, ' Generally': -13.673223, 'No': -5.608654, ' no': -14.619491}
{' No': -0.116391815, ' Generally': -3.3942044, 'No': -4.5669875, ' A': -6.9037504, ' Yes': -2.7649457}
{' No': -0.005019224, ' ': -10.165064, ' Generally': -11.078519, 'No': -5.3089056, ' A': -12.991737}
{' No': -0.005128559, ' Not': -13.76016, ' ': -10.618148, ' Generally': -10.868186, 'No': -5.2848353}
{' Yes': -0.0021404412, 'Yes': -6.2936788, ' Generally': -8.638759, ' yes': -9.776632, ' ': -10.19293}
{' ': -10.48525, ' Generally': -9.094099, ' Yes': -0.0019020184, ' yes': -9.609377, 'Yes': -6.390896}
{' Yes': -0.0028793723, 'Yes': -6.092892, ' Generally': -7.7804227, ' yes': -9.49698, ' ': -9.788629}
{' No': -8.609327, ' ': -9.364839, ' Generally': -8.030582, ' Yes': -0.0031441608, 'Yes': -6.0318804}
{' Yes': -0.0019699815, 'Yes': -6.289804, ' yes': -9.74484, ' ': -10.317042, ' An': -11.798686}
{' No': -0.06371054, ' ': -8.692431, 'No': -5.3424215, ' Yes': -2.8720162, 'Yes': -8.849958}
{' Yes': -0.036916442, ' Generally': -3.7771637, ' It': -5.3274817, 'Yes': -5.7701716, ' On': -6.9541254}
{' That': -4.373724, ' No': -5.3623123, ' Generally': -2.6404743, ' Yes': -0.36973768, ' It': -1.5984383}
{' That': -2.4772172, ' No': -2.4137902, ' Generally': -3.594746, ' Yes': -4.4545465, ' It': -0.26020288}
{' No': -0.13684538, ' Generally': -5.4130235, 'No': -4.64012, ' A': -6.5049195, ' Yes': -2.1961658}
{' No': -0.0053206524, 'No': -5.24796, ' ': -10.2541895, ' Generally': -12.189383, ' A': -12.2135}
{' It': -0.38112915, ' No': -2.0549724, ' Generally': -2.270421, ' That': -3.1863332, ' Yes': -4.6926446}
{' That': -6.0031185, ' No': -0.06610132, ' Generally': -4.2604656, 'No': -4.084844, ' It': -3.5744135}
{' No': -0.010556632, ' ': -10.164794, ' Generally': -7.9093537, 'No': -4.600959, ' A': -10.676326}
{' No': -0.0063781887, ' ': -10.726099, ' Generally': -13.819468, 'No': -5.062111, ' no': -14.020273}
{' That': -3.2837095, ' No': -1.6425105, ' Generally': -2.264705, 'No': -5.5634623, ' It': -0.4496224}
{' No': -0.03230349, ' Generally': -3.9338176, 'No': -4.6294312, ' Yes': -6.62146, ' A': -7.959888}
{' No': -0.00494117, 'No': -5.3219366, ' ': -10.25824, ' Generally': -11.945457, ' A': -13.530356}
{' No': -0.83947295, ' Generally': -2.2690477, ' Typically': -6.1625485, 'No': -5.0467806, ' Yes': -0.8017246}
{' No': -0.0063744094, ' ': -9.880152, ' Generally': -9.563747, 'No': -5.080414, ' A': -12.066916}
{' No': -0.005324009, ' Not': -13.45364, ' ': -10.438009, ' Generally': -10.5922165, 'No': -5.249562}
{' ': -10.145159, ' Generally': -8.709999, ' Yes': -0.002094271, ' yes': -9.671769, 'Yes': -6.3183417}
{' ': -10.445968, ' Generally': -9.057701, ' Yes': -0.0018614717, ' yes': -9.546585, 'Yes': -6.4272265}
{' ': -9.66508, ' Generally': -7.855, ' Yes': -0.0026273255, ' yes': -9.494865, 'Yes': -6.2154946}
{' No': -7.133617, ' ': -9.133917, ' Generally': -7.8987637, ' Yes': -0.0037687118, 'Yes': -6.0765815}
{' Yes': -0.0018668463, 'Yes': -6.3577476, ' yes': -9.703071, ' ': -10.236299, ' An': -11.155888}
{' An': -10.721359, ' No': -0.010923427, ' ': -9.4569435, 'No': -5.337858, ' Yes': -5.126722}
{' No': -5.624309, ' Generally': -3.3654418, ' Yes': -0.06699321, 'Yes': -5.631137, ' It': -4.424062}
{' That': -3.348517, ' No': -3.8845217, ' Generally': -2.530289, ' Yes': -0.88003397, ' It': -0.8627667}
{' It': -0.44543195, ' No': -1.4672902, ' That': -2.6247952, ' Generally': -3.5739205, ' Yes': -4.8479357}
{' No': -0.011636068, 'No': -4.73763, ' Yes': -6.783218, ' Generally': -6.8262525, ' A': -7.78424}
{' No': -0.004528482, ' ': -10.738064, ' Generally': -12.861185, 'No': -5.4060707, ' A': -12.747362}
{' It': -0.43260413, ' No': -1.6883739, ' Generally': -2.5057185, ' That': -3.147175, ' The': -4.7860093}
{' That': -5.5351133, ' No': -0.061616056, ' Generally': -5.0890775, 'No': -4.08685, ' It': -3.4769523}
{' No': -0.010025421, 'No': -4.65223, ' Generally': -7.9482327, ' ': -10.399067, ' A': -10.501722}
{' No': -0.0055331616, ' ': -10.997592, ' Generally': -13.550165, 'No': -5.203581, ' A': -13.672463}
{' That': -3.9631505, ' No': -1.0677304, ' Go': -5.0746408, ' Generally': -2.0584493, ' It': -0.7361361}
{' No': -0.01851775, ' Generally': -4.797086, 'No': -4.687665, ' A': -8.510829, ' Yes': -8.316297}
{' No': -0.004413708, ' ': -10.627771, ' Generally': -12.10479, 'No': -5.432943, ' A': -13.24541}
{' No': -0.2774765, ' Generally': -2.5602448, 'No': -4.6398535, ' A': -5.9483366, ' Yes': -1.9189693}
{' No': -0.005588962, ' ': -10.009832, ' Generally': -10.00514, 'No': -5.2084637, ' A': -11.949793}
{' No': -0.005306091, ' ': -10.59123, ' Generally': -10.069712, 'No': -5.2560287, ' A': -12.763482}
{' ': -10.601603, ' Generally': -9.460899, ' Yes': -0.0018578888, ' yes': -9.934092, 'Yes': -6.381109}
{' ': -10.946824, ' Generally': -9.989362, ' Yes': -0.0015788168, ' yes': -9.914771, 'Yes': -6.532285}
{' Yes': -0.0022075237, 'Yes': -6.2759385, ' Generally': -8.581527, ' yes': -9.770098, ' ': -10.193828}
{' No': -8.662347, ' Generally': -8.621545, ' Yes': -0.0025721649, ' yes': -9.665708, 'Yes': -6.191016}
{' An': -12.025927, ' ': -10.6479, ' Yes': -0.0016708159, ' yes': -9.933655, 'Yes': -6.450753}
{' No': -0.032079186, ' ': -9.311152, 'No': -5.368366, ' Yes': -3.622123, 'Yes': -9.614663}
{' No': -6.9401255, ' Generally': -3.9114158, ' Yes': -0.03195856, 'Yes': -5.7386694, ' It': -5.717664}
{' That': -4.3855014, ' No': -4.8068957, ' Generally': -2.5441775, ' Yes': -0.31343618, ' It': -1.8874604}
{' That': -2.5378044, ' No': -1.5578067, ' Generally': -2.9758003, ' Yes': -3.843665, ' It': -0.4832906}
{' No': -0.07240504, ' Yes': -2.8979418, 'No': -4.6253242, ' Generally': -5.697572, ' A': -6.9530845}
{' No': -0.0053169974, ' ': -10.671624, ' Generally': -12.696965, 'No': -5.245477, ' A': -12.655742}
