{' No': -0.053980637, ' ': -9.075347, 'No': -6.8188515, ' Yes': -2.9723742, 'Yes': -8.938116}
{' Yes': -0.2104744, ' No': -1.6714576, 'Yes': -6.5163007, 'No': -8.758057, ' yes': -8.876587}
{' No': -0.0011989638, 'No': -6.7935076, ' Yes': -9.660083, ' ': -11.593295, ' no': -13.007847}
{' No': -0.11136654, ' ': -9.599453, 'No': -7.525707, ' Yes': -2.2579978, 'Yes': -8.483086}
{' No': -3.451626, ' ': -10.343985, ' Yes': -0.03417225, ' yes': -9.202114, 'Yes': -6.3559666}
{' No': -2.0905933, 'No': -9.066056, ' Yes': -0.13417414, ' yes': -9.063641, 'Yes': -6.387838}
{' No': -4.558239, ' ': -10.766586, ' Yes': -0.011932377, ' yes': -9.470773, 'Yes': -6.667978}
{' Yes': -0.0014136416, 'Yes': -6.6867633, ' No': -9.381533, ' yes': -9.55065, ' ': -12.081419}
{' No': -9.927134, ' ': -12.532402, ' Yes': -0.0015814432, ' yes': -9.926455, 'Yes': -6.519535}
{' No': -6.817891, ' ': -11.845338, ' Yes': -0.0027896508, ' yes': -9.6752615, 'Yes': -6.4272084}
{' No': -0.0035311535, ' ': -11.4093, 'No': -6.7611923, ' Yes': -6.054485, 'Yes': -11.902136}
{' No': -0.53766716, ' ': -9.080973, 'No': -6.847027, ' Yes': -0.8837995, 'Yes': -6.5887437}
{' No': -0.0022247883, 'No': -6.1298676, ' Yes': -10.565525, ' ': -11.438822, ' NO': -12.380458}
{' No': -0.04176492, ' ': -9.447946, 'No': -6.661081, ' Yes': -3.234043, 'Yes': -8.91931}
{' No': -2.2387183, 'No': -8.697477, ' Yes': -0.11615385, ' yes': -8.831705, 'Yes': -5.9296775}
{' No': -0.7253928, 'No': -6.8549376, ' Yes': -0.66810936, ' yes': -9.025847, 'Yes': -6.2554774}
{' No': -1.5808094, ' ': -9.142654, 'No': -8.21682, ' Yes': -0.2336776, 'Yes': -6.1735153}
{' No': -7.4904337, ' ': -10.925296, ' Yes': -0.0030244011, ' yes': -9.059197, 'Yes': -6.0686636}
{' Yes': -0.0023779694, 'Yes': -6.1737323, ' No': -8.503633, ' yes': -9.593247, ' YES': -11.575114}
{' No': -5.7890067, ' ': -10.936587, ' Yes': -0.005708728, ' yes': -9.209465, 'Yes': -5.991968}
{' No': -0.0037563874, ' ': -11.340433, 'No': -5.9904523, ' Yes': -6.704125, 'Yes': -12.077736}
{' No': -0.013611838, ' ': -9.631317, 'No': -6.755383, ' Yes': -4.4025908, 'Yes': -10.271551}
{' No': -0.0015862199, ' ': -10.744353, 'No': -6.470784, ' Yes': -11.618155, ' no': -12.5492935}
{' No': -0.0037575238, ' ': -9.633807, 'No': -7.00559, ' Yes': -5.8903008, 'Yes': -11.799381}
{' No': -0.27911997, ' ': -8.445503, 'No': -7.2607846, ' Yes': -1.4186044, 'Yes': -7.5303574}
{' No': -0.22594611, ' ': -8.83599, 'No': -6.8340445, ' Yes': -1.6074082, 'Yes': -7.4832664}
{' No': -1.2437351, ' ': -8.333813, 'No': -8.122578, ' Yes': -0.3431537, 'Yes': -6.487854}
{' No': -5.9563622, ' ': -9.925247, ' Yes': -0.0044258614, ' yes': -9.1481285, 'Yes': -6.400059}
{' No': -7.297677, ' ': -10.570092, ' Yes': -0.0022082417, ' yes': -9.617791, 'Yes': -6.550439}
{' No': -4.1802845, ' ': -9.672395, ' Yes': -0.017147178, ' yes': -9.382902, 'Yes': -6.476192}
{' No': -0.0016806078, ' ': -10.840731, 'No': -6.4396935, ' Yes': -9.746773, ' no': -12.907379}
{' No': -0.0055758357, ' ': -10.034934, 'No': -6.5600653, ' Yes': -5.5013833, 'Yes': -11.228898}
{' No': -0.0016469347, 'No': -6.428561, ' ': -10.8914585, ' Yes': -12.067051, ' no': -12.526046}
{' No': -0.002049595, ' ': -10.089105, 'No': -6.8559275, ' Yes': -6.963246, 'Yes': -12.750877}
{' No': -0.052093197, ' ': -9.023316, 'No': -6.9191146, ' Yes': -3.0055363, 'Yes': -8.99964}
{' No': -0.12986618, ' ': -8.768888, 'No': -6.5673027, ' Yes': -2.1220822, 'Yes': -7.815323}
{' No': -2.093718, ' ': -8.513624, 'No': -8.939291, ' Yes': -0.13414258, 'Yes': -6.3022065}
{' No': -5.8624177, ' ': -9.165415, ' Yes': -0.005486412, ' yes': -8.772059, 'Yes': -6.051642}
{' No': -6.1103845, ' ': -9.651821, ' Yes': -0.0048610894, ' yes': -8.931857, 'Yes': -6.023944}
{' No': -2.6564603, ' ': -8.650181, ' Yes': -0.07597009, ' yes': -8.822481, 'Yes': -5.9809837}
{' No': -0.0018003242, ' ': -11.0900955, 'No': -6.410695, ' Yes': -8.906543, ' no': -13.018559}
{' No': -0.09868031, ' ': -9.120601, 'No': -6.9302535, ' Yes': -2.3793428, 'Yes': -8.317801}
{' No': -0.001685683, ' ': -10.811673, 'No': -6.4103866, ' Yes': -11.1507, ' no': -12.678937}
{' No': -0.013028152, ' Yes': -4.438954, 'No': -6.905939, ' ': -9.340235, 'Yes': -10.162518}
{' No': -1.0512658, ' ': -8.504925, 'No': -8.028187, ' Yes': -0.43315703, 'Yes': -6.5484104}
{' No': -0.22052035, ' ': -9.090446, 'No': -6.863779, ' Yes': -1.6291984, 'Yes': -7.395565}
{' Yes': -0.088499576, ' No': -2.4920506, 'Yes': -6.3955197, ' ': -9.079574, ' yes': -9.252743}
{' No': -6.619118, ' ': -10.365114, ' Yes': -0.003088913, ' yes': -9.306305, 'Yes': -6.42487}
{' No': -7.2498946, ' ': -10.86753, ' Yes': -0.0023706208, ' yes': -9.608284, 'Yes': -6.4597583}
{' No': -5.2006035, ' ': -10.379923, ' Yes': -0.0072273514, ' yes': -9.484022, 'Yes': -6.4555683}
{' No': -0.001427788, ' ': -11.060358, 'No': -6.5997095, ' Yes': -9.950406, ' no': -13.521772}
{' No': -0.046007857, ' ': -9.302855, 'No': -6.2013326, ' Yes': -3.1552608, 'Yes': -8.544855}
{' No': -0.0032308027, ' ': -10.638108, 'No': -5.7512693, ' Yes': -11.363278, ' no': -12.071441}
{' No': -0.003672029, ' ': -9.864648, 'No': -6.3444085, ' Yes': -6.2982106, 'Yes': -11.585269}
{' No': -0.39187717, ' ': -8.484387, 'No': -6.894294, ' Yes': -1.1338509, 'Yes': -6.795739}
{' No': -0.049879618, ' Yes': -3.0841851, 'No': -5.9782104, 'Yes': -8.296215, ' ': -9.401806}
{' No': -0.45279434, ' ': -8.222808, 'No': -6.770519, ' Yes': -1.0183365, 'Yes': -6.535722}
{' No': -5.546225, ' ': -9.937797, ' Yes': -0.0068674916, ' yes': -9.059865, 'Yes': -5.8922033}
{' No': -7.304005, ' ': -10.734993, ' Yes': -0.003517995, ' yes': -9.182253, 'Yes': -5.913214}
{' No': -4.0521107, ' ': -9.882689, ' Yes': -0.02042577, ' yes': -9.140353, 'Yes': -5.9382854}
{' No': -0.0030580002, ' ': -10.923075, 'No': -5.8123345, ' Yes': -10.16487, ' no': -12.789102}
{' No': -0.39223516, ' ': -9.210709, 'No': -7.29904, ' Yes': -1.130545, 'Yes': -7.197744}
{' No': -0.0014513668, 'No': -6.5645385, ' Yes': -10.836579, ' ': -11.134105, ' no': -12.542945}
{' No': -0.024774818, ' ': -9.648066, 'No': -7.165752, ' Yes': -3.7478945, 'Yes': -9.767347}
{' Yes': -0.1498531, ' No': -1.9859164, 'Yes': -6.43503, ' yes': -9.034256, 'No': -9.136351}
{' No': -0.45324045, ' ': -9.358794, 'No': -7.250674, ' Yes': -1.0142508, 'Yes': -7.0145273}
{' No': -2.6074526, ' ': -9.576965, ' Yes': -0.078617334, ' yes': -9.134872, 'Yes': -6.4135303}
{' No': -7.6280565, ' ': -11.363593, ' Yes': -0.0020424274, ' yes': -9.338365, 'Yes': -6.5368605}
{' No': -7.9620705, ' ': -11.800942, ' Yes': -0.0017147579, ' yes': -9.719114, 'Yes': -6.651964}
{' No': -4.816377, ' ': -10.996233, ' Yes': -0.010013499, ' yes': -9.385076, 'Yes': -6.3457127}
{' No': -0.0017629463, ' ': -11.374832, 'No': -6.390261, ' Yes': -9.589123, ' no': -13.138148}
{' No': -0.0055729593, ' ': -9.374494, 'No': -6.088224, ' Yes': -5.757049, 'Yes': -11.136802}
{' No': -0.002577424, ' ': -9.860495, 'No': -6.0165887, ' Yes': -9.981632, ' no': -10.917394}
{' No': -0.0054519502, ' ': -9.436629, 'No': -6.5907, ' Yes': -5.532969, 'Yes': -11.171854}
{' No': -0.06002887, ' Yes': -2.8707702, 'No': -6.692618, 'Yes': -8.659877, ' ': -8.727876}
{' No': -0.20381351, ' ': -8.3146515, 'No': -6.4227214, ' Yes': -1.7051753, 'Yes': -7.3043704}
{' No': -1.6917117, ' ': -8.401693, 'No': -8.376793, ' Yes': -0.206776, 'Yes': -6.234478}
{' No': -5.9371862, ' ': -9.912591, ' Yes': -0.005086201, ' yes': -8.726079, 'Yes': -6.120633}
{' No': -7.0444703, ' ': -10.051048, ' Yes': -0.0033234945, ' yes': -8.983561, 'Yes': -6.099589}
{' No': -3.3364906, ' ': -9.317766, ' Yes': -0.03871928, ' yes': -8.795269, 'Yes': -6.164945}
{' No': -0.0026483606, ' ': -10.363539, 'No': -5.9843583, ' Yes': -9.388027, ' no': -12.071126}
{' No': -0.00463896, ' Yes': -5.84329, 'No': -6.394026, ' ': -10.163002, 'Yes': -11.311063}
{' No': -0.0023213914, ' ': -10.851618, 'No': -6.0809093, ' Yes': -12.372665, ' no': -12.260905}
{' No': -0.0023353114, ' ': -10.321901, 'No': -6.5662556, ' Yes': -7.031601, 'Yes': -12.487139}
{' No': -0.10641025, ' ': -9.1162, 'No': -6.645312, ' Yes': -2.3110802, 'Yes': -7.9454255}
{' No': -0.03290117, ' ': -9.664555, 'No': -6.1530166, ' Yes': -3.5058968, 'Yes': -8.870515}
{' No': -0.7188958, ' ': -8.5995035, 'No': -7.250785, ' Yes': -0.6730776, 'Yes': -6.4389577}
{' No': -4.666982, ' ': -10.06125, ' Yes': -0.012421937, ' yes': -9.062398, 'Yes': -5.892783}
{' No': -5.204009, ' ': -10.340817, ' Yes': -0.008477722, ' yes': -9.30712, 'Yes': -5.877126}
{' No': -1.9179096, 'No': -8.328787, ' Yes': -0.16244698, ' yes': -9.362998, 'Yes': -5.9498363}
{' No': -0.0028204327, ' ': -11.258357, 'No': -5.8858366, ' Yes': -10.834147, ' no': -12.795043}
{' No': -0.008798349, ' Yes': -5.120226, 'No': -5.91484, ' ': -10.197474, 'Yes': -10.283935}
{' No': -0.0033905965, ' ': -11.030576, 'No': -5.6989965, ' Yes': -11.925966, ' no': -12.091175}
{' No': -0.0029755589, '\n': -12.45693, ' ': -10.567507, 'No': -5.993229, ' Yes': -7.735056}
{' No': -0.02549819, ' ': -9.646471, 'No': -6.1824684, ' Yes': -3.7759655, 'Yes': -9.101585}
{' No': -0.05240143, ' ': -9.296668, 'No': -5.693337, ' Yes': -3.0531528, 'Yes': -7.997166}
{' No': -0.18863088, ' ': -8.650251, 'No': -6.272739, ' Yes': -1.7781504, 'Yes': -7.1006045}
{' No': -4.069428, ' ': -9.049324, ' Yes': -0.02294243, ' yes': -8.34268, 'Yes': -5.2687516}
{' No': -5.4347615, ' ': -9.6860285, ' Yes': -0.009917118, ' yes': -8.559288, 'Yes': -5.257258}
{' No': -1.7716503, ' ': -8.706715, 'No': -7.7062583, ' Yes': -0.19249529, 'Yes': -5.4653397}
{' No': -0.003736284, '\n': -12.501069, ' ': -11.188857, 'No': -5.6119404, ' Yes': -9.852243}
{' No': -0.019391084, ' ': -9.892755, 'No': -7.124032, ' Yes': -4.0010138, 'Yes': -10.080604}
{' No': -0.0011167915, ' ': -11.144115, 'No': -6.823336, ' Yes': -11.672287, ' NO': -13.104969}
{' No': -0.0023032886, ' ': -10.290978, 'No': -7.2400727, ' Yes': -6.4749594, 'Yes': -12.487862}
{' No': -0.2246872, ' ': -8.947051, 'No': -7.480493, ' Yes': -1.6088864, 'Yes': -7.8510222}
{' No': -0.1174235, ' ': -9.491666, 'No': -7.0591116, ' Yes': -2.211206, 'Yes': -8.249333}
{' No': -1.7676002, ' ': -8.831279, 'No': -9.053212, ' Yes': -0.18925017, 'Yes': -6.6316786}
{' Yes': -0.0054086805, ' No': -5.5521026, 'Yes': -6.5942183, ' yes': -9.21072, ' ': -10.267947}
{' No': -6.63659, ' ': -10.632307, ' Yes': -0.0027494258, ' yes': -9.576125, 'Yes': -6.6216016}
{' No': -2.7480364, ' ': -9.745797, ' Yes': -0.0677559, ' yes': -9.60456, 'Yes': -6.6607523}
{' No': -0.0010829606, 'No': -6.8620677, ' Yes': -10.773824, ' ': -11.392455, ' no': -13.441575}
{' No': -0.03321962, ' ': -9.3886385, 'No': -7.018227, ' Yes': -3.4545164, 'Yes': -9.478171}
{' No': -0.0011966951, ' ': -10.915332, 'No': -6.7548585, ' Yes': -11.777176, ' NO': -13.143264}
{' No': -0.0036439146, ' ': -9.848896, 'No': -7.14487, ' Yes': -5.884152, 'Yes': -11.843904}
{' No': -0.115889326, ' ': -8.826574, 'No': -7.3860536, ' Yes': -2.2217128, 'Yes': -8.456758}
{' No': -0.023664717, ' Yes': -3.8102422, 'No': -6.8015995, 'Yes': -9.638306, ' ': -9.769705}
{' No': -0.9380517, ' ': -8.28845, 'No': -8.063541, ' Yes': -0.49962848, 'Yes': -6.7319202}
{' No': -4.7799635, ' ': -9.887914, ' Yes': -0.010198223, ' yes': -9.182996, 'Yes': -6.4498897}
{' No': -6.122559, ' ': -10.470776, ' Yes': -0.0039221244, ' yes': -9.484619, 'Yes': -6.434323}
{' No': -2.1412594, ' ': -9.3587675, 'No': -9.300235, ' Yes': -0.12696958, 'Yes': -6.524976}
{' No': -0.0013120571, 'No': -6.659154, ' ': -11.131707, ' Yes': -11.455643, ' no': -13.353097}
{' No': -0.020316457, ' Yes': -3.9628289, 'No': -6.9313807, ' ': -9.641425, 'Yes': -9.868129}
{' No': -0.001339094, 'No': -6.636085, ' ': -11.054311, ' Yes': -12.076749, ' NO': -13.164394}
{' No': -0.0021063364, ' ': -10.185314, 'No': -7.187357, ' Yes': -6.642552, 'Yes': -12.576208}
{' No': -0.0961537, ' Yes': -2.399956, 'No': -7.3605022, 'Yes': -8.590316, ' ': -9.07029}
{' No': -0.046967816, ' ': -9.75161, 'No': -6.8993077, ' Yes': -3.1081307, 'Yes': -9.035002}
{' No': -1.2768369, ' ': -8.632803, 'No': -8.478102, ' Yes': -0.32945108, 'Yes': -6.641583}
{' No': -6.0822573, ' ': -10.346555, ' Yes': -0.0038069428, ' yes': -9.534674, 'Yes': -6.5684066}
{' Yes': -0.0027626345, 'Yes': -6.4618707, ' No': -6.809811, ' yes': -9.701203, ' ': -10.616631}
{' No': -3.0962822, ' ': -9.488517, ' Yes': -0.04805679, ' yes': -9.575568, 'Yes': -6.493361}
{' No': -0.0012445559, ' ': -11.332999, 'No': -6.712065, ' Yes': -11.283969, ' no': -13.470879}
{' No': -0.023235517, ' ': -9.325411, 'No': -6.661558, ' Yes': -3.8391037, 'Yes': -9.541517}
