{' No': -0.011050761, ' Not': -12.512437, ' ': -10.515855, ' Generally': -11.123646, 'No': -4.5152335}
{' No': -0.018462557, ' ': -9.053386, ' Generally': -7.9795995, 'No': -4.8623056, ' Yes': -4.6048484}
{' No': -0.012382891, ' ': -10.088783, ' Generally': -8.535738, 'No': -4.4244695, ' It': -10.173204}
{' No': -0.012518382, ' Not': -8.699261, ' Generally': -7.95022, 'No': -4.574482, ' It': -6.5596237}
{' No': -0.007011902, ' Not': -12.567313, ' ': -10.30217, ' Generally': -11.675046, 'No': -4.97119}
{' No': -0.0071786614, 'No': -4.9444933, ' ': -10.685445, ' Generally': -13.160842, ' Not': -13.521698}
{' No': -0.0095537035, 'No': -4.6597385, ' ': -10.400868, ' Generally': -12.478307, ' Not': -13.578884}
{' No': -0.006028112, 'No': -5.1200795, ' ': -10.396829, ' no': -13.411684, '\n': -14.397853}
{' No': -0.0058880425, ' Not': -12.333882, ' ': -10.442414, ' Generally': -9.822376, 'No': -5.154434}
{' No': -0.0057384633, ' Not': -12.368216, ' ': -10.56766, ' Generally': -9.922807, 'No': -5.1786604}
{' No': -0.0056049665, ' Not': -13.193714, ' ': -10.742862, ' Generally': -10.536189, 'No': -5.1968412}
{' No': -0.0059484807, 'No': -5.135318, ' ': -10.504918, ' Generally': -11.283267, ' Not': -13.461011}
{' No': -0.003811012, 'No': -5.579086, ' ': -10.602827, ' no': -13.594609, ' NO': -14.399718}
{' That': -5.0985074, ' No': -0.29461733, ' Generally': -3.1942048, 'No': -4.4925256, ' It': -1.6881759}
{' No': -0.014521473, ' Not': -9.133669, ' Generally': -6.5825734, 'No': -4.495656, ' It': -6.526516}
{' No': -0.010310771, ' ': -9.431123, ' Generally': -7.3559256, 'No': -4.6927695, ' It': -8.467776}
{' No': -0.0049047517, 'No': -5.328978, ' ': -10.182513, ' no': -13.392657, ' Generally': -13.466754}
{' That': -4.3745065, ' No': -0.8630207, ' Generally': -2.2113006, 'No': -5.00915, ' It': -0.84221345}
{' No': -0.02068344, ' Generally': -4.86339, ' Typically': -8.466896, 'No': -4.529196, ' It': -6.779363}
{' No': -0.0052692383, 'No': -5.2567606, ' ': -10.2921, ' Generally': -12.433571, ' A': -13.444567}
{' No': -0.03926646, ' Generally': -4.4013953, 'No': -4.3143363, ' Yes': -5.4912276, ' It': -5.0377517}
{' No': -0.0072261505, ' ': -10.326848, ' Generally': -11.148958, 'No': -4.941066, ' A': -13.43934}
{' No': -0.016321547, ' ': -9.164757, ' Generally': -8.154109, 'No': -5.022356, ' Yes': -4.6985455}
{' No': -0.019188551, ' Not': -9.095353, ' Generally': -6.7139645, 'No': -4.12188, ' It': -6.8079953}
{' That': -6.565861, ' No': -0.047028102, ' Generally': -6.380154, 'No': -4.011288, ' It': -3.7563114}
{' No': -0.01281948, ' ': -9.54714, ' Generally': -9.9721365, 'No': -4.379474, ' It': -10.184377}
{' No': -0.0129971765, ' ': -9.948149, ' Generally': -11.069421, 'No': -4.357029, ' It': -11.483276}
{' No': -0.015059069, ' Not': -12.676295, ' ': -9.6586075, ' Generally': -11.033445, 'No': -4.209704}
{' No': -0.011746972, ' ': -9.81693, 'No': -4.455562, ' A': -13.265087, ' no': -12.645888}
{' No': -0.010914568, ' ': -9.672679, ' Generally': -7.0035043, 'No': -4.644284, ' It': -8.971316}
{' No': -0.010203281, ' ': -9.814279, ' Generally': -7.4711347, 'No': -4.6668344, ' It': -9.899211}
{' No': -0.009075651, ' ': -10.098743, ' Generally': -8.490597, 'No': -4.739647, ' A': -11.493601}
{' No': -0.008094701, ' ': -9.878704, ' Generally': -9.91087, 'No': -4.8347073, ' A': -12.899243}
{' No': -0.0065941033, 'No': -5.03365, ' ': -9.911934, ' no': -12.728023, '\n': -13.4696455}
{' It': -0.5316227, ' No': -1.3834159, ' Generally': -2.6080139, ' That': -3.3896813, ' Yes': -3.6322675}
{' That': -6.1005807, ' No': -0.06752854, ' Generally': -4.1188836, 'No': -4.3783884, ' It': -3.518933}
{' No': -0.033274524, ' Generally': -4.7521043, 'No': -4.361434, ' Yes': -5.2230673, ' It': -5.5265317}
{' No': -0.007883333, 'No': -4.8570805, ' ': -9.750354, ' Generally': -11.5632715, ' A': -12.510526}
{' That': -3.8644893, ' No': -1.5191889, ' Generally': -2.1501722, ' Yes': -2.528611, ' It': -0.65100944}
{' No': -0.16611971, ' Generally': -2.5860643, 'No': -4.3131227, ' Yes': -4.201331, ' It': -3.3030367}
{' No': -0.008456803, ' ': -9.66709, ' Generally': -10.516364, 'No': -4.7908435, ' A': -11.06063}
{' No': -0.6239223, ' Generally': -2.6697617, 'No': -4.433773, ' Yes': -1.0941715, ' It': -3.5065112}
{' No': -0.010110795, 'No': -4.6312637, ' Generally': -8.821439, ' ': -9.662732, ' Yes': -9.780089}
{' No': -1.1174227, ' Generally': -6.2682476, 'No': -5.654925, ' Yes': -0.40931758, 'Yes': -6.1587796}
{' No': -0.014197735, ' ': -9.638709, ' Generally': -8.708791, 'No': -4.28844, ' It': -9.365809}
{' That': -7.545493, ' No': -0.020918775, ' Generally': -7.775769, 'No': -4.182368, ' It': -5.4971814}
{' No': -0.009282463, 'No': -4.690631, ' ': -10.238856, ' Generally': -11.498109, ' Not': -12.673385}
{' No': -0.008529237, ' ': -10.51439, ' Generally': -12.262292, 'No': -4.7733436, ' A': -12.84944}
{' No': -0.009039264, ' Not': -13.205322, ' ': -10.100327, ' Generally': -11.586923, 'No': -4.7171}
{' No': -0.007619827, ' ': -10.276859, 'No': -4.8858795, ' A': -14.381626, ' no': -13.345783}
{' No': -0.006581083, ' ': -10.224941, ' Generally': -8.8952675, 'No': -5.059172, ' It': -11.523072}
{' No': -0.0067694345, ' ': -10.313816, ' Generally': -8.996792, 'No': -5.026621, ' It': -11.70414}
{' No': -0.006769075, ' Not': -12.895363, ' ': -10.6422615, ' Generally': -10.032285, 'No': -5.0105705}
{' No': -0.007233353, ' Not': -12.993484, ' ': -10.174461, ' Generally': -10.110521, 'No': -4.9450173}
{' No': -0.004379944, ' ': -10.558102, 'No': -5.4396615, ' no': -13.549704, ' NO': -14.4554615}
{' That': -3.7107387, ' No': -0.6736125, ' Generally': -2.6836069, ' Yes': -2.682882, ' It': -1.1810454}
{' No': -0.022693085, 'No': -4.5277185, ' Generally': -5.177669, ' It': -5.551324, ' That': -7.4583807}
{' No': -0.019764958, ' Generally': -5.569747, 'No': -4.674462, ' Yes': -5.4073095, ' It': -6.9153333}
{' No': -0.0053042937, ' ': -9.9458885, ' Generally': -12.430487, 'No': -5.2531066, ' A': -12.910999}
{' That': -3.577199, ' No': -0.904073, ' Generally': -2.1376145, ' Yes': -3.2779763, ' It': -0.96419257}
{' No': -0.028584957, ' Generally': -4.4609294, 'No': -4.5322566, ' Yes': -7.042918, ' It': -5.680917}
{' No': -0.0061448105, ' ': -10.037915, ' Generally': -12.192755, 'No': -5.1044626, ' A': -12.544981}
{' No': -0.08272411, ' Yes': -3.3524213, 'No': -4.17709, ' Generally': -4.227185, ' It': -4.5435433}
{' No': -0.0073671835, ' ': -9.910924, ' Generally': -11.053093, 'No': -4.9251604, ' Yes': -12.144322}
{' No': -0.051420845, ' ': -8.543802, ' Generally': -8.407886, 'No': -5.088961, ' Yes': -3.1383672}
{' No': -0.013537038, 'No': -4.332932, ' Generally': -8.61899, ' ': -9.448175, ' It': -10.900166}
{' No': -0.021383462, 'No': -4.0550976, ' It': -5.7597218, ' Generally': -8.303986, ' That': -8.804396}
{' No': -0.009181159, ' Not': -13.30916, ' ': -9.907355, ' Generally': -12.673834, 'No': -4.701663}
{' No': -0.008123665, ' ': -10.481197, ' Generally': -14.504928, 'No': -4.82094, ' no': -13.568472}
{' No': -0.008696493, 'No': -4.7578225, ' ': -9.595772, ' Generally': -12.910986, ' no': -13.436091}
{' No': -0.006821525, '\n': -14.700257, ' ': -9.600276, 'No': -5.0016274, ' no': -13.129279}
{' No': -0.0064082416, ' ': -9.865588, ' Generally': -9.069197, 'No': -5.085233, ' It': -11.265642}
{' No': -0.00648503, 'No': -5.0664387, ' Generally': -9.3255005, ' ': -9.900839, ' It': -12.120266}
{' No': -0.0055257883, ' Not': -13.565625, ' ': -10.183756, ' Generally': -10.595728, 'No': -5.2138042}
{' No': -0.0053263437, ' ': -9.821431, ' Generally': -10.786133, 'No': -5.253068, ' no': -13.683214}
{' No': -0.0038860466, 'No': -5.5664563, ' ': -9.880819, ' no': -13.266317, ' NO': -14.438319}
{' That': -3.67434, ' No': -1.1895072, ' Generally': -3.1180866, ' Yes': -3.6911855, ' It': -0.5441713}
{' That': -7.2184534, ' No': -0.034226835, ' Generally': -5.921107, 'No': -4.320564, ' It': -4.1488605}
{' No': -0.015319955, ' Generally': -6.114061, 'No': -4.5435734, ' Yes': -6.618896, ' It': -7.61961}
{' No': -0.0054860525, 'No': -5.2230134, ' ': -9.491184, ' no': -13.151554, '\n': -14.42952}
{' It': -0.57040405, ' No': -1.5753441, ' Generally': -1.9714355, ' Yes': -3.183828, ' That': -4.1091785}
{' No': -0.045527097, ' Generally': -3.6926196, 'No': -4.5775075, ' It': -5.439236, ' Yes': -5.8753304}
{' No': -0.005246231, ' ': -9.62803, ' Generally': -13.503449, 'No': -5.2665906, ' no': -13.439347}
{' No': -0.24638557, ' Generally': -3.2749422, 'No': -4.3284416, ' Yes': -1.9410266, ' It': -4.1145}
{' No': -0.007424229, ' ': -9.402773, ' Generally': -11.56451, 'No': -4.9202847, ' Yes': -13.109102}
{' No': -0.2009202, ' Generally': -7.3274684, 'No': -4.961834, ' Yes': -1.7539482, 'Yes': -7.5408936}
{' No': -0.012769614, ' ': -9.456778, ' Generally': -7.138953, 'No': -4.496494, ' It': -7.5951552}
{' That': -6.338684, ' No': -0.05032362, ' Generally': -6.915891, 'No': -4.260887, ' It': -3.4704342}
{' No': -0.0068797967, ' ': -10.133663, ' Generally': -10.945177, 'No': -4.993761, ' It': -11.936314}
{' No': -0.00648725, ' Not': -13.617687, ' ': -10.653636, ' Generally': -12.694141, 'No': -5.0460205}
{' No': -0.007204838, 'No': -4.94459, ' ': -10.071932, ' Generally': -11.519206, ' Not': -13.542897}
{' No': -0.0049503953, ' ': -10.402391, 'No': -5.3174634, ' no': -13.718375, ' NO': -15.093216}
{' No': -0.005824011, ' ': -10.238075, ' Generally': -8.395038, 'No': -5.2020426, ' It': -11.388108}
{' No': -0.005573797, ' Not': -11.964219, ' ': -10.412416, ' Generally': -8.714561, 'No': -5.2325}
{' No': -0.0047131567, ' ': -10.705656, ' Generally': -9.7611885, ' Typically': -13.104758, 'No': -5.37875}
{' No': -0.004768914, ' ': -10.326916, ' Generally': -10.244119, 'No': -5.3637624, ' A': -13.471073}
{' No': -0.003425043, 'No': -5.6867075, ' ': -10.552272, ' no': -13.699637, ' NO': -14.730114}
{' That': -3.4423895, ' No': -1.2340916, ' Generally': -2.5191028, ' Yes': -4.6270742, ' It': -0.57158935}
{' That': -8.224689, ' No': -0.021517497, ' Generally': -4.906836, 'No': -4.6091332, ' It': -5.9512525}
{' No': -0.0133047, ' Generally': -5.6294146, 'No': -4.803685, ' Yes': -7.6069593, ' It': -7.757085}
{' No': -0.0046762084, 'No': -5.377435, ' ': -10.135123, ' Generally': -12.964108, ' no': -13.583541}
{' That': -3.707622, ' No': -1.9273257, ' Generally': -2.0011668, ' Yes': -4.6191225, ' It': -0.4254795}
{' No': -0.07238767, ' Generally': -3.097986, 'No': -4.5963283, ' Yes': -7.0468364, ' It': -4.557819}
{' No': -0.0044319094, 'No': -5.433446, ' ': -10.094344, ' Generally': -11.776477, ' A': -13.104916}
{' No': -0.13124049, ' Generally': -3.1913733, ' Yes': -3.27663, ' It': -3.748817, 'No': -4.2954097}
{' No': -0.0059011723, ' ': -10.068289, ' Generally': -10.23049, 'No': -5.1503177, ' A': -12.822248}
{' No': -0.06669153, ' Generally': -6.48421, 'No': -4.9966936, ' A': -8.239669, ' Yes': -2.8910532}
{' No': -0.017681153, ' Not': -8.911345, ' Generally': -6.4965262, 'No': -4.228592, ' It': -6.879766}
{' That': -6.7923117, ' No': -0.036383647, ' Generally': -6.3351083, 'No': -4.0530424, ' It': -4.2381005}
{' No': -0.0076245116, ' Not': -12.025383, ' ': -10.065546, ' Generally': -10.420667, 'No': -4.892241}
{' No': -0.0073822555, 'No': -4.9183817, ' ': -10.515017, ' Generally': -11.795952, ' Not': -12.8757925}
{' No': -0.008774478, 'No': -4.749514, ' ': -10.081036, ' Generally': -10.424973, ' Not': -12.927791}
{' No': -0.005724254, ' ': -10.296829, 'No': -5.172415, ' A': -14.361414, ' no': -13.839065}
{' No': -0.0076869763, ' ': -10.143732, ' Generally': -7.1746387, 'No': -4.9985905, ' It': -10.293924}
{' No': -0.0070404136, ' ': -10.219625, ' Generally': -7.3873863, 'No': -5.0681973, ' It': -10.701284}
{' No': -0.0051556956, ' ': -10.701363, ' Generally': -9.35562, ' Typically': -12.809988, 'No': -5.293638}
{' No': -0.005282841, ' ': -10.298057, ' Generally': -9.41256, ' Typically': -13.011161, 'No': -5.2697024}
{' No': -0.0037366427, 'No': -5.599788, ' ': -10.462526, ' no': -13.809888, ' A': -14.956833}
{' That': -3.3575974, ' No': -1.2078896, ' Generally': -2.490101, 'No': -5.16082, ' It': -0.5951614}
{' That': -7.149436, ' No': -0.031989887, ' Generally': -4.537193, 'No': -4.570074, ' It': -4.831783}
{' No': -0.017890902, 'No': -4.751894, ' Generally': -4.9672832, ' It': -7.2064776, ' Yes': -7.378153}
{' No': -0.00469591, 'No': -5.375463, ' ': -10.053652, ' Generally': -11.810239, ' A': -12.941111}
{' It': -0.40253577, ' Generally': -2.0106459, ' No': -2.092525, ' That': -3.470336, ' Go': -4.792285}
{' No': -0.100893036, ' Generally': -2.73633, ' Typically': -6.888229, 'No': -4.5119286, ' It': -4.233822}
{' No': -0.0047789738, ' ': -10.096721, ' Generally': -10.903234, 'No': -5.360381, ' A': -12.178459}
{' No': -0.24432038, ' Generally': -2.3152661, 'No': -4.201096, ' Yes': -2.812977, ' It': -3.5262148}
{' No': -0.0065503647, 'No': -5.050343, ' Generally': -9.574025, ' ': -10.1019745, ' A': -12.225188}
{' No': -0.037702326, ' Generally': -6.559633, 'No': -4.8487887, ' A': -8.665014, ' Yes': -3.6029906}
{' No': -0.022851316, ' Not': -8.455337, ' Generally': -5.6728225, 'No': -4.2127924, ' It': -5.66933}
{' That': -3.7548177, ' No': -0.34781083, ' Generally': -5.3163033, 'No': -4.1610184, ' It': -1.4167863}
{' No': -0.009453693, ' ': -9.753043, ' Generally': -9.215151, 'No': -4.6923375, ' It': -10.105}
{' No': -0.008372651, ' ': -10.342578, ' Generally': -10.7365465, 'No': -4.7959642, ' It': -12.021494}
{' No': -0.008893839, ' Not': -12.225623, ' ': -9.9749775, ' Generally': -9.990399, 'No': -4.7391796}
{' No': -0.0066994657, 'No': -5.0170293, ' ': -9.9789505, ' no': -13.301289, ' Generally': -13.328623}
{' No': -0.008898651, ' Generally': -6.6523595, ' Typically': -9.805988, 'No': -4.9404454, ' It': -8.481587}
{' No': -0.008868884, ' ': -9.898543, ' Generally': -6.5158134, 'No': -4.9483485, ' It': -9.347522}
{' No': -0.0063661924, ' ': -10.310622, ' Generally': -8.163741, ' Typically': -11.516188, 'No': -5.1165805}
{' No': -0.006151648, ' ': -10.27713, ' Generally': -8.991547, ' Typically': -12.563888, 'No': -5.122553}
{' No': -0.0045593805, ' ': -10.363692, 'No': -5.4005322, ' no': -13.564752, ' NO': -14.680916}
{' That': -2.7347155, ' No': -2.6714697, ' Generally': -2.7211103, ' The': -4.607572, ' It': -0.28099167}
{' That': -5.3705506, ' No': -0.114191696, ' Generally': -3.4390967, 'No': -4.2528043, ' It': -2.9852436}
{' No': -0.041869957, ' Generally': -4.0193553, 'No': -4.48039, ' Yes': -6.052184, ' It': -5.0154643}
{' No': -0.005822152, ' ': -9.989812, ' Generally': -10.924072, 'No': -5.161525, ' A': -12.6512}
{' That': -3.4754717, ' No': -2.687054, ' Go': -3.9781382, ' Generally': -1.9232581, ' It': -0.36643246}
{' No': -0.20736228, ' Generally': -2.1161814, 'No': -4.602006, ' Yes': -6.1300707, ' It': -3.1690092}
{' No': -0.0063706893, 'No': -5.075226, ' ': -10.006512, ' Generally': -10.136673, ' A': -11.539531}
{' No': -0.29707906, ' Generally': -2.260225, 'No': -4.2193236, ' Yes': -2.5956764, ' It': -3.1238842}
{' No': -0.007668656, ' ': -10.06463, ' Generally': -8.723323, 'No': -4.904964, ' A': -11.449216}
{' No': -0.032129657, ' Generally': -5.945308, 'No': -4.8087087, ' A': -8.014997, ' Yes': -3.9127715}
{' No': -0.023276025, 'No': -4.2020955, ' It': -5.4506397, ' Generally': -5.89514, ' Not': -8.364504}
{' No': -0.14002694, ' It': -2.3703966, 'No': -4.0039353, ' That': -4.6635714, ' Generally': -5.3762765}
{' No': -0.0099015245, ' ': -9.939978, ' Generally': -9.5626545, 'No': -4.642555, ' It': -9.981987}
{' No': -0.008659154, 'No': -4.761665, ' ': -10.520121, ' Generally': -10.983952, ' It': -11.788519}
{' No': -0.008915792, ' ': -10.028063, ' Generally': -10.090372, 'No': -4.736254, ' It': -12.122987}
{' No': -0.00661384, ' ': -10.240072, ' Generally': -13.364904, 'No': -5.0283556, ' no': -13.276813}
{' No': -0.008444961, 'No': -4.990365, ' Generally': -6.6928453, ' It': -8.765634, ' ': -9.911681}
{' No': -0.008397953, ' ': -9.974916, ' Generally': -6.919271, 'No': -4.9461284, ' It': -9.063968}
{' No': -0.0056073656, ' ': -10.511495, ' Generally': -8.925254, 'No': -5.219255, ' A': -12.282982}
{' No': -0.0052609122, ' ': -10.284475, ' Generally': -9.123547, 'No': -5.2803993, ' A': -12.641047}
{' No': -0.003930323, ' ': -10.653901, 'No': -5.54807, ' A': -14.1256, ' no': -13.542068}
{' That': -2.8330383, ' No': -2.4177628, ' Generally': -2.7587242, ' The': -4.435459, ' It': -0.29524043}
{' No': -0.09826542, ' It': -3.0198429, ' Generally': -3.846852, 'No': -4.4291124, ' That': -5.293265}
{' No': -0.06305085, ' Generally': -3.7847435, 'No': -4.3571696, ' Yes': -5.378495, ' It': -4.1779017}
{' No': -0.00564021, ' ': -10.058548, ' Generally': -11.021389, 'No': -5.193487, ' A': -11.955615}
{' That': -3.2567277, ' No': -2.8288498, ' Go': -3.8370614, ' Generally': -2.0845323, ' It': -0.34164655}
{' No': -0.22523761, ' Generally': -2.1772735, ' It': -2.8447556, 'No': -4.5932813, ' Go': -5.5710287}
{' No': -0.0056599933, 'No': -5.1965585, ' ': -9.967325, ' Generally': -10.046204, ' A': -11.399563}
{' No': -0.23285031, ' Generally': -2.4751847, 'No': -4.143773, ' Yes': -3.4676142, ' It': -2.9567995}
{' No': -0.0070836334, ' ': -10.153672, ' Generally': -9.107657, 'No': -4.9777064, ' A': -11.6778555}
{' No': -0.017403577, ' Generally': -6.4320436, 'No': -4.7816033, ' A': -8.389026, ' Yes': -5.0182257}
{' No': -0.017771367, ' Not': -9.151123, ' Generally': -6.353588, 'No': -4.2297235, ' It': -7.0181813}
{' No': -0.05209257, ' It': -3.640128, 'No': -4.0296545, ' Generally': -5.751738, ' That': -6.1861463}
{' No': -0.009724199, 'No': -4.649628, ' Generally': -9.7588215, ' ': -10.440138, ' Not': -11.774298}
{' No': -0.007904897, ' ': -10.7583, ' Generally': -10.8307495, 'No': -4.850865, ' A': -12.658728}
{' No': -0.009893699, ' Not': -12.690587, ' ': -10.402718, ' Generally': -10.328054, 'No': -4.6282043}
{' No': -0.0073169298, ' ': -10.656094, 'No': -4.925043, ' A': -13.688084, ' no': -13.69547}
{' No': -0.007153807, ' ': -10.458022, ' Generally': -7.248512, 'No': -5.069347, ' It': -10.442113}
{' No': -0.007759957, 'No': -4.9613156, ' Generally': -7.383141, ' ': -10.533923, ' It': -10.579653}
{' No': -0.00586694, ' ': -10.864645, ' Generally': -8.639946, ' Typically': -12.045206, 'No': -5.178955}
{' No': -0.005784444, 'No': -5.1796927, ' Generally': -9.185554, ' ': -10.624726, ' Typically': -12.774326}
{' No': -0.003640325, ' ': -10.811999, 'No': -5.6237464, ' A': -14.824289, ' no': -13.866178}
{' It': -0.4812504, ' No': -1.7680622, ' Generally': -2.2183397, ' That': -2.7966874, ' Yes': -4.900539}
{' That': -6.518089, ' No': -0.050891746, ' Generally': -3.8323798, 'No': -4.3245215, ' It': -4.587642}
{' No': -0.032414548, ' Generally': -4.382727, 'No': -4.3885775, ' Yes': -6.5472574, ' It': -5.6194963}
{' No': -0.0051749293, ' ': -10.350056, ' Generally': -11.468063, 'No': -5.2759953, ' A': -12.724569}
{' That': -3.436457, ' No': -2.3531365, ' Go': -3.9323773, ' Generally': -1.6520467, ' It': -0.4824394}
{' No': -0.14312221, ' Generally': -2.3974252, 'No': -4.451521, ' Yes': -6.167961, ' It': -3.9445307}
