{':': -3.9504397, ' 1': -3.5453846, ' odd': -0.7870048, ' 0': -4.3792543, ' even': -0.81720865}
{' odd': -0.018056938, ' Odd': -5.178259, ' 1': -5.517968, ' even': -5.9101334, ' ': -6.461046}
{' even': -0.2018387, ' odd': -2.98438, ' Even': -3.6618834, ' 0': -3.7593641, ' EVEN': -4.3875227}
{' odd': -0.030283775, ' even': -3.989085, ' Odd': -4.754105, ':': -7.153716, ' "': -8.060455}
{' even': -0.49310175, ' odd': -1.9936138, ' 0': -2.8205836, ':': -2.9613576, ' Even': -3.3223557}
{' odd': -0.19430183, ' even': -1.9347651, ' Odd': -4.048092, ':': -5.6904345, ' an': -6.342003}
{' even': -0.10420326, ':': -3.7801495, ' 0': -3.9201133, ' Even': -4.40831, ' an': -4.4601564}
{' odd': -0.33300826, ' 1': -2.1186337, ' 0': -2.8821414, ' even': -3.1215367, ' Odd': -3.9835074}
{':': -6.2861104, ' Even': -5.070638, ' EVEN': -6.95067, ' odd': -6.842692, ' even': -0.016164524}
{' Odd': -3.6457567, ' 1': -2.356886, ' odd': -0.34880456, ' 0': -3.555663, ' even': -2.5166407}
{' even': -0.025320033, ' Even': -4.754282, ':': -5.574126, ' ': -5.9286256, ' odd': -6.470781}
{' Odd': -5.613359, ' not': -6.676977, ' odd': -0.016569551, ' neither': -6.515675, ' even': -5.638106}
{' even': -0.009117336, ' ': -5.591853, ' Even': -6.7259793, '\n': -7.061862, ' an': -7.3432975}
{' Odd': -4.466132, ' 1': -2.8053875, ' odd': -0.12216392, ' 0': -4.472233, ' even': -4.230151}
{' ': -5.6348433, '?': -5.5760827, ' Even': -4.343007, ' odd': -4.867566, ' even': -0.044107623}
{' odd': -0.0386362, ' Odd': -3.712571, ' ': -5.834075, '\n': -5.861526, ' even': -6.2621584}
{' ': -6.19449, ' Even': -5.871773, ' odd': -5.2878284, ' 0': -5.0581985, ' even': -0.02481087}
{' odd': -0.110496916, ' 1': -2.5734656, ' Odd': -4.738616, ' even': -4.952076, ' ': -5.594276}
{' ': -5.5088573, ' Even': -4.2503505, ' odd': -5.2475443, ' 0': -4.332555, ' even': -0.048877086}
{' odd': -0.03258418, ' even': -4.4884634, ' Odd': -4.69897, ' 1': -5.1071634, ' ': -6.686977}
{'\n': -5.0463142, ' ': -4.788958, ' Even': -5.368444, ' 0': -3.1680307, ' even': -0.08182902}
{' odd': -0.027010439, ' Odd': -4.4810114, ' even': -5.172415, ' 1': -5.240311, ' ': -6.6661396}
{' even': -0.039305206, ' Even': -3.997252, ' ': -5.3035502, ' 0': -5.461371, '\n': -6.425794}
{' Odd': -2.3383412, ' 1': -2.60002, ' odd': -0.49155673, ' 0': -3.1050382, ' even': -2.2390838}
{' ': -3.123649, ':': -2.7088406, ' odd': -2.9941323, ' 0': -2.252933, ' even': -0.49332663}
{' odd': -0.1543968, ' Odd': -3.1295774, ' even': -3.1354377, ' 1': -4.0910573, ':': -4.4161687}
{' ': -6.314055, ':': -6.6940465, ' Even': -5.949533, ' odd': -5.4797134, ' even': -0.014721003}
{' Odd': -3.4932287, ':': -4.9982824, ' 1': -2.4996254, ' odd': -0.34474865, ' even': -1.9359351}
{' Even': -4.047619, ' EVEN': -5.186376, ' odd': -4.126722, ' 0': -4.7729335, ' even': -0.07020537}
{' odd': -0.32009387, ' Odd': -2.54973, ' ': -2.6703794, ' 1': -2.7142427, ':': -4.2021995}
{' ': -6.6781144, ' Even': -5.2414002, ' odd': -6.939896, ' 0': -6.67815, ' even': -0.013743869}
{' odd': -0.12344418, ' even': -2.7534814, ' Odd': -4.390828, ' 1': -4.8947344, ' neither': -4.928302}
{' ': -4.637322, ' Even': -4.0301557, ' odd': -3.0906425, ' 0': -2.281632, ' even': -0.26365823}
{' odd': -0.105409466, ' Odd': -2.8453434, ' 1': -4.1605706, ' 0': -4.8991866, ' even': -5.031423}
{' even': -0.0899127, ' 0': -3.5141535, ' odd': -4.277357, ' ': -4.7942524, ' Even': -5.0819283}
{' even': -0.7413989, ' odd': -0.7791388, ' Odd': -3.980942, ' 1': -4.6444807, ' ': -4.9644146}
{'\n': -6.3540053, ' Even': -5.440217, ' odd': -4.0034914, ' 0': -6.246392, ' even': -0.035829704}
{' Odd': -3.4950354, ' 1': -4.5821867, ' odd': -0.10589273, ' 0': -5.0570865, ' even': -3.5307477}
{':': -5.2952304, ' Even': -3.116576, ' EVEN': -5.1993904, ' odd': -4.1184278, ' even': -0.105548024}
{' odd': -0.1356816, ' 1': -2.6068795, ' Odd': -4.1325903, ' even': -4.2637277, ' 0': -4.286996}
{' even': -0.04684051, ' 0': -3.8249776, ':': -5.6096683, '\n': -5.658565, ' Even': -5.9376655}
{' Odd': -4.275927, ' ': -7.8153386, ' an': -8.048486, ' odd': -0.016508589, ' even': -8.2054}
{' even': -0.015429633, ' Even': -5.5352497, ' ': -6.3248773, ' odd': -6.542031, '\n': -6.823704}
{' Odd': -4.3901763, ' 1': -4.6003056, ' odd': -0.17584616, ' 0': -3.6835108, ' even': -2.2781658}
{' even': -0.008822463, ' Even': -5.459171, ' ': -6.731854, ' odd': -6.925633, '\n': -7.7604165}
{' Odd': -4.6864147, ' ': -6.768876, ' not': -6.6392593, ' odd': -0.052816514, ' even': -3.3033237}
{' even': -0.011772784, ' Even': -5.6752443, ' odd': -5.9607534, ' ': -6.326441, ' 0': -7.0485997}
{' Odd': -4.480431, ' 1': -3.2852094, ' odd': -0.32908136, ' 0': -3.54123, ' even': -1.7494601}
{' an': -4.4723344, ' Even': -4.426017, ' odd': -1.726116, ' 0': -3.5269935, ' even': -0.403488}
{' odd': -0.674906, ' even': -1.2610505, ' 1': -2.9372332, ' 0': -3.0840607, ':': -4.097413}
{':': -4.398772, ' Even': -4.9938903, ' odd': -4.435057, ' 0': -2.4109864, ' even': -0.16154349}
{' odd': -0.063111156, ' Odd': -3.7675464, ' even': -4.557964, ':': -5.1532807, ' 1': -5.5931735}
{' even': -0.0827726, ' 0': -3.7544203, ':': -4.4344587, ' odd': -4.949294, ' Even': -5.157542}
{' Odd': -4.3453703, ' 1': -4.419177, ' odd': -0.13303284, ' 0': -6.224749, ' even': -2.4018574}
{' Odd': -3.7043383, ':': -3.6465237, ' Even': -3.0989287, ' odd': -1.8576378, ' even': -0.3957801}
{' even': -0.656472, ' odd': -0.90681636, ' Odd': -3.862538, ':': -4.570234, ' 0': -4.7348647}
{' even': -0.020920418, ' Even': -4.606297, ':': -5.368137, ' an': -6.3367047, ' odd': -6.5360866}
{' Odd': -3.7745094, ' ': -6.7260785, ':': -5.330969, ' odd': -0.06614156, ' even': -3.4943955}
{' even': -0.30560967, ' odd': -2.7875717, ':': -2.9576194, ' 0': -3.0699832, ' Even': -3.484252}
{' Odd': -2.4939528, ' 1': -2.9964886, ' odd': -0.692219, ' 0': -2.7490447, ' even': -1.7538359}
{'\n': -5.8355756, ' ': -5.2034264, ':': -5.5306845, ' Even': -4.755309, ' even': -0.03433626}
{' odd': -0.018475428, ' Odd': -4.6170273, ' 1': -5.8856244, ' an': -6.966869, ' ': -7.2770486}
{' even': -0.021084342, ' Even': -4.7239566, ' ': -5.7807426, ' odd': -5.9630027, ':': -6.4706974}
{' Odd': -3.0161982, ' 1': -4.08354, ' odd': -0.1891691, ' 0': -3.8720844, ' even': -2.7553275}
{' ': -5.158014, ':': -4.781264, ' Even': -4.121409, ' 0': -5.511081, ' even': -0.055064857}
{' odd': -0.07614187, ' Odd': -3.0950265, ' even': -4.380285, ' 1': -5.3532453, ' ': -5.662568}
{' even': -0.019504612, ' Even': -4.856207, ' ': -5.6585884, ':': -6.216076, '\n': -6.6463614}
{' odd': -0.10806345, ' 1': -3.5291297, ' Odd': -3.6037984, ' even': -3.9982896, '\n': -5.258817}
{' even': -0.028728241, ' odd': -4.925157, ' 0': -5.216968, ' Even': -5.38771, ' ': -6.1705647}
{'\n': -3.8945563, ' Odd': -3.435604, ' ': -4.182989, ' 1': -1.6949227, ' odd': -0.36488265}
{' even': -0.09835973, ' 0': -2.747937, ':': -5.4526467, ' zero': -5.8385143, ' Even': -5.860438}
{' odd': -0.011191978, ' Odd': -4.867925, ' even': -6.907203, ' ': -7.6879735, ' 1': -8.035797}
{' even': -0.04386384, ' Even': -3.784799, ' 0': -5.1048045, ' ': -5.6819167, ':': -5.9551787}
{' odd': -0.5851112, ' even': -1.1889453, ' 1': -2.3802266, ' Odd': -4.2121153, ' 0': -4.3935018}
{' ': -4.320299, ':': -4.399394, ' Even': -4.3497477, ' EVEN': -4.4358997, ' even': -0.0931817}
{' odd': -0.054908488, ' Odd': -3.4107852, ' even': -4.6926894, ' 1': -4.942698, ' ': -7.2047215}
{'\n': -6.945853, ' ': -6.845779, ':': -6.949881, ' Even': -5.3525324, ' even': -0.011636793}
{' Odd': -3.4440486, ' ': -5.100037, ' 1': -1.6294037, ' odd': -0.38182613, ' even': -2.8479428}
{' even': -0.10809845, ' odd': -3.2814696, ' Even': -4.3637934, ' 0': -4.6054807, ' EVEN': -4.758936}
{' Odd': -3.628385, ' ': -4.946033, ' 1': -4.891133, ' odd': -0.117464654, ' even': -2.9246557}
{' ': -4.2288632, ':': -5.11425, ' 1': -6.1929464, ' 0': -0.09370367, ' even': -2.9547381}
{' Odd': -4.82567, ' not': -4.348664, ' odd': -0.30576, ' neither': -3.9437375, ' even': -1.6878047}
{' even': -0.015491921, ' odd': -5.1604757, ' ': -5.506711, ' Even': -6.7340426, '\n': -6.8831353}
{' odd': -0.15349579, ' even': -2.744192, ' 1': -3.5921345, ' Odd': -3.7858112, ' 0': -4.122404}
{':': -4.834695, ' Even': -4.2198644, ' odd': -4.796782, ' 0': -4.6155453, ' even': -0.0658779}
{' even': -0.63777196, ' odd': -0.8132681, ' Odd': -4.72927, ' Even': -5.5758157, '\n': -6.284381}
{' even': -0.010312098, ' odd': -5.6499295, ' Even': -6.4406257, ' not': -6.7914076, ':': -7.0570207}
{' odd': -0.24250717, ' 1': -2.4392626, ' Odd': -3.1212885, ' even': -3.2908964, ' ': -4.6636558}
{' even': -0.07062068, ' odd': -3.7250156, ' Even': -4.3628273, ' EVEN': -5.2048206, ' an': -5.440898}
{' Odd': -2.818466, ' 1': -2.1758652, ' odd': -0.48325446, ' 0': -2.254095, ' even': -3.3288386}
{' even': -0.0039139246, ' odd': -6.4581246, ' Even': -7.4224844, ' an': -7.54684, ':': -8.4443035}
{' odd': -0.013987489, ' even': -5.118139, ' Odd': -5.6023374, ' not': -6.896503, '\n': -7.7058067}
{'\n': -6.249758, ' ': -5.792713, ' Even': -5.8892035, ' odd': -6.1531262, ' even': -0.01613708}
{' odd': -0.069775335, ' even': -3.2328124, ' Odd': -4.034864, ' 1': -5.8908534, ' ': -6.4753227}
{' ': -5.9128103, ':': -6.4618278, ' Even': -4.9892955, ' odd': -6.5454535, ' even': -0.017660104}
{' odd': -0.047634654, ' even': -3.3818746, ' Odd': -5.0993686, ' 1': -6.2348957, ' ': -6.9041233}
{' even': -0.041127056, ' 0': -4.3839827, '\n': -5.038543, ' ': -5.10249, ' Even': -5.339539}
{' odd': -0.03977753, ' Odd': -3.685228, ' even': -5.484472, ' 1': -5.8286967, ' 0': -6.647733}
{' Odd': -3.6011662, ' an': -3.3334222, ' Even': -3.8609767, ' odd': -2.1758828, ' even': -0.26319754}
{':': -2.8321648, ' 1': -2.4393225, ' odd': -1.0821362, ' 0': -2.323844, ' even': -1.2550613}
{':': -3.410613, ' 1': -3.366389, ' odd': -2.4649136, ' 0': -1.7965565, ' even': -0.59689623}
{' Odd': -4.337544, ':': -4.1649184, ' odd': -0.059086505, ' neither': -5.48684, ' even': -4.8106074}
{'\n': -4.7876153, ':': -3.8062806, ' Even': -4.445174, ' 0': -3.0495825, ' even': -0.14017704}
{' Odd': -4.1863866, ' 1': -3.5890317, ' odd': -0.24534391, ' 0': -3.863892, ' even': -2.0501525}
{' even': -0.09375388, ' odd': -3.458597, ' Even': -3.8140295, ':': -4.1983852, ' 0': -5.6125793}
{' odd': -0.12169568, ' Odd': -3.5993793, ':': -3.9471512, ' even': -3.9863422, ' ': -4.566022}
{' ': -2.1677918, ':': -1.6540054, ' 0': -2.2299073, ' even': -0.9513381, ' 8': -3.329286}
{' Odd': -3.5107062, ':': -5.346888, ' 1': -5.7820506, ' odd': -0.07121234, ' even': -4.098781}
{' even': -0.21102874, ' 0': -2.1896703, ' odd': -3.4441829, ':': -4.58765, ' zero': -4.6159205}
{' odd': -0.032311242, ' Odd': -4.2646937, ' even': -4.5650864, ' ': -6.0439997, ' 1': -6.28986}
{' even': -0.022627236, ' Even': -4.9581246, ' ': -5.6450253, ' an': -6.482121, ':': -6.5686493}
{' Odd': -4.404529, ' ': -6.7841134, ' an': -7.7830224, ' odd': -0.016407883, ' even': -8.044057}
{'\n': -7.9762807, ' ': -7.6877666, ' an': -7.92657, ' Even': -5.584577, ' even': -0.0060269115}
{' Odd': -4.1763353, ' 1': -3.3391876, ' odd': -0.15296654, ' 0': -3.747201, ' even': -2.908017}
{' even': -0.44265142, ' 0': -1.4002796, ':': -3.5929122, ' ': -4.17823, ' Even': -4.3424067}
{' odd': -0.01301167, ' Odd': -5.1659865, ' 1': -5.79772, ' ': -6.300178, '\n': -7.56108}
{'\n': -5.4181, ' ': -5.913158, ':': -5.2544913, ' Even': -3.985089, ' even': -0.043824732}
{' odd': -0.07113163, ' 1': -3.9773338, ' even': -4.270678, '\n': -4.665372, ' Odd': -4.69533}
{' ': -7.8997703, ' Even': -6.2142644, ' EVEN': -8.416434, ' odd': -8.377923, ' even': -0.003915723}
{' odd': -0.06018306, ' Odd': -3.0581021, ' even': -5.611701, ' 1': -6.3085127, ' ': -6.588766}
{' even': -0.01471919, ' Even': -5.49284, ':': -5.972955, ' ': -6.205561, ' 0': -6.9268966}
{'\n': -7.374211, ' Odd': -4.8656435, ' ': -7.0565414, ' odd': -0.014028834, ' even': -5.9161186}
{' even': -0.031529985, ' Even': -4.562109, ':': -5.521795, ' ': -5.710051, '\n': -6.0136404}
{' Odd': -2.3072624, ' ': -4.608639, ' 1': -4.5272098, ' odd': -0.22558394, ' even': -2.9600828}
{' ': -4.515949, ':': -4.276794, ' Even': -4.0214953, ' EVEN': -4.350889, ' even': -0.07492812}
{' Odd': -2.4450982, ' Even': -6.0387707, ' 1': -6.5499306, ' odd': -0.18542056, ' even': -2.6041894}
{' even': -0.026433023, ' ': -5.216047, ' Even': -5.2469506, '\n': -5.9014306, ' EVEN': -6.178413}
{' Odd': -3.2200255, ' ': -7.4851513, ' 1': -6.281754, ' odd': -0.051641192, ' even': -5.177031}
{' Even': -4.8654313, ' EVEN': -6.2393827, ' odd': -3.4933267, ' 0': -5.4327455, ' even': -0.059387602}
{' Odd': -2.874139, ' ': -5.5629935, ' 1': -6.3837066, ' odd': -0.07949025, ' even': -4.8334346}
{' even': -0.103754394, ' 0': -3.1063566, ' odd': -4.5468473, ' ': -4.9774704, ':': -5.028775}
{' Odd': -3.8119516, ' 1': -5.2275124, ' odd': -0.067946374, ' neither': -5.093314, ' even': -4.906429}
{' even': -0.04454726, ' 0': -4.5764256, ' Even': -4.9105425, ' ': -5.3794456, '\n': -5.810217}
{' odd': -0.18809482, ' even': -2.0611846, ' Odd': -3.8741624, ' 1': -4.6604295, ' 0': -5.1077952}
{' <': -5.7827487, '\n': -5.7542567, ' ': -4.917915, ' Even': -5.6311035, ' even': -0.033060476}
{' Odd': -4.7818103, ' Even': -5.7480464, ' 1': -4.670108, ' odd': -0.72375846, ' even': -0.7439926}
{' even': -0.01902743, ' odd': -4.7180877, ' Even': -5.4109435, ' not': -6.987164, ' ': -7.393692}
{' Odd': -5.0563235, ' ': -6.9025054, ' 1': -7.081719, ' odd': -0.017913658, ' even': -5.0381083}
{' an': -4.2995, ' Even': -4.4504404, ' not': -5.096229, ' odd': -5.307282, ' even': -0.072993964}
{' Odd': -3.7333589, ' 1': -4.830304, ' odd': -0.06570506, ' 0': -5.9721756, ' even': -3.9522998}
{' ': -7.24192, ':': -7.0289364, ' Even': -6.359358, ' odd': -7.554673, ' even': -0.0056652077}
{' Odd': -3.4562652, ' 1': -6.560439, ' odd': -0.09649255, ' 0': -6.834885, ' even': -2.9693391}
{' even': -0.16536732, ' 0': -2.1660519, ' odd': -5.1663303, ' 4': -5.287815, ' ': -5.509143}
{' odd': -0.061932307, ' Odd': -3.4174774, ' even': -3.8104453, ' ': -6.6639614, ' <': -7.6757574}
{' even': -0.009301594, ' Even': -5.3811374, ' odd': -6.1788116, ' ': -7.0114694, ' EVEN': -8.166719}
{' Odd': -3.9581087, ' ': -6.640748, ' not': -7.602097, ' odd': -0.13152312, ' even': -2.318307}
{'\n': -5.2649407, ' ': -5.704482, '?': -5.831989, ' Even': -4.407495, ' even': -0.03867957}
{' odd': -0.07920801, ' even': -3.319783, ' Odd': -3.8140626, ' 1': -6.161574, '\n': -6.1622896}
{' Odd': -3.2480037, ' an': -3.8294816, ' Even': -4.5838304, ' odd': -1.3480612, ' even': -0.45271373}
{' even': -0.88299584, ' odd': -1.3194362, ' 0': -2.1244338, ' 1': -2.6135597, ':': -3.4535742}
{' even': -0.023162616, ' Even': -5.2597833, ':': -5.2839637, ' EVEN': -6.2284384, ' odd': -6.383992}
{' Odd': -3.9542112, ' 1': -5.9571185, ' odd': -0.04133048, ' 0': -6.451168, ' even': -4.489835}
{' even': -0.22885013, ' odd': -2.2926757, ' Even': -3.8044128, ':': -4.411487, ' 0': -4.6224885}
{' Odd': -3.829205, ':': -5.496074, ' "': -5.4316487, ' odd': -0.32792056, ' even': -1.447677}
{' even': -0.01033414, ' Even': -5.5687604, ':': -6.1147738, ' odd': -6.4586983, ' ': -7.168073}
{' odd': -0.68447584, ' even': -0.92820174, ' Odd': -2.9802208, ':': -4.218116, ' Even': -5.301693}
{':': -5.476937, ' Even': -5.2102776, ' odd': -4.169381, ' 0': -4.9460144, ' even': -0.043946426}
{' odd': -0.53920454, ' Odd': -2.243735, ' even': -2.3225362, ':': -2.513132, ' O': -3.6599722}
{':': -4.614707, ' Even': -4.0088415, ' odd': -4.0184236, ' 0': -4.740885, ' even': -0.07321166}
{' Odd': -3.1952486, ' ': -5.069558, ' 1': -4.9266653, ' odd': -0.1654923, ' even': -2.5944834}
{'\n': -6.8966155, ' ': -6.392538, ' Even': -5.388954, ' odd': -6.152473, ' even': -0.01476395}
{' odd': -0.016083477, ' Odd': -4.776565, ' an': -6.8050756, ' ': -7.0174627, ' even': -7.022796}
{'\n': -5.0860553, ' ': -5.291833, ':': -5.27557, ' Even': -5.5691876, ' even': -0.028769461}
{' Odd': -2.9991496, ' ': -5.195938, ' 1': -5.4550514, ' odd': -0.07370411, ' even': -5.7122188}
{' even': -0.40843228, ' 0': -1.7159436, ' Even': -3.5726137, ':': -3.5902026, ' odd': -3.6876984}
{' odd': -0.031663846, ' Odd': -3.9041889, ' ': -5.9487567, '\n': -6.2774024, ' even': -6.708592}
{' even': -0.089860134, ' odd': -3.4932337, ' 0': -3.6169271, ' zero': -5.14573, ' Even': -5.3037443}
{' odd': -0.023262054, ' 1': -4.554565, ' Odd': -5.375757, ' even': -5.9705935, ' ': -6.4032474}
{' Even': -4.4171453, ' EVEN': -5.6630774, ' odd': -5.83252, ' 0': -3.1041589, ' even': -0.08318663}
{' Odd': -3.1489444, ':': -5.2498355, ' 1': -3.8589866, ' odd': -0.12161127, ' even': -3.7891917}
{' even': -0.02563559, ':': -5.120319, ' ': -5.356686, ' 0': -5.3728185, ' Even': -5.451287}
{' odd': -0.008726975, ' Odd': -5.188582, ' even': -7.278883, ' ': -7.547821, ' 1': -7.690248}
{'\n': -8.022703, ' ': -6.80414, ' Even': -5.9527516, ' EVEN': -8.117381, ' even': -0.0058437963}
{' odd': -0.7154239, ' 1': -1.3621066, ' 0': -2.1627288, ' even': -2.953355, ' Odd': -3.4320002}
{' even': -0.17575599, ' 0': -2.6467662, ' EVEN': -4.0751925, ' ': -4.255564, ':': -4.40617}
{' Odd': -4.0975566, ' ': -7.410868, ' 1': -6.664024, ' odd': -0.038872454, ' even': -4.0469394}
{' even': -0.020514535, ' Even': -4.3155823, ' EVEN': -6.3174853, ' ': -6.6401567, ' odd': -7.2902117}
{' odd': -0.1600031, ' even': -3.123978, ' 1': -3.2442436, ' Odd': -3.4588835, ' ': -4.698167}
{' even': -0.043427303, ' Even': -4.066356, ' EVEN': -5.3293223, ' odd': -5.8129263, ' <': -6.2157516}
{' Odd': -1.986649, ' ': -4.240957, ' 1': -3.2165313, ' odd': -0.30111742, ' even': -3.2637217}
{' ': -3.7236989, ':': -4.5658073, '?': -4.0729837, ' Even': -4.82493, ' even': -0.08655289}
{'\n': -5.6345987, ' Odd': -3.793852, ' ': -5.3199816, ' odd': -0.042383414, ' neither': -5.539953}
{' even': -0.040529888, ' 0': -4.856933, ' ': -5.014465, ' odd': -5.362966, '\n': -5.476278}
{' odd': -0.13166697, ' even': -2.4142902, ' Odd': -3.7037008, ' neither': -6.587972, ' ': -6.688649}
{' even': -0.020621618, ' odd': -4.4821014, ' Even': -5.9716964, ' ': -6.54697, '?': -7.081229}
{' Odd': -2.6695454, ' Even': -4.7967367, ' 1': -3.6292312, ' odd': -0.5404979, ' even': -1.2851516}
{' even': -0.014731892, ' odd': -5.296682, ' Even': -5.4946065, ' ': -7.137611, ' EVEN': -7.34874}
{' Odd': -4.7020226, ' not': -4.9690504, ' odd': -0.07342633, ' neither': -4.451792, ' even': -3.5515127}
{' an': -3.5104632, ' Even': -4.4131713, ' not': -4.8936896, ' odd': -3.138846, ' even': -0.1539779}
{' odd': -0.41587535, ' Odd': -2.3800943, ' 1': -2.6922274, ' even': -2.9010866, ' 0': -2.9209278}
{':': -6.354133, ' Even': -5.570016, ' EVEN': -7.1449537, ' odd': -6.362284, ' even': -0.011315672}
