{' No': -1.7681766, '\n': -6.35613, 'No': -5.675157, ' Yes': -0.20745045, 'Yes': -4.486917}
{' No': -0.101365894, ' Yes': -2.650545, 'No': -4.0375495, '\n': -5.07357, 'Yes': -6.6404905}
{' Yes': -0.023853261, 'Yes': -4.279146, '\n': -4.9435387, ' No': -6.423202, ' The': -7.9127975}
{' Yes': -0.04141658, 'Yes': -3.9113698, '\n': -4.4058385, ' No': -5.136578, ' The': -6.697767}
{' Yes': -0.17708631, ' No': -2.3523488, '\n': -2.96068, 'Yes': -4.6437626, 'No': -5.866581}
{'\n': -3.4269435, ' ': -7.2923183, ' Yes': -0.05936369, ' The': -6.84904, 'Yes': -3.802974}
{' No': -0.31539473, ' Yes': -1.8471843, '\n': -2.761823, 'No': -3.3945992, ' Unfortunately': -5.141263}
{' No': -1.4285403, '\n': -5.278077, 'No': -5.0857553, ' Yes': -0.30628517, 'Yes': -4.3899527}
{' No': -0.13572365, ' Yes': -2.348065, 'No': -3.7420182, '\n': -5.203118, 'Yes': -6.382942}
{' Yes': -0.6432545, ' No': -0.88341063, '\n': -3.5515642, 'No': -3.9482603, 'Yes': -4.463166}
{' Yes': -0.15679161, '\n': -2.854124, ' No': -2.8597963, 'Yes': -3.6494806, 'No': -5.942937}
{' No': -0.03732168, 'No': -3.6720548, '\n': -4.9766884, ' Yes': -5.5754743, ' ': -8.546954}
{' No': -0.7063247, '\n': -5.3456717, 'No': -4.346778, ' Yes': -0.7366211, 'Yes': -4.6368036}
{' Yes': -0.123214714, ' No': -2.3316057, 'Yes': -4.4133034, '\n': -5.449026, 'No': -6.1887436}
{' Yes': -0.016066818, 'Yes': -4.634448, ' No': -5.4804053, '\n': -6.3797936, ' yes': -8.551166}
{' Yes': -0.16430143, ' No': -2.0600784, '\n': -4.5171075, 'Yes': -4.692147, 'No': -5.7719097}
{' No': -4.8056197, '\n': -3.6159856, ' Yes': -0.05844098, ' Sur': -5.9316177, 'Yes': -4.0220084}
{' No': -0.026007522, 'No': -4.1149774, '\n': -5.3004084, ' Yes': -5.565411, ' Not': -8.541038}
{' No': -0.08595247, ' Yes': -2.7182136, 'No': -4.369081, '\n': -5.9989634, 'Yes': -7.0646296}
{' No': -0.042726114, 'No': -3.4413486, ' Yes': -5.2308855, '\n': -5.491857, 'Yes': -8.788628}
{' No': -0.1267297, ' Yes': -2.5363786, 'No': -3.3811698, '\n': -5.636829, 'Yes': -6.1804}
{' No': -0.026045756, '\n': -6.563714, ' ': -9.031685, 'No': -3.8081024, ' Yes': -6.251633}
{' No': -0.03196736, '\n': -5.4875374, ' ': -9.051719, 'No': -3.7818246, ' Yes': -5.4843807}
{' No': -0.030911854, '\n': -6.5393686, ' ': -8.960237, 'No': -3.5672088, ' Yes': -7.559499}
{' No': -0.52774906, '\n': -5.4972773, 'No': -4.025075, ' Yes': -0.9738588, 'Yes': -4.5928674}
{' No': -3.0538654, '\n': -5.809612, 'No': -7.1445556, ' Yes': -0.063255414, 'Yes': -4.6022778}
{' No': -4.8248487, '\n': -4.6906075, ' Yes': -0.034725953, ' yes': -8.172716, 'Yes': -4.126288}
{' Yes': -0.42836088, ' No': -1.1772566, '\n': -3.7359796, 'Yes': -4.8288717, 'No': -4.9328604}
{' No': -0.63270587, '\n': -2.63241, 'No': -4.6479015, ' Yes': -0.97215474, 'Yes': -4.9792476}
{' No': -0.03177507, '\n': -4.744242, ' ': -7.988121, 'No': -3.9417806, ' Yes': -5.990385}
{' No': -2.442701, '\n': -5.23069, 'No': -6.205164, ' Yes': -0.11772143, 'Yes': -4.127552}
{' No': -5.872862, '\n': -4.2170086, ' ': -7.557417, ' Yes': -0.062425848, 'Yes': -3.1732347}
{' No': -5.432355, '\n': -3.5052829, ' ': -7.030083, ' Yes': -0.082353055, 'Yes': -3.149385}
{' Yes': -0.1325663, '\n': -2.8642366, 'Yes': -3.2128615, ' No': -3.7955797, 'No': -6.1315475}
{' Yes': -0.15371868, '\n': -2.4703844, 'Yes': -3.0121665, ' No': -5.098268, ' ': -6.394874}
{' No': -0.21054268, 'No': -2.4312, '\n': -2.4777699, ' Yes': -4.2303886, ' ': -6.26549}
{' Yes': -0.3685652, ' No': -1.5063864, '\n': -3.350737, 'Yes': -3.4188597, 'No': -4.0993714}
{' Yes': -0.051821593, 'Yes': -3.2050061, '\n': -4.8127103, ' No': -7.1097417, ' ': -7.622447}
{' No': -6.166486, '\n': -4.6051497, ' ': -7.712795, ' Yes': -0.05626452, 'Yes': -3.1843565}
{' Yes': -0.14440593, '\n': -2.7067533, 'Yes': -3.130196, ' No': -3.9915888, 'No': -5.926363}
{' No': -7.7692995, '\n': -3.5964863, ' ': -7.0720897, ' Yes': -0.07766664, 'Yes': -3.092067}
{' No': -0.5605029, '\n': -1.8285636, ' Yes': -1.8471678, 'No': -2.4645154, 'Yes': -4.5510693}
{' No': -3.0833755, '\n': -2.8540072, 'No': -4.979816, ' Yes': -0.18852761, 'Yes': -2.840288}
{' Yes': -0.17024545, ' No': -2.47203, 'Yes': -3.4412396, '\n': -3.4638948, 'No': -4.923047}
{' Yes': -0.06880722, ' No': -3.75299, '\n': -3.8146145, 'Yes': -4.007276, 'No': -6.526765}
{' No': -1.7685935, '\n': -2.733046, 'No': -4.402365, ' Yes': -0.3261974, 'Yes': -3.5467455}
{' Yes': -0.7536108, ' No': -0.8416978, '\n': -2.9861548, 'No': -3.5695822, 'Yes': -4.1817727}
{' Yes': -0.14813007, ' No': -2.4997995, '\n': -3.7041872, 'Yes': -3.7170253, 'No': -5.3687606}
{' Yes': -0.5672555, ' No': -1.0402323, '\n': -3.3292203, 'No': -3.7691157, 'Yes': -4.206589}
{' No': -2.6220813, '\n': -2.56689, 'No': -5.130534, ' Yes': -0.20457593, 'Yes': -3.6538634}
{' No': -6.7385926, '\n': -2.2316542, ' ': -7.045077, ' Yes': -0.1482191, 'Yes': -3.58792}
{' No': -0.49595985, '\n': -1.8877313, 'No': -3.1906025, ' Yes': -1.717117, 'Yes': -4.9747314}
{' No': -0.7955343, ' Yes': -0.862364, '\n': -2.4984763, 'No': -3.6863384, 'Yes': -4.3685474}
{' Yes': -0.016665487, 'Yes': -4.1835623, '\n': -7.0084176, ' yes': -8.780353, ' No': -9.067256}
{' Yes': -0.01648514, 'Yes': -4.2089915, '\n': -6.861652, ' yes': -8.275974, ' ': -9.622278}
{' Yes': -0.016381467, 'Yes': -4.2832494, '\n': -6.3121114, ' yes': -8.292277, ' ': -8.85509}
{' Yes': -0.025534691, 'Yes': -3.9312696, ' No': -5.70255, '\n': -6.8074713, ' yes': -7.5384207}
{' Yes': -0.016275262, 'Yes': -4.221002, '\n': -7.1294417, ' yes': -8.051513, ' ': -9.444507}
{' No': -0.09084585, '\n': -4.930472, 'No': -3.7165723, ' Yes': -2.922316, 'Yes': -6.951882}
{' Yes': -0.6392714, ' No': -0.86755246, '\n': -3.7907531, 'No': -4.1146703, 'Yes': -4.4218583}
{' Yes': -0.39729536, ' No': -1.224749, '\n': -4.2141876, 'Yes': -4.6908836, 'No': -4.744196}
{' No': -1.1426407, '\n': -4.5484996, 'No': -4.8258414, ' Yes': -0.4299294, 'Yes': -4.5074744}
{' No': -3.1813645, '\n': -6.041739, 'No': -7.0530343, ' Yes': -0.05816342, 'Yes': -4.4893365}
{' No': -0.62102723, ' Yes': -0.85203767, 'No': -4.2030907, '\n': -4.367916, 'Yes': -4.8413467}
{' No': -0.92343175, '\n': -5.3443947, 'No': -4.9327645, ' Yes': -0.53874236, 'Yes': -5.017378}
{' No': -0.26182428, ' Yes': -1.5643755, 'No': -4.2825494, '\n': -5.432095, 'Yes': -6.368445}
{' Yes': -0.39080405, ' No': -1.2808207, ' Sur': -4.1576743, '\n': -4.2467666, 'Yes': -4.7286315}
{' No': -0.28046936, '\n': -5.053022, 'No': -4.246879, ' Yes': -1.5149225, 'Yes': -5.7231245}
{' Yes': -0.017260872, 'Yes': -4.5267076, '\n': -5.4308863, ' No': -6.60253, ' The': -8.383973}
{' No': -4.380611, '\n': -3.769888, ' Yes': -0.057779144, ' The': -7.179815, 'Yes': -4.002128}
{' Yes': -0.14131361, ' No': -2.5875587, '\n': -3.1316738, 'Yes': -4.68786, 'No': -6.152103}
{'\n': -3.8084893, ' ': -7.81502, ' Yes': -0.045712262, ' The': -7.846806, 'Yes': -3.850617}
{' Yes': -0.6778472, ' No': -0.9745315, '\n': -2.4789011, 'No': -4.26475, 'Yes': -4.756607}
{' No': -2.2798924, '\n': -4.1408715, 'No': -5.5558686, ' Yes': -0.15433365, 'Yes': -3.9211068}
{' No': -0.103651114, '\n': -4.1770535, 'No': -3.4114094, ' Yes': -3.031494, 'Yes': -6.788169}
{' No': -0.35167348, '\n': -3.2758718, 'No': -3.4100251, ' Yes': -1.5185685, 'Yes': -5.517292}
{' No': -3.6963656, '\n': -4.056446, 'No': -6.8669634, ' Yes': -0.06741574, 'Yes': -3.8578646}
{' No': -0.12084239, '\n': -2.9189093, ' ': -6.5926404, 'No': -3.317635, ' Yes': -3.8864977}
{' Yes': -0.5410592, ' No': -0.9988266, '\n': -3.601169, 'No': -4.5538306, 'Yes': -4.6167426}
{' Yes': -0.020840446, 'Yes': -4.5947537, ' No': -5.0144734, '\n': -5.6484776, ' ': -8.984772}
{' Yes': -0.017441545, 'Yes': -4.234444, '\n': -6.2265344, ' No': -7.5842633, ' yes': -8.46032}
{' Yes': -0.0518801, ' No': -3.6835997, 'Yes': -4.4906216, '\n': -4.4906235, ' Hospital': -6.9767275}
{' No': -6.9657593, '\n': -4.2376976, ' Yes': -0.034201115, ' Sur': -7.316919, 'Yes': -4.1056843}
{' No': -0.070991874, '\n': -3.699877, ' ': -7.1745014, 'No': -3.535305, ' Yes': -4.3374104}
{' No': -0.22792763, '\n': -3.515117, 'No': -4.215476, ' Yes': -1.8691229, 'Yes': -5.9748163}
{' No': -0.058742262, '\n': -5.4113173, 'No': -3.4615588, ' Yes': -3.8864284, 'Yes': -7.636731}
{' No': -0.16909507, '\n': -3.961909, 'No': -2.96156, ' Yes': -2.5114985, 'Yes': -5.773083}
{' No': -0.06986974, '\n': -4.5194755, ' ': -7.372646, 'No': -3.167806, ' Yes': -4.314588}
{' No': -0.07909543, '\n': -4.5964236, 'No': -3.253753, ' Yes': -3.6572776, 'Yes': -7.173829}
{' No': -0.057070795, 'No': -3.0811164, '\n': -5.0315886, ' Yes': -6.1918306, ' The': -7.8944635}
{' No': -1.6804112, '\n': -4.6000295, 'No': -5.0719, ' Yes': -0.24835292, 'Yes': -4.179877}
{' No': -2.2498417, '\n': -4.563953, 'No': -6.268862, ' Yes': -0.13741103, 'Yes': -4.594763}
{' No': -5.693374, '\n': -5.464943, ' Yes': -0.018958967, ' yes': -7.815147, 'Yes': -4.556061}
{' No': -0.8462197, '\n': -3.8814082, 'No': -4.607635, ' Yes': -0.6308439, 'Yes': -5.171539}
{' No': -2.174996, '\n': -2.4445536, ' Yes': -0.31656498, ' Sur': -3.2201407, 'Yes': -3.9058459}
{' No': -0.049078714, 'No': -3.5388303, '\n': -4.3706193, ' Yes': -5.3215737, ' ': -7.637992}
{' No': -4.699203, '\n': -4.43745, ' Yes': -0.035678547, ' yes': -7.9964285, 'Yes': -4.3391376}
{' No': -6.1052694, '\n': -3.4167829, ' ': -7.2517915, ' Yes': -0.072922476, 'Yes': -3.3793473}
{' No': -4.3494797, '\n': -2.7923374, 'No': -6.772194, ' Yes': -0.12069362, 'Yes': -3.3003008}
{' Yes': -0.36826828, '\n': -1.7787565, ' No': -2.3928616, 'Yes': -3.3770115, 'No': -4.5416765}
{' Yes': -0.22076301, '\n': -2.0203369, 'Yes': -2.983878, ' No': -4.4790845, ' ': -6.2864456}
{' No': -0.19422662, '\n': -2.5900435, ' ': -6.645189, 'No': -2.3403008, ' Yes': -5.83505}
{' No': -2.8911417, '\n': -3.2186334, 'No': -5.1873703, ' Yes': -0.15976328, 'Yes': -3.1002693}
{' No': -6.3890157, '\n': -3.3062375, ' ': -6.8030477, ' Yes': -0.078273006, 'Yes': -3.3506062}
{' No': -5.0575776, '\n': -3.7451026, ' ': -7.0040073, ' Yes': -0.06572989, 'Yes': -3.4679744}
{' No': -4.051572, '\n': -2.7127774, 'No': -5.856364, ' Yes': -0.14821744, 'Yes': -3.0462542}
{'\n': -4.7634063, ' ': -7.2531238, ' Yes': -0.060830917, ' yes': -7.5975494, 'Yes': -3.0208967}
{' Yes': -0.5112731, ' No': -1.6482702, '\n': -2.0815513, 'Yes': -3.3480458, 'No': -3.538966}
{' No': -4.079678, '\n': -3.2724726, 'No': -5.8794904, ' Yes': -0.13013506, 'Yes': -2.7931578}
{' No': -1.9475143, '\n': -3.0126007, 'No': -4.478333, ' Yes': -0.26271892, 'Yes': -3.6486194}
{' Yes': -0.117054954, ' No': -3.12477, '\n': -3.4817417, 'Yes': -3.5483882, 'No': -5.3350115}
{' No': -0.7666897, ' Yes': -1.1201634, '\n': -1.871096, 'No': -3.2609828, 'Yes': -4.2003293}
{' No': -0.33837366, ' Yes': -1.9995542, '\n': -2.2702737, 'No': -3.2078211, 'Yes': -5.6236305}
{' Yes': -0.2213285, ' No': -1.8856924, '\n': -3.8043418, 'Yes': -4.163255, 'No': -5.015247}
{' No': -2.0337029, '\n': -3.1105292, 'No': -4.8519306, ' Yes': -0.22964887, 'Yes': -4.147358}
{' No': -2.027562, '\n': -2.6446617, 'No': -4.11114, ' Yes': -0.2967194, 'Yes': -3.4577222}
{' No': -8.073608, '\n': -4.7071457, ' ': -8.198179, ' Yes': -0.039390698, 'Yes': -3.5617714}
{' No': -0.7107243, ' Yes': -1.2190404, '\n': -2.1001115, 'No': -2.962479, 'Yes': -4.2893925}
{' No': -0.32452732, '\n': -2.7766013, 'No': -2.5052047, ' Yes': -2.271028, ' Unfortunately': -3.9846377}
{'\n': -6.9986944, ' ': -9.814992, ' Yes': -0.013810524, ' yes': -9.108878, 'Yes': -4.3747835}
{' Yes': -0.018671196, 'Yes': -4.110405, '\n': -6.4058795, ' yes': -8.096102, ' ': -9.839668}
{'\n': -6.6869354, ' ': -8.278348, ' Yes': -0.018335184, ' Sur': -8.185368, 'Yes': -4.132753}
{' No': -3.9477832, '\n': -5.5590367, 'No': -6.976704, ' Yes': -0.05228718, 'Yes': -3.6900032}
{' Yes': -0.013182152, 'Yes': -4.5311437, '\n': -6.6203537, ' yes': -7.819874, ' Patient': -8.581278}
{' No': -0.27936488, '\n': -4.545867, 'No': -4.4842196, ' Yes': -1.5223707, 'Yes': -5.8578496}
{' No': -0.40661538, '\n': -3.4083433, 'No': -4.1362867, ' Yes': -1.277114, 'Yes': -5.472638}
{' No': -1.4001801, '\n': -4.4827037, 'No': -4.588784, ' Yes': -0.33484584, 'Yes': -4.5530977}
{' No': -1.2620567, '\n': -4.1330166, 'No': -4.590182, ' Yes': -0.40075904, 'Yes': -4.2186284}
{' No': -3.0254524, '\n': -4.9142046, ' Yes': -0.07315138, ' Patient': -6.446432, 'Yes': -4.6221375}
{' No': -0.091497496, ' Yes': -3.0285873, 'No': -3.6015453, '\n': -4.5729103, 'Yes': -6.8383827}
{' Yes': -0.49821863, ' No': -1.0695269, '\n': -4.001852, 'No': -4.094685, 'Yes': -4.407065}
{' No': -0.12988248, '\n': -4.4941115, 'No': -3.352464, ' Yes': -2.6285722, 'Yes': -6.9304447}
{' Yes': -0.20728889, ' No': -1.8069075, 'Yes': -4.470234, '\n': -5.370228, 'No': -5.4284363}
{' No': -0.3638667, '\n': -4.318943, 'No': -4.0967636, ' Yes': -1.3125151, 'Yes': -5.601574}
{' No': -7.6485353, '\n': -3.81463, ' ': -7.3597693, ' Yes': -0.053954903, 'Yes': -3.5598772}
{' No': -4.4670725, '\n': -2.3502057, ' ': -5.8354487, ' Yes': -0.15841223, 'Yes': -3.4095335}
{' Yes': -0.11180124, '\n': -3.1987267, ' No': -3.5264778, 'Yes': -3.574083, 'No': -5.717097}
{'\n': -3.7671485, ' ': -7.2731385, ' Yes': -0.073997185, ' The': -7.3360057, 'Yes': -3.0778346}
{' Yes': -0.37842613, ' No': -1.897288, '\n': -2.3133893, 'Yes': -3.4515576, 'No': -3.9791665}
{' Yes': -0.29404274, ' No': -1.4942495, 'Yes': -4.051157, 'No': -4.938257, '\n': -5.2427464}
{' No': -0.037685797, '\n': -6.9541454, 'No': -3.9472985, ' Yes': -4.117424, 'Yes': -8.314551}
{' No': -0.20668554, '\n': -4.2444224, 'No': -3.067466, ' Yes': -2.108829, 'Yes': -5.6342616}
{' Yes': -0.08497511, '\n': -3.4394593, 'Yes': -3.6412742, ' No': -4.106189, ' Sur': -5.3804955}
{' No': -0.03193327, '\n': -5.249325, ' ': -8.673767, 'No': -3.8056948, ' Yes': -5.634228}
{' Yes': -0.096500106, ' No': -2.7469633, 'Yes': -3.941667, '\n': -5.0827365, 'No': -6.349985}
{' Yes': -0.053032074, ' No': -3.5037193, 'Yes': -4.0051155, '\n': -6.1075873, 'No': -7.069193}
{' Yes': -0.012199392, 'Yes': -4.562649, ' No': -6.878013, '\n': -7.6947384, ' yes': -8.933966}
{' Yes': -0.04888629, ' No': -3.393214, 'Yes': -4.5107927, '\n': -6.2516522, 'No': -7.013032}
{' Yes': -0.020221815, 'Yes': -4.268366, '\n': -5.334879, ' No': -7.6907487, ' Sur': -7.80152}
{' No': -0.042192087, 'No': -3.5683472, ' Yes': -4.598411, '\n': -5.9665256, 'Yes': -8.673679}
{' No': -0.48729408, ' Yes': -0.99020475, 'No': -4.7609105, 'Yes': -5.442685, '\n': -6.800925}
{' No': -0.098245166, '\n': -4.3616633, 'No': -3.303535, ' Yes': -3.1654184, 'Yes': -6.6098175}
{' No': -0.2625784, ' Yes': -1.6470578, 'No': -3.5188954, 'Yes': -5.375297, '\n': -5.607333}
{' No': -0.039136473, '\n': -6.014228, ' ': -8.503459, 'No': -3.4996312, ' Yes': -5.225078}
{' No': -0.04035406, '\n': -5.7910633, ' ': -9.040358, 'No': -3.4095402, ' Yes': -5.769346}
{' No': -0.031060692, '\n': -6.8502984, ' ': -9.207278, 'No': -3.5734136, ' Yes': -6.661097}
{' No': -2.3300974, 'No': -5.3445663, ' Yes': -0.14711402, ' yes': -6.663219, 'Yes': -3.429409}
{' No': -2.062149, '\n': -6.271677, 'No': -5.9255295, ' Yes': -0.1556741, 'Yes': -4.4139805}
{' No': -2.6566658, '\n': -6.6915455, 'No': -6.7301545, ' Yes': -0.08662621, 'Yes': -4.5992675}
{' No': -0.11902812, ' Yes': -2.3791142, 'No': -4.1587176, '\n': -5.905322, 'Yes': -6.9791102}
{' No': -0.11807681, '\n': -5.6695037, 'No': -4.6994786, ' Yes': -2.328322, 'Yes': -6.8301215}
{' No': -0.018857647, '\n': -6.565063, ' ': -9.131454, 'No': -4.354715, ' Yes': -5.4724464}
{' Yes': -0.14943698, ' No': -2.07457, 'Yes': -4.5684795, 'No': -6.2650237, '\n': -7.245374}
{' No': -3.7065816, '\n': -4.1886563, 'No': -6.410359, ' Yes': -0.07651197, 'Yes': -3.455351}
{' Yes': -0.092655815, ' No': -3.1518903, 'Yes': -3.6395195, '\n': -4.097855, 'No': -6.17882}
{' No': -0.7570854, '\n': -2.354482, 'No': -3.4427655, ' Yes': -0.94604063, 'Yes': -4.302055}
{' No': -3.4879751, '\n': -3.1611035, 'No': -6.260985, ' Yes': -0.11969496, 'Yes': -3.2991304}
{' No': -0.10927296, '\n': -3.485133, ' ': -7.3072743, 'No': -2.7160654, ' Yes': -5.2514715}
{' No': -0.57005554, ' Yes': -1.0067943, 'No': -3.5140367, '\n': -3.6875122, 'Yes': -4.3344502}
{' Yes': -0.056112222, 'Yes': -3.2932165, '\n': -4.1984572, ' No': -6.5956683, ' ': -7.687195}
{' No': -5.20285, '\n': -4.448217, 'No': -7.5521755, ' Yes': -0.053027924, 'Yes': -3.4076438}
{' No': -3.821148, '\n': -2.9810102, 'No': -5.9847007, ' Yes': -0.11841794, 'Yes': -3.356287}
{' Yes': -0.11442859, 'Yes': -2.8159761, '\n': -3.0683868, ' ': -7.18438, ' No': -7.871903}
{' No': -0.60826474, '\n': -1.5471058, ' Yes': -1.9656142, 'No': -2.522329, 'Yes': -4.690584}
{' No': -2.6262686, '\n': -3.0015278, 'No': -4.579203, ' Yes': -0.20994589, 'Yes': -2.907986}
{' Yes': -0.050566234, 'Yes': -3.7008922, ' No': -4.1170406, '\n': -5.0388093, 'No': -6.842076}
{' Yes': -0.046397813, ' No': -4.099977, 'Yes': -4.238551, '\n': -4.376966, 'No': -7.0480146}
{' No': -0.76042444, '\n': -3.72115, 'No': -3.4615905, ' Yes': -0.7789734, 'Yes': -4.0576653}
{' No': -1.0875593, '\n': -4.820515, 'No': -4.1182046, ' Yes': -0.47197974, 'Yes': -4.2837167}
