{' Yes': -0.032254115, ' No': -3.775645, 'Yes': -4.8386617, ' yes': -7.4845967, 'No': -8.832716}
{' No': -2.8995352, 'No': -7.725487, ' Yes': -0.068463385, ' yes': -7.3241034, 'Yes': -4.6433096}
{' No': -3.9462328, 'No': -8.775651, ' Yes': -0.030995643, ' yes': -7.3497667, 'Yes': -4.591663}
{' No': -2.4337485, 'No': -7.2122536, ' Yes': -0.10374659, ' yes': -7.180126, 'Yes': -4.758827}
{' No': -3.6035352, 'No': -8.379185, ' Yes': -0.03971005, ' yes': -7.3002214, 'Yes': -4.55622}
{' No': -3.212248, 'No': -8.069294, ' Yes': -0.051916577, ' yes': -7.2882485, 'Yes': -4.7216988}
{' No': -3.707172, 'No': -8.487424, ' Yes': -0.036889534, ' yes': -7.158454, 'Yes': -4.5712905}
{' Yes': -0.0396027, ' No': -3.548903, 'Yes': -4.71551, ' yes': -7.3526416, 'No': -8.518032}
{' No': -3.5300345, 'No': -8.38153, ' Yes': -0.040086307, ' yes': -7.0740004, 'Yes': -4.767381}
{' No': -3.3252673, 'No': -8.326638, ' Yes': -0.047412515, ' yes': -7.181157, 'Yes': -4.7186847}
{' No': -2.8056078, 'No': -7.707694, ' Yes': -0.07411677, ' yes': -7.1608458, 'Yes': -4.683139}
{' Yes': -0.1400759, ' No': -2.1232817, 'Yes': -4.697693, 'No': -7.011352, ' yes': -7.5780106}
{' Yes': -0.0979303, ' No': -2.526868, 'Yes': -4.4733896, 'No': -7.1282835, ' yes': -7.2750425}
{' No': -3.1066668, 'No': -7.853615, ' Yes': -0.05714425, ' yes': -7.1992683, 'Yes': -4.684589}
{' No': -2.9959753, 'No': -7.721857, ' Yes': -0.06334673, ' yes': -7.197479, 'Yes': -4.634704}
{' No': -2.9939005, 'No': -7.9223275, ' Yes': -0.062462263, ' yes': -7.3161774, 'Yes': -4.723215}
{' Yes': -0.04055037, ' No': -3.5552406, 'Yes': -4.625862, ' yes': -7.2181487, 'No': -8.367456}
{' No': -3.515943, ' Yes': -0.040624116, ' yes': -7.4984007, 'Yes': -4.7252383, ' It': -8.388627}
{' Yes': -0.049866147, ' No': -3.2752364, 'Yes': -4.68697, ' yes': -7.1400757, 'No': -8.0765}
{' Yes': -0.065332256, ' No': -2.9797094, 'Yes': -4.541815, ' yes': -7.180809, 'No': -7.729084}
{' No': -1.4407862, 'No': -6.237467, ' Yes': -0.2851865, ' yes': -7.3649197, 'Yes': -4.7934394}
{' No': -1.7234964, 'No': -6.432717, ' Yes': -0.21157743, ' yes': -7.3083863, 'Yes': -4.67771}
{' No': -2.8522573, 'No': -7.6476574, ' Yes': -0.07139841, ' yes': -7.3157725, 'Yes': -4.63893}
{' No': -2.4142668, 'No': -7.131754, ' Yes': -0.10586776, ' yes': -7.129488, 'Yes': -4.7232037}
{' No': -2.751925, 'No': -7.57221, ' Yes': -0.078054845, ' yes': -7.219021, 'Yes': -4.6483064}
{' No': -1.8690759, 'No': -6.6596594, ' Yes': -0.1809215, ' yes': -7.3791475, 'Yes': -4.733644}
{' Yes': -0.06270359, ' No': -3.005155, 'Yes': -4.62054, ' yes': -7.292653, 'No': -7.7949495}
{' No': -1.7880207, 'No': -6.780531, ' Yes': -0.19508335, ' yes': -7.832021, 'Yes': -4.8129516}
{' No': -0.11663029, ' Yes': -2.2753046, 'No': -5.088148, 'Yes': -6.966079, ' It': -9.419822}
{' No': -0.37968278, 'No': -5.161928, ' Yes': -1.1815532, ' yes': -8.495878, 'Yes': -5.794069}
{' No': -2.0924308, 'No': -6.9894, ' Yes': -0.14344108, ' yes': -7.535086, 'Yes': -4.7710485}
{' Yes': -0.15147997, ' No': -2.0400314, 'Yes': -4.764036, 'No': -6.9899654, ' yes': -7.634493}
{' No': -2.5464568, 'No': -7.375013, ' Yes': -0.09354541, ' yes': -7.3444552, 'Yes': -4.6701617}
{' No': -2.0157108, 'No': -6.810877, ' Yes': -0.15471841, ' yes': -7.39199, 'Yes': -4.8215656}
{' Yes': -0.102503225, ' No': -2.4447043, 'Yes': -4.7162995, 'No': -7.214113, ' yes': -7.3783092}
{' No': -2.0063512, 'No': -6.640043, ' Yes': -0.15788436, ' yes': -7.405435, 'Yes': -4.681192}
{' No': -2.6936924, 'No': -7.344748, ' Yes': -0.08208418, ' yes': -7.2875333, 'Yes': -4.6472254}
{' No': -2.4184675, 'No': -7.1091375, ' Yes': -0.10503281, ' yes': -7.3722215, 'Yes': -4.716031}
{' Yes': -0.27092814, ' No': -1.4808071, 'Yes': -4.983166, 'No': -6.2332845, ' yes': -7.363606}
{' No': -2.7300227, 'No': -7.5879784, ' Yes': -0.078880765, ' yes': -7.2785954, 'Yes': -4.692776}
{' Yes': -0.16528307, ' No': -1.95405, 'Yes': -4.762939, 'No': -6.680168, ' yes': -7.474226}
{' No': -2.0844946, 'No': -6.7949166, ' Yes': -0.14534105, ' yes': -7.2962365, 'Yes': -4.733899}
{' No': -2.6597927, 'No': -7.528279, ' Yes': -0.082193986, ' yes': -7.4246087, 'Yes': -4.876759}
{' No': -1.9567845, 'No': -6.67291, ' Yes': -0.16433458, ' yes': -7.3152533, 'Yes': -4.8212976}
{' No': -1.6867965, 'No': -6.4312477, ' Yes': -0.21709295, ' yes': -7.4401574, 'Yes': -4.875292}
{' No': -1.5498921, 'No': -6.2317348, ' Yes': -0.25244868, ' yes': -7.370832, 'Yes': -4.841251}
{' Yes': -0.07662683, ' No': -2.7426827, 'Yes': -4.821479, ' yes': -7.3886876, 'No': -7.5669622}
{' No': -1.740669, 'No': -6.3981457, ' Yes': -0.20588672, ' yes': -7.564014, 'Yes': -4.7886105}
{' Yes': -0.47228533, ' No': -1.0060892, 'Yes': -5.059884, 'No': -5.5867567, ' yes': -7.6138864}
{' No': -2.375787, 'No': -7.2474294, ' Yes': -0.10761579, ' yes': -7.4274282, 'Yes': -4.877467}
{' No': -2.1966739, 'No': -7.1897573, ' Yes': -0.12812573, ' yes': -7.7521853, 'Yes': -4.870038}
{' No': -1.7389622, 'No': -6.448467, ' Yes': -0.20578772, ' yes': -7.4966583, 'Yes': -4.8333683}
{' Yes': -0.2534495, ' No': -1.5373144, 'Yes': -5.0231104, 'No': -6.4032717, ' yes': -7.572545}
{' No': -0.04401774, 'No': -4.648832, ' Yes': -3.4097307, ' yes': -10.358228, 'Yes': -7.9225607}
{' No': -2.3242877, 'No': -7.355423, ' Yes': -0.11292288, ' yes': -7.6300793, 'Yes': -4.8808117}
{' No': -1.2838774, 'No': -6.152219, ' Yes': -0.33668807, ' yes': -7.622523, 'Yes': -5.092767}
{' Yes': -0.2919855, ' No': -1.4121407, 'Yes': -4.9905634, 'No': -6.183499, ' yes': -7.462708}
{' No': -1.9169612, 'No': -6.82497, ' Yes': -0.17062904, ' yes': -7.569316, 'Yes': -4.8260183}
{' No': -0.11618773, 'No': -4.824575, ' Yes': -2.2966323, ' yes': -9.338636, 'Yes': -6.9874854}
{' No': -1.6990482, 'No': -6.699906, ' Yes': -0.21290326, ' yes': -7.769404, 'Yes': -4.94707}
{' Yes': -0.13931344, ' No': -2.1094196, 'Yes': -4.91681, 'No': -7.1382394, ' yes': -7.7171583}
{' Yes': -0.1066445, ' No': -2.382096, 'Yes': -4.8890786, 'No': -7.407742, ' yes': -7.62576}
{' No': -1.906876, 'No': -6.9056153, ' Yes': -0.17120592, ' yes': -7.6923814, 'Yes': -4.936182}
{' No': -0.7081865, 'No': -5.4753637, ' Yes': -0.6962922, ' yes': -7.877667, 'Yes': -5.440234}
{' Yes': -0.0592802, ' No': -3.0095232, 'Yes': -4.9246764, ' yes': -7.549501, 'No': -8.135564}
{' No': -2.1377769, 'No': -7.2124395, ' Yes': -0.13493492, ' yes': -7.662097, 'Yes': -4.9714103}
{' No': -1.9226278, 'No': -7.0504637, ' Yes': -0.16745324, ' yes': -7.6318183, 'Yes': -5.042909}
{' No': -0.94432664, 'No': -6.0165563, ' Yes': -0.5058063, ' yes': -7.908142, 'Yes': -5.279461}
{' No': -0.079773866, ' Yes': -2.6640425, 'No': -5.0713606, 'Yes': -7.344912, ' yes': -9.995971}
{' Yes': -0.109652795, ' No': -2.345523, 'Yes': -4.977578, 'No': -7.477941, ' yes': -7.648633}
{' No': -3.3079402, 'No': -8.308398, ' Yes': -0.046282746, ' yes': -7.618106, 'Yes': -4.8563046}
{' No': -2.255744, 'No': -7.3514543, ' Yes': -0.11976921, ' yes': -7.601706, 'Yes': -4.99117}
{' No': -3.0302396, 'No': -8.081865, ' Yes': -0.05812349, ' yes': -7.532223, 'Yes': -4.9303713}
{' No': -0.40945393, ' Yes': -1.1162773, 'No': -5.296705, 'Yes': -5.756618, ' yes': -8.371436}
{' No': -3.7932894, 'No': -8.9073105, ' Yes': -0.031063337, ' yes': -7.5149035, 'Yes': -4.9221554}
{' No': -2.04638, 'No': -7.1142507, ' Yes': -0.14761262, ' yes': -7.6787977, 'Yes': -5.012347}
{' No': -1.555845, 'No': -6.6422286, ' Yes': -0.24722269, ' yes': -7.7220187, 'Yes': -5.086668}
{' No': -0.8189872, 'No': -5.966009, ' Yes': -0.5945494, ' yes': -8.100929, 'Yes': -5.4330883}
