{' Odd': -4.2759004, ' 1': -3.006027, ' odd': -0.19955897, ' 0': -3.5803776, ' even': -2.5113332}
{':': -6.7997446, ' EVEN': -6.9920335, ' odd': -6.742576, ' 0': -4.561366, ' even': -0.01737992}
{' odd': -0.2703879, ' 1': -1.4883502, ' Odd': -5.652607, ' even': -6.336557, ' one': -6.555226}
{' even': -0.058554422, ' 0': -3.3009458, ':': -5.253348, ' zero': -5.5161633, ' odd': -5.8264723}
{' 1': -0.5485203, ' odd': -0.9375031, ' one': -4.854559, ' Odd': -4.879099, ' even': -5.4207945}
{' odd': -0.052590072, ' even': -3.4857965, ' Odd': -4.8447094, ' 1': -5.044537, ' 0': -5.685633}
{':': -5.070397, ' "': -5.9530087, ' odd': -4.6624427, ' 0': -4.2367563, ' even': -0.03962676}
{' Odd': -4.8522773, ' 1': -1.0596938, ' "': -5.597562, ' one': -4.84458, ' odd': -0.4736381}
{':': -5.506244, ' EVEN': -6.3760395, ' 0': -1.1020638, ' zero': -5.183702, ' even': -0.43556744}
{':': -6.1183863, ' 1': -0.41620272, ' one': -5.551612, ' odd': -1.1395419, ' 0': -5.579551}
{' even': -0.66506016, ' 0': -0.91364694, ':': -3.7381306, ' ': -4.19433, ' odd': -4.5655613}
{' Odd': -5.93591, ' 1': -1.7029501, ' one': -7.1239552, ' odd': -0.2116647, ' even': -6.090218}
{':': -5.129708, ' odd': -5.954852, ' 0': -2.4279933, ' zero': -5.08703, ' even': -0.12005185}
{' Odd': -4.6337194, ' ': -5.910897, ' 1': -1.218155, ' one': -4.7966213, ' odd': -0.39646927}
{' odd': -0.057654243, ' 1': -3.8533752, ' 0': -3.9983454, ' even': -5.2998486, ':': -5.546779}
{':': -4.1428494, ' 1': -5.3180766, ' odd': -5.254801, ' 0': -3.0998552, ' even': -0.08609076}
{' Odd': -5.06851, ' 1': -1.5286438, ' odd': -0.27658206, ' 0': -5.4788465, ' even': -5.3637624}
{' ': -6.303545, ':': -5.216522, ' 0': -0.39434358, ' zero': -4.561672, ' even': -1.2020218}
{' Odd': -5.5420833, ':': -5.678437, ' 1': -0.5731712, ' odd': -0.8855035, ' even': -5.3498383}
{' even': -0.11058099, ' 0': -2.6433797, ':': -4.775658, ' ': -4.800781, ' an': -5.8269587}
{' Odd': -5.5779, ' ': -7.4790072, ' 1': -2.6639338, ' odd': -0.080612965, ' even': -6.767404}
{' 0': -0.50723183, ' even': -1.4612713, ':': -2.8220117, ' zero': -3.2856739, ' ': -3.9434688}
{' 1': -0.68521357, ' odd': -0.7750746, ' one': -4.573534, ' Odd': -4.90544, ' 0': -5.574484}
{' odd': -0.14302021, ' 1': -2.7259917, ' even': -3.2653024, ' 0': -4.3200555, ' Odd': -4.617528}
{':': -4.209525, ' 1': -5.1216297, ' odd': -5.702804, ' 0': -2.096178, ' even': -0.1699687}
{' 1': -0.549427, ' odd': -0.92411995, ' 0': -5.1089954, ' one': -5.309911, ' Odd': -5.66902}
{' ': -6.410399, ':': -5.6263666, ' 0': -1.6623265, ' zero': -5.5807824, ' even': -0.23160432}
{' 1': -0.54370517, ' odd': -0.91550267, ' one': -5.670326, ' Odd': -5.930944, ' 0': -6.016714}
{' even': -0.05233058, ' 0': -4.185653, ':': -4.7774367, ' ': -4.9764915, ' odd': -5.3522425}
{' Odd': -5.7235756, ' 1': -1.6436737, ' one': -6.4799857, ' odd': -0.22882737, ' even': -5.8913784}
{' even': -0.45939845, ' 0': -1.5836298, ':': -2.6343987, ' ': -3.905573, ' zero': -4.122075}
{' odd': -0.55594903, ' 1': -0.88996583, ' Odd': -5.28168, ' ': -6.056606, ' 0': -6.1675844}
{' odd': -0.14574078, ' 1': -3.118988, ' even': -3.1455462, ' 0': -3.7017603, ' Odd': -4.0540686}
{':': -4.3040533, ' 1': -5.68121, ' odd': -5.2676973, ' 0': -3.0199797, ' even': -0.084348194}
{' Odd': -5.786263, ' ': -7.092789, ' 1': -1.5696336, ' odd': -0.25067323, ' 0': -5.8604584}
{' ': -6.328669, ':': -5.4057207, ' 0': -1.3850946, ' zero': -5.1155233, ' even': -0.31566325}
{' Odd': -5.439941, ' 1': -0.9711909, ' odd': -0.5234122, ' 0': -5.4929104, ' even': -4.7841096}
{' ': -4.0730247, ':': -4.206855, ' odd': -4.764226, ' 0': -1.4563601, ' even': -0.3540709}
{' Odd': -5.061618, ' ': -6.8084745, ' 1': -2.1007302, ' odd': -0.14727506, ' even': -6.536875}
{' ': -3.2606022, ':': -2.626445, ' 0': -1.6992466, ' zero': -3.2067645, ' even': -0.5371526}
{' odd': -0.29069212, ' 1': -1.5007808, ' Odd': -4.6787033, ' one': -5.019393, ' even': -5.5071836}
{' odd': -0.04246407, ' even': -4.02526, ' 1': -4.763306, ' Odd': -4.8062177, ' 0': -5.7669134}
{' even': -0.09183307, ' 0': -3.1885314, ':': -4.2375073, ' odd': -4.455878, ' 1': -5.0629745}
{' Odd': -5.553256, ' 1': -0.45964545, ' one': -5.700243, ' odd': -1.0691121, ' 0': -4.96235}
{':': -6.0841513, ' odd': -6.831295, ' 0': -2.501159, ' zero': -5.802123, ' even': -0.09807046}
{' 1': -0.9368993, ' one': -4.6244316, ' odd': -0.5807344, ' 0': -4.7705736, ' even': -4.1965303}
{' even': -0.11388993, ' 0': -2.3411982, ':': -6.20335, ' zero': -6.3183484, ' odd': -6.369133}
{' odd': -0.112148374, ' 1': -2.3180199, ' Odd': -5.6652575, ' even': -6.7284317, ' one': -7.284088}
{' 0': -0.6592498, ' even': -1.2017589, ':': -2.6568818, ' zero': -3.523618, ' ': -3.5465727}
{' odd': -0.49055296, ' 1': -1.0353775, ' Odd': -4.645584, ' one': -4.9534473, ' ': -5.6917906}
{' Odd': -4.29562, ' 1': -4.5182333, ' odd': -0.052180603, ' 0': -5.7619557, ' even': -3.9539735}
{' even': -0.393805, ' 0': -1.2941604, ':': -3.931807, ' 1': -4.210261, ' odd': -5.564639}
{' 1': -0.4624779, ' odd': -1.064834, ' 0': -4.9403124, ' Odd': -5.5500402, ' one': -5.7032566}
{' ': -6.5798993, ':': -5.3014264, ' 0': -0.5113073, ' zero': -4.580279, ' even': -0.9793994}
{' Odd': -5.5557647, ':': -6.0724797, ' 1': -0.5757568, ' odd': -0.8685919, ' even': -6.011019}
{' even': -0.06587821, ' 0': -2.9032547, ':': -6.19841, ' ': -6.591429, ' EVEN': -6.998873}
{' Odd': -5.4521976, ' 1': -1.7119222, ' one': -6.829892, ' odd': -0.21577887, ' even': -5.709815}
{':': -4.59045, ' odd': -6.0898943, ' 0': -1.2762998, ' zero': -4.1260853, ' even': -0.3839793}
{' odd': -0.34307322, ' 1': -1.3141253, ' Odd': -4.8763676, ' even': -5.6323056, ' one': -5.8277674}
{' odd': -0.11183883, ' 1': -3.1274388, ' 0': -3.3036094, ' even': -5.118482, ' Odd': -5.1723266}
{' even': -0.15922335, ' 0': -2.3652732, ':': -3.9431694, ' odd': -4.745216, ' 1': -4.7978063}
{' Odd': -5.701433, ' 1': -1.4839007, ' one': -5.9459596, ' odd': -0.2782809, ' even': -6.1181936}
{' even': -0.038346797, ' 0': -3.6730037, ':': -6.0858307, ' zero': -6.4668093, ' Even': -6.5542045}
{' Odd': -5.7852845, ' 1': -0.752046, ' one': -6.0662146, ' odd': -0.669204, ' 0': -6.1476965}
{':': -5.6242948, ' odd': -6.1166153, ' 0': -2.0324593, ' zero': -6.209564, ' even': -0.15680139}
{' Odd': -5.5282736, ' ': -7.28434, ' 1': -2.560267, ' odd': -0.09084945, ' even': -6.4497347}
{' ': -3.919968, ':': -2.5940974, ' 0': -0.6104299, ' zero': -3.2720537, ' even': -1.3034632}
{' Odd': -4.846398, ' 1': -1.008786, ' one': -4.7922635, ' odd': -0.49849582, ' even': -5.7489686}
{' odd': -0.2809623, ' 1': -2.3609889, ' 0': -2.7042277, ' even': -2.765369, ' Odd': -4.503578}
{':': -3.961797, ' 1': -4.2328424, ' 0': -1.0759796, ' zero': -5.171274, ' even': -0.5004343}
{' 1': -0.46379766, ' odd': -1.0759059, ' one': -4.749008, ' 0': -5.118759, ' Odd': -5.80003}
{' 0': -0.48858294, ' even': -1.0187248, ':': -4.6289864, ' zero': -5.2140656, ' ': -5.9860764}
{' odd': -0.39052963, ' 1': -1.2145787, ' even': -4.981545, ' Odd': -5.4049406, ' 0': -5.636435}
{':': -5.9576073, ' EVEN': -6.845896, ' odd': -6.2942715, ' 0': -3.2146204, ' even': -0.05208698}
{' Odd': -5.1393385, ' 1': -2.3543704, ' odd': -0.115145005, ' 0': -7.289181, ' even': -5.723508}
{':': -4.978992, ' odd': -5.55264, ' 0': -2.8483531, ' zero': -4.93753, ' even': -0.09476449}
{' Odd': -4.9593835, ' ': -6.2066007, ' 1': -0.8521685, ' odd': -0.5873523, ' 0': -6.179604}
{' Odd': -4.6201444, ' 1': -4.5771847, ' odd': -0.06589706, ' 0': -5.43799, ' even': -3.3502986}
{':': -3.4940946, ' 1': -4.196388, ' odd': -5.3258023, ' 0': -1.1012048, ' even': -0.51700664}
{' Odd': -5.5383854, ' 1': -1.7673914, ' "': -6.4567714, ' odd': -0.20390923, ' even': -6.2545524}
{' ': -6.1743245, ':': -5.3248296, ' 0': -0.6223636, ' zero': -5.167665, ' even': -0.81451577}
{' 1': -0.6164164, ' one': -5.912201, ' odd': -0.81763405, ' 0': -5.86466, ' even': -5.8056307}
{':': -6.346186, ' EVEN': -6.724706, ' odd': -6.1018233, ' 0': -4.394419, ' even': -0.020627823}
{' odd': -0.051837225, ' 1': -3.137749, ' Odd': -5.8128743, ' ': -7.115864, ':': -7.594991}
{':': -4.5317397, ' odd': -6.0154552, ' 0': -1.0459895, ' zero': -3.7442052, ' even': -0.514547}
{' Odd': -5.565353, ' 1': -0.43126372, ' one': -3.6204104, ' odd': -1.2019471, ' even': -5.5044627}
{' Odd': -4.696698, ' 1': -1.9648801, ' odd': -0.39042202, ' 0': -2.7659674, ' even': -2.3206406}
{':': -4.361232, ' 1': -5.3141923, ' odd': -5.4955225, ' 0': -2.9213047, ' even': -0.088017866}
{' odd': -0.62469023, ' 1': -0.83104247, ' one': -5.0358477, ' Odd': -5.2715454, ' 0': -5.526226}
{' ': -6.354811, ':': -5.2433596, ' 0': -0.6278714, ' zero': -4.626025, ' even': -0.81975454}
{' Odd': -5.759635, ' 1': -1.0923554, ' one': -5.6853957, ' odd': -0.4361682, ' even': -6.0161934}
{' even': -0.76195014, ' 0': -0.7693649, ':': -3.9126499, ' ': -4.155123, ' 1': -4.864058}
{' odd': -0.2722635, ' 1': -1.4836645, ' even': -5.731477, ' Odd': -6.037364, ' one': -6.253224}
{' ': -5.8541164, ':': -4.140536, ' 0': -1.3166952, ' zero': -4.9735312, ' even': -0.3654622}
{' Odd': -5.6217737, ' 1': -0.5237171, ' one': -6.247901, ' odd': -0.9334805, ' 0': -5.760083}
{' Odd': -5.0503902, ':': -4.4458833, ' 1': -1.5101386, ' odd': -0.3851939, ' 0': -2.7568665}
{':': -4.7487707, ' 1': -5.6222067, ' odd': -4.908167, ' 0': -4.4094057, ' even': -0.042253703}
{' 1': -0.62243617, ' odd': -0.8449761, ' 0': -4.7437577, ' one': -4.9737496, ' Odd': -5.3424706}
{':': -5.9299545, ' EVEN': -6.422143, ' 0': -2.5969183, ' zero': -5.6640215, ' even': -0.094689526}
{' Odd': -5.507471, ':': -5.4766006, ' 1': -0.82521844, ' one': -5.8547173, ' odd': -0.61773705}
{' even': -0.010176488, ' 0': -5.358834, ' an': -6.9134917, ' Even': -7.026495, ' odd': -7.0345645}
{' odd': -0.049407817, ' 1': -3.3791957, ' Odd': -5.1296334, ' even': -5.397417, ' "': -7.364646}
{':': -4.9641724, ' odd': -5.7048044, ' 0': -2.4743366, ' zero': -5.0423813, ' even': -0.12053014}
{' odd': -0.30601934, ' 1': -1.4782244, ' Odd': -3.9428275, ' one': -5.535583, ' even': -5.6349483}
{' odd': -0.067749456, ' even': -3.1194584, ' Odd': -4.802205, ' 1': -5.0640326, ' 0': -5.700012}
{':': -3.8060737, ' 1': -4.316873, ' 0': -1.153077, ' zero': -5.5723267, ' even': -0.4569653}
{' 1': -0.46124437, ' one': -5.507197, ' odd': -1.0608406, ' 0': -5.2837076, ' even': -5.8501983}
{' ': -6.338015, ':': -5.4387226, ' 0': -1.4849799, ' zero': -5.216094, ' even': -0.28395295}
{' Odd': -5.501772, ' 1': -1.5620786, ' odd': -0.25631148, ' 0': -6.255405, ' even': -5.154026}
{' even': -0.03734154, ' 0': -3.5480623, ':': -6.3373237, ' odd': -6.4327126, ' EVEN': -6.851245}
{' Odd': -5.699227, ' ': -7.247955, ':': -7.4363427, ' 1': -3.58483, ' odd': -0.036554147}
{' even': -0.7641438, ' 0': -1.1729708, ':': -2.64783, ' ': -3.1964462, ' zero': -3.4689968}
{' Odd': -4.55201, ' 1': -1.4844508, ' one': -5.2899737, ' odd': -0.2959896, ' even': -5.46013}
{' Odd': -4.994479, ':': -5.6019864, ' 1': -2.674545, ' odd': -0.1123551, ' 0': -4.0532045}
{' even': -0.0790308, ' 0': -3.1640716, ':': -4.2366233, ' odd': -5.3343797, ' Even': -5.906725}
{' Odd': -5.470771, ' 1': -1.4199896, ' one': -5.5365105, ' odd': -0.30963424, ' even': -5.0078363}
{' ': -6.667455, ':': -5.548129, ' 0': -0.83048385, ' zero': -5.241571, ' even': -0.6040091}
{' odd': -0.6770844, ' 1': -0.74830484, ' 0': -5.7304053, ' one': -5.7485085, ' even': -5.8543696}
{':': -5.9051485, ' odd': -6.5852847, ' 0': -2.1641393, ' zero': -6.208378, ' even': -0.13530204}
{' Odd': -5.661891, ' ': -7.0418377, ' 1': -2.0876384, ' odd': -0.14226481, ' even': -6.641883}
{' even': -0.6351015, ' 0': -1.6321231, ':': -2.4294093, ' ': -2.9374993, ' zero': -3.3697243}
{' odd': -0.2657203, ' 1': -1.5224464, ' Odd': -5.0624933, ':': -6.426135, ' ': -6.508539}
{' Odd': -4.4450254, ' 1': -4.4113607, ' odd': -0.04929347, ' 0': -5.6096134, ' even': -4.0610194}
{':': -3.5138652, ' 1': -4.338231, ' 0': -1.1004696, ' zero': -5.3915815, ' even': -0.50209135}
{' Odd': -5.60133, ' 1': -0.9758567, ' one': -5.4291706, ' odd': -0.50883096, ' even': -5.5144124}
{':': -6.3884535, ' Even': -6.69309, ' EVEN': -6.724798, ' 0': -4.6121244, ' even': -0.01816558}
{' Odd': -5.538796, ':': -6.4700933, ' 1': -1.9910114, ' odd': -0.16878214, ' even': -4.766328}
{':': -5.8490076, ' Even': -6.949686, ' EVEN': -7.0259523, ' 0': -3.5792396, ' even': -0.037085295}
{' Odd': -5.874987, ' ': -6.980084, ' 1': -1.940398, ' odd': -0.16909868, ' even': -5.6903067}
{' even': -0.32539323, ' 0': -1.4246917, ' zero': -4.410438, ':': -4.5130033, ' EVEN': -6.0664725}
{' Odd': -5.718663, ' ': -5.5716276, ' 1': -0.33897555, ' one': -3.7524457, ' odd': -1.4061446}
{' Odd': -4.1964154, ' 1': -3.6217961, ' odd': -0.09724399, ' 0': -3.8990598, ' even': -3.6067882}
{':': -4.194041, ' 1': -4.808795, ' odd': -4.821533, ' 0': -2.6607265, ' even': -0.121915035}
{' Odd': -5.3028297, ' 1': -2.0103035, ' odd': -0.1641035, ' 0': -6.3703957, ' even': -5.3879933}
{' ': -6.2918153, ':': -5.4558024, ' 0': -0.8064878, ' zero': -4.9076653, ' even': -0.62860656}
{' Odd': -5.7066407, ':': -5.822204, ' 1': -0.47453678, ' one': -5.7432446, ' odd': -1.0307274}
{':': -6.988528, ' Even': -6.9746037, ' odd': -6.421106, ' 0': -5.989582, ' even': -0.009209731}
{' odd': -0.04237197, ' 1': -3.3751764, ' Odd': -5.7831297, ' ': -7.2099733, ':': -7.4600315}
{' even': -0.5405393, ' 0': -1.9444549, ':': -2.16571, ' ': -3.2032733, ' odd': -3.7619405}
{' Odd': -4.975768, ' ': -5.65663, ' 1': -0.5533057, ' one': -4.074198, ' odd': -0.95924854}
{' odd': -0.048941243, ' even': -3.7142272, ' 1': -4.8543363, ' Odd': -4.9258933, ' 0': -5.379626}
{' even': -0.23001234, ' 0': -1.8156399, ':': -4.0615935, ' 1': -4.690269, ' odd': -5.5003533}
{' 1': -0.95360535, ' one': -5.3141646, ' odd': -0.5371797, ' 0': -5.2484508, ' even': -5.206761}
{' ': -4.174839, ':': -4.031593, ' 0': -0.59490657, ' zero': -3.2219856, ' even': -1.0938108}
{' 1': -0.5501455, ' odd': -0.9066957, ' Odd': -5.712701, ' 0': -5.89847, ' even': -5.9787307}
{' even': -0.025716314, ' 0': -4.0377445, ' odd': -6.5068865, ':': -6.742029, ' EVEN': -6.845206}
{' Odd': -5.8058677, ' ': -7.152689, ':': -7.8979974, ' 1': -3.4646862, ' odd': -0.038155623}
{' ': -3.570859, ':': -2.6192293, ' 0': -0.6625795, ' zero': -3.5801935, ' even': -1.193862}
{' odd': -0.61271316, ' 1': -0.8829616, ' one': -4.2248135, ' Odd': -4.4658895, ' "': -5.4220257}
{' Odd': -5.499928, ':': -5.1264443, ' 1': -2.233349, ' odd': -0.17429382, ' 0': -3.4760914}
{' even': -0.103115655, ' 0': -2.7039075, ':': -4.33031, ' 1': -5.331938, ' odd': -5.4742064}
{' Odd': -5.722289, ' 1': -0.56639254, ' one': -5.412249, ' odd': -0.8944623, ' 0': -5.2363954}
{' ': -4.937838, ':': -4.414537, ' 0': -0.12188702, ' zero': -4.304188, ' even': -2.7316642}
{' 1': -0.55642056, ' odd': -0.89998555, ' one': -5.733866, ' Odd': -5.810652, ' 0': -5.9649177}
{' ': -6.659225, ':': -6.6373534, ' Even': -6.89819, ' 0': -4.002673, ' even': -0.02541082}
{' Odd': -5.270077, ' 1': -2.9959419, ' odd': -0.06367192, ' 0': -7.3143573, ' even': -5.7477894}
{':': -4.8904023, ' odd': -5.4908566, ' 0': -1.7579931, ' zero': -4.3134303, ' even': -0.2377066}
{' Odd': -4.6992793, ' ': -5.628716, ':': -6.2491136, ' 1': -1.6414616, ' odd': -0.24457693}
{' odd': -0.23672283, ' 1': -2.3648202, ' even': -2.770008, ' 0': -3.5246348, ' Odd': -4.4612494}
{':': -3.8989024, ' 1': -4.5800366, ' odd': -4.713229, ' 0': -1.8760782, ' even': -0.22813493}
{' Odd': -5.212949, ' 1': -0.97169393, ' one': -5.186656, ' odd': -0.52565473, ' 0': -5.5020885}
{' even': -0.551988, ' 0': -0.927751, ':': -4.461751, ' zero': -5.0717554, ' ': -6.1153836}
{' Odd': -5.2338223, ' ': -5.6518707, ':': -5.4830394, ' 1': -0.9837404, ' odd': -0.50542223}
{' ': -4.78193, ':': -4.8766317, ' an': -5.017769, ' 0': -3.6719952, ' even': -0.0672341}
{' Odd': -5.449092, ' 1': -2.0888767, ' odd': -0.15034102, ' 0': -6.770671, ' even': -5.1632333}
{':': -4.7615895, ' odd': -5.919305, ' 0': -1.8671768, ' zero': -4.659989, ' even': -0.2072361}
{' Odd': -4.620066, ' ': -5.791476, ' 1': -1.0090531, ' one': -4.776229, ' odd': -0.51072973}
{' odd': -0.4961623, ' even': -1.687397, ' 0': -2.33835, ' 1': -2.5367393, ' Odd': -4.2093005}
{':': -3.6352031, ' 1': -4.1896257, ' 0': -1.1233302, ' zero': -5.280938, ' even': -0.49549305}
{' 1': -0.62478274, ' odd': -0.81861514, ' 0': -4.9137416, ' Odd': -5.513639, ' even': -5.638348}
{'\n': -6.0415354, ':': -5.4256797, ' 0': -0.4702186, ' zero': -4.729958, ' even': -1.0461271}
{' Odd': -5.6209407, ' ': -6.6469827, ' 1': -1.5667572, ' odd': -0.25317198, ' even': -5.5642333}
{' ': -5.577943, ':': -4.706474, ' odd': -5.5626864, ' 0': -4.7582126, ' even': -0.03608303}
{' odd': -0.03780173, ' 1': -3.4884052, ' Odd': -5.877402, ' ': -7.2418914, '\n': -7.7254443}
{' even': -0.8688233, ' 0': -1.0908663, ':': -2.417908, ' zero': -3.223346, ' ': -3.2812502}
{' Odd': -4.741894, ' 1': -1.0476398, ' one': -5.931156, ' odd': -0.46778116, ' even': -5.5979323}
{' Odd': -4.629304, ' 1': -4.762022, ' odd': -0.07721704, ' 0': -4.8247643, ' even': -3.1431844}
{':': -4.8904877, ' 1': -5.9246445, ' odd': -5.8036137, ' 0': -2.387391, ' even': -0.12182912}
{' 1': -0.29436103, ' one': -4.8949757, ' odd': -1.4837674, ' 0': -4.993442, ' even': -6.1125894}
{' ': -6.154862, ':': -5.5143948, ' 0': -1.1607804, ' zero': -5.010028, ' even': -0.40852788}
{' odd': -0.26410726, ' 1': -1.5658746, ' even': -5.0785255, ' Odd': -5.4186087, ' one': -5.9104114}
{':': -5.7066226, ' an': -6.4196067, ' odd': -6.013688, ' 0': -5.6076274, ' even': -0.01673943}
{' Odd': -5.7522516, ' ': -6.9005256, ':': -7.0750318, ' 1': -3.158363, ' odd': -0.05263612}
{':': -4.8988147, ' odd': -5.50922, ' 0': -2.7139158, ' zero': -5.2886906, ' even': -0.09857965}
{' Odd': -5.0871553, ' 1': -1.091306, ' odd': -0.43277657, ' 0': -6.295195, ' even': -6.3581185}
{' odd': -0.3646438, ' 1': -1.5464628, ' 0': -2.817996, ':': -4.603149, ' Odd': -5.1192107}
{':': -3.314194, ' 1': -4.5144253, ' odd': -5.5009766, ' 0': -1.3324044, ' even': -0.40676138}
{' 1': -0.528088, ' odd': -0.93574566, ' Odd': -5.223257, ' 0': -5.7148814, ' even': -6.2200775}
{' even': -0.2005501, ' 0': -1.825325, ' zero': -5.2567663, ':': -5.520415, ' odd': -6.4409423}
{' Odd': -5.535302, ' 1': -1.2894193, ' odd': -0.34310934, ' 0': -6.469597, ' even': -5.4991684}
{':': -7.0728893, ' Even': -7.0170145, ' odd': -6.7593255, ' 0': -4.57065, ' even': -0.016253874}
{' Odd': -5.456338, ' 1': -2.763853, ' one': -7.6580276, ' odd': -0.07279029, ' even': -7.56481}
{' ': -3.2424297, ':': -2.3940258, ' odd': -3.6073236, ' 0': -2.184227, ' even': -0.4764061}
{' odd': -0.26313457, ' 1': -1.5530114, ' Odd': -4.9261203, ' even': -5.410833, ' one': -5.7311263}
{' Odd': -4.2715135, ' 1': -3.217544, ' odd': -0.15155017, ' 0': -3.755121, ' even': -2.8890376}
{' even': -0.09190776, ' 0': -2.7483008, ':': -4.8407297, ' 1': -5.3686905, ' odd': -5.6959805}
{' Odd': -5.226107, ' 1': -1.2559958, ' odd': -0.35614473, ' 0': -6.3215814, ' even': -6.2979026}
{' ': -6.0838575, ':': -5.4559073, ' 0': -0.9966371, ' zero': -4.7856016, ' even': -0.5003279}
{' Odd': -5.869023, ' 1': -0.57893044, ' odd': -0.8674284, ' 0': -5.463479, ' even': -5.933398}
{' even': -0.017960567, ' 0': -4.510151, ' ': -6.8197546, ':': -6.850701, ' Even': -6.8912716}
{' odd': -0.18074559, ' 1': -1.8616347, ' Odd': -5.9670687, ' 0': -6.4656696, ' ': -6.8124266}
{' even': -0.5007771, ' 0': -1.0307873, ' zero': -4.327318, ':': -4.643818, ' ': -6.014416}
{' Odd': -5.666178, ' ': -5.921953, ' 1': -0.48127624, ' odd': -1.0125529, ' 0': -5.45242}
{' odd': -0.07365991, ' even': -3.4232633, ' 1': -4.2200794, ' Odd': -4.403816, ' 0': -4.873233}
{':': -3.7319672, ' 1': -4.369734, ' 0': -1.2119277, ' zero': -5.264496, ' even': -0.43629098}
{' 1': -0.6996257, ' odd': -0.75037056, ' even': -4.9137716, ' Odd': -5.059237, ' 0': -5.2080007}
{' 0': -0.15188079, ' even': -2.4884703, ':': -4.144696, ' zero': -4.1473255, ' ': -4.976643}
{' odd': -0.45515487, ' 1': -1.0683712, ' Odd': -5.0627303, ' even': -5.785613, ' one': -5.799799}
{':': -5.5383215, ' odd': -5.8245707, ' 0': -2.2491133, ' zero': -6.283742, ' even': -0.1297886}
{' odd': -0.3987323, ' 1': -1.1466134, ' Odd': -6.194194, ' ': -6.490871, ' 0': -6.6556735}
