{' B': -0.23135017, ' A': -1.5809976, ' "': -7.9659996, ' (': -9.101056, ' b': -9.176633}
{' A': -0.017831318, ' B': -4.0731573, ' (': -8.630073, ' "': -8.335246, " '": -9.291963}
{' A': -0.2215767, ' B': -1.6200619, ' (': -8.631828, ' "': -7.9029565, " '": -8.960565}
{' A': -0.005423005, ' B': -5.3382573, ' (': -8.638531, ' "': -8.394439, " '": -9.497566}
{' A': -0.008759807, ' B': -4.8112445, ' "': -8.518265, ' (': -8.659561, 'A': -9.522969}
{' A': -0.0057729324, ' B': -5.270374, ' (': -8.571126, ' "': -8.46821, " '": -9.462638}
{' A': -0.012034385, ' B': -4.4789357, ' (': -8.652437, ' "': -8.430864, " '": -9.400494}
{' A': -0.005079489, ' B': -5.4077053, ' (': -8.583785, ' "': -8.557464, " '": -9.5373}
{' A': -0.0034851541, ' B': -5.8523407, ' (': -8.653714, ' "': -8.456363, " '": -9.435784}
{' A': -0.0068446305, ' B': -5.077529, ' (': -8.65035, ' "': -8.513044, " '": -9.479169}
{' A': -0.0057068104, ' B': -5.2795753, ' (': -8.628108, ' "': -8.513832, " '": -9.489994}
{' A': -0.0031823067, ' B': -5.9470296, ' "': -8.59934, ' (': -8.619661, 'A': -9.57491}
{' A': -0.012644112, ' B': -4.4269776, ' (': -8.711038, ' "': -8.363829, " '": -9.405507}
{' A': -0.0019346273, ' B': -6.614071, ' "': -8.490741, ' (': -8.56619, " '": -9.593904}
{' B': -0.22132894, ' A': -1.6207373, ' "': -8.156163, ' (': -8.78968, ' b': -8.8793545}
{' B': -0.5915138, ' A': -0.80833745, ' "': -8.042424, ' (': -8.462457, " '": -9.051084}
{' b': -8.953309, ' A': -1.4017208, ' B': -0.28364253, ' (': -8.668632, ' "': -8.211156}
{' A': -0.7657174, ' B': -0.62720764, ' (': -8.404478, ' "': -8.03465, " '": -9.047658}
{' b': -9.005406, ' A': -1.1807147, ' B': -0.3679744, ' (': -8.82414, ' "': -8.123126}
{' A': -0.91891634, ' B': -0.51046336, ' (': -8.711723, ' "': -8.070339, " '": -9.042051}
{' A': -0.6037953, ' B': -0.7931797, ' (': -8.416111, ' "': -8.156661, " '": -9.179623}
{' A': -0.5613592, ' B': -0.8471543, ' (': -8.382048, ' "': -8.036864, " '": -8.914989}
{' B': -0.42829126, ' A': -1.0570486, ' "': -8.091396, ' (': -8.476536, " '": -8.977299}
{' A': -0.58503747, ' B': -0.81649035, ' (': -8.286727, ' "': -8.061201, " '": -8.999419}
{' A': -0.5759481, ' B': -0.82807285, ' (': -8.329607, ' "': -8.002212, " '": -8.951041}
{' A': -0.5744691, ' B': -0.82987833, ' (': -8.418154, ' "': -8.086387, " '": -8.98323}
{' A': -0.48019758, ' B': -0.9664399, ' (': -8.29188, ' "': -8.15096, " '": -9.046609}
{' A': -0.60488254, ' B': -0.7919572, ' "': -8.077923, ' (': -8.429353, " '": -9.007423}
{' b': -8.988105, ' A': -1.5833943, ' B': -0.2306265, ' (': -9.0055275, ' "': -8.371648}
{' A': -0.20686556, ' B': -1.6822854, ' (': -8.288466, ' "': -8.025659, " '": -8.955503}
{' A': -0.23446625, ' B': -1.5695568, ' (': -8.223733, ' "': -8.220104, " '": -9.110183}
{' A': -0.08547594, ' B': -2.512066, ' (': -8.23185, ' "': -8.233459, " '": -9.123742}
{' A': -0.22301076, ' B': -1.614517, ' (': -8.237114, ' "': -8.100337, " '": -9.036949}
{' A': -0.09550446, ' B': -2.4050405, ' (': -8.232418, ' "': -8.236381, " '": -9.124251}
{' A': -0.04091858, ' B': -3.2358627, ' (': -8.225836, ' "': -8.311481, " '": -9.2092285}
{' A': -0.044298194, ' B': -3.1549988, ' (': -8.315117, ' "': -8.523965, " '": -9.332233}
{' A': -0.051448457, ' B': -3.0069156, ' (': -8.336733, ' "': -8.473663, " '": -9.307678}
{' A': -0.034349278, ' B': -3.4088645, ' (': -8.418414, ' "': -8.422812, " '": -9.325501}
{' A': -0.13203494, ' B': -2.0964305, ' (': -8.37856, ' "': -8.2291, " '": -9.117732}
{' A': -0.015037226, ' B': -4.2514, ' (': -8.355064, ' "': -8.412442, " '": -9.308585}
{' A': -0.016748458, 'A': -9.546786, ' B': -4.133213, ' (': -8.491968, ' "': -8.776148}
{' A': -0.012926952, ' B': -4.4088655, ' (': -8.289331, ' "': -8.579153, " '": -9.33316}
{' A': -0.021008555, ' B': -3.9055755, ' (': -8.392049, ' "': -8.553821, " '": -9.389453}
{' A': -0.008219273, ' B': -4.8822255, ' (': -8.362664, ' "': -8.753115, " '": -9.530584}
{' A': -0.009137064, ' B': -4.7729306, ' (': -8.386498, ' "': -8.55809, " '": -9.442903}
{' A': -0.012550974, ' B': -4.43673, ' (': -8.368641, ' "': -8.636678, " '": -9.400128}
{' A': -0.012861984, ' B': -4.41025, ' (': -8.381503, ' "': -8.675659, " '": -9.473779}
{' A': -0.0062801163, ' B': -5.1792097, ' (': -8.334182, ' "': -8.634572, 'A': -9.545123}
{' A': -0.0234457, ' B': -3.7966123, ' (': -8.309215, ' "': -8.365952, " '": -9.272622}
{' A': -0.004136554, ' B': -5.6497126, ' (': -8.391515, ' "': -8.642174, " '": -9.501109}
{' b': -8.9851265, ' A': -1.8350755, ' B': -0.17470177, ' (': -8.993549, ' "': -8.247114}
{' B': -0.31774834, ' A': -1.303718, ' "': -8.279477, ' (': -8.831535, ' b': -9.224869}
{' b': -9.093573, ' A': -1.8198009, ' B': -0.17758521, ' (': -8.879958, ' "': -8.409686}
{' b': -9.183011, ' A': -1.2057947, ' B': -0.35696352, ' (': -8.624391, ' "': -8.270102}
{' B': -0.24080312, ' A': -1.5447199, ' "': -8.426678, ' (': -8.985174, ' b': -9.055531}
{' B': -0.43343878, ' A': -1.047027, ' "': -8.165706, ' (': -8.790366, ' b': -9.198198}
{' b': -9.264708, ' A': -1.1115799, ' B': -0.40007967, ' (': -8.660556, ' "': -8.389437}
{' A': -0.95026195, ' B': -0.49015224, ' (': -8.501156, ' "': -8.138555, " '": -9.035708}
{' b': -9.116329, ' A': -1.5677747, ' B': -0.23472315, ' (': -8.73492, ' "': -8.360013}
{' B': -0.47423577, ' A': -0.97587025, ' "': -8.208067, ' (': -8.539497, " '": -9.149511}
{' A': -0.8230878, ' B': -0.579628, ' (': -8.536099, ' "': -8.090353, " '": -9.143579}
{' A': -0.96985793, ' B': -0.47783828, ' (': -8.6525545, ' "': -8.274156, " '": -9.214371}
{' A': -0.6861402, ' B': -0.7017728, ' (': -8.499229, ' "': -8.253653, " '": -9.223638}
{' b': -9.249163, ' A': -0.9516744, ' B': -0.48915562, ' (': -8.625508, ' "': -8.194735}
{' b': -8.989267, ' A': -2.1927555, ' B': -0.119004086, ' (': -9.175094, ' "': -8.495368}
{' A': -0.3423252, ' B': -1.2410108, ' (': -8.494377, ' "': -8.179735, " '": -9.185832}
{' A': -0.3456343, ' B': -1.2328566, ' (': -8.3510475, ' "': -8.313051, " '": -9.309994}
{' A': -0.13384232, ' B': -2.0835626, ' (': -8.343492, ' "': -8.222592, " '": -9.194162}
{' A': -0.3845862, ' B': -1.1443805, ' (': -8.284814, ' "': -8.197651, " '": -9.115026}
{' A': -0.19472583, ' B': -1.7364929, ' (': -8.270845, ' "': -8.258985, " '": -9.165662}
{' A': -0.08903024, ' B': -2.4716978, ' (': -8.27897, ' "': -8.286848, " '": -9.334618}
{' A': -0.10328795, ' B': -2.3282406, ' (': -8.37816, ' "': -8.503051, " '": -9.41876}
{' A': -0.13602304, ' B': -2.0678465, ' (': -8.3708725, ' "': -8.338511, " '": -9.298895}
{' A': -0.05930304, ' B': -2.8670478, ' (': -8.323286, ' "': -8.395415, " '": -9.2568245}
{' A': -0.23144029, ' B': -1.5803934, ' "': -8.372807, ' (': -8.45678, " '": -9.257083}
{' A': -0.02375114, ' B': -3.780028, ' (': -8.405518, ' "': -8.43539, " '": -9.362539}
{' A': -0.037916936, ' B': -3.3066278, ' (': -8.534543, ' "': -8.724221, " '": -9.609327}
{' A': -0.028631754, ' B': -3.5906966, ' (': -8.375898, ' "': -8.542415, " '": -9.410732}
{' A': -0.049928177, ' B': -3.0348504, ' (': -8.431536, ' "': -8.612025, " '": -9.511865}
{' A': -0.023038793, ' B': -3.8087022, ' (': -8.398715, ' "': -8.693085, " '": -9.55084}
{' A': -0.017226856, ' B': -4.1035075, ' (': -8.51069, ' "': -8.687006, " '": -9.613498}
{' A': -0.028992288, ' B': -3.576388, ' (': -8.462776, ' "': -8.641082, " '": -9.49339}
{' A': -0.03505443, ' B': -3.385993, ' (': -8.406188, ' "': -8.680785, " '": -9.559462}
{' A': -0.013285434, ' B': -4.3707743, ' (': -8.439579, ' "': -8.779074, " '": -9.722639}
{' A': -0.033365604, ' B': -3.4352095, ' (': -8.561582, ' "': -8.514099, " '": -9.554392}
{' A': -0.006349037, ' B': -5.1582084, ' (': -8.42722, ' "': -8.659267, " '": -9.645944}
{' A': -1.3413378, ' B': -0.30412155, ' (': -8.817298, ' "': -8.094259, " '": -9.154469}
{' A': -0.74167556, ' B': -0.64838713, ' (': -8.616552, ' "': -8.029375, " '": -9.073627}
{' A': -1.1138325, ' B': -0.3990956, ' (': -8.738515, ' "': -8.028038, " '": -9.069565}
{' A': -0.5589731, ' B': -0.8502806, ' (': -8.378077, ' "': -7.8774137, " '": -9.035912}
{' A': -0.99065673, ' B': -0.46531558, ' (': -8.919728, ' "': -8.074193, " '": -9.078467}
{' A': -0.61522466, ' B': -0.77942455, ' (': -8.734632, ' "': -7.9374003, " '": -8.983081}
{' A': -0.5065759, ' B': -0.9248631, ' (': -8.413837, ' "': -7.9730635, " '": -9.146433}
{' A': -0.37589455, ' B': -1.1633034, ' (': -8.450461, ' "': -7.948363, " '": -8.934596}
{' A': -0.75771797, ' B': -0.63407785, ' (': -8.534381, ' "': -7.9930224, " '": -9.003382}
{' A': -0.42593807, ' B': -1.061377, ' (': -8.371498, ' "': -7.962148, " '": -9.065567}
{' A': -0.39971545, ' B': -1.1129093, ' "': -7.905597, ' (': -8.388478, " '": -8.936228}
{' A': -0.42104217, ' B': -1.0705287, ' "': -8.030622, ' (': -8.550394, " '": -9.0738}
{' A': -0.250625, ' B': -1.5100892, ' (': -8.462889, ' "': -8.094236, " '": -9.104393}
{' A': -0.3581281, ' B': -1.2034365, ' (': -8.435739, ' "': -7.9831, " '": -9.0425205}
{' B': -0.30544245, ' A': -1.3373104, ' "': -8.214288, ' (': -9.088842, " '": -9.174129}
{' A': -0.11839526, ' B': -2.1997645, ' (': -8.389051, ' "': -7.9901333, " '": -9.059248}
{' A': -0.14263561, ' B': -2.0236533, ' (': -8.384996, ' "': -8.182127, " '": -9.197355}
{' A': -0.044565022, ' B': -3.1486697, ' (': -8.400239, ' "': -8.359277, " '": -9.3138895}
{' A': -0.21248667, ' B': -1.6576694, ' "': -8.077084, ' (': -8.287041, " '": -9.068045}
{' A': -0.056498665, ' B': -2.91438, ' (': -8.38662, ' "': -8.341854, " '": -9.268866}
{' A': -0.01780201, ' B': -4.075789, ' (': -8.440316, ' "': -8.331456, " '": -9.292801}
{' A': -0.025651244, ' B': -3.699899, ' (': -8.45602, ' "': -8.557282, " '": -9.510041}
{' A': -0.026378129, ' B': -3.6719546, ' "': -8.498909, ' (': -8.525413, " '": -9.418646}
{' A': -0.011686302, ' B': -4.507669, ' (': -8.507382, ' "': -8.548897, " '": -9.433095}
{' A': -0.058656614, ' B': -2.8773398, ' "': -8.312274, ' (': -8.4673, " '": -9.278412}
{' A': -0.0076124393, ' B': -4.9655075, ' (': -8.492485, ' "': -8.416367, " '": -9.399124}
{' A': -0.00911108, 'A': -9.660697, ' B': -4.7621646, ' (': -8.577377, ' "': -8.778071}
{' A': -0.0051361676, ' B': -5.396953, ' (': -8.415878, ' "': -8.623106, " '": -9.50988}
{' A': -0.010815507, ' B': -4.588195, ' (': -8.510961, ' "': -8.599239, " '": -9.459128}
{' A': -0.004897263, ' B': -5.4410734, ' (': -8.476018, ' "': -8.741176, " '": -9.596217}
{' A': -0.0036552807, ' B': -5.78875, ' (': -8.462421, ' "': -8.602018, " '": -9.426035}
{' A': -0.008083586, ' B': -4.89662, ' (': -8.513314, ' "': -8.5857115, " '": -9.475899}
{' A': -0.005787381, ' B': -5.2607574, ' (': -8.459377, ' "': -8.649, " '": -9.535991}
{' A': -0.0030253588, ' B': -6.0185604, ' (': -8.40775, ' "': -8.626572, " '": -9.532878}
{' A': -0.0072672158, ' B': -5.0114117, ' (': -8.550027, ' "': -8.5087595, " '": -9.478093}
{' A': -0.0024252897, ' B': -6.3351426, ' (': -8.332781, ' "': -8.431426, " '": -9.389012}
{' b': -8.992152, ' A': -2.3950245, ' B': -0.09633398, ' (': -9.090644, ' "': -8.146115}
{' b': -9.145343, ' A': -1.384701, ' B': -0.2892573, ' (': -8.813949, ' "': -7.9648924}
{' b': -9.04818, ' A': -1.8689237, ' B': -0.16841564, ' (': -8.886148, ' "': -8.113209}
{' b': -9.373406, ' A': -1.1985682, ' B': -0.36021027, ' (': -8.64367, ' "': -7.858906}
{' B': -0.2288353, ' A': -1.5910101, ' "': -7.9067163, ' (': -8.852144, ' b': -8.911187}
{' B': -0.2930946, ' A': -1.3736191, ' "': -7.8450174, ' (': -8.776391, ' b': -8.953013}
{' b': -9.194472, ' A': -1.0087084, ' B': -0.454904, ' (': -8.643119, ' "': -8.001198}
{' b': -9.367703, ' A': -0.8796095, ' B': -0.5375952, ' (': -8.512604, ' "': -7.8180237}
{' b': -9.046915, ' A': -1.451978, ' B': -0.26774535, ' (': -8.677828, ' "': -8.023149}
{' b': -9.301872, ' A': -0.8360922, ' B': -0.5697022, ' (': -8.436138, ' "': -7.8518953}
{' b': -9.172576, ' A': -0.9163675, ' B': -0.5123319, ' (': -8.398221, ' "': -7.8195515}
{' b': -9.526947, ' A': -0.96166384, ' B': -0.48295364, ' (': -8.656144, ' "': -7.9626923}
{' b': -9.265518, ' A': -0.6973446, ' B': -0.6908234, ' (': -8.410811, ' "': -7.8412976}
{' b': -9.216939, ' A': -0.89840823, ' B': -0.52444386, ' (': -8.506759, ' "': -7.8477216}
{' b': -9.103756, ' A': -2.3701048, ' B': -0.09879214, ' (': -9.389583, ' "': -8.238111}
{' A': -0.27752724, ' B': -1.4213356, ' "': -7.782935, ' (': -8.305647, " '": -9.482596}
{' A': -0.18937434, 'A': -9.577648, ' B': -1.7621398, ' (': -8.387532, ' "': -7.9234834}
{' A': -0.07323558, 'A': -9.545992, ' B': -2.6614354, ' (': -8.370136, ' "': -8.047939}
{' A': -0.25518003, ' B': -1.4945408, ' (': -8.315599, ' "': -7.918728, " '": -9.6385765}
{' A': -0.13364017, ' B': -2.0856133, ' (': -8.286107, ' "': -7.908047, " '": -9.578861}
{' A': -0.07278696, 'A': -9.575497, ' B': -2.668906, ' (': -8.126063, ' "': -7.9545426}
{' A': -0.05802552, 'A': -9.6065, ' B': -2.889635, ' (': -8.251189, ' "': -8.105362}
{' A': -0.053760156, 'A': -9.577758, ' B': -2.9643016, ' (': -8.365988, ' "': -8.112864}
{' A': -0.02718516, ' B': -3.6455, ' "': -8.172207, ' (': -8.38549, 'A': -9.569792}
{' A': -0.15027653, ' B': -1.9755327, ' (': -8.375708, ' "': -7.9154983, " '": -9.592651}
{' A': -0.015946656, ' B': -4.193364, ' "': -8.150714, ' (': -8.293616, 'A': -9.650956}
{' A': -0.009204618, 'A': -9.577482, ' B': -4.758041, ' (': -8.553117, ' "': -8.439801}
{' A': -0.010638259, 'A': -9.575561, ' B': -4.6136904, ' (': -8.333961, ' "': -8.327704}
{' A': -0.022370227, ' B': -3.8421638, ' "': -8.2722025, ' (': -8.400888, 'A': -9.548352}
{' A': -0.0090636825, 'A': -9.581627, ' B': -4.780037, ' (': -8.394033, ' "': -8.3996105}
{' A': -0.010486218, ' B': -4.627115, ' "': -8.354447, ' (': -8.368715, 'A': -9.6146755}
{' A': -0.014660216, 'A': -9.569724, ' B': -4.27541, ' (': -8.380313, ' "': -8.367016}
{' A': -0.012452475, 'A': -9.545149, ' B': -4.4460707, ' (': -8.395461, ' "': -8.336203}
{' A': -0.006748491, ' B': -5.1036987, ' (': -8.286725, ' "': -8.389918, 'A': -9.5548525}
{' A': -0.016096862, 'A': -9.577073, ' B': -4.180663, ' (': -8.453764, ' "': -8.170457}
{' A': -0.0027875004, 'A': -9.598062, ' B': -6.17388, ' (': -8.214316, ' "': -8.277182}
{' A': -1.8858678, ' B': -0.16538039, ' (': -9.231859, ' "': -7.95645, " '": -9.212014}
{' A': -1.0001378, ' B': -0.45996892, ' (': -8.960888, ' "': -7.758964, " '": -9.042109}
{' A': -1.5796796, ' B': -0.23172787, ' (': -9.051202, ' "': -7.898933, " '": -9.152242}
{' B': -0.583984, ' A': -0.8177963, ' "': -7.7126055, ' (': -8.803241, " '": -8.972066}
{' B': -0.29297563, ' A': -1.3735992, ' "': -7.878305, " '": -9.116236, ' (': -9.285651}
{' A': -0.8792479, ' B': -0.53789544, ' (': -8.928627, ' "': -7.6773777, " '": -8.928683}
{' A': -0.75165594, ' B': -0.63952863, ' (': -8.855893, ' "': -7.828726, " '": -8.997963}
{' A': -0.55364966, ' B': -0.85761803, ' (': -8.760378, ' "': -7.6417537, " '": -8.88665}
{' A': -0.9276576, ' B': -0.50486135, ' (': -8.857247, ' "': -7.7239313, " '": -8.87053}
{' A': -0.46207276, ' B': -0.99677134, ' "': -7.699935, ' (': -8.71275, " '": -8.880874}
{' A': -0.5692806, ' B': -0.8368702, ' (': -8.716021, ' "': -7.610839, " '": -8.844207}
{' A': -0.5415192, ' B': -0.8742199, ' (': -8.788213, ' "': -7.69911, " '": -8.789145}
{' A': -0.38917926, ' B': -1.1349354, ' (': -8.741851, ' "': -7.720473, " '": -8.876571}
{' A': -0.5754408, ' B': -0.8287367, ' (': -8.816376, ' "': -7.713645, " '": -8.930831}
{' B': -0.12646484, ' A': -2.1356907, ' "': -8.12157, " '": -9.280438, ' b': -9.387674}
{' A': -0.19810079, ' B': -1.7214391, ' (': -8.905348, ' "': -7.712749, " '": -8.940939}
{' A': -0.1732451, ' B': -1.8436112, ' (': -8.769031, ' "': -7.91007, " '": -9.00712}
{' A': -0.06172072, ' B': -2.8293502, ' (': -8.73688, ' "': -7.8988767, " '": -9.07553}
{' A': -0.27807337, ' B': -1.4199018, ' (': -8.56934, ' "': -7.633779, " '": -8.856805}
{' A': -0.11201855, ' B': -2.2525234, ' (': -8.665317, ' "': -7.8988457, " '": -8.96146}
{' A': -0.03915482, ' B': -3.2794993, ' (': -8.748292, ' "': -7.9827137, " '": -9.115823}
{' A': -0.047256406, ' B': -3.092119, ' (': -8.738203, ' "': -8.041604, " '": -9.0533085}
{' A': -0.049774613, ' B': -3.0406609, ' (': -8.749615, ' "': -8.026112, " '": -9.074584}
{' A': -0.022082023, ' B': -3.8557744, ' (': -8.839328, ' "': -8.149303, " '": -9.14148}
{' A': -0.1470226, ' B': -1.995949, ' (': -8.855985, ' "': -7.8215723, " '": -8.954568}
{' A': -0.008850785, ' B': -4.8154664, ' (': -8.765263, ' "': -8.043032, " '": -9.171215}
{' A': -0.01380315, ' B': -4.3346114, ' (': -8.928533, ' "': -8.319422, " '": -9.350659}
{' A': -0.010546515, ' B': -4.6220713, ' (': -8.789802, ' "': -8.220331, " '": -9.209539}
{' A': -0.013338164, ' B': -4.3743114, ' (': -8.834597, ' "': -8.223614, " '": -9.246915}
{' A': -0.0056388914, ' B': -5.293162, ' (': -8.85196, ' "': -8.346704, " '": -9.368658}
{' A': -0.0063061495, ' B': -5.1803627, ' "': -8.2041025, ' (': -8.80378, " '": -9.171278}
{' A': -0.015954651, ' B': -4.187881, ' "': -8.214269, ' (': -8.854031, " '": -9.178281}
{' A': -0.0116320895, ' B': -4.5187464, ' (': -8.812598, ' "': -8.203064, " '": -9.227232}
{' A': -0.0042369915, ' B': -5.618841, ' (': -8.837374, ' "': -8.337557, " '": -9.377457}
{' A': -0.015146931, ' B': -4.2422776, ' "': -8.128473, ' (': -8.8951025, " '": -9.302334}
{' A': -0.0026965311, ' B': -6.201198, ' (': -8.744336, ' "': -8.165885, " '": -9.298023}
{' b': -9.226557, ' A': -2.135517, ' B': -0.12645693, ' (': -9.345213, ' "': -8.190153}
{' b': -9.459555, ' A': -1.133022, ' B': -0.38970718, ' (': -8.986035, ' "': -8.079712}
{' b': -9.302346, ' A': -1.9978623, ' B': -0.14642775, ' (': -9.269487, ' "': -8.244993}
{' B': -0.39396095, ' A': -1.1243478, ' "': -7.9733157, ' (': -8.804022, ' b': -9.507969}
{' b': -9.2202835, ' A': -1.6109108, ' B': -0.22357425, ' (': -9.17035, ' "': -8.184295}
{' b': -9.327368, ' A': -1.3152792, ' B': -0.31351495, ' (': -9.016972, ' "': -7.9733696}
{' b': -9.466898, ' A': -1.0746207, ' B': -0.41866052, ' (': -8.944289, ' "': -8.227508}
{' b': -9.571076, ' A': -1.0386862, ' B': -0.4379456, ' (': -8.8194275, ' "': -8.064656}
{' b': -9.292479, ' A': -1.6298261, ' B': -0.21890312, ' (': -9.026593, ' "': -8.220403}
{' B': -0.5929617, ' A': -0.8062072, ' "': -7.9958777, ' (': -8.696151, " '": -9.616722}
{' A': -0.9083883, ' B': -0.51754594, ' (': -8.667412, ' "': -7.8316135, " '": -9.433501}
{' b': -9.5471525, ' A': -0.97537744, ' B': -0.47440854, ' (': -8.863435, ' "': -8.104033}
{' A': -0.6454801, ' B': -0.7447767, ' (': -8.763836, ' "': -8.020113, " '": -9.646013}
{' b': -9.468572, ' A': -0.97784144, ' B': -0.47297773, ' (': -8.869473, ' "': -8.029492}
{' b': -9.180194, ' A': -2.3934417, ' B': -0.09631882, ' (': -9.643716, ' "': -8.433578}
{' A': -0.26604784, ' B': -1.4574177, ' (': -8.657752, ' "': -8.00527, " '": -9.612308}
{' A': -0.29953, 'A': -9.720539, ' B': -1.3543013, ' (': -8.558601, ' "': -8.191008}
{' A': -0.096526556, 'A': -9.60513, ' B': -2.39286, ' (': -8.551008, ' "': -8.312332}
{' A': -0.32174549, ' B': -1.2933033, ' (': -8.567148, ' "': -8.065326, " '": -9.714096}
{' A': -0.20543052, ' B': -1.687675, ' (': -8.498518, ' "': -8.078843, " '": -9.603837}
{' A': -0.053011775, 'A': -9.6582575, ' B': -2.9778886, ' (': -8.415038, ' "': -8.113922}
{' A': -0.06720471, 'A': -9.621194, ' B': -2.743001, ' (': -8.62569, ' "': -8.3338995}
{' A': -0.08360121, 'A': -9.641285, ' B': -2.531134, ' (': -8.623606, ' "': -8.291235}
{' A': -0.027699215, 'A': -9.613005, ' B': -3.6201541, ' (': -8.8055525, ' "': -8.467663}
{' A': -0.1775502, 'A': -9.660876, ' B': -1.8201379, ' (': -8.7091, ' "': -8.1601305}
{' A': -0.011016349, 'A': -9.727544, ' B': -4.5703692, ' (': -8.564358, ' "': -8.321929}
{' A': -0.016435876, 'A': -9.6078205, ' B': -4.145157, ' (': -8.878507, ' "': -8.741495}
{' A': -0.010461463, ' B': -4.616718, ' "': -8.613231, ' (': -8.667575, 'A': -9.646531}
{' A': -0.023362782, 'A': -9.609013, ' B': -3.7912326, ' (': -8.747436, ' "': -8.575722}
{' A': -0.0069427565, 'A': -9.654535, ' B': -5.0468845, ' (': -8.690622, ' "': -8.723558}
{' A': -0.006616, 'A': -9.670402, ' B': -5.1077356, ' (': -8.629932, ' "': -8.5288}
{' A': -0.011790814, 'A': -9.6176605, ' B': -4.491456, ' (': -8.704852, ' "': -8.621535}
{' A': -0.012435758, 'A': -9.615269, ' B': -4.436512, ' (': -8.701286, ' "': -8.589867}
{' A': -0.0045225564, 'A': -9.661328, ' B': -5.514345, ' (': -8.664585, ' "': -8.757319}
{' A': -0.022795644, 'A': -9.638809, ' B': -3.8192813, ' (': -8.681279, ' "': -8.33133}
{' A': -0.0035164384, 'A': -9.702489, ' B': -5.826262, ' (': -8.503839, ' "': -8.51023}
{' b': -9.383342, ' A': -1.874738, ' B': -0.16720712, ' (': -9.278256, ' "': -8.285158}
{' A': -1.0495504, ' B': -0.43197763, ' (': -8.909409, ' "': -8.136535, " '": -9.433015}
{' A': -1.6558914, ' B': -0.21267526, ' (': -8.938516, ' "': -8.172909, " '": -9.385541}
{' A': -0.8623192, ' B': -0.5499393, ' (': -8.504497, ' "': -7.958163, " '": -9.193561}
{' A': -1.0250705, ' B': -0.44557044, ' (': -8.859674, ' "': -7.986052, " '": -9.210047}
{' A': -0.813508, ' B': -0.58710754, ' (': -8.791215, ' "': -8.012676, " '": -9.325624}
{' B': -0.5605318, ' A': -0.8476642, ' "': -8.222588, ' (': -8.740007, " '": -9.507565}
{' A': -0.7381392, ' B': -0.65160656, ' (': -8.649576, ' "': -7.9876294, " '": -9.121512}
{' A': -1.277481, ' B': -0.32764995, ' (': -8.887108, ' "': -8.265663, " '": -9.421261}
{' A': -0.7612749, ' B': -0.6307454, ' (': -8.632362, ' "': -8.109553, " '": -9.3945675}
{' A': -0.62893593, ' B': -0.76364434, ' "': -7.917525, ' (': -8.459388, " '": -9.068786}
{' A': -0.70185435, ' B': -0.68602145, ' (': -8.696103, ' "': -8.044871, " '": -9.236349}
{' A': -0.5418314, ' B': -0.87328094, ' (': -8.684862, ' "': -8.096457, " '": -9.386287}
{' A': -0.66242504, ' B': -0.72646236, ' (': -8.667246, ' "': -7.9952908, " '": -9.233231}
