['Left', 'left', 'left', 'left', '<-', '<-', '<-', '<--', '<--', 'Left', 1]
['<--', 'Left', 'left', 'Left', 'left', '<-', 'Left', '<--', 'left', 'Left', 5]
['<-', '<-', 'left', '<--', 'left', '<--', 'left', '<--', 'Left', '<-', 6]
['Left', 'left', '<-', '<-', 'Left', '<--', 'left', 'Left', 'Left', 'left', 7]
['left', 'Left', '<-', '<-', '<--', 'left', '<--', 'Left', 'Left', 'Left', 8]
['Left', 'Left', '<-', 'left', '<--', 'left', 'left', 'Left', '<--', 'Left', 9]
['Left', 'Left', 'Left', 'Left', '<-', 'Left', 'Left', 'Left', 'left', '<--', 10]
['Left', '<-', '<-', 'Left', 'Left', '<-', 'Left', 'left', 'left', 'left', 11]
['<-', '<--', '<--', 'Left', 'left', '<-', 'left', 'Left', '<--', '<--', 12]
['left', '<--', 'Left', 'left', 'Left', 'left', '<--', 'Left', '<-', 'left', 13]
['Left', 'left', 'left', '<--', '<--', 'Left', '<--', '<--', 'left', 'left', 14]
['left', 'Left', '<--', '<--', 'left', 'Left', '<-', '<--', 'Left', '<-', 15]
['left', 'Left', '<--', '<--', 'Left', 'left', '<-', 'Left', 'Left', 'Left', 16]
['<--', '<-', 'Left', 'Left', '<-', 'Left', '<-', 'left', '<-', 'left', 17]
['Left', 'left', '<-', 'Left', '<--', '<-', '<-', '<-', 'Left', 'Left', 18]
['Left', 'left', 'left', '<-', '<--', '<-', '<-', '<-', '<-', '<--', 19]
['left', '<--', 'Left', 'Left', '<-', 'left', '<--', '<--', '<--', '<--', 20]
['left', '<-', '<-', 'Left', '<--', 'left', 'left', 'Left', '<-', 'left', 21]
['<-', 'Left', 'left', '<-', 'left', 'Left', 'left', 'Left', 'Left', '<--', 22]
['left', '<--', 'left', 'left', 'Left', '<--', 'Left', 'Left', 'Left', 'Left', 23]
['left', '<-', 'left', 'left', '<-', '<--', 'left', 'left', '<-', '<--', 24]
['Left', '<--', '<--', 'Left', '<--', 'Left', 'Left', 'left', 'Left', 'Left', 25]
['left', '<--', 'Left', '<-', '<-', '<--', '<-', '<-', 'left', 'Left', 26]
['left', '<-', '<-', 'left', 'Left', 'Left', '<-', 'Left', '<-', 'Left', 27]
['Left', '<-', '<-', 'left', '<-', 'Left', 'left', 'left', 'left', 'Left', 28]
['<-', '<-', 'Left', '<-', '<-', 'left', '<--', '<-', 'left', 'left', 29]
['<--', 'Left', 'Left', 'left', '<-', '<-', 'Left', '<--', '<--', '<-', 30]
['Left', '<-', '<--', 'left', '<--', '<--', 'Left', 'Left', '<--', 'left', 31]
['<-', 'Left', '<-', '<-', '<-', 'left', '<-', 'Left', 'left', '<-', 32]
['<-', 'left', '<--', '<--', '<--', '<--', '<-', '<--', 'Left', '<--', 33]
['<--', '<-', 'left', '<--', '<-', '<-', '<--', '<--', 'Left', 'left', 34]
['<-', '<--', '<--', '<--', '<--', 'left', 'left', '<--', 'Left', '<--', 35]
['left', '<-', 'left', '<--', 'Left', '<--', 'Left', '<-', '<--', '<--', 36]
['left', '<-', 'left', 'left', 'Left', 'left', '<--', 'left', '<--', 'Left', 37]
['left', 'left', 'left', 'Left', 'Left', '<--', 'Left', '<-', 'Left', '<-', 38]
['left', '<--', '<--', '<-', 'Left', 'Left', 'Left', 'left', 'left', '<-', 39]
['left', 'Left', '<--', 'left', 'Left', '<-', '<--', '<-', 'left', 'Left', 40]
['left', 'left', 'Left', 'Left', '<-', '<-', '<-', 'Left', 'left', '<-', 41]
['<-', '<-', '<--', '<-', 'left', '<-', 'left', 'left', 'left', 'Left', 42]
['<-', '<--', 'left', 'Left', '<-', '<-', '<-', '<--', 'Left', 'Left', 43]
['<-', '<--', 'Left', 'left', 'Left', '<-', '<-', '<-', 'Left', '<--', 44]
['<--', 'Left', 'Left', 'left', '<-', '<-', 'Left', '<--', '<--', 'Left', 45]
['<--', '<-', '<--', 'left', '<-', 'left', '<-', '<-', '<--', '<--', 46]
['<-', '<-', '<--', '<--', '<--', 'left', 'Left', '<--', 'left', 'left', 47]
['left', 'Left', 'left', '<--', 'Left', 'Left', '<-', 'left', '<--', '<-', 48]
['Left', '<--', '<-', 'left', 'left', '<--', '<-', 'Left', '<--', '<-', 49]
['<-', 'Left', 'Left', '<--', 'Left', 'Left', '<-', 'left', 'left', 'left', 50]
['<--', 'Left', 'left', '<-', '<-', 'Left', 'Left', '<-', '<--', '<-', 1]
['left', '<-', '<-', 'left', '<-', 'left', '<--', '<-', 'left', '<--', 2]
['<-', 'Left', '<--', 'left', 'Left', '<--', 'left', 'Left', 'Left', 'left', 3]
['Left', '<--', 'Left', '<--', '<-', '<-', 'left', 'Left', '<-', '<-', 4]
['<--', 'left', 'left', '<--', 'Left', 'left', '<--', '<-', '<--', 'left', 5]
['left', 'Left', 'Left', '<-', '<-', '<--', '<-', 'Left', 'left', 'left', 6]
['<--', '<--', '<-', '<-', '<-', 'left', '<--', 'Left', 'Left', 'Left', 7]
['<--', '<-', '<-', '<--', '<--', 'Left', '<-', 'Left', '<-', 'Left', 8]
['<-', '<--', 'Left', 'left', '<--', '<--', 'left', 'Left', '<-', 'left', 9]
['<--', '<--', 'left', '<--', '<--', '<--', 'Left', 'Left', 'Left', 'left', 10]
['<-', 'Left', '<--', '<--', 'Left', 'left', '<--', 'Left', 'Left', 'Left', 11]
['left', '<-', '<-', 'left', 'Left', 'left', 'Left', '<-', '<--', 'Left', 12]
['<-', 'Left', 'Left', 'Left', '<--', '<--', '<--', 'left', '<--', '<--', 13]
['left', 'Left', 'left', 'left', '<--', 'left', '<--', 'left', 'Left', '<-', 14]
['<--', 'left', 'left', 'Left', '<--', 'Left', '<-', '<--', '<--', 'left', 15]
['Left', '<--', '<--', 'left', '<--', '<-', '<-', '<-', 'Left', '<-', 16]
['<--', '<-', '<-', 'Left', '<--', '<--', '<-', '<--', 'Left', '<--', 17]
['<--', '<--', '<-', '<--', '<-', 'left', '<--', 'left', '<-', 'left', 18]
['<-', 'left', '<--', 'Left', '<--', 'left', '<-', '<-', 'Left', 'left', 19]
['Left', '<-', 'left', '<--', 'left', 'left', 'Left', '<--', '<-', 'Left', 20]
['<-', 'Left', 'Left', 'left', 'left', 'left', 'left', 'Left', 'left', '<--', 21]
['<--', 'Left', 'left', 'Left', 'left', 'Left', '<--', 'Left', 'Left', 'left', 22]
['<--', 'Left', '<-', 'Left', '<-', '<-', 'left', '<-', 'Left', 'left', 23]
['<--', '<-', 'Left', 'Left', 'left', 'Left', '<--', '<-', '<-', '<-', 24]
['<-', '<-', '<--', 'Left', '<-', 'Left', '<--', '<-', 'Left', '<--', 25]
['Left', '<--', '<--', 'left', '<-', 'Left', 'left', 'left', '<-', '<--', 26]
['left', '<--', 'Left', '<-', 'left', '<--', 'left', 'Left', '<-', 'Left', 27]
['Left', '<--', '<-', 'Left', 'left', 'Left', '<-', 'Left', 'Left', '<-', 28]
['<-', '<-', '<--', '<-', '<-', 'Left', 'left', '<--', '<-', 'Left', 29]
['<-', 'Left', 'left', '<--', '<-', '<--', 'left', '<-', '<--', 'Left', 30]
['<-', '<-', 'left', 'left', '<-', '<--', '<--', 'Left', 'left', '<-', 31]
['Left', '<-', '<--', 'left', '<--', '<--', '<-', '<-', '<--', 'Left', 32]
['left', 'Left', '<-', 'Left', 'left', 'left', 'left', 'left', '<--', 'left', 33]
['<-', 'left', 'left', 'left', '<--', 'left', 'Left', 'Left', 'left', '<--', 34]
['<-', '<--', 'Left', '<-', '<-', 'left', '<--', 'left', '<--', '<--', 35]
['<--', '<-', 'left', 'left', '<--', 'left', '<-', 'Left', '<-', '<-', 36]
['Left', '<--', '<-', 'left', '<-', '<-', 'left', 'Left', 'Left', 'Left', 37]
['<--', '<-', 'left', 'left', 'Left', 'left', '<--', 'left', 'left', '<--', 38]
['<--', 'left', 'Left', '<--', '<-', '<--', 'Left', '<-', 'left', 'Left', 39]
['left', 'left', 'left', '<-', 'left', 'Left', '<-', 'left', 'left', 'Left', 40]
['<--', '<-', '<--', 'Left', '<--', '<-', '<--', '<-', 'left', '<-', 41]
['<--', 'Left', '<-', '<--', 'Left', '<-', '<--', '<--', 'left', '<--', 42]
['left', '<-', '<-', 'Left', '<--', 'left', 'Left', '<--', 'left', 'left', 43]
['left', 'left', 'left', 'left', '<--', '<-', 'Left', '<--', '<--', '<--', 44]
['<-', 'Left', 'Left', '<--', '<--', '<--', '<-', 'Left', '<-', 'left', 45]
['left', '<--', 'Left', '<--', 'Left', 'Left', 'left', '<-', '<-', 'left', 46]
['<-', 'left', '<--', '<--', 'Left', 'left', 'left', 'Left', 'left', '<-', 47]
['<-', 'left', 'Left', '<--', '<--', '<--', '<-', 'Left', '<-', 'Left', 48]
['left', 'Left', '<--', 'Left', '<--', '<-', 'Left', 'left', '<-', '<--', 49]
['<-', '<--', '<-', '<-', '<-', 'Left', 'Left', '<-', '<--', '<-', 50]
['<-', '<-', '<--', 'Left', 'left', 'Left', 'Left', '<--', '<--', '<-', 1]
['<--', 'Left', '<-', '<--', 'Left', 'left', '<-', 'left', '<--', 'Left', 2]
['<--', '<--', 'Left', '<--', 'left', 'left', 'Left', 'Left', '<--', '<-', 3]
['Left', 'Left', '<-', 'left', 'left', '<--', '<--', 'left', '<--', 'left', 4]
['<-', 'left', '<--', '<--', 'Left', 'Left', '<-', '<-', '<-', 'left', 5]
['<--', '<--', '<--', '<--', '<-', 'Left', '<--', '<--', '<--', 'left', 6]
['Left', 'Left', '<--', 'Left', '<-', '<--', 'Left', 'Left', '<-', '<-', 7]
['<-', 'Left', '<--', '<--', 'left', '<--', 'left', 'Left', 'Left', '<--', 8]
['<--', 'left', 'Left', 'left', '<--', '<--', 'Left', '<--', '<-', '<--', 9]
['Left', '<--', 'Left', '<--', 'left', '<--', '<-', 'Left', '<--', 'Left', 10]
['left', 'Left', '<--', 'Left', 'Left', 'Left', '<--', '<-', '<--', '<--', 11]
['Left', 'left', '<-', '<-', '<--', 'left', '<--', '<-', 'left', '<--', 12]
['<-', '<-', 'Left', 'left', '<--', 'Left', '<--', 'Left', 'left', '<--', 13]
['<--', '<-', 'Left', 'left', '<--', '<--', 'Left', 'left', 'Left', 'Left', 14]
['Left', 'Left', 'Left', '<-', '<--', 'left', '<--', 'left', '<--', '<--', 15]
['Left', '<--', '<--', 'Left', 'Left', 'left', '<-', '<--', 'left', 'Left', 16]
['<-', '<-', 'Left', 'Left', 'left', '<--', 'left', '<--', 'Left', '<--', 17]
['left', 'left', '<--', '<-', '<--', 'left', '<-', '<-', 'left', 'Left', 18]
['left', '<--', '<--', 'left', '<-', '<-', '<--', '<-', '<--', '<-', 19]
['<--', '<-', '<-', 'Left', '<--', '<--', 'left', 'left', '<--', 'left', 20]
['<-', 'left', 'left', '<--', '<-', '<-', 'Left', '<--', '<--', '<--', 21]
['<-', '<--', 'Left', '<-', '<--', '<-', 'left', 'Left', '<-', 'Left', 22]
['Left', '<-', '<-', 'left', '<--', 'Left', 'Left', '<--', '<-', 'left', 23]
['<--', 'left', '<--', 'left', '<--', '<--', 'Left', 'left', 'Left', 'Left', 24]
['Left', 'left', '<--', '<--', '<--', 'left', '<-', 'Left', 'left', 'Left', 25]
['<-', '<-', 'left', '<-', '<--', 'left', 'left', 'Left', '<-', '<-', 26]
['<-', 'Left', '<-', '<-', '<--', '<--', '<--', 'Left', '<-', '<--', 27]
['<-', 'Left', 'left', 'left', '<-', 'Left', 'Left', 'Left', '<-', '<--', 28]
['Left', 'left', 'Left', 'left', 'Left', '<-', 'Left', '<-', '<-', 'left', 29]
['left', 'left', 'left', '<-', '<--', 'Left', 'Left', '<-', 'Left', '<-', 30]
['<--', 'Left', '<--', 'Left', '<--', 'Left', 'left', '<-', '<--', 'Left', 31]
['left', 'left', '<--', '<--', 'Left', 'left', '<-', '<--', 'left', 'Left', 32]
['<--', 'Left', '<-', 'left', '<--', '<--', 'left', 'left', '<-', 'left', 33]
['left', '<-', '<--', '<-', '<--', 'Left', '<-', '<-', '<--', '<--', 34]
['<--', 'left', 'Left', '<-', 'left', 'left', '<--', '<--', '<--', 'left', 35]
['<--', '<--', 'left', 'left', 'Left', '<-', 'left', '<--', '<--', 'Left', 36]
['left', 'left', '<--', 'Left', 'Left', 'Left', 'Left', 'left', 'left', 'Left', 37]
['<-', '<--', '<-', 'Left', 'left', 'Left', 'Left', 'Left', 'Left', 'left', 38]
['<--', 'Left', 'left', '<--', '<-', '<--', 'left', '<--', 'Left', '<--', 39]
['Left', '<--', 'Left', '<--', 'left', '<--', '<-', 'Left', '<--', '<-', 40]
['Left', 'Left', '<-', 'Left', 'left', 'left', 'Left', 'Left', 'left', '<--', 41]
['Left', 'left', '<--', 'left', 'Left', 'left', 'Left', '<-', '<-', 'left', 42]
['<--', '<--', '<-', '<-', '<-', 'Left', 'Left', '<--', '<-', '<--', 43]
['left', 'Left', '<--', 'Left', 'Left', 'Left', '<--', '<--', '<-', 'left', 44]
['left', 'Left', 'Left', '<--', 'left', '<-', 'left', 'Left', 'left', '<-', 45]
['<-', '<-', 'Left', 'Left', '<-', 'Left', '<--', 'left', '<-', 'Left', 46]
['<--', '<-', '<--', 'left', '<-', '<--', 'Left', '<--', '<--', '<--', 47]
['<-', 'left', '<--', 'left', 'left', '<--', 'left', '<-', '<-', '<-', 48]
['left', '<--', 'Left', 'Left', 'Left', 'left', 'left', 'Left', 'left', '<--', 49]
['<-', 'left', 'Left', 'left', 'Left', 'Left', '<--', '<--', 'left', 'Left', 50]
['<--', '<--', 'Left', '<-', 'left', '<-', 'Left', 'left', '<--', '<--', 1]
['<-', '<-', '<--', 'Left', 'left', 'left', 'Left', '<-', 'Left', '<-', 2]
['<-', '<-', '<--', '<--', 'Left', 'left', '<-', 'Left', '<--', '<--', 3]
['Left', 'left', '<--', '<-', '<-', '<--', '<--', 'Left', '<--', '<--', 4]
['left', 'left', 'Left', '<--', 'left', '<-', 'Left', 'left', '<--', '<-', 5]
['left', 'left', 'left', 'Left', 'left', 'Left', '<--', '<-', 'Left', '<--', 6]
['<-', 'left', '<-', 'Left', '<--', 'left', 'left', '<--', '<-', '<-', 7]
['left', 'left', 'left', '<-', '<--', '<--', 'left', 'left', '<--', 'left', 8]
['left', 'Left', 'Left', '<-', '<--', '<-', '<--', 'left', '<-', 'Left', 9]
['left', '<--', 'left', 'Left', 'Left', 'left', 'left', '<--', '<--', 'left', 10]
['<-', '<-', 'left', '<-', '<-', 'left', 'left', 'left', '<--', 'left', 11]
['Left', 'left', '<--', 'left', 'Left', 'left', 'Left', 'Left', 'Left', '<-', 12]
['Left', '<-', 'Left', '<-', 'left', '<--', 'Left', 'Left', '<--', '<-', 13]
['<--', 'left', '<--', 'Left', 'Left', '<--', '<--', '<--', 'left', '<--', 14]
['<--', '<--', '<-', 'left', 'Left', '<--', '<--', 'left', 'left', 'Left', 15]
['<-', '<--', 'left', 'left', 'left', '<--', 'left', 'left', '<-', '<--', 16]
['<--', '<-', '<--', '<-', '<-', '<-', 'left', '<-', 'left', 'left', 17]
['Left', 'left', 'Left', '<--', 'left', 'Left', 'left', '<-', '<--', 'left', 18]
['left', 'left', 'left', '<--', 'left', '<--', '<-', 'Left', 'left', '<--', 19]
['<--', '<--', 'left', '<--', 'Left', '<-', 'left', 'left', '<-', 'left', 20]
['Left', 'Left', '<--', '<-', '<-', 'Left', 'left', 'left', 'left', 'Left', 21]
['Left', 'Left', '<--', '<--', '<--', '<-', '<-', '<-', 'Left', '<-', 22]
['<-', '<-', '<--', 'Left', 'Left', '<--', 'Left', '<--', '<--', 'left', 23]
['Left', 'left', '<--', 'Left', '<--', 'Left', 'left', 'Left', '<-', '<-', 24]
['Left', 'left', '<--', '<--', '<--', '<--', 'left', '<--', '<--', 'Left', 25]
['Left', '<--', '<-', '<-', 'left', 'Left', 'left', '<-', '<--', 'left', 26]
['left', 'left', 'Left', '<-', 'Left', '<--', '<--', 'Left', '<-', '<-', 27]
['<-', 'Left', '<-', 'left', '<-', '<--', '<--', 'left', '<-', 'Left', 28]
['left', '<-', '<-', '<-', '<--', '<-', '<--', 'Left', '<--', 'left', 29]
['left', 'left', '<-', 'Left', '<--', 'Left', '<-', '<--', '<--', 'Left', 30]
['Left', '<-', 'Left', 'left', 'left', '<--', 'left', '<-', 'left', 'Left', 31]
['<--', 'left', '<-', 'left', '<-', '<--', '<-', 'Left', '<-', 'left', 32]
['Left', '<-', '<-', '<-', 'left', 'left', '<-', 'Left', '<--', 'Left', 33]
['<-', '<--', 'left', 'Left', '<--', 'left', '<-', '<-', '<-', 'Left', 34]
['left', 'left', '<--', '<--', '<--', 'left', '<-', 'left', 'Left', '<-', 35]
['left', 'Left', '<-', 'left', 'Left', '<-', '<-', 'Left', '<-', 'left', 36]
['Left', 'left', '<--', '<--', 'left', 'left', 'Left', '<-', 'left', 'Left', 37]
['Left', 'Left', '<--', '<-', 'left', '<-', 'left', 'Left', 'Left', '<--', 38]
['<-', 'left', 'left', '<--', '<--', '<-', '<-', '<--', '<--', '<-', 39]
['<--', 'Left', 'left', '<-', '<-', '<-', '<-', '<--', 'left', '<-', 40]
['Left', 'Left', 'left', '<--', 'left', '<-', 'left', 'Left', 'Left', 'left', 41]
['<-', 'Left', '<-', 'left', '<--', '<-', 'Left', 'left', 'Left', 'Left', 42]
['<-', 'Left', 'left', '<-', '<--', 'left', '<-', 'Left', 'left', '<-', 43]
['<--', '<--', '<-', 'left', '<-', '<-', 'left', 'Left', 'left', '<-', 44]
['Left', 'Left', 'Left', 'Left', '<-', '<--', '<--', 'left', '<-', '<--', 45]
['<--', '<--', '<-', 'left', '<-', '<--', '<-', 'Left', 'left', 'Left', 46]
['<-', 'left', '<-', 'left', 'Left', '<-', '<-', '<--', 'Left', '<-', 47]
['<-', '<--', '<--', 'Left', 'left', '<--', '<--', '<-', '<-', '<--', 48]
['<-', '<--', '<-', '<--', 'left', 'left', '<-', '<-', 'left', 'left', 49]
['<-', '<-', 'Left', 'left', 'Left', '<--', '<-', 'Left', 'Left', '<--', 50]
['<--', 'Left', '<--', '<--', '<-', '<--', '<--', 'left', 'left', '<--', 1]
['Left', '<--', '<-', '<--', '<--', 'Left', 'left', 'Left', 'left', '<--', 2]
['<--', '<--', '<-', '<--', '<-', 'Left', '<--', '<--', '<--', 'Left', 3]
