{' No': -0.04760396, ' Yes': -3.703295, 'No': -4.0001245, '\n': -5.8247437, 'Yes': -7.8260674}
{' No': -0.11765056, '\n': -3.8289084, 'No': -4.425893, ' Yes': -2.8713753, ' Sur': -4.037566}
{' No': -0.029220995, 'No': -4.2934017, '\n': -4.9673233, ' Patient': -5.385401, ' Yes': -6.319849}
{' No': -0.011889974, 'No': -4.4586577, ' Yes': -9.171487, '\n': -9.256137, ' ': -10.641526}
{' Yes': -0.1034005, ' No': -2.6706746, 'Yes': -4.2546835, '\n': -4.4501925, 'No': -6.075204}
{' No': -1.0614259, '\n': -3.8260953, 'No': -4.085555, ' Yes': -0.5202672, 'Yes': -4.261604}
{' No': -0.16936651, '\n': -2.3724647, 'No': -3.1830003, ' Yes': -5.8790355, ' Unfortunately': -4.2868266}
{' No': -0.53869975, '\n': -1.291021, ' Yes': -2.6832235, 'No': -2.9456782, ' Unfortunately': -5.1332574}
{' No': -0.08264927, '\n': -3.6344354, ' ': -6.6575713, 'No': -3.2543066, ' Unfortunately': -4.6578803}
{' No': -0.25417697, '\n': -2.256605, 'No': -2.951147, ' Yes': -2.861929, ' Unfortunately': -5.584871}
{' Yes': -0.6020979, ' No': -0.85568756, '\n': -4.6106944, 'No': -4.674537, 'Yes': -4.8961787}
{' Yes': -0.22402501, ' No': -1.7758667, 'Yes': -4.5689077, '\n': -4.6214952, ' Doctor': -5.111383}
{' No': -0.06621544, '\n': -3.4470365, 'No': -3.8347092, ' Hospital': -4.7969756, ' ': -6.767605}
{' No': -0.06347661, '\n': -3.3581655, 'No': -3.8976686, ' Yes': -5.3957367, ' ': -7.2387257}
{' No': -0.02528647, 'No': -3.8010776, '\n': -6.076578, ' ': -8.996096, ' Not': -9.540798}
{' No': -0.028012581, 'No': -4.0762625, '\n': -5.00681, ' Yes': -5.816518, ' Patient': -7.6604886}
{' No': -0.0784896, ' Yes': -2.9389782, 'No': -4.0243244, '\n': -5.6554265, 'Yes': -6.900276}
{' No': -0.08223669, '\n': -5.009324, 'No': -3.9739509, ' Yes': -3.033271, ' Doctor': -5.6255603}
{' No': -0.088651575, '\n': -3.1108816, 'No': -3.4535923, ' Yes': -5.4988647, ' Hospital': -6.3263583}
{' No': -0.5368129, '\n': -1.5711892, ' Yes': -1.8141854, 'No': -3.7455168, ' Sur': -4.783267}
{' No': -0.041653745, '\n': -4.90709, ' ': -8.088913, 'No': -3.4660807, ' Yes': -6.367383}
{'Pat': -7.497965, ' No': -0.064683065, '\n': -4.2520647, 'No': -3.4441042, ' Yes': -4.2753267}
{' No': -0.03978627, 'No': -3.8053215, ' Yes': -4.4674916, '\n': -5.365477, 'Yes': -8.312275}
{' No': -0.4723022, '\n': -4.3492475, 'No': -3.9383667, ' Yes': -1.092177, 'Yes': -4.904391}
{' No': -0.9482998, '\n': -4.120541, 'No': -4.7825584, ' Yes': -0.5678296, ' Doctor': -4.453873}
{' No': -0.29505908, '\n': -2.6703813, 'No': -3.5943813, ' Yes': -4.831354, ' Hospital': -1.955797}
{' No': -0.44079673, '\n': -1.5419757, ' Yes': -2.4082515, ' Sur': -3.8053405, 'No': -3.8620195}
{' No': -0.02957554, '\n': -5.6446395, ' ': -8.7975235, 'No': -3.7104435, ' Yes': -7.2494683}
{' No': -0.038304437, '\n': -5.138776, 'No': -3.928428, ' Pat': -6.0768194, ' Yes': -5.211915}
{' No': -0.02502725, 'No': -4.081311, ' Yes': -5.430777, '\n': -5.796473, ' Not': -8.77983}
{' No': -0.023857407, '\n': -6.249489, ' ': -9.714949, 'No': -3.8536627, ' Yes': -7.9699078}
{' No': -0.03583576, '\n': -6.8024197, 'No': -3.5364769, ' Yes': -5.3444943, 'Yes': -9.185438}
{' No': -0.018433537, 'No': -4.16478, '\n': -6.222586, ' Hospital': -8.124876, ' Yes': -8.765938}
{' No': -0.019217595, '\n': -5.5892096, ' ': -9.188461, 'No': -4.199252, ' Yes': -9.782562}
{' No': -0.023774454, 'No': -3.8067255, '\n': -7.217607, ' Yes': -7.856305, ' ': -9.567738}
{' No': -0.017915053, '\n': -6.790522, ' ': -9.968151, 'No': -4.2084303, ' Yes': -6.4419756}
{' No': -0.024073891, '\n': -8.141816, ' ': -10.3410635, 'No': -3.7546282, ' Yes': -10.328638}
{' No': -0.12335551, '\n': -5.4700446, 'No': -4.108089, ' Yes': -2.3675494, 'Yes': -6.5777526}
{' No': -0.37643048, '\n': -4.718857, 'No': -4.375908, ' Yes': -1.2475376, 'Yes': -5.5912356}
{' No': -0.112575606, '\n': -3.3309155, 'No': -4.0603733, ' Yes': -3.7125072, ' Hospital': -3.7058525}
{' No': -0.1903283, '\n': -2.1658533, ' Yes': -3.4639184, 'No': -4.214056, ' Sur': -4.7978945}
{' No': -0.017057318, 'No': -4.2696757, '\n': -6.083127, ' Yes': -7.8035274, ' ': -8.848932}
{' No': -0.024153147, '\n': -6.4548917, 'No': -4.2329903, ' Yes': -4.9054456, 'Yes': -9.062744}
{' No': -0.016981173, 'No': -4.2472897, '\n': -6.393644, ' Yes': -7.2454777, ' ': -9.56996}
{' No': -2.7562468, '\n': -3.6733341, 'No': -5.3078403, ' Yes': -0.1408941, 'Yes': -3.3116057}
{' Yes': -0.6609071, ' No': -1.0274422, '\n': -3.021394, 'No': -3.1947987, 'Yes': -3.3974676}
{' No': -0.28964245, '\n': -2.0246944, 'No': -2.2361526, ' Yes': -4.908907, ' ': -5.671483}
{' No': -0.8010089, '\n': -1.6450526, 'No': -3.1912124, ' Yes': -1.2424151, 'Yes': -3.7470899}
{' No': -0.18455896, 'No': -1.9587115, '\n': -3.6831932, ' ': -7.0932903, ' Yes': -7.0994816}
{' No': -0.1659338, 'No': -2.4874022, ' Yes': -3.2824423, '\n': -3.572323, 'Yes': -5.9766116}
{' No': -0.24211103, '\n': -3.2204187, ' ': -6.745864, 'No': -1.8078973, ' Yes': -4.823038}
{' No': -3.3756442, '\n': -4.190574, 'No': -5.6428714, ' Yes': -0.09734299, 'Yes': -3.251245}
{' No': -2.70323, '\n': -4.1355853, 'No': -4.9354873, ' Yes': -0.1435222, 'Yes': -3.1855047}
{' No': -0.5336469, '\n': -1.8189919, ' Yes': -2.1014054, 'No': -2.2461388, 'Yes': -4.693286}
{' No': -1.3826932, '\n': -1.7896602, 'No': -3.2195308, ' Yes': -0.7258785, 'Yes': -2.944323}
{' No': -0.41143832, 'No': -1.8375381, '\n': -1.9852964, ' Yes': -3.5399172, 'Yes': -5.642242}
{' No': -0.52139294, ' Yes': -1.5289994, 'No': -2.328623, '\n': -2.669041, 'Yes': -3.969076}
{' No': -0.2965589, '\n': -2.6364255, 'No': -1.9372008, ' Yes': -3.4917226, ' Unfortunately': -5.517626}
{' No': -5.2043815, '\n': -5.420419, 'No': -8.433553, ' Yes': -0.03261891, 'Yes': -3.83698}
{' No': -1.5092883, '\n': -4.1379046, 'No': -5.2830825, ' Yes': -0.29557183, 'Yes': -4.503366}
{' No': -0.11557914, '\n': -2.8508065, 'No': -3.690927, ' Hospital': -4.515449, ' Yes': -4.517847}
{' No': -1.5731409, '\n': -2.2757316, 'No': -5.475894, ' Yes': -0.40834013, 'Yes': -4.2655025}
{' No': -0.032567557, 'No': -3.6928096, '\n': -5.307607, ' Yes': -6.4200377, ' ': -8.262436}
{' No': -0.1021482, ' Yes': -2.640072, 'No': -4.0033646, '\n': -5.1838493, 'Yes': -6.6028724}
{' No': -0.033540946, 'No': -3.9754467, ' Yes': -4.5792274, '\n': -5.6559606, 'Yes': -8.605885}
{' No': -3.5063262, '\n': -3.790872, 'No': -5.886472, ' Yes': -0.10008003, 'Yes': -3.2565491}
{' No': -0.5483745, '\n': -1.238007, 'No': -2.8787558, ' Yes': -2.9522192, ' Hospital': -4.363831}
{' No': -1.3422124, '\n': -1.504875, 'No': -3.8331602, ' Yes': -0.76399213, 'Yes': -3.723951}
{' No': -0.13570699, ' Not': -6.932039, '\n': -3.1991148, 'No': -2.5632849, ' Yes': -5.070548}
{' No': -0.48209512, '\n': -2.8577075, 'No': -3.4120858, ' Yes': -1.274917, 'Yes': -4.8273973}
{' No': -0.44769886, ' Yes': -1.2783835, '\n': -2.9078867, 'No': -3.9024353, 'Yes': -5.078394}
{' No': -2.1805859, '\n': -3.217064, 'No': -4.610567, ' Yes': -0.22112474, 'Yes': -3.3986626}
{' No': -0.7823426, '\n': -0.8057018, 'No': -2.799501, ' Unfortunately': -4.4744983, ' Yes': -4.6386275}
{' No': -3.2804472, '\n': -1.07577, ' ': -5.6450906, ' Yes': -0.5425554, 'Yes': -3.450407}
{' No': -0.21067488, '\n': -2.2259204, 'No': -2.7254586, ' Yes': -5.957403, ' Unfortunately': -4.752251}
{' No': -0.81558937, ' Yes': -0.94428957, '\n': -2.1185317, 'No': -3.5964503, 'Yes': -4.312185}
{' No': -0.5848036, '\n': -1.5475129, 'No': -2.9030943, ' Yes': -1.8299017, 'Yes': -4.7110567}
{' No': -7.530882, '\n': -6.6803207, ' Yes': -0.015954044, ' yes': -9.39753, 'Yes': -4.285125}
{' No': -7.162744, '\n': -5.9360843, ' Yes': -0.029548341, ' yes': -7.517156, 'Yes': -3.7184231}
{' Yes': -0.0885382, 'Yes': -3.6975617, ' Sur': -3.7581148, '\n': -3.8463101, ' No': -4.4353285}
{' No': -0.047659535, 'No': -3.2486806, '\n': -5.2953744, ' Yes': -6.2393937, ' ': -7.834744}
{' Yes': -0.030595308, 'Yes': -4.043441, '\n': -5.3336115, ' No': -5.45909, ' Patient': -6.110028}
{' No': -0.10215124, '\n': -5.839618, 'No': -4.323079, ' Yes': -2.532533, 'Yes': -6.806992}
{' No': -0.07146947, '\n': -4.222085, 'No': -3.637103, ' Yes': -3.6222277, 'Yes': -7.294579}
{' No': -0.27165893, ' Yes': -1.7560798, 'No': -3.3349504, '\n': -3.7875319, 'Yes': -5.519259}
{' No': -0.23777379, '\n': -2.2641675, 'No': -3.1802, ' Yes': -3.9434526, ' Hospital': -3.221151}
{' No': -0.050446857, '\n': -4.7259474, ' ': -7.8847647, 'No': -3.3251545, ' Yes': -5.6308928}
{' No': -0.32884, '\n': -2.9966924, 'No': -4.059438, ' Yes': -1.6815261, ' Patient': -3.8769813}
{' No': -0.03165185, 'No': -4.101333, ' Yes': -4.906289, '\n': -5.01094, ' ': -8.290887}
{' No': -0.076212496, ' Yes': -3.1939378, 'No': -3.7785878, '\n': -4.805802, 'Yes': -7.0621953}
{' No': -0.050404925, 'No': -3.8445482, ' Yes': -3.8667498, '\n': -5.5872107, ' Doctor': -6.042011}
{' No': -0.044257388, '\n': -5.1479406, 'No': -4.0881376, ' Yes': -7.125775, ' Hospital': -3.9795525}
{' No': -0.10230309, '\n': -3.490067, 'No': -4.1196523, ' Yes': -3.472344, ' Sur': -4.107695}
{' No': -0.05582264, '\n': -4.340294, 'No': -4.0731835, ' Yes': -4.615494, ' Patient': -4.6121297}
{' No': -0.00995119, '\n': -7.7315564, ' ': -9.608515, 'No': -4.690947, ' Yes': -8.637446}
{' No': -6.541948, '\n': -5.56653, ' Yes': -0.030666538, ' The': -7.9492245, 'Yes': -3.7215998}
{' Yes': -0.09810459, ' No': -3.454851, 'Yes': -3.5504682, '\n': -3.6395073, ' The': -5.9960957}
{' No': -0.9188978, '\n': -1.039162, ' Yes': -1.6853203, 'No': -3.4496784, ' Hospital': -4.9653854}
{'\n': -0.904833, ' Yes': -1.2606088, ' No': -1.3134596, 'No': -4.034149, 'Yes': -4.397743}
{' No': -0.22502178, ' Not': -5.3194966, '\n': -2.4285073, 'No': -2.4192815, ' Unfortunately': -4.5659757}
{' No': -0.22796813, '\n': -2.9514177, 'No': -2.9784696, ' Yes': -2.3865643, 'Yes': -5.5030518}
{' Yes': -0.3178892, ' No': -1.3959799, 'Yes': -4.459342, 'No': -5.0510263, '\n': -5.0700617}
{' Yes': -0.11672514, ' No': -2.48652, 'Yes': -4.2278304, '\n': -5.062419, ' Doctor': -5.9058847}
{' No': -0.07303506, 'No': -3.4141757, '\n': -3.491864, ' Hospital': -5.438275, ' ': -6.8559823}
{' No': -0.075046524, '\n': -3.2432346, ' ': -6.9717555, 'No': -3.7590466, ' Yes': -4.8952503}
{' No': -0.036916997, 'No': -3.427626, '\n': -5.727087, ' Yes': -8.717996, ' ': -8.773909}
{' No': -0.049103316, '\n': -4.591231, 'No': -3.794316, ' Yes': -4.410467, ' Patient': -6.1398644}
{' No': -0.2519644, ' Yes': -1.9868066, 'No': -3.0144877, '\n': -3.5980794, 'Yes': -4.952934}
{' No': -0.06272116, '\n': -4.0377483, 'No': -3.4996128, ' Yes': -4.4892826, ' Doctor': -7.506437}
{' No': -0.106167965, 'No': -3.2380874, '\n': -3.4778872, ' Yes': -4.3294992, ' Hospital': -4.381564}
{' No': -0.30215067, '\n': -3.049854, 'No': -3.823017, ' Yes': -1.6933858, 'Yes': -5.3188624}
{' No': -0.054109357, 'No': -3.2623343, '\n': -4.461992, ' Yes': -6.2619243, ' ': -7.5766177}
{' No': -0.09298753, ' Yes': -2.9974558, 'No': -3.9446015, '\n': -4.075089, 'Yes': -7.1019864}
{' No': -0.035926763, 'No': -3.9177854, ' Yes': -4.732147, '\n': -5.1034527, ' ': -8.576293}
{' Yes': -0.177849, ' No': -2.3191206, '\n': -3.5409775, 'Yes': -3.867897, ' Nurse': -4.7121277}
{' No': -1.0038558, '\n': -4.1590796, 'No': -4.88448, ' Yes': -0.5118342, 'Yes': -4.925803}
{' No': -0.20474161, '\n': -2.9966881, 'No': -4.088704, ' Yes': -3.9035673, ' Hospital': -2.4065163}
{' Yes': -0.55747813, ' No': -1.1129571, '\n': -2.6480007, 'Yes': -4.562296, 'No': -4.9849873}
{' No': -0.046303473, 'No': -3.5607114, '\n': -4.3211026, ' Yes': -5.9899673, ' ': -7.4534774}
{'Pat': -4.192198, ' No': -0.19972259, '\n': -2.362696, 'No': -3.9885273, ' Pat': -3.527258}
{' No': -0.046423845, ' Yes': -3.9336421, 'No': -4.135592, '\n': -4.714333, 'Yes': -7.8945236}
{' No': -0.030998843, '\n': -5.5171895, ' ': -8.911954, 'No': -3.705521, ' Yes': -6.4031296}
{' No': -0.07420098, 'No': -3.3288722, ' Yes': -3.8938553, '\n': -4.45037, ' Doctor': -6.1624117}
{' No': -0.05415164, 'No': -3.2921562, ' Yes': -4.6716175, '\n': -5.413507, ' Hospital': -7.3474727}
{' No': -0.047014855, '\n': -4.23869, ' ': -7.5437617, 'No': -3.8394434, ' Yes': -4.8021545}
{' No': -0.049900796, 'No': -3.2000623, '\n': -5.2054257, ' Yes': -6.4004955, ' ': -8.186284}
{'Pat': -7.2285595, ' No': -0.0404937, '\n': -4.9210806, 'No': -4.103461, ' Yes': -4.3376107}
{' No': -0.020079622, '\n': -8.346833, ' ': -10.54335, 'No': -3.9420838, ' Yes': -8.590478}
{' No': -0.13997757, ' Yes': -2.3721306, '\n': -3.7825515, 'No': -4.409396, 'Yes': -6.6165586}
{' No': -2.278918, '\n': -3.7236066, ' Yes': -0.15468474, 'Yes': -4.650885, ' Doctor': -5.52426}
{' No': -0.2226021, ' Hospital': -2.2414868, ' Yes': -3.2621336, '\n': -3.6076806, 'No': -3.9093025}
{' No': -0.15811206, '\n': -2.4441037, ' Yes': -3.600844, 'No': -4.0504327, ' Sur': -4.567763}
{' No': -0.03642599, '\n': -4.425187, ' ': -7.003234, 'No': -3.9114485, ' Yes': -6.182042}
{' No': -0.3729666, ' Yes': -2.370777, ' Patient': -2.7895408, '\n': -2.8739965, ' Pat': -2.9476297}
{' No': -0.011875739, '\n': -6.5429845, ' ': -9.464154, 'No': -4.7353253, ' Yes': -6.5260873}
{' Yes': -0.31326178, ' No': -1.54304, '\n': -3.668965, 'Yes': -3.9062295, 'No': -4.7580724}
{' No': -0.7705329, ' Yes': -0.96765363, '\n': -2.3061872, 'No': -3.2365475, 'Yes': -4.1227303}
{' No': -0.25978482, '\n': -1.8762591, ' ': -5.8418427, 'No': -2.6771069, ' Yes': -6.3465204}
{' No': -0.49456304, '\n': -1.2062253, ' Yes': -3.1621673, 'No': -3.2198398, ' ': -5.345822}
{' No': -0.20548967, 'No': -2.0204194, '\n': -2.975837, ' ': -6.9529066, ' Yes': -7.522858}
{' No': -0.1364947, '\n': -3.1088781, ' ': -7.371197, 'No': -2.6333685, ' Yes': -4.696463}
{' No': -0.11473773, '\n': -3.233308, ' ': -7.497458, 'No': -2.7557213, ' Yes': -5.455445}
{' Yes': -0.11343643, '\n': -3.00166, 'Yes': -3.198321, ' No': -4.332873, 'No': -6.3871922}
{' No': -3.154984, '\n': -3.0899663, 'No': -5.130074, ' Yes': -0.15515573, 'Yes': -3.0975614}
{' No': -1.0936441, '\n': -2.2115166, 'No': -2.9356394, ' Yes': -0.7653837, 'Yes': -3.8098955}
{' Yes': -0.108616754, 'Yes': -2.7196376, '\n': -3.51533, ' No': -5.4334116, ' ': -6.977434}
{' No': -0.82543415, '\n': -2.0808797, 'No': -2.4989877, ' Yes': -1.1707978, 'Yes': -3.8738885}
{' No': -3.2249668, '\n': -4.049119, 'No': -5.3276644, ' Yes': -0.119765446, 'Yes': -3.0850818}
{' No': -0.9783199, '\n': -1.2669094, ' Yes': -1.4168594, 'No': -2.6857994, 'Yes': -3.967099}
{' No': -3.9442587, '\n': -5.0575004, 'No': -7.5804715, ' Yes': -0.04196294, 'Yes': -4.2322035}
{' Yes': -0.60722506, ' No': -0.99314857, '\n': -2.829538, 'No': -4.395206, 'Yes': -4.471969}
{' No': -0.11047788, '\n': -3.2568533, ' Yes': -3.6098063, ' Hospital': -3.908331, 'No': -4.2160606}
{' No': -2.1551855, '\n': -3.3073459, 'No': -5.983225, ' Yes': -0.19124013, 'Yes': -4.114837}
{' No': -0.12579395, '\n': -2.7930586, ' ': -6.440684, 'No': -3.0230641, ' Yes': -5.1815286}
{' Yes': -0.4897241, ' No': -1.5447892, '\n': -2.0218818, 'Yes': -4.222596, 'No': -5.098693}
{' No': -0.024586407, 'No': -4.1840997, '\n': -4.9598126, ' Yes': -6.284582, ' ': -9.294338}
{' No': -2.815378, '\n': -3.8191354, 'No': -5.183275, ' Yes': -0.13019562, 'Yes': -3.4168413}
{' No': -0.4368727, ' Yes': -1.7348692, 'No': -2.7021105, '\n': -2.991043, ' Hospital': -3.0970612}
{' No': -1.2895061, '\n': -2.106187, 'No': -3.562665, ' Yes': -0.631427, 'Yes': -3.4652338}
{' No': -0.1266891, '\n': -3.8031855, 'No': -2.3935483, ' Yes': -6.2469897, ' Unfortunately': -6.5302215}
{' No': -0.715388, ' Yes': -1.0122019, '\n': -2.2766216, 'No': -3.578154, 'Yes': -4.5928426}
{' No': -0.3565511, '\n': -2.8968227, 'No': -3.728995, ' Yes': -1.5384511, 'Yes': -5.3902445}
{' Yes': -0.07780503, 'Yes': -3.4855733, '\n': -3.7225783, ' No': -4.0417924, 'No': -6.7178}
{' No': -0.34031674, '\n': -2.0036983, 'No': -2.5471325, ' Unfortunately': -3.1057928, ' Yes': -4.1700783}
