{' No': -4.598474, ' ': -9.216443, 'No': -9.476094, ' Yes': -0.012219787, 'Yes': -6.315896}
{' Yes': -0.0038742581, 'Yes': -5.9204335, ' No': -7.1573143, ' yes': -8.737625, ' A': -9.271228}
{' No': -0.008998244, ' ': -8.966929, 'No': -4.803214, ' A': -8.594775, ' Yes': -7.8413134}
{' Yes': -0.3552982, ' No': -1.2315742, 'Yes': -6.0656347, 'No': -6.0938063, ' A': -6.3572187}
{' No': -7.950907, ' A': -8.959522, ' Yes': -0.0032244057, ' yes': -8.877642, 'Yes': -5.990589}
{' An': -8.393787, ' No': -8.485607, ' Generally': -7.129959, ' Yes': -0.0042960127, 'Yes': -5.897625}
{' No': -8.428993, ' ': -9.392098, ' Yes': -0.0032127441, ' yes': -9.115159, 'Yes': -5.9061975}
{' YES': -12.643939, ' ': -10.525031, ' Yes': -0.0020958236, ' yes': -9.546449, 'Yes': -6.220586}
{' ': -10.712898, ' Generally': -9.017969, ' Yes': -0.0026230828, ' yes': -9.301119, 'Yes': -6.0541935}
{' Yes': -0.0021425916, 'Yes': -6.2033963, ' yes': -9.485277, ' ': -10.422379, ' A': -12.384934}
{' No': -4.2484727, ' Generally': -3.6957726, ' Typically': -6.988596, ' Yes': -0.045258213, 'Yes': -5.862341}
{' No': -7.0143976, ' ': -10.24491, ' Yes': -0.002699639, ' yes': -9.801009, 'Yes': -6.390504}
{' No': -0.0119834095, ' ': -8.858574, 'No': -5.130174, ' A': -10.080703, ' Yes': -5.1555567}
{' Yes': -0.6161814, ' No': -0.78446674, 'No': -6.1421247, 'Yes': -6.938018, ' ': -8.305985}
{' No': -7.3505015, ' ': -9.941321, ' Yes': -0.0020407548, ' yes': -10.042675, 'Yes': -6.6543956}
{' No': -8.519869, ' Generally': -9.533646, ' Yes': -0.0025048805, ' yes': -9.65053, 'Yes': -6.177065}
{' No': -8.074699, ' ': -9.507043, ' Yes': -0.0021854232, ' yes': -10.0906, 'Yes': -6.3546176}
{' No': -12.989925, ' ': -10.416077, ' Yes': -0.0014619333, ' yes': -10.367477, 'Yes': -6.575492}
{' ': -10.658334, ' Generally': -10.188851, ' Yes': -0.0015668162, ' yes': -10.260663, 'Yes': -6.5309763}
{' No': -11.236321, ' ': -10.3898945, ' Yes': -0.0015758311, ' yes': -10.279917, 'Yes': -6.509393}
{' No': -0.09064914, ' Generally': -4.393481, ' Typically': -7.79076, 'No': -4.579199, ' Yes': -2.765225}
{' No': -7.1000347, ' ': -8.996853, ' Yes': -0.0032636323, ' yes': -9.014078, 'Yes': -6.146185}
{' No': -0.0057160407, 'No': -5.2419066, ' Yes': -8.520838, ' ': -8.572087, ' A': -11.221662}
{' No': -2.0509765, ' ': -7.646897, 'No': -7.1976666, ' Yes': -0.14125326, 'Yes': -6.359675}
{' No': -10.407572, ' ': -9.904542, ' Yes': -0.0016316507, ' yes': -9.828307, 'Yes': -6.507579}
{' ': -9.455536, ' Generally': -9.596823, ' Yes': -0.0023867523, ' yes': -9.227749, 'Yes': -6.164318}
{' No': -9.405795, ' ': -8.764987, ' Yes': -0.0023599267, ' yes': -9.540025, 'Yes': -6.1980205}
{' YES': -13.282924, ' ': -10.024469, ' Yes': -0.001815551, ' yes': -9.953364, 'Yes': -6.366212}
{' ': -10.244926, ' Generally': -10.235468, ' Yes': -0.001785455, ' yes': -9.587181, 'Yes': -6.4177995}
{' ': -10.2390175, ' Yes': -0.0016250237, ' yes': -9.857461, 'Yes': -6.481733, 'yes': -13.560415}
{' No': -2.826702, ' Generally': -4.322651, 'No': -7.103994, ' Yes': -0.07980743, 'Yes': -6.1580405}
{' No': -6.8920603, ' ': -9.929351, ' Yes': -0.0030091559, ' yes': -9.407363, 'Yes': -6.3360147}
{' No': -0.005329461, ' ': -9.308924, 'No': -5.323242, ' A': -10.464676, ' Yes': -8.099136}
{' No': -0.886312, ' ': -8.194684, 'No': -6.24207, ' Yes': -0.53778785, 'Yes': -6.7293105}
{' No': -9.941375, ' ': -10.554278, ' Yes': -0.0014469496, ' yes': -9.964501, 'Yes': -6.632677}
{' No': -9.650881, ' Generally': -8.591566, ' Yes': -0.0023693065, ' yes': -9.506828, 'Yes': -6.23963}
{' No': -9.98115, ' ': -9.730931, ' Yes': -0.0016142782, ' yes': -9.859426, 'Yes': -6.5447946}
{' YES': -13.564336, ' ': -10.626184, ' Yes': -0.0015045527, ' yes': -10.114086, 'Yes': -6.5462394}
{' ': -10.984248, ' Generally': -9.692584, ' Yes': -0.0015197748, ' yes': -10.072755, 'Yes': -6.580821}
{' Yes': -0.0014511275, 'Yes': -6.5881286, ' yes': -10.118552, ' ': -10.661045, ' No': -12.6913595}
{' No': -0.674301, ' Generally': -3.0539966, ' Typically': -6.539533, 'No': -5.0519085, ' Yes': -0.83797807}
{' Yes': -0.0062687206, ' No': -5.5110254, 'Yes': -6.282119, ' Generally': -9.162692, ' yes': -9.358262}
{' No': -0.0054503926, ' ': -9.5623045, 'No': -5.245574, ' A': -10.288024, ' Yes': -10.263127}
{' No': -0.16026445, 'No': -5.393987, ' A': -7.8291807, ' Yes': -1.9493175, 'Yes': -7.90859}
{' No': -8.018453, ' ': -10.555116, ' Yes': -0.0019125295, ' yes': -9.83867, 'Yes': -6.516549}
{' An': -7.946925, ' No': -7.2594953, ' Generally': -6.3943067, ' Yes': -0.005450633, 'Yes': -6.035445}
{' No': -7.6677003, ' ': -9.478405, ' Yes': -0.0025605133, ' yes': -9.713663, 'Yes': -6.271991}
{' Yes': -0.0015753532, 'Yes': -6.4925017, ' yes': -10.237503, ' ': -10.839832, ' YES': -13.547134}
{' ': -10.943642, ' Generally': -8.2694845, ' Yes': -0.0019578561, ' yes': -9.742584, 'Yes': -6.4416084}
{' Yes': -0.0015018062, 'Yes': -6.5567627, ' yes': -10.1030035, ' ': -10.652168, ' No': -12.145274}
{' No': -0.10321333, ' Generally': -3.0541487, ' Typically': -6.6199446, 'No': -4.5100927, ' Yes': -3.289746}
{' No': -5.5882645, ' Generally': -8.28038, ' Yes': -0.0065941033, ' yes': -9.0133095, 'Yes': -6.112799}
{' No': -0.00674213, ' ': -9.418088, 'No': -5.078058, ' A': -8.910539, ' Yes': -8.468166}
{' No': -0.65464884, 'No': -5.7472234, ' A': -6.240252, ' Yes': -0.7495051, 'Yes': -6.5503163}
{' Yes': -0.0029252837, 'Yes': -6.0669317, ' No': -8.099999, ' A': -8.884002, ' yes': -9.28271}
{' An': -6.8547287, ' No': -7.210259, ' Generally': -5.8413944, ' Yes': -0.008049636, 'Yes': -5.8987527}
{' No': -8.73073, ' Generally': -9.432747, ' Yes': -0.0024725534, ' yes': -9.454857, 'Yes': -6.2109795}
{' YES': -13.154791, ' ': -10.632777, ' Yes': -0.0016832352, ' yes': -9.969401, 'Yes': -6.43463}
{' Yes': -0.00262117, 'Yes': -6.1953588, ' Generally': -7.7599907, ' yes': -9.533089, ' A': -10.119232}
{' Yes': -0.0018205671, 'Yes': -6.36028, ' yes': -9.891393, ' ': -10.700416, ' A': -11.901613}
{' No': -0.633644, ' Generally': -2.0428941, ' Typically': -5.4291835, 'No': -4.810478, ' Yes': -1.1304988}
{' No': -2.3151994, ' Generally': -6.9388523, 'No': -7.0723114, ' Yes': -0.10962526, 'Yes': -6.099655}
{' No': -0.005466754, ' ': -9.624744, ' Generally': -10.163287, 'No': -5.256815, ' A': -9.312299}
{' No': -0.04616664, ' Generally': -8.025143, 'No': -5.181041, ' A': -7.0996823, ' Yes': -3.2689466}
{' No': -5.078408, ' A': -7.4694586, ' Yes': -0.00913905, ' yes': -9.202565, 'Yes': -6.1917844}
{' An': -6.315128, ' No': -6.4478946, ' Generally': -5.567083, ' Yes': -0.010992064, 'Yes': -5.881889}
{' An': -8.938832, ' No': -6.979768, ' Generally': -9.158975, ' Yes': -0.00353588, 'Yes': -6.1353636}
{' An': -12.920599, ' ': -10.604912, ' Yes': -0.0016064562, ' yes': -9.903896, 'Yes': -6.486988}
{' Generally': -7.794247, ' A': -10.057398, ' Yes': -0.0023504866, ' yes': -9.544073, 'Yes': -6.329413}
{' Yes': -0.0016528454, 'Yes': -6.472441, ' yes': -9.901332, ' ': -10.5561075, ' A': -11.429957}
{' No': -0.34458804, ' Generally': -2.2999978, ' Typically': -5.8656774, 'No': -4.6888795, ' Yes': -1.7400347}
{' No': -4.8934627, ' Generally': -8.49389, ' A': -9.14431, ' Yes': -0.010196539, 'Yes': -6.169778}
{' No': -0.006560803, ' ': -9.64971, 'No': -5.0817122, ' A': -9.447648, ' Yes': -8.814837}
{' No': -0.5047168, 'No': -5.63649, ' A': -6.8912544, ' Yes': -0.94105524, 'Yes': -6.9194946}
{' No': -7.2874427, ' A': -9.026744, ' Yes': -0.0027785935, ' yes': -9.632121, 'Yes': -6.2853785}
{' An': -8.1691675, ' No': -8.078913, ' Generally': -6.8219533, ' Yes': -0.0043591703, 'Yes': -6.0291905}
{' No': -9.158434, ' ': -9.983255, ' Yes': -0.00209869, ' yes': -9.811582, 'Yes': -6.2966137}
{' YES': -13.568395, ' ': -11.047286, ' Yes': -0.0016233521, ' yes': -10.230123, 'Yes': -6.4589972}
{' Generally': -8.28685, ' A': -10.921046, ' Yes': -0.0020808312, ' yes': -9.748054, 'Yes': -6.3641596}
{' ': -10.884383, ' A': -12.299729, ' Yes': -0.0016497403, ' yes': -10.057968, 'Yes': -6.454631}
{' No': -0.72736746, ' Generally': -2.154583, ' Typically': -5.6654167, 'No': -4.8747025, ' Yes': -0.95471394}
{' No': -5.51797, ' A': -8.014514, ' Yes': -0.008256296, ' yes': -8.363742, 'Yes': -5.7286563}
{' No': -0.013770212, ' ': -8.405175, 'No': -4.46358, ' A': -7.6438513, ' Yes': -6.617642}
{' Yes': -0.37570184, ' No': -1.1953734, ' A': -5.66501, 'No': -5.8352947, 'Yes': -5.8979907}
{' No': -7.974864, ' A': -8.500659, ' Yes': -0.0033472385, ' yes': -8.661035, 'Yes': -5.9822326}
{' An': -6.8270893, ' No': -7.072275, ' Generally': -6.1659007, ' Yes': -0.008320241, 'Yes': -5.646869}
{' An': -8.849217, ' No': -6.8573546, ' Yes': -0.005118612, ' yes': -8.774707, 'Yes': -5.6600866}
{' YES': -12.441741, ' ': -10.327986, ' Yes': -0.0023495303, ' yes': -9.246791, 'Yes': -6.1160407}
{' Generally': -8.3295555, ' A': -10.402605, ' Yes': -0.0029949297, ' yes': -9.001707, 'Yes': -5.9710274}
{' ': -10.502908, ' A': -11.053569, ' Yes': -0.0023434956, ' yes': -9.140624, 'Yes': -6.128835}
{' No': -3.9184015, ' Generally': -3.1073933, ' Typically': -6.3150935, ' Yes': -0.0737, 'Yes': -5.909252}
{' No': -5.7152576, ' ': -9.1796665, ' Yes': -0.0054653157, ' yes': -9.673582, 'Yes': -6.258154}
{' No': -0.010081472, ' ': -8.752612, 'No': -4.8861265, ' A': -10.182876, ' Yes': -6.090339}
{' No': -0.53553975, ' ': -7.8556037, 'No': -5.7336655, ' Yes': -0.89191073, 'Yes': -7.007673}
{' No': -6.6795297, ' ': -9.235655, ' Yes': -0.002920979, ' yes': -10.142729, 'Yes': -6.5016975}
{' No': -8.864314, ' ': -9.319447, ' Yes': -0.0025129472, ' yes': -9.761933, 'Yes': -6.1362195}
{' No': -8.009514, ' ': -8.917747, ' Yes': -0.0026053318, ' yes': -9.982763, 'Yes': -6.179556}
{' Yes': -0.0019179652, 'Yes': -6.3143067, ' ': -9.741957, ' yes': -10.139615, ' No': -12.742111}
{' ': -10.449977, ' Generally': -12.209804, ' Yes': -0.001706522, ' yes': -10.327567, 'Yes': -6.4191465}
{' Yes': -0.0017449721, 'Yes': -6.409032, ' ': -9.947373, ' yes': -10.394803, ' No': -11.240269}
{' No': -0.045774404, ' Yes': -3.4288325, 'No': -4.5458484, ' Generally': -6.621069, ' ': -8.817305}
{' No': -5.7160435, ' ': -9.043406, ' Yes': -0.0057536303, ' yes': -8.905454, 'Yes': -6.1708198}
{' No': -0.007470528, ' ': -8.995141, 'No': -4.9416456, ' A': -10.162633, ' Yes': -9.016967}
{' No': -0.27608222, ' ': -7.9017916, 'No': -5.360667, ' Yes': -1.446523, 'Yes': -7.5048814}
{' No': -6.2593265, ' ': -9.023302, ' Yes': -0.0038356055, ' yes': -9.342161, 'Yes': -6.389547}
{' ': -9.493822, ' Generally': -9.20812, ' Yes': -0.0027055542, ' yes': -8.95419, 'Yes': -6.069603}
{' Yes': -0.002457076, 'Yes': -6.214497, ' No': -8.576001, ' ': -8.75794, ' yes': -9.367933}
{' YES': -13.027088, ' ': -10.001659, ' Yes': -0.0018959875, ' yes': -9.68454, 'Yes': -6.330372}
{' ': -10.3668375, ' Generally': -10.370717, ' Yes': -0.0018111328, ' yes': -9.632696, 'Yes': -6.393713}
{' No': -11.818091, ' ': -9.993555, ' Yes': -0.0018335234, ' yes': -9.744778, 'Yes': -6.3685627}
{' No': -0.10832545, ' Generally': -4.3089156, ' Typically': -7.5789294, 'No': -4.40925, ' Yes': -2.5820572}
{' Yes': -0.010286265, ' No': -4.855625, 'Yes': -6.187505, ' ': -8.360924, ' yes': -9.529051}
{' No': -0.005321252, ' ': -9.8229475, 'No': -5.2558017, ' A': -13.588151, ' Yes': -10.331225}
{' No': -0.10136648, ' Yes': -2.384068, 'No': -5.6033726, ' ': -8.127031, 'Yes': -8.482822}
{' Yes': -0.0038508032, ' No': -6.1912365, 'Yes': -6.4474006, ' ': -8.837878, ' yes': -9.9722395}
{' No': -7.049045, ' ': -8.74851, ' Yes': -0.003951689, ' yes': -9.493793, 'Yes': -5.891794}
{' No': -7.524492, ' ': -9.107939, ' Yes': -0.0026916887, ' yes': -9.925558, 'Yes': -6.226011}
{' No': -12.866795, ' ': -9.668501, ' Yes': -0.0019951824, ' yes': -9.995279, 'Yes': -6.2775803}
{' ': -10.091606, ' Generally': -12.509854, ' Yes': -0.0019631695, ' yes': -10.118391, 'Yes': -6.2823067}
{' No': -11.543337, ' ': -9.787265, ' Yes': -0.0020080258, ' yes': -10.28029, 'Yes': -6.2648096}
{' No': -0.012846224, ' ': -9.336426, ' Generally': -8.118706, 'No': -4.6227384, ' Yes': -5.9843426}
{' No': -4.8687015, 'No': -9.230842, ' Yes': -0.010571993, ' yes': -9.303639, 'Yes': -5.994455}
{' No': -0.007421046, ' ': -10.182845, ' Generally': -13.338084, 'No': -4.913165, ' A': -13.240233}
{' No': -0.048722684, ' ': -8.792129, 'No': -5.055757, ' Yes': -3.198295, 'Yes': -8.989116}
{' No': -5.9302173, ' ': -9.452585, ' Yes': -0.0047985595, ' yes': -9.845255, 'Yes': -6.2315326}
{' No': -6.7029467, ' ': -9.15227, ' Generally': -7.850198, ' Yes': -0.0049489574, 'Yes': -5.7994523}
{' Yes': -0.008704189, ' No': -5.153678, 'Yes': -5.9608464, ' ': -8.8595, 'No': -9.576257}
{' No': -12.956038, ' ': -10.472539, ' Yes': -0.0018951513, ' yes': -10.30108, 'Yes': -6.3053675}
{' Yes': -0.0019315822, 'Yes': -6.341184, ' Generally': -9.417344, ' yes': -9.953166, ' ': -10.502791}
{' No': -12.131288, ' ': -10.764862, ' Yes': -0.0015439517, ' yes': -10.342378, 'Yes': -6.515738}
{' No': -0.025186835, ' Generally': -4.8018208, ' Typically': -8.301186, 'No': -4.2846355, ' Yes': -6.0285697}
{' No': -3.0317266, 'No': -7.734475, ' A': -8.296407, ' Yes': -0.052974563, 'Yes': -6.1172748}
{' No': -0.0058451155, ' ': -9.763406, 'No': -5.169625, ' A': -10.186206, ' Yes': -10.390113}
{' No': -0.14596595, ' Yes': -2.0409338, 'No': -5.3501973, ' A': -7.5704327, 'Yes': -7.9852633}
{' No': -6.8728538, ' ': -10.139342, ' Yes': -0.0028191188, ' yes': -9.774545, 'Yes': -6.4144683}
{' An': -7.7018666, ' No': -6.4095993, ' Generally': -6.7194157, ' Yes': -0.0060467, 'Yes': -6.0358505}
{' No': -6.383856, ' ': -9.092581, ' Yes': -0.003841887, ' yes': -9.727734, 'Yes': -6.270518}
{' No': -13.04761, ' ': -10.65742, ' Yes': -0.0015877715, ' yes': -10.0532255, 'Yes': -6.493384}
{' ': -10.761924, ' Generally': -8.652618, ' Yes': -0.0019378514, ' yes': -9.771865, 'Yes': -6.407739}
{' No': -10.707921, ' ': -10.504101, ' Yes': -0.0016076502, ' yes': -10.034004, 'Yes': -6.5033336}
{' No': -0.021621704, 'No': -4.561939, ' Generally': -4.7756553, ' Yes': -6.2490134, ' Typically': -8.0791025}
{' No': -0.6091794, ' Yes': -0.83498466, ' A': -4.774745, 'No': -5.058318, ' Generally': -5.5173917}
{' No': -0.009746409, ' Generally': -8.354176, 'No': -4.8087573, ' A': -7.1659274, ' Yes': -8.301965}
{' No': -0.28738332, ' Generally': -5.7037363, 'No': -4.989936, ' A': -4.238736, ' Yes': -1.5007125}
{' No': -3.735574, ' Generally': -8.160512, ' A': -5.180549, ' Yes': -0.034232695, 'Yes': -5.812698}
{' An': -5.0817027, ' No': -6.2328424, ' Generally': -5.412016, ' Yes': -0.017509477, 'Yes': -5.795766}
{' An': -6.5272484, ' No': -5.7830315, ' Generally': -7.6408505, ' Yes': -0.008587428, 'Yes': -5.846872}
{' An': -8.977185, ' ': -9.437648, ' Yes': -0.0024371212, ' yes': -8.725844, 'Yes': -6.214082}
{' Generally': -7.0745797, ' A': -7.702421, ' Yes': -0.0045320755, ' yes': -8.563284, 'Yes': -5.8698845}
{' ': -9.366717, ' A': -8.70948, ' Yes': -0.0027741704, ' yes': -8.684638, 'Yes': -6.099587}
{' No': -0.32634822, ' Generally': -2.1343412, 'No': -4.71, ' A': -5.1473436, ' Yes': -2.0025337}
{' No': -1.3054566, ' Generally': -7.5302734, 'No': -5.6584396, ' Yes': -0.3262201, 'Yes': -6.045988}
{' No': -0.009885332, ' ': -9.600133, 'No': -4.6510806, ' A': -9.545537, ' Yes': -9.270743}
{' No': -0.08274029, ' Generally': -7.708802, 'No': -4.8135924, ' A': -7.439952, ' Yes': -2.6621757}
{' No': -4.2519255, 'No': -8.920611, ' A': -8.426765, ' Yes': -0.01734887, 'Yes': -6.040742}
{' An': -7.2165027, ' No': -6.927694, ' Generally': -6.2934775, ' Yes': -0.007088135, 'Yes': -5.780348}
{' Yes': -0.0042397445, 'Yes': -5.963527, ' No': -6.9044085, ' Generally': -8.26595, ' An': -8.767339}
{' An': -11.383293, ' ': -10.183754, ' Yes': -0.002139008, ' yes': -9.773952, 'Yes': -6.2041397}
{' ': -10.441602, ' Generally': -7.557151, ' Yes': -0.0026543378, ' yes': -9.595443, 'Yes': -6.2310514}
{' ': -10.216392, ' A': -11.030083, ' Yes': -0.0019471685, ' yes': -9.867927, 'Yes': -6.3142176}
{' No': -0.04748201, ' Generally': -3.755156, 'No': -3.9808755, ' Yes': -5.8318844, ' Typically': -7.33177}
{' Yes': -0.0053035147, 'Yes': -5.7671485, ' No': -6.2740755, ' yes': -9.141744, ' ': -9.350173}
{' No': -0.016185846, ' ': -8.478254, 'No': -4.496643, ' A': -9.609843, ' Yes': -5.3867626}
{' No': -0.5273675, ' ': -7.7146, 'No': -5.357291, ' Yes': -0.90847665, 'Yes': -6.692307}
{' No': -7.4182167, ' ': -8.970562, ' Yes': -0.003496341, ' yes': -9.493946, 'Yes': -5.928371}
{' No': -9.415401, ' Generally': -9.527368, ' Yes': -0.0037106187, ' yes': -9.174656, 'Yes': -5.697203}
{' Yes': -0.004466572, 'Yes': -5.662638, ' No': -7.259746, ' ': -8.7873, ' yes': -9.348332}
{' YES': -12.752852, ' ': -9.979867, ' Yes': -0.0027800878, ' yes': -9.81353, 'Yes': -5.92656}
{' ': -10.277311, ' Generally': -10.541388, ' Yes': -0.0024980668, ' yes': -9.696965, 'Yes': -6.0485854}
{' No': -12.61623, ' ': -10.093528, ' Yes': -0.002573121, ' yes': -9.849676, 'Yes': -6.0049286}
{' No': -0.24863933, ' Yes': -1.660703, 'No': -4.1526327, ' Generally': -4.3730674, 'Yes': -7.196597}
{' Yes': -0.013139455, ' No': -4.4955955, 'Yes': -6.404966, 'No': -9.434214, ' ': -9.580895}
{' No': -0.006237651, ' ': -9.673189, 'No': -5.1034703, ' A': -12.101914, ' Yes': -9.611287}
{' No': -0.22744001, ' ': -8.651152, 'No': -5.729637, ' Yes': -1.6116314, 'Yes': -7.9877048}
{' No': -5.710064, ' ': -9.5267725, ' Yes': -0.0046940544, ' yes': -10.232281, 'Yes': -6.6952515}
{' No': -7.639844, ' Generally': -9.568326, ' Yes': -0.0025953532, ' yes': -9.748296, 'Yes': -6.2597303}
{' Yes': -0.0017853368, 'Yes': -6.523969, ' No': -8.491736, ' ': -9.626367, ' yes': -10.230584}
{' No': -13.404076, ' ': -10.503982, ' Yes': -0.0014144769, ' yes': -10.455336, 'Yes': -6.605511}
{' ': -10.700117, ' Generally': -10.889629, ' Yes': -0.0014195521, ' yes': -10.355064, 'Yes': -6.617617}
{' No': -11.735244, ' ': -10.354038, ' Yes': -0.0014195521, ' yes': -10.482546, 'Yes': -6.6097646}
{' No': -0.014664692, ' ': -9.859988, ' Generally': -6.442164, 'No': -4.6871457, ' Yes': -5.630307}
{' No': -5.5541677, ' ': -9.40478, ' Generally': -9.410195, ' Yes': -0.005929054, 'Yes': -6.365765}
{' No': -0.0063829287, ' ': -9.340321, 'No': -5.1196065, ' A': -10.277332, ' Yes': -8.372452}
{' No': -0.21727262, ' Generally': -8.005777, 'No': -5.543168, ' Yes': -1.6602868, 'Yes': -7.8982644}
{' Yes': -0.008121622, ' No': -5.064829, 'Yes': -6.5118885, ' A': -9.262918, ' ': -9.455891}
{' No': -7.2422643, ' ': -9.285701, ' Generally': -7.9979386, ' Yes': -0.0031595274, 'Yes': -6.30189}
{' No': -6.443612, ' ': -9.005462, ' Yes': -0.0035698554, ' yes': -9.733134, 'Yes': -6.388793}
{' No': -11.788012, ' ': -10.097463, ' Yes': -0.0015117184, ' yes': -9.972713, 'Yes': -6.5659966}
{' Yes': -0.0015683688, 'Yes': -6.613457, ' Generally': -9.010834, ' yes': -9.968306, ' ': -10.436214}
{' No': -10.354831, ' ': -10.145225, ' Yes': -0.001469571, ' yes': -10.061009, 'Yes': -6.616078}
{' No': -0.017904254, 'No': -4.702635, ' Generally': -5.1761456, ' Yes': -5.9544888, ' Typically': -8.573687}
{' No': -4.7299604, ' ': -9.469419, 'No': -9.452722, ' Yes': -0.011251051, 'Yes': -6.171983}
{' No': -0.006643483, 'No': -5.0468903, ' Yes': -9.314873, ' ': -9.401075, ' A': -11.421334}
{' No': -0.13474332, ' ': -8.671099, 'No': -5.3851, ' Yes': -2.1132169, 'Yes': -8.173927}
{' No': -5.4882464, ' ': -9.378116, ' Yes': -0.006044303, ' yes': -9.85284, 'Yes': -6.3777933}
{' No': -6.820971, ' Generally': -8.833041, ' Yes': -0.003906691, ' yes': -9.514702, 'Yes': -6.0043902}
{' No': -7.7966685, ' ': -9.22284, ' Yes': -0.0026084408, ' yes': -9.94624, 'Yes': -6.2009134}
{' Yes': -0.0019481841, 'Yes': -6.2869306, ' yes': -10.108866, ' ': -10.167558, ' No': -12.83956}
