{' odd': -1.0022274, ' even': -1.436174, ' 0': -1.8854661, ' 1': -2.0356557, ':': -3.21948}
{':': -3.3701358, ' 1': -2.4199836, ' odd': -0.7260919, ' 0': -2.116754, ' even': -1.7485099}
{':': -3.6795855, ' 1': -3.9136202, ' odd': -3.7676594, ' 0': -1.873895, ' even': -0.37782517}
{' odd': -0.20281602, ' 1': -2.937989, ' 0': -3.2947187, ' even': -3.329644, ' Odd': -4.3491297}
{' even': -0.19451734, ' 0': -2.1445487, ' ': -4.5879583, ' odd': -4.6380186, '\n': -4.9408445}
{' odd': -0.086250454, ' even': -2.8379972, ' Odd': -4.781292, ' 1': -5.7244453, ' 0': -5.8805637}
{' ': -4.988388, ':': -4.90639, ' odd': -1.920253, ' 0': -3.019729, ' even': -0.28778756}
{' Odd': -5.0376644, ' 1': -5.919684, ' odd': -0.19900411, ' 0': -5.4969063, ' even': -1.9005679}
{' ': -4.6789646, ':': -4.941698, ' odd': -3.0881932, ' 0': -3.8682082, ' even': -0.11702093}
{' odd': -0.2358838, ' even': -1.8993778, ' 0': -4.024066, ' 1': -4.241454, ' Odd': -5.3792353}
{' odd': -0.82836217, ' even': -1.6067263, ' 1': -1.9680811, ' 0': -2.093432, ':': -3.2724137}
{' even': -0.20469552, ' 0': -2.5422437, ' 1': -3.8344932, ' odd': -4.040918, ' ': -4.3073974}
{' odd': -0.100717805, ' even': -3.3596997, ' 1': -3.9750197, ' 0': -4.2185183, ' Odd': -4.641735}
{' ': -4.135841, ':': -4.4856687, ' odd': -4.4743547, ' 0': -2.1483912, ' even': -0.22075698}
{' odd': -0.3095102, ' even': -1.5597113, ' Odd': -4.1585917, ':': -4.6740146, ' ': -5.0990486}
{' even': -0.36444446, ' odd': -2.0055845, ' 0': -2.3861957, ' 1': -4.387959, ' zero': -4.5035453}
{' Odd': -5.5160127, ' not': -5.708357, ' odd': -0.2738102, ' 0': -5.2723565, ' even': -1.5960721}
{' ': -3.934526, ':': -4.7547765, ' Even': -5.3139434, ' odd': -3.2308984, ' even': -0.10065604}
{' odd': -0.05566534, ' even': -3.4196837, ' Odd': -5.239527, ' 0': -5.636903, ' ': -5.830972}
{' odd': -0.80357057, ' even': -1.4515656, ' 0': -2.0834503, ' 1': -2.4156618, ':': -3.4014728}
{' Even': -4.322449, ' 1': -4.4029136, ' odd': -2.5680811, ' 0': -3.1040602, ' even': -0.22534984}
{'\n': -4.931454, ' 1': -2.4483323, ' odd': -0.22040427, ' 0': -3.1230922, ' even': -3.82778}
{'\n': -4.1224113, ':': -4.241032, ' odd': -3.329212, ' 0': -2.7489886, ' even': -0.20754412}
{' Odd': -4.0058303, ' ': -5.2094483, ' 1': -4.666711, ' odd': -0.14065142, ' even': -2.5527825}
{' even': -0.25595325, ' odd': -2.0508828, ' 0': -3.165997, ' 1': -4.691965, '\n': -5.028616}
{' Odd': -4.7633343, ' 1': -6.164443, ' odd': -0.25756174, ' 0': -5.7400465, ' even': -1.6327249}
{'\n': -5.0645485, ' ': -4.45638, ':': -5.20006, ' odd': -2.293661, ' even': -0.1637231}
{' Odd': -4.657504, ' 1': -4.7739153, ' odd': -0.20555212, ' 0': -4.3083744, ' even': -2.0269833}
{' odd': -1.4286592, ' 0': -1.4332749, ' even': -1.457545, ' 1': -2.1058757, ':': -2.60964}
{' ': -4.5674686, ':': -4.5955334, ' odd': -4.090183, ' 0': -3.474411, ' even': -0.113576986}
{' Odd': -3.594604, ' 1': -3.9604018, ' odd': -0.12860553, ' 0': -4.0405593, ' even': -3.6658578}
{'\n': -4.3601446, ' ': -4.32115, ' odd': -3.8107603, ' 0': -2.2324069, ' even': -0.22127162}
{' Odd': -4.906855, ' 1': -3.0788665, ' odd': -0.23149742, ' 0': -3.7649684, ' even': -2.3354554}
{'\n': -4.4682517, ' 1': -3.9845235, ' odd': -1.8705412, ' 0': -2.467901, ' even': -0.3816173}
{' Odd': -5.4159203, ' 1': -5.631856, ' odd': -0.3258858, ' 0': -4.9955416, ' even': -1.4273844}
{' even': -0.14960234, ' odd': -2.9479232, ' ': -3.8124106, ' 0': -4.0884967, '\n': -4.5818214}
{' Odd': -4.8386774, ' 1': -5.1021967, ' odd': -0.13397042, ' 0': -4.9246864, ' even': -2.389987}
{':': -2.6109893, ' 1': -2.0629041, ' odd': -0.9897679, ' 0': -1.5260904, ' even': -2.0212255}
{' even': -0.26026195, ' 0': -2.107923, ' 1': -3.8360589, ' odd': -4.006412, ' ': -4.255673}
{' odd': -0.10063891, ' even': -3.2880528, ' Odd': -4.2055974, ' 0': -4.60766, ' 1': -4.795652}
{'\n': -4.539402, ' ': -4.3486533, ':': -4.552976, ' 0': -2.377505, ' even': -0.19680363}
{' Odd': -4.5670204, ' 1': -3.0944157, ' odd': -0.19164097, ' 0': -3.8817406, ' even': -2.6632168}
{':': -4.9499717, ' 1': -4.1047416, ' odd': -1.8669592, ' 0': -2.5129876, ' even': -0.36662826}
{' Odd': -4.5285373, ' none': -4.848411, ' odd': -0.3328873, ' neither': -5.2706437, ' even': -1.4455037}
{' ': -3.9873405, ':': -4.427605, ' odd': -3.1639543, ' 0': -3.910525, ' even': -0.13648854}
{' odd': -0.22479273, ' even': -2.28321, ' 0': -3.3225212, ' 1': -3.6511774, '\n': -5.2354836}
{' even': -1.1794524, ' odd': -1.30255, ' 0': -1.554256, ' 1': -2.2645097, ':': -3.4343703}
{' ': -3.9208226, ':': -3.8550408, ' odd': -3.7376018, ' 0': -2.1093466, ' even': -0.31086776}
{' Odd': -4.29254, ' 1': -4.286818, ' odd': -0.12638138, ' 0': -4.049886, ' even': -3.0386279}
{' even': -0.12610337, ' 0': -3.1566179, ' odd': -3.9187315, ' ': -4.2785196, '\n': -4.6477704}
{' Odd': -4.5043283, ' 1': -4.7903686, ' odd': -0.17069146, ' 0': -4.5803986, ' even': -2.2770073}
{' even': -0.15379034, ' odd': -2.364872, ' 0': -4.5502706, ' Even': -4.6939435, '\n': -5.414352}
{' odd': -0.27950627, ' even': -1.5665432, ' 0': -5.356624, ' Odd': -5.56616, ' 1': -5.575102}
{' ': -3.8655527, ':': -4.5323706, ' odd': -2.7307758, ' 0': -4.7174096, ' even': -0.14178956}
{' Odd': -5.487833, ' 1': -3.8635957, ' odd': -0.20817102, ' 0': -3.470152, ' even': -2.2497578}
{' even': -0.98088676, ' odd': -1.2165073, ' 0': -1.9467862, ' 1': -2.617451, ':': -3.2906106}
{' even': -0.17490408, ' odd': -2.9010527, ' 0': -3.317317, ' Even': -4.0361295, ':': -4.529995}
{' Odd': -4.1503778, ' 1': -3.6640885, ' odd': -0.07730732, ' 0': -4.3887706, ' even': -5.0136333}
{'\n': -4.6546974, ' ': -4.0661163, ' odd': -4.022748, ' 0': -2.8214684, ' even': -0.15009512}
{' odd': -0.16254683, ' even': -2.2771354, ':': -4.784387, ' Odd': -4.790425, ' 0': -4.883947}
{':': -4.975, ' an': -5.040258, ' odd': -2.449663, ' 0': -3.7532346, ' even': -0.17168109}
{' 1': -5.141413, ' not': -5.0645432, ' odd': -0.54140276, ' 0': -4.646979, ' even': -1.0374697}
{' ': -4.1243143, ':': -4.7459555, ' Even': -4.9000487, ' odd': -2.8644273, ' even': -0.1253546}
{' odd': -0.15723488, ' even': -2.1459167, ' 0': -5.022856, ' Odd': -5.133202, ' 1': -5.817565}
{':': -3.1481223, ' 1': -2.0230765, ' odd': -0.9662844, ' 0': -1.6668344, ' even': -1.764529}
{' even': -0.25948748, ' 0': -2.1832993, ' 1': -3.6281347, ' odd': -3.8802776, ' ': -4.289544}
{' odd': -0.19552295, ' 1': -2.7896113, ' 0': -3.4466615, ' even': -3.8650591, ' Odd': -3.9895444}
{'\n': -4.0106726, ' ': -3.643694, ' odd': -3.616641, ' 0': -2.3103092, ' even': -0.25545302}
{' odd': -0.17616963, ' even': -2.2216733, ' Odd': -4.1914787, ' 1': -4.879058, ' 0': -5.0482516}
{'\n': -4.7562523, ' Even': -4.8873196, ' odd': -1.9175296, ' 0': -3.9005797, ' even': -0.24507755}
{' odd': -0.5376749, ' even': -0.9760275, ' Odd': -5.0673323, '\n': -5.596671, ' ': -5.5999765}
{' ': -4.0451183, ':': -4.121845, ' Even': -5.1956096, ' odd': -3.214221, ' even': -0.107288614}
{' Odd': -5.456521, ' ': -5.486866, ' odd': -0.21736957, ' 0': -4.701447, ' even': -1.8260796}
{' odd': -0.8876172, ' even': -1.380952, ' 0': -1.9999076, ' 1': -2.352459, ':': -3.3425808}
{' even': -0.0976666, ' odd': -3.7883358, ' 0': -3.8753803, ' ': -4.5786786, ' Even': -4.704019}
{' Odd': -3.910083, ' 1': -4.042366, ' odd': -0.15057616, ' 0': -4.319822, ' even': -2.9261155}
{'\n': -4.3818, ' ': -4.0781045, ' odd': -3.7029214, ' 0': -2.584871, ' even': -0.18494864}
{' odd': -0.11932962, ' even': -2.5665474, ' Odd': -5.001034, ' 0': -5.115284, ' 1': -5.241042}
{' even': -0.4147385, ' odd': -1.7762172, ' 0': -2.377429, ' 1': -4.112207, ' zero': -4.857165}
{' Odd': -4.3744855, ':': -5.0079017, ' odd': -0.4358591, ' neither': -5.672183, ' even': -1.1760983}
{' even': -0.3154904, ' odd': -1.9619585, ' ': -3.4737515, ' 0': -3.5291247, ':': -4.1577287}
{' Odd': -5.0530415, ' 1': -4.9675155, ' odd': -0.19360165, ' 0': -4.5869493, ' even': -2.0295353}
{':': -3.463088, ' 1': -1.8961629, ' odd': -1.0329924, ' 0': -1.8776454, ' even': -1.4444618}
{' even': -0.1754139, ' 0': -3.0092244, ' odd': -3.6114252, ' ': -3.9959571, ' 1': -4.237963}
{' Odd': -3.9074774, ' 1': -4.068845, ' odd': -0.10740959, ' 0': -4.1196456, ' even': -4.027426}
{' ': -4.2619615, ':': -4.1798167, ' odd': -2.9404874, ' 0': -3.439818, ' even': -0.17576936}
{' Odd': -5.253425, ' 1': -3.854385, ' odd': -0.14127888, ' 0': -4.289868, ' even': -2.6511428}
{' even': -0.33736446, ' odd': -1.8896269, ' 0': -2.706854, ' 1': -4.272196, '\n': -4.912691}
{' an': -5.0763745, ' not': -5.142279, ' odd': -0.4531761, ' 0': -4.298964, ' even': -1.2061267}
{' ': -3.8539386, ':': -4.306248, ' odd': -2.201741, ' 0': -3.9223926, ' even': -0.24124403}
{' Odd': -5.022999, ' 1': -5.2922325, ' odd': -0.16550355, ' 0': -4.584462, ' even': -2.1913517}
{':': -2.93225, ' 1': -1.6836902, ' odd': -0.9835902, ' 0': -1.5661719, ' even': -2.278699}
{' even': -0.3024592, ' 0': -2.0401251, ' 1': -3.526973, ' odd': -3.8963914, '\n': -4.0837274}
{' odd': -0.110277, ' even': -3.4636972, ' Odd': -3.8693073, ' 1': -4.3252883, ' 0': -4.6021857}
{' even': -0.16443919, ' 0': -2.5395966, ' ': -4.2677298, ':': -4.273217, '\n': -4.662632}
{' odd': -0.16846874, ' even': -2.1440794, ' Odd': -4.5366707, ':': -5.194912, ' 1': -5.310648}
{' 1': -4.278775, ' odd': -1.9972342, ' 0': -2.298085, ' zero': -4.5353966, ' even': -0.38461864}
{' odd': -0.41317096, ' even': -1.2470143, ' 0': -4.6095695, ' not': -5.2548685, ' 1': -5.361746}
{' even': -0.13994056, ' odd': -2.8630698, ' 0': -3.7388785, ' ': -4.656561, ':': -4.992856}
{' Odd': -5.0983686, ' false': -5.3362303, ' odd': -0.08680853, ' 0': -5.2061214, ' even': -2.9584131}
{':': -3.2937455, ' 1': -1.6204876, ' odd': -1.3376422, ' 0': -1.4373411, ' even': -1.694795}
{' ': -4.017534, ':': -4.087728, ' odd': -3.438771, ' 0': -3.066663, ' even': -0.19664834}
{' Odd': -4.502531, ' 1': -2.569788, ' odd': -0.19300063, ' 0': -3.4516628, ' even': -3.8209407}
{' even': -0.14957811, ' 0': -2.8645818, ' odd': -3.6051607, ' ': -4.2586985, ' Even': -4.7311583}
{' odd': -0.11789149, ' even': -2.9206266, ' 1': -3.8916728, ' 0': -4.158267, ' Odd': -5.1319923}
{'\n': -5.0056643, ':': -4.971002, ' odd': -1.7121485, ' 0': -3.663587, ' even': -0.29936883}
{' odd': -0.4188124, ' even': -1.2052552, ' 0': -5.1460214, ' an': -5.2969337, ' not': -5.438887}
{' ': -4.28826, ':': -4.021584, ' Even': -5.2888474, ' odd': -3.4450421, ' even': -0.09413862}
{' odd': -0.037270945, ' even': -4.133936, ' Odd': -5.1071105, ' 1': -5.568307, ' 0': -5.7358837}
{' odd': -0.97723866, ' even': -1.1932869, ' 1': -2.089116, ' 0': -2.228036, ':': -3.8498306}
{' even': -0.19412579, ' 0': -2.5967195, ' ': -3.8546758, ' odd': -4.031608, ' 1': -4.041593}
{' Odd': -4.3928337, ' 1': -2.873322, ' odd': -0.12966144, ' 0': -3.8915505, ' even': -4.5697837}
{'\n': -4.5461106, ' ': -4.7670703, ' odd': -4.369044, ' 0': -2.3234258, ' even': -0.18020485}
{' Odd': -4.1399555, ' 1': -4.9691505, ' odd': -0.244913, ' 0': -4.823038, ' even': -1.7978505}
{'\n': -5.326512, ' Even': -5.0447783, ' odd': -2.8120666, ' 0': -4.940655, ' even': -0.105928056}
{' an': -5.2580376, ' 1': -5.255502, ' odd': -0.35813016, ' 0': -4.7629647, ' even': -1.3823105}
{'\n': -4.1395507, ' ': -3.6713703, ':': -4.009313, ' odd': -2.6546931, ' even': -0.19806449}
{' odd': -0.20177591, ' even': -2.2498171, ' 0': -3.55402, ' 1': -4.462669, ' false': -5.398114}
{':': -3.3857484, ' 1': -2.121225, ' odd': -1.2868183, ' 0': -1.4197022, ' even': -1.3875453}
{' ': -3.8440726, ' 1': -3.9619174, ' odd': -4.1389146, ' 0': -2.5760581, ' even': -0.20867018}
{' Odd': -4.2172866, ' 1': -4.157658, ' odd': -0.1115875, ' 0': -4.4111676, ' even': -3.1797569}
{' even': -0.15542091, ' 0': -2.7837768, ' odd': -4.4800267, ':': -4.5280666, ' ': -4.5324454}
{' odd': -0.15528215, ' even': -2.9133072, ' 1': -3.1845493, ' 0': -4.1554976, ' Odd': -4.7616515}
{' even': -0.2742406, ' odd': -1.9965677, ' 0': -3.0726204, ' 1': -4.6495457, '\n': -4.9940853}
{' odd': -0.2014028, ' even': -1.8875791, ' Odd': -5.04729, ' 0': -5.4768925, ' 1': -5.9039626}
{' even': -0.16097069, ' odd': -2.5709858, ' ': -3.9905937, ':': -4.1434965, '\n': -5.0445366}
{' odd': -0.25666606, ' even': -2.2050998, ' 0': -3.0577114, ' 1': -3.5134828, ' ': -5.3397007}
{' odd': -0.9463801, ' 0': -1.6282848, ' even': -1.9499887, ' 1': -1.9808391, ':': -2.9061198}
{'\n': -4.2702985, ' 1': -4.1269937, ' odd': -3.70643, ' 0': -2.453077, ' even': -0.21042791}
{' odd': -0.3249204, ' 1': -2.0017354, ' 0': -2.6811292, ' even': -3.7368495, '\n': -4.723661}
{' even': -0.22639248, ' 0': -2.2006023, ' odd': -3.9201124, '\n': -4.205321, ' ': -4.4199386}
{' Odd': -4.0630136, ' ': -5.036459, ' 1': -5.0565996, ' odd': -0.17686455, ' even': -2.2310486}
{' even': -0.33325696, ' odd': -2.2347183, ' 0': -2.2721522, ' 1': -4.3761945, '\n': -4.4945097}
{' odd': -0.54122895, ' even': -0.9578778, ' Odd': -4.477917, ' Even': -6.1413927, ':': -6.209777}
{' ': -3.4364989, ':': -4.2266088, ' odd': -2.754497, ' 0': -4.119013, ' even': -0.19774216}
{'\n': -5.1254406, ' 1': -3.888751, ' odd': -0.2548192, ' 0': -3.2633314, ' even': -2.0473664}
{':': -3.3667974, ' 1': -1.4711336, ' odd': -1.7920173, ' 0': -0.784593, ' even': -2.8597567}
{' even': -0.24666776, ' 0': -2.8131998, ' odd': -2.873888, ' ': -3.9563723, ' 1': -4.19935}
{' Odd': -4.314038, ' 1': -3.2282262, ' 3': -5.498239, ' odd': -0.095459476, ' 0': -4.277378}
{' even': -0.20730583, ' 0': -2.4528463, ' ': -3.7957466, ' odd': -4.011128, '\n': -4.392268}
{' Odd': -4.7246256, ' 1': -2.6388679, ' odd': -0.18335192, ' 0': -4.068717, ' even': -3.142938}
{'\n': -4.0513115, ' 1': -4.303085, ' odd': -2.4502356, ' 0': -2.609229, ' even': -0.26687527}
{' odd': -0.45571736, ' even': -1.1772531, ' 0': -4.661691, ' an': -4.951179, ' not': -5.2264895}
{'\n': -5.64851, ' ': -4.2067385, ':': -4.387576, ' odd': -3.0760443, ' even': -0.102119744}
{' Odd': -4.743889, ' 1': -3.9637926, ' odd': -0.19229499, ' 0': -3.85204, ' even': -2.244357}
{':': -3.5528066, ' 1': -1.5060023, ' odd': -1.4451874, ' 0': -1.019575, ' even': -2.379633}
{'\n': -4.051827, ' 1': -3.217094, ' odd': -3.2443926, ' 0': -1.6220138, ' even': -0.45822868}
{' odd': -0.23579486, ' 1': -2.6218498, ' 0': -3.069798, ' even': -3.7471263, ' Odd': -4.3756385}
{'\n': -4.5569124, ' ': -4.08425, ' odd': -3.3780787, ' 0': -2.3035653, ' even': -0.23262742}
{' odd': -0.12974383, ' even': -2.8462133, ' 1': -3.5166235, ' 0': -4.4735556, ' Odd': -5.194968}
{'\n': -4.774156, ' ': -4.90921, ' odd': -1.7166104, ' 0': -3.397957, ' even': -0.32385394}
{' an': -4.9690633, ' not': -5.1090345, ' odd': -0.42698863, ' 0': -4.709217, ' even': -1.2337428}
{' ': -4.2014794, ':': -4.396837, ' Even': -5.476465, ' odd': -4.0716915, ' even': -0.06662222}
{' Odd': -4.8175616, ' 1': -5.062378, ' odd': -0.15179385, ' 0': -4.706128, ' even': -2.2799315}
{':': -3.6981452, ' 1': -2.1809657, ' odd': -1.0903972, ' 0': -2.1341481, ' even': -1.1297019}
{' even': -0.17706367, ' odd': -2.7517612, ' 0': -3.5959394, ' Even': -4.2647715, ' ': -4.297365}
{' Odd': -4.4605665, ' 1': -2.5955548, ' odd': -0.19418007, ' 0': -3.3568814, ' even': -4.0243125}
{' even': -0.21992582, ' 0': -2.7005918, ' odd': -3.1020174, ':': -4.363901, ' ': -4.3726077}
{' odd': -0.22219186, ' even': -2.5784273, ' 1': -3.1034935, ' 0': -3.5666373, ' Odd': -4.596744}
{'\n': -5.131451, ' 1': -5.1042075, ' odd': -1.6667886, ' 0': -3.5802038, ' even': -0.31199524}
{' odd': -0.2493746, ' even': -1.6309158, ' Odd': -5.13387, '\n': -5.8669267, ' ': -6.141579}
{' ': -3.960718, ':': -4.5652966, ' odd': -2.4769704, ' 0': -4.899278, ' even': -0.15820771}
{' Odd': -5.233983, ' 1': -4.9962845, ' odd': -0.16810997, ' 0': -4.618819, ' even': -2.1775112}
{' odd': -0.8685486, ' even': -1.7438176, ' 0': -1.9070275, ' 1': -2.216138, ':': -2.9044857}
{' ': -4.026714, ' 1': -4.3663406, ' odd': -3.7466986, ' 0': -3.2664254, ' even': -0.15492968}
{'\n': -4.913389, ' 1': -2.501112, ' odd': -0.18136513, ' 0': -3.5688457, ' even': -4.0638657}
{' even': -0.14622808, ' 0': -2.7286503, ' ': -4.3702936, '\n': -4.591775, ':': -4.664933}
{' odd': -0.21228456, ' even': -1.8901125, ' Odd': -4.7425923, ':': -5.0722446, ' 0': -5.2539883}
{':': -4.809381, ' Even': -4.9915276, ' odd': -1.5885322, ' 0': -3.2517257, ' even': -0.35887516}
{' Odd': -5.3544426, ' 1': -5.463016, ' odd': -0.21876447, ' 0': -5.280278, ' even': -1.818083}
{' ': -4.2904725, ' Even': -5.1802344, ' odd': -2.9476838, ' 0': -5.1170554, ' even': -0.111650206}
{' 1': -3.9645584, ' false': -5.5994067, ' odd': -0.20698461, ' 0': -3.1747942, ' even': -2.3078318}
{' odd': -1.2433579, ' even': -1.3427919, ' 0': -1.6533216, ' 1': -2.105674, ':': -2.8838198}
{' ': -4.1035247, ' 1': -3.6580493, ' odd': -3.6682327, ' 0': -2.2603824, ' even': -0.2532184}
{' odd': -0.09183242, ' Odd': -3.6603537, ' 1': -3.9426346, ' 0': -4.386695, ' even': -4.71889}
{' ': -4.283246, ' Even': -4.6283975, ' odd': -3.477351, ' 0': -3.8351178, ' even': -0.113227814}
{' Odd': -3.9559145, ' ': -5.350712, ':': -4.6987205, ' odd': -0.21793164, ' even': -1.9534595}
{' an': -5.3734293, ' Even': -5.00694, ' odd': -2.02802, ' 0': -4.0928316, ' even': -0.21013075}
{' Odd': -5.314153, ':': -5.922659, ' odd': -0.2976406, ' 0': -5.9909163, ' even': -1.5014884}
{' ': -4.0421557, ':': -4.779235, ' odd': -2.5516057, ' 0': -3.848803, ' even': -0.17397062}
{' odd': -0.1742929, ' even': -2.5366395, ' 0': -3.2836442, ' 1': -4.1430283, ' Odd': -5.5748796}
{':': -3.309758, ' 1': -1.825511, ' odd': -0.9110574, ' 0': -1.8227395, ' even': -1.7740659}
{'\n': -3.9038243, ' 1': -3.274102, ' odd': -3.3982124, ' 0': -1.3585519, ' even': -0.5648269}
{'\n': -4.746757, ' 1': -2.3419328, ' odd': -0.22689588, ' 0': -3.2951667, ' even': -3.7907329}
{' even': -0.26036063, ' 0': -1.8952332, '\n': -3.93317, ' ': -3.9834802, ' odd': -4.7690883}
{' Odd': -4.402635, ' 1': -3.088082, ' odd': -0.21118797, ' 0': -3.8409238, ' even': -2.5432947}
{':': -4.805492, ' Even': -5.110276, ' odd': -2.0714355, ' 0': -4.076708, ' even': -0.20522581}
{' an': -4.9293647, ' not': -4.5586963, ' odd': -0.71623206, ' 0': -4.1584334, ' even': -0.8669965}
{'\n': -5.2002716, ' ': -4.4174314, ' Even': -5.2238245, ' odd': -2.7893302, ' even': -0.11522947}
{' odd': -0.19488588, ' even': -2.024404, ' 0': -4.6587605, ' Odd': -4.7089953, ' 1': -5.0650754}
{':': -3.3059666, ' 1': -1.8097239, ' odd': -1.0383064, ' 0': -1.72178, ' even': -1.6764013}
{' even': -0.21171868, ' 0': -2.5056345, ' ': -3.8351758, ' odd': -3.8670661, '\n': -4.344142}
{' Odd': -4.399444, ' 1': -2.8863387, ' odd': -0.12736088, ' 0': -3.91859, ' even': -4.6047554}
{'\n': -4.37613, ' ': -3.7384138, ' odd': -4.1273723, ' 0': -2.61026, ' even': -0.17972197}
{' Odd': -4.436915, ' ': -5.466688, ':': -5.127347, ' odd': -0.16563888, ' even': -2.200511}
{'\n': -5.040718, ':': -5.133932, ' odd': -2.0190294, ' 0': -3.6076381, ' even': -0.23373416}
{' odd': -0.30853644, ' even': -1.4471301, ' 0': -5.4886813, ' Odd': -5.770003, ' not': -5.909153}
