{' No': -0.018724639, 'No': -4.150448, '\n': -6.2535415, ' Yes': -7.238859, ' ': -9.299589}
{' No': -0.14720474, '\n': -2.8178017, ' Yes': -2.859218, 'No': -4.3224535, ' ': -6.434272}
{' No': -0.02114814, '\n': -5.576186, 'No': -4.2230067, ' Yes': -6.4616613, ' Unfortunately': -7.758334}
{' No': -0.032232758, 'No': -4.2310696, ' Yes': -4.575512, '\n': -5.1248116, ' The': -8.129471}
{' No': -0.023517583, 'No': -4.0732245, '\n': -5.7564692, ' Yes': -5.939184, ' ': -8.85131}
{' No': -0.27079782, '\n': -3.4279573, 'No': -2.671339, ' Yes': -2.0585234, 'Yes': -5.120882}
{' No': -0.5031877, '\n': -1.6284567, ' Yes': -2.054377, 'No': -3.0150838, ' Hospital': -4.593365}
{' No': -0.8046865, '\n': -1.3069161, ' Yes': -1.4187859, 'No': -3.7360983, 'Yes': -4.7225924}
{' No': -0.12536204, '\n': -2.903961, 'No': -2.9320636, ' Yes': -5.4806666, ' Unfortunately': -6.141219}
{' No': -0.1167593, '\n': -3.0712497, 'No': -3.0028315, ' Yes': -4.540141, ' Patient': -7.199437}
{' No': -0.30582267, ' Yes': -1.7314818, '\n': -2.8355808, 'No': -3.8223631, 'Yes': -5.4854126}
{' No': -0.29447666, '\n': -1.9261905, ' Yes': -2.782918, 'No': -3.3282537, ' Unfortunately': -5.0831575}
{' No': -0.4965885, '\n': -1.3090638, 'No': -2.9223297, ' Unfortunately': -3.4022741, ' Yes': -3.8200827}
{' No': -0.7141906, '\n': -1.2492325, 'No': -3.2937136, ' Yes': -1.9232455, ' Unfortunately': -4.0850344}
{' No': -0.20588835, '\n': -2.3964133, 'No': -3.0615134, ' Unfortunately': -3.2361195, ' ': -5.835189}
{' No': -0.16351248, '\n': -2.636655, 'No': -2.871999, ' Yes': -4.4499865, ' Unfortunately': -4.956044}
{' No': -0.26960185, '\n': -1.9427032, 'No': -2.9061832, ' Yes': -3.5029755, ' Unfortunately': -5.776552}
{' Yes': -0.04963799, 'Yes': -3.849349, '\n': -4.183339, ' No': -4.558301, ' ': -7.6504855}
{' Yes': -0.038866814, 'Yes': -3.8657193, ' No': -4.8078103, '\n': -4.9440274, ' yes': -7.3682036}
{' Yes': -0.11054165, '\n': -3.1133263, 'Yes': -3.7736008, ' No': -3.9946032, ' Sur': -4.249749}
{' No': -0.038156923, '\n': -4.7185593, ' ': -7.7997203, 'No': -3.666296, ' Yes': -6.2102795}
{' Yes': -0.01929932, 'Yes': -4.3759336, '\n': -5.8226666, ' No': -5.898224, ' yes': -8.103483}
{' No': -0.09094429, '\n': -4.615387, 'No': -4.373255, ' Yes': -2.7680626, 'Yes': -7.0867004}
{' No': -0.05643724, '\n': -4.4103284, 'No': -4.042664, ' Yes': -3.7225003, 'Yes': -7.73412}
{' No': -0.10958196, '\n': -4.462794, 'No': -3.530337, ' Yes': -2.8245742, 'Yes': -6.8101664}
{' No': -0.055948634, '\n': -3.718632, 'No': -3.6825068, ' Yes': -6.111797, ' Hospital': -7.075121}
{' No': -0.022264723, 'No': -4.12681, ' Yes': -5.8618755, '\n': -5.961618, ' ': -8.620728}
{' No': -0.07665708, '\n': -3.6780913, 'No': -3.9598126, ' Yes': -3.7292507, ' Patient': -5.591574}
{' No': -0.016867565, '\n': -5.4253144, ' ': -8.340431, 'No': -4.587136, ' Yes': -6.3745193}
{' No': -0.026422556, 'No': -3.8910215, '\n': -5.5287113, ' Yes': -6.5264316, ' ': -8.886814}
{' No': -0.04064311, '\n': -5.3851027, 'No': -4.1394725, ' Yes': -3.993804, ' Doctor': -8.427662}
{' No': -0.027063223, '\n': -5.503034, 'No': -4.072761, ' Yes': -7.3973894, ' Hospital': -5.5529766}
{' No': -0.04031912, '\n': -3.9243236, ' ': -7.486602, 'No': -4.072351, ' Yes': -6.454784}
{' No': -0.01961086, 'No': -4.210019, '\n': -5.974853, ' Yes': -6.750979, ' Patient': -7.7571497}
{' No': -0.007882731, '\n': -7.389165, ' ': -9.325925, 'No': -4.9562693, ' Yes': -9.572404}
{' No': -0.056432508, '\n': -4.219293, 'No': -3.5281005, ' Yes': -4.9016376, ' Unfortunately': -6.058242}
{' No': -0.93379045, '\n': -3.4780142, 'No': -3.6633933, ' Yes': -0.64439607, 'Yes': -4.065756}
{' No': -0.113226615, '\n': -2.940541, ' ': -6.6393857, 'No': -3.4157834, ' Unfortunately': -4.0277376}
{'\n': -0.9738918, ' No': -1.1247002, ' Yes': -1.3934857, 'No': -3.8622184, 'Yes': -4.55071}
{' No': -0.06593246, '\n': -4.055236, 'No': -3.318187, ' Yes': -7.3356028, ' Unfortunately': -4.8225527}
{' No': -0.123323195, '\n': -2.9338355, 'No': -3.0190272, ' Yes': -5.15286, ' Unfortunately': -5.2680316}
{' No': -0.022097986, 'No': -4.1686563, '\n': -5.345123, ' Yes': -6.642261, ' ': -8.8399105}
{' No': -0.8615026, '\n': -4.4522843, 'No': -4.70381, ' Yes': -0.60052377, 'Yes': -4.91355}
{' No': -0.04021344, 'No': -3.8834503, '\n': -4.0715203, ' Not': -7.594311, ' ': -7.7175484}
{' No': -0.016708033, '\n': -4.95067, ' ': -8.792832, 'No': -4.6990542, ' Yes': -9.26073}
{' No': -0.032559797, '\n': -5.0683527, ' ': -8.278403, 'No': -3.7000709, ' Yes': -8.139056}
{' No': -0.020463368, 'No': -4.209577, '\n': -5.563583, ' Yes': -6.990285, ' Not': -8.683609}
{' No': -0.061737396, 'No': -3.4607012, ' Yes': -4.144678, '\n': -4.4547253, 'Yes': -7.6880975}
{' No': -0.05514081, ' Not': -7.7663, '\n': -5.599557, 'No': -3.4972868, ' Yes': -3.993804}
{' No': -0.058148254, '\n': -3.5947556, 'No': -4.0264115, ' Yes': -5.1689706, ' Hospital': -5.60448}
{' No': -0.0765101, '\n': -3.1524951, ' ': -7.3251987, 'No': -3.6040978, ' Yes': -6.0125065}
{' No': -0.029336195, 'No': -3.8235848, ' Yes': -5.607204, '\n': -5.799585, ' ': -9.028238}
{' No': -0.030988453, ' Not': -8.361384, '\n': -6.095466, 'No': -3.855064, ' Yes': -5.0342956}
{' No': -0.02322197, '\n': -6.0163417, ' ': -9.345322, 'No': -4.035244, ' Yes': -5.957626}
{' No': -0.076707214, '\n': -4.2067366, 'No': -3.546422, ' Yes': -3.5508378, 'Yes': -7.2468266}
{' Yes': -0.70045555, ' No': -0.75595176, 'No': -4.347056, '\n': -4.464167, 'Yes': -4.79468}
{' No': -0.04215565, 'No': -3.7695193, '\n': -4.3416357, ' Yes': -5.7668943, ' Hospital': -7.1329226}
{' No': -0.1288772, '\n': -2.481643, ' ': -7.0415554, 'No': -3.9378598, ' Yes': -4.251474}
{' No': -0.028944124, ' Not': -8.289418, '\n': -5.8771377, 'No': -3.9058743, ' Yes': -5.3152122}
{' No': -0.03223842, 'No': -4.0767674, ' Yes': -4.4557405, '\n': -5.9532433, 'Yes': -8.669907}
{' No': -0.02453601, ' Not': -9.1050825, '\n': -5.6532803, 'No': -3.9918993, ' Yes': -6.250955}
{' No': -0.032416828, 'No': -3.6470408, '\n': -5.238534, ' Yes': -7.8980417, ' ': -9.16229}
{' No': -0.033713236, 'No': -3.638396, ' Yes': -5.2487817, '\n': -6.5864015, 'Yes': -9.120508}
{' No': -0.02497237, '\n': -5.771527, ' ': -8.817071, 'No': -3.9105008, ' Yes': -6.7705126}
{' No': -0.021282932, 'No': -4.0008626, '\n': -5.980496, ' ': -9.405976, ' Yes': -10.320104}
{' No': -0.020374611, 'No': -4.007633, '\n': -7.015284, ' Yes': -7.0328374, ' ': -9.168409}
{' No': -0.029174538, 'No': -3.821914, ' Yes': -5.324882, '\n': -6.3492923, 'Yes': -9.01371}
{' No': -0.009910133, 'No': -4.670379, '\n': -7.9256506, ' Yes': -9.52881, ' ': -10.204333}
{' No': -0.026353402, 'No': -4.2155643, ' Yes': -5.0860014, '\n': -5.3519583, ' ': -8.935447}
{' No': -0.36830637, '\n': -4.5451136, 'No': -4.12922, ' Yes': -1.2875683, 'Yes': -5.4275503}
{' No': -0.09861478, ' Hospital': -3.0790322, '\n': -3.9357805, 'No': -4.25476, ' Yes': -4.52756}
{' No': -0.059389435, '\n': -3.2853777, 'No': -4.212952, ' Yes': -5.658835, ' ': -7.132164}
{' No': -0.026135204, 'No': -3.9560668, '\n': -5.6358514, ' Yes': -6.0072236, ' Unfortunately': -8.331928}
{' No': -0.05895278, '\n': -4.7833867, 'No': -3.6576996, ' Yes': -3.8178658, 'Yes': -7.5191994}
{' No': -0.019659853, 'No': -4.160046, '\n': -5.872605, ' Yes': -7.1630774, ' ': -8.996987}
{' No': -0.17494094, 'No': -2.3385913, '\n': -2.951125, ' Yes': -4.77434, ' ': -6.4510903}
{' No': -0.427489, '\n': -2.7457051, 'No': -2.6456647, ' Yes': -1.6234539, 'Yes': -4.3412137}
{' No': -0.16731212, '\n': -2.8257875, ' ': -6.230975, 'No': -2.5179684, ' Yes': -4.5498595}
{' No': -0.20784645, '\n': -2.4478729, 'No': -2.4672153, ' Yes': -4.445529, ' ': -6.2752156}
{' No': -0.12914294, '\n': -3.8480568, ' ': -7.078251, 'No': -2.3794901, ' Yes': -5.3102875}
{' No': -0.114371374, 'No': -2.6189606, ' Yes': -4.0174184, '\n': -4.206168, 'Yes': -6.897612}
{' No': -0.16007242, 'No': -2.1733303, '\n': -3.4837723, ' Yes': -6.479137, ' ': -6.938373}
{' No': -0.20153686, 'No': -2.5908017, ' Yes': -2.8882701, '\n': -3.1997, ' Unfortunately': -5.2983937}
{' Yes': -0.28619367, ' No': -1.7437209, 'Yes': -3.3403928, '\n': -3.996204, 'No': -4.047033}
{' No': -0.5141762, '\n': -1.564309, 'No': -2.4011238, ' Yes': -2.5048609, ' Unfortunately': -5.0017424}
{' No': -0.48364007, '\n': -1.5388942, 'No': -2.3124804, ' Yes': -2.985532, ' Unfortunately': -4.9497404}
{' No': -0.3502042, '\n': -2.1901624, 'No': -2.4391782, ' Yes': -2.5137594, ' Unfortunately': -5.2286754}
{' No': -0.48861364, '\n': -2.8605866, 'No': -2.6733515, ' Yes': -1.4224018, 'Yes': -4.2496624}
{' No': -0.24491557, '\n': -2.7652535, 'No': -2.057963, ' Yes': -4.1404786, ' Unfortunately': -5.1530004}
{' No': -0.108894594, ' Yes': -2.7483447, 'No': -3.632191, '\n': -4.5481076, 'Yes': -6.5643883}
{' Yes': -0.18470441, ' No': -2.107123, 'Yes': -3.8818724, '\n': -3.8843427, 'No': -5.4127393}
{' No': -0.14288887, '\n': -3.1858633, ' Yes': -3.344238, 'No': -3.5232236, ' Hospital': -3.8444822}
{' No': -0.12886499, ' Yes': -2.9344373, '\n': -2.980311, 'No': -4.320147, ' ': -6.819224}
{' No': -0.03293407, '\n': -5.3820796, 'No': -3.8941495, ' Yes': -5.068752, ' Unfortunately': -7.469783}
{' No': -0.0490297, '\n': -4.866142, 'No': -3.9064822, ' Yes': -3.963227, 'Yes': -7.862329}
{' No': -0.0272333, 'No': -3.9625244, ' Yes': -5.522484, '\n': -5.653366, ' ': -8.929804}
{' Yes': -0.6859546, ' No': -0.90476364, 'No': -3.3086884, '\n': -3.4593537, 'Yes': -3.8192837}
{' No': -0.49771103, '\n': -1.7279853, ' Yes': -1.8993624, 'No': -3.0107594, 'Yes': -5.362407}
{' No': -1.2252203, '\n': -1.5037581, 'No': -4.0511975, ' Yes': -0.80941635, 'Yes': -4.099671}
{' No': -0.13687006, ' Not': -6.3690515, '\n': -2.990576, 'No': -2.7669055, ' Yes': -4.6012406}
{' No': -0.13905019, '\n': -3.0279868, 'No': -3.038443, ' Yes': -3.51134, 'Yes': -6.9282956}
{' No': -0.17674753, '\n': -2.7637112, 'No': -3.1796522, ' Yes': -2.9177656, 'Yes': -6.2511473}
{' No': -0.4279472, ' Yes': -1.6186574, '\n': -2.415822, 'No': -3.091321, 'Yes': -4.897048}
{' No': -0.5561296, '\n': -1.2493917, 'No': -2.9740162, ' Yes': -2.7949674, ' Unfortunately': -4.1452274}
{' Yes': -0.8553362, ' No': -1.1242552, '\n': -1.572751, 'Yes': -3.9320648, 'No': -4.1379633}
{' No': -0.13672346, '\n': -3.014474, 'No': -2.993615, ' Yes': -5.5051675, ' Unfortunately': -3.8713923}
{' No': -0.18031286, '\n': -3.2808566, 'No': -2.6773298, ' Yes': -3.0199394, ' Unfortunately': -5.342851}
{' No': -0.2513035, '\n': -2.0666034, 'No': -2.838824, ' Yes': -3.4617052, ' Unfortunately': -6.3271923}
{' Yes': -0.09639567, ' No': -2.8000984, 'Yes': -4.0844097, '\n': -4.469162, 'No': -6.189781}
{' Yes': -0.036423765, 'Yes': -3.8091838, ' No': -4.7104406, '\n': -5.7603216, ' yes': -7.4576616}
{' Yes': -0.08111464, ' No': -3.782969, '\n': -3.7857502, 'Yes': -3.9849098, ' Sur': -4.5679}
{' No': -0.051329426, '\n': -4.8845677, ' ': -7.916813, 'No': -3.3098133, ' Yes': -5.3033147}
{' No': -6.195487, '\n': -7.0180235, ' Yes': -0.014279415, ' yes': -8.2177, 'Yes': -4.5403376}
{' No': -0.04272487, '\n': -5.9360414, 'No': -4.2391224, ' Yes': -3.7281096, 'Yes': -7.890114}
{' No': -0.08738372, ' Yes': -2.9339416, 'No': -3.961485, '\n': -4.602238, 'Yes': -6.917578}
{' No': -0.08243681, 'No': -3.0524893, ' Yes': -3.815921, '\n': -4.8605165, ' Unfortunately': -7.286126}
{' No': -0.07575017, 'No': -3.3422658, '\n': -3.779176, ' Yes': -4.3741436, ' ': -7.1845145}
{' No': -0.05224868, '\n': -4.559963, ' ': -7.827801, 'No': -3.359221, ' Yes': -5.3436875}
{' No': -0.23362339, ' Yes': -1.7939128, 'No': -3.8636453, '\n': -4.085661, 'Yes': -5.8274493}
{' No': -0.015444764, 'No': -4.443742, '\n': -6.1127768, ' Yes': -6.7703176, ' ': -9.012628}
{' No': -0.037492212, 'No': -3.6203966, '\n': -4.846151, ' Yes': -6.2760997, ' ': -8.63547}
{' No': -0.09662883, '\n': -4.9568086, 'No': -4.118323, ' Yes': -2.7182279, ' Doctor': -6.6217275}
{' No': -0.03697965, 'No': -4.0288086, ' Hospital': -4.8864207, '\n': -4.90604, ' Yes': -5.977245}
{' No': -0.054817066, '\n': -3.6234775, ' ': -7.34796, 'No': -4.052583, ' Yes': -4.91773}
{' No': -0.03497628, 'No': -3.931615, '\n': -5.070613, ' Yes': -5.0864553, ' Patient': -6.55075}
{' No': -0.0087539125, 'No': -4.836282, '\n': -7.527392, ' Yes': -9.014991, ' ': -9.467495}
{' No': -0.21034567, '\n': -2.99237, 'No': -3.1825707, ' Yes': -2.4293761, ' Unfortunately': -5.4601297}
{' Yes': -0.6029682, ' No': -0.93954474, '\n': -3.8553467, 'No': -3.9017143, 'Yes': -4.244604}
{' No': -0.1609531, '\n': -2.5367904, 'No': -3.0974495, ' Unfortunately': -4.166061, ' Yes': -5.187589}
{' No': -1.2861096, '\n': -1.2073114, 'No': -4.044601, ' Yes': -0.9816719, 'Yes': -4.147039}
{' No': -0.09119473, 'No': -3.129788, '\n': -3.6528687, ' Unfortunately': -4.3312593, ' Yes': -6.2986526}
{' No': -0.12280961, 'No': -2.854514, '\n': -3.2575293, ' Yes': -4.494975, ' Unfortunately': -5.4908285}
{' No': -0.03006404, 'No': -3.8456862, '\n': -5.2328954, ' Yes': -5.971522, ' ': -8.69053}
{' No': -1.0583622, '\n': -4.708459, 'No': -4.713666, ' Yes': -0.47156644, 'Yes': -4.604886}
{' No': -0.046367843, '\n': -4.1112213, 'No': -3.6935863, ' Yes': -6.3659406, ' Hospital': -6.7676563}
{' No': -0.033296768, '\n': -4.11952, 'No': -4.2481403, ' Yes': -6.560343, ' ': -8.165371}
{' No': -0.034267236, 'No': -3.6955945, '\n': -4.918524, ' Yes': -7.054786, ' ': -8.284434}
{' No': -0.024380928, ' Not': -9.036282, '\n': -5.581727, 'No': -4.0769644, ' Yes': -5.8583455}
{' No': -0.06556587, 'No': -3.578177, '\n': -3.7162137, ' Yes': -4.578839, ' ': -7.9157166}
{' No': -0.054788288, '\n': -4.9516344, ' ': -8.669968, 'No': -3.1603825, ' Yes': -5.721244}
{' No': -0.12633221, ' Yes': -3.0265186, 'No': -3.4691036, '\n': -3.9663875, ' Hospital': -4.207787}
{' No': -0.13113196, '\n': -2.7624757, 'No': -3.542154, ' Yes': -3.5894315, ' ': -6.942117}
{' No': -0.054694038, 'No': -3.3720765, ' Yes': -4.6886353, '\n': -4.757359, ' ': -7.850663}
{' No': -0.11743402, '\n': -3.975096, 'No': -4.011988, ' Yes': -2.6470494, 'Yes': -6.9105663}
{' No': -0.01812273, 'No': -4.2614985, '\n': -5.854666, ' Yes': -7.088164, ' ': -9.576295}
{' No': -0.047453135, '\n': -4.769285, 'No': -4.3071136, ' Yes': -3.74078, 'Yes': -8.084587}
{' No': -0.44850272, '\n': -4.6339293, 'No': -4.153625, ' Yes': -1.1061871, 'Yes': -5.4011793}
{' No': -0.22256948, ' Hospital': -2.3142805, ' Yes': -2.9967299, '\n': -3.5836112, 'No': -4.179042}
{' No': -0.3844796, '\n': -1.4133321, ' ': -5.905887, 'No': -4.2911015, ' Yes': -2.8872356}
{' No': -0.041968033, 'No': -3.5492842, '\n': -4.681174, ' Yes': -6.07165, ' ': -8.105955}
{' No': -0.0187663, 'No': -4.6136203, ' Yes': -5.0153937, '\n': -6.4400306, ' Not': -9.013498}
{' No': -0.022321649, 'No': -4.3114924, '\n': -5.086887, ' Yes': -6.162784, ' ': -8.638354}
{' No': -0.031817153, 'No': -3.652115, '\n': -5.59092, ' Yes': -6.533566, ' ': -9.071771}
{' No': -0.03235877, 'No': -3.7405689, ' Yes': -5.382422, '\n': -5.771752, ' ': -9.070095}
{' No': -0.11204576, ' Yes': -2.9406438, 'No': -3.1426358, '\n': -4.9153256, 'Yes': -7.0836396}
{' No': -0.07957944, 'No': -3.3985736, '\n': -3.776006, ' Yes': -4.0403223, ' ': -7.244024}
{' No': -0.03989939, 'No': -3.4524968, ' Yes': -5.5591955, '\n': -5.920588, ' The': -8.282273}
{' No': -0.049498003, 'No': -3.7107184, ' Yes': -4.0411744, '\n': -5.219618, 'Yes': -8.065838}
{' No': -0.010745615, 'No': -4.6202674, '\n': -7.6114397, ' Yes': -8.268945, ' ': -9.886512}
{' No': -0.017803466, 'No': -4.7602634, '\n': -5.2569504, ' Yes': -5.624262, ' ': -8.612983}
{' No': -1.9975581, '\n': -4.8773875, 'No': -6.0912604, ' Yes': -0.16947319, 'Yes': -4.8401365}
{' No': -0.16439845, '\n': -3.7484586, 'No': -4.05259, ' Yes': -2.9279058, ' Hospital': -2.9875374}
{' No': -0.083793625, '\n': -2.9046707, 'No': -4.0905814, ' Yes': -5.258871, ' ': -6.380449}
{' No': -0.02800075, 'No': -4.0595384, '\n': -4.9191365, ' Yes': -6.332007, ' ': -7.74437}
{' No': -0.11686809, '\n': -3.363036, 'No': -4.601426, ' Yes': -2.852418, ' Patient': -6.3337445}
{' No': -0.010555367, '\n': -6.388532, ' ': -9.525576, 'No': -4.762203, ' Yes': -8.71769}
{' No': -0.19877554, '\n': -2.3882134, 'No': -2.8921273, ' Yes': -3.4985495, 'Yes': -6.6900244}
{' No': -0.31752896, ' Yes': -1.9501411, 'No': -2.7396195, '\n': -2.8726227, 'Yes': -4.953431}
{' No': -0.38970578, '\n': -1.4517595, 'No': -2.6137066, ' Yes': -4.5521317, ' ': -5.7541676}
{' No': -0.2993256, '\n': -1.8681712, 'No': -2.638986, ' Yes': -3.5978656, 'Yes': -6.1873984}
{' No': -0.124392204, '\n': -3.6741872, 'No': -2.4539456, ' Yes': -5.7186604, ' Unfortunately': -6.706675}
{' No': -0.11181277, '\n': -3.6601088, ' ': -7.7220664, 'No': -2.6405773, ' Yes': -4.9440403}
{' No': -0.13395666, 'No': -2.4153821, '\n': -3.376571, ' Yes': -7.1195235, ' ': -7.3901954}
{' No': -0.65314436, ' Yes': -1.2621875, '\n': -2.082172, 'No': -3.0477366, 'Yes': -4.441507}
{' Yes': -0.2303689, ' No': -2.26588, '\n': -3.0515585, 'Yes': -3.2634158, 'No': -4.451089}
{' No': -0.8324443, ' Yes': -1.1220638, '\n': -2.0718567, 'No': -2.6534357, 'Yes': -3.9310274}
{' No': -0.86409086, ' Yes': -1.0370244, '\n': -2.3225756, 'No': -2.6573322, 'Yes': -3.4735441}
{' No': -0.84920317, ' Yes': -1.1392043, '\n': -2.0663776, 'No': -2.6299686, 'Yes': -3.7840478}
{' No': -0.740046, '\n': -3.347523, 'No': -2.6805387, ' Yes': -0.96724373, 'Yes': -3.6950212}
{' No': -0.6129215, ' Yes': -1.6671838, '\n': -1.7956073, 'No': -2.5996711, 'Yes': -4.4022737}
{' No': -0.16016658, ' Yes': -2.376475, '\n': -3.4053774, 'No': -3.9321811, 'Yes': -6.457064}
{' Yes': -0.3162706, ' No': -1.5395544, '\n': -3.404245, 'Yes': -4.230577, 'No': -4.907892}
{' No': -0.24353121, '\n': -3.5207434, 'No': -4.7158785, ' Yes': -2.4583693, ' Hospital': -2.446042}
{' Yes': -0.6675253, ' No': -1.0102149, '\n': -2.3334932, 'Yes': -4.4540873, 'No': -4.8182855}
{' No': -0.05314358, '\n': -3.9914978, ' ': -7.3730283, 'No': -3.7226207, ' Yes': -4.9044867}
{' No': -0.088150926, '\n': -3.4701183, 'No': -3.740224, ' Yes': -3.5832374, 'Yes': -7.4005837}
{' No': -0.023473097, '\n': -4.9717174, ' ': -9.172606, 'No': -4.304332, ' Yes': -5.978183}
{' Yes': -0.78321177, ' No': -0.82965374, 'No': -3.158885, '\n': -3.161786, 'Yes': -3.9083397}
{' No': -0.9219399, '\n': -2.540701, 'No': -2.9059143, ' Yes': -0.821436, 'Yes': -3.8377779}
{' Yes': -0.7369971, '\n': -1.2652202, ' No': -1.5992122, 'Yes': -4.042358, 'No': -4.2480483}
{' No': -0.12650381, '\n': -2.8316064, 'No': -2.9954553, ' Yes': -6.2952104, ' Unfortunately': -5.1975846}
{' No': -0.19022138, ' Yes': -2.6792254, 'No': -2.9808764, '\n': -3.0430062, 'Yes': -6.204437}
{' No': -0.31512457, ' Yes': -1.7598399, '\n': -2.7237146, 'No': -3.6120586, 'Yes': -5.4707546}
{' No': -1.2611095, '\n': -3.1870983, 'No': -4.146886, ' Yes': -0.45356292, 'Yes': -4.100377}
{' No': -0.723777, '\n': -1.106023, 'No': -2.366542, ' Yes': -2.7784567, ' Unfortunately': -4.3146563}
