{' odd': -0.08471681, ' Odd': -3.4376616, ' even': -3.879418, ':': -4.5343857, ' ': -5.4870214}
{' odd': -0.6902308, ' 1': -0.7205728, ':': -5.9807076, ' ': -6.0518317, ' even': -6.428796}
{' ': -6.9311895, ' an': -5.0737977, ' Even': -6.819043, ' 0': -6.295945, ' even': -0.013288995}
{' Odd': -5.3751225, ' an': -7.4621334, ' 1': -5.1007547, ' odd': -0.016834954, ' even': -5.8127413}
{' ': -6.455809, ':': -6.7761626, ' an': -5.850397, ' odd': -6.8630223, ' even': -0.008526533}
{' Odd': -4.9408894, ':': -5.9246826, ' 1': -1.4956135, ' odd': -0.28387117, ' even': -5.099266}
{' Odd': -5.3640704, ':': -6.341051, ' 1': -4.4627013, ' odd': -0.02720966, ' even': -5.410641}
{':': -5.182674, ' odd': -6.071561, ' 0': -2.797743, ' zero': -7.1681824, ' even': -0.077636175}
{' Odd': -4.972239, ':': -5.984907, ' 1': -2.9627357, ' odd': -0.076114275, ' even': -5.06322}
{' even': -0.10100638, ' 0': -2.4015799, ' ': -6.57021, ':': -6.815355, ' zero': -7.4866886}
{' odd': -0.33036044, ' 1': -1.350647, ':': -4.898678, ' Odd': -5.6914234, ' ': -5.79274}
{'\n': -7.373986, ' ': -6.495495, ' an': -6.7818284, ' 0': -6.5470004, ' even': -0.0069149677}
{' Odd': -6.0731115, ' ': -7.122698, ' 1': -3.258717, ' odd': -0.0504804, ' even': -5.308104}
{'\n': -5.3606286, ' ': -5.7598476, ':': -4.526644, ' an': -6.457738, ' even': -0.023866259}
{'\n': -4.936209, ' Odd': -3.9133077, ':': -4.0713677, ' 1': -1.2402656, ' odd': -0.4329306}
{' Odd': -4.1751657, ':': -5.361615, ' 1': -5.5279627, ' odd': -0.06549853, ' even': -3.4438992}
{':': -5.9395947, ' "': -6.6735497, ' odd': -6.7954874, ' 0': -4.9029098, ' even': -0.016708275}
{' odd': -0.113070704, ' even': -3.1575527, ' 1': -3.3184788, ' Odd': -4.830264, ' "': -5.2198544}
{' even': -0.34859145, ' 0': -1.2531039, ':': -5.890867, ' zero': -6.1784525, ' ': -7.0235567}
{' 1': -0.48962894, ' odd': -0.9973632, ' even': -5.2267685, ':': -5.8371367, '\n': -6.5014663}
{'\n': -6.536942, ' ': -7.0588284, ':': -5.6171193, ' Even': -7.4012303, ' even': -0.008495695}
{'\n': -5.5925784, ' Odd': -5.2490363, ' 1': -5.6890397, ' odd': -0.023693707, ' even': -5.638416}
{' ': -6.742104, ':': -5.180891, ' an': -6.713597, ' 0': -6.642054, ' even': -0.012629381}
{' Odd': -5.2363205, ':': -6.7193704, ' 1': -2.112545, ' odd': -0.14555739, ' even': -5.534986}
{' odd': -0.07577017, ' 1': -3.4607303, ' even': -3.8128963, ':': -4.611441, ' Odd': -5.646656}
{':': -5.588511, ' Even': -7.159159, ' EVEN': -7.036389, ' 0': -6.4584565, ' even': -0.008696373}
{'\n': -6.927224, ' 1': -0.7802466, ' one': -6.368642, ' odd': -0.63228977, ' 0': -6.425962}
{' ': -6.678369, ':': -4.868205, ' Even': -6.238111, ' 0': -2.707316, ' even': -0.085823536}
{' Odd': -5.845809, ':': -5.714904, ' 1': -1.3152649, ' odd': -0.3371728, ' even': -5.358447}
{' even': -0.013092952, ' an': -5.32965, ' 0': -5.4288917, ' ': -6.907193, ' Even': -7.4698715}
{' Odd': -6.2102113, ' an': -5.280909, ' 1': -5.271827, ' odd': -0.029958215, ' even': -4.217438}
{' ': -7.085576, ':': -7.1806498, ' an': -6.0816092, ' 0': -6.264274, ' even': -0.0070990007}
{' Odd': -4.6455784, ' an': -5.388445, ' 1': -2.6667252, ' odd': -0.1275749, ' even': -3.8431473}
{' odd': -0.025391988, ' 1': -4.762904, ' even': -5.1102285, ' Odd': -5.2507057, ':': -5.846793}
{':': -5.6912546, ' odd': -6.8615994, ' 0': -3.2536972, ' zero': -7.254775, ' even': -0.048576444}
{' odd': -0.032537073, ' 1': -4.4859576, ' Odd': -4.930014, ' even': -5.4004016, ':': -5.8400245}
{' 0': -0.44776732, ' even': -1.0592079, ':': -4.964686, ' zero': -6.0003533, ' ': -6.446365}
{' odd': -0.036949404, ' 1': -3.8911228, ' even': -5.1465144, ' Odd': -5.6522303, ':': -5.7481613}
{' even': -0.008488722, ' 0': -6.123638, ' an': -6.554997, ':': -6.729992, ' Even': -6.8547335}
{' odd': -0.056316607, ' 1': -3.0235863, ' Odd': -6.0796943, ' even': -6.8763537, ' ': -6.9519053}
{' even': -0.0072216475, ' 0': -6.0401955, ' an': -6.48263, ' ': -6.8927693, ':': -7.2139006}
{'\n': -5.7537813, ' Odd': -5.273413, ' 1': -1.2424343, ' odd': -0.380881, ' even': -4.983313}
{' Odd': -5.462275, ' 1': -3.2964725, ' "': -6.1888423, ' odd': -0.06258029, ' even': -4.599785}
{' even': -0.012535099, ' 0': -4.9689493, ':': -6.1153407, ' EVEN': -7.300332, ' Even': -7.7831182}
{'\n': -4.9922495, ':': -5.7220564, ' 1': -2.9163797, ' odd': -0.09528933, ' even': -3.9862554}
{' ': -7.4602833, ':': -6.872871, ' 0': -1.088658, ' zero': -6.994284, ' even': -0.41742584}
{' Odd': -5.268429, ':': -4.5613127, ' 1': -2.4614365, ' odd': -0.13159308, ' even': -4.3559675}
{' even': -0.012352716, ' an': -5.12958, ' 0': -6.1200905, ' Even': -6.6742764, ' ': -7.292068}
{' Odd': -6.583561, ' an': -7.4424677, ' 1': -3.3925667, ' odd': -0.042192895, ' even': -5.5688095}
{' ': -6.175473, ':': -6.310726, ' an': -5.7273474, ' 0': -6.8344955, ' even': -0.010938853}
{' odd': -0.4012697, ' 1': -1.1937253, ' even': -4.435005, ' an': -5.5376673, ' Odd': -5.577829}
{' Odd': -5.716507, ':': -6.064894, ' 1': -4.861337, ' odd': -0.05217841, ' even': -3.4552763}
{' even': -0.009830432, ':': -5.400924, ' 0': -6.2536473, ' Even': -7.0555053, ' EVEN': -7.7463984}
{' odd': -0.17756486, ' 1': -1.8842452, ' even': -6.2527533, ' one': -6.4634566, ' Odd': -6.4900002}
{' ': -7.318193, ':': -7.2289205, ' 0': -3.7691312, ' zero': -7.5877604, ' even': -0.027657364}
{' ': -5.3928146, ':': -5.429224, ' 1': -1.1176072, ' odd': -0.5294983, ' even': -2.8314307}
{' even': -0.012451994, '\n': -5.3298836, ':': -5.844631, ' ': -6.312764, ' Even': -6.8557076}
{' Odd': -5.188465, ' an': -6.202891, ' 1': -5.3252325, ' odd': -0.030959435, ' even': -4.2997513}
{' ': -6.5633154, ' an': -6.4617066, ' odd': -7.8343983, ' 0': -5.827285, ' even': -0.007624992}
{' odd': -0.174487, ' 1': -2.0114906, ' Odd': -4.7754364, ' even': -5.2541513, ':': -5.4662623}
{' odd': -0.08718548, ' even': -2.7659516, ' 1': -4.508716, ' Odd': -5.7441325, ' 0': -6.7826657}
{':': -5.265129, ' Even': -6.8173366, ' EVEN': -6.526291, ' 0': -7.5950203, ' even': -0.010549887}
{'\n': -5.39578, ' Odd': -5.61185, ' 1': -2.0855153, ' odd': -0.15843982, ' even': -5.4195294}
{'\n': -5.9837832, ' ': -5.9828897, ':': -5.1476283, ' 0': -2.7416415, ' even': -0.086744174}
{' Odd': -6.119412, ':': -5.9137683, ' 1': -1.8976375, ' odd': -0.19964412, ' even': -4.097784}
{' even': -0.076480314, ':': -3.3731303, '\n': -3.7965987, ' ': -5.3758388, ' Even': -5.5199666}
{'\n': -6.256649, ' ': -6.5130606, ' 1': -0.8553825, ' odd': -0.5652576, ' even': -7.1777153}
{' even': -0.2860389, ':': -2.4345584, ' 0': -2.664967, ' ': -3.1654038, '\n': -3.9832892}
{' Odd': -5.788671, ' an': -5.307087, ' 1': -1.4179516, ' odd': -0.30681047, ' even': -5.1760674}
{'\n': -3.8260787, ':': -3.8440945, ' 1': -4.2499137, ' odd': -0.14744683, ' even': -2.8546867}
{':': -5.0852933, ' Even': -6.6346684, ' EVEN': -7.0851974, ' 0': -6.58643, ' even': -0.013214525}
{' odd': -0.20456629, ' 1': -1.7939332, ' even': -4.913741, ' Odd': -6.093916, ' 0': -6.1977973}
{'\n': -5.661724, ' ': -6.1548376, ':': -4.3915253, ' 0': -5.0813503, ' even': -0.029685257}
{' odd': -0.10992952, ' 1': -2.5425515, ' even': -4.3651924, ':': -5.709256, ' Odd': -5.7482243}
{' even': -0.0058770063, ':': -6.5171957, ' ': -7.0081224, ' Even': -7.1247683, ' 0': -7.4001656}
{' Odd': -6.9167147, ' an': -7.4851665, ' 1': -2.9811127, ' odd': -0.059596423, ' even': -5.4638715}
{'\n': -6.335168, ' ': -6.3078547, ':': -5.021454, ' Even': -7.2640967, ' even': -0.013010161}
{' 1': -0.7191028, ' odd': -0.7627906, ' even': -4.2980156, ':': -4.7012405, ' Odd': -5.1759777}
{'\n': -6.3183827, ' Odd': -6.2962737, ' 1': -5.4559336, ' odd': -0.03591663, ' even': -3.9389946}
{' even': -0.045621358, ':': -3.886926, ' 0': -4.014562, '\n': -6.842274, ' odd': -7.1957965}
{' odd': -0.030647114, ' Odd': -4.4978104, ' 1': -5.0605855, ' even': -5.116265, ' "': -6.519188}
{'\n': -5.8665442, ' ': -6.203074, ':': -5.620528, ' 0': -3.416853, ' even': -0.04641542}
{' Odd': -5.5925627, ':': -5.7441206, ' 1': -3.48518, ' odd': -0.08201915, ' even': -3.3692563}
{'\n': -7.264899, ':': -6.3604803, ' Even': -7.2919383, ' 0': -6.6114984, ' even': -0.0071490663}
{' Odd': -5.8329897, ':': -6.0267897, ' 1': -2.4433482, ' odd': -0.10679458, ' even': -5.4991274}
{' ': -6.960419, ':': -6.4790654, ' an': -8.0780735, ' 0': -5.2156215, ' even': -0.009229342}
{' Odd': -5.2440376, ':': -5.9307404, ' 1': -1.3659565, ' odd': -0.32552075, ' even': -4.813286}
{' odd': -0.23452894, ' even': -1.8140728, ' 1': -4.47478, ':': -4.619038, ' Odd': -4.7151756}
{':': -6.370772, ' Even': -6.9988513, ' odd': -7.184689, ' 0': -5.5981755, ' even': -0.0102709085}
{' odd': -0.2514017, ' 1': -1.578306, '\n': -5.2412, ' even': -5.61645, ' ': -5.8394856}
{' ': -6.7968493, ':': -7.1324153, ' 0': -2.58942, ' zero': -7.511468, ' even': -0.083160326}
{' odd': -0.1765607, ' 1': -2.0583966, ' even': -4.377654, ' Odd': -5.253234, ':': -5.3442574}
{'\n': -7.6151147, ' ': -7.278952, ':': -5.916261, ' Even': -7.6221905, ' even': -0.005649562}
{' Odd': -4.830932, ' ': -6.1903305, ':': -5.4832735, ' 1': -5.215412, ' odd': -0.027675133}
{'\n': -6.3868794, ' ': -5.817692, ':': -3.9715118, ' Even': -6.3529406, ' even': -0.029730143}
{'\n': -4.9187217, ' Odd': -4.455143, ':': -4.8679185, ' 1': -1.3526379, ' odd': -0.35970464}
{'\n': -3.9231267, ':': -4.337234, ' 1': -3.74291, ' odd': -0.13745472, ' even': -3.4604337}
{' even': -0.043002725, ' 0': -3.7723882, ':': -5.0935693, ' odd': -5.323875, ' ': -6.5416837}
{' odd': -0.1875261, ' 1': -2.1727993, ' even': -3.200158, ' Odd': -5.6232023, ' 0': -5.8471146}
{' even': -0.025811782, ':': -5.0052342, ' 0': -5.151265, '\n': -5.575223, ' ': -5.897024}
{' Odd': -5.7438626, ' ': -6.0984716, ' 1': -1.6030082, ' odd': -0.24415578, ' even': -5.451163}
{' ': -7.3335357, ' an': -5.610134, ' Even': -6.595827, ' 0': -6.90215, ' even': -0.009064406}
{' odd': -0.17819647, ' 1': -1.8578553, ' even': -5.9332337, ' Odd': -6.753869, ' an': -6.814694}
{' ': -6.6051655, ':': -6.326482, ' an': -6.001424, ' 0': -6.632766, ' even': -0.008804725}
{'\n': -5.6417694, ' Odd': -3.6354475, ':': -3.9853027, ' 1': -4.4865885, ' odd': -0.070021875}
{' Odd': -5.408852, ':': -6.2030325, ' 1': -5.380201, ' odd': -0.020891935, ' even': -4.9634023}
{':': -4.660755, ' Even': -5.556591, ' EVEN': -6.2464046, ' 0': -6.401088, ' even': -0.02106474}
{' Odd': -5.508111, ' 1': -3.4271548, ' "': -6.597855, ' odd': -0.070791736, ' even': -3.7214954}
{' ': -6.745439, ':': -6.7334323, ' an': -6.7259264, ' 0': -2.963096, ' even': -0.060279857}
{'\n': -4.821531, ':': -4.551704, ' 1': -0.6993788, ' odd': -0.86441594, ' even': -3.0531144}
{'\n': -4.305889, ' ': -5.4664845, ':': -3.1931436, ' Even': -5.542807, ' even': -0.07588488}
{' odd': -0.1547363, ' 1': -1.9897335, ' even': -6.142246, ' Odd': -6.500734, ' ': -7.2890234}
{' even': -0.013193567, ':': -5.7638125, ' 0': -6.0398536, ' an': -6.102356, ' ': -6.4383783}
{' ': -6.001399, ' 1': -0.34576452, ' one': -5.8896947, ' odd': -1.2744373, ' even': -5.9801455}
{' odd': -0.1441686, ' even': -2.3118598, ' 1': -4.4555535, ':': -5.046552, ' Odd': -5.0890203}
{':': -5.7251363, ' Even': -7.329696, ' EVEN': -7.869906, ' 0': -6.0168223, ' even': -0.008816449}
{' odd': -0.049383517, ' 1': -3.802061, ':': -4.908161, ' Odd': -5.2158318, '\n': -5.27887}
{'\n': -6.6938925, ' ': -6.8182607, ':': -5.4447336, ' 0': -3.9404886, ' even': -0.029597273}
{' Odd': -5.2700224, ':': -5.855203, ' 1': -1.6918311, ' odd': -0.23653358, ' even': -4.525432}
{' an': -7.5411587, ' Even': -8.078637, ' odd': -8.110671, ' 0': -8.060562, ' even': -0.002303647}
{' odd': -0.009767534, ' even': -5.826135, ' 1': -5.850743, ' Odd': -6.4046555, ' an': -7.0801897}
{' ': -6.0338182, ':': -5.352733, ' an': -6.078553, ' 0': -7.346721, ' even': -0.01269687}
{' odd': -0.4457065, ' 1': -1.1402656, ' even': -4.480938, ' Odd': -4.7576246, ':': -5.582729}
{' Odd': -4.4866233, ':': -4.265929, ' 1': -4.445128, ' odd': -0.08511717, ' even': -3.3915887}
{'\n': -6.6348124, ' ': -7.093663, ':': -6.0673375, ' 0': -4.6940575, ' even': -0.01631767}
{' Odd': -4.7811565, ' ': -6.80594, ' 1': -4.719196, ' odd': -0.027308028, ' even': -5.431698}
{' ': -6.1710978, ':': -5.4532585, ' Even': -6.364373, ' 0': -5.0418434, ' even': -0.016682092}
{' odd': -0.3248082, ' 1': -1.4461538, ':': -4.377194, ' even': -4.697855, '\n': -4.799427}
{' ': -5.777656, ':': -4.7228594, ' odd': -6.2062798, ' 0': -1.646249, ' even': -0.24072956}
{' Odd': -5.1500144, ' an': -6.6481123, ' 1': -5.4084525, ' odd': -0.016679304, ' even': -6.3218493}
{':': -6.3979497, ' an': -6.1233563, ' 0': -3.872689, ' zero': -6.996122, ' even': -0.029072547}
{' Odd': -3.8049343, ':': -4.707438, ' 1': -1.7377001, ' odd': -0.26779816, ' even': -4.5274854}
{' odd': -0.23085494, ' even': -2.4366024, ':': -2.7653272, ' 1': -3.8982573, ' Odd': -4.1777334}
{':': -6.168381, ' an': -6.6468434, ' "': -6.2764525, ' 0': -4.778936, ' even': -0.018334152}
{' odd': -0.029699499, ' 1': -4.6646204, ' Odd': -4.689213, ' even': -5.6493793, ' "': -6.410893}
{'\n': -6.086582, ' ': -6.3747706, ':': -6.5231185, ' 0': -2.8143084, ' even': -0.071908295}
{'\n': -5.180377, ':': -5.288299, ' 1': -1.783506, ' odd': -0.23228237, ' even': -3.9864976}
{'\n': -6.312605, ':': -5.6194973, ' an': -7.125857, ' 0': -6.593875, ' even': -0.010540852}
{' odd': -0.64272344, ' 1': -0.76915973, ' one': -6.0951977, ' even': -6.383623, '\n': -6.5275726}
{'\n': -5.778767, ' ': -5.2844963, ':': -4.4398317, ' Even': -6.758107, ' even': -0.024516463}
{'\n': -6.1216807, ' Odd': -5.055539, ' 1': -2.0812514, ' odd': -0.16320068, ' even': -4.5719666}
{' odd': -0.058741506, ' 1': -3.8923128, ' even': -3.9144092, ' 0': -4.7167807, ' Odd': -5.5824275}
{' even': -0.06798274, ' 0': -3.6459272, ':': -4.15026, '\n': -4.951852, ' ': -5.5625887}
{' Odd': -5.4341, ' ': -7.0290284, ' 1': -3.9592464, ' odd': -0.038924262, ' even': -4.611848}
{' even': -0.03810175, ' 0': -3.6324656, ':': -5.3307314, '\n': -6.85966, ' ': -6.92288}
{' odd': -0.070506506, ' 1': -2.9569964, ' Odd': -5.119076, ' even': -5.597305, ' ': -6.379752}
{' even': -0.006350716, ' an': -6.1155405, ' 0': -6.4253273, ':': -7.6776443, ' ': -7.893735}
{' Odd': -5.0471687, ' ': -6.97423, ' 1': -6.3172655, ' odd': -0.018998757, ' even': -4.906491}
{'\n': -2.4169574, ' ': -2.8961146, ':': -0.58751994, ' -': -4.463459, ' even': -1.4500782}
{'\n': -5.3920116, ' Odd': -4.193135, ':': -4.4256372, ' 1': -2.0473127, ' odd': -0.18913543}
{' Odd': -5.384568, ':': -5.318159, ' 1': -3.572028, ' odd': -0.066312686, ' even': -3.8502946}
{' even': -0.5854154, ' 0': -0.87274706, ':': -4.708817, '\n': -5.8710256, ' 1': -5.952786}
{' Odd': -5.411704, ' 1': -2.6250453, ' "': -6.9574366, ' odd': -0.0845178, ' even': -7.3315916}
{' ': -7.973062, ':': -6.7069654, ' 0': -3.2057092, ' zero': -7.583166, ' even': -0.045175396}
{' Odd': -5.654981, ' an': -6.0829315, ' 1': -2.8089378, ' odd': -0.107731685, ' even': -3.6279216}
{' even': -0.010319625, ' 0': -5.148461, ':': -6.8804703, ' an': -7.1556387, ' ': -7.2783318}
{' Odd': -6.6019325, ' an': -6.2575297, ' 1': -3.0777354, ' odd': -0.06688104, ' even': -4.375812}
{' ': -7.1900086, ':': -7.2382483, ' an': -6.9280715, ' 0': -5.3111567, ' even': -0.008308342}
{' odd': -0.529753, ' 1': -1.0415596, ' even': -3.6151428, ' an': -5.0560207, ' Odd': -5.1693363}
{'\n': -4.5991383, ':': -3.0359154, ' 1': -4.2659616, ' odd': -0.32199588, ' even': -1.7800666}
{'\n': -6.014077, ':': -3.2162623, ' EVEN': -5.8514853, ' 0': -4.901914, ' even': -0.06374898}
