{'\n': -2.1818035, ' 4': -2.3421, ' 6': -2.3980253, ' 7': -2.5073662, ' 8': -1.9333103}
{'\n': -1.8086082, ' 8': -2.0061693, ' 4': -2.4113925, ' 6': -2.4889798, ' 7': -2.571606}
{'\n': -1.7191293, ' 8': -1.9861944, ' 4': -2.4327161, ' 6': -2.4861953, ' 7': -2.5647438}
{'\n': -1.682004, ' 8': -2.060181, ' 4': -2.453146, ' 6': -2.5450745, ' 7': -2.6329901}
{'\n': -1.7343893, ' 4': -2.40911, ' 6': -2.4849663, ' 7': -2.5695763, ' 8': -1.9865142}
{'\n': -1.7321957, ' 4': -2.4254596, ' 5': -2.5835063, ' 6': -2.529908, ' 8': -2.0290303}
{'\n': -1.6321005, ' 8': -2.0169778, ' 4': -2.4466558, ' 6': -2.5106552, ' 7': -2.5963597}
{'\n': -1.8646508, ' 8': -1.9564334, ' 4': -2.4158795, ' 6': -2.4484646, ' 5': -2.5486546}
{'\n': -1.743351, ' 4': -2.4178505, ' 5': -2.5765944, ' 6': -2.4935045, ' 8': -2.0080185}
{'\n': -1.8095433, ' 4': -2.4125018, ' 6': -2.4965913, ' 7': -2.5855644, ' 8': -2.0180576}
{'\n': -1.7932533, ' 8': -2.004231, ' 4': -2.4158711, ' 6': -2.4950795, ' 5': -2.5796475}
{' 8': -1.9611064, '\n': -2.0415251, ' 4': -2.3449547, ' 6': -2.4382727, ' 5': -2.487141}
{'\n': -1.828556, ' 8': -1.9686325, ' 4': -2.391752, ' 6': -2.4461432, ' 5': -2.5256567}
{' 8': -1.9488344, '\n': -2.1074104, ' 4': -2.3373115, ' 6': -2.4225445, ' 5': -2.4765642}
{'\n': -1.8500856, ' 8': -1.971492, ' 4': -2.4001944, ' 6': -2.417164, ' 5': -2.521763}
{'\n': -1.9189175, ' 4': -2.397514, ' 5': -2.5318897, ' 6': -2.418556, ' 8': -1.9233081}
{' 8': -1.9312395, '\n': -1.9559519, ' 4': -2.3732226, ' 6': -2.4090502, ' 5': -2.4969704}
{'\n': -1.8663504, ' 8': -1.958007, ' 4': -2.3501818, ' 6': -2.4497616, ' 5': -2.5238953}
{'\n': -1.752829, ' 4': -2.3999066, ' 6': -2.454392, ' 7': -2.5561461, ' 8': -1.9676298}
{'\n': -1.981437, ' 4': -2.3523972, ' 5': -2.5126793, ' 6': -2.4539244, ' 8': -1.9742119}
{'\n': -1.9335126, ' 4': -2.3683786, ' 5': -2.4998531, ' 6': -2.4249773, ' 8': -1.9373264}
{'\n': -1.9965942, ' 4': -2.3488157, ' 5': -2.5078733, ' 6': -2.4496658, ' 8': -1.9615694}
{'\n': -1.869958, ' 8': -1.9475844, ' 4': -2.3605855, ' 6': -2.4433556, ' 5': -2.5134442}
{' 8': -1.9372807, '\n': -2.0646124, ' 4': -2.3868065, ' 6': -2.4080591, ' 5': -2.5240698}
{'\n': -1.749415, ' 8': -1.9970345, ' 4': -2.417954, ' 6': -2.4467542, ' 5': -2.536203}
{'\n': -1.7835631, ' 8': -2.0117955, ' 4': -2.3962846, ' 6': -2.469955, ' 5': -2.557016}
{'\n': -1.6572489, ' 4': -2.4521136, ' 5': -2.6041214, ' 6': -2.5241084, ' 8': -2.0677352}
{' 8': -1.9276601, '\n': -2.216778, ' 4': -2.37159, ' 6': -2.3910296, ' 5': -2.4904482}
{'\n': -2.0143104, ' 4': -2.3731894, ' 5': -2.4794936, ' 6': -2.3784053, ' 8': -1.9491515}
{'\n': -2.3165348, ' 4': -2.3421, ' 5': -2.4570575, ' 6': -2.3291595, ' 8': -1.8880993}
{'\n': -1.8914715, ' 8': -1.9844116, ' 4': -2.4332166, ' 6': -2.4395757, ' 7': -2.5872388}
{'\n': -2.0414586, ' 4': -2.3823478, ' 5': -2.472446, ' 6': -2.3751552, ' 8': -1.883143}
{' 8': -1.9223572, '\n': -2.0387695, ' 4': -2.3643196, ' 6': -2.399264, ' 7': -2.486413}
{'\n': -2.386591, ' 4': -2.3212926, ' 5': -2.439355, ' 6': -2.3563557, ' 8': -1.8537854}
{' 8': -1.88608, '\n': -2.1193964, ' 4': -2.3491528, ' 6': -2.393553, ' 7': -2.478864}
{' 8': -1.9411207, '\n': -1.9897305, ' 4': -2.3577943, ' 6': -2.4421604, ' 7': -2.5125053}
{' 8': -1.9151217, '\n': -2.0236554, ' 4': -2.3450086, ' 6': -2.431951, ' 7': -2.4939446}
{' 8': -1.9148718, '\n': -2.0992343, ' 4': -2.3211381, ' 6': -2.4459598, ' 5': -2.4840696}
{'\n': -1.945157, ' 4': -2.3678608, ' 6': -2.4490407, ' 7': -2.5087988, ' 8': -1.9157028}
{'\n': -2.0170465, ' 4': -2.3411148, ' 6': -2.4291503, ' 7': -2.5106597, ' 8': -1.9161221}
{' 8': -1.9245076, '\n': -2.103126, ' 4': -2.3255897, ' 6': -2.423468, ' 7': -2.5072408}
{'\n': -2.0958743, ' 4': -2.3308616, ' 5': -2.5098834, ' 6': -2.4301898, ' 8': -1.9165368}
{'\n': -2.0217335, ' 4': -2.3600447, ' 6': -2.4566805, ' 7': -2.5183794, ' 8': -1.9324906}
{'\n': -2.0634217, ' 4': -2.345736, ' 5': -2.4898689, ' 6': -2.4292076, ' 8': -1.9178233}
{' 8': -1.9058467, '\n': -2.0608294, ' 4': -2.3442574, ' 6': -2.4381154, ' 5': -2.497948}
{'\n': -2.157825, ' 4': -2.3097024, ' 5': -2.4623532, ' 6': -2.4333367, ' 8': -1.9248691}
{'\n': -2.1109595, ' 4': -2.350837, ' 5': -2.4786808, ' 6': -2.4074712, ' 8': -1.9145961}
{'\n': -1.989278, ' 4': -2.3514807, ' 5': -2.4905102, ' 6': -2.4048538, ' 8': -1.9234945}
{'\n': -1.9365838, ' 4': -2.3538077, ' 5': -2.5047312, ' 6': -2.4305956, ' 8': -1.9345742}
{'\n': -1.9361666, ' 8': -1.9460067, ' 4': -2.3360841, ' 6': -2.4412448, ' 5': -2.5084429}
{'\n': -1.8324075, ' 8': -1.9610295, ' 4': -2.3857522, ' 6': -2.4786067, ' 5': -2.5463703}
{'\n': -2.0323672, ' 4': -2.326553, ' 5': -2.501314, ' 6': -2.4291961, ' 8': -1.9616027}
{'\n': -1.9422927, ' 4': -2.3601356, ' 5': -2.5391011, ' 6': -2.4594836, ' 8': -1.985662}
{' 8': -1.9393249, '\n': -2.0269465, ' 4': -2.331184, ' 6': -2.4542158, ' 5': -2.4832768}
{'\n': -2.0802488, ' 4': -2.3403149, ' 5': -2.4730158, ' 6': -2.4099607, ' 8': -1.9234952}
{'\n': -2.0197616, ' 4': -2.3439288, ' 5': -2.4750838, ' 6': -2.4118629, ' 8': -1.9306809}
{'\n': -2.051974, ' 4': -2.3325498, ' 5': -2.4639213, ' 6': -2.3995397, ' 8': -1.9129064}
{'\n': -2.0487576, ' 4': -2.3443537, ' 5': -2.4912708, ' 6': -2.4326534, ' 8': -1.9272747}
{'\n': -1.9411488, ' 8': -1.9518718, ' 4': -2.378101, ' 6': -2.466464, ' 5': -2.5192327}
{' 8': -1.931729, '\n': -2.1607451, ' 4': -2.3372562, ' 6': -2.3934371, ' 5': -2.4506013}
{'\n': -1.8982621, ' 8': -1.9643996, ' 4': -2.3711407, ' 6': -2.4528248, ' 5': -2.4986286}
{' 8': -1.951889, '\n': -2.1141052, ' 4': -2.3526669, ' 6': -2.4062185, ' 5': -2.4622984}
{'\n': -2.1582518, ' 4': -2.3567994, ' 5': -2.4497185, ' 6': -2.3724377, ' 8': -1.9160405}
{'\n': -2.1847117, ' 4': -2.3500643, ' 5': -2.4467201, ' 6': -2.3625011, ' 8': -1.8813391}
{' 8': -1.9353139, '\n': -2.0099685, ' 4': -2.3583858, ' 6': -2.4107015, ' 5': -2.468105}
{'\n': -2.169993, ' 4': -2.3237855, ' 5': -2.436859, ' 6': -2.3758867, ' 8': -1.8850207}
{'\n': -2.1290438, ' 4': -2.3282073, ' 5': -2.4384577, ' 6': -2.3752034, ' 8': -1.9016058}
{'\n': -1.9576403, ' 4': -2.35906, ' 5': -2.504475, ' 6': -2.4416835, ' 8': -1.9675155}
{'\n': -1.9868447, ' 4': -2.3504722, ' 5': -2.4680002, ' 6': -2.404577, ' 8': -1.9196812}
{'\n': -1.9229954, ' 4': -2.3470745, ' 5': -2.5012827, ' 6': -2.4662561, ' 8': -1.9816903}
{'\n': -1.8398312, ' 4': -2.3871317, ' 5': -2.5083513, ' 6': -2.447278, ' 8': -1.9733734}
{'\n': -2.042057, ' 4': -2.3434238, ' 5': -2.4784708, ' 6': -2.4252815, ' 8': -1.9500828}
{' 8': -1.9166164, '\n': -2.1249208, ' 4': -2.3261557, ' 6': -2.3844175, ' 5': -2.440256}
{' 8': -1.9258305, '\n': -2.1453347, ' 4': -2.3272424, ' 6': -2.4148517, ' 5': -2.4679017}
{'\n': -1.9597465, ' 8': -1.969891, ' 4': -2.3593209, ' 6': -2.4609578, ' 5': -2.5054324}
{'\n': -1.9691496, ' 4': -2.355259, ' 5': -2.4924374, ' 6': -2.4442978, ' 8': -1.9731789}
{' 8': -1.9635066, '\n': -1.9684371, ' 4': -2.3589735, ' 6': -2.4256973, ' 5': -2.4830701}
{' 8': -1.967889, '\n': -2.0409577, ' 4': -2.3493662, ' 6': -2.4310343, ' 5': -2.4694273}
{'\n': -1.9742037, ' 4': -2.3801951, ' 5': -2.4896874, ' 6': -2.438831, ' 8': -1.979674}
{' 8': -1.9211963, '\n': -1.9834503, ' 4': -2.3875098, ' 6': -2.405501, ' 5': -2.500091}
{'\n': -1.7630892, ' 4': -2.4171019, ' 5': -2.5149717, ' 6': -2.4532194, ' 8': -1.984887}
{'\n': -1.8050588, ' 8': -1.9754653, ' 4': -2.401832, ' 6': -2.4596782, ' 5': -2.5267835}
{'\n': -1.6934896, ' 4': -2.4267323, ' 5': -2.5621035, ' 6': -2.4925342, ' 8': -2.0233808}
{'\n': -1.8942515, ' 8': -1.9715096, ' 4': -2.3850372, ' 6': -2.456436, ' 5': -2.5295043}
{'\n': -1.6831026, ' 4': -2.4277623, ' 5': -2.5704813, ' 6': -2.5181332, ' 8': -2.0345535}
{'\n': -1.7874559, ' 8': -1.9942926, ' 4': -2.4020047, ' 6': -2.479137, ' 5': -2.540954}
{'\n': -1.7159623, ' 4': -2.4222229, ' 5': -2.5623589, ' 6': -2.4949453, ' 8': -2.0160751}
{' 8': -1.8974614, '\n': -2.1952503, ' 4': -2.37028, ' 6': -2.3893447, ' 5': -2.4635866}
{'\n': -1.8412988, ' 8': -1.9844491, ' 4': -2.4136455, ' 6': -2.4308374, ' 5': -2.494455}
{'\n': -1.9075041, ' 8': -1.9517012, ' 4': -2.3801968, ' 6': -2.4233685, ' 5': -2.4994211}
{'\n': -1.8858434, ' 4': -2.3929818, ' 5': -2.5129263, ' 6': -2.437525, ' 8': -1.9667703}
{' 8': -1.8813945, '\n': -2.2823174, ' 6': -2.316786, ' 4': -2.3292744, ' 5': -2.4078076}
{'\n': -1.7981911, ' 4': -2.4310598, ' 5': -2.510357, ' 6': -2.4413254, ' 8': -1.9960318}
{' 8': -1.8958436, '\n': -2.1979249, ' 6': -2.3266509, ' 4': -2.349019, ' 5': -2.425624}
{' 8': -1.9593859, '\n': -1.9796685, ' 6': -2.3854733, ' 4': -2.3944235, ' 5': -2.5058575}
{'\n': -2.1466064, ' 4': -2.3356981, ' 6': -2.3693535, ' 7': -2.4978163, ' 8': -1.8670379}
{'\n': -2.3318875, ' 4': -2.2948925, ' 6': -2.3351643, ' 7': -2.4528372, ' 8': -1.8539546}
{' 8': -1.8080311, ' 4': -2.2713015, ' 6': -2.3202393, ' 7': -2.4300222, ' 5': -2.4504166}
{' 4': -2.276373, ' 5': -2.45216, ' 6': -2.3277063, ' 7': -2.441777, ' 8': -1.8664722}
{' 4': -2.2622328, ' 5': -2.4566069, ' 6': -2.3347473, ' 7': -2.4330606, ' 8': -1.8293781}
{'\n': -2.4263883, ' 4': -2.280622, ' 6': -2.3637843, ' 7': -2.438747, ' 8': -1.8580775}
{' 8': -1.8826643, '\n': -2.2762895, ' 4': -2.293573, ' 6': -2.3700223, ' 7': -2.468354}
{' 8': -1.849078, ' 4': -2.2696607, ' 6': -2.3140268, '\n': -2.434264, ' 5': -2.4369943}
{' 8': -1.8325795, ' 4': -2.2589693, ' 6': -2.340902, ' 7': -2.434117, ' 9': -2.4532251}
{'\n': -2.141822, ' 4': -2.322162, ' 6': -2.41735, ' 7': -2.4848444, ' 8': -1.8990365}
{' 8': -1.8510401, ' 4': -2.2695315, ' 6': -2.360143, '\n': -2.4348016, ' 7': -2.4476762}
{' 8': -1.8837476, ' 4': -2.297359, ' 6': -2.3769975, ' 7': -2.4486625, '\n': -2.4499166}
{' 8': -1.8667456, ' 4': -2.2564132, ' 6': -2.3466954, ' 7': -2.4403424, ' 5': -2.4435973}
{' 8': -1.8574333, ' 4': -2.2698393, '\n': -2.320097, ' 6': -2.362403, ' 7': -2.4528277}
{' 8': -1.881031, ' 4': -2.28786, ' 6': -2.3584652, '\n': -2.4076788, ' 5': -2.4606056}
{' 8': -1.8738625, ' 4': -2.2720654, ' 6': -2.3345387, ' 5': -2.442817, ' 7': -2.443742}
{'\n': -2.2617261, ' 4': -2.2952106, ' 6': -2.3711872, ' 7': -2.4621522, ' 8': -1.8543881}
{' 8': -1.8871151, ' 4': -2.280025, ' 6': -2.3806093, '\n': -2.399157, ' 7': -2.4588106}
{' 8': -1.8906668, ' 4': -2.2664974, ' 6': -2.3684468, ' 7': -2.4677265, ' 5': -2.4852407}
{' 8': -1.9790139, '\n': -2.166263, ' 4': -2.3627403, ' 6': -2.463822, ' 7': -2.5389533}
{' 4': -2.2713912, ' 5': -2.460704, ' 6': -2.36533, ' 7': -2.4516757, ' 8': -1.882722}
{'\n': -2.3057134, ' 4': -2.291928, ' 6': -2.408221, ' 7': -2.482436, ' 8': -1.9051874}
{' 8': -1.8863864, ' 4': -2.2797954, ' 6': -2.386335, '\n': -2.4412236, ' 7': -2.4719415}
{'\n': -2.3221197, ' 4': -2.293621, ' 6': -2.3927069, ' 7': -2.47254, ' 8': -1.8879908}
{'\n': -2.4121673, ' 4': -2.2679832, ' 5': -2.45946, ' 6': -2.3743112, ' 8': -1.8880374}
{'\n': -2.2706482, ' 4': -2.280638, ' 5': -2.4803689, ' 6': -2.3926623, ' 8': -1.8983109}
{' 8': -1.8795868, ' 4': -2.258044, ' 6': -2.3668544, ' 5': -2.4560573, ' 7': -2.4676023}
{' 8': -1.914277, ' 4': -2.2973144, '\n': -2.3234737, ' 6': -2.383684, ' 5': -2.4830313}
{' 8': -1.897323, ' 4': -2.26405, ' 6': -2.3532777, ' 5': -2.430924, ' 7': -2.458793}
{' 8': -1.8942376, ' 4': -2.2625027, ' 6': -2.3578873, '\n': -2.4186678, ' 5': -2.4414024}
{' 8': -1.8925656, ' 4': -2.248185, ' 6': -2.3263931, ' 5': -2.4046018, ' 7': -2.4454095}
{' 4': -2.2677543, ' 5': -2.3994272, ' 6': -2.3031986, ' 7': -2.4350622, ' 8': -1.8820407}
{'\n': -2.2647974, ' 4': -2.293685, ' 5': -2.451127, ' 6': -2.3460999, ' 8': -1.8677778}
{'\n': -2.3160243, ' 4': -2.267055, ' 6': -2.360066, ' 7': -2.4397762, ' 8': -1.8988606}
{' 8': -1.8501246, ' 4': -2.2663512, ' 6': -2.3244567, ' 5': -2.4277318, ' 7': -2.433326}
{'\n': -2.2172942, ' 4': -2.2850351, ' 6': -2.389707, ' 7': -2.4507203, ' 8': -1.8946159}
{'\n': -2.3224208, ' 4': -2.2721689, ' 6': -2.3652208, ' 7': -2.4599082, ' 8': -1.9094617}
{' 8': -1.9597118, '\n': -1.9606178, ' 4': -2.328879, ' 6': -2.4452856, ' 7': -2.5156417}
{' 8': -1.8998977, '\n': -2.2114193, ' 4': -2.2872756, ' 6': -2.3850186, ' 5': -2.4660342}
{' 8': -1.8847255, ' 4': -2.2688189, ' 6': -2.346096, '\n': -2.374875, ' 7': -2.4388409}
{'\n': -2.1506186, ' 4': -2.3027916, ' 5': -2.4645042, ' 6': -2.3664885, ' 8': -1.892145}
{'\n': -1.9705234, ' 4': -2.3227391, ' 5': -2.5146842, ' 6': -2.4286761, ' 8': -1.957744}
{' 8': -1.8969201, ' 4': -2.300661, '\n': -2.35149, ' 6': -2.356206, ' 7': -2.473072}
{'\n': -2.232918, ' 4': -2.2884018, ' 5': -2.4668448, ' 6': -2.3725781, ' 8': -1.9224017}
{' 8': -1.9102712, ' 4': -2.271481, '\n': -2.3281016, ' 6': -2.357304, ' 5': -2.4433286}
{' 8': -1.9607497, '\n': -1.9811784, ' 4': -2.3240204, ' 6': -2.4241638, ' 5': -2.4963543}
{'\n': -2.1681778, ' 4': -2.3016121, ' 5': -2.460683, ' 6': -2.3781226, ' 8': -1.9193718}
{'\n': -2.3256154, ' 4': -2.2957256, ' 5': -2.4452302, ' 6': -2.354692, ' 8': -1.9297005}
{'\n': -2.3201487, ' 4': -2.2744887, ' 5': -2.4168227, ' 6': -2.3331769, ' 8': -1.8584281}
{' 8': -1.9316225, '\n': -2.0802717, ' 4': -2.300991, ' 6': -2.411595, ' 5': -2.4756362}
{' 4': -2.2429984, ' 5': -2.4263966, ' 6': -2.353347, ' 7': -2.43281, ' 8': -1.8798707}
{' 8': -1.9171149, ' 4': -2.2785652, ' 6': -2.3602035, '\n': -2.4290607, ' 5': -2.4381807}
{'\n': -2.4090447, ' 4': -2.2776132, ' 5': -2.4240155, ' 6': -2.3425784, ' 8': -1.8632005}
{'\n': -2.0921075, ' 4': -2.3050218, ' 5': -2.4864566, ' 6': -2.4266346, ' 8': -1.9534163}
{' 8': -1.888865, ' 4': -2.2646053, ' 6': -2.3517795, '\n': -2.3899992, ' 5': -2.42866}
{'\n': -2.4316978, ' 4': -2.2708368, ' 5': -2.4261925, ' 6': -2.3514931, ' 8': -1.9079019}
{' 8': -1.8747529, ' 4': -2.2497082, ' 6': -2.3173094, '\n': -2.380309, ' 5': -2.4154193}
{' 8': -1.9299338, '\n': -2.1594193, ' 4': -2.292492, ' 6': -2.3910675, ' 5': -2.4567947}
{' 4': -2.2466323, ' 5': -2.4051101, ' 6': -2.3177829, ' 7': -2.4355912, ' 8': -1.8731456}
{' 4': -2.2542598, ' 5': -2.3937767, ' 6': -2.3005385, ' 7': -2.4302824, ' 8': -1.869371}
{' 8': -1.8444694, ' 4': -2.2217908, ' 6': -2.2860255, ' 5': -2.382028, ' 7': -2.4307742}
{' 8': -1.9014391, ' 4': -2.2484698, ' 6': -2.3339257, '\n': -2.3516994, ' 5': -2.4098198}
{' 4': -2.206024, ' 5': -2.3608215, ' 6': -2.2580125, ' 7': -2.4109867, ' 8': -1.8252399}
{'\n': -2.2467656, ' 4': -2.2864156, ' 5': -2.4247603, ' 6': -2.3301718, ' 8': -1.9107383}
{' 8': -1.8831838, '\n': -2.2106755, ' 6': -2.323274, ' 4': -2.3281376, ' 5': -2.4699185}
{' 8': -1.947984, '\n': -2.106767, ' 4': -2.337451, ' 6': -2.4309168, ' 7': -2.47865}
{' 8': -1.8060796, ' 4': -2.259052, ' 6': -2.307924, ' 5': -2.4119995, ' 7': -2.418871}
{'\n': -2.308855, ' 4': -2.3100739, ' 5': -2.4687624, ' 6': -2.392974, ' 8': -1.9445229}
{' 4': -2.2630198, ' 5': -2.4466796, ' 6': -2.370083, ' 7': -2.431499, ' 8': -1.8874553}
{'\n': -2.2748218, ' 4': -2.2960827, ' 6': -2.4018452, ' 7': -2.4529812, ' 8': -1.9001602}
{' 8': -1.9203956, '\n': -2.2886426, ' 4': -2.2972696, ' 6': -2.4017892, ' 5': -2.466029}
{' 8': -1.969667, '\n': -2.2310777, ' 4': -2.3382573, ' 6': -2.4323783, ' 5': -2.4885173}
{' 8': -1.8758644, '\n': -2.2650132, ' 4': -2.2651713, ' 6': -2.3505566, ' 5': -2.428}
{' 8': -1.9282324, '\n': -2.2593195, ' 4': -2.2948258, ' 6': -2.418297, ' 5': -2.4719374}
{' 4': -2.2620738, ' 5': -2.413644, ' 6': -2.3275595, ' 7': -2.432807, ' 8': -1.8320771}
{'\n': -2.4134614, ' 4': -2.2917144, ' 5': -2.444314, ' 6': -2.3837154, ' 8': -1.9048278}
{'\n': -2.4421623, ' 4': -2.2794263, ' 5': -2.434735, ' 6': -2.372773, ' 8': -1.920591}
{'\n': -2.3248482, ' 4': -2.2836285, ' 5': -2.4498978, ' 6': -2.3937776, ' 8': -1.9259336}
{' 4': -2.2760966, ' 5': -2.4205163, ' 6': -2.3619604, ' 7': -2.4620554, ' 8': -1.9131842}
{'\n': -2.2697012, ' 4': -2.3136008, ' 5': -2.4612772, ' 6': -2.4044926, ' 8': -1.948168}
{'\n': -2.4177682, ' 4': -2.27021, ' 5': -2.4274223, ' 6': -2.3363302, ' 8': -1.8529489}
{'\n': -2.2940435, ' 4': -2.297475, ' 5': -2.4550161, ' 6': -2.4197428, ' 8': -1.9347736}
{' 4': -2.2639253, ' 5': -2.4280791, ' 6': -2.361858, ' 7': -2.4575925, ' 8': -1.8866258}
{' 8': -1.9211894, ' 4': -2.2934685, '\n': -2.3437414, ' 6': -2.4019833, ' 5': -2.450429}
{'\n': -2.3963819, ' 4': -2.2733684, ' 5': -2.4637065, ' 6': -2.400972, ' 8': -1.9226698}
{'\n': -2.3692281, ' 4': -2.2717998, ' 5': -2.449949, ' 6': -2.3792121, ' 8': -1.9013565}
{' 8': -1.9099784, ' 4': -2.2688901, ' 6': -2.381391, ' 5': -2.4482296, ' 7': -2.4625745}
{'\n': -2.3167982, ' 4': -2.2878816, ' 5': -2.449605, ' 6': -2.3927333, ' 8': -1.9216584}
{' 4': -2.255677, ' 5': -2.4068646, ' 6': -2.3182693, ' 7': -2.4461496, ' 8': -1.850475}
{'\n': -2.1622407, ' 4': -2.3031862, ' 5': -2.473215, ' 6': -2.413862, ' 8': -1.9669559}
{'\n': -2.3751063, ' 4': -2.264867, ' 5': -2.4445984, ' 6': -2.360451, ' 8': -1.890732}
{'\n': -2.1403332, ' 4': -2.3170319, ' 5': -2.4756784, ' 6': -2.4014413, ' 8': -1.9623508}
{' 8': -1.8373443, ' 4': -2.2595828, ' 6': -2.300894, ' 5': -2.385111, ' 7': -2.4517329}
{' 8': -1.9544739, '\n': -2.1288247, ' 4': -2.3074746, ' 6': -2.4065242, ' 5': -2.4661086}
{' 8': -1.897422, ' 4': -2.2597353, ' 6': -2.3349926, ' 5': -2.4073527, ' 7': -2.4410887}
{' 8': -1.9300748, ' 4': -2.295396, '\n': -2.3361533, ' 6': -2.3565218, ' 5': -2.4327776}
{'\n': -2.1186934, ' 4': -2.3112097, ' 5': -2.4689837, ' 6': -2.3627462, ' 8': -1.887973}
{' 8': -1.9746157, '\n': -2.0148816, ' 4': -2.3386197, ' 6': -2.427553, ' 5': -2.4912648}
{' 8': -1.9133599, '\n': -2.172932, ' 4': -2.295235, ' 6': -2.3689442, ' 5': -2.446789}
{'\n': -2.1104608, ' 4': -2.3296278, ' 6': -2.4263484, ' 7': -2.4930866, ' 8': -1.9711684}
{'\n': -2.2600372, ' 4': -2.2593293, ' 5': -2.4239984, ' 6': -2.3485923, ' 8': -1.8815665}
{'\n': -2.4200988, ' 4': -2.2601733, ' 5': -2.3967817, ' 6': -2.3198898, ' 8': -1.8580548}
{' 8': -1.8928554, ' 4': -2.2786624, '\n': -2.325587, ' 6': -2.3524044, ' 5': -2.4255874}
{' 8': -1.9281187, '\n': -2.137641, ' 4': -2.3012006, ' 6': -2.3800437, ' 5': -2.4489326}
{' 8': -1.861507, ' 4': -2.279055, ' 6': -2.299812, ' 5': -2.3909202, '\n': -2.4208398}
