{' Odd': -5.3440533, ':': -6.4328976, ' 1': -4.820511, ' odd': -0.07137524, ' even': -2.9387343}
{'\n': -7.163394, ' ': -7.160873, ' 1': -0.81506497, ' odd': -0.5957999, ' 0': -6.5889034}
{' ': -7.455216, ':': -6.3688984, ' Even': -7.3955326, ' 0': -5.6676116, ' even': -0.0075762854}
{' Odd': -5.9857345, ':': -6.3226914, ' 1': -1.1734084, ' odd': -0.39978006, ' even': -4.4085503}
{'\n': -8.152163, ' ': -8.496051, ':': -8.3118105, ' odd': -8.250942, ' even': -0.0017066395}
{' Odd': -6.104928, ' ': -7.4576893, ':': -7.905972, ' 1': -4.305887, ' odd': -0.018525947}
{' even': -0.12772295, ':': -2.88688, '\n': -3.6558075, ' ': -3.8792706, ' 0': -4.704482}
{'\n': -6.039677, ' Odd': -5.286813, ' ': -6.089164, ' 1': -2.9682872, ' odd': -0.06690704}
{'\n': -5.3315797, ' ': -5.0780215, ':': -4.656733, ' 0': -3.6607864, ' even': -0.058247317}
{' Odd': -4.2095847, ' ': -6.632849, ':': -5.4224515, ' 1': -2.386957, ' odd': -0.12516956}
{'\n': -8.591392, ' ': -8.798154, ':': -9.546065, ' Even': -7.7011986, ' even': -0.0011024105}
{'\n': -6.7517743, ' Odd': -6.4528866, ':': -6.8107243, ' 1': -4.1048694, ' odd': -0.02239528}
{'\n': -7.6613145, ' ': -7.98994, ':': -6.8625007, ' Even': -5.6273623, ' even': -0.0067590526}
{'\n': -6.4626017, ' Odd': -3.378709, ':': -6.299914, ' odd': -0.04232931, ' even': -6.135701}
{' even': -0.36286134, ':': -2.251266, ' ': -2.3076406, '\n': -2.8299909, ' 0': -4.173145}
{' odd': -0.017891994, ' 1': -4.7173357, ' Odd': -5.430442, ' ': -6.8799586, ' even': -6.99908}
{'\n': -9.371704, ' ': -9.4835825, ':': -9.282258, ' Even': -7.081988, ' even': -0.0012482562}
{' odd': -0.008182436, ' 1': -5.64763, ' Odd': -6.115916, ' ': -6.7485347, 'odd': -7.836681}
{'\n': -9.149053, ' ': -9.298684, ':': -8.466377, ' Even': -5.43551, ' even': -0.0049547693}
{' odd': -0.054720797, ' 1': -3.167603, ' Odd': -4.988773, ' ': -6.5059786, '\n': -7.0502877}
{'\n': -7.159648, ':': -6.5519757, ' Even': -7.696482, ' 0': -5.451799, ' even': -0.007853293}
{' odd': -0.5815375, ' 1': -0.8412306, ' Odd': -5.7053914, ' even': -6.2704544, ' 0': -6.6213036}
{'\n': -8.248224, ' ': -8.412252, ':': -8.1911745, ' Even': -7.1154613, ' even': -0.0019792365}
{' odd': -0.1326545, ' 1': -2.1307566, ' Odd': -6.2032394, ' ': -6.6763096, '\n': -7.383541}
{' even': -0.0017888587, ' odd': -7.4110084, ':': -8.19281, ' EVEN': -8.244792, ' ': -8.367521}
{'\n': -7.3660254, ' Odd': -6.7337995, ' ': -7.5122156, ' 1': -7.698212, ' odd': -0.0037954547}
{' even': -0.00460896, '\n': -6.7332387, ' Even': -6.8295226, ':': -6.945437, ' ': -7.7279477}
{' Odd': -5.598376, ' ': -7.955025, ':': -8.142983, ' 1': -3.865549, ' odd': -0.026348509}
{' ': -8.114369, ':': -7.2476563, ' Even': -6.2976546, ' 0': -7.5486917, ' even': -0.0043218737}
{'\n': -7.7629323, ' Odd': -5.750422, ' ': -6.694077, ' 1': -6.8500566, ' odd': -0.006663344}
{' ': -5.2084413, ':': -4.7192087, ' 0': -0.09791756, ' zero': -3.9885578, ' even': -2.9607484}
{' Odd': -5.207335, ' ': -7.3038073, ':': -7.7114925, ' 1': -2.5440068, ' odd': -0.09025049}
{' ': -7.615383, ':': -7.935739, ' Even': -7.4712486, ' 0': -5.333271, ' even': -0.006868693}
{' Odd': -5.4274635, ' ': -8.545815, ' 1': -7.126906, ' odd': -0.007351095, ' even': -6.4720592}
{'\n': -9.900592, ' ': -10.237379, ' Even': -6.626838, ' EVEN': -9.569287, ' even': -0.0015582192}
{'\n': -6.278463, ' Odd': -4.9840508, ' ': -7.111597, ' 1': -3.3702385, ' odd': -0.047179673}
{' ': -9.656016, ':': -10.110628, ' Even': -9.245151, ' EVEN': -10.567558, ' even': -0.00030201545}
{' odd': -0.010973563, ' Odd': -4.6119046, ' 1': -8.082193, ' ': -8.554578, 'odd': -8.976452}
{'\n': -9.235686, ':': -7.6636977, ' Even': -7.3377934, ' EVEN': -9.276055, ' even': -0.001432684}
{' Odd': -4.543321, ' 1': -5.651301, ' "': -7.6945486, ' odd': -0.016638273, ' even': -7.8078723}
{' even': -0.0023452875, ' Even': -6.450912, ':': -8.207751, ' EVEN': -8.463842, ' odd': -10.075572}
{' odd': -0.009687967, ' 1': -5.617407, ' Odd': -5.6239543, ' even': -7.0138626, ' an': -7.8847976}
{'\n': -9.939336, ':': -10.149105, ' an': -9.313503, ' Even': -6.975835, ' even': -0.0011968153}
{' odd': -0.019088548, ' Odd': -4.381565, ' even': -5.4832406, ' 1': -7.1654186, ':': -8.009985}
{':': -7.7348137, ' Even': -7.562431, ' odd': -7.974963, ' 0': -7.6427217, ' even': -0.002653859}
{'\n': -5.5659003, ' Odd': -3.5134506, ' 1': -7.0152225, ' odd': -0.038709864, ' even': -6.424218}
{' ': -9.838704, ':': -9.124998, ' Even': -7.8398857, ' EVEN': -9.791331, ' even': -0.00071987836}
{' Odd': -3.7306635, ':': -8.169942, 'odd': -8.360171, ' odd': -0.028107041, ' even': -6.16388}
{' ': -10.32836, ':': -9.995766, ' Even': -8.958238, ' EVEN': -10.1118, ' even': -0.00034309734}
{' Odd': -5.0564322, ':': -3.8989952, ' 1': -5.115305, ' odd': -0.41897085, ' even': -1.1894711}
{':': -5.668843, ' 1': -5.694838, ' odd': -5.0382786, ' 0': -3.8530605, ' even': -0.037976183}
{' Odd': -6.4184847, ':': -7.249576, ' 1': -1.3910563, ' odd': -0.29472387, ' 0': -7.132639}
{' even': -0.040806323, ' 0': -3.808183, ':': -5.0391774, ' ': -5.3965015, '\n': -5.9428234}
{' Odd': -6.227672, ' ': -5.878077, ':': -6.2829614, ' 1': -0.47186562, ' odd': -1.0083246}
{' ': -8.29166, ':': -8.489261, ' Even': -7.6140995, ' EVEN': -8.996875, ' even': -0.0013353939}
{'\n': -7.668296, ' Odd': -6.717822, ' ': -7.4695253, ' odd': -0.004831921, ' even': -6.610693}
{' even': -0.06045783, ':': -3.8339884, ' ': -3.8473842, '\n': -4.693768, ' 0': -6.7614517}
{' odd': -0.039413888, ' 1': -3.857157, ' Odd': -4.8763375, ':': -6.1103134, ' even': -6.222831}
{' even': -0.010652055, ':': -5.7300944, ' Even': -6.2553873, ' 0': -6.542974, '\n': -6.6408052}
{' 11': -7.0026994, ' Odd': -6.0164204, ':': -7.079972, ' 1': -4.0961633, ' odd': -0.025791842}
{' ': -8.442455, ':': -8.897294, ' Even': -8.776914, ' 0': -8.217317, ' even': -0.0010904784}
{' odd': -0.08526989, ' 1': -2.6321104, ' Odd': -5.537272, ':': -6.3396835, '\n': -7.0207424}
{'\n': -8.146294, ' ': -7.4818926, ':': -8.559874, ' 0': -7.266868, ' even': -0.0020529984}
{'\n': -5.981314, ' Odd': -3.8979766, ' ': -6.1306167, ' odd': -0.033663675, ' even': -5.6149583}
{'\n': -4.7228146, ' ': -3.4352608, ':': -3.7918024, ' 0': -4.0185623, ' even': -0.09577875}
{'\n': -6.821089, ' Odd': -4.0439343, ' 1': -6.6619697, ' odd': -0.02764413, ' even': -5.2675166}
{' even': -0.0035759583, ' Even': -5.9572177, '\n': -7.717056, ' odd': -8.948816, ' ': -9.018865}
{'\n': -7.8309426, ' Odd': -6.131065, ' ': -7.8638654, ' 1': -4.8101835, ' odd': -0.012756876}
{' even': -0.044867452, ' 0': -3.9985986, ':': -4.5221562, ' ': -4.943376, '\n': -5.370644}
{' Odd': -5.1404157, ' ': -7.9249268, ' 1': -6.4491386, 'odd': -8.150414, ' odd': -0.008902079}
{' even': -0.0015197748, ' Even': -7.7680793, ':': -8.247564, ' ': -8.60226, ' EVEN': -8.683254}
{' Odd': -5.312678, ' ': -6.8047476, ':': -7.075081, ' 1': -2.356848, ' odd': -0.110636055}
{' even': -0.0014364443, ' Even': -7.0528126, ':': -8.823123, '\n': -9.192778, ' EVEN': -9.261963}
{' odd': -0.14491022, ' 1': -2.045528, ' Odd': -6.1867814, ' ': -6.6202583, ':': -7.441841}
{'\n': -5.4606075, ' ': -5.3327637, ':': -4.9688964, ' odd': -6.958187, ' even': -0.020309644}
{'\n': -8.007941, ' Odd': -5.837271, ' ': -7.8531184, ' 1': -6.664138, ' odd': -0.005704292}
{'\n': -8.680649, ' ': -8.0382395, ':': -8.226293, ' Even': -6.6896415, ' even': -0.0024435145}
{' Odd': -5.0673585, ' ': -7.570087, ':': -7.927892, ' 1': -6.9337935, ' odd': -0.009282221}
{' ': -7.9520564, ':': -7.225376, ' Even': -6.3726015, ' 0': -7.399377, ' even': -0.00431487}
{' Odd': -4.3637233, ' ': -7.618152, ':': -7.2325377, 'odd': -7.9765177, ' odd': -0.015001104}
{'\n': -9.382345, ':': -7.47756, ' Even': -6.288924, ' EVEN': -7.7387342, ' even': -0.0032483828}
{' Odd': -5.4461017, ':': -7.80246, ' 1': -3.4842072, ' odd': -0.03805259, ' even': -7.5814247}
{' ': -9.859764, ':': -9.594041, ' Even': -7.8517294, ' odd': -8.787451, ' even': -0.0008051182}
{' Odd': -6.3629766, ' ': -8.97858, ' 1': -6.7608953, ' odd': -0.0077332263, ' even': -5.4182897}
{'\n': -8.726961, ' ': -8.889246, ' Even': -6.8565736, ' EVEN': -9.309587, ' even': -0.0016269339}
{'\n': -7.212884, ' Odd': -3.8503032, ':': -7.2916365, ' odd': -0.032577347, ' even': -4.845018}
{'\n': -8.5540495, ':': -8.099822, ' Even': -7.145618, ' 0': -7.8196726, ' even': -0.0022448031}
{' Odd': -5.828606, ' ': -8.050958, ' 1': -6.245093, 'odd': -8.508033, ' odd': -0.0056750397}
{' even': -0.0010644017, ' Even': -7.657257, ':': -8.542169, ' 0': -9.144206, '\n': -9.274038}
{' Odd': -4.801418, ' ': -7.8394785, ':': -7.9047804, ' 1': -6.0275908, ' odd': -0.012412763}
{':': -9.022968, ' Even': -6.29487, ' EVEN': -8.945361, ' odd': -9.978488, ' even': -0.002302929}
{'\n': -7.3394723, ' Odd': -7.1620955, ' ': -7.342708, ' 1': -6.2433305, ' odd': -0.0046712374}
{' even': -0.00066148496, ' Even': -7.667367, ' EVEN': -10.055984, ' ': -10.234511, ':': -10.482856}
{' Odd': -4.5453534, ':': -7.2941303, ' 1': -5.871351, ' odd': -0.01750056, ' even': -6.490145}
{' ': -8.647355, ':': -7.870585, ' Even': -8.4797945, ' 0': -8.527704, ' even': -0.001369832}
{' odd': -0.008325591, ' even': -5.7869005, ' Odd': -5.9665313, ' 1': -6.269259, '\n': -8.418168}
{'\n': -8.136092, ' ': -9.375894, ':': -9.404921, ' Even': -8.08859, ' even': -0.0008946017}
{' odd': -0.0057251533, ' Odd': -5.580487, ' even': -7.2876954, ' 1': -7.7103596, ':': -8.5101}
{' even': -0.001278276, ' Even': -7.6024604, ':': -8.319422, ' an': -8.904283, ' ': -9.229147}
{' Odd': -5.5058036, ':': -6.1824765, ' 1': -4.786616, ' odd': -0.07779588, ' even': -2.8609617}
{' ': -5.161336, ':': -3.2998474, ' 1': -5.5307302, ' 0': -1.9720649, ' even': -0.23080072}
{' odd': -0.02037753, ' 1': -4.774175, ' even': -5.447053, ' Odd': -5.724777, ':': -6.4071264}
{'\n': -6.349634, ' ': -6.1445627, ':': -5.5245113, ' 0': -4.9174156, ' even': -0.017654704}
{' Odd': -5.7942414, ':': -6.14688, ' 1': -0.8743303, ' odd': -0.5622633, ' 0': -6.1546407}
{'\n': -6.2523036, ' ': -5.5472407, ':': -5.54145, ' 0': -5.552428, ' even': -0.01739466}
{' Odd': -6.336996, ' ': -6.0895047, ' 1': -4.061464, ' odd': -0.02461591, ' even': -6.6656146}
{'\n': -3.9304705, ' ': -3.2444, ':': -0.97935027, ' 0': -2.0348768, ' even': -0.9521972}
{' odd': -0.015760202, ' 1': -4.4825397, ' Odd': -6.0771527, ' ': -7.4468656, ' even': -7.5428824}
{' even': -0.052971296, ':': -4.0920644, ' 0': -4.3972964, ' ': -4.846923, '\n': -5.182061}
{' odd': -0.034004383, ' 1': -4.0120373, ' Odd': -5.2622633, ' even': -5.516071, ':': -6.209413}
{' ': -9.709173, ':': -10.004332, ' Even': -7.761662, ' EVEN': -10.214081, ' even': -0.0006525368}
{' Odd': -4.9822097, ':': -6.742018, ' 1': -4.056936, ' odd': -0.02818098, ' even': -7.4476237}
{'\n': -5.1848984, ' ': -4.1402736, ':': -4.5071177, ' 0': -2.16793, ' even': -0.16746368}
{' odd': -0.051898684, ' Odd': -3.4448125, ' even': -4.6829324, ':': -6.1222835, ' 1': -6.124666}
{'\n': -4.336779, ' ': -3.565652, ':': -2.4700959, ' 0': -3.3665416, ' even': -0.1903412}
{' Odd': -5.1027765, ':': -8.032579, ' 1': -4.7765675, ' odd': -0.022656925, ' even': -5.126331}
{'\n': -7.424336, ' ': -6.04665, ':': -8.000286, ' Even': -7.7733607, ' even': -0.004475194}
{'\n': -6.4978743, ' Odd': -5.076759, ' ': -7.366489, ' 1': -6.7339096, ' odd': -0.010640848}
{'\n': -7.076916, ' ': -7.6658745, ':': -5.962406, ' Even': -4.727968, ' even': -0.013622291}
{' odd': -0.06914722, ' 1': -3.2093916, ' Odd': -4.368902, ':': -5.2097406, ' even': -6.278533}
{' even': -0.032551054, ' 0': -3.684191, ':': -6.566668, ' odd': -6.6674953, ' ': -6.8852615}
{' odd': -0.012388746, ' 1': -5.083885, ' Odd': -5.579962, '\n': -7.328456, ' ': -7.6993017}
{' ': -5.6970177, ':': -6.27731, ' Even': -6.383668, ' 0': -6.2113786, ' even': -0.0117671145}
{' odd': -0.014771393, ' 1': -4.6321115, ' even': -6.204223, ' Odd': -6.2133036, ' ': -8.254823}
{':': -9.651845, ' Even': -9.286825, ' EVEN': -9.523837, ' odd': -8.653656, ' even': -0.0005838295}
{'\n': -7.6483994, ' Odd': -5.386755, ' 1': -7.851924, ' odd': -0.006631361, ' even': -7.437543}
{'\n': -6.781308, ' ': -6.256045, ':': -7.294113, ' Even': -6.9431224, ' even': -0.005991355}
{' Odd': -4.987079, ':': -8.854522, ' 1': -5.2030773, ' odd': -0.014703342, ' even': -6.4803276}
{' ': -8.31313, ':': -7.544586, ' Even': -6.144474, ' odd': -8.210569, ' even': -0.0035782899}
{' Odd': -5.258729, ' ': -7.800321, ' 1': -6.4099984, 'odd': -8.532305, ' odd': -0.007928268}
{'\n': -3.8610835, ':': -1.7702068, ' Even': -4.844743, ' 0': -2.9028568, ' even': -0.33344114}
{' odd': -0.017532649, ' Odd': -4.7117696, ' 1': -5.297396, ':': -6.768291, '\n': -7.630701}
{' even': -0.0024336558, ' 0': -7.3265, ' odd': -7.616176, ' Even': -7.658422, ' ': -8.25112}
{'\n': -8.981963, ' Odd': -5.823654, ' 1': -8.322116, ' odd': -0.0049500368, ' even': -6.644256}
{'\n': -10.092763, ' ': -10.42537, ' Even': -8.387182, ' EVEN': -10.014834, ' even': -0.0004009333}
{' odd': -0.04648716, ' 1': -3.6837933, ' Odd': -4.017627, ' even': -7.0826073, '\n': -7.7115617}
{'\n': -7.7973404, ' ': -6.646778, ':': -8.3057785, ' Even': -8.455813, ' even': -0.0029421374}
{' odd': -0.013489614, ' Odd': -4.502259, ' 1': -7.2204566, ':': -7.471162, '\n': -7.9982443}
{'\n': -10.175002, ':': -8.780152, ' Even': -6.3584375, ' EVEN': -9.251115, ' even': -0.0021154769}
{' odd': -0.011453669, ' 1': -5.100524, ' Odd': -5.591027, ' ': -7.709581, '\n': -8.073712}
{' even': -0.003150618, ' 0': -6.627976, ' Even': -6.960896, ':': -7.743341, '\n': -9.009754}
{' odd': -0.011530726, ' Odd': -4.919732, ' 1': -6.446649, '\n': -7.001997, ' ': -7.4524674}
{'\n': -5.984887, ':': -6.0690484, ' Even': -5.418303, ' 0': -3.7000008, ' even': -0.039060608}
{' Odd': -3.7871273, ':': -6.364379, ' 1': -6.8419733, ' odd': -0.030545222, ' even': -5.8377423}
{'\n': -9.006325, ' ': -9.9681225, ':': -9.860698, ' Even': -8.638272, ' even': -0.00050111365}
{' odd': -0.008088875, ' Odd': -5.215751, ' 1': -6.9742937, '\n': -7.604148, ' even': -7.9146013}
{' even': -0.0011657234, ' Even': -7.5562897, ':': -7.991613, ' ': -9.141453, '\n': -10.296978}
{' Odd': -5.615709, ' ': -8.433576, ' 1': -6.051732, ' odd': -0.007562292, ' even': -7.3410964}
{'\n': -8.274142, ' ': -7.0134735, ':': -8.406666, ' 0': -7.5566473, ' even': -0.0026476434}
{':': -6.7702336, ' 1': -4.834828, ' odd': -0.021688277, ' 0': -5.311051, ' even': -5.880098}
{'\n': -7.4128704, ':': -5.191567, ' odd': -7.3486423, ' 0': -5.3686385, ' even': -0.01349493}
{' odd': -0.547378, ' 1': -0.88765097, ' 0': -6.078864, ' Odd': -6.186028, ' ': -6.5298457}
{' even': -0.02206953, '\n': -4.8448043, ' ': -5.50806, ' 0': -5.6654897, ':': -5.762835}
{' odd': -0.025786154, ' 1': -4.038565, ' even': -5.4132895, ' Odd': -6.435471, ':': -7.2680807}
{' even': -0.002091224, ' 0': -7.7904944, ' Even': -7.805333, ':': -8.08031, ' odd': -8.254921}
{' odd': -0.014414013, ' 1': -5.000043, ' Odd': -5.853372, ' ': -6.64947, '\n': -6.9825897}
{' even': -0.116391815, ':': -2.8190637, ' ': -3.917544, ' 0': -4.703934, '\n': -4.897081}
{' odd': -0.5833134, ' 1': -0.8822331, ' even': -4.371257, ' Odd': -5.4622664, ':': -5.931515}
{' even': -0.049005598, ':': -3.901934, '\n': -4.8373938, ' ': -4.9388494, ' 0': -5.230624}
{' Odd': -5.2714977, ':': -5.610437, ' 1': -1.4228647, ' odd': -0.30487245, ' even': -5.730753}
{' even': -0.0006432329, ' Even': -8.775757, '\n': -8.936738, ' ': -9.305921, ' 0': -9.549271}
{' Odd': -5.7661653, ' ': -8.451768, ':': -7.100259, ' 1': -6.7713556, ' odd': -0.0061636413}
{' even': -0.0002850831, ' ': -9.296993, '\n': -10.010542, ' Even': -10.23104, ':': -10.301683}
{' odd': -0.024770726, ' Odd': -4.2393723, ' 1': -6.1473804, ':': -6.209046, ' even': -6.3854795}
{'\n': -5.9092274, ' ': -4.109744, ':': -4.5503855, ' 0': -3.209384, ' even': -0.07918085}
{'\n': -8.221872, ' Odd': -4.8118596, ' 1': -7.583904, ' odd': -0.011141529, ' even': -6.6305633}
{'\n': -8.869513, ' ': -8.819018, ':': -8.993062, ' Even': -8.237126, ' even': -0.0008208669}
{'\n': -6.548409, ' Odd': -6.1360483, ' ': -6.4800115, ' 1': -2.386581, ' odd': -0.10600042}
{':': -9.098362, ' Even': -8.643987, ' EVEN': -9.604901, ' 0': -9.478604, ' even': -0.00062051}
{' Odd': -6.2539687, ' ': -8.097242, ':': -8.034715, ' 1': -4.509865, ' odd': -0.014492386}
{'\n': -7.9468064, ' ': -8.506839, ':': -8.861777, ' Even': -8.338637, ' even': -0.0013024472}
{' Odd': -5.7346754, ':': -8.4660015, ' 1': -6.1630216, 'odd': -8.363951, ' odd': -0.0065142466}
{'\n': -6.2377515, ' ': -4.667637, ':': -5.7309074, ' 0': -4.8800526, ' even': -0.026309956}
{'\n': -7.1877465, ' Odd': -5.2930737, ' ': -6.627974, ' 1': -5.571182, ' odd': -0.012843992}
{' even': -0.0014128062, ' odd': -7.3872538, ' EVEN': -7.9734383, ' Even': -8.436685, ':': -9.559161}
{' Odd': -5.568479, ':': -7.5710697, ' 1': -6.8570833, ' odd': -0.006983629, ' even': -7.3834887}
{' even': -0.0012209846, ' Even': -7.305066, ':': -9.095255, '\n': -9.123362, ' ': -9.270427}
{'\n': -7.533351, ' Odd': -4.3048706, ':': -7.3863826, ' 1': -5.5994096, ' odd': -0.019598398}
{' even': -0.004166601, ' Even': -6.3016863, ':': -6.726358, ' odd': -8.306749, '\n': -8.387508}
{' Odd': -3.9178538, ' ': -8.214836, ':': -7.5500984, ' 1': -6.9808435, ' odd': -0.022563465}
{'\n': -5.306914, ':': -4.1412563, ' 0': -0.124754734, ' zero': -4.484983, ' even': -2.59928}
{'\n': -6.4533467, ' Odd': -5.0404716, ':': -6.3148026, ' 1': -2.863698, ' odd': -0.071515314}
{' even': -0.0023063964, ' 0': -6.741865, ' Even': -8.162776, ' odd': -8.307157, ' ': -8.516725}
{'\n': -7.410143, ' Odd': -5.3761744, ' 1': -7.243213, ' odd': -0.008042067, ' even': -6.898493}
{' even': -0.0045560277, ' Even': -6.8569107, ' ': -6.8596497, '\n': -7.1109953, ' 0': -7.272765}
{' Odd': -4.2345743, ':': -7.3281384, ' 1': -3.7320862, ' odd': -0.042230576, ' even': -6.7604213}
{'\n': -8.309042, ' ': -7.2773056, ':': -8.128455, ' Even': -8.33914, ' even': -0.0019105001}
{' odd': -0.019374615, ' 1': -4.1273227, ' Odd': -6.2323956, ' ': -7.7348857, ' even': -8.5904455}
{'\n': -9.083564, ':': -6.953169, ' Even': -7.059537, ' EVEN': -8.854818, ' even': -0.0022593795}
{' odd': -0.006589723, ' Odd': -5.54561, ' 1': -7.1540422, ' ': -7.489973, '\n': -7.5577836}
{'\n': -8.47616, ' Even': -6.993155, ' odd': -9.186778, ' 0': -8.874743, ' even': -0.0017334473}
{'\n': -7.140194, ' Odd': -5.3544507, ' ': -6.7049036, ' 1': -3.490329, ' odd': -0.039425235}
{' even': -0.0025250765, ' Even': -6.2787952, ':': -8.622203, '\n': -8.875631, ' EVEN': -9.461799}
{'\n': -6.336713, ' Odd': -4.4021177, ' 1': -7.578344, ' odd': -0.01793963, ' even': -6.164682}
