{' odd': -0.06409018, ' even': -3.2766557, ' Odd': -4.7831583, ' 1': -4.8719087, ' 0': -6.153645}
{'\n': -6.230099, ' ': -5.9859614, ':': -6.5933027, ' 0': -2.9791307, ' even': -0.064621896}
{'\n': -5.64227, ' ': -5.588215, ' 1': -1.4685984, ' odd': -0.39041913, ' even': -2.6477213}
{' ': -6.7974195, ' an': -6.859419, ' odd': -7.3240952, ' 0': -6.1443987, ' even': -0.0068632327}
{' Odd': -6.104216, ' ': -6.741096, ' 1': -5.352503, ' odd': -0.015319773, ' even': -5.2811995}
{' even': -0.005224481, ' ': -6.6585608, ' 0': -6.7086277, ':': -7.0485983, ' an': -7.9182844}
{' ': -5.624067, ' 1': -2.0054436, ' odd': -0.25066757, ' 0': -5.8349524, ' even': -2.6315594}
{' odd': -0.11311102, ' even': -2.423057, ' Odd': -5.289935, ' 1': -5.4338326, ' ': -6.3041105}
{' even': -0.037661783, ' 0': -3.8459918, ' odd': -5.4725323, ' 1': -6.2673125, ':': -6.3737493}
{'\n': -6.4792123, ' Odd': -5.9778767, ' 1': -2.6019404, ' odd': -0.10124987, ' even': -4.3738537}
{'\n': -5.5409884, ' ': -5.1447864, ' 0': -1.763101, ' zero': -6.0889745, ' even': -0.21233897}
{' ': -5.213124, ' 1': -1.1604506, ' odd': -0.6102691, ' 0': -5.2288976, ' even': -2.1412864}
{' ': -6.4239874, ' an': -7.1784735, ' odd': -7.458844, ' 0': -4.7875166, ' even': -0.014498614}
{' odd': -0.01412404, ' even': -5.232872, ' 1': -5.3866878, ' Odd': -6.679673, ' ': -6.980654}
{' even': -0.005430737, ':': -6.6464586, ' ': -6.8791704, ' an': -6.9769106, ' Even': -7.588103}
{' Odd': -6.035781, ' 1': -2.7289114, ' odd': -0.20228773, ' 0': -5.6218476, ' even': -2.2678413}
{' Odd': -4.646478, ':': -6.7247424, ' 1': -5.513615, ' odd': -0.039202426, ' even': -3.927689}
{':': -5.483423, ' 1': -4.905006, ' odd': -4.6018043, ' 0': -3.6473134, ' even': -0.059958804}
{' odd': -0.08392669, ' 1': -3.1177542, ' even': -3.6235003, ' Odd': -6.033958, ' 0': -6.166983}
{' even': -0.032134272, ' 0': -3.7056234, ' ': -6.7836094, ':': -7.0893407, ' odd': -7.281472}
{' odd': -0.5867498, ' 1': -1.0115373, ' even': -2.8299098, ' ': -5.440804, '\n': -5.611217}
{':': -7.249746, ' an': -7.420078, ' Even': -7.338894, ' 0': -6.4686894, ' even': -0.005228075}
{' Odd': -6.2996316, ' ': -7.503529, ' 1': -5.2662845, ' odd': -0.02270485, ' even': -4.356197}
{':': -7.3691278, ' an': -6.419357, ' Even': -7.369989, ' odd': -7.3965163, ' even': -0.005608803}
{' Odd': -5.6449833, ' 1': -3.3419547, ' odd': -0.14634971, ' 0': -6.149319, ' even': -2.4211996}
{' Odd': -5.2547154, ' 1': -5.524916, ' "': -6.582984, ' odd': -0.044642925, ' even': -3.5905535}
{' even': -0.048982125, ' 0': -3.6893756, ' odd': -5.397451, ':': -5.7216053, ' ': -5.758888}
{' odd': -0.07189696, ' 1': -3.1472435, ' even': -4.207792, ' Odd': -5.8062572, ' 0': -6.0776343}
{'\n': -6.647193, ' ': -6.15457, ':': -6.5552626, ' 0': -3.2939434, ' even': -0.048696466}
{' Odd': -5.3466444, ' 1': -2.8263195, ' odd': -0.16038032, ' 0': -6.0315413, ' even': -2.5775049}
{' ': -6.719516, ' an': -7.370535, ' odd': -6.9034424, ' 0': -5.8880854, ' even': -0.0077443398}
{' odd': -0.024038784, ' even': -4.330564, ' 1': -5.2079134, ' Odd': -6.541398, ' ': -6.591438}
{' even': -0.006002625, ' an': -6.4492316, ' Even': -7.1056266, ':': -7.2511344, ' ': -7.2551246}
{' odd': -0.40326348, ' 1': -1.263182, ' even': -3.4662802, ' ': -5.227016, '\n': -5.5726714}
{' odd': -0.04481639, ' even': -3.7231095, ' 1': -5.039736, ' Odd': -5.081176, ' 0': -6.146473}
{':': -5.8928347, ' 1': -5.364904, ' odd': -5.3388658, ' 0': -3.6834416, ' even': -0.050016027}
{' Odd': -5.259097, ' 1': -3.7714977, ' odd': -0.06077302, ' 0': -5.982301, ' even': -3.71926}
{' ': -7.0312552, ' an': -7.466052, ' Even': -7.3824244, ' 0': -3.9753134, ' even': -0.024542425}
{' Odd': -5.3197646, ' ': -5.027593, ' 1': -1.8220947, ' odd': -0.39110726, ' even': -2.024552}
{' even': -0.007841835, ' 0': -5.79554, ' ': -6.76805, ' an': -6.942073, ' Even': -7.380469}
{'\n': -7.010068, ' ': -7.034823, ' 1': -4.910534, ' odd': -0.023385175, ' even': -4.448826}
{' even': -0.0054461393, ' ': -6.708343, ' 0': -7.044776, ' an': -7.2546453, ':': -7.5289803}
{' odd': -0.16453679, ' 1': -2.2686763, ' even': -3.557011, ' Odd': -4.9503145, ' ': -5.781727}
{' odd': -0.04162218, ' even': -3.7286987, ' Odd': -5.009472, ' 1': -5.9502926, ' "': -6.502773}
{'\n': -5.679353, ' 1': -4.78497, ' odd': -4.869634, ' 0': -3.4133296, ' even': -0.066790424}
{' odd': -0.087547265, ' 1': -2.8650863, ' even': -4.1318297, ' Odd': -5.5239387, ':': -6.620001}
{'\n': -7.4155426, ' ': -6.8815465, ' odd': -7.476642, ' 0': -4.040206, ' even': -0.023753703}
{' odd': -0.32452625, ' 1': -1.6622251, ' even': -2.9030077, ' Odd': -4.9877214, ' 0': -5.0681977}
{' even': -0.005116456, ' Even': -6.6842833, ' 0': -6.8625665, ' an': -6.9440355, ' odd': -7.6556387}
{' Odd': -7.055892, ' ': -7.2675686, ' 1': -5.189736, ' odd': -0.015169807, ' even': -5.0564885}
{' ': -6.348237, ':': -6.6662264, ' an': -7.645034, ' 0': -6.5803404, ' even': -0.006990592}
{' Odd': -4.9335613, ' 1': -2.2863712, ' odd': -0.22673145, ' 0': -5.751941, ' even': -2.5009768}
{' Odd': -5.389538, ':': -6.762843, ' 1': -5.904386, ' odd': -0.052356143, ' even': -3.244117}
{' even': -0.044496965, ' 0': -3.8568661, ' 1': -5.3541756, ' odd': -5.6226344, ' ': -5.8093734}
{' Odd': -6.9181743, ' 1': -3.1352813, ' odd': -0.05854096, ' 0': -7.3274994, ' even': -4.7573514}
{' ': -6.704252, ':': -5.8739758, ' Even': -6.8369727, ' 0': -3.7057765, ' even': -0.034913383}
{' odd': -0.34954178, ' 1': -1.6942215, ' even': -2.529479, ' Odd': -5.1803617, ' ': -5.235921}
{' even': -0.0067696744, ' 0': -6.309519, ' odd': -6.7012043, ' an': -7.165708, ':': -7.382915}
{' odd': -0.00820936, ' even': -5.715215, ' 1': -5.9565907, ' Odd': -6.8266306, ' ': -8.199497}
{'\n': -6.994064, ' ': -5.9171505, ':': -6.9008574, ' 0': -6.3191147, ' even': -0.008786384}
{' Odd': -5.9913282, ' 1': -2.2899752, ' odd': -0.25249025, ' 0': -5.707575, ' even': -2.2486413}
{' Odd': -4.942062, ':': -6.7197585, ' 1': -5.8593907, ' odd': -0.04999804, ' even': -3.4235365}
{':': -6.0156426, ' 1': -5.449623, ' odd': -5.2348313, ' 0': -3.9398053, ' even': -0.04127942}
{' Odd': -5.5990977, ' 1': -3.260081, ' odd': -0.065963715, ' 0': -6.376323, ' even': -4.0697594}
{'\n': -7.412148, ' ': -6.8934855, ':': -7.261211, ' 0': -4.175053, ' even': -0.02031378}
{' odd': -0.65501153, ' 1': -1.03624, ' even': -2.3371615, '\n': -4.590655, ' ': -5.0134473}
{'\n': -7.3035235, ' ': -6.216991, ' an': -7.0726423, ' 0': -4.916462, ' even': -0.014307169}
{' odd': -0.0207934, ' even': -4.4751863, ' 1': -5.0869126, ' Odd': -6.919512, ' ': -7.703224}
{' ': -5.9439564, ':': -6.7115145, ' an': -7.4011397, ' 0': -5.905467, ' even': -0.010172934}
{' odd': -0.12512328, ' 1': -2.567777, ' even': -3.7616932, ' Odd': -4.5647416, ':': -5.7341332}
{' Odd': -4.7042723, ':': -6.343017, ' 1': -5.3619347, ' odd': -0.049970474, ' even': -3.6153152}
{':': -5.4388394, ' 1': -4.9516296, ' odd': -5.1528726, ' 0': -3.8286574, ' even': -0.052544147}
{' odd': -0.0755404, ' 1': -3.151282, ' even': -3.8551815, ' Odd': -6.0197177, ' 0': -6.230272}
{' even': -0.048346575, ' 0': -3.2694225, ':': -6.1164, ' ': -6.495619, '\n': -6.638063}
{'\n': -4.9895687, ' ': -5.165492, ' 1': -1.1100807, ' odd': -0.576851, ' even': -2.5053883}
{' ': -6.641496, ' an': -7.3425183, ' odd': -7.122368, ' 0': -4.87054, ' even': -0.013362267}
{' Odd': -7.070056, ' ': -6.877772, ' 1': -4.4975276, ' odd': -0.027396668, ' even': -4.462278}
{' ': -6.196301, ':': -7.3177023, ' an': -6.474255, ' 0': -6.442149, ' even': -0.008412681}
{' Odd': -6.1034613, ' 1': -2.456734, ' odd': -0.2254395, ' 0': -5.756548, ' even': -2.2866406}
{' odd': -0.067344, ' even': -3.0028162, ' 1': -5.1478148, ' Odd': -5.2067747, ':': -6.9413443}
{'\n': -6.240668, ':': -5.5966105, ' odd': -4.8528204, ' 0': -4.7780943, ' even': -0.03141804}
{'\n': -6.1046934, ' Odd': -5.961134, ' 1': -3.019782, ' odd': -0.06981893, ' even': -4.8492813}
{'\n': -5.5838475, ' ': -5.501372, ':': -6.610745, ' 0': -2.332482, ' even': -0.11881329}
{'\n': -5.1208725, ' 1': -1.2633711, ' odd': -0.50709975, ' 0': -5.22002, ' even': -2.469391}
{' ': -7.1108394, ' an': -7.36913, ' odd': -7.3668756, ' 0': -5.3787313, ' even': -0.00859801}
{' Odd': -5.9244623, ':': -7.511124, ' 1': -5.4410996, ' odd': -0.017237226, ' even': -4.9338775}
{'\n': -7.673243, ' ': -6.3590293, ':': -6.5024424, ' 0': -6.0312886, ' even': -0.008116815}
{'\n': -5.099792, ' ': -5.180769, ' 1': -1.4521662, ' odd': -0.4151378, ' even': -2.5071063}
{' Odd': -4.1869125, ' 1': -6.2665405, ' "': -6.429261, ' odd': -0.045141347, ' even': -3.933899}
{':': -5.77038, ' 1': -5.9660616, ' odd': -5.339797, ' 0': -4.4200406, ' even': -0.03439721}
{'\n': -5.693413, ' 1': -1.9516233, ' odd': -0.19349314, ' 0': -6.098535, ' even': -3.865242}
{'\n': -6.2650075, ' ': -5.777516, ':': -7.284787, ' 0': -3.1710305, ' even': -0.052810296}
{' odd': -0.4102092, ' 1': -1.6068453, ' even': -2.2166636, ' ': -5.0511923, '\n': -5.276477}
{' ': -6.794873, ' an': -7.0474873, ' odd': -6.986803, ' 0': -5.4239593, ' even': -0.010040774}
{' Odd': -6.2528205, ' ': -7.638992, ' 1': -5.3612022, ' odd': -0.02009975, ' even': -4.51036}
{' even': -0.009077997, ' 0': -6.0390196, ' ': -6.062054, ':': -6.7008, '\n': -7.3433723}
{' Odd': -5.5636244, ':': -5.9654207, ' 1': -1.9475129, ' odd': -0.23661551, ' even': -2.9248478}
{' Odd': -4.784394, ':': -6.2855096, ' 1': -5.570515, ' odd': -0.051920656, ' even': -3.505508}
{'\n': -5.1004543, ' 1': -4.8352313, ' odd': -4.8850493, ' 0': -3.8411386, ' even': -0.0573348}
{' Odd': -5.606419, ' 1': -2.4752848, ' odd': -0.11748818, ' 0': -6.4572687, ' even': -4.181102}
{' even': -0.043552566, ' 0': -3.3784332, ':': -6.145084, ' ': -6.4816866, ' odd': -6.9682293}
{'\n': -5.1624146, ' ': -5.0893764, ' 1': -1.0406908, ' odd': -0.60502654, ' even': -2.6173413}
{' even': -0.008538256, ' 0': -5.7088857, ' an': -6.7484746, ' ': -6.7869897, ' Even': -7.359322}
{'\n': -7.5657167, ' ': -7.1471243, ' 1': -4.1364098, ' odd': -0.026031807, ' even': -5.027416}
{' even': -0.0032758326, ' ': -7.116626, ' an': -7.694054, ':': -7.7208667, ' odd': -7.732208}
{' Odd': -4.7907243, ':': -5.509383, ' 1': -2.5564601, ' odd': -0.13628559, ' even': -3.4171455}
{' Odd': -5.141328, ' 1': -5.635462, ' odd': -0.051413693, ' 0': -7.0491242, ' even': -3.310787}
{' even': -0.03367859, ' 0': -4.315624, ' odd': -5.532349, ' ': -5.7902355, '\n': -5.8009315}
{' Odd': -5.1251183, ' 1': -3.6498737, ' odd': -0.07307648, ' 0': -5.963252, ' even': -3.4806528}
{'\n': -5.8533363, ' ': -5.9046035, ':': -6.284003, ' 0': -3.360489, ' even': -0.048527136}
{' odd': -0.3701345, ' 1': -1.4595451, ' even': -2.928358, '\n': -5.1108956, ' ': -5.184166}
{' ': -7.103362, ' an': -6.9170003, ' Even': -7.2319207, ' 0': -6.0304227, ' even': -0.007021625}
{' Odd': -6.7025323, ' ': -7.373086, ' 1': -5.1990423, ' odd': -0.014974664, ' even': -5.134945}
{' even': -0.009065008, ' ': -5.910238, ' 0': -6.109996, '\n': -6.8014326, ':': -7.03609}
{' odd': -0.1460021, ' 1': -2.6535065, ' even': -3.061926, ' Odd': -5.17889, ' ': -5.756818}
{' Odd': -4.479249, ':': -7.0921984, ' 1': -5.8344274, ' odd': -0.040204506, ' even': -3.9005113}
{' even': -0.053534817, ' 0': -3.635011, ' odd': -5.158048, ' 1': -5.3349657, ':': -5.9128637}
{' Odd': -5.6120777, ' 1': -2.5033162, ' odd': -0.11732799, ' 0': -6.213349, ' even': -4.021651}
{' even': -0.076899715, ' 0': -2.7426853, ' ': -6.4920425, ':': -6.7128863, ' odd': -7.0153666}
{' Odd': -5.6361785, ' 1': -2.4924374, ' odd': -0.1283837, ' 0': -6.276996, ' even': -3.5918102}
{' even': -0.0084335385, ' 0': -5.535145, ' odd': -6.635154, ':': -7.258436, ' ': -7.3777556}
{' Odd': -6.2632895, ' an': -8.006036, ' 1': -6.7234707, ' odd': -0.007760318, ' even': -5.7158365}
{' ': -7.018768, ':': -6.071703, ' an': -6.785018, ' Even': -6.9929047, ' even': -0.0075525013}
{' odd': -0.27530265, ' 1': -1.816549, ' even': -2.8506982, ' Odd': -4.921228, ':': -5.154405}
{' Odd': -5.2299843, ':': -6.4418745, ' 1': -5.6403832, ' odd': -0.082458556, ' even': -2.751091}
{':': -5.3216724, ' Even': -6.449411, ' odd': -4.624524, ' 0': -5.4092817, ' even': -0.029310476}
{' Odd': -5.7962246, ' 1': -3.207223, ' odd': -0.087917835, ' 0': -5.872249, ' even': -3.4092362}
{' even': -0.048293218, ' 0': -3.2457187, ' ': -6.585351, ':': -6.9639063, '\n': -7.1069055}
{'\n': -4.939423, ' ': -5.590734, ' 1': -0.9896112, ' odd': -0.58779013, ' even': -2.9599757}
{':': -7.193604, ' Even': -7.2895527, ' odd': -7.360987, ' 0': -6.3878646, ' even': -0.0058674198}
{' Odd': -6.63711, ' ': -6.9523883, ' 1': -5.1237555, ' odd': -0.024445426, ' even': -4.2776465}
{' even': -0.007997362, ':': -5.7912855, ' ': -6.934913, ' Even': -6.9667354, ' an': -7.276503}
{' odd': -0.119929194, ' even': -2.5461464, ' 1': -3.7939546, ' Odd': -5.191026, ' an': -6.370152}
{' odd': -0.21244825, ' even': -1.8237953, ':': -4.7349434, ' Odd': -4.9534616, ' 1': -5.0034065}
{' even': -0.038062498, ' 0': -3.9602005, ' ': -5.7821774, '\n': -5.890657, ' 1': -5.895368}
{' odd': -0.086200036, ' 1': -2.8581364, ' even': -4.0410233, ' Odd': -6.0709963, ' 0': -6.565737}
{' ': -6.581706, ':': -7.3121953, ' odd': -6.9308543, ' 0': -3.2777345, ' even': -0.04624929}
{' Odd': -5.1773124, ' 1': -3.040962, ' odd': -0.14910115, ' 0': -6.3842635, ' even': -2.5507944}
{' ': -7.3307643, ' an': -7.012384, ' odd': -6.9300447, ' 0': -6.002165, ' even': -0.0069568614}
{' Odd': -6.7340636, ' ': -7.000165, ' 1': -5.3833857, ' odd': -0.01765082, ' even': -4.7094307}
{':': -7.1968555, ' an': -6.6200705, ' Even': -7.2217407, ' 0': -7.1418877, ' even': -0.005809563}
{' odd': -0.11341214, ' 1': -2.9067461, ' even': -3.1836789, ' Odd': -5.4707155, ' 0': -6.1798058}
{' Odd': -4.57441, ':': -7.0325365, ' 1': -5.701664, ' odd': -0.044108994, ' even': -3.7261615}
{' even': -0.03763777, ' odd': -4.288294, ':': -5.06057, ' 0': -5.30665, ' Even': -6.408133}
{' Odd': -5.922855, ' 1': -2.5341089, ' odd': -0.10730732, ' 0': -6.1623034, ' even': -4.41114}
{' even': -0.06502726, ' 0': -2.9754953, ' ': -5.8182073, '\n': -6.1537232, ' zero': -6.7384315}
{' Odd': -5.80852, ' 1': -1.5838476, ' odd': -0.31416768, ' 0': -5.3327203, ' even': -3.0556476}
{' ': -6.780883, ' an': -7.152889, ' Even': -7.1123447, ' 0': -5.902493, ' even': -0.007912467}
{' odd': -0.02289779, ' even': -4.6818, ' 1': -4.73123, ' ': -6.7824697, '\n': -7.003092}
{' ': -6.5627317, ':': -6.721563, ' an': -7.454972, ' 0': -6.8271055, ' even': -0.0061597438}
{' odd': -0.17613097, ' 1': -2.2011514, ' even': -3.2497287, ' ': -5.9398336, ' Odd': -6.191329}
{' odd': -0.072298296, ' even': -2.9863157, ' 1': -4.7205195, ' Odd': -5.4301567, ' ': -6.758679}
{' even': -0.050147563, ' 0': -3.6977038, ' odd': -5.5980206, ' ': -5.7095256, ':': -5.7403073}
{' Odd': -5.8712397, ' 1': -3.3956115, ' odd': -0.07054137, ' 0': -6.300199, ' even': -3.751873}
{' even': -0.047422513, ' 0': -3.2926495, ':': -6.1166587, ' ': -6.5018015, '\n': -6.644564}
{' 1': -0.8763073, ' one': -5.3570294, ' odd': -0.751559, ' 0': -4.9160757, ' even': -2.5015037}
{' ': -7.262336, ' an': -7.4007716, ' odd': -7.0831223, ' 0': -6.3797417, ' even': -0.00532958}
{' odd': -0.01845351, ' even': -4.760329, ' 1': -5.19553, ' Odd': -6.298111, ' ': -7.445505}
{' even': -0.008111466, ':': -5.7748723, ' ': -6.912688, ' Even': -6.9724894, ' an': -7.279162}
{' Odd': -5.118449, ' 1': -2.511795, ' odd': -0.16844477, ' 0': -5.8346505, ' even': -2.8921547}
{' Odd': -5.0138264, ' 1': -5.4839664, ' "': -6.44911, ' odd': -0.05142436, ' even': -3.507312}
{':': -5.806796, ' 1': -5.4414563, ' odd': -4.947633, ' 0': -4.1796303, ' even': -0.039895047}
{' Odd': -5.6897345, ' 1': -2.890512, ' odd': -0.086416215, ' 0': -6.663448, ' even': -4.0974746}
{' even': -0.1035571, ' 0': -2.4005828, ':': -6.0382395, ' ': -6.7234774, ' zero': -7.259224}
{' odd': -0.77065194, ' 1': -0.9516478, ' even': -2.0960379, ' ': -5.117436, ' 0': -5.1374693}
{' even': -0.005790259, ' 0': -6.396159, ' an': -7.0397615, ' ': -7.047484, ' odd': -7.473181}
{' odd': -0.02746369, ' 1': -3.9735234, ' even': -5.6626086, '\n': -6.147919, ' ': -7.0591826}
{' even': -0.011076798, ' ': -5.98365, ' 0': -6.210033, ' an': -6.4528985, ':': -6.468815}
{' Odd': -5.9485083, ' 1': -2.6921678, ' odd': -0.18065104, ' 0': -5.889136, ' even': -2.4775221}
{' Odd': -5.533784, ':': -7.399584, ' 1': -5.678881, ' odd': -0.04099962, ' even': -3.535365}
{' even': -0.035395306, ' 0': -4.301102, ' odd': -5.1573195, ':': -5.786417, ' an': -5.970072}
{' odd': -0.14193833, ' 1': -2.220518, ' even': -4.1595488, ' 0': -5.793889, ' Odd': -7.0043945}
{' even': -0.025322845, ' 0': -4.073831, ' ': -5.9915237, ':': -7.025166, '\n': -7.042075}
{'\n': -5.557536, ' ': -5.678574, ' 1': -1.1117425, ' odd': -0.4805971, ' even': -3.3223813}
{':': -7.020099, ' an': -6.922979, ' odd': -7.098328, ' 0': -5.457009, ' even': -0.009529995}
{' odd': -0.017802494, ' 1': -5.015314, ' even': -5.310088, ' Odd': -5.550165, ':': -7.1890545}
{' ': -6.990213, ':': -7.7277865, ' an': -7.2109137, ' 0': -7.046575, ' even': -0.004630697}
{'\n': -6.038786, ' ': -5.7079716, ' 1': -1.7980427, ' odd': -0.24621065, ' even': -3.2236745}
{' Odd': -5.369919, ' ': -6.0839005, ' 1': -4.707534, ' odd': -0.13066575, ' even': -2.3243997}
{' even': -0.06480503, ' 0': -3.4714525, ' 1': -4.494898, ' odd': -5.4739146, '\n': -5.6332297}
{' Odd': -5.4150023, ' 1': -3.4289718, ' odd': -0.0673711, ' 0': -5.8827257, ' even': -3.8383365}
{' even': -0.099673636, ' 0': -2.5277092, ' ': -5.6841564, '\n': -5.7027884, ':': -6.477169}
{' odd': -0.3717804, ' 1': -1.4224815, ' even': -2.9442985, ' ': -5.6344757, ' Odd': -5.785329}
{' ': -6.756182, ' an': -7.114788, ' odd': -7.103643, ' 0': -5.697127, ' even': -0.008801176}
{' odd': -0.028140333, ' 1': -4.208729, ' even': -4.7029896, ' Odd': -6.844377, ' ': -7.309485}
{' even': -0.014767278, ' 0': -5.3373075, ' ': -5.5886235, '\n': -6.6769795, ':': -6.6840215}
{' Odd': -4.816085, ':': -5.695804, ' 1': -2.534016, ' odd': -0.14940576, ' even': -3.147342}
{' odd': -0.03397256, ' even': -4.3471503, ' Odd': -4.4923186, ' 1': -6.055781, ':': -6.407221}
{' ': -5.941317, ' 1': -6.0054164, ' odd': -5.6926694, ' 0': -3.7674892, ' even': -0.04328912}
{' Odd': -6.115442, ' 1': -2.4845572, ' odd': -0.13578993, ' 0': -5.7183266, ' even': -3.5002956}
{'\n': -7.5015016, ' ': -6.38984, ':': -7.0328054, ' 0': -3.5122519, ' even': -0.037441343}
{' Odd': -5.544313, ' 1': -1.4266171, ' odd': -0.4255816, ' 0': -5.250546, ' even': -2.4737287}
{' ': -6.628884, ' an': -7.1399903, ' Even': -7.1710176, ' 0': -5.86312, ' even': -0.0083819665}
{' Odd': -6.3721685, ' an': -8.051406, ' 1': -6.3997993, ' odd': -0.006706006, ' even': -6.108898}
{' even': -0.008270238, ':': -5.719984, ' ': -6.685129, ' 0': -7.3417506, ' Even': -7.3467445}
{' ': -6.1221414, ' 1': -1.7907239, ' odd': -0.31456462, ' 0': -5.5272965, ' even': -2.4180744}
{' Odd': -4.6575875, ' 1': -5.6883426, ' odd': -0.050870676, ' 0': -6.7345953, ' even': -3.4837644}
{' even': -0.04947909, ' 0': -3.61988, ' 1': -5.3635373, ' odd': -5.3940578, ' an': -6.17507}
{' odd': -0.04685063, ' 1': -3.7162602, ' even': -4.343641, ' Odd': -5.8332624, ' 0': -6.7535353}
{' ': -6.690717, ' Even': -7.3455195, ' odd': -7.19765, ' 0': -3.1468177, ' even': -0.05129799}
{' ': -5.2079134, ' 1': -1.271142, ' odd': -0.515853, ' 0': -5.1615496, ' even': -2.3357255}
{' an': -6.9068065, ' Even': -6.9406796, ' odd': -7.4792714, ' 0': -5.1177545, ' even': -0.010367206}
{' Odd': -6.5533137, ' ': -7.1149626, ' 1': -5.312248, ' odd': -0.014668804, ' even': -5.1694903}
{' even': -0.0072672158, ' ': -6.22587, ' 0': -6.5577626, ':': -6.8037305, ' an': -7.6603837}
{' ': -5.352906, ' 1': -1.3739301, ' odd': -0.37592718, ' 0': -5.6254883, ' even': -3.2376244}
{' Odd': -5.4119782, ' 1': -5.5451, ' "': -7.087763, ' odd': -0.042976905, ' even': -3.552442}
{' even': -0.05501497, ' 0': -3.528229, ' 1': -5.437497, ' odd': -5.5352707, ' ': -5.574583}
{' Odd': -5.888773, ' 1': -3.6961615, ' odd': -0.04624804, ' 0': -6.334313, ' even': -4.446193}
{' ': -6.553774, ':': -6.897704, ' odd': -7.006066, ' 0': -3.691857, ' even': -0.03204909}
{' odd': -0.5703482, ' 1': -1.0279477, ' even': -2.9497638, '\n': -4.857479, ' ': -5.173373}
{' even': -0.01859347, ' 0': -4.6742883, ' ': -5.9957533, ' odd': -6.670601, ' Even': -6.7982616}
{' odd': -0.0070180837, ' 1': -5.842727, ' even': -6.17445, ' Odd': -7.064011, ' ': -8.128122}
{' ': -6.9602423, ':': -7.50369, ' an': -6.645761, ' Even': -6.784023, ' even': -0.0057403212}
{'\n': -6.607756, ' ': -6.503825, ' 1': -2.4108558, ' odd': -0.16869415, ' even': -2.847816}
{' odd': -0.06749053, ' even': -3.096404, ' Odd': -5.0219097, ' 1': -5.5527515, ':': -6.3074474}
