['--', 'Screen', 'Screen', 'screen', 'screen', '-', 'Screen', '--', '--', 'Screen', 1]
['--', '--', 'Screen', '-', '--', 'screen', '--', '--', '-', '-', 42]
['screen', '--', 'Screen', '-', '-', 'screen', '--', 'screen', 'Screen', '--', 43]
['screen', '-', 'screen', 'Screen', '--', '--', '-', 'screen', 'screen', '-', 44]
['--', 'screen', 'screen', '--', 'Screen', '--', 'screen', 'Screen', 'Screen', 'Screen', 45]
['-', 'Screen', '-', '--', '--', 'screen', 'screen', '-', '-', 'Screen', 46]
['--', 'screen', '-', '--', 'screen', '--', '--', '-', '--', '--', 47]
['Screen', '--', '--', '--', '--', 'screen', '--', 'screen', '--', '--', 48]
['screen', '-', 'Screen', '-', 'Screen', '-', '-', '--', 'screen', '-', 49]
['Screen', '-', '--', 'Screen', 'screen', '--', 'screen', 'screen', 'screen', 'Screen', 50]
['screen', 'Screen', '--', '-', 'Screen', '-', '-', 'screen', '--', 'screen', 1]
['--', 'screen', '-', 'Screen', 'Screen', '--', 'Screen', 'Screen', '--', 'Screen', 2]
['Screen', 'screen', 'screen', 'screen', 'screen', '-', '--', 'Screen', '--', '-', 3]
['--', 'Screen', 'Screen', '-', '-', 'screen', '-', '--', 'screen', '--', 4]
['screen', 'screen', '-', '--', '-', '--', 'screen', 'Screen', 'Screen', 'Screen', 5]
['-', 'Screen', '--', '-', '--', '--', 'Screen', 'screen', '-', 'Screen', 6]
['-', 'screen', '-', '--', 'screen', 'screen', '-', '-', '--', 'screen', 7]
['--', 'Screen', 'screen', '--', '-', '-', '--', 'Screen', '--', '--', 8]
['-', '-', '-', 'screen', 'Screen', '-', '-', 'Screen', '-', 'Screen', 9]
['screen', 'screen', '--', '-', 'screen', 'Screen', '--', '-', '--', 'Screen', 10]
['-', '--', 'screen', 'screen', 'Screen', '--', '-', 'screen', 'Screen', 'Screen', 11]
['Screen', 'screen', 'Screen', 'screen', '--', '-', 'Screen', '-', 'Screen', 'screen', 12]
['Screen', '-', '-', '--', '--', 'Screen', 'screen', '-', 'Screen', '-', 13]
['screen', '--', '-', 'screen', 'screen', '--', 'screen', '--', 'Screen', 'Screen', 14]
['--', '--', '-', 'Screen', 'screen', 'screen', '--', '--', 'Screen', '--', 15]
['--', '-', '-', 'screen', 'screen', '-', 'screen', '-', 'Screen', 'screen', 16]
['--', '-', '-', '--', '--', 'Screen', '--', '-', '--', 'screen', 17]
['screen', '--', 'screen', '--', '--', 'Screen', 'screen', 'screen', '--', 'screen', 18]
['-', 'screen', 'Screen', '-', '-', '-', 'screen', 'screen', '-', 'screen', 19]
['Screen', '--', 'screen', '-', '--', '-', '-', '-', 'Screen', '-', 20]
['screen', '-', 'Screen', 'Screen', 'Screen', '-', '--', 'screen', '-', 'screen', 21]
['screen', 'screen', 'screen', '--', 'Screen', '-', '-', 'screen', '-', 'Screen', 22]
['-', 'screen', 'Screen', 'Screen', 'Screen', '-', 'screen', '-', 'Screen', 'screen', 23]
['-', '--', '-', '-', 'Screen', '--', 'Screen', '--', '--', '--', 24]
['Screen', '--', '-', 'screen', '--', 'screen', 'screen', '--', 'Screen', 'screen', 25]
['screen', '--', '--', '-', 'screen', '--', 'screen', 'Screen', '-', 'screen', 26]
['-', '--', '--', '--', 'screen', 'Screen', 'screen', 'screen', 'screen', '--', 27]
['screen', '-', '-', 'Screen', 'screen', 'screen', 'Screen', 'Screen', 'Screen', 'Screen', 28]
['-', '-', 'screen', '-', '-', '--', 'Screen', '--', '--', 'Screen', 29]
['--', '--', '--', 'screen', 'Screen', 'Screen', 'Screen', '--', '--', 'Screen', 30]
['--', '-', '--', '--', '-', 'Screen', '-', 'screen', 'Screen', 'Screen', 31]
['-', '--', '-', '-', 'screen', 'screen', '--', '--', 'screen', 'screen', 32]
['Screen', '-', '--', '--', 'screen', 'screen', 'screen', '--', 'screen', 'Screen', 33]
['-', '--', '-', '--', 'Screen', '--', '--', 'screen', '--', '-', 34]
['--', '-', '--', 'screen', 'screen', '--', 'screen', 'screen', 'screen', '-', 35]
['-', '-', 'screen', '-', 'screen', 'screen', 'screen', '--', '-', '--', 36]
['screen', '-', 'screen', 'Screen', '--', '--', 'Screen', '-', '--', 'screen', 37]
['--', 'screen', 'screen', '--', 'Screen', '--', 'screen', 'Screen', '--', 'Screen', 38]
['--', 'screen', '-', '-', '--', 'screen', '--', 'Screen', 'screen', '--', 39]
['Screen', '--', '--', 'screen', 'screen', '--', '--', '--', 'Screen', 'Screen', 40]
['--', '-', '-', 'screen', 'Screen', 'Screen', '-', '-', '--', 'Screen', 41]
['screen', 'Screen', '-', 'Screen', '-', 'screen', '-', 'Screen', '--', '-', 42]
['screen', 'screen', 'Screen', '--', '-', 'Screen', 'Screen', '-', 'screen', 'screen', 43]
['screen', 'Screen', 'screen', '-', '--', 'Screen', '--', 'screen', 'screen', 'Screen', 44]
['screen', '-', 'Screen', '-', '--', 'Screen', '-', 'Screen', 'screen', '--', 45]
['Screen', '--', 'Screen', '--', '--', '--', 'screen', 'screen', 'Screen', '-', 46]
['-', 'screen', '-', '--', '-', '--', '--', '-', '--', 'screen', 47]
['--', '-', '--', '-', 'screen', '--', 'screen', 'Screen', 'screen', '--', 48]
['screen', '--', '--', '-', '-', 'screen', '--', 'Screen', 'Screen', '-', 49]
['-', 'Screen', '--', 'Screen', '--', '-', '--', 'screen', 'Screen', '--', 50]
['screen', '-', '-', 'Screen', '--', '--', '--', '--', '-', '--', 1]
['Screen', '-', '-', '-', 'screen', 'screen', '--', '--', 'screen', '--', 2]
['screen', 'screen', '--', '-', 'Screen', 'screen', '-', 'screen', '--', '--', 3]
['-', '--', '--', 'Screen', 'screen', 'screen', 'screen', 'screen', '-', '--', 4]
['-', '-', '-', '--', 'Screen', '--', 'Screen', 'screen', 'screen', 'screen', 5]
['-', 'screen', 'screen', '--', '--', 'screen', 'Screen', 'screen', '-', '-', 6]
['-', 'Screen', 'Screen', '--', 'screen', 'screen', 'Screen', 'Screen', '--', '--', 7]
['screen', 'Screen', '-', 'screen', '--', '-', '--', '-', '--', '--', 8]
['screen', 'screen', '--', 'Screen', '--', 'Screen', 'screen', 'screen', '--', 'screen', 9]
['Screen', '-', 'screen', '-', 'Screen', 'screen', 'screen', 'screen', '--', '-', 10]
['-', 'Screen', '--', '-', 'Screen', 'screen', '-', '--', '--', '--', 11]
['Screen', 'screen', '--', '--', '--', '--', 'Screen', '-', 'screen', 'Screen', 12]
['screen', 'Screen', 'Screen', '--', 'screen', 'Screen', '--', 'screen', '-', '-', 13]
['-', 'Screen', 'screen', '--', '--', 'screen', 'screen', 'screen', '--', '--', 14]
['screen', '-', 'screen', '--', 'Screen', 'Screen', '-', 'Screen', '--', '-', 15]
['-', 'screen', '--', 'Screen', 'Screen', 'Screen', '-', '--', 'screen', '--', 16]
['--', '-', 'screen', 'Screen', 'Screen', 'screen', '-', '--', 'screen', '-', 17]
['--', '--', 'screen', 'screen', '-', 'Screen', '-', 'Screen', 'Screen', 'screen', 18]
['-', 'Screen', '--', 'screen', '--', 'Screen', 'screen', '--', 'screen', '-', 19]
['--', '--', 'Screen', '-', '-', 'screen', 'Screen', '-', 'screen', 'Screen', 20]
['Screen', 'screen', '-', '--', '-', 'screen', 'screen', '--', '--', 'Screen', 21]
['screen', '--', '-', '--', '--', 'Screen', 'Screen', '--', '-', '-', 22]
['Screen', 'screen', '--', 'screen', '--', '--', '-', 'screen', 'Screen', 'Screen', 23]
['Screen', 'screen', 'screen', 'Screen', '-', '-', '--', '-', 'screen', 'Screen', 24]
['-', 'Screen', 'Screen', '-', '-', '--', 'Screen', '--', '--', 'Screen', 25]
['-', 'screen', 'Screen', '--', '-', 'screen', '-', '-', '--', 'screen', 26]
['--', '--', 'Screen', '-', '--', 'Screen', 'screen', '-', 'screen', 'screen', 27]
['--', 'Screen', 'screen', '--', '--', 'Screen', '-', '-', 'screen', '-', 28]
['screen', '--', '-', 'screen', '--', '-', '-', '-', 'screen', '--', 29]
['--', '-', 'Screen', 'screen', '-', '--', 'Screen', 'screen', '--', 'Screen', 30]
['--', '-', '-', 'Screen', '--', '--', 'Screen', 'screen', '--', 'Screen', 31]
['screen', 'screen', 'screen', 'Screen', 'screen', 'Screen', '--', '-', 'screen', '-', 32]
['Screen', '-', '--', 'screen', 'screen', '-', '--', '-', 'screen', '--', 33]
['Screen', '--', 'Screen', '--', '--', '-', '-', '-', 'Screen', '--', 34]
['-', '-', '-', 'Screen', '-', '-', 'Screen', '-', '-', '--', 35]
['Screen', 'screen', '-', 'screen', '-', 'screen', '-', '-', 'screen', 'Screen', 36]
['-', '-', 'Screen', 'screen', '-', '--', '-', 'Screen', 'Screen', '--', 37]
['-', 'Screen', '-', 'screen', '--', '--', '--', 'screen', 'Screen', 'Screen', 38]
['--', '--', 'Screen', 'Screen', '--', '-', '--', '--', 'Screen', 'Screen', 39]
['screen', 'screen', 'screen', '-', '--', 'Screen', 'Screen', 'screen', '-', '--', 40]
['Screen', '--', '-', '-', 'Screen', 'screen', 'Screen', '--', 'Screen', '-', 41]
['screen', '-', '--', 'screen', '-', '--', '-', 'screen', 'screen', 'screen', 42]
['screen', 'screen', 'Screen', 'screen', 'screen', '--', 'screen', '-', 'screen', '--', 43]
['-', 'screen', '--', 'Screen', 'screen', 'screen', 'screen', 'Screen', '-', '--', 44]
['--', 'Screen', 'screen', '--', '-', 'screen', '-', 'Screen', '--', '--', 45]
['screen', '-', '--', 'screen', 'Screen', 'screen', '--', '--', '-', 'screen', 46]
['-', '--', 'Screen', 'screen', '-', 'screen', '--', '-', 'screen', '-', 47]
['--', 'screen', '--', 'Screen', 'screen', 'Screen', '-', 'screen', 'Screen', '-', 48]
['--', '--', '-', 'Screen', 'screen', '-', 'screen', '--', '--', 'screen', 49]
['-', '-', '--', 'Screen', '--', '--', '-', '--', '-', 'Screen', 50]
['--', '--', '-', 'Screen', 'Screen', 'screen', '-', 'screen', 'Screen', '-', 1]
['screen', 'Screen', 'screen', 'screen', 'screen', 'Screen', '-', '-', 'screen', 'Screen', 2]
['-', 'Screen', 'Screen', 'screen', 'Screen', '-', '--', '-', '-', '--', 3]
['--', 'screen', 'Screen', '--', 'screen', '--', 'Screen', '-', '--', 'screen', 4]
['Screen', '-', '--', 'Screen', '-', '-', '--', 'screen', '--', '--', 5]
['--', 'screen', '-', '-', 'screen', 'Screen', '--', 'Screen', '-', '--', 6]
['Screen', '--', '-', '--', '--', 'Screen', 'screen', '--', '-', '-', 7]
['--', '--', '--', '-', '-', '-', 'Screen', '-', 'screen', '-', 8]
['-', 'screen', 'Screen', 'screen', '--', '-', 'Screen', 'screen', 'screen', '-', 9]
['-', '--', '-', '-', 'Screen', '--', '-', '-', 'screen', '--', 10]
['--', 'Screen', '-', '-', '-', 'Screen', 'Screen', 'screen', '-', 'screen', 11]
['--', 'Screen', 'Screen', '--', 'Screen', 'Screen', 'Screen', '-', 'screen', 'Screen', 12]
['Screen', '--', '-', 'screen', '-', 'screen', '-', '-', 'Screen', '-', 13]
['screen', 'Screen', 'screen', '-', 'screen', '--', 'Screen', '-', 'screen', 'screen', 14]
['-', 'screen', 'Screen', 'screen', '--', 'Screen', 'Screen', 'screen', 'Screen', 'screen', 15]
['screen', 'Screen', '-', '-', '--', '--', 'Screen', '--', 'Screen', 'Screen', 16]
['--', '-', 'Screen', '-', 'screen', 'screen', '--', 'Screen', 'Screen', 'Screen', 17]
['-', '--', '--', '--', '--', '--', '--', '--', '--', 'screen', 18]
['Screen', 'Screen', '-', '--', '-', '-', 'screen', '-', 'Screen', 'Screen', 19]
['-', '-', 'Screen', '--', 'Screen', 'Screen', '-', '--', '--', '-', 20]
['--', '-', 'screen', 'Screen', 'Screen', 'screen', '-', '--', '--', '--', 21]
['screen', '-', 'Screen', '--', 'screen', '-', 'screen', 'screen', 'Screen', 'screen', 22]
['Screen', 'screen', '-', '--', '--', 'Screen', '-', 'screen', 'screen', '-', 23]
['Screen', '--', 'screen', 'screen', 'Screen', '-', 'Screen', 'Screen', 'Screen', '--', 24]
['screen', 'Screen', '-', '--', 'Screen', '--', 'screen', '-', 'screen', 'Screen', 25]
['-', 'screen', '--', '--', 'Screen', '--', 'Screen', 'screen', 'Screen', '--', 26]
['-', 'Screen', 'Screen', 'Screen', '--', '-', 'screen', '-', 'screen', 'screen', 27]
['--', '--', '--', 'screen', '-', '--', '-', '--', 'screen', '-', 28]
['-', '-', '--', 'Screen', 'Screen', 'screen', '--', '--', 'screen', '--', 29]
['Screen', 'Screen', 'screen', 'screen', '--', 'screen', 'Screen', 'screen', '--', '--', 30]
['-', 'screen', '--', '-', 'screen', 'screen', 'screen', '--', '--', '-', 31]
['--', 'Screen', '-', 'screen', '--', '-', 'screen', 'screen', 'screen', '--', 32]
['Screen', '--', 'Screen', 'screen', '--', '-', '-', '-', 'screen', '--', 33]
['--', '--', '-', 'screen', '-', '-', 'screen', '-', 'screen', '--', 34]
['Screen', '--', '-', 'Screen', '-', 'Screen', '--', 'Screen', '--', '-', 35]
['-', 'screen', '-', '--', 'Screen', 'Screen', '--', 'screen', '-', 'screen', 36]
['screen', '-', '--', 'screen', '-', '-', '-', 'Screen', 'screen', '-', 37]
['--', 'screen', 'screen', 'screen', '--', 'screen', 'screen', '--', 'screen', '-', 38]
['screen', '-', 'screen', '--', '--', 'Screen', 'screen', 'Screen', '-', 'Screen', 39]
['Screen', 'Screen', 'screen', 'screen', 'Screen', 'Screen', '-', '-', '-', '-', 40]
['--', '-', 'Screen', '-', '--', '--', '-', 'screen', '-', 'Screen', 41]
['Screen', 'screen', '-', '--', 'Screen', 'screen', 'screen', '--', '--', '-', 42]
['--', '-', 'Screen', 'screen', '--', '--', '--', '-', '--', 'screen', 43]
['-', 'screen', '-', '-', '--', '-', 'Screen', '-', 'screen', 'screen', 44]
['-', 'screen', 'Screen', 'screen', 'Screen', 'screen', 'Screen', '--', '-', 'Screen', 45]
['-', '--', '-', 'Screen', '--', 'screen', '-', '-', '--', 'screen', 46]
['screen', 'Screen', 'screen', 'screen', 'Screen', 'Screen', 'Screen', 'Screen', '-', '--', 47]
['Screen', 'Screen', 'Screen', 'screen', 'screen', '-', 'Screen', '--', 'Screen', '--', 48]
['Screen', 'Screen', 'Screen', '-', 'Screen', 'screen', 'screen', 'Screen', 'Screen', 'screen', 49]
['screen', '--', 'Screen', '-', '--', '--', '-', '--', 'screen', 'screen', 50]
['-', '-', '--', 'screen', '--', '--', 'screen', '--', '--', 'screen', 1]
['screen', '-', 'Screen', 'screen', 'Screen', '-', 'screen', 'screen', '-', 'Screen', 2]
['screen', '--', '-', '-', '--', '-', 'screen', 'Screen', '--', '-', 3]
['Screen', '-', 'Screen', 'Screen', 'screen', '-', 'Screen', '-', '--', 'Screen', 4]
['-', '--', '--', 'Screen', 'screen', 'Screen', '--', 'Screen', 'screen', '-', 5]
['Screen', '--', 'screen', '-', '-', 'Screen', 'screen', 'Screen', '-', 'screen', 6]
['--', 'Screen', 'screen', 'screen', 'Screen', 'screen', '-', 'screen', '-', '--', 7]
['-', 'screen', 'Screen', 'screen', '--', '--', '-', 'screen', '--', '--', 8]
['-', 'screen', 'screen', 'Screen', '-', 'Screen', '--', 'screen', '-', '--', 9]
['-', '-', '--', 'screen', 'Screen', '--', 'Screen', '-', 'screen', '--', 10]
['--', '-', 'Screen', 'screen', 'screen', 'screen', 'screen', 'Screen', 'Screen', 'screen', 11]
['Screen', '--', '-', '-', 'Screen', '-', '-', 'screen', 'screen', '-', 12]
['-', '--', '--', 'screen', 'screen', '-', 'screen', '--', 'screen', 'screen', 13]
['Screen', '--', 'screen', '-', '--', '--', 'screen', '-', 'screen', '-', 14]
['screen', '-', '-', '-', 'screen', 'screen', '-', '-', '-', '--', 15]
['screen', 'Screen', '-', 'screen', '-', 'Screen', '--', '-', 'Screen', 'screen', 16]
['--', 'screen', 'screen', '--', 'screen', 'screen', '-', 'screen', '-', '--', 17]
['--', 'Screen', '--', 'screen', '--', 'Screen', '-', 'screen', 'screen', '--', 18]
['-', '--', '-', 'Screen', 'screen', 'Screen', 'Screen', '-', '--', 'screen', 19]
['-', '-', 'screen', 'screen', 'Screen', '-', 'Screen', '--', '-', '-', 20]
['screen', '-', '--', '--', 'screen', 'Screen', 'screen', '-', 'screen', '-', 21]
['Screen', 'screen', 'screen', '--', '-', 'Screen', 'Screen', 'Screen', 'Screen', '-', 22]
['Screen', 'screen', 'Screen', '--', '--', '-', '--', '--', '-', '--', 23]
['-', 'screen', 'screen', '-', 'Screen', '-', '--', '-', '--', '--', 24]
['--', '-', '--', '--', 'Screen', 'Screen', 'Screen', '-', '--', 'Screen', 25]
['Screen', 'Screen', '--', 'Screen', 'screen', 'Screen', 'Screen', 'Screen', 'Screen', '-', 26]
['Screen', '--', 'screen', 'Screen', '-', 'Screen', '-', '-', 'screen', '-', 27]
['-', '-', 'screen', '--', '-', 'Screen', 'Screen', '--', '--', '-', 28]
['-', 'Screen', '--', '-', '-', '--', 'screen', 'screen', 'Screen', '-', 29]
['screen', 'screen', 'Screen', 'screen', '-', '-', '--', '--', '-', '--', 30]
['screen', '--', '--', '--', 'Screen', 'screen', 'screen', '-', 'Screen', 'Screen', 31]
['screen', '-', 'Screen', 'Screen', '-', 'screen', '-', 'Screen', '-', '-', 32]
['screen', '--', 'Screen', 'Screen', 'screen', 'Screen', 'screen', '-', '-', 'screen', 33]
['-', 'screen', 'screen', 'screen', 'Screen', 'Screen', '-', 'screen', '--', 'screen', 34]
['--', '-', 'screen', 'Screen', '--', '-', '-', 'Screen', 'Screen', '--', 35]
['screen', 'Screen', '--', 'screen', '-', 'screen', '--', 'Screen', 'screen', '-', 36]
['Screen', 'screen', 'screen', 'screen', '--', '-', '-', '--', 'screen', '-', 37]
['--', 'screen', '-', 'Screen', 'screen', '--', '-', '--', 'Screen', 'screen', 38]
['-', 'Screen', 'screen', 'Screen', 'Screen', 'screen', '-', '--', '-', '--', 39]
['--', 'Screen', '-', '-', 'Screen', 'Screen', '--', '-', '--', '-', 40]
['-', '-', '--', 'screen', '--', 'screen', '-', '--', '-', '-', 41]
['screen', '-', '--', '--', '-', '-', 'Screen', '-', '-', '-', 42]
['-', 'screen', '--', '--', '--', 'screen', '--', 'screen', '--', '--', 43]
['-', '-', '--', 'screen', 'screen', '--', '--', 'Screen', 'Screen', '--', 44]
['Screen', 'Screen', '-', '--', '--', 'Screen', 'Screen', '--', 'screen', 'Screen', 45]
['-', 'Screen', 'screen', '-', '--', 'screen', '--', '-', 'Screen', '--', 46]
['-', '--', '-', 'Screen', 'screen', '-', 'screen', '-', '-', '--', 47]
['screen', 'screen', 'screen', 'Screen', '-', '-', '--', 'screen', '--', 'Screen', 48]
['screen', '--', 'Screen', 'Screen', '-', 'Screen', 'Screen', '--', 'Screen', 'screen', 49]
['Screen', 'screen', '-', 'screen', 'Screen', 'screen', '--', 'Screen', '-', 'screen', 50]
['-', '-', '-', '--', '-', 'Screen', 'screen', 'Screen', 'Screen', 'screen', 1]
['-', 'Screen', '-', '--', '--', 'screen', 'screen', 'Screen', '-', 'screen', 2]
['--', '-', 'screen', '--', '--', '-', 'screen', '-', 'Screen', '--', 3]
['-', '--', '-', 'Screen', '-', 'Screen', '-', 'Screen', 'screen', 'Screen', 4]
['Screen', 'Screen', 'Screen', 'Screen', '-', '--', '-', 'Screen', '--', 'Screen', 5]
