{' Odd': -4.7056913, ' 1': -3.330519, ' odd': -0.18252678, ' 0': -5.1136103, ' even': -2.221595}
{' Odd': -5.0462017, ' 1': -2.6672022, ' odd': -0.109051056, ' 0': -4.9431953, ' even': -4.3801727}
{' ': -5.814388, ' Even': -5.6543283, ' odd': -5.841731, ' 0': -2.0342298, ' even': -0.1617522}
{' Odd': -5.9265, ' ': -5.965716, ' 1': -1.397882, ' odd': -0.30737653, ' 0': -5.073025}
{' ': -5.410432, ' Even': -6.0163474, ' odd': -6.378048, ' 0': -4.71829, ' even': -0.022411006}
{' Odd': -5.7040343, ' ': -6.5557895, ' 1': -0.902746, ' one': -5.7170277, ' odd': -0.54432285}
{':': -5.825135, ' Even': -5.791555, ' 0': -2.8679657, ' zero': -6.353575, ' even': -0.07149431}
{' odd': -0.12187921, ' 1': -2.302297, ' ': -5.71153, ' one': -6.0338697, ' Odd': -6.038892}
{' even': -0.03860225, ' 0': -3.8034089, ' ': -5.239024, '\n': -6.0839777, ' Even': -6.3667173}
{' odd': -0.3351848, ' 1': -1.3530319, ' even': -4.6734614, ' Odd': -5.568873, ' 3': -5.7554336}
{' ': -5.466012, ' Even': -5.535998, ' EVEN': -6.8002343, ' 0': -3.3656762, ' even': -0.047644094}
{' odd': -0.64343417, ' 1': -0.7709347, ' ': -5.8536134, ' Odd': -5.9225473, ' even': -6.221837}
{':': -5.0808506, ' EVEN': -5.3274765, ' odd': -5.571492, ' 0': -4.319264, ' even': -0.04144951}
{' Odd': -6.034513, ' ': -7.4105535, ' 1': -2.998472, ' odd': -0.058820397, ' even': -5.8462567}
{'\n': -7.7036147, ' ': -7.065144, ' Even': -7.4175553, ' odd': -8.128256, ' even': -0.0031985114}
{' Odd': -5.688857, ' 1': -1.3831764, ' "': -5.7400546, ' odd': -0.3203997, ' even': -5.0218296}
{':': -4.1845217, ' Even': -4.3944244, ' 0': -1.9456806, ' zero': -5.1864734, ' even': -0.21054076}
{' odd': -0.14392903, ' 1': -2.253881, ' Odd': -4.1903744, ' ': -4.7622323, ' even': -6.71255}
{':': -6.768366, ' Even': -6.33846, ' 0': -0.8836883, ' zero': -4.188402, ' even': -0.57595575}
{'\n': -6.4639263, ' Odd': -4.44227, ' ': -6.2443037, ' 1': -2.6530316, ' odd': -0.09569794}
{' even': -0.0937347, ' 0': -2.5387115, ' Even': -5.550473, ' ': -6.3794694, ' odd': -6.678162}
{' odd': -0.041665986, ' 1': -3.6547847, ' Odd': -5.0001483, ' even': -5.55246, ' ': -6.627644}
{' ': -6.1995916, ' an': -7.2202783, ' Even': -6.194719, ' 0': -6.7701, ' even': -0.0077571343}
{' Odd': -6.1620827, ' 1': -1.1545953, ' one': -5.8566413, ' odd': -0.43739587, ' even': -3.6073842}
{' ': -7.3361616, ' an': -7.6904306, ' odd': -7.706161, ' 0': -4.625138, ' even': -0.012424108}
{' Odd': -4.292392, ' ': -7.709828, ' 1': -5.4861097, ' "': -7.551357, ' odd': -0.021694368}
{' even': -0.0032353478, ' Even': -6.5693064, ' 0': -6.923759, ' EVEN': -8.519094, ' ': -8.760448}
{' Odd': -6.1923375, ' ': -7.0725503, ' 1': -2.5341651, ' "': -7.455131, ' odd': -0.08964425}
{' an': -7.1163206, ' Even': -7.268443, ' odd': -7.2317142, ' 0': -3.8810246, ' even': -0.025973631}
{' Odd': -3.901719, ' 1': -3.3777611, ' odd': -0.07556798, ' 0': -6.31283, ' even': -4.6505904}
{':': -6.555562, ' an': -6.1276135, ' Even': -6.199319, ' 0': -4.866131, ' even': -0.017680122}
{' Odd': -3.8676183, ' 1': -4.7469454, ' odd': -0.049734086, ' 0': -5.1844244, ' even': -4.978321}
{' ': -5.191736, ' an': -6.9257603, ' odd': -5.9853916, ' 0': -3.5773711, ' even': -0.041712657}
{' 11': -6.690345, ' Odd': -4.51806, ' 1': -2.8538654, ' odd': -0.08466238, ' even': -5.4253716}
{' ': -7.8068066, ' Even': -8.241919, ' odd': -8.9561615, ' 0': -5.5253124, ' even': -0.005428459}
{' odd': -0.10008003, ' 1': -3.1300988, ' even': -3.546492, ' Odd': -4.923568, ' ': -5.488627}
{':': -6.722995, ' an': -6.6366315, ' Even': -5.9977293, ' 0': -7.156369, ' even': -0.008221798}
{' Odd': -5.0806465, ':': -5.45162, ' 1': -3.236288, ' odd': -0.13863182, ' even': -2.714119}
{' even': -0.2116337, ' 0': -1.8492479, ' zero': -5.038704, ' odd': -5.2538323, ' "': -5.546724}
{' Odd': -5.114477, ' 1': -0.8056641, ' odd': -0.71375096, ' 0': -4.435322, ' even': -3.426815}
{' ': -6.7603426, ':': -7.30154, ' 0': -2.1608675, ' zero': -6.7106485, ' even': -0.12862757}
{' 1': -0.6939067, ' odd': -0.7737102, ' even': -4.574209, ' Odd': -4.9043064, ':': -5.3711767}
{' ': -6.6857367, ' an': -6.9626417, ' odd': -6.903308, ' 0': -4.2127485, ' even': -0.020598616}
{' odd': -0.051134054, ' 1': -3.4198546, ' even': -4.363127, ' Odd': -6.242437, ' an': -7.827753}
{' ': -6.849311, ':': -6.769889, ' odd': -6.4372644, ' 0': -4.459152, ' even': -0.018519754}
{' 1': -0.38885272, ' odd': -1.3646133, ' even': -3.3004906, ' one': -4.91202, ' 0': -5.271024}
{' ': -5.835083, ':': -4.1157556, ' 0': -0.5016811, ' zero': -5.949794, ' even': -1.0150745}
{' odd': -0.44603494, ' 1': -1.1122174, ' even': -5.347932, ' ': -5.4220896, ' Odd': -5.810104}
{' even': -0.0927407, ' 0': -2.7888284, ' 4': -5.164758, ' zero': -5.66339, ' ': -5.805085}
{' Odd': -5.252297, ' 1': -1.8122593, ' one': -5.2857747, ' odd': -0.21041922, ' 0': -5.467137}
{' ': -6.926131, ':': -7.438289, ' Even': -7.163998, ' 0': -6.7004585, ' even': -0.005139342}
{' odd': -0.10484441, ' 1': -2.55769, ' Odd': -4.8408804, ' even': -5.249776, ' 0': -5.575083}
{' ': -6.211573, ':': -5.8089914, ' Even': -5.3497105, ' 0': -4.446367, ' even': -0.027961154}
{' 1': -1.8906928, ' one': -5.002698, ' odd': -0.3668672, ' 0': -3.756051, ' even': -2.2880108}
{' ': -6.770984, ' Even': -8.001853, ' odd': -6.881904, ' 0': -7.1778107, ' even': -0.00404678}
{' Odd': -5.4243097, ' 1': -1.1750069, ' one': -6.507915, ' odd': -0.39250568, ' even': -5.777908}
{' ': -5.7784743, ':': -6.5034137, ' 0': -0.9999234, ' zero': -4.6322293, ' even': -0.48995182}
{' odd': -0.0635001, ' 1': -3.2011495, ' even': -5.073439, ' Odd': -5.3117213, ' ': -5.6275353}
{' ': -5.1582613, ':': -7.408863, ' Even': -6.5507493, ' 0': -4.918386, ' even': -0.018189922}
{' Odd': -5.1035023, ' 1': -1.9142734, ' one': -6.338352, ' odd': -0.18329464, ' even': -5.2711267}
{'\n': -5.721745, ' ': -5.3270235, ':': -6.5298214, ' 0': -1.1266633, ' even': -0.41351503}
{' odd': -0.19964828, ' 1': -1.7743858, ' Odd': -5.564266, ' even': -5.5954056, ' ': -6.4180274}
{' ': -5.0705457, ':': -5.6492915, ' 0': -1.0013877, ' zero': -5.824632, ' even': -0.49892518}
{' odd': -0.09368404, ' 1': -2.6408029, ' even': -4.384766, ' Odd': -6.07557, ' ': -7.326904}
{' even': -0.012603487, ' Even': -5.7487187, ' 0': -6.108479, ' an': -6.1410213, ' ': -6.646835}
{'\n': -5.2817616, ' Odd': -5.404778, ' ': -5.0363584, ' 1': -0.8320443, ' odd': -0.6268936}
{' even': -0.16808486, ' 0': -2.1611514, ' Even': -4.4950128, ' zero': -4.677604, ':': -5.0928607}
{' Odd': -4.5167894, ' ': -5.54123, ' 1': -3.1096058, ' odd': -0.06861703, ' even': -5.3365192}
{':': -5.966573, ' Even': -6.464141, ' 0': -0.33257377, ' zero': -4.2949514, ' even': -1.3513553}
{' odd': -0.2968937, ' 1': -1.653354, ' Odd': -3.9197564, ' 0': -4.199556, ' even': -5.0373454}
{' ': -6.5580897, ' Even': -7.044223, ' odd': -7.4117227, ' 0': -2.7136621, ' even': -0.074177876}
{' Odd': -4.8030205, ' 1': -3.72109, ' odd': -0.050357845, ' 0': -6.4259157, ' even': -4.383355}
{' even': -0.016670637, ' 0': -4.502404, ':': -6.4012065, ' Even': -6.624891, ' ': -7.267452}
{' odd': -0.40436116, ' even': -1.384233, ' 1': -2.7557843, ' Odd': -5.3288774, ' ': -5.962431}
{' ': -7.0871253, ' an': -6.7658, ' Even': -5.975951, ' odd': -6.87208, ' even': -0.007611659}
{' Odd': -3.6935186, ' ': -6.7257347, ' 1': -2.3992453, ' odd': -0.13194762, ' even': -6.3897514}
{':': -8.309258, ' Even': -6.441438, ' EVEN': -7.8547664, ' 0': -4.998016, ' even': -0.009693864}
{' Odd': -5.377607, ' ': -6.289658, ' 1': -2.128652, ' "': -6.437475, ' odd': -0.14066637}
{' ': -6.903114, ':': -6.5332794, ' Even': -5.92912, ' 0': -3.9923987, ' even': -0.027303189}
{' Odd': -5.231808, ' 1': -3.3252852, ' 3': -6.3480053, ' odd': -0.05668852, ' even': -5.3058023}
{':': -5.479327, ' an': -5.035047, ' Even': -4.854185, ' 0': -3.4000576, ' even': -0.069277845}
{' odd': -0.11920457, ' 1': -3.2000768, ' even': -3.603692, ' Odd': -3.9405203, ' 0': -4.40929}
{'\n': -6.444871, ' ': -5.0017223, ':': -6.138415, ' 0': -3.1736715, ' even': -0.062326502}
{' Odd': -4.6501336, ' ': -6.22454, ' 1': -3.649242, ' odd': -0.057637826, ' even': -4.6778455}
{' even': -0.004634709, ' 0': -5.754657, ' Even': -7.750522, ' ': -8.310412, ':': -8.358665}
{' odd': -0.14086829, ' 1': -2.1642942, ' Odd': -5.38422, ' one': -5.5183992, ' even': -6.341057}
{' even': -0.005835283, ' 0': -5.729057, ' Even': -7.2143135, ':': -7.784057, ' ': -8.156241}
{' Odd': -5.090857, ' 1': -2.0915449, ' odd': -0.27948934, ' 0': -4.005663, ' even': -2.4875371}
{':': -5.3783107, ' EVEN': -6.9731417, ' 0': -2.7332902, ' zero': -6.0831885, ' even': -0.08042316}
{' odd': -0.33213452, ' 1': -1.3331662, ' 3': -5.422825, ' even': -5.610389, ' one': -5.83119}
{' 1': -6.285407, ' 4': -6.14807, ' 0': -0.84867084, ' zero': -5.383929, ' even': -0.58514583}
{' ': -5.4665713, ' 1': -0.34955382, ' odd': -1.3747461, ' 0': -5.4807863, ' even': -4.0389}
{':': -6.5226398, ' an': -6.9021363, ' odd': -6.8993487, ' 0': -5.4811454, ' even': -0.010710311}
{' Odd': -6.9072084, ' ': -6.8617597, ' 1': -1.6071335, ' odd': -0.2343356, ' 0': -7.117876}
{' ': -5.1939645, ':': -4.144995, ' 0': -0.5614422, ' zero': -4.160468, ' even': -0.96454126}
{' 1': -0.49539962, ' odd': -1.006281, ' one': -5.1434765, ' even': -5.3690467, ' Odd': -5.5048237}
{' even': -0.07987341, ' 0': -2.8074496, ':': -5.677483, ' equal': -5.9183083, ' an': -5.9641123}
{' 11': -5.5182796, ' 1': -0.8508221, ' one': -6.0187483, ' odd': -0.59403193, ' even': -5.671964}
{' even': -0.037153095, ' 0': -3.600949, ' ': -5.812839, ' an': -6.3874564, ' Even': -6.997251}
{' odd': -0.56396925, ' 1': -0.8964698, ' one': -4.9837694, ' 0': -5.770397, ' even': -5.787786}
{' even': -0.009147711, ' 0': -5.386575, ' odd': -6.094423, ' ': -6.7668533, ':': -8.148734}
{' Odd': -3.7747009, ' ': -6.494717, ' 1': -5.230018, ' odd': -0.03588086, ' even': -6.252254}
{' even': -0.10876806, ' 0': -2.4800124, ' Even': -5.30508, ' ': -5.8266363, ':': -5.9994783}
{' Odd': -5.25818, ' 1': -3.8015132, ' odd': -0.035518203, ' 0': -6.4428334, ' even': -5.679504}
{' ': -5.978111, ' Even': -7.4093757, ' odd': -6.4856467, ' 0': -6.104902, ' even': -0.00855623}
{'\n': -6.2334714, ' Odd': -4.0700383, ' ': -5.7841487, ' 1': -3.1113908, ' odd': -0.0758627}
{' ': -6.4090843, ' Even': -6.5271797, ' 0': -2.4148226, ' zero': -4.8888707, ' even': -0.11175132}
{' Odd': -4.4261274, ' ': -5.4127617, ':': -6.023076, ' 1': -1.495572, ' odd': -0.28314677}
{' ': -6.415703, ':': -7.2328568, ' Even': -7.1127567, ' 0': -4.050966, ' even': -0.023656357}
{' Odd': -5.7338986, ' 1': -1.7475867, ' odd': -0.22315179, ' 0': -5.5263934, ' even': -4.4777293}
{' even': -0.20605451, ' 0': -1.7321641, ' ': -5.909099, ' Even': -6.420864, ' zero': -6.7689586}
{' Odd': -6.19213, ' ': -6.1463823, ' 1': -0.611708, ' odd': -0.8137, ' even': -5.7219124}
{' ': -5.252683, ':': -4.703449, ' odd': -5.443545, ' 0': -1.3569465, ' even': -0.33388475}
{' Odd': -5.075236, ' 1': -3.0767057, ' odd': -0.15004976, ' 0': -5.217356, ' even': -2.5779605}
{' ': -6.2153263, ' Even': -7.277819, ' EVEN': -7.498047, ' 0': -4.821655, ' even': -0.013835964}
{' Odd': -5.5886517, ' 1': -1.4961194, ' one': -7.042496, ' odd': -0.26759982, ' even': -5.6790376}
{' Even': -5.751846, ' odd': -6.7637362, ' 0': -2.8021774, ' zero': -5.3631964, ' even': -0.07770162}
{' Odd': -5.3185077, ' ': -5.429473, ' 1': -1.3205208, ' one': -5.7477474, ' odd': -0.3356975}
{' ': -6.7718816, ':': -6.4226327, ' 0': -0.04874096, ' zero': -5.0270133, ' even': -3.3546455}
{' Odd': -4.8949285, ' 1': -2.0862362, ' odd': -0.16712984, ' 0': -5.7168455, ' even': -4.6705923}
{' even': -0.011472542, ' 0': -4.855613, ' Even': -6.815559, ' ': -6.868399, ' odd': -8.192433}
{' odd': -0.08735249, ' 1': -3.2606437, ' Odd': -4.5148225, '\n': -4.534677, ' even': -4.7368693}
{' ': -7.206031, ' an': -7.268184, ' Even': -5.1050277, ' 0': -4.9352655, ' even': -0.017214002}
{' Odd': -5.239258, ' ': -6.093674, ' 1': -2.2595806, ' odd': -0.14978413, ' even': -3.7807388}
{':': -6.4622555, ' an': -6.03288, ' Even': -5.8221045, ' 0': -4.595336, ' even': -0.020997478}
{' Odd': -5.565873, ' ': -6.828453, ' 1': -2.344338, ' odd': -0.11408841, ' even': -6.0912824}
{' even': -0.002456479, ' Even': -6.936612, ' 0': -7.2129717, ' EVEN': -8.342877, ' ': -9.0091}
{' Odd': -5.9468803, ' ': -7.342067, ' 1': -3.3752482, ' "': -7.035783, ' odd': -0.041275755}
{' even': -0.008514571, ' 0': -5.3399467, ' Even': -6.819017, ':': -7.245769, ' odd': -7.658279}
{' Odd': -4.934673, ' 1': -4.5969176, ' 3': -4.7959104, ' odd': -0.046227187, ' even': -4.7137275}
{' even': -0.024102038, ' 0': -4.7833123, ' an': -5.0953813, ' Even': -5.523587, ' ': -6.804776}
{' Odd': -4.3669, ' 1': -4.948641, ' odd': -0.026340859, ' 0': -6.663646, ' even': -5.994648}
{' even': -0.13318522, ' 0': -2.2183006, ' ': -5.0741916, ':': -5.596429, ' odd': -6.5244317}
{' Odd': -4.6332126, ' ': -6.0400195, ' 1': -3.744878, ' odd': -0.045535516, ' even': -6.018533}
{' ': -7.0558305, ' an': -6.714418, ' Even': -7.0317054, ' 0': -5.7869, ' even': -0.008142354}
{' Odd': -5.871836, ' ': -5.609199, ' 1': -1.4400196, ' odd': -0.28867534, ' even': -6.1605186}
{' even': -0.18686257, ' 0': -1.8534275, ' 1': -5.843324, ':': -5.9848304, ' zero': -6.1823697}
{' odd': -0.18874526, ' even': -2.2643964, ' 1': -3.0503993, ' Odd': -5.055887, ' 0': -5.534595}
{' ': -6.105706, ':': -4.904482, ' Even': -5.85655, ' 0': -2.7496538, ' even': -0.093485914}
{' 1': -0.44889203, ' odd': -1.0649866, ' even': -5.6344275, ' 0': -5.6879034, ' one': -6.094804}
{' ': -6.2896705, ':': -6.3788447, ' 0': -0.69417727, ' zero': -6.099491, ' even': -0.7146832}
{' odd': -0.66341525, ' 1': -1.0274329, ' even': -2.457496, ' 0': -3.9456532, ' one': -5.1001906}
{' ': -6.0926805, ' an': -6.4027476, ' odd': -5.546102, ' 0': -3.988848, ' even': -0.03109408}
{' Odd': -6.585317, ' ': -5.702658, ' 1': -2.0688438, ' odd': -0.17535979, ' even': -3.6888866}
{'\n': -5.074492, ' ': -4.5763984, ':': -3.6273198, ' 0': -1.9052464, ' even': -0.22231923}
{' 1': -0.26495466, ' odd': -1.5571815, ' one': -4.7202053, ' ': -5.6567063, ' even': -6.080067}
{' even': -0.22502254, ' 0': -1.7684863, ':': -4.597766, ' zero': -5.4040427, ' ': -5.754882}
{' odd': -0.14251986, ' 1': -2.134011, ' Odd': -5.611864, ' even': -5.7389784, ' ': -6.1325746}
{' ': -6.255432, ' an': -6.3892255, ' odd': -6.646249, ' 0': -4.472154, ' even': -0.02084793}
{' Odd': -4.8680425, ' ': -6.725269, ' 1': -2.6431446, ' odd': -0.091941796, ' even': -5.704577}
{' even': -0.013105935, ' 0': -5.2010965, ' ': -6.0606585, ':': -6.5902348, ' an': -6.623985}
{' odd': -0.06811347, ' 1': -3.654667, ' Odd': -4.449377, ' 0': -4.596278, ' ': -5.0097427}
{' ': -5.7457447, ':': -5.823633, ' 0': -0.43692416, ' zero': -5.2768116, ' even': -1.1029962}
{' odd': -0.020569535, ' 1': -4.5164475, ' Odd': -5.37585, ' even': -6.2399344, ' an': -7.2491417}
{'\n': -6.2821565, ' ': -6.2745953, ' odd': -6.0352845, ' 0': -4.035303, ' even': -0.030002495}
{' Odd': -4.40421, ' ': -6.030981, ' 1': -1.89282, ' odd': -0.19779357, ' even': -5.14362}
{':': -5.27535, ' Even': -6.546264, ' 0': -1.6209483, ' zero': -5.9800167, ' even': -0.23528063}
{' Odd': -5.608493, ' ': -6.40794, ':': -6.457694, ' 1': -1.31463, ' odd': -0.3298774}
{' ': -5.809724, ' Even': -6.253992, ' odd': -6.4119563, ' 0': -5.8513136, ' even': -0.014431851}
{' odd': -0.38317245, ' 1': -1.321135, ' 0': -4.0705643, ' even': -4.309208, ' Odd': -5.4915366}
{' ': -5.9286447, ':': -7.546211, ' Even': -6.090793, ' 0': -4.0199194, ' even': -0.02624436}
{' odd': -0.17534587, ' 1': -1.953279, ' Odd': -4.8408556, ' even': -5.426736, ' ': -6.2720513}
{' ': -5.1340938, ':': -5.9211793, ' odd': -5.6850853, ' 0': -1.4708008, ' even': -0.29171225}
{' Odd': -6.3181376, ' 1': -3.6234407, ' 3': -7.162343, ' odd': -0.035460647, ' even': -5.9386225}
{'\n': -5.7715917, ' ': -6.5043926, ' Even': -6.005482, ' 0': -2.553635, ' even': -0.09303804}
{' Odd': -5.7468452, ' 1': -1.2852558, ' one': -6.390165, ' odd': -0.36332166, ' even': -4.2014213}
{':': -5.650331, ' Even': -5.3448887, ' 0': -3.50683, ' zero': -6.15149, ' even': -0.046791166}
{' odd': -0.06576872, ' 1': -3.027984, ' Odd': -4.4361815, ' one': -7.161775, ' ': -7.1888304}
{' 0': -0.6754992, ' even': -0.73729146, ' zero': -4.798696, ':': -6.948153, ' ': -7.0321465}
{' Odd': -4.5483284, ' 1': -2.041387, ' odd': -0.1880813, ' 0': -4.954362, ' even': -4.597385}
{' ': -6.8563895, ' Even': -6.6760726, ' odd': -5.7409005, ' 0': -2.9380376, ' even': -0.062957466}
{' odd': -0.034072462, ' Odd': -3.8148427, ' 1': -4.8755174, ' even': -7.032295, ' 0': -7.319569}
{' ': -7.345735, ' an': -7.288663, ' Even': -6.412904, ' 0': -6.3312407, ' even': -0.0064540743}
{' Odd': -5.406882, ' ': -6.252257, ' 1': -2.8116715, ' odd': -0.16679627, ' even': -2.539291}
{' an': -7.257832, ' Even': -7.167908, ' odd': -7.6187854, ' 0': -5.16507, ' even': -0.008923972}
{' odd': -0.038147822, ' Odd': -3.6409976, ' 1': -5.0012207, ' an': -7.095066, ' ': -7.4083343}
{' ': -7.234855, ':': -6.6094213, ' Even': -5.5451927, ' 0': -5.9064755, ' even': -0.010352571}
{' Odd': -5.589173, ' ': -5.7387924, ' 1': -2.0029263, ' "': -6.4768553, ' odd': -0.16136599}
{' ': -8.683173, ':': -7.703298, ' Even': -7.327522, ' 0': -4.892605, ' even': -0.009307131}
{' odd': -0.3139189, ' 1': -1.4120252, ' even': -4.9380336, ' Odd': -5.48926, ' one': -5.803747}
