{' No': -0.09881018, ' Yes': -2.6181371, 'No': -4.0900593, '\n': -5.7983394, 'Yes': -6.7311544}
{' No': -0.33872142, '\n': -3.701003, 'No': -2.8818102, ' Yes': -1.6377859, 'Yes': -4.589299}
{' Yes': -0.0782168, 'Yes': -3.2676241, '\n': -3.7336576, ' No': -4.5701103, 'No': -6.770832}
{' Yes': -0.086437985, 'Yes': -3.3802857, ' No': -3.7868679, '\n': -3.816756, 'No': -6.1903577}
{' Yes': -0.15141791, '\n': -2.91615, 'Yes': -3.1890001, ' No': -3.335708, 'No': -5.2330008}
{' No': -6.3842344, '\n': -2.9445105, ' ': -6.542161, ' Yes': -0.11697308, 'Yes': -2.9288037}
{' No': -0.36710027, '\n': -1.9143605, 'No': -2.4470448, ' Yes': -2.9093595, ' Unfortunately': -4.910565}
{' Yes': -0.1900491, ' No': -2.7423143, 'Yes': -3.025447, '\n': -3.0509536, 'No': -4.7731843}
{' Yes': -0.4151396, ' No': -1.3706888, '\n': -3.0567906, 'Yes': -3.9396014, 'No': -4.0745063}
{' No': -1.3559747, '\n': -2.1033921, 'No': -3.9227564, ' Yes': -0.54396105, 'Yes': -4.2094803}
{' No': -0.37180987, '\n': -1.8122338, 'No': -3.1154602, ' Yes': -2.3408, 'Yes': -5.4444876}
{' No': -0.13686985, 'No': -2.7835832, '\n': -2.9208605, ' Yes': -5.111828, ' Not': -6.001915}
{' No': -1.9052856, '\n': -3.422131, 'No': -5.0199094, ' Yes': -0.23295857, 'Yes': -4.0566397}
{' No': -0.7962902, ' Yes': -0.81076133, '\n': -2.7235897, 'No': -3.8470807, 'Yes': -4.6170793}
{' Yes': -0.64417636, ' No': -1.2015762, '\n': -2.0944023, 'No': -3.7166631, 'Yes': -4.131313}
{' No': -5.504518, '\n': -2.4075239, ' ': -6.796005, ' Yes': -0.12498637, 'Yes': -3.897838}
{' No': -0.25005922, '\n': -1.9903127, 'No': -3.3391187, ' Yes': -4.2624874, ' Unfortunately': -3.600441}
{' No': -0.5130705, '\n': -2.6477485, 'No': -3.6345344, ' Yes': -1.2418076, 'Yes': -4.9527926}
{' Yes': -0.024472421, 'Yes': -4.0924273, '\n': -5.0425577, ' No': -7.7480054, ' yes': -8.522838}
{' Yes': -0.023525028, 'Yes': -3.9984012, '\n': -5.5156093, ' yes': -7.983141, ' No': -8.363181}
{' Yes': -0.022993475, 'Yes': -4.1763077, '\n': -5.1635456, ' Sur': -7.312081, ' ': -7.995316}
{' No': -0.052047733, 'No': -3.746679, ' Yes': -4.241947, '\n': -4.466755, ' ': -7.6702876}
{' Yes': -0.022031082, 'Yes': -4.200158, '\n': -5.5105696, ' No': -6.1810727, ' yes': -8.235684}
{' No': -0.066426516, ' Yes': -3.3137584, 'No': -4.101735, '\n': -4.5783052, 'Yes': -7.5313096}
{' No': -0.29111725, '\n': -3.9923425, 'No': -3.8412728, ' Yes': -1.5774789, 'Yes': -5.629931}
{' No': -0.1166167, ' Yes': -2.8403676, '\n': -3.5445628, 'No': -3.934207, ' ': -6.998006}
{' No': -0.034649067, '\n': -5.05608, ' ': -8.1553955, 'No': -4.05698, ' Yes': -4.6324635}
{' Yes': -0.1647006, ' No': -2.0438242, 'Yes': -4.659524, '\n': -4.7284384, 'No': -6.1597714}
{' No': -0.17949384, ' Yes': -2.186225, 'No': -3.591866, '\n': -3.871741, 'Yes': -5.8197813}
{' No': -0.31073105, '\n': -4.5032415, 'No': -4.2625055, ' Yes': -1.4353744, 'Yes': -5.811335}
{' No': -0.042205576, 'No': -3.726383, ' Yes': -4.295494, '\n': -5.7862697, ' ': -8.671034}
{' No': -0.9634881, '\n': -3.072487, 'No': -4.494391, ' Yes': -0.7597718, ' Sur': -2.5240388}
{' No': -0.11904403, ' Yes': -2.587401, 'No': -3.7678328, '\n': -4.532269, 'Yes': -6.340795}
{' Yes': -0.036142234, 'Yes': -4.4089065, ' No': -4.4552, '\n': -4.558267, ' The': -7.9171157}
{' Yes': -0.041872937, ' No': -4.246648, 'Yes': -4.3232255, '\n': -4.429768, ' The': -7.587773}
{' No': -0.35457006, ' Yes': -1.623018, '\n': -2.7127624, 'No': -3.6239507, 'Yes': -5.7249827}
{' Yes': -0.23891129, ' No': -2.0802808, '\n': -2.7767453, 'Yes': -4.051234, 'No': -5.2813096}
{' No': -0.07170426, 'No': -3.216075, '\n': -3.9362175, ' Unfortunately': -5.121394, ' Yes': -6.440806}
{' No': -0.11372851, '\n': -4.7258596, 'No': -3.7496135, ' Yes': -2.6146898, 'Yes': -6.484389}
{' No': -0.05272685, ' Yes': -3.4738882, 'No': -4.037117, '\n': -6.1780486, 'Yes': -7.7670054}
{' No': -0.13845478, ' Yes': -2.9729311, 'No': -3.2082734, '\n': -3.3481197, 'Yes': -6.733952}
{' No': -0.47611398, ' Yes': -1.2859589, '\n': -2.7917972, ' Sur': -4.085802, 'No': -4.1003947}
{' No': -0.03273321, 'No': -3.670335, '\n': -5.557412, ' Yes': -6.0161066, ' Not': -8.626411}
{' No': -0.29532027, ' Yes': -1.4847618, 'No': -3.9971614, '\n': -5.1723323, 'Yes': -5.4229712}
{' No': -0.6457583, ' Yes': -0.835509, '\n': -4.0242906, 'No': -4.198537, 'Yes': -4.7659287}
{' No': -3.9976265, '\n': -5.941512, 'No': -8.201934, ' Yes': -0.03074582, 'Yes': -4.752206}
{' No': -0.37281767, '\n': -4.2140174, 'No': -3.8242202, ' Yes': -1.3111875, 'Yes': -5.477817}
{' Yes': -0.61275, ' No': -0.90710723, '\n': -3.3012266, 'Yes': -4.7553263, 'No': -4.940537}
{' No': -0.032911766, 'No': -3.724419, '\n': -5.5036836, ' Yes': -5.63522, ' Not': -8.228321}
{' No': -0.17711121, ' Yes': -1.948731, 'No': -4.2856965, '\n': -5.596909, 'Yes': -6.217177}
{' No': -0.025030123, '\n': -5.976528, ' ': -9.400254, 'No': -3.8658614, ' Yes': -6.801736}
{' No': -0.29957116, ' Yes': -1.4706621, 'No': -3.838628, 'Yes': -5.4227414, '\n': -5.8507276}
{' No': -0.023095945, 'No': -3.975443, ' Yes': -5.771482, '\n': -7.134495, ' ': -9.4855175}
{' No': -0.023699261, '\n': -6.0650806, ' ': -9.6753025, 'No': -3.9109728, ' Yes': -6.980072}
{' No': -0.0377061, 'No': -3.3989902, ' Yes': -6.25587, '\n': -6.5782847, ' ': -9.098287}
{' No': -0.08880908, ' Yes': -3.0307055, 'No': -3.5083988, '\n': -5.3205805, 'Yes': -6.45538}
{' No': -0.14739634, '\n': -4.9625893, 'No': -4.5586395, ' Yes': -2.136965, 'Yes': -6.66954}
{' No': -3.9333482, '\n': -5.3650575, 'No': -7.7706017, ' Yes': -0.040116023, 'Yes': -4.2612023}
{' No': -0.16958414, ' Yes': -2.1660879, 'No': -3.7252364, '\n': -4.2164226, 'Yes': -6.3558054}
{' No': -0.07033997, '\n': -3.5050874, 'No': -4.0968614, ' Yes': -3.9025486, 'Yes': -7.872263}
{' No': -0.024941755, 'No': -4.1360273, '\n': -5.346362, ' Yes': -5.736095, ' ': -8.555459}
{' Yes': -0.6928567, ' No': -0.75714195, 'No': -4.4515753, 'Yes': -4.585599, '\n': -4.833642}
{' Yes': -0.28094706, ' No': -1.9207404, '\n': -3.0588076, 'Yes': -3.314673, 'No': -4.293112}
{' Yes': -0.21282251, ' No': -2.3549123, '\n': -2.9200022, 'Yes': -3.38695, 'No': -4.9170575}
{' No': -1.3356366, '\n': -2.4341722, 'No': -3.7785153, ' Yes': -0.5153928, 'Yes': -3.6327615}
{' No': -2.4463387, '\n': -2.3521233, 'No': -5.021726, ' Yes': -0.26426503, 'Yes': -3.1847723}
{' No': -0.18647414, 'No': -2.2092822, '\n': -3.0959222, ' Yes': -4.4036884, ' ': -6.6695385}
{' No': -0.59579885, '\n': -3.3126452, 'No': -3.0298615, ' Yes': -1.0700917, 'Yes': -3.9603143}
{' Yes': -0.07635222, 'Yes': -3.2071161, '\n': -4.0389547, ' No': -4.363351, 'No': -6.499226}
{' No': -4.791704, '\n': -4.721043, 'No': -7.0851555, ' Yes': -0.0582012, 'Yes': -3.2847865}
{' No': -3.6210048, '\n': -3.6179187, 'No': -5.7652287, ' Yes': -0.09897118, 'Yes': -3.334372}
{' No': -4.464019, '\n': -2.354205, ' ': -6.3988614, ' Yes': -0.17273775, 'Yes': -3.029799}
{' No': -0.3627524, '\n': -1.8503567, 'No': -2.5659058, ' Yes': -2.938636, ' Unfortunately': -4.9140162}
{' No': -2.9055324, '\n': -3.685354, 'No': -5.119093, ' Yes': -0.14097014, 'Yes': -3.1347022}
{' No': -3.944222, '\n': -3.5582106, 'No': -6.3003383, ' Yes': -0.09198434, 'Yes': -3.3005164}
{' Yes': -0.42013434, ' No': -1.5191658, '\n': -2.415116, 'Yes': -4.1165757, 'No': -4.1543164}
{' No': -1.2337037, '\n': -2.1658382, 'No': -4.059065, ' Yes': -0.5891533, 'Yes': -3.9136715}
{' No': -0.13319115, 'No': -2.7277727, '\n': -3.1875906, ' Yes': -4.3870497, ' Not': -6.152074}
{' Yes': -0.11919988, ' No': -2.7937012, '\n': -3.7068272, 'Yes': -3.8708324, 'No': -5.7784095}
{' Yes': -0.45656344, ' No': -1.2917056, '\n': -2.9545777, 'Yes': -3.9665866, 'No': -4.0583415}
{' No': -0.9928105, '\n': -2.1149743, 'No': -3.5261295, ' Yes': -0.78163075, 'Yes': -4.2269773}
{' Yes': -0.1051853, '\n': -2.699971, 'Yes': -3.6214166, ' No': -5.589033, ' ': -7.1414356}
{' No': -0.2803708, '\n': -1.9035074, 'No': -3.1521473, ' Yes': -3.432627, ' Unfortunately': -4.367584}
{' No': -0.67141116, ' Yes': -0.93710285, '\n': -3.0399547, 'No': -3.5015159, 'Yes': -4.35243}
{' Yes': -0.020027626, 'Yes': -4.110844, '\n': -6.288708, ' No': -6.6965923, ' yes': -8.658127}
{' No': -9.415931, '\n': -6.660357, ' Yes': -0.017859772, ' yes': -8.162118, 'Yes': -4.1415663}
{' Yes': -0.02031962, 'Yes': -4.3113694, '\n': -5.4697843, ' Sur': -6.61101, ' No': -7.8181825}
{' No': -0.057347987, 'No': -3.5135741, ' Yes': -4.0407386, '\n': -4.9666114, 'Yes': -7.626386}
{' Yes': -0.01852455, 'Yes': -4.304816, '\n': -6.274325, ' No': -6.3542004, ' yes': -7.8684897}
{' No': -0.070258506, '\n': -4.689592, 'No': -4.209077, ' Yes': -3.1512957, 'Yes': -7.426673}
{' No': -0.37689626, '\n': -3.9104004, 'No': -3.816767, ' Yes': -1.3290961, 'Yes': -5.287094}
{' No': -0.08108465, '\n': -3.9659624, ' ': -7.4928904, 'No': -3.6428332, ' Yes': -3.4665196}
{' No': -0.04409928, '\n': -5.0980005, ' ': -8.163787, 'No': -3.8338652, ' Yes': -4.2219653}
{' Yes': -0.22827856, ' No': -1.8246169, '\n': -3.8472188, 'Yes': -4.48623, ' Patient': -5.278663}
{' No': -0.2477408, ' Yes': -1.7142764, 'No': -3.9661016, '\n': -4.15759, 'Yes': -5.543517}
{' No': -0.38284314, '\n': -4.4962234, 'No': -4.362627, ' Yes': -1.2394506, 'Yes': -5.6124663}
{' No': -0.092858806, ' Yes': -2.933105, 'No': -3.5905032, '\n': -5.038282, 'Yes': -7.2558837}
{' No': -2.144661, '\n': -3.2810748, ' Yes': -0.34116375, ' Sur': -2.168852, 'Yes': -4.444067}
{' No': -0.40862218, '\n': -3.9615052, 'No': -4.0275908, ' Yes': -1.2423261, 'Yes': -5.054757}
{' No': -5.570911, '\n': -4.5713387, ' Yes': -0.038215566, ' The': -7.341902, 'Yes': -3.818237}
{' No': -4.8769007, '\n': -4.683457, ' Yes': -0.033901896, ' The': -7.3404303, 'Yes': -4.1946282}
{' No': -0.5415376, ' Yes': -1.0628445, '\n': -3.05227, 'No': -4.054618, 'Yes': -5.4395666}
{' Yes': -0.1007213, '\n': -2.978113, 'Yes': -3.2418802, ' No': -5.925575, ' The': -6.384786}
{' No': -0.09011566, '\n': -3.5939093, 'No': -3.212176, ' Yes': -5.2659745, ' Unfortunately': -4.5569525}
{' No': -0.067461774, '\n': -3.8659327, 'No': -3.787558, ' Yes': -3.8775887, 'Yes': -7.716507}
{' No': -0.09226622, 'No': -3.4138908, ' Yes': -3.5348072, '\n': -3.6984043, 'Yes': -7.344692}
{' No': -0.3333823, ' Yes': -1.5821425, '\n': -3.288756, 'No': -3.3959546, 'Yes': -5.6765428}
{' Yes': -0.20902221, ' No': -1.9626253, '\n': -3.6703734, 'Yes': -4.093042, 'No': -5.414205}
{' No': -0.101124294, '\n': -3.3062232, ' ': -6.809561, 'No': -3.296015, ' Yes': -3.9305482}
{' Yes': -0.41888204, ' No': -1.2290245, '\n': -3.6285036, 'Yes': -4.382236, 'No': -4.79709}
{' No': -0.50099534, '\n': -4.139911, 'No': -4.5820346, ' Yes': -1.0146538, 'Yes': -5.3419075}
{' Yes': -0.021882601, 'Yes': -4.2526217, ' No': -5.6272273, '\n': -5.686425, ' yes': -8.418374}
{' No': -0.9294463, '\n': -2.9747877, 'No': -4.295882, ' Yes': -0.63559437, 'Yes': -4.725251}
{' Yes': -0.10043294, '\n': -2.7341418, 'Yes': -3.8372436, ' No': -4.872579, ' ': -7.3570704}
{' No': -0.053532932, '\n': -4.317851, ' ': -8.117692, 'No': -3.4304667, ' Yes': -5.243062}
{' No': -0.18313736, ' Yes': -1.9645646, 'No': -4.147437, '\n': -4.8444705, 'Yes': -6.100041}
{' No': -0.035674777, 'No': -3.525766, ' Yes': -5.8380413, '\n': -5.9793124, 'Yes': -9.511146}
{' No': -0.36413395, ' Yes': -1.3199351, 'No': -3.7611732, '\n': -4.7479463, 'Yes': -5.1643715}
{' No': -0.070803955, '\n': -4.282617, ' ': -7.3801675, 'No': -3.1220639, ' Yes': -4.685279}
{' No': -0.14613017, ' Yes': -2.6304097, 'No': -3.3205514, '\n': -3.7454877, 'Yes': -6.092316}
{' No': -0.065633394, 'No': -3.119903, ' Yes': -4.5452895, '\n': -4.9440494, ' The': -7.2006235}
{' No': -0.4946521, '\n': -3.9111083, 'No': -3.93244, ' Yes': -1.0760978, 'Yes': -5.01854}
{' No': -0.076056525, ' Yes': -2.997743, 'No': -4.479842, '\n': -4.496957, 'Yes': -7.522116}
{' No': -4.3624425, '\n': -5.1557984, ' Yes': -0.029745981, ' yes': -8.001065, 'Yes': -4.606332}
{' No': -0.38356373, ' Yes': -1.3005445, '\n': -3.7996345, 'No': -4.359403, ' Hospital': -5.047502}
{' No': -1.190021, '\n': -2.8067467, ' Yes': -0.48771054, ' Sur': -5.0474906, 'Yes': -4.809167}
{' No': -0.040384654, '\n': -4.755619, ' ': -7.518684, 'No': -3.9433484, ' Yes': -4.6201115}
{' Yes': -0.47532737, ' No': -1.0580168, '\n': -4.3025084, 'Yes': -4.6381574, 'No': -5.0817595}
{' Yes': -0.8190138, ' No': -1.1307431, '\n': -1.6468525, 'No': -3.751787, 'Yes': -4.05205}
{' No': -2.624707, '\n': -2.766566, 'No': -5.177933, ' Yes': -0.18880899, 'Yes': -3.5157304}
{' No': -0.62162733, ' Yes': -1.4825053, '\n': -1.8165412, 'No': -2.8320172, 'Yes': -4.4892936}
{' No': -4.521234, '\n': -2.5585532, ' ': -6.941579, ' Yes': -0.14183365, 'Yes': -3.1771846}
{' No': -0.18162751, '\n': -2.7792873, ' ': -6.8183055, 'No': -2.359833, ' Yes': -4.9502378}
{' No': -0.60598403, '\n': -2.5545123, 'No': -2.9672816, ' Yes': -1.1800005, 'Yes': -4.12624}
{' No': -4.1641903, '\n': -2.5942001, 'No': -6.3612638, ' Yes': -0.13741706, 'Yes': -3.378975}
{' No': -4.041016, '\n': -3.5961785, 'No': -6.349842, ' Yes': -0.08531858, 'Yes': -3.405518}
{' Yes': -0.44104627, '\n': -1.8230957, ' No': -1.9836394, 'Yes': -3.4708867, 'No': -3.945048}
{' Yes': -0.063675985, 'Yes': -3.077771, '\n': -4.276185, ' ': -7.2878804, ' yes': -7.639498}
{' Yes': -0.49103564, ' No': -1.5957185, '\n': -2.3200152, 'Yes': -3.2978058, 'No': -3.43882}
{' No': -4.787922, '\n': -3.6445084, 'No': -6.591799, ' Yes': -0.10320124, 'Yes': -2.8141654}
{' Yes': -0.11457455, ' No': -3.1754131, '\n': -3.452982, 'Yes': -3.5069485, 'No': -5.6637263}
{' No': -2.4408867, '\n': -3.488717, 'No': -5.0505533, ' Yes': -0.1556886, 'Yes': -4.0890436}
{' No': -0.5669749, ' Yes': -1.4967577, '\n': -1.7732545, 'No': -3.5022964, 'Yes': -4.9505405}
{' No': -0.12896568, '\n': -2.7012618, 'No': -3.1800177, ' Yes': -4.894827, ' Unfortunately': -6.2517376}
{' Yes': -0.13102962, ' No': -2.7185044, '\n': -3.5164225, 'Yes': -3.9075263, 'No': -5.5834904}
{' Yes': -0.09420417, '\n': -3.378666, 'Yes': -3.586283, ' No': -3.70364, 'No': -6.437143}
{' No': -0.8809021, '\n': -1.9707172, 'No': -3.053498, ' Yes': -0.99224925, 'Yes': -4.2306275}
{'\n': -2.1030352, ' ': -6.733759, ' Yes': -0.18918428, ' The': -6.978437, 'Yes': -3.0600774}
{' No': -0.3131334, '\n': -2.0233288, 'No': -2.8107414, ' Unfortunately': -3.3312838, ' Yes': -3.5582218}
{' Yes': -0.74500334, ' No': -0.93926483, '\n': -2.6069686, 'No': -3.457974, 'Yes': -4.1232343}
{' Yes': -0.013939376, 'Yes': -4.448202, '\n': -6.307802, ' yes': -9.151934, ' No': -9.400625}
{' No': -8.968574, '\n': -6.0259824, ' Yes': -0.019839618, ' yes': -8.055003, 'Yes': -4.0948935}
{'\n': -6.1161137, ' ': -8.267546, ' Yes': -0.02101111, ' Sur': -5.682817, 'Yes': -4.238733}
{' No': -0.1523063, ' Yes': -2.4564424, 'No': -3.5218358, '\n': -3.85122, 'Yes': -6.1180215}
{' Yes': -0.033564, 'Yes': -4.4664693, ' No': -4.617821, '\n': -4.760792, ' Patient': -6.526151}
{' No': -0.08044655, ' Yes': -3.0211947, '\n': -4.226416, 'No': -4.3802247, 'Yes': -7.2748566}
{' Yes': -0.38698313, ' No': -1.3004258, '\n': -3.4258509, 'Yes': -4.769389, 'No': -5.2464685}
{' No': -0.30165628, '\n': -3.7040951, 'No': -3.4986854, ' Yes': -1.6263309, 'Yes': -5.7408233}
{' No': -0.0893708, '\n': -3.9128764, 'No': -3.7872941, ' Yes': -3.2132359, 'Yes': -7.171535}
{' Yes': -0.2160229, ' No': -1.9117359, '\n': -3.6124673, 'Yes': -4.569973, 'No': -5.841688}
{' No': -0.038877845, 'No': -4.0603485, ' Yes': -4.239987, '\n': -5.112683, 'Yes': -8.329527}
{' No': -0.42322186, '\n': -3.9487686, 'No': -4.1874394, ' Yes': -1.1911241, 'Yes': -5.394354}
{' No': -0.48631147, '\n': -3.9407449, 'No': -3.5202127, ' Yes': -1.139977, ' Hospital': -4.742766}
{' No': -2.8027232, '\n': -4.5532784, ' Yes': -0.10223442, ' Sur': -4.840609, 'Yes': -4.237242}
{' No': -0.39095175, '\n': -3.7041056, 'No': -4.302962, ' Yes': -1.2853209, 'Yes': -5.6591244}
{' No': -6.7393804, '\n': -3.2124512, ' ': -7.2946725, ' Yes': -0.076867215, 'Yes': -3.4807308}
{' No': -5.5279317, '\n': -2.362082, ' ': -6.507481, ' Yes': -0.15107788, 'Yes': -3.2543378}
{' Yes': -0.5144702, '\n': -1.7556258, ' No': -1.8447962, 'Yes': -3.4024153, 'No': -3.5269825}
{'\n': -3.6100442, ' ': -7.7592287, ' Yes': -0.077117756, ' The': -6.982252, 'Yes': -3.1033874}
{' No': -0.5491181, '\n': -1.5511667, 'No': -2.1118908, ' Yes': -3.1439495, ' Unfortunately': -3.709303}
{' No': -0.23152092, ' Yes': -1.9172242, '\n': -3.5867128, 'No': -3.6221666, 'Yes': -5.4677496}
{' No': -0.12537959, '\n': -5.9226475, 'No': -4.0918865, ' Yes': -2.3368015, 'Yes': -6.6156597}
{' No': -0.234821, ' Yes': -2.2085757, '\n': -2.990478, 'No': -3.1499763, 'Yes': -5.9087}
{' No': -1.5999302, '\n': -2.3361132, ' Yes': -0.48558837, ' Sur': -2.7742295, 'Yes': -4.303505}
{' No': -0.038193397, 'No': -3.5712323, ' Yes': -5.0805, '\n': -5.8983946, 'Yes': -8.904673}
{' No': -1.48156, '\n': -3.5924435, 'No': -4.7969017, ' Yes': -0.3399681, 'Yes': -3.8718586}
{' Yes': -0.46622068, ' No': -1.103733, '\n': -3.9149454, 'Yes': -4.4439254, 'No': -4.7560554}
{' Yes': -0.017960688, 'Yes': -4.330327, '\n': -5.801993, ' No': -7.155637, ' yes': -7.968949}
{' No': -0.8678412, '\n': -5.4245925, 'No': -4.4998274, ' Yes': -0.5853132, 'Yes': -4.939225}
{' No': -4.1499753, '\n': -4.72111, ' Yes': -0.04018651, ' Sur': -6.9812303, 'Yes': -4.332888}
{' No': -0.046586253, 'No': -3.6323385, ' Yes': -4.177655, '\n': -5.8064814, 'Yes': -8.275544}
{' No': -0.7953206, '\n': -5.470766, 'No': -4.905033, ' Yes': -0.6382179, 'Yes': -4.8182125}
{' No': -0.0557339, 'No': -3.5001974, '\n': -4.2495794, ' Yes': -4.6950693, ' ': -8.124288}
{' No': -0.37314594, ' Yes': -1.2851542, 'No': -3.7158432, 'Yes': -5.0838795, '\n': -5.5564556}
{' No': -0.03184263, 'No': -3.898778, ' Yes': -4.6633177, '\n': -6.6132574, ' ': -8.911815}
{' No': -0.04676256, '\n': -5.468519, 'No': -3.3702126, ' Yes': -5.030876, 'Yes': -8.387564}
{' No': -0.037834913, 'No': -3.4516113, ' Yes': -5.6404157, '\n': -6.4310684, ' ': -9.145575}
{' No': -0.39488894, '\n': -6.024007, 'No': -3.4535263, ' Yes': -1.2746439, 'Yes': -4.445834}
{' No': -0.080470584, '\n': -5.7517166, 'No': -4.2849574, ' Yes': -2.8217425, 'Yes': -7.213897}
{' Yes': -0.047208413, ' No': -3.3009543, 'Yes': -4.861158, '\n': -7.0689254, 'No': -7.720633}
{' No': -0.09233381, '\n': -5.87357, 'No': -4.239753, ' Yes': -2.6576166, 'Yes': -7.3477426}
{' No': -0.07005206, '\n': -5.4142995, 'No': -4.6289983, ' Yes': -2.9458454, 'Yes': -7.4282746}
{' No': -0.0136461565, 'No': -4.593072, ' Yes': -6.003983, '\n': -7.130387, ' ': -9.689691}
{' Yes': -0.5420626, ' No': -0.91149884, 'Yes': -4.869894, 'No': -5.1526275, '\n': -5.883783}
{' No': -1.1160026, '\n': -3.3747818, 'No': -4.0758657, ' Yes': -0.50898695, 'Yes': -3.9573455}
{' Yes': -0.26911753, ' No': -1.9315513, '\n': -2.8798218, 'Yes': -3.6706007, 'No': -4.783966}
{' No': -0.3094895, '\n': -3.229293, 'No': -3.2573671, ' Yes': -1.7056724, 'Yes': -5.2981634}
{' Yes': -0.2873591, ' No': -1.9233797, '\n': -2.8266542, 'Yes': -3.3652759, 'No': -4.773086}
{' No': -0.11354761, 'No': -2.6741345, '\n': -3.7462192, ' Yes': -4.351833, ' ': -7.487043}
{' No': -0.297182, '\n': -3.3280694, 'No': -2.8722684, ' Yes': -1.8617343, 'Yes': -4.830034}
{' No': -4.247757, '\n': -3.199585, 'No': -6.3383923, ' Yes': -0.104151, 'Yes': -3.198498}
{' No': -3.2871516, '\n': -3.6826477, 'No': -5.5515175, ' Yes': -0.11022788, 'Yes': -3.3034842}
{' Yes': -0.17863928, '\n': -2.6062133, 'Yes': -3.113036, ' No': -3.288567, 'No': -5.172698}
{' No': -6.5002966, '\n': -2.939361, ' ': -7.109176, ' Yes': -0.11746379, 'Yes': -2.9040487}
{' No': -0.62066185, '\n': -1.6198035, 'No': -2.5391512, ' Yes': -1.8228446, 'Yes': -4.5415354}
{' No': -3.416286, '\n': -2.993135, 'No': -5.3782306, ' Yes': -0.15548865, 'Yes': -2.9148138}
{' No': -4.2793307, '\n': -4.9783936, 'No': -7.1094923, ' Yes': -0.045966975, 'Yes': -3.7874353}
{' Yes': -0.16479076, ' No': -2.4918916, '\n': -3.0597415, 'Yes': -4.202108, 'No': -5.3279834}
{' No': -0.31966233, ' Yes': -1.7325823, '\n': -3.0003989, 'No': -3.212818, 'Yes': -5.124853}
{' No': -0.07185706, 'No': -3.204265, '\n': -4.1705394, ' Yes': -4.4156356, ' ': -8.118962}
