{' even': -1.1110401, ' odd': -1.5661411, ' 0': -2.014165, ' 1': -2.272643, ':': -2.420803}
{' even': -0.036252305, ' 0': -4.196985, ' ': -5.585325, ' zero': -5.596848, ':': -5.858384}
{' an': -4.895939, ' 1': -4.405817, ' odd': -0.8849068, ' 0': -4.4841547, ' even': -0.6529456}
{':': -5.498003, ' an': -5.9809875, ' odd': -2.297255, ' 0': -5.004606, ' even': -0.13285679}
{' an': -4.347107, ' not': -5.802313, ' odd': -0.71525615, ' 0': -5.670886, ' even': -0.7476276}
{' even': -0.29742312, ' 0': -2.3291125, ' odd': -2.8243337, ':': -3.5937114, ' ': -4.0215364}
{' odd': -0.22688872, ' even': -1.7947416, ' --': -5.344192, ' 0': -5.547227, ' 1': -5.6108785}
{' even': -1.3709954, ' odd': -1.4198073, ' 0': -1.8446301, ' 1': -2.0679207, ':': -2.2556436}
{' even': -0.091785826, ' 0': -3.2152433, ' zero': -4.730938, ':': -4.737175, ' Even': -5.2342863}
{' Odd': -4.89774, ' ': -6.2176685, ' 1': -4.325953, ' odd': -0.04000913, ' even': -4.964805}
{':': -4.2038713, ' Even': -4.0237856, ' odd': -2.3594673, ' 0': -2.1130855, ' even': -0.36423844}
{' Odd': -5.6678267, ' ': -6.2942076, ' 1': -6.008601, ' odd': -0.07124511, ' even': -2.9274604}
{' even': -0.09024109, ' odd': -2.9304767, ' 0': -4.9832273, ' an': -5.1658797, ' ': -6.0031395}
{' 1': -5.268685, ' odd': -0.7167508, ' 0': -4.199906, ' zero': -5.185415, ' even': -0.7769878}
{' ': -3.1721265, ':': -3.950688, ' odd': -3.7971666, ' 0': -4.8130865, ' even': -0.12226172}
{' odd': -0.30948374, ' even': -1.4830848, ' ': -4.858735, ':': -5.0132813, '\n': -5.470573}
{' odd': -0.45917693, ' even': -1.5619239, ' 1': -2.9315584, ' 0': -3.676961, ':': -3.8253849}
{' even': -0.054414812, ' 0': -4.435368, ' odd': -4.676731, ':': -5.066554, ' ': -5.123271}
{' ': -5.262813, ':': -4.9213047, ' 1': -3.5493248, ' odd': -0.0838049, ' even': -3.8682077}
{' ': -5.886403, ':': -5.559697, ' 0': -3.9878323, ' zero': -5.171513, ' even': -0.042313207}
{' **': -1.8506533, '\n': -3.1529489, ':': -3.6232936, ' odd': -0.5663468, ' even': -2.3878944}
{':': -4.940119, ' 1': -4.5254135, ' odd': -2.3319309, ' 0': -2.22768, ' even': -0.3009843}
{' even': -0.3843646, ' odd': -1.282598, '\n': -4.890903, ' ': -5.1215067, ':': -5.505248}
{' ': -5.2624826, ':': -5.6062884, ' an': -6.140497, ' odd': -4.3751163, ' even': -0.03429419}
{' odd': -0.08677038, ' even': -2.61432, '\n': -6.164312, ' ': -6.1676116, ':': -6.6084337}
{':': -2.4789753, ' 1': -2.6566975, ' odd': -1.6786654, ' 0': -2.1739113, ' even': -0.9835121}
{' even': -0.13330133, ' 0': -3.2231936, ' 1': -4.2059226, ':': -4.251447, ' odd': -4.4223104}
{' 1': -2.398371, ' odd': -0.16637085, ' 4': -5.1179543, ' 0': -4.8104634, ' even': -3.9020987}
{' even': -0.12564208, ' 0': -2.6161454, ':': -4.844904, ' odd': -5.286087, ' Even': -5.331753}
{' odd': -0.38321468, ' even': -1.2535113, ':': -4.980066, ' 1': -5.106425, ' ': -5.2206526}
{' Even': -6.095458, ' odd': -2.5518465, ' 0': -3.2506638, ' zero': -5.5917315, ' even': -0.14949623}
{':': -6.285861, ' an': -4.3595033, ' not': -5.4206057, ' odd': -1.1090435, ' even': -0.46655992}
{' even': -0.1007571, ' odd': -3.151354, ' ': -4.4028068, ':': -5.0774436, ' 0': -5.1712723}
{' Odd': -5.3918505, ' an': -4.0068583, ' odd': -0.27283987, ' 0': -5.016987, ' even': -1.673485}
{' even': -0.68980074, ' odd': -1.9782403, ' 0': -2.1693423, ':': -2.3078027, ' 1': -2.752749}
{'\n': -3.1012158, ':': -2.6980155, ' 1': -3.5551236, ' 0': -2.0598915, ' even': -0.5010085}
{' even': -1.1087716, ' odd': -1.1945956, ' 0': -1.9050535, ' 1': -2.8510141, ':': -3.646312}
{' even': -0.17347498, ' 0': -2.626127, ' 4': -3.9062903, ' odd': -4.218559, ' zero': -4.60607}
{' Odd': -4.0776534, ' 1': -4.1357493, ' odd': -0.45165226, ' 0': -3.5006783, ' even': -1.3427579}
{':': -5.0432053, ' 1': -5.36834, ' odd': -2.5511408, ' 0': -3.0537038, ' even': -0.18063454}
{' odd': -0.5822359, ' even': -1.1239125, ' 0': -3.5190523, ' 1': -4.470865, ':': -4.6023}
{' even': -0.05276015, ' odd': -3.4312382, ' ': -5.617039, ':': -6.0089335, ' 0': -6.046488}
{' odd': -0.31404674, ' even': -1.5694892, ' an': -4.6565223, ' false': -5.0041995, '\n': -5.3596683}
{' even': -0.6178687, ' odd': -1.457803, ' 0': -2.5359547, ':': -3.3808985, ' 1': -3.6921875}
{':': -5.1971216, ' 1': -5.3695045, ' odd': -4.6851726, ' 0': -3.577573, ' even': -0.07377399}
{' odd': -0.25877365, ' even': -2.065111, ' 1': -3.6235175, ' ': -4.273377, ' 0': -4.4880495}
{' 1': -5.2946224, ' odd': -4.3759594, ' 0': -3.2372975, ' zero': -5.127074, ' even': -0.089818336}
{' Odd': -4.833608, ':': -4.6970763, ' 1': -4.2417006, ' odd': -0.31558284, ' even': -1.5856004}
{':': -4.4569974, ' 1': -5.3225102, ' odd': -1.7647585, ' 0': -3.3769746, ' even': -0.28523865}
{' ': -5.768888, ':': -5.769702, ' not': -5.805376, ' odd': -0.6243822, ' even': -0.8234733}
{' even': -0.14792632, ' odd': -2.5997648, ' ': -4.3649817, ':': -4.4526796, ' 0': -4.7694263}
{'\n': -6.2060747, ' 1': -5.976533, ' odd': -0.10162259, ' 0': -6.0141306, ' even': -2.5132797}
{':': -3.1991935, ' 1': -2.2004268, ' odd': -1.8124368, ' 0': -1.4611938, ' even': -1.0452896}
{' 1': -4.4677835, ' odd': -4.632302, ' 0': -3.0254805, ' zero': -5.338798, ' even': -0.097570725}
{' odd': -0.11103173, ' even': -3.8396094, ' 1': -4.064022, '\n': -4.6244917, ' ': -4.638159}
{'\n': -4.650078, ' 1': -3.991311, ' odd': -3.4180353, ' 0': -1.3747661, ' even': -0.44626132}
{' ': -4.387393, ' 1': -4.0413995, ' odd': -0.6214951, ' 0': -3.2013938, ' even': -1.1227055}
{' ': -5.291031, ':': -5.7985325, ' odd': -4.164711, ' 0': -5.4813614, ' even': -0.048158545}
{' Odd': -3.3198166, ' an': -5.7008653, ' Even': -5.60275, ' odd': -0.3160545, ' even': -1.5865384}
{' even': -0.033210874, ' odd': -4.583205, ' ': -5.0292845, ':': -5.0350685, ' Even': -6.04553}
{' odd': -0.11548675, ' even': -2.4962363, ' false': -5.208668, ' 0': -5.282207, ' ': -5.7755046}
{':': -2.0036645, ' 1': -2.528458, ' odd': -1.607407, ' 0': -1.8285213, ' even': -1.4203714}
{' even': -0.17188995, ' 0': -2.649118, ' 1': -4.0246105, ' odd': -4.482616, ':': -4.6331573}
{' Odd': -5.3573313, ' 1': -3.7434874, ' odd': -0.12712863, ' 0': -4.047559, ' even': -2.7972012}
{' odd': -5.018862, ' 4': -4.4079514, ' 0': -1.9616251, ' zero': -4.920665, ' even': -0.204202}
{' ': -2.622209, ' 1': -2.7227757, ' odd': -0.48729825, ' 0': -3.385642, ' even': -2.0759842}
{':': -4.534723, ' Even': -4.303992, ' odd': -1.6792836, ' 0': -4.1658235, ' even': -0.3278814}
{'\n': -4.319035, ' ': -4.4873567, ':': -4.205543, ' odd': -0.87838715, ' even': -0.7280937}
{'\n': -4.9063535, ' ': -3.8292875, ' odd': -3.7439797, ' 0': -3.0251932, ' even': -0.14441738}
{'\n': -6.1710567, ' Odd': -5.6379275, ':': -6.0466814, ' odd': -0.04384877, ' even': -3.7526345}
{' even': -1.1179595, ' 0': -1.1488367, ' 1': -1.9957384, ' odd': -2.1749768, ':': -3.4182637}
{'\n': -3.7750475, ':': -2.7706437, ' Even': -3.2436717, ' odd': -1.9447062, ' even': -0.5598071}
{' odd': -0.36059034, ' even': -1.5811819, ' 0': -3.759868, ' 1': -3.8577483, ' Odd': -4.514597}
{'\n': -3.5630755, ' ': -3.3430274, ':': -3.499739, ' 0': -3.2224133, ' even': -0.21998441}
{' odd': -0.6156451, ' even': -0.81962746, ' ': -5.5196557, ' 1': -5.700802, ' 0': -6.025572}
{' even': -0.11605049, ' odd': -2.9142118, ' 0': -4.0704837, ' ': -4.867069, ':': -4.9026494}
{' an': -6.1034, ' not': -6.1158133, ' odd': -0.39721924, ' neither': -5.20788, ' even': -1.1807275}
{' even': -0.26092556, ' 0': -2.3421814, ' ': -3.4458563, ' odd': -3.4516468, ':': -3.5380106}
{' odd': -0.20244296, ' even': -1.8971897, ':': -5.1701283, '\n': -5.210236, ' Odd': -5.3012223}
{':': -3.2315135, ' 1': -3.7432463, ' odd': -1.9190801, ' 0': -3.3676913, ' even': -0.35376868}
{':': -3.2862723, ' Even': -3.8586793, ' odd': -1.8739096, ' 0': -3.387382, ' even': -0.38882124}
{' odd': -0.35867828, ' 0': -1.9097141, ' 1': -2.8073473, ' even': -2.9461033, ' Odd': -4.751563}
{' even': -0.08602645, ' 0': -4.0037403, ' odd': -4.0412416, ' ': -4.467271, ':': -5.172201}
{' even': -0.70113623, ' odd': -0.75022763, ' ': -5.1378646, ' 1': -5.372494, ' 0': -5.4147267}
{'\n': -3.400653, ':': -4.029374, ' odd': -2.6034806, ' 0': -3.0086422, ' even': -0.30073476}
{' odd': -0.6191955, ' even': -0.8561979, ' not': -5.498013, ' neither': -5.5264564, ':': -5.636815}
{' ': -5.399626, ':': -5.776754, ' an': -6.3432384, ' odd': -4.8616962, ' even': -0.023161093}
{'\n': -5.743652, ' Odd': -5.8378396, ' odd': -0.49427283, ' 0': -5.4018826, ' even': -1.0061288}
{':': -2.1973543, ' 1': -2.3597028, ' odd': -1.9609776, ' 0': -1.7202232, ' even': -1.0218505}
{':': -4.5167947, ' odd': -2.8604634, ' 0': -3.1249514, ' zero': -4.6786537, ' even': -0.1736863}
{'\n': -5.5495515, ' 1': -4.0980835, ' odd': -0.3219016, ' 0': -4.1082106, ' even': -1.6177696}
{'\n': -4.701696, ' ': -4.4234757, ':': -4.6641974, ' odd': -4.8638167, ' even': -0.06316138}
{' **': -4.9141746, ' 1': -4.7151127, ' odd': -0.54692304, ' 0': -4.481606, ' even': -1.0157913}
{' even': -0.16876641, ' odd': -2.7541049, ' 0': -3.1781628, ' an': -4.4846845, ' zero': -5.186706}
{'\n': -6.5390296, ' ': -6.074708, ':': -6.2746835, ' odd': -0.5984833, ' even': -0.8387357}
{' even': -0.31325656, ' odd': -2.4969342, ':': -3.094268, ' ': -3.5197902, '\n': -3.5669959}
{' odd': -0.5512711, ' even': -1.5398251, ' 1': -2.4854856, ' 0': -2.771047, '\n': -4.490725}
{':': -3.4742413, ' 1': -3.9639454, ' odd': -1.8321307, ' 0': -3.2558174, ' even': -0.38748002}
{' ': -5.9800787, ' 1': -5.3176494, ' odd': -5.570731, ' 0': -4.069945, ' even': -0.04052312}
{' odd': -0.91655195, ' even': -1.1378235, ' 0': -2.1789317, ' 1': -2.990931, '\n': -4.2379417}
{' even': -0.16586104, ' 0': -2.7854898, ' odd': -3.1605022, ':': -4.8092213, ' zero': -5.0926847}
{' odd': -0.5254801, ' even': -1.1366109, ' 1': -3.7502303, ' 0': -4.361943, '\n': -4.416453}
{' even': -0.02044013, ' odd': -4.619429, ' an': -6.2275457, ' ': -6.305638, ' 0': -6.58053}
{' an': -4.772064, ' not': -4.858794, ' odd': -0.59587604, ' neither': -6.191997, ' even': -0.88464683}
{' even': -0.17578483, ' odd': -2.4011848, ' 0': -3.9048953, ' ': -4.677053, ':': -4.7440653}
{'\n': -5.466673, ' Odd': -4.6792555, ':': -5.0076723, ' odd': -0.15503894, ' even': -2.2276182}
{':': -2.234252, ' 1': -2.0049543, ' odd': -1.7164736, ' 0': -1.1505499, ' even': -2.1893263}
{' --': -4.533849, ' 1': -4.2770553, ' odd': -2.5881355, ' 0': -3.7038991, ' even': -0.18855734}
{'\n': -5.337153, ' Odd': -5.0588784, ' 1': -4.1793056, ' odd': -0.06626575, ' even': -3.939488}
{' even': -0.103305124, ' 0': -3.6118958, '\n': -4.233388, ' ': -4.377846, ' odd': -4.4164667}
{' odd': -0.74354655, ' even': -0.781991, ' 1': -4.343475, ' 0': -4.4315114, ' Odd': -4.5762763}
{':': -5.5988016, ' an': -4.8670363, ' odd': -4.330017, ' 0': -4.1086283, ' even': -0.06340344}
{' Odd': -5.120932, ' not': -5.9417677, ' odd': -0.5566337, ' neither': -5.2128706, ' even': -0.944966}
{' ': -4.419192, ':': -4.380728, ' odd': -2.616075, ' 0': -4.3037953, ' even': -0.16308834}
{' 1': -6.0798907, ' false': -6.4640965, ' odd': -0.22829953, ' 0': -5.5952463, ' even': -1.676717}
{':': -2.2732728, ' 1': -2.0409453, ' odd': -1.9155887, ' 0': -1.1709826, ' even': -1.847358}
{' 1': -5.6589804, ' odd': -5.2822433, ' 0': -3.2551177, ' zero': -5.0473847, ' even': -0.07205818}
{' Odd': -4.824695, ' 1': -2.8189595, ' odd': -0.7189306, ' 0': -2.6113646, ' even': -1.1591868}
{' even': -0.48352826, ' 0': -1.8208151, ' odd': -2.4650154, ':': -3.1902542, ' 1': -3.744053}
{':': -4.348648, ' 1': -3.1475098, ' odd': -0.44654715, ' 0': -3.7597969, ' even': -1.4482962}
{' even': -0.12444276, ' 0': -3.4955804, ' odd': -4.142128, ':': -4.3818736, '\n': -4.603532}
{':': -5.6044545, ' an': -5.4804473, ' odd': -0.5657911, ' 0': -5.4675455, ' even': -0.9454669}
{' even': -0.038986422, ' ': -4.8911695, ' 0': -5.022434, ':': -5.1592827, ' odd': -5.7465663}
{' Odd': -3.9312975, ' 1': -4.424779, ' odd': -0.4847041, ' 0': -3.8596547, ' even': -1.2190554}
{':': -3.2323427, ' 1': -2.797762, ' odd': -1.3465652, ' 0': -1.6477233, ' even': -1.0910006}
{' ': -4.4525905, ':': -3.1832397, ' 1': -3.7017415, ' 0': -1.8201959, ' even': -0.33473563}
{' odd': -0.3353236, ' even': -1.9527694, ' 0': -2.8816195, ' 1': -3.322791, ' Odd': -4.3750343}
{':': -4.858642, ' Even': -5.5730805, ' 0': -2.0041265, ' zero': -4.6856594, ' even': -0.19666903}
{' Odd': -5.5462995, ' 1': -3.8212166, ' odd': -0.14041448, ' 0': -4.966836, ' even': -2.4358597}
{' ': -5.5759573, ' an': -5.540612, ' odd': -3.5271592, ' 0': -4.3444915, ' even': -0.0703864}
{' even': -0.5531463, ' odd': -0.9613379, ':': -4.8478146, ' ': -4.858053, ' neither': -5.345089}
{' ': -4.2769837, ':': -3.6345038, ' odd': -3.9602253, ' 0': -2.2049098, ' even': -0.25665712}
{' Odd': -3.3297763, ' an': -4.789409, ' Even': -4.569652, ' odd': -0.4472576, ' even': -1.2995869}
{' 0': -0.9491174, ' even': -1.6295545, ' 1': -2.1666448, ':': -2.512595, ' odd': -2.522659}
{':': -4.5189, ' 1': -4.7676897, ' odd': -4.311125, ' 0': -3.0678065, ' even': -0.14587125}
{' Odd': -4.507123, ' 1': -4.7680616, ' odd': -0.21029492, ' 0': -4.603219, ' even': -2.0277054}
{' 1': -5.939125, ' odd': -4.779118, ' 0': -3.582408, ' zero': -5.1576033, ' even': -0.060114823}
{' Odd': -3.6240373, ' ': -4.700727, ' odd': -0.50815564, ' 0': -4.391957, ' even': -1.1921479}
{'\n': -5.2046485, ':': -4.613186, ' odd': -3.0215394, ' 0': -4.2824287, ' even': -0.116975754}
{' Odd': -5.177028, ':': -5.2136736, ' not': -5.036646, ' odd': -0.6339846, ' even': -0.8778506}
{' ': -4.8878107, ' Even': -5.0765557, ' odd': -2.5847754, ' 0': -4.118779, ' even': -0.14100014}
{'\n': -4.3245063, ' 1': -5.134979, ' odd': -0.3411746, ' 0': -4.2255588, ' even': -1.4729047}
{':': -2.781494, ' 1': -2.5675228, ' odd': -1.4637171, ' 0': -2.1603322, ' even': -0.828057}
{':': -3.655214, ' Even': -4.863716, ' 1': -4.2393837, ' 0': -1.3130502, ' even': -0.43299088}
{' Odd': -5.0418158, ' ': -5.4180584, ' 1': -5.250458, ' odd': -0.048830204, ' even': -4.211794}
{' ': -4.2082734, ' 1': -5.3261685, ' odd': -4.106305, ' 0': -4.019812, ' even': -0.083367944}
{' Odd': -5.63426, ' 1': -4.557797, ' odd': -0.13880335, ' 0': -4.784796, ' even': -2.3283355}
{':': -4.186939, ' an': -4.231522, ' odd': -3.386497, ' 0': -2.8286042, ' even': -0.16893274}
{' even': -0.55061424, ' odd': -1.0671223, ' an': -3.8753, ' 0': -4.3359227, ' 1': -5.007715}
{' ': -4.8217487, ':': -5.567334, ' an': -5.032736, ' odd': -4.441452, ' even': -0.044676892}
{'\n': -3.9678597, ' ': -4.527579, ' an': -4.7726054, ' odd': -0.14634576, ' even': -3.2271295}
{' 0': -1.1767825, ' odd': -1.2616565, ' even': -1.6386793, ' 1': -2.6006095, '\n': -3.3634467}
{'\n': -5.3723545, ' 1': -4.96611, ' odd': -4.668727, ' 0': -4.1254063, ' even': -0.063883096}
{' odd': -0.09013053, ' 1': -3.6491601, ' even': -3.8876061, ' 0': -4.239327, ' Odd': -4.8578944}
{' Even': -4.8741236, ' 1': -4.1430163, ' odd': -2.281955, ' 0': -1.4097881, ' even': -0.5302487}
{' odd': -0.6782497, ' even': -1.266083, ' 0': -2.2174973, ' 1': -2.737366, ' Odd': -4.196426}
{' even': -0.08572501, ' odd': -3.1236029, ' 0': -4.5977335, ':': -4.8406506, ' ': -5.466528}
{' odd': -0.5857173, ' even': -0.97950083, ' 0': -4.1910458, ' an': -4.4486103, ' not': -4.834282}
{' ': -2.8652763, ':': -2.7878923, ' odd': -2.9785302, ' 0': -2.6810572, ' even': -0.45216686}
{' ': -5.9940248, ' false': -6.2155395, ' odd': -0.0646011, ' 0': -6.0126276, ' even': -3.0734718}
{':': -3.561934, ' 1': -3.5758386, ' odd': -1.8462851, ' 0': -2.486231, ' even': -0.5803436}
{':': -3.8779008, ' 1': -4.174659, ' odd': -3.6595237, ' 0': -3.100048, ' even': -0.18570824}
{' odd': -0.06247007, ' even': -3.8244355, ' 1': -4.336023, ' Odd': -4.9266086, ' 0': -5.455219}
{' ': -4.8549953, ':': -5.7194915, ' odd': -4.5677123, ' 0': -3.6850219, ' even': -0.06889713}
{' Odd': -5.8732624, ' ': -6.0493603, ':': -5.5025024, ' odd': -0.20230822, ' even': -1.8249887}
{':': -5.4255652, ' 1': -5.6298523, ' odd': -2.4732118, ' 0': -3.7984717, ' even': -0.1449532}
{' odd': -0.4612941, ' even': -1.1495198, ' an': -4.294047, ' not': -4.6333647, ' Odd': -5.603972}
{'\n': -4.8902354, ' ': -3.6298995, ':': -5.155816, ' odd': -3.4295297, ' even': -0.109538406}
{' odd': -0.1563648, ' even': -2.4292338, ' 0': -4.162701, ' 1': -4.335755, ' Odd': -5.013648}
{' even': -0.82741874, ' 0': -1.6759676, ' odd': -2.140616, ':': -2.2450936, ' 1': -3.187318}
{' even': -0.82726425, ' 0': -1.0154518, ' 1': -2.7664924, ' odd': -3.023557, ' zero': -4.0561824}
{' Odd': -5.3500366, ' 1': -3.8728158, ' odd': -0.09564874, ' 0': -5.8795195, ' even': -3.121802}
{':': -4.7424583, ' 4': -3.7827847, ' 0': -1.2324337, ' zero': -3.9381943, ' even': -0.49084124}
{' odd': -0.34718683, ' even': -1.3991029, ' Odd': -4.7850337, ' 1': -4.8407645, ' 0': -4.947129}
{'\n': -5.112487, ' ': -5.554129, ' odd': -3.592862, ' 0': -5.5733714, ' even': -0.06721013}
{':': -5.2126746, ' not': -5.4754977, ' odd': -0.76320994, ' neither': -5.1726785, ' even': -0.7065102}
{'\n': -4.763723, ' ': -4.039616, ':': -4.61861, ' odd': -3.7524092, ' even': -0.09453175}
{' odd': -0.16410145, ' even': -2.1177833, ' Odd': -5.1777883, ' false': -5.2396736, ' 0': -5.4647603}
{':': -3.4994237, ' 1': -2.8876977, ' odd': -1.9249283, ' 0': -1.9626373, ' even': -0.6417271}
{' even': -0.08234865, ':': -4.059925, ' 0': -4.0790095, ' ': -4.801573, '\n': -4.8760376}
{' odd': -0.041572034, ' even': -4.2719965, ' 1': -5.015564, ' Odd': -5.4763994, ' ': -5.722648}
{' 1': -3.4112477, ' odd': -3.8791053, ' 0': -0.81364226, ' zero': -5.15677, ' even': -0.75951743}
{' odd': -0.4312032, ' 1': -2.009145, ' even': -2.3762734, ' 0': -2.5397255, ':': -4.269807}
{':': -5.4911776, ' an': -4.4652796, ' odd': -3.3362544, ' 0': -3.373524, ' even': -0.10832718}
{' Odd': -5.1525235, ' an': -4.1153636, ' not': -5.0008807, ' odd': -0.5857747, ' even': -1.0000756}
{' ': -3.6985524, ':': -2.636559, ' odd': -1.8550353, ' 0': -2.8154702, ' even': -0.46959263}
{' odd': -0.32811457, ' even': -1.4536753, ':': -4.859379, '\n': -4.8793626, ' ': -5.0855923}
{' even': -1.0669788, ' odd': -1.3030703, ' 0': -1.9631304, ' 1': -2.1481736, ':': -3.055421}
{' even': -0.2948114, ' 0': -1.8892852, ' 1': -3.7147415, ' odd': -4.090316, ' zero': -4.5213785}
{' odd': -0.060110833, ' even': -3.400071, ' 1': -5.245382, ' Odd': -5.36346, ' 0': -5.6747}
{' 0': -0.5276088, ' even': -1.1651773, '\n': -3.6835449, ' ': -4.44376, ' 1': -4.6046457}
{' odd': -0.6442597, ' even': -0.8826802, ' an': -4.3002424, ' 0': -4.627778, ' 1': -4.9488792}
{' even': -0.13859348, ' odd': -2.9492404, ' 0': -3.1095436, ' an': -5.0355763, ':': -5.3592973}
{' Odd': -5.081525, ':': -4.8320255, ' an': -4.7971616, ' odd': -0.50393766, ' even': -1.0874262}
{':': -4.921522, ' an': -5.444044, ' Even': -4.123949, ' odd': -4.068557, ' even': -0.0634061}
{'\n': -5.476192, ' ': -5.7317796, ' false': -5.2031975, ' odd': -0.112909265, ' even': -2.5847368}
{':': -2.135791, ' 1': -2.41694, ' odd': -1.2520316, ' 0': -1.867574, ' even': -1.3369001}
{' ': -5.4023504, ':': -3.6148973, ' 1': -4.7380733, ' 0': -2.6046622, ' even': -0.15150197}
{' 1': -2.9737277, ' odd': -0.5133538, ' 0': -2.2349687, ' zero': -4.572066, ' even': -1.832869}
{' ': -5.176866, ' 1': -5.3756957, ' odd': -3.318994, ' 0': -4.325277, ' even': -0.08686984}
{' odd': -0.5278148, ' 1': -1.8152589, ' even': -2.1848905, ' 0': -2.2099628, ':': -5.4204125}
{' an': -5.6208878, ' Even': -5.735177, ' odd': -5.617553, ' 0': -5.3931065, ' even': -0.023916317}
{' odd': -0.44754732, ' even': -1.2392249, ' 0': -4.5281444, ' 1': -4.827816, ' an': -5.1336875}
{' ': -4.142023, ':': -4.3581567, ' -': -4.44944, ' odd': -3.7791145, ' even': -0.092556946}
{' odd': -0.16547808, ' even': -2.065903, ' 1': -5.471674, ' ': -5.5264597, ' 0': -6.0260572}
{':': -2.9812803, ' 1': -2.4201596, ' odd': -2.8171663, ' 0': -0.89839196, ' even': -1.1970133}
{' even': -0.06067162, ' 0': -3.9164386, ' odd': -4.3981667, ' 1': -5.2357454, ':': -5.376701}
{' Odd': -4.290932, ' 1': -4.5569034, ' odd': -0.21098194, ' 0': -4.853616, ' even': -2.3231044}
{':': -4.097507, ' 1': -3.6308997, ' odd': -1.4191618, ' 0': -1.8936073, ' even': -0.7611724}
{' Odd': -5.308404, ' ': -6.3188605, ' 1': -6.600765, ' odd': -0.082648486, ' even': -2.7239478}
{' an': -6.0978637, ' Even': -5.6542306, ' odd': -2.6203861, ' 0': -6.10238, ' even': -0.09301487}
{'\n': -4.7573376, ' ': -4.9267693, ' an': -4.926015, ' odd': -0.9247046, ' even': -0.6240186}
{'\n': -4.2596807, ' ': -3.7698593, ':': -4.0216455, ' odd': -3.2288353, ' even': -0.1609414}
{'\n': -4.65979, ' ': -5.1906366, ' false': -5.174464, ' odd': -0.20078388, ' even': -2.0772018}
{':': -3.0894604, ' 1': -3.5853927, ' odd': -0.8059406, ' 0': -3.3845835, ' even': -1.017766}
{'\n': -3.385999, ' ': -3.5410142, ':': -3.260146, ' 0': -1.8855293, ' even': -0.4560554}
{' Odd': -5.0149503, ' ': -5.27179, ' 1': -3.0866885, ' odd': -0.100964054, ' even': -4.439321}
{' even': -0.058059063, ' 0': -3.5168183, ' ': -5.0645914, ' 4': -5.755677, ':': -5.856572}
{' ': -5.6279993, ' 1': -4.8361263, ' odd': -0.15429053, ' 0': -5.4196734, ' even': -2.1802695}
{':': -5.169603, ' an': -4.478887, ' odd': -2.6108534, ' 0': -2.965818, ' even': -0.18452218}
{' an': -4.9219613, ' 1': -5.600034, ' odd': -0.45975277, ' 0': -5.397535, ' even': -1.1187856}
{' even': -0.065223835, ' odd': -4.195134, ' ': -4.41038, ':': -4.8869, '\n': -5.5410967}
{' Odd': -4.434781, ' 1': -4.668334, ' odd': -0.3354859, ' 0': -3.4623814, ' even': -1.6480936}
{':': -3.1147609, ' 1': -2.1283345, ' odd': -1.3224427, ' 0': -2.2319207, ' even': -0.92725325}
