{' No': -0.45905298, ' ': -8.874247, 'No': -7.228599, ' Yes': -1.0040588, 'Yes': -7.198021}
{' No': -0.0011010983, 'No': -6.8746014, ' Yes': -9.871584, ' ': -11.457553, ' no': -12.718815}
{' No': -0.0014027805, 'No': -6.587767, ' ': -11.411552, ' no': -12.055124, ' Yes': -12.302056}
{' No': -0.012955151, ' ': -10.337614, 'No': -6.8003507, ' Yes': -4.4492135, 'Yes': -10.408953}
{' No': -0.0009818821, ' ': -11.282193, 'No': -6.957282, ' Yes': -11.251548, ' no': -12.991684}
{' No': -0.0010562862, 'No': -6.871278, ' ': -11.549749, ' no': -12.343602, ' NO': -12.885858}
{' No': -0.0014172826, 'No': -6.571611, ' ': -11.519107, ' Yes': -12.862804, ' NO': -13.143843}
{' No': -0.0014899266, 'No': -6.522186, ' ': -11.639631, ' no': -12.322088, ' NO': -12.347641}
{' No': -0.0016536799, ' ': -11.5007105, 'No': -6.4172626, ' no': -12.312944, ' NO': -12.463202}
{' No': -4.6236215, 'No': -11.662186, ' Yes': -0.0114351595, ' yes': -9.002739, 'Yes': -6.564724}
{' No': -0.0007999866, 'No': -7.1700354, ' Yes': -10.691125, ' ': -12.399546, ' no': -13.038209}
{' No': -0.000759007, 'No': -7.3862534, ' Yes': -8.952514, ' ': -11.928944, ' no': -13.194711}
{' No': -0.00083112734, ' ': -12.142833, 'No': -7.120685, ' Yes': -11.404552, ' no': -12.589231}
{' No': -0.048838846, ' ': -10.311305, 'No': -7.235339, ' Yes': -3.0614598, 'Yes': -9.4183855}
{' No': -0.000769626, ' ': -11.673459, 'No': -7.244359, ' Yes': -10.039687, ' no': -13.439069}
{' No': -0.0008726466, 'No': -7.0657053, ' ': -11.888711, ' Yes': -12.168934, ' no': -12.6153555}
{' No': -0.0009811659, ' ': -11.906503, 'No': -6.9425874, ' Yes': -12.14359, ' NO': -13.281257}
{' No': -0.0011206109, 'No': -6.805709, ' ': -12.198718, ' NO': -12.246874, ' no': -12.909197}
{' No': -0.0012991048, ' ': -11.820569, 'No': -6.6581416, ' no': -12.741194, ' NO': -12.413926}
{' No': -2.2440078, 'No': -9.22213, ' Yes': -0.1140067, ' yes': -8.921019, 'Yes': -6.5294824}
{' No': -0.0006813459, ' ': -12.456095, 'No': -7.3079395, ' Yes': -12.44539, ' no': -13.130037}
{' No': -0.00062110514, 'No': -7.427617, ' Yes': -10.870498, ' ': -12.319214, ' no': -13.294922}
{' No': -0.00068241963, ' ': -12.364628, 'No': -7.306884, ' Yes': -12.867868, ' no': -12.832389}
{' No': -0.003705533, ' ': -11.3520565, 'No': -7.412015, ' Yes': -5.7842035, 'Yes': -12.207228}
{' No': -0.00050171156, 'No': -7.622509, ' ': -12.098924, ' Yes': -12.291172, ' no': -13.7774515}
{' No': -0.00065027183, ' ': -12.227642, 'No': -7.355037, ' no': -12.861904, ' NO': -13.064829}
{' No': -0.0008226559, ' ': -12.174528, 'No': -7.1156316, ' Yes': -12.823199, ' NO': -13.562922}
{' No': -0.0009970966, 'No': -6.9226713, ' ': -12.265365, ' NO': -12.414485, ' no': -12.973047}
{' No': -0.001178016, ' ': -12.020211, 'No': -6.7555323, ' no': -12.886632, ' NO': -12.375306}
{' No': -5.6792846, ' ': -11.894812, ' Yes': -0.0052278363, ' yes': -9.000804, 'Yes': -6.4009967}
{' No': -0.0010536597, ' ': -12.050551, 'No': -6.9765577, ' Yes': -9.11066, ' no': -13.202319}
{' No': -0.0010504994, ' ': -11.894461, 'No': -7.07986, ' Yes': -8.52715, ' no': -13.286573}
{' No': -0.0011423923, ' ': -11.967281, 'No': -6.8004127, ' Yes': -11.014292, ' no': -12.591412}
{' No': -0.15042554, ' ': -9.921948, 'No': -7.122746, ' Yes': -1.9768244, 'Yes': -8.228203}
{' No': -0.0009205525, ' ': -11.665717, 'No': -7.06708, ' Yes': -9.788644, ' no': -13.441921}
{' No': -0.00092842686, ' ': -12.026357, 'No': -6.9985533, ' Yes': -12.309459, ' no': -12.9943285}
{' No': -0.0012948075, ' ': -11.85305, 'No': -6.6598063, ' Yes': -13.076287, ' NO': -13.200236}
{' No': -0.0014238504, 'No': -6.564566, ' ': -11.966239, ' NO': -12.523366, ' no': -12.695634}
{' No': -0.0014628879, ' ': -11.997998, 'No': -6.536957, ' no': -12.65462, ' NO': -12.643397}
{' No': -3.1707995, 'No': -9.460749, ' Yes': -0.04578832, ' yes': -8.453333, 'Yes': -6.007403}
{' No': -0.0015101649, ' ': -11.800764, 'No': -6.516267, ' Yes': -11.09928, ' no': -12.4650755}
{' No': -0.0014273111, ' ': -11.403561, 'No': -6.6602616, ' Yes': -8.96232, ' no': -12.67494}
{' No': -0.001464201, ' ': -11.690728, 'No': -6.5430694, ' no': -12.205115, ' NO': -12.240821}
{' No': -0.13746615, ' ': -9.511256, 'No': -6.535417, ' Yes': -2.0674722, 'Yes': -7.932578}
{' No': -0.0014763171, ' ': -11.251235, 'No': -6.561075, ' Yes': -10.085602, ' no': -12.672659}
{' No': -0.0014366836, ' ': -11.469374, 'No': -6.5647182, ' Yes': -12.067047, ' no': -12.246269}
{' No': -0.0020419497, ' ': -11.277624, 'No': -6.2071943, ' Yes': -12.319983, ' NO': -12.37439}
{' No': -0.0020811872, ' ': -11.574961, 'No': -6.1875205, ' no': -12.006475, ' NO': -11.769667}
{' No': -0.0026108306, ' ': -11.561585, 'No': -5.9600997, ' no': -11.765276, ' NO': -11.580608}
{' No': -2.7108696, 'No': -9.357334, ' Yes': -0.071181044, ' yes': -8.59029, 'Yes': -6.281117}
{' No': -0.0012868103, ' ': -10.809588, 'No': -6.6871552, ' Yes': -11.370501, ' no': -12.309968}
{' No': -0.0010250206, ' ': -10.515511, 'No': -6.9501038, ' Yes': -10.3227825, ' no': -12.526199}
{' No': -0.0011831505, ' ': -11.057579, 'No': -6.7629337, ' no': -12.077849, ' NO': -12.878459}
{' No': -0.007917275, ' Yes': -5.040815, 'No': -6.6429114, ' ': -9.348742, 'Yes': -10.930209}
{' No': -0.0011326642, ' ': -10.527366, 'No': -6.8213377, ' Yes': -11.644792, ' no': -12.62903}
{' No': -0.0011659628, ' ': -10.567471, 'No': -6.786211, ' no': -12.19483, ' NO': -12.696422}
{' No': -0.001203857, ' ': -10.872568, 'No': -6.743374, ' no': -13.019622, ' NO': -13.067631}
{' No': -0.0014699287, 'No': -6.542155, ' ': -10.920239, ' no': -12.217822, ' NO': -12.534502}
{' No': -0.0019898678, ' ': -10.821571, 'No': -6.236624, ' no': -11.991131, ' NO': -12.395073}
{' No': -0.40687364, ' ': -8.805189, 'No': -6.8775234, ' Yes': -1.1022605, 'Yes': -7.067472}
{' No': -0.0014492173, 'No': -6.553041, ' ': -11.235658, ' no': -12.1558695, ' NO': -13.274144}
{' No': -0.0011485986, 'No': -6.792366, ' ': -11.039301, ' no': -12.3491745, ' Yes': -12.623968}
{' No': -0.0013020895, ' ': -11.171566, 'No': -6.665183, ' no': -11.679346, ' NO': -12.726679}
{' No': -0.001744374, 'No': -6.6663136, ' Yes': -7.7417374, ' ': -10.465737, ' no': -12.677439}
{' No': -0.0011777775, ' ': -11.021826, 'No': -6.76537, ' no': -12.428424, ' NO': -13.299181}
{' No': -0.0011290851, ' ': -11.140881, 'No': -6.810074, ' no': -11.859213, ' NO': -12.682671}
{' No': -0.0017403153, ' ': -10.920003, 'No': -6.3691907, ' no': -12.599619, ' NO': -12.790155}
{' No': -0.001668427, ' ': -11.141055, 'No': -6.415151, ' no': -11.509259, ' NO': -12.210362}
{' No': -0.0020159106, ' ': -10.932933, 'No': -6.224183, ' no': -11.660275, ' NO': -12.1591625}
{' No': -2.8287005, 'No': -9.655199, ' Yes': -0.06303581, ' yes': -8.78186, 'Yes': -6.3638105}
{' No': -0.001200874, ' ': -11.233615, 'No': -6.7459836, ' Yes': -12.047631, ' no': -12.641276}
{' No': -0.00091387215, ' ': -11.021868, 'No': -7.038976, ' Yes': -11.054932, ' no': -12.883482}
{' No': -0.0010566456, 'No': -6.874458, ' ': -11.280866, ' no': -12.103338, ' NO': -12.956761}
{' No': -0.004390839, ' ': -9.986637, 'No': -6.6858497, ' Yes': -5.7854347, 'Yes': -11.592381}
{' No': -0.00088851544, ' ': -10.857585, 'No': -7.0586143, ' Yes': -12.243892, ' no': -13.013107}
{' No': -0.0010744255, 'No': -6.864125, ' ': -10.805773, ' no': -12.316683, ' NO': -12.828597}
{' No': -0.0013922141, ' ': -11.19214, 'No': -6.591335, ' no': -13.13911, ' NO': -13.00357}
{' No': -0.0014539933, ' ': -11.338085, 'No': -6.5491185, ' no': -12.226981, ' NO': -12.399425}
{' No': -0.0016964307, ' ': -11.042241, 'No': -6.3951607, ' no': -12.305229, ' NO': -12.422074}
{' No': -2.8198838, 'No': -9.030496, ' Yes': -0.06496874, ' yes': -8.405671, 'Yes': -5.851826}
{' No': -0.0018199702, 'No': -6.3278103, ' ': -11.081539, ' Yes': -11.701488, ' no': -12.230869}
{' No': -0.0013964521, ' ': -10.730099, 'No': -6.6331306, ' Yes': -9.898926, ' no': -12.374584}
{' No': -0.0016529646, ' ': -11.242133, 'No': -6.422473, ' no': -11.7940035, ' NO': -12.738086}
{' No': -0.0052287946, ' Yes': -5.754039, 'No': -6.2300324, ' ': -9.877663, 'Yes': -11.244732}
{' No': -0.0018442128, ' ': -10.506936, 'No': -6.323129, ' Yes': -11.388949, ' no': -12.340655}
{' No': -0.0019516486, ' ': -10.66811, 'No': -6.2612786, ' no': -11.566119, ' NO': -12.468258}
{' No': -0.0023765352, 'No': -6.05438, ' ': -10.982262, ' no': -12.589789, ' NO': -12.725507}
{' No': -0.0022925946, ' ': -11.104208, 'No': -6.092367, ' no': -11.78384, ' NO': -12.108643}
{' No': -0.0032797796, ' ': -10.894819, 'No': -5.732493, ' no': -11.639025, ' NO': -12.090097}
{' No': -3.395803, 'No': -10.298903, ' Yes': -0.036012217, ' yes': -8.784282, 'Yes': -6.407293}
{' No': -0.0010627309, ' ': -11.5273905, 'No': -6.8705177, ' Yes': -11.594628, ' no': -12.595791}
{' No': -0.00083351333, ' ': -11.537627, 'No': -7.1266484, ' Yes': -11.03929, ' no': -12.90323}
{' No': -0.0009711468, ' ': -11.714641, 'No': -6.955574, ' Yes': -12.990276, ' no': -12.362046}
{' No': -0.012371123, ' ': -10.310932, 'No': -7.008212, ' Yes': -4.480617, 'Yes': -10.611941}
{' No': -0.000825042, ' ': -11.40862, 'No': -7.131606, ' Yes': -11.448799, ' no': -13.184118}
{' No': -0.0010958484, 'No': -6.8340993, ' ': -11.450025, ' no': -12.425135, ' NO': -13.057259}
{' No': -0.0012220555, ' ': -11.448827, 'No': -6.720828, ' no': -13.241024, ' NO': -13.272634}
{' No': -0.0015602494, ' ': -11.475534, 'No': -6.476545, ' no': -12.197316, ' NO': -12.462666}
{' No': -0.001692968, 'No': -6.3947883, ' ': -11.374447, ' no': -12.241421, ' NO': -12.435374}
{' No': -7.439829, ' ': -10.285524, ' Yes': -0.0030462241, ' yes': -8.020927, 'Yes': -6.180685}
{' No': -0.0021691143, ' ': -9.927061, 'No': -6.4065175, ' Yes': -7.732952, ' no': -11.242561}
{' No': -0.0016776229, ' ': -9.868702, 'No': -6.665579, ' Yes': -8.032791, ' no': -11.3350935}
{' No': -0.0019088275, ' ': -10.29444, 'No': -6.3097644, ' no': -10.688981, ' NO': -10.864675}
{' No': -0.022676865, ' ': -8.835773, 'No': -6.182775, ' Yes': -3.907305, 'Yes': -9.470578}
{' No': -0.0017619906, ' ': -10.074573, 'No': -6.3879485, ' Yes': -11.423017, ' NO': -11.348393}
{' No': -0.0019021387, ' ': -10.01708, 'No': -6.316962, ' no': -10.750326, ' NO': -10.7568}
{' No': -0.002294985, ' ': -9.897465, 'No': -6.1155167, ' no': -11.575038, ' NO': -10.989098}
{' No': -0.0028981427, ' ': -10.030789, 'No': -5.884543, ' no': -10.539741, ' NO': -10.214482}
{' No': -0.0034170928, ' ': -10.00002, 'No': -5.711228, ' no': -10.717603, ' NO': -10.382119}
{' No': -3.9341607, ' ': -10.333643, ' Yes': -0.02231836, ' yes': -8.425209, 'Yes': -6.111828}
{' No': -0.001627651, ' ': -11.2263565, 'No': -6.445864, ' Yes': -10.940685, ' no': -12.123493}
{' No': -0.0012841838, 'No': -6.6997375, ' Yes': -10.382437, ' ': -11.094345, ' no': -12.430983}
{' No': -0.0016384568, ' ': -11.398481, 'No': -6.429003, ' no': -11.771354, ' NO': -12.959739}
{' No': -0.002306157, ' ': -10.756462, 'No': -6.373325, ' Yes': -7.4746895, ' no': -12.67984}
{' No': -0.0013586105, ' ': -11.036623, 'No': -6.6211534, ' Yes': -12.49474, ' no': -12.544567}
{' No': -0.0015668162, ' ': -11.151439, 'No': -6.475451, ' no': -12.011825, ' NO': -12.811063}
{' No': -0.0022101537, 'No': -6.126735, ' ': -11.109705, ' no': -12.236594, ' NO': -12.834747}
{' No': -0.0029043595, ' ': -11.16577, 'No': -5.8537493, ' no': -11.484022, ' NO': -12.185056}
{' No': -0.0031419476, ' ': -11.08029, 'No': -5.7739873, ' no': -11.699196, ' NO': -12.303373}
{' No': -0.07123154, ' ': -9.826513, 'No': -5.998122, ' Yes': -2.719934, 'Yes': -8.14401}
{' No': -0.0025679802, ' ': -11.473392, 'No': -5.9757233, ' no': -11.844847, ' NO': -12.339042}
{' No': -0.0019859243, ' ': -11.280488, 'No': -6.2360725, ' no': -12.06357, ' NO': -12.665401}
{' No': -0.0021919366, ' ': -11.561483, 'No': -6.13637, ' no': -11.592377, ' NO': -12.158395}
{' No': -0.0032898851, 'No': -5.8451796, ' Yes': -7.9367037, ' ': -10.867845, ' no': -12.275254}
{' No': -0.0022012517, ' ': -11.083324, 'No': -6.133869, ' no': -11.936146, ' NO': -12.552098}
{' No': -0.002267861, ' ': -11.263721, 'No': -6.1034865, ' no': -11.636302, ' NO': -12.171863}
{' No': -0.0033627856, ' ': -10.920431, 'No': -5.706696, ' no': -11.99267, ' NO': -12.128692}
{' No': -0.003390956, ' ': -11.075591, 'No': -5.7000456, ' no': -11.417338, ' NO': -11.541789}
{' No': -0.003889816, ' ': -10.977692, 'No': -5.562264, ' no': -11.315162, ' NO': -11.569601}
{' No': -0.24765933, ' ': -9.354848, 'No': -7.385513, ' Yes': -1.5221305, 'Yes': -7.9061327}
{' No': -0.000845147, ' ': -11.305707, 'No': -7.101665, ' Yes': -12.621922, ' no': -12.769707}
{' No': -0.00063810503, ' ': -11.096987, 'No': -7.3975224, ' Yes': -12.012014, ' no': -13.136199}
{' No': -0.0007587686, ' ': -11.423462, 'No': -7.207817, ' no': -12.654846, ' NO': -12.992032}
{' No': -0.0014915994, ' ': -10.696268, 'No': -6.982141, ' Yes': -7.536756, ' no': -13.128015}
{' No': -0.0007911004, ' ': -10.866635, 'No': -7.1756983, ' no': -12.989697, ' NO': -13.217707}
{' No': -0.0009358863, ' ': -11.124363, 'No': -6.999255, ' no': -12.452816, ' NO': -12.787489}
{' No': -0.0010302141, ' ': -11.158941, 'No': -6.8984604, ' no': -12.963483, ' NO': -12.840772}
{' No': -0.0012416921, ' ': -11.356354, 'No': -6.709518, ' no': -12.335296, ' NO': -12.288908}
{' No': -0.0015120731, ' ': -11.19361, 'No': -6.5110354, ' no': -12.337025, ' NO': -12.271654}
{' No': -0.2694055, ' ': -9.21073, 'No': -7.2480702, ' Yes': -1.4488277, 'Yes': -7.728319}
{' No': -0.00088219275, ' ': -11.275007, 'No': -7.0568676, ' no': -12.646857, ' NO': -13.1541605}
{' No': -0.0006970936, ' ': -11.187584, 'No': -7.2983556, ' Yes': -13.087896, ' no': -13.032564}
{' No': -0.0008724082, 'No': -7.065319, ' ': -11.474191, ' no': -12.450625, ' NO': -12.867643}
{' No': -0.0012282638, ' ': -10.659067, 'No': -6.9119487, ' Yes': -8.508152, ' no': -13.134811}
{' No': -0.0008195528, ' ': -10.931655, 'No': -7.137509, ' no': -12.893607, ' NO': -13.219711}
{' No': -0.00091721094, ' ': -11.097895, 'No': -7.020305, ' no': -12.515966, ' NO': -12.68382}
{' No': -0.0011175077, ' ': -10.9225, 'No': -6.819543, ' no': -12.973082, ' NO': -12.808658}
{' No': -0.0012886003, ' ': -11.141306, 'No': -6.6751204, ' no': -12.203829, ' NO': -12.20738}
{' No': -0.0014951812, ' ': -11.051248, 'No': -6.523666, ' no': -12.385301, ' NO': -12.324261}
{' No': -0.36554906, ' ': -9.15688, 'No': -7.3240542, ' Yes': -1.1881847, 'Yes': -7.4662776}
{' No': -0.0010374935, ' ': -11.246018, 'No': -6.892854, ' Yes': -12.777301, ' no': -12.672962}
{' No': -0.0007068762, ' ': -10.947555, 'No': -7.2956953, ' Yes': -11.987366, ' no': -13.109449}
{' No': -0.00086650223, ' ': -11.34861, 'No': -7.07312, ' no': -12.7445965, ' NO': -12.846603}
{' No': -0.0015748754, ' ': -10.543443, 'No': -6.9499826, ' Yes': -7.4482794, ' no': -13.243036}
{' No': -0.0008880386, ' ': -10.830619, 'No': -7.0574574, ' Yes': -13.05188, ' no': -13.100056}
{' No': -0.00096034666, ' ': -11.014345, 'No': -6.9738107, ' no': -12.748388, ' NO': -12.710123}
{' No': -0.0013739509, ' ': -10.993614, 'No': -6.607449, ' no': -13.090283, ' NO': -12.799512}
{' No': -0.001440504, ' ': -11.289886, 'No': -6.5584226, ' no': -12.645408, ' NO': -12.242629}
{' No': -0.0017935181, 'No': -6.3371167, ' ': -11.169962, ' NO': -12.330001, ' no': -12.6833935}
{' No': -0.5277075, ' ': -8.830407, 'No': -7.226644, ' Yes': -0.8961595, 'Yes': -6.981044}
{' No': -0.0012706363, ' ': -10.927912, 'No': -6.6910424, ' Yes': -12.787349, ' no': -12.620636}
{' No': -0.0010623733, ' ': -10.717455, 'No': -6.879238, ' Yes': -12.291819, ' no': -12.677553}
{' No': -0.0012597742, ' ': -11.046165, 'No': -6.6985993, ' no': -12.13302, ' NO': -12.700689}
{' No': -0.0020601652, 'No': -6.536663, ' Yes': -7.485611, ' ': -10.180878, '\n': -12.676429}
{' No': -0.0012057672, ' ': -10.384392, 'No': -6.7568, ' Yes': -12.5051985, ' no': -12.659487}
{' No': -0.0013394516, ' ': -10.698685, 'No': -6.642548, ' no': -12.01865, ' NO': -12.482269}
{' No': -0.001741389, 'No': -6.37186, ' ': -10.671728, ' NO': -12.706007, ' no': -12.808325}
{' No': -0.0018474389, ' ': -10.845377, 'No': -6.3126225, ' no': -12.111145, ' NO': -12.07185}
{' No': -0.0021897252, ' ': -10.825756, 'No': -6.139772, ' no': -12.239878, ' NO': -12.1273365}
{' No': -0.538601, ' ': -9.146206, 'No': -7.450762, ' Yes': -0.87985617, 'Yes': -7.1250763}
