(20, 'mouse', 'cat')
(29, 'cat', 'whale')
(29, 'lion', 'elephant')
(29, 'lion', 'whale')
(29, 'elephant', 'whale')
(30, 'mouse', 'cat')
(30, 'mouse', 'lion')
(30, 'mouse', 'elephant')
(30, 'mouse', 'whale')
(30, 'cat', 'lion')
(30, 'cat', 'elephant')
(30, 'cat', 'whale')
(30, 'lion', 'elephant')
(30, 'lion', 'whale')
(30, 'elephant', 'whale')
(31, 'mouse', 'cat')
(31, 'mouse', 'lion')
(31, 'mouse', 'elephant')
(31, 'mouse', 'whale')
(31, 'cat', 'lion')
(31, 'cat', 'elephant')
(31, 'cat', 'whale')
(31, 'lion', 'elephant')
(31, 'lion', 'whale')
(31, 'elephant', 'whale')
(32, 'mouse', 'cat')
(32, 'mouse', 'lion')
(32, 'mouse', 'elephant')
(32, 'mouse', 'whale')
(32, 'cat', 'lion')
(32, 'cat', 'elephant')
(32, 'cat', 'whale')
(32, 'lion', 'elephant')
(32, 'lion', 'whale')
(32, 'elephant', 'whale')
(33, 'mouse', 'cat')
(33, 'mouse', 'lion')
(33, 'mouse', 'elephant')
(33, 'mouse', 'whale')
(33, 'cat', 'lion')
(33, 'cat', 'elephant')
(33, 'cat', 'whale')
(33, 'lion', 'elephant')
(33, 'lion', 'whale')
(33, 'elephant', 'whale')
(34, 'mouse', 'cat')
(34, 'mouse', 'lion')
(34, 'mouse', 'elephant')
(34, 'mouse', 'whale')
(34, 'cat', 'lion')
(34, 'cat', 'elephant')
(34, 'cat', 'whale')
(34, 'lion', 'elephant')
(34, 'lion', 'whale')
(34, 'elephant', 'whale')
(35, 'mouse', 'cat')
(35, 'mouse', 'lion')
(35, 'mouse', 'elephant')
(35, 'mouse', 'whale')
(35, 'cat', 'lion')
(35, 'cat', 'elephant')
(35, 'cat', 'whale')
(35, 'lion', 'elephant')
(35, 'lion', 'whale')
(35, 'elephant', 'whale')
(36, 'mouse', 'cat')
(36, 'mouse', 'lion')
(36, 'mouse', 'elephant')
(36, 'mouse', 'whale')
(36, 'cat', 'lion')
(36, 'cat', 'elephant')
(36, 'cat', 'whale')
(36, 'lion', 'elephant')
(36, 'lion', 'whale')
(36, 'elephant', 'whale')
(37, 'mouse', 'cat')
(37, 'mouse', 'lion')
(37, 'mouse', 'elephant')
(37, 'mouse', 'whale')
(37, 'cat', 'lion')
(37, 'cat', 'elephant')
(37, 'cat', 'whale')
(37, 'lion', 'elephant')
(37, 'lion', 'whale')
(37, 'elephant', 'whale')
(38, 'mouse', 'cat')
(38, 'mouse', 'lion')
(38, 'mouse', 'elephant')
(38, 'mouse', 'whale')
(38, 'cat', 'lion')
(38, 'cat', 'elephant')
(38, 'cat', 'whale')
(38, 'lion', 'elephant')
(38, 'lion', 'whale')
(38, 'elephant', 'whale')
(39, 'mouse', 'cat')
(39, 'mouse', 'lion')
(39, 'mouse', 'elephant')
(39, 'mouse', 'whale')
(39, 'cat', 'lion')
(39, 'cat', 'elephant')
(39, 'cat', 'whale')
(39, 'lion', 'elephant')
(39, 'lion', 'whale')
(39, 'elephant', 'whale')
(40, 'mouse', 'cat')
(40, 'mouse', 'lion')
(40, 'mouse', 'elephant')
(40, 'mouse', 'whale')
(40, 'cat', 'lion')
(40, 'cat', 'elephant')
(40, 'cat', 'whale')
(40, 'lion', 'elephant')
(40, 'lion', 'whale')
(40, 'elephant', 'whale')
(41, 'mouse', 'cat')
(41, 'mouse', 'lion')
(41, 'mouse', 'elephant')
(41, 'mouse', 'whale')
(41, 'cat', 'lion')
(41, 'cat', 'elephant')
(41, 'cat', 'whale')
(41, 'lion', 'elephant')
(41, 'lion', 'whale')
(41, 'elephant', 'whale')
(42, 'mouse', 'cat')
(42, 'mouse', 'lion')
(42, 'mouse', 'elephant')
(42, 'mouse', 'whale')
(42, 'cat', 'lion')
(42, 'cat', 'elephant')
(42, 'cat', 'whale')
(42, 'lion', 'elephant')
(42, 'lion', 'whale')
(42, 'elephant', 'whale')
(43, 'mouse', 'cat')
(43, 'mouse', 'lion')
(43, 'mouse', 'elephant')
(43, 'mouse', 'whale')
(43, 'cat', 'lion')
(43, 'cat', 'elephant')
(43, 'cat', 'whale')
(43, 'lion', 'elephant')
(43, 'lion', 'whale')
(43, 'elephant', 'whale')
(44, 'mouse', 'cat')
(44, 'mouse', 'lion')
(44, 'mouse', 'elephant')
(44, 'mouse', 'whale')
(44, 'cat', 'lion')
(44, 'cat', 'elephant')
(44, 'cat', 'whale')
(44, 'lion', 'elephant')
(44, 'lion', 'whale')
(44, 'elephant', 'whale')
(45, 'mouse', 'cat')
(45, 'mouse', 'lion')
(45, 'mouse', 'elephant')
(45, 'mouse', 'whale')
(45, 'cat', 'lion')
(45, 'cat', 'elephant')
(45, 'cat', 'whale')
(45, 'lion', 'elephant')
(45, 'lion', 'whale')
(45, 'elephant', 'whale')
(46, 'mouse', 'cat')
(46, 'mouse', 'lion')
(46, 'mouse', 'elephant')
(46, 'mouse', 'whale')
(46, 'cat', 'lion')
(46, 'cat', 'elephant')
(46, 'cat', 'whale')
(46, 'lion', 'elephant')
(46, 'lion', 'whale')
(46, 'elephant', 'whale')
(47, 'mouse', 'cat')
(47, 'mouse', 'lion')
(47, 'mouse', 'elephant')
(47, 'mouse', 'whale')
(47, 'cat', 'lion')
(47, 'cat', 'elephant')
(47, 'cat', 'whale')
(47, 'lion', 'elephant')
(47, 'lion', 'whale')
(47, 'elephant', 'whale')
(48, 'mouse', 'cat')
(48, 'mouse', 'lion')
(48, 'mouse', 'elephant')
(48, 'mouse', 'whale')
(48, 'cat', 'lion')
(48, 'cat', 'elephant')
(48, 'cat', 'whale')
(48, 'lion', 'elephant')
(48, 'lion', 'whale')
(48, 'elephant', 'whale')
(49, 'mouse', 'cat')
(49, 'mouse', 'lion')
(49, 'mouse', 'elephant')
(49, 'mouse', 'whale')
(49, 'cat', 'lion')
(49, 'cat', 'elephant')
(49, 'cat', 'whale')
(49, 'lion', 'elephant')
(49, 'lion', 'whale')
(49, 'elephant', 'whale')
(50, 'mouse', 'cat')
(50, 'mouse', 'lion')
(50, 'mouse', 'elephant')
(50, 'mouse', 'whale')
(50, 'cat', 'lion')
(50, 'cat', 'elephant')
(50, 'cat', 'whale')
(50, 'lion', 'elephant')
(50, 'lion', 'whale')
(50, 'elephant', 'whale')
(51, 'mouse', 'cat')
(51, 'mouse', 'lion')
(51, 'mouse', 'elephant')
(51, 'mouse', 'whale')
(51, 'cat', 'lion')
(51, 'cat', 'elephant')
(51, 'cat', 'whale')
(51, 'lion', 'elephant')
(51, 'lion', 'whale')
(51, 'elephant', 'whale')
(52, 'mouse', 'cat')
(52, 'mouse', 'lion')
(52, 'mouse', 'elephant')
(52, 'mouse', 'whale')
(52, 'cat', 'lion')
(52, 'cat', 'elephant')
(52, 'cat', 'whale')
(52, 'lion', 'elephant')
(52, 'lion', 'whale')
(52, 'elephant', 'whale')
(53, 'mouse', 'cat')
(53, 'mouse', 'lion')
(53, 'mouse', 'elephant')
(53, 'mouse', 'whale')
(53, 'cat', 'lion')
(53, 'cat', 'elephant')
(53, 'cat', 'whale')
(53, 'lion', 'elephant')
(53, 'lion', 'whale')
(53, 'elephant', 'whale')
(54, 'mouse', 'cat')
(54, 'mouse', 'lion')
(54, 'mouse', 'elephant')
(54, 'mouse', 'whale')
(54, 'cat', 'lion')
(54, 'cat', 'elephant')
(54, 'cat', 'whale')
(54, 'lion', 'elephant')
(54, 'lion', 'whale')
(54, 'elephant', 'whale')
(55, 'mouse', 'cat')
(55, 'mouse', 'lion')
(55, 'mouse', 'elephant')
(55, 'mouse', 'whale')
(55, 'cat', 'lion')
(55, 'cat', 'elephant')
(55, 'cat', 'whale')
(55, 'lion', 'elephant')
(55, 'lion', 'whale')
(55, 'elephant', 'whale')
(56, 'mouse', 'cat')
(56, 'mouse', 'lion')
(56, 'mouse', 'elephant')
(56, 'mouse', 'whale')
(56, 'cat', 'lion')
(56, 'cat', 'elephant')
(56, 'cat', 'whale')
(56, 'lion', 'elephant')
(56, 'lion', 'whale')
(56, 'elephant', 'whale')
(57, 'mouse', 'cat')
(57, 'mouse', 'lion')
(57, 'mouse', 'elephant')
(57, 'mouse', 'whale')
(57, 'cat', 'lion')
(57, 'cat', 'elephant')
(57, 'cat', 'whale')
(57, 'lion', 'elephant')
(57, 'lion', 'whale')
(57, 'elephant', 'whale')
(58, 'mouse', 'cat')
(58, 'mouse', 'lion')
(58, 'mouse', 'elephant')
(58, 'mouse', 'whale')
(58, 'cat', 'lion')
(58, 'cat', 'elephant')
(58, 'cat', 'whale')
(58, 'lion', 'elephant')
(58, 'lion', 'whale')
(58, 'elephant', 'whale')
(59, 'mouse', 'cat')
(59, 'mouse', 'lion')
(59, 'mouse', 'elephant')
(59, 'mouse', 'whale')
(59, 'cat', 'lion')
(59, 'cat', 'elephant')
(59, 'cat', 'whale')
(59, 'lion', 'elephant')
(59, 'lion', 'whale')
(59, 'elephant', 'whale')
(60, 'mouse', 'cat')
(60, 'mouse', 'lion')
(60, 'mouse', 'elephant')
(60, 'mouse', 'whale')
(60, 'cat', 'lion')
(60, 'cat', 'elephant')
(60, 'cat', 'whale')
(60, 'lion', 'elephant')
(60, 'lion', 'whale')
(60, 'elephant', 'whale')
(61, 'mouse', 'cat')
(61, 'mouse', 'lion')
(61, 'mouse', 'elephant')
(61, 'mouse', 'whale')
(61, 'cat', 'lion')
(61, 'cat', 'elephant')
(61, 'cat', 'whale')
(61, 'lion', 'elephant')
(61, 'lion', 'whale')
(61, 'elephant', 'whale')
(62, 'mouse', 'cat')
(62, 'mouse', 'lion')
(62, 'mouse', 'elephant')
(62, 'mouse', 'whale')
(62, 'cat', 'lion')
(62, 'cat', 'elephant')
(62, 'cat', 'whale')
(62, 'lion', 'elephant')
(62, 'lion', 'whale')
(62, 'elephant', 'whale')
(63, 'mouse', 'cat')
(63, 'mouse', 'lion')
(63, 'mouse', 'elephant')
(63, 'mouse', 'whale')
(63, 'cat', 'lion')
(63, 'cat', 'elephant')
(63, 'cat', 'whale')
(63, 'lion', 'elephant')
(63, 'lion', 'whale')
(63, 'elephant', 'whale')
(64, 'mouse', 'cat')
(64, 'mouse', 'lion')
(64, 'mouse', 'elephant')
(64, 'mouse', 'whale')
(64, 'cat', 'lion')
(64, 'cat', 'elephant')
(64, 'cat', 'whale')
(64, 'lion', 'elephant')
(64, 'lion', 'whale')
(64, 'elephant', 'whale')
(65, 'mouse', 'cat')
(65, 'mouse', 'lion')
(65, 'mouse', 'elephant')
(65, 'mouse', 'whale')
(65, 'cat', 'lion')
(65, 'cat', 'elephant')
(65, 'cat', 'whale')
(65, 'lion', 'elephant')
(65, 'lion', 'whale')
(65, 'elephant', 'whale')
(66, 'mouse', 'cat')
(66, 'mouse', 'lion')
(66, 'mouse', 'elephant')
(66, 'mouse', 'whale')
(66, 'cat', 'lion')
(66, 'cat', 'elephant')
(66, 'cat', 'whale')
(66, 'lion', 'elephant')
(66, 'lion', 'whale')
(66, 'elephant', 'whale')
(67, 'mouse', 'cat')
(67, 'mouse', 'lion')
(67, 'mouse', 'elephant')
(67, 'mouse', 'whale')
(67, 'cat', 'lion')
(67, 'cat', 'elephant')
(67, 'cat', 'whale')
(67, 'lion', 'elephant')
(67, 'lion', 'whale')
(67, 'elephant', 'whale')
(68, 'mouse', 'cat')
(68, 'mouse', 'lion')
(68, 'mouse', 'elephant')
(68, 'mouse', 'whale')
(68, 'cat', 'lion')
(68, 'cat', 'elephant')
(68, 'cat', 'whale')
(68, 'lion', 'elephant')
(68, 'lion', 'whale')
(68, 'elephant', 'whale')
(69, 'mouse', 'cat')
(69, 'mouse', 'lion')
(69, 'mouse', 'elephant')
(69, 'mouse', 'whale')
(69, 'cat', 'lion')
(69, 'cat', 'elephant')
(69, 'cat', 'whale')
(69, 'lion', 'elephant')
(69, 'lion', 'whale')
(69, 'elephant', 'whale')
