{'\n': -4.390349, ' 1': -2.3285155, ' odd': -0.3420654, ' 0': -2.1697154, ' even': -3.1531835}
{'\n': -5.764786, ' ': -5.8152795, ':': -4.473022, ' 0': -4.802305, ' even': -0.032314014}
{' Odd': -5.9185038, ':': -7.8315163, ' 1': -7.689411, ' odd': -0.023030497, ' even': -3.9921334}
{' even': -0.0040796967, ':': -7.1153293, '\n': -7.1191835, ' Even': -7.131059, ' ': -7.5675087}
{' odd': -0.038210366, ' 1': -3.48132, ' ': -6.439363, ' Odd': -6.532673, ':': -6.7837677}
{' even': -0.061145276, ':': -3.25637, '\n': -5.206708, ' ': -5.311162, ' 0': -5.8324885}
{'\n': -5.5463176, ' ': -4.8710227, ':': -5.486286, ' 1': -0.34075052, ' odd': -1.3199661}
{' Odd': -5.0110445, ':': -5.8260465, ' 1': -4.3759527, ' odd': -0.026681898, ' even': -6.7021756}
{':': -5.72586, ' 1': -6.02368, ' odd': -6.1263247, ' 0': -3.9206052, ' even': -0.030999701}
{'\n': -6.232253, ' Odd': -5.896833, ' ': -6.338126, ' 1': -2.5797873, ' odd': -0.08991909}
{' even': -0.044649098, '\n': -4.310401, ':': -4.699855, ' 0': -4.802389, ' ': -4.8580647}
{' odd': -0.18867387, ' 1': -1.8212729, '\n': -5.889687, ':': -6.0034385, ' Odd': -6.587543}
{'\n': -5.267505, ' ': -5.808198, ':': -5.2209277, ' 0': -6.1231456, ' even': -0.018313207}
{' Odd': -6.653428, ' ': -7.6112733, ' 1': -7.64475, ' odd': -0.0039020833, ' even': -7.8927116}
{'\n': -3.8681374, ' ': -3.367612, ':': -2.9217622, ' 0': -4.1515694, ' even': -0.15349878}
{'\n': -7.2087946, ' Odd': -4.2167544, ':': -7.20688, ' 1': -5.1273847, ' odd': -0.024381172}
{' Odd': -6.587215, ':': -7.094789, ' 1': -5.562445, ' odd': -0.08386291, ' even': -2.6188858}
{' even': -0.0068891607, ' 0': -6.2941175, ':': -6.410546, ' odd': -6.527481, ' Even': -7.395899}
{'\n': -6.233739, ' Odd': -5.796181, ' 1': -1.7085208, ' odd': -0.21490084, ' 0': -6.1043696}
{' even': -0.04507144, ' 0': -3.820506, ':': -5.0030403, ' ': -5.273782, '\n': -5.567001}
{' Odd': -5.1551495, ':': -6.1568084, ' 1': -2.6319926, ' odd': -0.09145745, ' even': -5.3097878}
{'\n': -5.6070194, ' ': -4.9424267, ':': -4.1478186, ' 0': -2.8096879, ' even': -0.099501066}
{' Odd': -5.822435, ':': -6.7890654, ' 1': -4.4126277, ' odd': -0.02051058, ' even': -6.6074877}
{'\n': -5.149795, ' ': -4.431161, ':': -3.7844813, ' odd': -4.9848604, ' even': -0.062905736}
{' Odd': -5.9617805, ' ': -6.5621624, ' 1': -1.5387064, ' odd': -0.25426358, ' even': -6.361522}
{' odd': -0.20191732, ' even': -1.765098, ' Odd': -5.2916713, ':': -5.906907, ' 1': -6.2994494}
{':': -6.138776, ' Even': -6.616515, ' odd': -6.7780128, ' 0': -7.4165387, ' even': -0.0068834573}
{' odd': -0.1021542, ' 1': -2.4389768, '\n': -6.137759, ':': -6.2113624, ' ': -6.6320806}
{' even': -0.10287781, ' 0': -2.8919706, ':': -4.167487, ' ': -4.6518908, '\n': -5.254965}
{' odd': -0.08345483, ' 1': -2.7071462, '\n': -5.94594, ':': -5.9518523, ' Odd': -6.026814}
{' even': -0.005804947, ':': -6.023542, ' Even': -6.8374233, '\n': -7.412744, ' 0': -7.4296722}
{' Odd': -5.8190765, ' ': -7.095973, ':': -7.2933207, ' 1': -5.198345, ' odd': -0.011770432}
{'\n': -5.6150393, ' ': -4.733751, ':': -4.365356, ' odd': -5.6308084, ' even': -0.035871346}
{'\n': -5.586469, ' Odd': -3.9684296, ' 1': -3.5269148, ' odd': -0.08812371, ' even': -3.6899347}
{' Odd': -4.539086, ':': -3.8466547, ' 1': -5.7488675, ' odd': -0.6225499, ' even': -0.8625859}
{' even': -0.0023071116, ':': -7.3253584, ' odd': -7.4081182, ' Even': -7.941785, ' 0': -8.755523}
{' Odd': -6.8174715, ' ': -6.410476, ' 1': -1.2885654, ' odd': -0.33142737, ' 0': -6.8807235}
{' even': -0.015617053, ' 0': -5.433787, ':': -5.8083587, '\n': -6.0363536, ' ': -6.0620313}
{'\n': -5.972229, ' Odd': -5.9421268, ' ': -5.9333496, ' 1': -0.8668943, ' odd': -0.568852}
{' even': -0.030575886, ' 0': -4.702385, ' ': -4.712083, ':': -5.1479216, '\n': -5.8825717}
{'\n': -7.3108773, ' Odd': -5.8492284, ' 1': -6.0842257, ' odd': -0.009255993, ' even': -6.552381}
{' even': -0.12800595, ':': -2.5562735, ' ': -4.2047625, ' 0': -4.6106377, '\n': -5.088716}
{' Odd': -5.6635118, ' ': -5.7090836, ':': -5.9481535, ' 1': -1.3704734, ' odd': -0.3131117}
{':': -5.8238316, ' 1': -5.2335114, ' odd': -0.2932935, ' 0': -4.9687076, ' even': -1.4500984}
{' even': -0.0020250445, ':': -7.0917945, ' Even': -8.069657, ' 0': -8.492587, ' odd': -8.552564}
{'\n': -7.082267, ':': -7.0150476, ' 1': -2.0704052, ' odd': -0.14245538, ' 0': -6.473401}
{' ': -7.516464, ':': -6.4789314, ' Even': -7.4226494, ' 0': -5.3917475, ' even': -0.008933292}
{'\n': -5.746062, ' Odd': -5.8869333, ':': -5.6715274, ' 1': -2.1653771, ' odd': -0.1397968}
{'\n': -5.7198234, ' ': -4.742581, ':': -4.728626, ' 0': -2.4516628, ' even': -0.121474236}
{' Odd': -6.5264387, ' ': -7.4722433, ' 1': -4.596156, ' odd': -0.014274034, ' even': -7.3819656}
{'\n': -4.4310875, ' ': -3.5787706, ':': -1.7546357, ' 0': -3.0626218, ' even': -0.32520673}
{' Odd': -3.6947696, ':': -6.2767797, ' 1': -5.925569, ' odd': -0.0495233, ' even': -4.0734224}
{' Odd': -6.0601845, ':': -6.7403154, ' 1': -4.6853223, ' odd': -0.016146595, ' even': -6.904349}
{' even': -0.019555485, ':': -4.30347, ' Even': -6.224986, '\n': -6.4905195, ' ': -7.0610204}
{' odd': -0.078645445, ' 1': -2.7777078, ' even': -5.240267, ' Odd': -5.3050838, ':': -6.897581}
{'\n': -4.1102858, ' ': -4.2233086, ':': -3.6695719, ' 0': -1.8263273, ' even': -0.26646993}
{' odd': -0.5977972, ' 1': -0.84860593, '\n': -5.416233, ' even': -5.595557, ' 0': -5.7129784}
{' even': -0.3259954, ' 0': -1.5032215, ':': -3.857045, ' ': -4.2088556, '\n': -5.1005187}
{' odd': -0.0055115838, ' Odd': -6.041549, ' 1': -7.0699816, ' ': -7.766024, ':': -7.7674994}
{' even': -0.013628394, ':': -4.845233, ' Even': -6.085415, '\n': -6.549296, ' ': -7.3351502}
{'\n': -5.6070156, ' Odd': -4.4904065, ':': -5.446799, ' 1': -3.6641927, ' odd': -0.05269606}
{' odd': -0.030058695, ' 0': -4.656951, ' 1': -4.8259954, ' even': -5.2405653, ':': -6.361836}
{' even': -0.10343217, ' 0': -2.5891974, ':': -4.1875567, '\n': -6.3317633, ' Even': -6.8293457}
{' odd': -0.15361963, ' 1': -2.0132246, ' Odd': -6.401627, ' ': -6.590445, ' 0': -6.6418934}
{'\n': -5.771578, ' ': -5.1660767, ':': -4.645711, ' 0': -3.4704597, ' even': -0.05991659}
{' Odd': -6.331711, ':': -6.8414664, ' 1': -3.518446, ' odd': -0.04166636, ' even': -5.021055}
{'\n': -8.148226, ':': -7.2330937, ' Even': -6.4641385, ' odd': -8.313076, ' even': -0.003458599}
{'\n': -6.0546327, ' Odd': -5.677681, ' ': -5.988433, ' 1': -1.4646266, ' odd': -0.28292108}
{' even': -0.047460698, ':': -3.8116534, ' ': -4.7598376, '\n': -5.072117, ' an': -5.912406}
{' odd': -0.056287542, ' 1': -3.4998071, ' even': -4.497255, ' Odd': -4.985213, ':': -6.040889}
{' odd': -0.110208325, ':': -3.1312065, ' 1': -3.745897, ' even': -3.982844, ' Odd': -5.2840185}
{':': -5.758529, ' Even': -6.424157, ' odd': -6.0561614, ' 0': -6.8982034, ' even': -0.010736278}
{' odd': -0.07724054, ' 1': -3.2556605, ' Odd': -3.9263806, ' even': -5.064606, ':': -5.6276546}
{'\n': -7.3232, ' ': -8.727649, ':': -6.802536, ' Even': -7.1990256, ' even': -0.0033416753}
{' odd': -0.6990484, ' 1': -0.700521, ' Odd': -6.3448935, ':': -6.708699, ' ': -6.8369603}
{' even': -0.005725753, ':': -6.2813396, ' 0': -6.810523, '\n': -7.270371, ' ': -7.2979774}
{' odd': -0.0068503316, ' 1': -5.773508, ' Odd': -6.5729876, ' ': -7.1517344, '\n': -7.750561}
{' even': -0.052398037, ' ': -3.9237587, ':': -4.2051063, '\n': -4.982351, ' 0': -5.7495117}
{' odd': -0.06568979, ' 1': -3.0028367, ' Odd': -4.9260554, ' ': -6.3931694, '\n': -6.638638}
{' Odd': -5.6243076, ':': -4.8467426, ' 1': -4.297474, ' odd': -0.034530655, ' even': -6.0064983}
{':': -6.441712, ' 1': -7.351289, ' odd': -6.234799, ' 0': -5.9895463, ' even': -0.00843318}
{' odd': -0.044174034, ' 1': -3.3008876, ' Odd': -6.1902995, '\n': -6.819754, ' ': -7.04152}
{' ': -9.202055, ':': -7.7767916, ' Even': -7.7376676, ' EVEN': -8.4164915, ' even': -0.0016128448}
{'\n': -6.6236277, ' Odd': -5.956135, ':': -6.327017, ' 1': -3.173725, ' odd': -0.051738854}
{' ': -6.876076, ':': -5.8143425, ' Even': -6.8749413, ' odd': -7.0368314, ' even': -0.008887469}
{' odd': -0.009391238, ' 1': -5.9134245, ' Odd': -5.949483, ':': -6.9079423, ' ': -6.9237113}
{' even': -0.0741547, ':': -3.4142213, ' ': -4.2562027, '\n': -4.6388907, ' odd': -5.2889795}
{' Odd': -5.7124424, ' ': -5.6424294, ':': -5.889504, ' 1': -0.99655956, ' odd': -0.4827427}
{' Odd': -5.40484, ':': -5.416338, ' 1': -4.543787, ' odd': -0.027257433, ' even': -5.9657097}
{':': -4.23504, ' 1': -6.303366, ' odd': -6.4706564, ' 0': -3.8205895, ' even': -0.04650377}
{' odd': -0.06537336, ' 1': -2.9034708, ' Odd': -6.1266675, '\n': -6.5231476, ':': -6.99809}
{'\n': -7.840928, ':': -6.620355, ' Even': -7.87684, ' 0': -8.495169, ' even': -0.002777637}
{' Odd': -5.9293685, ':': -6.8183804, ' 1': -1.8850425, ' odd': -0.1782021, ' even': -5.2781796}
{'\n': -6.5209074, ' ': -5.765292, ':': -6.214788, ' Even': -7.6313105, ' even': -0.008360447}
{'\n': -7.1319027, ' Odd': -5.2660637, ':': -6.6964955, ' 1': -5.0150704, ' odd': -0.01698875}
{'\n': -4.5375066, ' ': -3.8368757, ':': -3.65362, ' 0': -6.151056, ' even': -0.068965584}
{' 1': -0.29134256, ' odd': -1.4064472, ' even': -6.1822305, ' ': -6.3798394, ' 0': -6.808674}
{':': -5.8304677, ' 1': -4.5877666, ' odd': -0.02879903, ' 0': -5.8820043, ' even': -5.1333976}
{':': -6.4305186, ' EVEN': -7.586183, ' odd': -7.8950286, ' 0': -4.0657544, ' even': -0.021096209}
{' odd': -0.18318982, ' 1': -1.8819652, ' 0': -5.7376547, ' ': -6.1202636, ':': -6.1879344}
{' even': -0.3720867, ' 0': -1.2936661, ' zero': -4.7478294, ' ': -4.845869, ':': -5.082184}
{' Odd': -5.373101, ':': -6.4719014, ' 1': -2.6816912, ' odd': -0.09400647, ' even': -4.332211}
{'\n': -5.089092, ' ': -4.617789, ':': -4.366989, ' 0': -3.1760175, ' even': -0.08007712}
{' odd': -0.05943346, ' 1': -2.9627433, ' Odd': -6.0207987, ' uneven': -7.4627776, ' ': -7.4751434}
{'\n': -5.874642, ' ': -4.7246165, ':': -4.646558, ' odd': -6.4298773, ' even': -0.029248672}
{' odd': -0.3285107, ' 1': -1.3627857, ' Odd': -4.524232, ' even': -4.9126887, ' one': -6.3288074}
{'\n': -6.3137636, ':': -5.8768334, ' 1': -5.1252875, ' odd': -0.019272769, ' even': -5.8184896}
{' even': -0.0042371107, ':': -6.7675743, ' odd': -7.09851, ' Even': -7.2176714, ' EVEN': -7.6033072}
{' Odd': -5.739638, ':': -5.815005, ' 1': -2.5536916, ' odd': -0.09384429, ' 0': -6.966885}
{' even': -0.0023077086, ':': -7.191643, ' Even': -7.39033, ' 0': -8.4819975, '\n': -8.539078}
{' Odd': -5.9196124, ':': -5.8563175, ' 1': -0.5193535, ' odd': -0.93600625, ' even': -5.7997255}
{' even': -0.0034238466, ':': -6.9391975, ' ': -6.9587793, '\n': -7.3756475, ' Even': -8.034232}
{' Odd': -5.234623, ' ': -6.735761, ':': -6.8057766, ' 1': -4.6494703, ' odd': -0.021153072}
{'\n': -4.688489, ' ': -4.4617295, ':': -3.9115355, ' odd': -6.0457053, ' even': -0.04816186}
{' odd': -0.09354049, ' 1': -2.7621472, ' Odd': -4.3134155, '\n': -5.636275, ':': -5.833373}
{' Odd': -5.1156855, ':': -5.2322426, ' 1': -3.5647233, ' odd': -0.05482506, ' 0': -5.348233}
{':': -5.581586, ' Even': -6.84488, ' odd': -7.40987, ' 0': -6.9400353, ' even': -0.008270238}
{'\n': -6.596042, ' ': -6.5370307, ':': -6.771936, ' 1': -1.3061234, ' odd': -0.32788432}
{'\n': -4.9352345, ' ': -4.374556, ' 0': -0.1560084, ' zero': -4.2128444, ' even': -2.3407369}
{' odd': -0.4060086, ' 1': -1.152459, ' Odd': -5.5987554, ' even': -5.7963424, ' ': -5.9045796}
{' even': -0.007179502, '\n': -6.4763093, ' ': -6.501451, ':': -6.727965, ' 0': -7.199743}
{'\n': -7.1746697, ' Odd': -7.040822, ' ': -7.0865445, ' 1': -4.290494, ' odd': -0.019514095}
{'\n': -5.1350255, ' ': -5.2280946, ':': -2.4391246, ' even': -0.12796937, ' 8': -5.566479}
{'\n': -6.0517564, ' Odd': -5.6339626, ':': -5.917152, ' 1': -1.6794665, ' odd': -0.22326297}
{' odd': -0.08864852, ' 1': -3.1317983, ' 0': -4.6865144, ':': -4.7120204, ' Odd': -4.910874}
{'\n': -8.070943, ':': -5.6896925, ' odd': -7.2506294, ' 0': -6.203364, ' even': -0.0076813307}
{' Odd': -5.545583, ' ': -6.143107, ' 1': -0.4481537, ' odd': -1.0719309, ' 0': -5.3910418}
{'\n': -7.344235, ':': -5.866056, ' odd': -7.4423823, ' 0': -4.7420297, ' even': -0.015156312}
{'\n': -6.370436, ' Odd': -5.741241, ':': -6.4006925, ' 1': -3.305917, ' odd': -0.047461886}
{'\n': -4.2341747, ' ': -3.5416682, ':': -3.824301, ' 0': -1.8934387, ' even': -0.25361678}
{' Odd': -6.3649507, ' ': -7.4183655, ' 1': -3.2927241, ' odd': -0.043389894, ' even': -7.245976}
{'\n': -4.9925222, ' ': -4.2951136, ':': -3.181071, ' odd': -5.4211416, ' even': -0.08098505}
{' ': -5.6099057, ':': -5.2705607, ' 1': -0.5877932, ' odd': -0.8514191, ' 0': -5.954231}
{':': -5.6001425, ' 1': -3.1670547, ' odd': -0.06604541, ' 0': -5.002731, ' even': -5.2558355}
{' even': -0.0077437987, ' 0': -6.2810388, ':': -6.3028636, ' odd': -6.4579806, ' EVEN': -7.3963556}
{' odd': -0.22383995, ' 1': -1.672824, ' 0': -5.9377294, ':': -6.013944, ' Odd': -6.2290773}
{' even': -0.041710045, ' 0': -3.574262, ' ': -5.7069807, '\n': -6.1280127, ':': -6.1560764}
{' odd': -0.10578123, ' 1': -2.3948474, ' Odd': -5.6080894, ' even': -6.1476316, ':': -6.2912326}
{'\n': -5.6269383, ' ': -6.6386933, ':': -6.8415585, ' Even': -6.834238, ' even': -0.00754043}
{'\n': -6.7941155, ' Odd': -6.1340427, ':': -6.456644, ' 1': -3.7989972, ' odd': -0.031644344}
{' even': -0.04640693, ':': -4.146778, ' ': -4.221899, '\n': -4.908369, ' an': -6.0178347}
{' Odd': -4.349378, ' ': -6.6784983, ' 1': -1.4353491, ' odd': -0.30490375, ' even': -5.014261}
{' odd': -0.06060582, ' even': -3.0472236, ':': -6.1423125, ' Odd': -6.4351377, ' 1': -6.659555}
{':': -4.676823, ' Even': -6.4037795, ' odd': -5.799212, ' 0': -6.5607514, ' even': -0.018618302}
{' odd': -0.060597204, ' 1': -3.058808, ' even': -6.1762667, ' Odd': -6.593466, '\n': -6.68019}
{'\n': -4.798597, ' ': -4.578827, ':': -5.249918, ' 0': -2.1417136, ' even': -0.16171885}
{' Odd': -5.792409, ':': -6.1321135, ' 1': -1.0588202, ' odd': -0.45046002, ' even': -5.0533066}
{' even': -0.0966484, ' 0': -3.2002103, ':': -3.3712595, ' ': -5.2047586, '\n': -5.3937054}
{' Odd': -5.872641, ' ': -6.769571, ':': -6.968967, ' 1': -4.199183, ' odd': -0.023103753}
{'\n': -4.0558114, ' ': -3.1079228, ':': -1.3667675, ' 0': -2.4262497, ' even': -0.59521896}
{' odd': -0.010904324, ' 1': -5.3013153, ' Odd': -6.0707464, ' ': -7.087529, ' even': -7.2021794}
{' Odd': -5.8299527, ':': -6.4296427, ' 1': -6.6789293, ' odd': -0.29700005, ' even': -1.3917686}
{':': -5.700859, ' Even': -6.677863, ' odd': -7.0080667, ' 0': -6.9300976, ' even': -0.0081331}
{' Odd': -5.8883076, ' 1': -0.7102434, ' one': -6.98664, ' odd': -0.69610995, ' even': -6.874022}
{' even': -0.01496704, ':': -4.9642105, ' Even': -5.3927584, ' EVEN': -7.317363, ' ': -7.732368}
{'\n': -6.751492, ' ': -6.933921, ':': -6.416162, ' 1': -0.109967045, ' odd': -2.3250377}
{' ': -8.820325, ':': -7.9032717, ' Even': -7.687149, ' odd': -8.752765, ' even': -0.0016092019}
{' odd': -0.006530746, ' 1': -5.539362, ' Odd': -6.802071, ' ': -7.893268, '\n': -8.406316}
{' even': -0.06283991, ':': -3.523762, ' ': -4.2958665, '\n': -4.6767807, ' an': -6.4156055}
{' odd': -0.60649186, ' 1': -0.81241506, ':': -5.868119, ' Odd': -5.8807707, '\n': -6.698167}
{' odd': -0.19633856, ' even': -1.907009, ' 1': -3.8923957, ' 0': -5.287754, ' Odd': -6.454044}
{':': -5.305341, ' Even': -7.643832, ' odd': -7.8870263, ' 0': -4.140089, ' even': -0.02379539}
{' odd': -0.19322036, ' 1': -1.802828, ' Odd': -5.7044606, ' 0': -6.3538446, ' ': -6.5157175}
{':': -7.4021072, ' Even': -6.6370397, ' EVEN': -8.148881, ' 0': -8.472257, ' even': -0.0030843087}
{' odd': -0.30098873, ' 1': -1.3784938, ' even': -5.235116, ' Odd': -7.1149335, ' ': -7.6003456}
{' even': -0.021882478, ' 0': -4.274582, ':': -5.862341, '\n': -6.808041, ' ': -6.937391}
{' Odd': -5.746409, ' ': -5.9639874, ':': -6.8264146, ' 1': -3.1957865, ' odd': -0.053099014}
{'\n': -4.359801, ' ': -3.250198, ':': -2.9093013, ' 0': -4.252807, ' even': -0.15257323}
{'\n': -6.4257727, ' Odd': -5.000206, ' ': -6.4895563, ' 1': -1.9508096, ' odd': -0.17105131}
{':': -4.779207, ' 1': -2.3371856, ' odd': -0.31210133, ' 0': -4.0321274, ' even': -2.0137568}
{' even': -0.008633602, ' odd': -6.028855, ':': -6.0470734, ' Even': -6.7639737, ' 0': -7.1002393}
{' odd': -0.017536774, ' 1': -4.6719584, ' Odd': -5.7930264, ':': -6.536768, ' even': -7.59008}
{' ': -3.926028, ':': -4.6566205, ' 0': -1.8720814, ' zero': -4.6454043, ' even': -0.23774786}
{'\n': -6.9200387, ' Odd': -5.3816986, ':': -6.057739, ' 1': -3.7391326, ' odd': -0.035570268}
{'\n': -6.113574, ' ': -6.138712, ':': -5.433734, ' 0': -5.9577537, ' even': -0.014806962}
{'\n': -7.465795, ' Odd': -5.6155024, ' ': -7.0596275, ' 1': -5.124486, ' odd': -0.012731098}
{' even': -0.20657414, ':': -2.2797093, ' ': -3.383794, '\n': -3.9869206, ' 0': -4.1836743}
{' Odd': -5.080308, ':': -6.5513835, ' 1': -5.105321, ' odd': -0.01767448, ' even': -6.681763}
{' Odd': -5.9071183, ' 1': -4.684096, ' odd': -0.112603694, ' 0': -5.8447037, ' even': -2.4247487}
{':': -4.6080317, ' 1': -6.0613465, ' odd': -6.0212235, ' 0': -2.8228917, ' even': -0.082539275}
{'\n': -6.916374, ' Odd': -6.502584, ' 1': -2.339367, ' odd': -0.11182404, ' even': -5.7253623}
{'\n': -4.7555, ' ': -5.167804, ':': -5.4959574, ' 0': -3.6034212, ' even': -0.050119553}
{' odd': -0.039376628, ' even': -3.7401917, ' 1': -4.681676, ' Odd': -5.686379, ':': -7.099158}
{' even': -0.009700965, ' ': -5.58189, '\n': -6.509361, ' 0': -6.8063555, ':': -6.9958825}
{'\n': -6.4214306, ' Odd': -5.725259, ' ': -6.6036572, ' 1': -4.206312, ' odd': -0.023468152}
{' even': -0.22792636, ':': -2.0860252, ' ': -3.2345047, '\n': -4.4073234, ' odd': -4.9002666}
{' odd': -0.42177078, ' 1': -1.1873863, ' Odd': -4.045407, '\n': -4.7557383, ':': -5.4621797}
{' odd': -0.05393295, ' even': -3.0905538, ' Odd': -5.9753194, ' 1': -6.236714, ':': -6.7054753}
{':': -5.525881, ' 1': -7.321338, ' odd': -6.0673184, ' 0': -4.5527334, ' even': -0.020542216}
{' ': -6.023118, ' 1': -0.33430657, ' 3': -6.2998786, ' odd': -1.3113135, ' 0': -5.661445}
{'\n': -4.858289, ' ': -5.280754, ':': -5.1664906, ' 0': -3.951687, ' even': -0.044538848}
{' Odd': -5.3224816, ':': -5.9681997, ' 1': -2.7231233, ' odd': -0.08267295, ' even': -5.6786036}
{' even': -0.0019941085, ':': -7.8033786, ' odd': -7.980246, ' ': -8.3450575, ' Even': -8.411781}
{' Odd': -5.710034, ' ': -6.73095, ' 1': -6.171256, ' odd': -0.01131344, ' even': -6.4035645}
{'\n': -3.9451509, ' ': -3.4712958, ':': -2.760221, ' 0': -3.3417459, ' even': -0.18691228}
{' odd': -0.18459193, ' 1': -1.8551393, ' Odd': -5.1698966, ' ': -6.168428, ':': -6.637832}
{' odd': -0.06622225, ' 1': -3.5705242, ' 0': -4.12755, ' even': -5.305935, '\n': -5.6124716}
{':': -6.5429583, ' Even': -7.6721144, ' odd': -7.5820336, ' 0': -7.4058256, ' even': -0.0039768806}
{'\n': -6.252591, ' Odd': -5.1456027, ':': -5.6822386, ' 1': -2.415356, ' odd': -0.11195876}
{'\n': -6.2927403, ' ': -5.7761307, ':': -5.431203, ' 0': -3.7717173, ' even': -0.03847049}
{' Odd': -5.4562016, ':': -6.2714043, ' 1': -2.3741546, ' odd': -0.11903906, ' even': -4.5112343}
{' ': -8.062031, ':': -6.2645206, ' Even': -6.8713613, ' odd': -7.4387836, ' even': -0.004666026}
{' odd': -0.011202044, ' 1': -4.892043, ' Odd': -6.7241793, ' ': -7.101912, '\n': -7.77113}
{'\n': -5.070094, ' ': -4.5591497, ':': -3.0115623, ' 0': -5.557466, ' even': -0.08590699}
{'\n': -5.971172, ' Odd': -5.249805, ':': -5.7015905, ' 1': -1.5850292, ' odd': -0.25336233}
{':': -5.081946, ' 1': -2.8330162, ' odd': -0.11452362, ' 0': -3.8169112, ' even': -4.957857}
{':': -4.9450345, ' Even': -6.674506, ' EVEN': -6.8517146, ' 0': -4.582727, ' even': -0.02312614}
