{' No': -0.0017037737, ' ': -10.404598, 'No': -6.403393, ' no': -11.600378, ' NO': -12.352069}
{' No': -0.002051446, ' ': -11.38048, 'No': -6.20909, ' Yes': -10.7390175, ' NO': -13.0017185}
{' No': -0.0024023452, ' ': -11.170143, 'No': -6.064358, ' Yes': -9.783866, ' no': -13.145921}
{' No': -12.16872, ' ': -12.079425, ' Yes': -0.001749868, ' yes': -9.259354, 'Yes': -6.4141927}
{' No': -0.0027972416, 'No': -5.8915205, ' ': -10.939342, ' no': -12.120103, ' NO': -12.395446}
{' No': -0.0025951138, ' ': -11.420826, 'No': -5.9639707, ' no': -12.097427, ' NO': -12.361551}
{' No': -0.0029529599, 'No': -5.8335, ' ': -11.413797, ' no': -12.379078, ' NO': -12.411801}
{' No': -0.0031134274, ' ': -11.40419, 'No': -5.7815022, ' Yes': -11.926644, ' no': -12.694195}
{' No': -0.0031229325, ' ': -11.651742, 'No': -5.7759347, ' no': -12.768698, ' NO': -12.378253}
{' No': -0.002729224, ' ': -11.748906, 'No': -5.910613, ' no': -12.892428, ' NO': -12.479982}
{' No': -0.0033760024, ' ': -11.504945, 'No': -5.69956, ' Yes': -12.045497, ' no': -12.709701}
{' No': -0.0031317228, 'No': -5.8251014, ' Yes': -8.743232, ' ': -11.646732, ' NO': -12.959067}
{' No': -0.0032075432, ' ': -11.378056, 'No': -5.842332, ' Yes': -8.174621, ' NO': -13.10018}
{' YES': -12.535002, ' ': -11.388665, ' Yes': -0.003653008, ' yes': -8.521122, 'Yes': -5.6768937}
{' No': -0.001496791, ' ': -10.4135065, 'No': -6.5323973, ' no': -12.127415, ' NO': -12.87711}
{' No': -0.0016136811, 'No': -6.450901, ' ': -10.661308, ' no': -12.063384, ' NO': -12.770642}
{' No': -0.0017347622, ' ': -10.656821, 'No': -6.3760595, ' no': -12.502846, ' NO': -12.828676}
{' No': -0.0019337907, ' ': -10.772588, 'No': -6.26962, ' Yes': -11.282564, ' no': -12.761925}
{' No': -0.0021374582, 'No': -6.162286, ' ': -10.812144, ' no': -12.469875, ' NO': -12.776278}
{' No': -0.0015909938, ' ': -10.983066, 'No': -6.4585376, ' no': -12.862043, ' NO': -13.027876}
{' No': -0.001977087, ' ': -10.854698, 'No': -6.2423363, ' Yes': -12.11273, ' no': -12.845449}
{' No': -0.0015951127, ' ': -11.015315, 'No': -6.5387692, ' Yes': -8.972764, ' NO': -13.294697}
{' No': -0.0017705295, ' ': -10.946836, 'No': -6.475693, ' Yes': -8.484882, ' no': -13.36043}
{' No': -12.082988, ' ': -11.796957, ' Yes': -0.0013974067, ' yes': -9.181751, 'Yes': -6.663427}
{' No': -0.0016776229, ' ': -10.565142, 'No': -6.4129605, ' no': -12.2153635, ' NO': -12.575925}
{' No': -0.0019093051, 'No': -6.2784133, ' ': -10.765699, ' no': -12.195604, ' NO': -12.48552}
{' No': -0.0019353443, ' ': -10.927488, 'No': -6.2619023, ' no': -12.586639, ' NO': -12.589922}
{' No': -0.002372174, ' ': -10.807769, 'No': -6.057819, ' no': -12.515084, ' NO': -12.864944}
{' No': -0.0024503833, 'No': -6.025628, ' ': -10.779466, ' no': -12.209298, ' NO': -12.39061}
{' No': -0.0022167242, ' ': -11.207187, 'No': -6.122097, ' no': -12.829406, ' NO': -12.645533}
{' No': -0.002385855, ' ': -10.899301, 'No': -6.053186, ' Yes': -11.981647, ' no': -12.423406}
{' No': -0.0023299323, 'No': -6.084936, ' Yes': -10.343912, ' ': -11.230293, ' NO': -13.078117}
{' No': -0.0020079059, ' ': -10.737716, 'No': -6.3045683, ' Yes': -8.8045225, ' no': -12.965212}
{' YES': -12.705442, ' ': -10.842638, ' Yes': -0.0025255552, ' yes': -8.538292, 'Yes': -6.0760627}
{' No': -0.000988448, ' ': -11.450998, 'No': -6.9365387, ' no': -13.025555, ' NO': -13.273362}
{' No': -0.0011652457, ' ': -11.614415, 'No': -6.7684813, ' no': -12.66922, ' NO': -12.994288}
{' No': -0.0012699201, ' ': -11.535958, 'No': -6.681527, ' no': -13.020843, ' NO': -12.983269}
{' No': -0.001373473, ' ': -11.582272, 'No': -6.609602, ' Yes': -11.322925, ' no': -13.183454}
{' No': -0.0013936466, ' ': -11.820349, 'No': -6.585061, ' no': -13.243772, ' NO': -12.973674}
{' No': -0.0011802847, ' ': -11.893414, 'No': -6.751689, ' no': -13.416776, ' NO': -13.16285}
{' No': -0.0013238739, 'No': -6.6426425, ' Yes': -11.670005, ' ': -11.789121, ' no': -13.300294}
{' No': -0.0010560477, 'No': -6.997611, ' Yes': -8.9192705, ' ': -12.1122265, ' NO': -13.669232}
{' No': -0.0012500489, 'No': -6.8235517, ' Yes': -8.7930155, ' ': -11.8897915, ' NO': -13.68869}
{' Yes': -0.0009969785, 'Yes': -6.9956484, ' yes': -9.526711, ' ': -12.753034, ' No': -13.018338}
{' No': -0.0015675334, ' ': -11.154157, 'No': -6.473119, ' no': -12.637806, ' NO': -13.163505}
{' No': -0.0017002518, ' ': -11.418807, 'No': -6.3894486, ' no': -12.190728, ' NO': -12.912615}
{' No': -0.0019192783, 'No': -6.2656116, ' ': -11.53233, ' no': -12.553962, ' NO': -12.936166}
{' No': -0.002503207, ' ': -11.422705, 'No': -6.003353, ' Yes': -11.21923, ' no': -12.770203}
{' No': -0.0021059797, ' ': -11.912513, 'No': -6.169872, ' no': -13.052233, ' NO': -12.833077}
{' No': -0.0018728771, ' ': -11.781518, 'No': -6.2876606, ' no': -13.263946, ' NO': -13.086552}
{' No': -0.0023216307, ' ': -11.774101, 'No': -6.0741773, ' Yes': -12.064558, ' no': -13.031233}
{' No': -0.0016287267, 'No': -6.490161, ' Yes': -9.201079, ' ': -12.196895, ' NO': -13.442383}
{' No': -0.0023910531, ' ': -11.658743, 'No': -6.0933022, ' Yes': -9.047215, ' no': -13.406864}
{' Yes': -0.0017841419, 'Yes': -6.398146, ' yes': -9.121988, ' ': -12.794157, ' No': -12.865148}
{' No': -0.0010308083, ' ': -11.678562, 'No': -6.8919683, ' no': -13.094443, ' NO': -13.1344795}
{' No': -0.0012007538, ' ': -11.965892, 'No': -6.7354918, ' no': -12.823296, ' NO': -12.937733}
{' No': -0.0013425557, ' ': -12.091744, 'No': -6.621805, ' no': -13.16881, ' NO': -12.898076}
{' No': -0.0015889627, ' ': -11.974736, 'No': -6.465339, ' Yes': -10.751502, ' no': -13.344186}
{' No': -0.0013781269, 'No': -6.59488, ' ': -12.104708, ' NO': -12.946078, ' no': -13.384772}
{' No': -0.0013561024, ' ': -12.242592, 'No': -6.6105475, ' no': -13.485021, ' NO': -12.892779}
{' No': -0.0014605, 'No': -6.5417356, ' Yes': -11.559829, ' ': -12.2008915, ' no': -13.455148}
{' No': -0.0013799197, ' ': -12.495192, 'No': -6.9088883, ' Yes': -7.893151, ' NO': -13.422283}
{' No': -0.0018287484, ' ': -12.030049, 'No': -6.759156, ' Yes': -7.3275023, 'Yes': -13.187327}
{' YES': -13.53806, ' ': -13.234838, ' Yes': -0.0010281838, ' yes': -9.623547, 'Yes': -6.9520526}
{' No': -0.0009734136, ' ': -11.95961, 'No': -6.9467106, ' no': -13.265579, ' NO': -13.26239}
{' No': -0.0011087942, ' ': -12.044134, 'No': -6.8145866, ' no': -12.969889, ' NO': -13.126447}
{' No': -0.0011568324, ' ': -12.069519, 'No': -6.771218, ' no': -13.287007, ' NO': -13.145194}
{' No': -0.0013567003, ' ': -12.208431, 'No': -6.619601, ' Yes': -11.152335, ' NO': -13.5375}
{' No': -0.0014596655, ' ': -12.248108, 'No': -6.5364556, ' no': -13.489113, ' NO': -12.905595}
{' No': -0.0011102275, ' ': -12.298024, 'No': -6.8106, ' no': -13.866027, ' NO': -13.211488}
{' No': -0.0013474489, ' ': -12.500555, 'No': -6.617928, ' Yes': -12.42737, ' NO': -13.569897}
{' No': -0.0011630979, ' ': -12.776459, 'No': -6.908395, ' Yes': -8.75003, ' NO': -13.910156}
{' No': -0.001103245, 'No': -6.9591527, ' Yes': -8.821999, ' ': -12.568312, ' NO': -14.069912}
{' Yes': -0.0011763452, 'Yes': -6.8084707, ' yes': -9.631099, ' No': -13.25183, ' ': -13.3169565}
{' No': -0.0011581465, ' ': -11.724965, 'No': -6.7738233, ' Yes': -13.018581, ' no': -13.0352745}
{' No': -0.0014676601, ' ': -11.948165, 'No': -6.53295, ' no': -12.663519, ' NO': -13.226328}
{' No': -0.0014400261, ' ': -11.886411, 'No': -6.5518775, ' no': -13.092939, ' NO': -13.325866}
{' No': -0.0019065579, 'No': -6.2850447, ' Yes': -10.425229, ' ': -11.789032, ' no': -13.214904}
{' No': -0.0016492653, ' ': -12.110847, 'No': -6.4142904, ' no': -13.166346, ' NO': -13.137001}
{' No': -0.0013535962, 'No': -6.6114435, ' ': -12.293955, ' NO': -13.3688755, ' no': -13.610286}
{' No': -0.001927043, ' ': -12.087879, 'No': -6.2629247, ' Yes': -11.453474, ' no': -13.214109}
{' No': -0.0017247318, ' ': -12.218562, 'No': -6.460127, ' Yes': -8.796896, ' NO': -13.662393}
{' No': -0.001553861, ' ': -12.10505, 'No': -6.53695, ' Yes': -9.25455, ' no': -13.816584}
{' Yes': -0.0013081167, 'Yes': -6.6978827, ' yes': -9.588151, ' ': -13.164405, ' YES': -13.679236}
{' No': -0.0021998165, ' ': -11.175851, 'No': -6.1321692, ' no': -12.249878, ' NO': -12.277038}
{' No': -0.0023987014, ' ': -11.3957405, 'No': -6.043582, ' no': -12.066219, ' NO': -12.295056}
{' No': -0.0026229627, ' ': -11.496176, 'No': -5.952362, ' no': -12.406359, ' NO': -12.3372965}
{' No': -0.0028869642, ' ': -11.602772, 'No': -5.8569536, ' Yes': -12.181086, ' no': -12.439847}
{' No': -0.003196837, ' ': -11.714648, 'No': -5.7529697, ' no': -12.306522, ' NO': -12.248564}
{' No': -0.002710456, ' ': -11.845885, 'No': -5.9178004, ' no': -12.674042, ' NO': -12.309462}
{' No': -0.003037913, 'No': -5.8049455, ' ': -11.711945, ' Yes': -12.320377, ' no': -12.389229}
{' No': -0.0027013125, ' ': -11.940282, 'No': -5.979462, ' Yes': -8.77141, ' NO': -12.809225}
{' No': -0.0031913365, ' ': -11.604805, 'No': -5.841226, ' Yes': -8.235844, ' NO': -12.875326}
{' YES': -12.552477, ' ': -11.777515, ' Yes': -0.0027433892, ' yes': -8.832811, 'Yes': -5.9612665}
{' No': -0.0015819209, 'No': -6.4717374, ' ': -10.578188, ' no': -12.297607, ' NO': -12.915022}
{' No': -0.0017436579, ' ': -10.6733885, 'No': -6.3708644, ' no': -12.255702, ' NO': -12.910994}
{' No': -0.0016861609, ' ': -10.77299, 'No': -6.402553, ' no': -12.706967, ' NO': -12.947985}
{' No': -0.0019336717, ' ': -10.86255, 'No': -6.26337, ' Yes': -13.040995, ' no': -12.733128}
{' No': -0.0022138578, 'No': -6.125261, ' ': -10.959033, ' no': -12.599278, ' NO': -12.843201}
{' No': -0.001969025, ' ': -11.0554695, 'No': -6.2419777, ' no': -12.939863, ' NO': -13.112684}
{' No': -0.0022550186, ' ': -11.03409, 'No': -6.1057644, ' no': -12.838981, ' NO': -13.241708}
{' No': -0.0016967892, ' ': -11.332664, 'No': -6.39325, ' Yes': -11.861673, ' no': -13.477343}
{' No': -0.0017267592, 'No': -6.383385, ' Yes': -10.881332, ' ': -11.219542, ' no': -13.341584}
{' No': -11.606508, ' ': -11.587706, ' Yes': -0.00138374, ' yes': -9.292445, 'Yes': -6.669829}
{' No': -0.0018497066, 'No': -6.3108974, ' ': -10.716362, ' no': -12.082917, ' NO': -12.859437}
{' No': -0.0020312583, ' ': -10.807281, 'No': -6.2167087, ' no': -11.6441345, ' NO': -12.614379}
{' No': -0.002013042, ' ': -10.91078, 'No': -6.222533, ' no': -12.285694, ' NO': -12.749371}
{' No': -0.002234527, ' ': -11.071507, 'No': -6.1151986, ' no': -12.402385, ' NO': -13.143376}
{' No': -0.0025854919, ' ': -11.1254225, 'No': -5.968446, ' no': -12.224903, ' NO': -12.609645}
{' No': -0.002172103, ' ': -11.316524, 'No': -6.141633, ' no': -12.665701, ' NO': -12.928899}
{' No': -0.0026328212, ' ': -11.124203, 'No': -5.949497, ' no': -12.400805, ' NO': -13.082262}
{' No': -0.002215289, ' ': -11.369801, 'No': -6.122618, ' Yes': -12.420933, ' no': -13.125706}
{' No': -0.0020611216, ' ': -11.272069, 'No': -6.1984105, ' Yes': -11.692237, ' no': -12.751554}
{' No': -11.699767, ' ': -10.927211, ' Yes': -0.002297912, ' yes': -8.48462, 'Yes': -6.187095}
{' No': -0.0013703099, ' ': -10.929479, 'No': -6.6112027, ' no': -12.672084, ' NO': -13.11141}
{' No': -0.0018004444, ' ': -10.812571, 'No': -6.336141, ' no': -12.308666, ' NO': -13.034978}
{' No': -0.0016939236, ' ': -10.954825, 'No': -6.3950763, ' no': -12.936042, ' NO': -13.101083}
{' No': -0.0019324777, ' ': -11.039953, 'No': -6.2613444, ' Yes': -13.136787, ' no': -13.202332}
{' No': -0.0019706949, ' ': -11.286858, 'No': -6.239449, ' no': -12.973835, ' NO': -12.994815}
{' No': -0.0015972613, ' ': -11.296119, 'No': -6.450789, ' no': -13.191028, ' NO': -13.201685}
{' No': -0.0017880232, ' ': -11.313553, 'No': -6.3370743, ' no': -13.160998, ' NO': -13.5053425}
{' No': -0.0017227007, 'No': -6.3805013, ' Yes': -11.23751, ' ': -11.439003, ' NO': -13.4830475}
{' No': -0.0015942773, ' ': -11.537968, 'No': -6.4642096, ' Yes': -10.689244, ' no': -13.752028}
{' No': -12.088243, ' ': -12.0184, ' Yes': -0.0013925727, ' yes': -9.223305, 'Yes': -6.6622066}
{' No': -0.0024272015, ' ': -10.5471735, 'No': -6.0382504, ' no': -12.084076, ' NO': -12.831215}
{' No': -0.0029534367, ' ': -10.738569, 'No': -5.838155, ' no': -11.8301935, ' NO': -12.541127}
{' No': -0.003251134, ' ': -10.875194, 'No': -5.739766, ' no': -12.059039, ' NO': -12.672269}
{' No': -0.0032114272, ' ': -10.8564825, 'No': -5.7525535, ' Yes': -12.258843, ' no': -12.548451}
{' No': -0.0042705736, ' ': -10.979487, 'No': -5.4644675, ' no': -12.416851, ' NO': -12.503102}
{' No': -0.0035498159, ' ': -11.212482, 'No': -5.6487274, ' no': -12.603428, ' NO': -12.762684}
{' No': -0.0037656012, ' ': -10.995724, 'No': -5.590718, ' no': -12.433432, ' NO': -13.015032}
{' No': -0.0032382782, ' ': -11.296393, 'No': -5.7477255, ' Yes': -10.621522, ' no': -13.055522}
{' No': -0.0028222867, ' ': -11.288695, 'No': -5.893626, ' Yes': -10.045667, ' no': -13.102187}
{' No': -11.452675, ' ': -11.914184, ' Yes': -0.0023576552, ' yes': -8.939965, 'Yes': -6.118725}
{' No': -0.0013167119, ' ': -11.180348, 'No': -6.648579, ' no': -12.779561, ' NO': -13.3408}
{' No': -0.0016296823, ' ': -11.381979, 'No': -6.4320416, ' no': -12.3216915, ' NO': -13.014279}
{' No': -0.0015909938, 'No': -6.4538913, ' ': -11.531696, ' no': -12.938841, ' NO': -13.022716}
{' No': -0.001774945, 'No': -6.3467765, ' ': -11.448919, ' Yes': -11.9955, ' no': -13.062088}
{' No': -0.0019959004, 'No': -6.224402, ' ': -11.700726, ' no': -12.942547, ' NO': -13.0542965}
{' No': -0.001719834, 'No': -6.3734536, ' ': -11.741911, ' NO': -13.204202, ' no': -13.264342}
{' No': -0.0021490438, ' ': -11.557445, 'No': -6.151607, ' Yes': -12.636586, ' no': -13.066184}
{' No': -0.001442414, ' ': -11.95783, 'No': -6.59301, ' Yes': -9.682369, ' NO': -13.579086}
{' No': -0.0018847624, ' ': -11.631309, 'No': -6.3244863, ' Yes': -9.44673, ' no': -13.54702}
{' No': -13.049079, ' ': -13.153664, ' Yes': -0.0011609484, ' yes': -9.436143, 'Yes': -6.836112}
{' No': -0.0026584023, ' ': -9.811685, 'No': -5.966804, ' no': -11.021298, ' NO': -11.015067}
{' No': -0.0028607224, ' ': -10.049518, 'No': -5.892385, ' no': -10.526809, ' NO': -10.700963}
{' No': -0.0030204554, 'No': -5.8299437, ' ': -10.09129, ' NO': -10.951119, ' no': -11.127214}
{' No': -0.0030923802, ' ': -10.193114, 'No': -5.8031964, ' no': -11.3839, ' NO': -11.196145}
{' No': -0.0043198406, ' ': -10.06966, 'No': -5.4663787, ' no': -11.019454, ' NO': -10.772762}
{' No': -0.0034163746, 'No': -5.7005367, ' ': -10.204687, ' NO': -11.048254, ' no': -11.46604}
{' No': -0.0035755986, ' ': -10.449256, 'No': -5.6510973, ' no': -11.54193, ' NO': -11.307295}
{' No': -0.0035711722, ' ': -10.211157, 'No': -5.6912045, ' Yes': -8.970093, ' NO': -11.331026}
{' No': -0.002927257, ' ': -10.425891, 'No': -5.8780775, ' Yes': -9.539649, ' NO': -11.512416}
{' No': -11.778435, ' ': -11.292109, ' Yes': -0.0021045445, ' yes': -8.477062, 'Yes': -6.286406}
{' No': -0.0019185622, 'No': -6.2708926, ' ': -11.00233, ' no': -12.034478, ' NO': -13.0094795}
{' No': -0.0023666786, ' ': -11.174311, 'No': -6.0585165, ' no': -11.803679, ' NO': -12.679039}
{' No': -0.0027627547, ' ': -11.204354, 'No': -5.900912, ' no': -12.326807, ' NO': -12.864492}
{' No': -0.0025910493, ' ': -11.434497, 'No': -5.9642773, ' Yes': -12.970081, ' no': -12.681375}
{' No': -0.0036218995, ' ': -11.232175, 'No': -5.6288204, ' no': -12.256823, ' NO': -12.6479025}
{' No': -0.0032862967, ' ': -11.353169, 'No': -5.72534, ' no': -12.587058, ' NO': -12.956303}
{' No': -0.0033975341, ' ': -11.502364, 'No': -5.6914005, ' no': -12.599549, ' NO': -13.283943}
{' No': -0.0030584782, 'No': -5.7998834, ' Yes': -11.397213, ' ': -11.583259, ' no': -12.872781}
{' No': -0.0029869175, ' ': -11.601597, 'No': -5.8243294, ' Yes': -11.2561, ' no': -12.674008}
{' No': -10.820092, ' ': -12.172507, ' Yes': -0.0019485428, ' yes': -8.936154, 'Yes': -6.3280396}
{' No': -0.0034605737, ' ': -10.78938, 'No': -5.6797795, ' no': -11.527718, ' NO': -12.091039}
{' No': -0.0040368433, ' ': -11.069021, 'No': -5.5231442, ' no': -11.481394, ' NO': -12.022373}
{' No': -0.0044901636, ' ': -11.110535, 'No': -5.415365, ' no': -11.738814, ' NO': -12.060952}
{' No': -0.004509983, ' ': -11.192135, 'No': -5.410037, ' no': -12.091867, ' NO': -12.333625}
{' No': -0.0049818447, ' ': -11.15338, 'No': -5.310802, ' no': -11.816052, ' NO': -11.929885}
{' No': -0.0044355597, ' ': -11.23008, 'No': -5.4264383, ' no': -12.033336, ' NO': -12.164237}
{' No': -0.0043221135, 'No': -5.452717, ' ': -11.303183, ' no': -11.778203, ' NO': -12.412297}
{' No': -0.004176355, ' ': -11.466503, 'No': -5.48911, ' Yes': -11.01983, ' NO': -12.58457}
{' No': -0.0044969297, '\n': -12.564055, ' ': -11.382571, 'No': -5.419751, ' Yes': -10.216587}
{' No': -10.945401, ' ': -11.30373, ' Yes': -0.004705912, ' yes': -8.242989, 'Yes': -5.4293823}
{' No': -0.0010432191, ' ': -11.013671, 'No': -6.888771, ' no': -12.627596, ' NO': -12.947761}
{' No': -0.0012987471, ' ': -11.293654, 'No': -6.6620994, ' no': -12.614507, ' NO': -12.876149}
{' No': -0.0013703099, ' ': -11.286318, 'No': -6.6066937, ' no': -13.019417, ' NO': -13.077448}
{' No': -0.001304118, 'No': -6.65594, ' ': -11.359721, ' no': -13.26793, ' NO': -13.381473}
{' No': -0.0016049029, ' ': -11.436248, 'No': -6.4467163, ' no': -12.769984, ' NO': -12.649734}
{' No': -0.0014118515, ' ': -11.604678, 'No': -6.5735126, ' no': -13.176358, ' NO': -13.004285}
{' No': -0.0015167308, ' ': -11.608572, 'No': -6.5014763, ' no': -13.012085, ' NO': -13.222916}
{' No': -0.001381352, ' ': -11.653892, 'No': -6.5979004, ' Yes': -12.204372, ' NO': -13.423203}
{' No': -0.0013071621, ' ': -11.634634, 'No': -6.6620502, ' Yes': -11.0861, ' no': -13.462336}
{' No': -11.742916, ' ': -12.212312, ' Yes': -0.0012928974, ' yes': -9.233193, 'Yes': -6.744645}
{' No': -0.0012169267, ' ': -10.822135, 'No': -6.7346687, ' no': -12.671633, ' NO': -12.894048}
{' No': -0.0014119698, ' ': -10.917234, 'No': -6.5820794, ' no': -12.5576105, ' NO': -12.71018}
{' No': -0.0014504122, 'No': -6.553426, ' ': -10.943081, ' NO': -12.889452, ' no': -12.916827}
{' No': -0.0014893287, ' ': -11.051896, 'No': -6.5248585, ' no': -13.300561, ' NO': -13.313244}
{' No': -0.0017502266, ' ': -11.23852, 'No': -6.36039, ' no': -12.874437, ' NO': -12.713261}
{' No': -0.0015771451, ' ': -11.204546, 'No': -6.4649744, ' no': -13.202172, ' NO': -12.966656}
{' No': -0.0015992925, ' ': -11.316549, 'No': -6.4500375, ' no': -13.100513, ' NO': -13.261645}
{' No': -0.0016194115, ' ': -11.30471, 'No': -6.4414988, ' Yes': -11.799967, ' NO': -13.275764}
{' No': -0.001416805, 'No': -6.5822763, ' Yes': -11.108142, ' ': -11.312791, ' no': -13.428646}
{' No': -11.788984, ' ': -12.121871, ' Yes': -0.0012731435, ' yes': -9.070573, 'Yes': -6.776702}
{' No': -0.0013797994, ' ': -10.935248, 'No': -6.604407, ' no': -12.726368, ' NO': -12.894533}
{' No': -0.0016296823, ' ': -11.230627, 'No': -6.432454, ' no': -12.711685, ' NO': -12.860741}
{' No': -0.0015803694, ' ': -11.21179, 'No': -6.4628277, ' no': -13.154738, ' NO': -12.942301}
{' No': -0.0018365101, ' ': -11.270502, 'No': -6.3108587, ' no': -13.113602, ' NO': -13.205684}
{' No': -0.0021254502, 'No': -6.1638227, ' ': -11.283402, ' NO': -12.653305, ' no': -12.949609}
{' No': -0.0017957859, 'No': -6.3324094, ' ': -11.329995, ' NO': -12.992903, ' no': -13.391108}
{' No': -0.001892525, ' ': -11.365764, 'No': -6.2794766, ' no': -13.256413, ' NO': -13.266537}
{' No': -0.0016905799, 'No': -6.396218, ' ': -11.450184, ' Yes': -11.889172, ' NO': -13.316179}
{' No': -0.0017013276, 'No': -6.3932624, ' Yes': -11.2859335, ' ': -11.396748, ' NO': -13.49476}
{' No': -11.399625, ' ': -12.039448, ' Yes': -0.0013233961, ' yes': -9.29835, 'Yes': -6.717105}
{' No': -0.0016627556, ' ': -10.623805, 'No': -6.420291, ' no': -12.521055, ' NO': -12.772886}
{' No': -0.0020613607, ' ': -10.869937, 'No': -6.1993155, ' no': -12.377281, ' NO': -12.59805}
{' No': -0.0021215677, 'No': -6.169684, ' ': -10.841013, ' no': -12.699782, ' NO': -12.815817}
{' No': -0.0020270767, ' ': -10.991513, 'No': -6.214246, ' no': -13.035731, ' NO': -13.195682}
{' No': -0.0028394423, ' ': -10.8951845, 'No': -5.875497, ' no': -12.536432, ' NO': -12.4363785}
{' No': -0.002527348, ' ': -11.021416, 'No': -5.990902, ' no': -13.0579605, ' NO': -12.812768}
{' No': -0.0022655914, ' ': -11.23405, 'No': -6.0997825, ' no': -12.925986, ' NO': -13.202192}
{' No': -0.002283574, ' ': -11.115715, 'No': -6.0968113, ' Yes': -11.422614, ' NO': -13.171948}
{' No': -0.0020840557, ' ': -11.115497, 'No': -6.1931996, ' Yes': -10.90928, ' no': -13.107905}
{' Yes': -0.001818656, 'Yes': -6.3900247, ' yes': -9.079417, ' No': -11.428129, ' ': -11.690469}
{' No': -0.001468258, ' ': -10.799703, 'No': -6.5441313, ' no': -12.432114, ' NO': -12.861539}
