{' ': -10.746939, ' Generally': -9.173347, ' Yes': -0.0015200131, ' yes': -10.15593, 'Yes': -6.613252}
{' No': -5.0212464, ' ': -9.255539, 'No': -10.0526085, ' Yes': -0.008324027, 'Yes': -6.4956436}
{' No': -0.010730494, ' ': -9.357869, 'No': -5.4352145, ' Yes': -5.081447, 'Yes': -11.416898}
{' ': -11.034712, ' Generally': -7.739291, ' Yes': -0.0022327339, ' yes': -9.979273, 'Yes': -6.378234}
{' ': -10.265368, ' Generally': -8.548842, ' Yes': -0.0025459914, ' yes': -9.822494, 'Yes': -6.106229}
{' No': -2.2468538, ' Generally': -8.609264, 'No': -6.8022676, ' Yes': -0.1162423, 'Yes': -5.9876027}
{' No': -0.07075591, ' Yes': -2.79543, 'No': -4.980643, 'Yes': -8.455353, ' ': -9.255007}
{' No': -8.740239, ' ': -9.947337, ' Yes': -0.002259738, ' yes': -9.895976, 'Yes': -6.2334566}
{' No': -7.0516067, ' ': -10.154413, ' Yes': -0.0025020111, ' yes': -10.002638, 'Yes': -6.475393}
{' ': -10.356021, ' Generally': -8.936267, ' Yes': -0.0016486674, ' yes': -9.847375, 'Yes': -6.573857}
{' No': -6.223194, ' ': -9.790518, ' Generally': -8.065466, ' Yes': -0.004076166, 'Yes': -6.4211936}
{' No': -3.2345073, ' Generally': -7.691237, 'No': -8.195225, ' Yes': -0.042950522, 'Yes': -6.380656}
{' Yes': -0.0015158944, 'Yes': -6.6495204, ' No': -9.1938505, ' yes': -9.860412, ' ': -10.306803}
{' No': -7.8753586, ' ': -10.071308, ' Yes': -0.0019498558, ' yes': -9.973488, 'Yes': -6.5198646}
{' Yes': -0.4390217, ' No': -1.215862, ' Generally': -3.060226, 'No': -5.49369, ' It': -5.5943613}
{' No': -0.031491727, ' Generally': -5.448575, 'No': -4.6460943, ' Yes': -4.10527, ' It': -8.772703}
{' Yes': -0.5401355, ' No': -0.8946869, ' Generally': -5.577811, 'No': -5.7440767, 'Yes': -6.8003373}
{' No': -1.4506478, ' ': -8.029372, 'No': -6.694258, ' Yes': -0.2711262, 'Yes': -6.5493093}
{' Generally': -5.221637, ' Typically': -9.446327, ' Yes': -0.007289011, 'Yes': -6.465218, ' It': -9.749659}
{' Yes': -0.0019561825, 'Yes': -6.68312, ' Generally': -7.3881426, ' yes': -10.2411375, ' ': -10.746659}
{' No': -10.991768, ' ': -10.591755, ' Yes': -0.0013122956, ' yes': -10.156673, 'Yes': -6.7029457}
{' No': -6.699825, ' Generally': -6.0939713, ' Yes': -0.0052261576, ' yes': -9.933617, 'Yes': -6.4636145}
{' No': -7.548202, ' ': -10.154927, ' Yes': -0.0021950414, ' yes': -9.938468, 'Yes': -6.4588313}
{' No': -0.038001634, ' ': -8.79934, 'No': -5.2556324, ' Yes': -3.4474654, 'Yes': -9.585483}
{' ': -11.041629, ' Generally': -8.384922, ' Yes': -0.0016915345, ' yes': -10.029635, 'Yes': -6.5883136}
{' ': -10.076852, ' Generally': -8.217359, ' Yes': -0.0024562397, ' yes': -9.835824, 'Yes': -6.201268}
{' No': -0.6389494, ' Generally': -7.948994, 'No': -5.4474077, ' Yes': -0.76350313, 'Yes': -6.7293825}
{' No': -0.024470285, ' ': -9.8410845, 'No': -5.00373, ' Yes': -4.0560193, 'Yes': -9.759593}
{' No': -5.9876966, ' ': -9.482894, ' Generally': -9.814351, ' Yes': -0.004659139, 'Yes': -6.250074}
{' No': -5.3731356, ' ': -10.191731, ' Yes': -0.006248086, ' yes': -10.323518, 'Yes': -6.507003}
{' Yes': -0.001585622, 'Yes': -6.746363, ' Generally': -8.237278, ' yes': -9.838093, ' ': -10.119169}
{' No': -7.656456, ' Generally': -7.7470474, ' Yes': -0.0023981044, ' yes': -9.935705, 'Yes': -6.594854}
{' No': -4.511495, ' ': -9.191428, ' Generally': -7.4000926, ' Yes': -0.013538064, 'Yes': -6.456699}
{' No': -10.015105, ' Generally': -10.111908, ' Yes': -0.0012724282, ' yes': -9.960745, 'Yes': -6.808048}
{' No': -8.039253, ' ': -10.060799, ' Yes': -0.0015592938, ' yes': -10.1585245, 'Yes': -6.768204}
{' No': -1.2001601, ' Generally': -2.8403347, 'No': -5.514014, ' Yes': -0.47947025, ' It': -4.3800783}
{' No': -0.02149673, 'No': -4.6384416, ' Yes': -5.072432, ' Generally': -5.3806067, ' It': -8.24847}
{' No': -0.4340727, ' Generally': -4.9118385, 'No': -5.3149376, ' Yes': -1.083067, 'Yes': -7.3336616}
{' No': -1.4924711, ' ': -7.92896, 'No': -6.831408, ' Yes': -0.25829253, 'Yes': -6.6398606}
{' Generally': -4.926765, ' Typically': -9.249766, ' Yes': -0.009446713, 'Yes': -6.454528, ' It': -8.398444}
{' ': -10.488916, ' Generally': -6.7804585, ' Yes': -0.00251223, ' yes': -10.20327, 'Yes': -6.6779823}
{' No': -10.454675, ' ': -10.640448, ' Yes': -0.0012249213, ' yes': -10.353808, 'Yes': -6.7802033}
{' No': -5.8973303, ' Generally': -5.6980805, ' Yes': -0.007960355, ' yes': -9.876079, 'Yes': -6.4376245}
{' Yes': -0.003116955, 'Yes': -6.467167, ' No': -6.5508575, ' ': -9.825226, ' yes': -9.921429}
{' No': -0.014504481, ' ': -9.315377, 'No': -5.3168135, ' Yes': -4.671178, 'Yes': -10.822314}
{' Generally': -7.6735907, ' Yes': -0.0020494747, ' yes': -9.952646, 'Yes': -6.5197988, ' It': -10.933185}
{' ': -10.730375, ' Generally': -7.806267, ' Yes': -0.0023498887, ' yes': -9.910545, 'Yes': -6.301515}
{' No': -4.9502645, ' Generally': -7.7340035, 'No': -9.326855, ' Yes': -0.010540611, 'Yes': -5.9087014}
{' No': -1.0386528, ' Generally': -7.376137, 'No': -5.807716, ' Yes': -0.4456943, 'Yes': -6.3292236}
{' No': -9.377275, ' Generally': -9.390478, ' Yes': -0.0017567351, ' yes': -9.992968, 'Yes': -6.5012355}
{' No': -8.198499, ' ': -10.380897, ' Yes': -0.0016948791, ' yes': -10.1861105, 'Yes': -6.6111917}
{' ': -10.655261, ' Generally': -7.9756017, ' Yes': -0.0015880108, ' yes': -9.876693, 'Yes': -6.781581}
{' No': -9.0376215, ' Generally': -7.9519067, ' Yes': -0.0018206873, ' yes': -9.962548, 'Yes': -6.686845}
{' No': -5.7237973, ' ': -9.728818, ' Generally': -7.6565423, ' Yes': -0.005356966, 'Yes': -6.5488663}
{' ': -10.660588, ' Generally': -10.10769, ' Yes': -0.0011033642, ' yes': -9.980048, 'Yes': -6.938168}
{' No': -9.417242, ' ': -10.486616, ' Yes': -0.0010725154, ' yes': -10.19993, 'Yes': -6.9887276}
{' No': -2.0189855, ' Generally': -3.3200014, ' Yes': -0.19321999, 'Yes': -6.394204, ' It': -6.372709}
{' No': -0.08349111, ' Generally': -4.3709626, 'No': -4.767094, ' Yes': -2.8553147, ' It': -7.767304}
{' No': -1.959024, ' Generally': -5.047889, 'No': -6.974336, ' Yes': -0.16256484, 'Yes': -6.725591}
{' No': -2.197908, ' ': -8.505443, 'No': -7.6918273, ' Yes': -0.11983815, 'Yes': -6.744565}
{' Generally': -5.138578, ' Typically': -9.135185, ' Yes': -0.0075694984, 'Yes': -6.6596093, ' It': -9.063054}
{' Yes': -0.0018761032, 'Yes': -6.857023, ' Generally': -7.2136393, ' yes': -10.213071, ' ': -10.774137}
{' Yes': -0.0010571234, 'Yes': -6.9158273, ' yes': -10.294884, ' ': -10.8230295, ' No': -11.846048}
{' No': -7.1919584, ' Generally': -6.0555334, ' Yes': -0.0046191397, ' yes': -9.836169, 'Yes': -6.613105}
{' Yes': -0.0016060978, 'Yes': -6.6856933, ' No': -8.177717, ' yes': -10.139751, ' ': -10.589313}
{' No': -0.06554983, ' ': -8.90885, 'No': -5.389776, ' Yes': -2.836765, 'Yes': -9.16296}
{' ': -11.024477, ' Generally': -7.8848495, ' Yes': -0.0027671766, ' yes': -9.384145, 'Yes': -6.102754}
{' ': -10.141156, ' Generally': -7.360062, ' Yes': -0.0037164213, ' yes': -9.097951, 'Yes': -5.8615746}
{' No': -6.173477, ' Generally': -7.529538, ' Yes': -0.007624392, ' yes': -9.0553875, 'Yes': -5.3776994}
{' No': -2.2256687, ' Generally': -6.722995, 'No': -6.3796353, ' Yes': -0.12330129, 'Yes': -5.4258676}
{' No': -9.869874, ' Generally': -8.930521, ' Yes': -0.0036716703, ' yes': -9.069343, 'Yes': -5.716413}
{' Yes': -0.0033188285, 'Yes': -5.771989, ' yes': -9.282837, ' No': -9.911089, ' ': -9.96311}
{' ': -10.2765465, ' Generally': -7.2783713, ' Yes': -0.0027351996, ' yes': -9.058748, 'Yes': -6.3107414}
{' No': -8.802809, ' Generally': -6.8828316, ' Yes': -0.0037465144, ' yes': -9.094744, 'Yes': -6.0635624}
{' No': -6.194914, ' Generally': -6.607691, ' Yes': -0.006149548, ' yes': -8.908858, 'Yes': -6.038479}
{' ': -10.193836, ' Generally': -8.833214, ' Yes': -0.0022298081, ' yes': -9.172266, 'Yes': -6.2737026}
{' Yes': -0.0020419497, 'Yes': -6.2723303, ' yes': -9.422542, ' ': -10.3343935, ' No': -10.349668}
{' No': -3.4143512, ' Generally': -3.1758657, ' Yes': -0.11479088, 'Yes': -5.919965, ' It': -3.6531074}
{' No': -0.55362415, ' Generally': -2.7052965, 'No': -4.6596437, ' Yes': -1.1474657, ' It': -3.811734}
{' No': -2.5539918, ' Generally': -4.5895715, 'No': -6.9527497, ' Yes': -0.09674137, 'Yes': -6.1206384}
{' No': -3.968768, ' ': -8.269376, 'No': -8.630029, ' Yes': -0.022057528, 'Yes': -6.059058}
{' Generally': -4.810932, ' Typically': -8.969309, ' Yes': -0.010513686, 'Yes': -6.53968, ' It': -8.050559}
{' ': -9.993592, ' Generally': -6.081736, ' Yes': -0.0042471094, ' yes': -9.551153, 'Yes': -6.3505144}
{' No': -12.369597, ' ': -10.205941, ' Yes': -0.0020590913, ' yes': -9.543677, 'Yes': -6.248801}
{' No': -8.875517, ' Generally': -6.0397935, ' Yes': -0.0046677026, ' yes': -9.343498, 'Yes': -6.283232}
{' No': -9.8011265, ' ': -10.197498, ' Yes': -0.002311832, ' yes': -9.404142, 'Yes': -6.159069}
{' No': -0.52336574, ' ': -7.9712605, 'No': -5.2074075, ' Yes': -0.9154537, 'Yes': -6.8388753}
{' Yes': -0.0019400019, 'Yes': -6.4963965, ' Generally': -8.0145855, ' yes': -10.078448, ' It': -10.894958}
{' Generally': -7.3812037, ' Yes': -0.0026827254, ' yes': -9.83788, 'Yes': -6.2672086, ' It': -10.451757}
{' No': -2.00943, ' Generally': -7.11228, 'No': -6.661642, ' Yes': -0.14949809, 'Yes': -6.037529}
{' No': -0.42846277, ' Generally': -7.3742614, 'No': -5.415855, ' Yes': -1.0728433, 'Yes': -6.9258842}
{' No': -8.66883, ' Generally': -9.775106, ' Yes': -0.0016855649, ' yes': -10.149266, 'Yes': -6.5920644}
{' No': -6.262359, ' ': -10.236138, ' Yes': -0.0033295355, ' yes': -10.4652195, 'Yes': -6.6161356}
{' No': -10.272993, ' Generally': -7.8800197, ' Yes': -0.0014822852, ' yes': -10.007961, 'Yes': -6.944292}
{' No': -7.339545, ' ': -9.934596, ' Generally': -7.3635926, ' Yes': -0.0025338614, 'Yes': -6.797204}
{' No': -4.476682, ' ': -9.492519, ' Generally': -6.8809276, ' Yes': -0.014173312, 'Yes': -6.572452}
{' No': -10.048601, ' Generally': -9.5915785, ' Yes': -0.0011863718, ' yes': -10.062177, 'Yes': -6.9111514}
{' No': -6.7414045, ' ': -9.724786, ' Yes': -0.002164158, ' yes': -10.260406, 'Yes': -7.0375867}
{' No': -1.1136537, ' Generally': -2.7499948, 'No': -5.5101857, ' Yes': -0.5503871, ' It': -3.8870265}
{' No': -0.11874872, ' Generally': -3.8092146, 'No': -4.8487787, ' Yes': -2.5661268, ' It': -5.8020277}
{' No': -1.8299786, ' Generally': -4.9013953, 'No': -6.8368235, ' Yes': -0.18736613, 'Yes': -6.65853}
{' No': -1.4995124, ' ': -8.089555, 'No': -7.2130303, ' Yes': -0.25529376, 'Yes': -6.947997}
{' Yes': -0.011226637, ' Generally': -4.7436576, 'Yes': -6.6294746, ' It': -7.3212357, ' Typically': -9.073906}
{' ': -10.262185, ' Generally': -6.6100435, ' Yes': -0.0025376854, ' yes': -10.323613, 'Yes': -6.8593698}
{' No': -9.191963, ' ': -10.119198, ' Yes': -0.0011644093, ' yes': -10.513822, 'Yes': -6.9190335}
{' No': -6.595615, ' Generally': -6.2396407, ' Yes': -0.004794786, ' yes': -10.043546, 'Yes': -6.6463847}
{' No': -6.1023417, ' ': -9.8964815, ' Yes': -0.0035831952, ' yes': -10.249429, 'Yes': -6.70016}
{' No': -0.05613145, ' ': -8.748735, 'No': -5.566499, ' Yes': -2.9859543, 'Yes': -9.444494}
{' Yes': -0.00186613, 'Yes': -6.4040933, ' Generally': -9.045329, ' yes': -9.733749, ' ': -10.781155}
{' ': -10.255119, ' Generally': -9.692066, ' Yes': -0.0021691143, ' yes': -9.583288, 'Yes': -6.219204}
{' No': -4.717784, ' ': -8.961518, 'No': -9.314435, ' Yes': -0.011880324, 'Yes': -5.9707937}
{' Yes': -0.41156632, ' No': -1.102286, 'No': -5.915877, 'Yes': -6.173756, ' ': -7.9199986}
{' Yes': -0.0020075482, 'Yes': -6.3459406, ' No': -9.199113, ' ': -9.617091, ' yes': -9.652098}
{' No': -7.744699, ' ': -9.766499, ' Yes': -0.0022257448, ' yes': -9.875667, 'Yes': -6.3910923}
{' ': -10.042256, ' Generally': -8.346864, ' Yes': -0.0015978592, ' yes': -9.5275755, 'Yes': -6.7082305}
{' ': -9.62699, ' Generally': -8.555667, ' Yes': -0.0018855977, ' yes': -9.515308, 'Yes': -6.5193715}
{' No': -8.077866, ' ': -9.252991, ' Generally': -8.345661, ' Yes': -0.0022968973, 'Yes': -6.4744945}
{' ': -9.977895, ' Generally': -10.311076, ' Yes': -0.0012371556, ' yes': -9.670535, 'Yes': -6.833329}
{' No': -9.82304, ' ': -9.556473, ' Yes': -0.0013811126, ' yes': -9.725845, 'Yes': -6.7321205}
{' No': -2.808816, ' Generally': -3.674361, ' Yes': -0.106106654, 'Yes': -6.073958, ' It': -4.627736}
{' No': -0.2702694, ' Yes': -1.5677395, ' Generally': -4.1181793, 'No': -4.775486, ' It': -6.6891766}
{' No': -2.487293, ' Generally': -5.57388, 'No': -7.336339, ' Yes': -0.09419415, 'Yes': -6.4398203}
{' No': -2.2277203, ' ': -7.236686, 'No': -7.476032, ' Yes': -0.11750588, 'Yes': -6.36815}
{' Generally': -5.0475287, ' Typically': -9.470058, ' Yes': -0.008376438, 'Yes': -6.545726, ' It': -8.982354}
{' Yes': -0.0027409985, ' Generally': -6.606731, 'Yes': -6.6987624, ' yes': -9.691687, ' ': -10.035109}
{' No': -11.825325, ' ': -9.870502, ' Yes': -0.0014501729, ' yes': -9.820663, 'Yes': -6.620886}
{' No': -7.7708225, ' Generally': -6.176996, ' Yes': -0.0041469103, ' yes': -9.521299, 'Yes': -6.553171}
{' Yes': -0.0019496174, 'Yes': -6.495739, ' No': -8.140205, ' ': -9.461138, ' yes': -9.710278}
{' No': -0.12363908, ' ': -7.7475004, 'No': -5.504491, ' Yes': -2.1931715, 'Yes': -8.519799}
{' Generally': -7.9487543, ' Yes': -0.0019584529, ' yes': -9.997632, 'Yes': -6.500722, ' It': -10.85053}
{' ': -10.533448, ' Generally': -7.959798, ' Yes': -0.002425649, ' yes': -9.75524, 'Yes': -6.239984}
{' No': -4.9088554, ' Generally': -9.12293, 'No': -9.543535, ' Yes': -0.010162218, 'Yes': -6.0227733}
{' No': -0.8968006, ' Generally': -8.655191, 'No': -5.8342085, ' Yes': -0.5325829, 'Yes': -6.392686}
{' No': -9.545139, ' ': -10.224018, ' Yes': -0.0017987726, ' yes': -9.947075, 'Yes': -6.4365535}
{' No': -8.452765, ' ': -10.626849, ' Yes': -0.0014415766, ' yes': -10.255778, 'Yes': -6.7552915}
{' Yes': -0.0016893861, 'Yes': -6.837058, ' Generally': -7.597354, ' yes': -9.817739, ' ': -10.683597}
{' No': -9.968415, ' Generally': -7.933015, ' Yes': -0.0017146396, ' yes': -9.906908, 'Yes': -6.717538}
{' No': -6.633311, ' Generally': -7.5339127, ' Yes': -0.0034438255, ' yes': -9.658813, 'Yes': -6.5533185}
{' ': -10.577315, ' Generally': -9.716009, ' Yes': -0.001172646, ' yes': -9.893186, 'Yes': -6.8915167}
{' No': -10.69034, ' ': -10.615225, ' Yes': -0.0009255631, ' yes': -10.141634, 'Yes': -7.0867367}
{' No': -2.981223, ' Generally': -2.4994004, ' Yes': -0.16971134, 'Yes': -6.2786703, ' It': -4.104638}
{' No': -0.30609176, ' Generally': -3.1812978, 'No': -5.0164, ' Yes': -1.5626912, ' It': -5.8464375}
{' No': -3.4651513, ' Generally': -5.089352, 'No': -8.42886, ' Yes': -0.040342826, 'Yes': -6.585829}
{' No': -4.459399, ' ': -8.881719, 'No': -9.871692, ' Yes': -0.0132363895, 'Yes': -6.625388}
{' Generally': -4.214591, ' Typically': -8.609317, ' Yes': -0.017390355, 'Yes': -6.630242, ' It': -7.516066}
{' Yes': -0.0029135065, ' Generally': -6.3478613, 'Yes': -6.8722634, ' yes': -10.140559, ' ': -10.323085}
{' No': -11.579481, ' ': -10.469227, ' Yes': -0.0010683412, ' yes': -10.251717, 'Yes': -6.916691}
{' No': -7.6513863, ' Generally': -5.859665, ' Yes': -0.004829764, ' yes': -9.903713, 'Yes': -6.650814}
{' Yes': -0.0014195521, 'Yes': -6.742546, ' No': -8.731203, ' yes': -10.106424, ' ': -10.517267}
{' No': -0.2486929, ' ': -8.526828, 'No': -5.6233377, ' Yes': -1.5331033, 'Yes': -7.9475546}
{' Generally': -6.820912, ' Yes': -0.0033523804, ' yes': -9.7065, 'Yes': -6.233285, ' It': -8.886779}
{' Generally': -6.4033723, ' Yes': -0.0045481822, ' yes': -9.563367, 'Yes': -5.966277, ' It': -9.070909}
{' No': -2.3286476, ' Generally': -6.1326904, 'No': -6.625147, ' Yes': -0.1111451, 'Yes': -5.6115546}
{' No': -0.23113362, ' Yes': -1.6294737, 'No': -4.8514338, ' Generally': -6.718161, 'Yes': -7.042159}
{' No': -8.504233, ' Generally': -7.9850187, ' Yes': -0.0026967705, ' yes': -9.768588, 'Yes': -6.202972}
{' Yes': -0.0023831094, 'Yes': -6.3528376, ' No': -7.482955, ' yes': -10.1603565, ' ': -10.454388}
{' Generally': -5.697449, ' Typically': -9.496878, ' Yes': -0.005022878, ' yes': -9.547541, 'Yes': -6.596089}
{' No': -7.1965647, ' Generally': -5.0688376, ' Typically': -9.180749, ' Yes': -0.00918537, 'Yes': -6.3526793}
{' No': -4.2481766, ' Generally': -5.1062984, 'No': -8.932792, ' Yes': -0.023206722, 'Yes': -6.209018}
{' No': -9.4807, ' Generally': -7.277273, ' Yes': -0.0020354374, ' yes': -9.70339, 'Yes': -6.7699814}
{' No': -9.591497, ' ': -10.796976, ' Yes': -0.001186552, ' yes': -10.05361, 'Yes': -6.8585715}
{' No': -2.4719079, ' Generally': -1.715606, ' Typically': -5.6804724, ' Yes': -0.44399565, ' It': -2.5404656}
{' No': -0.14852905, ' Generally': -3.016718, 'No': -4.6499095, ' Yes': -2.632429, ' It': -5.4500504}
{' No': -2.3204648, ' Generally': -3.4440744, 'No': -7.2098303, ' Yes': -0.14372422, 'Yes': -6.529916}
{' No': -4.087696, ' ': -9.242962, 'No': -9.547508, ' Yes': -0.01857604, 'Yes': -6.573786}
{' Generally': -3.3839836, ' Typically': -7.7294593, ' Yes': -0.040004782, 'Yes': -6.52053, ' It': -6.05196}
{' Generally': -4.847532, ' Typically': -9.634418, ' Yes': -0.009286614, ' yes': -10.050757, 'Yes': -6.766715}
{' Yes': -0.0012394234, 'Yes': -6.7445216, ' yes': -10.361381, ' ': -10.978393, ' No': -11.709881}
{' No': -6.4162803, ' Generally': -4.379373, ' Typically': -8.741075, ' Yes': -0.01642994, 'Yes': -6.449676}
{' Yes': -0.0019998436, 'Yes': -6.57795, ' No': -7.5827775, ' yes': -10.006774, ' ': -10.653857}
{' No': -0.44380245, ' ': -8.532782, 'No': -5.6420536, ' Yes': -1.0391375, 'Yes': -7.3302555}
{' Generally': -7.0949674, ' Yes': -0.0032200995, ' yes': -9.681503, 'Yes': -6.1631145, ' It': -8.89889}
{' Generally': -6.893246, ' Yes': -0.0038616923, ' yes': -9.505849, 'Yes': -5.9525843, ' It': -9.54874}
{' No': -6.4795814, ' Generally': -7.3782835, ' Yes': -0.0060439426, ' yes': -9.497766, 'Yes': -5.627652}
{' No': -2.0548937, ' Generally': -6.663241, 'No': -6.6017704, ' Yes': -0.14461751, 'Yes': -5.6973915}
{' No': -9.86359, ' Generally': -8.594433, ' Yes': -0.002617463, ' yes': -9.728058, 'Yes': -6.0886483}
{' No': -10.641517, ' ': -10.666757, ' Yes': -0.0018518561, ' yes': -9.958877, 'Yes': -6.3468604}
{' Generally': -6.513579, ' Typically': -10.13271, ' Yes': -0.003024162, ' yes': -9.543562, 'Yes': -6.606265}
{' No': -9.549029, ' Generally': -6.023864, ' Yes': -0.0043211565, ' yes': -9.561071, 'Yes': -6.43568}
{' No': -6.4169264, ' Generally': -5.7134333, ' Yes': -0.007229931, ' yes': -9.292817, 'Yes': -6.2516565}
{' Yes': -0.001833882, 'Yes': -6.716855, ' Generally': -7.7301183, ' No': -9.633327, ' yes': -9.713929}
{' No': -11.265753, ' ': -11.064858, ' Yes': -0.0012906296, ' yes': -9.911637, 'Yes': -6.718608}
{' That': -5.887167, ' No': -4.146059, ' Generally': -2.384106, ' Yes': -0.21215074, ' It': -2.6557677}
{' No': -0.87622523, ' Generally': -2.1806304, 'No': -5.1521745, ' Yes': -0.86652446, ' It': -3.413451}
{' Yes': -0.052549362, ' No': -3.4476185, ' Generally': -4.1343555, 'Yes': -6.284372, 'No': -8.099052}
{' No': -6.416468, ' ': -9.286709, ' Yes': -0.0033991495, ' yes': -9.595522, 'Yes': -6.4560127}
{' Generally': -3.4626126, ' Typically': -7.673605, ' Yes': -0.037251085, 'Yes': -6.4317803, ' It': -6.1920376}
{' Generally': -5.095154, ' Typically': -9.731762, ' Yes': -0.0076812105, ' yes': -9.985618, 'Yes': -6.6478257}
{' ': -10.784291, ' Generally': -11.916779, ' Yes': -0.001477988, ' yes': -10.086608, 'Yes': -6.574666}
{' No': -7.958029, ' Generally': -4.8933372, ' Typically': -9.069492, ' Yes': -0.010004228, 'Yes': -6.393362}
{' No': -9.346441, ' Generally': -10.555909, ' Yes': -0.0017738712, ' yes': -9.835874, 'Yes': -6.451265}
{' No': -0.3608862, ' Yes': -1.2151667, 'No': -5.3296857, 'Yes': -7.3168793, ' Generally': -7.800518}
{' Generally': -7.19801, ' Yes': -0.0030046718, ' yes': -9.678375, 'Yes': -6.2150006, ' It': -9.064861}
{' Generally': -6.2905684, ' Yes': -0.0049568033, ' yes': -9.431329, 'Yes': -5.9899473, ' It': -8.039777}
{' No': -2.6544182, ' Generally': -5.810029, 'No': -6.8920026, ' Yes': -0.08293287, 'Yes': -5.5534544}
{' No': -0.23416571, ' Generally': -6.736693, 'No': -4.7769895, ' Yes': -1.622147, 'Yes': -6.945513}
{' No': -7.4890127, ' Generally': -7.230906, ' Yes': -0.0037183363, ' yes': -9.6600485, 'Yes': -6.1027613}
{' No': -7.978545, ' ': -10.449251, ' Yes': -0.0023075903, ' yes': -9.852963, 'Yes': -6.2820315}
{' Generally': -5.966928, ' Typically': -9.690749, ' Yes': -0.0042644064, ' yes': -9.390143, 'Yes': -6.592281}
{' No': -8.166637, ' Generally': -5.509196, ' Yes': -0.0063308016, ' yes': -9.453848, 'Yes': -6.418108}
{' No': -4.6836705, ' Generally': -5.2297826, ' A': -8.695116, ' Yes': -0.01749492, 'Yes': -6.1919637}
{' No': -9.672962, ' Generally': -7.3627467, ' Yes': -0.0019892717, ' yes': -9.569347, 'Yes': -6.7740097}
{' No': -9.1447, ' ': -10.571511, ' Yes': -0.0012732628, ' yes': -9.818162, 'Yes': -6.832034}
{' That': -5.471781, ' No': -3.9930913, ' Generally': -2.110714, ' Yes': -0.28929326, ' It': -2.3662584}
{' No': -0.34031364, ' Generally': -2.5144432, 'No': -4.538567, ' Yes': -2.107943, ' It': -2.7810218}
{' No': -2.7675087, ' Generally': -3.6519272, ' A': -7.3528852, ' Yes': -0.098315395, 'Yes': -6.2886686}
{' No': -3.6166368, ' ': -8.871923, 'No': -8.625093, ' Yes': -0.029608386, 'Yes': -6.323699}
{' Generally': -3.251009, ' Yes': -0.05043426, 'Yes': -6.437092, ' In': -7.528482, ' It': -5.091299}
{' Generally': -4.7678785, ' Typically': -9.597196, ' A': -9.783206, ' Yes': -0.010241641, 'Yes': -6.6262045}
{' No': -10.603184, ' ': -10.572693, ' Yes': -0.001505269, ' yes': -10.050318, 'Yes': -6.578696}
{' No': -6.903731, ' Generally': -4.6249514, ' Typically': -9.007752, ' Yes': -0.013281808, 'Yes': -6.3466177}
{' No': -7.036888, ' Generally': -10.002214, ' Yes': -0.002585133, ' yes': -9.812847, 'Yes': -6.464836}
{' No': -0.06537852, ' Generally': -8.587442, 'No': -5.1492176, ' Yes': -2.865332, 'Yes': -8.9936495}
{' Generally': -7.338139, ' Yes': -0.0024956178, ' yes': -9.986612, 'Yes': -6.3765607, ' It': -10.044292}
{' Generally': -6.9984508, ' Typically': -10.658688, ' Yes': -0.0031528291, ' yes': -9.817935, 'Yes': -6.1703176}
