{' No': -0.005300159, 'No': -5.3742537, ' Yes': -7.407945, ' ': -10.08948, 'Yes': -13.439017}
{' No': -0.817429, ' Generally': -4.1596775, 'No': -5.268643, ' A': -6.4329834, ' Yes': -0.6285099}
{' No': -3.7329662, ' ': -8.710439, 'No': -8.566388, ' Yes': -0.026486637, 'Yes': -6.374701}
{' ': -11.080393, ' Generally': -8.100262, ' Yes': -0.0013932897, ' yes': -9.960245, 'Yes': -6.8965015}
{' No': -0.012546144, ' ': -9.634995, 'No': -5.574001, ' Yes': -4.758193, 'Yes': -11.045695}
{' No': -0.003620822, ' ': -10.032582, ' Generally': -13.254435, 'No': -5.7043023, ' Yes': -8.362741}
{' No': -0.0046725534, ' ': -9.984012, ' Generally': -8.956107, 'No': -5.427734, ' Yes': -9.602468}
{' No': -0.05485906, ' Generally': -8.336815, 'No': -5.405414, ' A': -9.046051, ' Yes': -3.0293384}
{' No': -0.007173018, ' ': -9.980023, ' Generally': -9.233516, 'No': -4.973474, ' Yes': -9.641263}
{' No': -0.0066527226, 'No': -5.0434475, ' Generally': -9.144846, ' ': -10.318496, ' Yes': -10.707552}
{' No': -0.06192413, ' Generally': -8.817856, 'No': -5.1670513, ' Yes': -2.9206827, 'Yes': -9.030375}
{' No': -0.9473672, ' Generally': -3.587536, 'No': -5.4540315, ' A': -5.8606763, ' Yes': -0.55446106}
{' Yes': -0.08590576, ' No': -2.5267913, 'Yes': -6.574389, 'No': -7.5661016, ' Generally': -8.416592}
{' Generally': -7.589742, ' Typically': -11.211951, ' Yes': -0.001479899, ' yes': -10.320458, 'Yes': -7.001872}
{' No': -0.010712118, ' ': -9.769758, ' Generally': -11.203379, 'No': -5.397404, ' Yes': -5.110577}
{' No': -0.004732501, ' ': -9.805698, ' Generally': -11.229354, 'No': -5.3870792, ' Yes': -9.5896015}
{' No': -0.0052263984, ' ': -10.58765, ' Generally': -8.929625, 'No': -5.2933693, ' Yes': -11.694252}
{' No': -0.05388099, ' Generally': -7.7330832, 'No': -5.238886, ' A': -8.536749, ' Yes': -3.0724487}
{' An': -10.41567, ' No': -0.009241616, ' ': -10.024107, ' Generally': -8.302862, 'No': -4.7295}
{' No': -0.007387421, 'No': -4.9511566, ' Generally': -8.477999, ' ': -10.458385, ' Yes': -10.956219}
{' No': -0.027931795, ' ': -9.436693, ' Generally': -8.730869, 'No': -5.0522733, ' Yes': -3.8731904}
{' No': -0.49029374, ' Yes': -1.1969455, ' Generally': -2.669966, 'No': -4.803402, ' A': -5.645958}
{' No': -2.9875984, ' Generally': -7.825757, 'No': -7.8331714, ' Yes': -0.054876316, 'Yes': -6.3177714}
{' Generally': -6.3641167, ' Typically': -10.22073, ' Yes': -0.0027831958, ' yes': -10.13516, 'Yes': -6.9579372}
{' No': -0.041958462, ' Yes': -3.3387778, 'No': -5.248484, ' ': -9.183298, ' Generally': -9.25004}
{' No': -0.007140901, ' ': -9.234128, ' Generally': -9.978114, 'No': -5.3184566, ' Yes': -6.199708}
{' No': -0.0065548634, ' Generally': -7.389798, 'No': -5.1858587, ' A': -10.042182, ' Yes': -8.638898}
{' No': -0.12662598, ' Generally': -6.237971, 'No': -5.1913266, ' A': -7.485382, ' Yes': -2.2044172}
{' An': -9.176, ' No': -0.010829064, ' Generally': -7.2667885, 'No': -4.635318, ' Yes': -8.839858}
{' No': -0.009483358, 'No': -4.778492, ' Generally': -7.0966663, ' An': -10.0265255, ' Yes': -10.330318}
{' No': -0.08797986, ' Generally': -7.54354, 'No': -4.8688135, ' Yes': -2.5838618, 'Yes': -8.5104}
{' No': -2.2159004, ' Generally': -3.279926, ' A': -5.8070426, ' Yes': -0.16942589, 'Yes': -5.978798}
{' No': -5.462417, ' Generally': -8.301298, ' A': -9.1860075, ' Yes': -0.006658484, 'Yes': -6.279781}
{' Generally': -6.546373, ' Typically': -10.285958, ' Yes': -0.0026894163, ' yes': -9.983439, 'Yes': -6.777477}
{' No': -0.008499844, ' ': -9.627769, ' Generally': -9.82602, 'No': -5.330292, ' Yes': -5.6662393}
{' No': -0.00513401, 'No': -5.3241816, ' Yes': -9.103723, ' ': -9.652902, ' Generally': -9.99013}
{' No': -0.0059373286, ' ': -10.272161, ' Generally': -7.793342, 'No': -5.22484, ' A': -10.663365}
{' No': -0.017935868, ' Generally': -6.831997, 'No': -5.082961, ' A': -8.249371, ' Yes': -4.602694}
{' No': -0.009239148, 'No': -4.7441936, ' Generally': -8.031315, ' ': -9.798305, ' An': -9.831578}
{' An': -10.345083, ' No': -0.008347465, ' ': -10.403509, ' Generally': -7.9040875, 'No': -4.8514447}
{' An': -9.242309, ' No': -0.012770881, ' Generally': -8.5328455, 'No': -4.9427977, ' Yes': -5.2667785}
{' No': -0.8813319, ' Generally': -2.6934924, 'No': -5.1967134, ' A': -5.0671873, ' Yes': -0.6928439}
{' No': -3.1102226, ' Generally': -7.3784695, ' A': -7.863728, ' Yes': -0.049233045, 'Yes': -6.2809906}
{' Yes': -0.002725996, ' Generally': -6.4528656, 'Yes': -6.8711643, ' yes': -9.896486, ' Typically': -10.524282}
{' No': -0.019411929, ' Yes': -4.2522016, 'No': -5.322907, ' ': -9.857916, 'Yes': -10.442683}
{' No': -0.006348796, 'No': -5.232009, ' Yes': -7.0162783, ' ': -10.077559, ' Generally': -10.533242}
{' No': -0.005956635, 'No': -5.221773, ' Generally': -7.966551, ' Yes': -9.106327, ' ': -10.501989}
{' No': -0.4430483, ' Generally': -6.496961, 'No': -5.482736, ' A': -7.1324725, ' Yes': -1.0483072}
{' No': -0.009080464, 'No': -4.7641063, ' Generally': -8.263005, ' Yes': -8.751079, ' ': -10.126979}
{' An': -10.367955, ' No': -0.008542164, ' Generally': -7.6463895, 'No': -4.8464437, ' Yes': -9.575557}
{' No': -0.32843214, ' Yes': -1.2988206, 'No': -5.1782074, 'Yes': -7.505432, ' An': -7.8376083}
{' No': -1.5156614, ' Generally': -3.2084239, 'No': -5.766447, ' A': -5.7114334, ' Yes': -0.31601727}
{' Yes': -0.03490684, ' No': -3.456299, 'Yes': -6.3135724, ' Generally': -8.035839, 'No': -8.242695}
{' Generally': -6.6072927, ' Typically': -10.454152, ' Yes': -0.002383345, ' yes': -10.193486, 'Yes': -6.9711123}
{' No': -0.08106772, ' ': -8.056098, 'No': -4.5269217, ' Yes': -2.7156446, 'Yes': -8.221516}
{' No': -0.014271191, 'No': -4.3732495, ' Yes': -6.7794976, ' ': -8.50543, ' Generally': -9.104687}
{' No': -0.009776864, ' ': -9.646563, ' Generally': -7.3660064, 'No': -4.736835, ' Yes': -8.997113}
{' No': -0.1344514, ' Generally': -6.592909, 'No': -4.931624, ' A': -7.254476, ' Yes': -2.1553385}
{' An': -8.927013, ' No': -0.01738538, ' Generally': -7.492027, 'No': -4.1285076, ' Yes': -8.296168}
{' An': -9.678987, ' No': -0.013900392, ' ': -9.635413, ' Generally': -7.7727733, 'No': -4.333471}
{' No': -0.301481, ' Yes': -1.3845023, 'No': -4.831209, 'Yes': -7.241667, ' Generally': -7.546861}
{' Yes': -0.34200495, ' No': -1.4264414, ' Generally': -3.3492012, ' A': -5.275175, 'No': -5.541586}
{' No': -5.1641693, ' Generally': -8.580073, ' A': -8.520247, ' Yes': -0.008538917, 'Yes': -6.151157}
{' Yes': -0.0027746484, ' Generally': -6.566762, 'Yes': -6.712411, ' yes': -9.5010805, ' Typically': -10.242108}
{' No': -0.012715461, ' ': -9.31492, 'No': -5.3021154, ' Yes': -4.8871145, 'Yes': -11.076396}
{' No': -0.0051788236, ' ': -9.962862, ' Generally': -13.87792, 'No': -5.2885075, ' Yes': -9.639305}
{' No': -0.00564081, ' ': -10.433326, ' Generally': -11.301376, 'No': -5.192576, ' Yes': -10.794031}
{' No': -0.033088814, ' ': -9.43346, 'No': -5.226299, ' Yes': -3.6127145, 'Yes': -9.817129}
{' No': -0.009134361, ' ': -9.665346, ' Generally': -11.509563, 'No': -4.717457, ' Yes': -9.518698}
{' No': -0.007892705, ' ': -9.974202, ' Generally': -11.121445, 'No': -4.8576202, ' Yes': -10.581273}
{' No': -0.011204999, 'No': -5.0496683, ' Yes': -5.3700457, ' ': -9.746898, 'Yes': -11.404429}
{' No': -0.17949763, ' Generally': -6.058884, 'No': -4.683184, ' Yes': -1.8857296, 'Yes': -7.8261623}
{' No': -0.56997454, ' Yes': -0.8468263, 'No': -5.428848, 'Yes': -7.030969, ' ': -8.135964}
{' ': -11.110592, ' Generally': -9.481647, ' Yes': -0.0010354641, ' yes': -10.729106, 'Yes': -6.996818}
{' No': -0.0057066903, ' ': -9.675473, 'No': -5.278574, ' Yes': -7.556543, 'Yes': -13.494235}
{' No': -0.005385073, ' ': -9.733204, 'No': -5.2402496, ' Yes': -11.985361, ' no': -13.388349}
{' No': -0.006514006, ' ': -9.954409, ' Generally': -10.087969, 'No': -5.0540204, ' Yes': -11.985493}
{' No': -0.009201788, ' ': -9.652062, 'No': -5.4065213, ' A': -10.445373, ' Yes': -5.3955445}
{' No': -0.0085469745, 'No': -4.775978, ' ': -10.00946, ' Generally': -10.802628, ' Yes': -11.734353}
{' No': -0.008960354, 'No': -4.732393, ' Generally': -9.865699, ' ': -10.086484, ' Yes': -11.650895}
{' No': -0.01715506, ' Yes': -4.614687, 'No': -4.962994, ' ': -9.738001, 'Yes': -10.555887}
{' No': -0.048482902, ' Generally': -5.34176, 'No': -4.463146, ' A': -7.603937, ' Yes': -3.5041313}
{' No': -0.45362574, ' ': -8.80609, 'No': -5.3533144, ' Yes': -1.02456, 'Yes': -7.31277}
{' ': -11.005606, ' Generally': -7.8830295, ' Yes': -0.0013467318, ' yes': -9.843241, 'Yes': -7.037674}
{' No': -0.004558302, 'No': -5.4802775, ' Yes': -8.059983, ' ': -9.705821, 'Yes': -14.018024}
{' No': -0.004101422, ' ': -10.266609, 'No': -5.5078416, ' Yes': -13.271612, ' no': -14.315392}
{' No': -0.0044042454, ' ': -10.441928, ' Generally': -12.86098, 'No': -5.435524, ' Yes': -13.145503}
{' No': -0.004670758, ' ': -10.10794, ' Generally': -12.801525, 'No': -5.5290847, ' Yes': -7.3506403}
{' No': -0.008305517, ' ': -9.809771, ' Generally': -12.1106, 'No': -4.803775, ' Yes': -11.696174}
{' No': -0.0069620833, 'No': -4.975977, ' ': -10.498816, ' Generally': -12.261877, ' Yes': -13.533604}
{' No': -0.0068519516, ' ': -10.22889, 'No': -5.121584, ' Yes': -7.1061997, 'Yes': -12.933296}
{' No': -0.04720079, ' ': -9.077846, ' Generally': -7.608844, 'No': -4.7207274, ' Yes': -3.3133388}
{' No': -0.3289377, ' ': -8.56819, 'No': -5.3603325, ' Yes': -1.2916147, 'Yes': -7.556709}
{' ': -11.624302, ' Generally': -11.216203, ' Yes': -0.0010548538, ' yes': -10.805558, 'Yes': -6.89833}
{' No': -0.0076398873, 'No': -5.2440057, ' Yes': -6.091702, ' ': -9.719706, 'Yes': -12.05126}
{' No': -0.005556597, ' ': -10.392815, ' Generally': -13.969071, 'No': -5.2029653, ' Yes': -11.772098}
{' No': -0.006724669, ' ': -10.685208, ' Generally': -10.276206, 'No': -5.015477, ' Yes': -12.387361}
{' No': -0.030010602, ' ': -9.30303, ' Generally': -9.162214, 'No': -5.0889587, ' Yes': -3.767355}
{' No': -0.012589968, ' ': -10.188138, ' Generally': -10.458222, 'No': -4.38734, ' Yes': -12.10322}
{' No': -0.0105934385, ' ': -10.746562, ' Generally': -10.415531, 'No': -4.558737, ' Yes': -12.1242285}
{' No': -0.011390607, ' ': -10.021744, ' Generally': -10.875522, 'No': -4.78647, ' Yes': -5.8415446}
{' No': -0.22857869, ' Generally': -4.0149937, 'No': -4.4609776, ' A': -7.173544, ' Yes': -1.7577631}
{' No': -1.5283991, ' Generally': -8.402489, 'No': -6.2411084, ' Yes': -0.24961908, 'Yes': -6.4357834}
{' Yes': -0.0015302812, 'Yes': -6.7096505, ' Generally': -8.270542, ' yes': -10.403757, ' ': -11.339846}
{' No': -0.008356662, ' ': -9.546421, ' Generally': -11.176189, 'No': -5.2789173, ' Yes': -5.7714977}
{' No': -0.0052601923, 'No': -5.2790675, ' Yes': -9.476195, ' ': -9.899868, ' Generally': -11.334205}
{' No': -0.0056671263, ' ': -10.448882, ' Generally': -9.125688, 'No': -5.2061405, ' A': -11.48548}
{' No': -0.010113144, ' Generally': -8.63695, 'No': -5.259968, ' A': -9.457303, ' Yes': -5.3956914}
{' No': -0.009216228, 'No': -4.709188, ' Generally': -9.360785, ' ': -10.075937, ' Yes': -11.340824}
{' No': -0.0076670945, 'No': -4.893886, ' Generally': -9.224507, ' ': -10.617438, ' An': -12.112958}
{' No': -0.007823632, 'No': -5.0117145, ' Yes': -6.893512, ' Generally': -10.033046, ' ': -10.043044}
{' No': -0.3930638, ' Generally': -3.5502157, 'No': -4.791211, ' A': -5.80692, ' Yes': -1.2646668}
{' No': -1.6005632, ' Generally': -7.9963703, 'No': -6.495327, ' Yes': -0.23026098, 'Yes': -6.475748}
{' Generally': -7.172679, ' Typically': -10.9346895, ' Yes': -0.0017044907, ' yes': -10.335425, 'Yes': -7.05276}
{' No': -0.021798529, ' ': -7.965066, 'No': -5.002769, ' A': -8.837482, ' Yes': -4.2611246}
{' No': -0.00872854, 'No': -4.918339, ' Yes': -7.291962, ' ': -8.331859, ' Generally': -8.494333}
{' No': -0.009914709, ' ': -8.727748, ' Generally': -6.999965, 'No': -4.8214626, ' A': -7.978718}
{' No': -0.012474141, ' Generally': -7.312031, 'No': -4.9744396, ' A': -7.18309, ' Yes': -5.600513}
{' No': -0.011884244, 'No': -4.5786104, ' Generally': -7.3435607, ' An': -7.948836, ' ': -8.546783}
{' An': -8.00359, ' No': -0.011173231, ' ': -8.940011, ' Generally': -7.0542197, 'No': -4.655802}
{' An': -7.5114727, ' No': -0.012260274, ' Generally': -7.8341727, 'No': -4.873625, ' Yes': -5.7203484}
{' No': -0.30409673, ' Yes': -1.5711237, ' Generally': -3.6699889, ' A': -4.194285, 'No': -4.6732354}
{' No': -0.95084536, ' Generally': -6.3066435, 'No': -5.7475505, ' A': -5.627387, ' Yes': -0.5062159}
{' Usually': -8.972083, ' Generally': -5.403158, ' Typically': -8.841113, ' Yes': -0.0065520457, 'Yes': -6.5605946}
{' No': -0.009292872, ' ': -9.965252, ' Generally': -10.744585, 'No': -4.73712, ' Yes': -7.81988}
{' No': -0.008999447, ' ': -10.326824, ' Generally': -10.677312, 'No': -4.723166, ' Yes': -11.893204}
{' No': -0.010076535, ' ': -10.353352, ' Generally': -7.8837376, 'No': -4.6495953, ' A': -11.152085}
{' No': -0.01128288, ' Generally': -8.192678, 'No': -4.6766, ' A': -9.786195, ' Yes': -6.500275}
{' An': -10.266027, ' No': -0.016310094, ' ': -9.8509865, ' Generally': -8.583166, 'No': -4.1428432}
{' An': -10.54947, ' No': -0.014852636, ' ': -10.097241, ' Generally': -7.9117026, 'No': -4.249811}
{' An': -9.566641, ' No': -0.013349642, ' Generally': -9.59577, 'No': -4.3794727, ' Yes': -7.551103}
{' No': -0.13756362, ' Generally': -3.3375278, 'No': -4.1477923, ' A': -6.1125135, ' Yes': -2.627302}
{' No': -0.27051583, ' Generally': -6.9556193, 'No': -4.7110786, ' Yes': -1.4882873, 'Yes': -7.3023796}
{' Generally': -6.333161, ' Typically': -10.226555, ' Yes': -0.0031977943, ' yes': -9.987569, 'Yes': -6.6493936}
{' No': -0.011799982, ' ': -8.845088, 'No': -4.7983065, ' Yes': -5.708569, 'Yes': -11.16546}
{' No': -0.008843506, ' ': -9.25896, 'No': -4.755706, ' A': -12.708025, ' Yes': -9.254516}
{' No': -0.0098971315, ' ': -9.672073, ' Generally': -9.892377, 'No': -4.6377845, ' Yes': -10.123041}
{' No': -0.027428094, ' ': -9.40625, 'No': -4.9327397, ' Yes': -3.9299245, 'Yes': -9.831337}
{' No': -0.013156966, ' ': -9.601278, ' Generally': -10.833061, 'No': -4.348997, ' Yes': -9.84638}
{' No': -0.0126413945, 'No': -4.386392, ' ': -9.926572, ' Yes': -10.376193, ' Generally': -10.524396}
{' No': -0.046149913, ' ': -9.121678, 'No': -4.7332306, ' Yes': -3.3221889, 'Yes': -9.151746}
{' No': -0.8645178, ' Generally': -4.5805173, 'No': -4.850846, ' Yes': -0.5862776, 'Yes': -6.180165}
{' Yes': -0.024476577, ' No': -3.8538754, 'Yes': -6.012185, 'No': -8.223878, ' ': -8.98318}
{' ': -11.27556, ' Generally': -8.802003, ' Yes': -0.0016596515, ' yes': -10.172361, 'Yes': -6.538799}
{' No': -0.005189969, ' ': -9.687891, 'No': -5.417749, ' Yes': -7.307291, 'Yes': -13.239569}
{' No': -0.0045376443, ' ': -10.1995535, ' Generally': -13.69962, 'No': -5.4081345, ' Yes': -12.063807}
{' No': -0.0052263984, ' ': -10.4345, ' Generally': -10.384655, 'No': -5.2710323, ' Yes': -12.084476}
{' No': -0.00826507, ' ': -10.353304, ' Generally': -10.950302, 'No': -5.423329, ' Yes': -5.5865517}
{' No': -0.00720886, 'No': -4.9446797, ' ': -10.226834, ' Yes': -11.163812, ' Generally': -11.860747}
{' No': -0.0067327702, ' ': -10.426105, ' Generally': -10.468597, 'No': -5.016298, ' Yes': -11.077043}
{' No': -0.0074532344, ' ': -9.886352, ' Generally': -11.955208, 'No': -5.200727, ' Yes': -6.2950315}
{' No': -0.12274794, ' Generally': -5.766641, 'No': -4.8136406, ' Yes': -2.2677693, 'Yes': -8.325906}
{' No': -0.97325444, ' ': -8.745868, 'No': -6.083253, ' Yes': -0.4803746, 'Yes': -6.8925924}
{' ': -11.369534, ' Generally': -8.761209, ' Yes': -0.00090957596, ' yes': -10.881263, 'Yes': -7.2456284}
{' No': -0.004912898, ' ': -9.519002, ' Generally': -11.888672, 'No': -5.4052634, ' Yes': -8.048907}
{' No': -0.004678244, ' ': -10.085788, ' Generally': -12.438589, 'No': -5.3784556, ' A': -13.236097}
{' No': -0.0053119035, ' ': -10.504207, ' Generally': -8.637154, 'No': -5.286773, ' A': -11.3015995}
{' No': -0.0061946483, 'No': -5.350494, ' Yes': -6.687761, ' Generally': -9.190136, ' A': -10.118148}
{' No': -0.007364483, ' ': -9.958976, ' Generally': -9.650147, 'No': -4.9339695, ' Yes': -11.290326}
{' No': -0.0068634707, 'No': -5.0265965, ' Generally': -8.509953, ' ': -10.260082, ' Yes': -11.389189}
{' No': -0.009798594, ' ': -9.617641, ' Generally': -9.784922, 'No': -5.1132703, ' Yes': -5.63502}
{' No': -0.087711945, ' Generally': -4.15277, 'No': -4.761742, ' A': -6.5742173, ' Yes': -2.8602471}
{' No': -0.5328498, ' Generally': -7.61486, 'No': -5.6172132, ' Yes': -0.8972012, 'Yes': -7.2678485}
{' Generally': -7.2563357, ' Typically': -10.938572, ' Yes': -0.0015963058, ' yes': -10.3386545, 'Yes': -7.1197567}
{' No': -0.005928934, 'No': -5.2281556, ' Yes': -7.6606283, ' ': -9.600961, ' A': -12.8907585}
{' No': -0.005457645, ' ': -10.032205, ' Generally': -13.340335, 'No': -5.223473, ' Yes': -12.406106}
{' No': -0.006706006, ' ': -10.411675, ' Generally': -9.982568, 'No': -5.022115, ' Yes': -12.111337}
{' No': -0.009697295, ' ': -10.208136, ' Generally': -10.267304, 'No': -5.137209, ' Yes': -5.607389}
{' No': -0.009329207, ' ': -9.984131, ' Generally': -10.87161, 'No': -4.688757, ' Yes': -11.104316}
{' No': -0.00885355, 'No': -4.7443023, ' Generally': -9.795318, ' ': -10.368497, ' Yes': -11.12648}
{' No': -0.011635948, 'No': -4.907283, ' Yes': -5.503976, ' ': -9.697288, ' Generally': -10.98556}
{' No': -0.22195481, ' Generally': -4.7679024, 'No': -4.6331735, ' A': -7.239006, ' Yes': -1.720158}
{' No': -1.3832071, ' ': -8.711356, 'No': -6.225042, ' Yes': -0.2940461, 'Yes': -6.449668}
{' Yes': -0.0013919747, 'Yes': -6.780328, ' Generally': -8.509788, ' yes': -10.467015, ' ': -11.197265}
