{':': -2.9423916, ' 1': -2.9849327, ' odd': -1.7180533, ' 0': -2.0141978, ' even': -0.94109094}
{' even': -0.049855247, ' odd': -4.1568136, ' 0': -4.6218333, ' ': -5.228483, ' Even': -5.70808}
{' odd': -0.1722142, ' 0': -2.7568986, ' even': -3.727041, ' Odd': -3.868758, ' 1': -3.9705942}
{'\n': -4.1170535, ' ': -3.9262393, ':': -4.026332, ' 0': -0.789143, ' even': -0.8391432}
{' Odd': -4.346364, ' 1': -3.6900594, ' odd': -0.095989406, ' 0': -4.578039, ' even': -3.461338}
{' ': -4.8421116, ' Even': -5.49, ' odd': -5.509081, ' 0': -2.8073266, ' even': -0.100677796}
{' ': -4.3184876, ' 1': -2.4090147, ' odd': -0.2511166, ' 0': -3.3103034, ' even': -3.6721733}
{' Odd': -4.4206257, ' an': -3.281935, ' Even': -4.0089965, ' odd': -1.919038, ' even': -0.34182668}
{' 0': -1.0405737, ' even': -1.5565066, ' 1': -1.625525, ' odd': -2.0256658, ':': -3.9027922}
{' even': -0.3675459, ' 0': -2.1258876, ':': -3.0077007, ' ': -3.897767, ' Even': -3.9090323}
{' Odd': -4.5857186, ' 1': -3.699805, ' odd': -0.104883, ' 0': -3.9808576, ' even': -3.7547283}
{' ': -5.0760984, ' 1': -4.2898273, ' odd': -2.9218848, ' 0': -0.69545496, ' even': -0.94798976}
{' Odd': -4.749238, ' 1': -2.8654125, ' odd': -0.5424368, ' 0': -2.9189796, ' even': -1.3091851}
{' 0': -0.5789536, ' even': -1.0789757, ' 1': -3.5798483, ' odd': -3.9744394, ' zero': -4.039435}
{' Odd': -4.6318293, ' an': -4.1206512, ' odd': -0.9388184, ' 0': -4.5990396, ' even': -0.63744766}
{'\n': -4.334501, ' ': -4.053987, ':': -4.2625585, ' 0': -1.7358727, ' even': -0.3367152}
{' Odd': -4.090627, ' 1': -3.762229, ' odd': -0.4279666, ' 0': -4.0672526, ' even': -1.3758959}
{' even': -0.5582401, ' 0': -1.1268618, '\n': -4.206071, ' zero': -4.3087716, ' 1': -4.5383434}
{' odd': -0.3455405, ' even': -2.8733106, ' 1': -2.8961976, ' ': -3.319283, ':': -3.5862172}
{' even': -0.075049095, ' odd': -4.487325, ' 0': -4.5364738, ' an': -4.6917872, ' ': -5.203004}
{' odd': -0.09540322, ' even': -3.4270244, ' Odd': -3.6271472, ' an': -4.8782363, ' "': -5.446632}
{' an': -5.4166636, ' Even': -4.224682, ' odd': -4.4885726, ' 0': -5.6216235, ' even': -0.051691778}
{' Odd': -4.0884657, ' 1': -2.4659584, ' odd': -0.23982716, ' 0': -3.2627685, ' even': -3.4801366}
{' even': -0.41468057, ' 0': -1.6193811, ' Even': -3.2891502, ' odd': -3.8816729, ' ': -4.548559}
{' odd': -0.22142325, ' even': -2.4012804, ' 1': -3.3385096, ' Odd': -4.000844, ' 0': -4.106393}
{' ': -5.276749, ' Even': -5.0625353, ' odd': -5.071163, ' 0': -2.5910482, ' even': -0.12665744}
{' 1': -0.09869189, ' one': -4.8341475, ' odd': -2.9088256, ' 0': -4.8600135, ' even': -5.656801}
{' even': -0.23584314, ' 0': -2.2260299, ' Even': -3.885546, ' ': -4.6271286, '\n': -4.8179398}
{' Odd': -3.1317759, ' ': -4.519002, ' 1': -4.3786044, ' odd': -0.19396397, ' even': -2.6206322}
{' ': -4.8125916, ' Even': -5.033886, ' odd': -4.864094, ' 0': -3.7166913, ' even': -0.085226275}
{'\n': -3.7366939, ' 1': -0.72510093, ' odd': -1.6795677, ' 0': -1.8308681, ' even': -3.0288575}
{'\n': -4.7815666, ' ': -4.3999243, ' 1': -4.1918693, ' 0': -0.12998238, ' even': -2.715793}
{' odd': -0.7612416, ' 0': -1.6521269, ' even': -1.9091604, ' 1': -2.4764268, ' Odd': -3.3141112}
{' even': -0.2869411, ' Even': -3.191235, ':': -3.1948497, ' 0': -3.3180785, ' ': -3.488587}
{'\n': -3.6713288, ' ': -3.3356528, ' 1': -3.2547262, ' odd': -0.5146777, ' even': -1.4468285}
{' ': -6.0162225, ' Even': -4.1224627, ' EVEN': -5.9923406, ' odd': -5.178968, ' even': -0.04204692}
{' odd': -0.6227535, ' even': -1.5284609, ' ': -2.980386, ' Odd': -3.1970284, ' 1': -3.4269392}
{' 30': -3.6656773, ':': -3.110666, ' odd': -2.6829019, ' 0': -1.6366516, ' even': -1.0361991}
{' odd': -0.59809756, ' 1': -2.2104757, ' even': -2.3007257, ' ': -2.3480651, ' 0': -2.9184005}
{' even': -0.16730535, ' Even': -3.4849882, '\n': -3.962595, ' 0': -4.410762, ' odd': -4.587933}
{' ': -4.1151953, ' 1': -3.9019809, ' odd': -1.2395265, ' 0': -4.088975, ' even': -0.5362601}
{'\n': -3.5306463, ' ': -3.8099043, ' odd': -2.9922466, ' 0': -2.3364441, ' even': -0.32639912}
{' odd': -0.56880224, ' even': -0.9970116, ' 0': -4.2607484, ' 1': -4.9297233, ' none': -5.1589365}
{' ': -5.333465, ':': -5.6765494, ' Even': -4.1938257, ' odd': -3.8063452, ' even': -0.07195998}
{'\n': -3.025839, ' 1': -2.9979649, ' odd': -0.8921684, ' 0': -3.5910847, ' even': -0.93778366}
{' even': -0.12741992, ' Even': -3.1839306, '\n': -4.4287925, ' odd': -4.5189786, ':': -4.709708}
{' 1': -1.8542919, ' not': -4.072004, ' odd': -0.49437433, ' 0': -3.546088, ' even': -2.5335333}
{' even': -0.28632793, ' odd': -3.2044737, ' 8': -3.3254573, ' an': -3.7719705, ' 0': -3.8505273}
{' odd': -0.52110064, ' even': -1.4706932, ' 0': -2.860682, ' Odd': -2.9652545, ' 1': -3.7024522}
{' even': -0.09315186, ' Even': -3.9743593, ' 0': -4.2398725, ' odd': -4.7098784, ' EVEN': -4.916453}
{' Odd': -4.7419777, ' 1': -3.9434648, ' odd': -0.16746375, ' 0': -4.1025724, ' even': -2.524013}
{' even': -0.124668166, ' 0': -3.4702234, ' odd': -3.9451303, ' Even': -4.3669453, ' an': -4.848404}
{' odd': -0.63519686, ' even': -1.8813059, ' 0': -2.1339982, ' 1': -2.6789916, '\n': -4.1203737}
{'\n': -4.0087647, ' ': -4.158267, ' 1': -4.3321023, ' 0': -1.2491616, ' even': -0.49054798}
{' 11': -3.8396256, ' 1': -1.4999839, ' odd': -0.44745472, ' 0': -2.8837938, ' even': -4.199809}
{' even': -0.14791201, ' 0': -2.6456718, ' ': -3.8775558, ' -': -4.7942863, ' Even': -5.039391}
{' odd': -0.33126655, ' even': -2.7181683, ' 1': -2.8765304, ' 0': -3.0048344, ' Odd': -3.5916111}
{' the': -4.3296733, ' an': -3.0060494, ' not': -4.073069, ' odd': -1.3892415, ' even': -0.643963}
{':': -3.546108, ' 1': -2.5894458, ' odd': -1.09286, ' 0': -2.1501558, ' even': -1.1024053}
{':': -3.7632504, ' 1': -4.226806, ' 0': -1.4462079, ' zero': -3.3962505, ' even': -0.45993233}
{' odd': -0.16432713, ' 1': -2.4261205, ' 0': -4.1018624, ' 3': -4.3723874, ' even': -4.6603227}
{' even': -0.28648403, ' odd': -2.0411122, ' 0': -3.1659052, ' 4': -4.3096905, ' Even': -4.483381}
{' 1': -0.9700865, ' odd': -1.0877719, ' 0': -2.0168233, ' even': -2.4896588, ' ': -3.6941638}
{' even': -0.07964018, ' 0': -3.7541776, ' odd': -4.2464576, ':': -4.9285913, ' Even': -4.997891}
{' even': -0.57922393, ' odd': -0.93043846, ' Odd': -5.104171, ' 0': -5.180265, ' an': -5.1974316}
{' ': -5.5647674, ' Even': -5.2332063, ' odd': -4.9597054, ' 0': -5.1435757, ' even': -0.037386335}
{' odd': -0.37124154, ' even': -1.6783856, ' 0': -3.1169822, ' Odd': -3.7700481, ' 1': -4.320628}
{' even': -0.19702491, ' 0': -2.4432902, ' odd': -3.194649, ' zero': -4.362188, ' Even': -4.937899}
{' Odd': -3.3200233, ' 1': -3.3969858, ' odd': -0.21743105, ' 0': -4.1255703, ' even': -2.8594186}
{' an': -4.5612893, ' not': -5.135695, ' odd': -3.908655, ' 0': -3.692374, ' even': -0.117567964}
{' 1': -1.6228545, ' odd': -1.07856, ' 4': -3.9249182, ' 0': -1.6135446, ' even': -2.7154639}
{' even': -0.063835695, ' 0': -4.4849563, ' ': -4.704595, ':': -4.7445016, ' an': -4.9405026}
{' Odd': -2.0324025, ' 1': -3.8403716, ' odd': -0.4342666, ' 0': -3.7340217, ' even': -2.1773572}
{' even': -0.086209, ' odd': -3.4008667, ' Even': -4.242979, ' ': -5.3212376, ':': -5.435219}
{' odd': -0.0918447, ' even': -3.348607, ' 1': -3.850853, ' Odd': -4.0542526, ' 0': -5.659663}
{' ': -4.4044733, ' Even': -3.9904335, ' odd': -3.883422, ' 0': -2.2429676, ' even': -0.23827185}
{'\n': -3.6903918, ' Odd': -4.4867806, ' 1': -1.6540781, ' odd': -0.31095088, ' even': -4.5002646}
{'\n': -4.517994, ' ': -4.458165, ' Even': -4.415841, ' 0': -2.1109009, ' even': -0.21498983}
{' odd': -0.6652149, ' 1': -2.1480432, ' even': -2.3694766, ' 0': -2.7451546, ' ': -2.8522246}
{' even': -0.1422341, ' 0': -3.1900702, ' odd': -4.1074467, '\n': -4.746643, ' false': -4.8743944}
{' 1': -1.06657, ' false': -4.001125, ' odd': -1.0851992, ' 0': -2.024863, ' even': -2.6896417}
{' 0': -0.10559857, ' even': -2.9224946, ' ': -4.3699017, ' 1': -4.57041, ':': -5.4204865}
{' odd': -1.0900089, ' even': -1.2405624, ' 1': -1.725977, ' 0': -2.1872327, ' Odd': -3.83261}
{' even': -0.4674046, ' odd': -2.4349222, ' 0': -2.85952, ':': -3.2510986, ' ': -3.2566369}
{' odd': -0.04349099, ' even': -4.0239797, ' 1': -5.0727973, ' Odd': -5.1965785, ' ': -5.219766}
{' even': -0.12819362, ' ': -3.7117097, '\n': -3.7861066, ' 0': -3.9951828, ' Even': -4.3308234}
{' even': -0.7060236, ' odd': -1.0554394, ' 0': -3.5504696, ' 1': -3.778169, ' Odd': -4.1034956}
{'\n': -2.9049647, ':': -2.9156744, ' odd': -1.7947694, ' 0': -2.3174753, ' even': -1.3868399}
{' odd': -0.70014393, ' 1': -1.3145131, ' even': -2.3183022, ' 0': -2.951601, ' Odd': -4.231311}
{' even': -0.15306608, ' 0': -3.454735, '\n': -3.7976067, ' ': -3.8392653, '?': -4.4359317}
{' odd': -1.1580415, ' even': -1.1973528, ' 0': -2.152861, ' 1': -2.5760856, '\n': -3.475242}
{' even': -0.40209743, ' 0': -1.9939657, ' odd': -3.2828174, ' zero': -3.5341327, ' not': -4.420692}
{' odd': -1.0298148, ' 1': -1.3098774, ' 0': -1.880273, ' even': -2.0970678, ' ': -3.449481}
{' even': -0.29118192, ' 0': -2.112612, ' odd': -3.3653605, ' ': -3.6969156, '\n': -3.9707508}
{'\n': -3.5327215, ' 1': -3.4269943, ' odd': -1.3205576, ' 0': -3.2285278, ' even': -0.602766}
{' ': -4.249586, ':': -4.1756525, ' Even': -4.896242, ' 0': -2.0543537, ' even': -0.2581912}
{' 11': -2.7666616, ' 1': -2.0189228, ' 3': -1.3895367, ' odd': -1.0616198, ' 0': -3.4236362}
{' an': -3.7751768, ' not': -3.6965253, ' odd': -2.242671, ' even': -0.35913384, ' 8': -3.336933}
{' Odd': -3.7915218, ' 1': -2.3368065, ' odd': -0.84773076, ' 0': -1.6299775, ' even': -1.7497501}
{' even': -0.10386349, ' 0': -3.4304025, ' odd': -4.3143964, ' zero': -4.7557845, ' Even': -4.954512}
{' odd': -0.28625062, ' even': -1.8327299, ' Odd': -4.2601676, '\n': -4.2951827, ' ': -4.7724605}
{'\n': -3.9826827, ' Even': -4.5604286, ' odd': -4.3878655, ' 0': -4.1032557, ' even': -0.12470686}
{' 1': -2.3108542, ' odd': -0.6430076, ' 0': -1.5253613, ' zero': -3.7747805, ' even': -2.8924217}
{' even': -0.27274036, ' 0': -1.7857734, ' odd': -3.6003444, ' ': -4.5465035, ' Even': -4.955413}
{' 11': -3.9842465, ' 1': -2.035682, ' odd': -0.41979542, ' 0': -2.2829576, ' even': -2.9990659}
{'\n': -4.007996, ' ': -4.2604833, ' odd': -4.992746, ' 0': -2.7394507, ' even': -0.1556381}
{' odd': -0.2389396, ' 1': -2.8655922, ' even': -2.9278755, ' 0': -3.0640385, ' 11': -4.670084}
{' even': -0.2797547, ' odd': -2.1790142, ' an': -3.217658, ' Even': -4.388875, ':': -4.5885143}
{' 0': -1.2626268, ' even': -1.2714388, ' odd': -1.4889653, ' 1': -2.315263, ':': -3.5099268}
{' even': -0.4479668, ' 0': -1.6006941, ' Even': -3.499425, ' odd': -3.9565153, ':': -4.0464}
{' Odd': -3.4376588, ' 1': -3.4095664, ' odd': -0.20852627, ' 0': -3.7512357, ' even': -2.8360982}
{' even': -0.41644612, ' 0': -1.3421758, ' 4': -4.146681, ':': -4.4045334, ' odd': -4.561005}
{' odd': -0.729185, ' even': -1.3619756, ' 0': -1.8276205, ' 1': -3.2288444, ' Odd': -4.3209186}
{' 1': -3.1840613, ' odd': -3.3256602, ' 0': -1.4429852, ' zero': -4.568317, ' even': -0.4567285}
{' even': -0.3488609, ' odd': -1.5130512, ' 0': -3.6052618, ':': -4.8266573, ' 1': -5.043421}
{' even': -0.0540231, ' Even': -4.5857573, ' 0': -4.829673, ' an': -4.9355583, ' odd': -4.937107}
{' odd': -0.5358354, ' even': -1.294514, ' 1': -2.9125216, ' 0': -3.2083225, ' Odd': -4.101469}
{' even': -0.12614395, ' 0': -2.8230555, ' Even': -4.058345, ':': -4.701076, ' odd': -4.8806577}
{' odd': -0.20111383, ' even': -1.9978658, ' 1': -4.6650543, ' Odd': -4.850482, ' ': -5.5103073}
{' ': -5.2282643, ' 1': -5.488787, ' odd': -5.219317, ' 0': -4.117436, ' even': -0.055630304}
{' odd': -0.099054374, ' even': -3.6665792, ' 1': -3.7200515, ' Odd': -3.757228, ' ': -5.165346}
{' ': -4.9795904, ' an': -5.420344, ' odd': -5.3214636, ' 0': -5.2152395, ' even': -0.04186759}
{' odd': -0.76057893, ' even': -1.3618715, ' 0': -2.16668, ' Odd': -2.925247, ' 1': -3.3524785}
{' ': -4.326921, ' Even': -4.157648, ' odd': -3.691024, ' 0': -1.7146143, ' even': -0.3347029}
{' Odd': -3.7111237, ' 1': -3.181042, ' odd': -0.24875268, ' 0': -3.658643, ' even': -2.8148391}
{' an': -4.9472594, ' Even': -3.8708143, ' odd': -4.068393, ' 0': -2.646069, ' even': -0.16527732}
{'\n': -4.28371, ' 1': -1.134335, ' odd': -0.5617224, ' 0': -4.3240266, ' even': -3.441847}
{':': -3.8199546, ' 0': -0.5358362, ' zero': -3.5258408, ' even': -1.4714328, ' 8': -3.8924608}
{' ': -3.5560832, ' 1': -1.6208786, ' odd': -0.5738204, ' 0': -2.9664528, ' even': -2.9002535}
{' ': -4.093446, ' Even': -4.800517, ' EVEN': -4.648676, ' 0': -2.99438, ' even': -0.12626573}
{' Odd': -3.9900186, ' 1': -2.167801, ' odd': -0.29152197, ' 0': -3.9163911, ' even': -3.3773458}
{'\n': -4.2800884, ' ': -3.3137982, ' 1': -4.8167787, ' 0': -0.52154374, ' even': -1.2084342}
{' odd': -0.99892277, ' 0': -1.6577697, ' 1': -1.7624173, ' even': -1.7971501, ' Odd': -3.766596}
{' even': -0.25628227, ' 0': -2.4428723, ' ': -3.3417783, ':': -3.6118875, ' Even': -4.1976924}
{' odd': -0.31344965, ' even': -1.5699652, ' Odd': -3.948275, ' 1': -4.241903, ' an': -5.243649}
{'\n': -4.985458, ' ': -4.6040115, ' Even': -3.9597342, ' odd': -4.7075796, ' even': -0.070457965}
{' even': -0.98048884, ' odd': -1.2283134, ' 1': -1.8867044, ' 0': -3.1668189, ' ': -3.4720163}
{' even': -0.6961617, ' odd': -2.0593553, ' 0': -2.6739638, ':': -3.0815136, ' Even': -3.2911236}
{' odd': -0.73926765, ' even': -1.682296, ' ': -2.4202816, ' 1': -2.5823538, ' 0': -3.0789235}
{' 0': -0.34049857, ' even': -1.4618565, ' ': -3.8186686, ' 1': -4.6429687, ' zero': -5.5835}
{' even': -0.92476, ' odd': -0.95864314, ' 0': -3.0206537, ' none': -3.4158075, ' 1': -3.5464945}
{' ': -4.3282466, ' Even': -4.333534, ' odd': -4.10975, ' 0': -3.0958035, ' even': -0.15700862}
{' odd': -0.6175865, ' even': -1.0460151, ' 0': -3.8451445, ' Odd': -4.154599, ' none': -4.355138}
{' even': -0.11262691, ' odd': -3.1465516, ' 0': -4.4519215, ' ': -4.5284867, ' Even': -4.8658853}
{'\n': -3.7778397, ' 1': -2.2474089, ' odd': -1.3383693, ' 0': -3.081476, ' even': -0.7798147}
{' even': -0.03287352, ' Even': -4.722892, ' 0': -5.24708, ' odd': -5.480443, ' ': -6.1714334}
{' 11': -5.5034137, ' Odd': -4.2588882, ' 1': -2.0587416, ' odd': -0.20159732, ' even': -5.293315}
{' an': -2.9715326, ' not': -3.7803154, ' odd': -3.1868, ' even': -0.34376535, ' 8': -2.7493925}
