{' Odd': -5.4475884, ':': -6.211091, ' 1': -7.2180753, ' odd': -0.51380754, ' even': -0.93456495}
{' even': -0.024369083, ':': -4.0526567, ' Even': -6.358706, ' an': -6.681061, ' ': -6.765175}
{' Odd': -3.5970964, ' ': -5.765135, ' 1': -4.0056505, ' odd': -0.07059228, ' even': -4.269104}
{' Odd': -4.5162387, ':': -5.07112, ' 1': -5.440197, ' odd': -0.37823758, ' even': -1.2503061}
{':': -4.876296, ' Even': -6.2119446, ' EVEN': -8.107442, ' 0': -7.4878798, ' even': -0.011339485}
{' odd': -0.023843672, ' even': -4.56906, ' 1': -5.6385574, ' Odd': -5.687979, ':': -6.046433}
{':': -8.1141815, ' Even': -7.530958, ' odd': -9.109317, ' 0': -6.905564, ' even': -0.0024120854}
{' Odd': -5.5934577, ':': -6.1057506, ' 1': -3.406116, ' odd': -0.045734096, ' even': -5.475403}
{' even': -0.015471158, ' ': -5.307862, ':': -5.6372194, ' 0': -5.652021, '\n': -6.942053}
{' Odd': -5.598374, ':': -8.426852, ' 1': -6.748869, ' odd': -0.008508799, ' even': -5.847267}
{' even': -0.003806465, ':': -6.6011024, ' ': -7.507472, ' Even': -7.615798, ' odd': -7.7463436}
{' odd': -0.040497858, ' even': -4.09151, ' 1': -4.4179373, ' Odd': -5.0125504, ':': -6.4044724}
{' Odd': -5.48076, ':': -4.8416977, ' 1': -4.940412, ' odd': -0.058806803, ' even': -3.364183}
{' even': -0.00672683, ':': -5.7926307, ' 0': -6.7729425, ' Even': -6.966523, ' EVEN': -7.0835843}
{' 1': -0.5082907, ' odd': -0.9578489, ' 0': -5.4146147, ' Odd': -5.650098, ' ': -6.5399313}
{':': -8.939208, ' Even': -8.122681, ' EVEN': -9.179655, ' 0': -7.3841715, ' even': -0.0014288637}
{' odd': -0.22398728, ' 1': -1.6980206, ' even': -4.4436073, ':': -6.18413, ' Odd': -6.4050837}
{':': -9.2811775, ' an': -9.300914, ' Even': -7.9013433, ' odd': -9.686371, ' even': -0.0007167771}
{' Odd': -5.4274936, ' ': -7.456835, ':': -6.6586547, ' 1': -4.970049, ' odd': -0.01562117}
{' even': -0.0038380574, ':': -6.726357, ' ': -7.2429237, ' an': -7.5857787, ' Even': -7.7325907}
{' Odd': -5.6878624, ':': -5.70453, ' 1': -1.8187124, ' odd': -0.2043782, ' even': -4.358623}
{' odd': -0.11306469, ' even': -2.5446212, ' Odd': -4.3181887, ' 1': -5.1204576, ':': -5.424315}
{':': -5.70618, ' Even': -6.3469863, ' EVEN': -8.461387, ' odd': -8.176147, ' even': -0.0064141797}
{' odd': -0.04327599, ' 1': -3.363472, ' Odd': -5.015959, ' even': -8.023252, ':': -8.797203}
{':': -8.253035, ' Even': -7.587679, ' odd': -8.3692465, ' 0': -6.46538, ' even': -0.0032441372}
{' Odd': -6.1196713, ':': -6.567522, ' 1': -1.3116102, ' odd': -0.3302201, ' even': -5.282742}
{'\n': -7.336367, ' ': -7.1034493, ':': -7.1683397, ' an': -7.2851286, ' even': -0.0043537817}
{' Odd': -6.2737045, ' 1': -3.1533985, ' one': -8.047578, ' odd': -0.050628554, ' even': -5.646097}
{'\n': -5.352769, ' ': -5.489091, ':': -3.000618, ' Even': -6.0099363, ' even': -0.0672893}
{' Odd': -5.1712413, ' 1': -3.3355005, ' one': -7.550548, ' odd': -0.04414731, ' even': -7.2673426}
{' Odd': -5.1838627, ' 1': -4.7959175, ' odd': -0.5009529, ' 0': -4.7198076, ' even': -1.0123227}
{' even': -0.011708193, ' 0': -5.77812, ' Even': -5.8231487, ' EVEN': -6.2926354, ':': -6.300486}
{' Odd': -4.7921395, ':': -7.0762806, ' 1': -3.455725, ' odd': -0.046756186, ' even': -5.7944093}
{' even': -0.002845002, ':': -7.0863013, ' Even': -7.091017, ' 0': -7.5952306, ' EVEN': -8.9474125}
{' Odd': -6.4347324, ':': -6.6781263, ' 1': -4.3939624, ' odd': -0.027490277, ' even': -4.568868}
{' ': -7.946507, ':': -6.3411126, ' an': -7.9135985, ' Even': -6.0353475, ' even': -0.006130115}
{' Odd': -5.1953225, ':': -5.160068, ' 1': -2.2119985, ' odd': -0.14127304, ' even': -5.8577514}
{' even': -0.23659444, ':': -2.7163992, ' ': -3.0119505, ' -->': -3.1208067, ' 0': -3.941249}
{' Odd': -5.0081987, ':': -6.728757, ' 1': -3.5536878, ' odd': -0.049785268, ' even': -4.6296406}
{':': -4.69532, ' 1': -5.5095024, ' odd': -0.55561477, ' 0': -5.391099, ' even': -0.91970855}
{' ': -8.09083, ':': -4.9297338, ' Even': -7.637978, ' 0': -5.131409, ' even': -0.015064757}
{' Odd': -5.934893, ':': -6.4145007, ' 1': -3.4650824, ' odd': -0.04126594, ' even': -5.761084}
{' even': -0.013367403, ':': -5.3133674, ' Even': -5.4324226, ' ': -6.5603313, '\n': -7.2161837}
{' Odd': -5.054859, ':': -5.655712, ' 1': -2.055688, ' odd': -0.15169264, ' even': -6.7123237}
{' even': -0.006635623, ':': -6.111256, ' Even': -6.2790346, ' ': -7.330812, ' an': -7.6370525}
{'\n': -7.455502, ' Odd': -5.7912273, ' ': -6.4311748, ' 1': -4.1027894, ' odd': -0.023639694}
{'\n': -8.698501, ' ': -7.384113, ':': -6.251973, ' Even': -7.4831405, ' even': -0.004044324}
{' odd': -0.086239405, ' 1': -2.7806153, ' Odd': -4.9841604, ' ': -5.517874, ':': -5.7554226}
{' Odd': -5.0759974, ':': -3.5296605, ' 1': -5.535022, ' odd': -0.60170865, ' even': -0.90846556}
{':': -6.347754, ' Even': -7.3150206, ' odd': -7.1737094, ' 0': -5.1270275, ' even': -0.010522179}
{' odd': -0.14164504, ' 1': -2.5670755, ':': -3.9534457, ' Odd': -4.0495076, ' even': -4.8189044}
{':': -7.467045, ' Even': -7.113705, ' EVEN': -9.098483, ' 0': -8.209192, ' even': -0.0021384147}
{' odd': -0.030700278, ' even': -4.13329, ' Odd': -5.2126317, ' 1': -5.5881047, ':': -5.811593}
{' even': -0.0013470894, ' Even': -7.608224, ' odd': -8.245222, ' 0': -8.684137, ':': -9.079182}
{' Odd': -4.8632636, ' ': -6.030306, ':': -6.775327, ' 1': -5.006123, ' odd': -0.021904534}
{' ': -7.8516254, ':': -6.82968, ' an': -7.5494943, ' Even': -7.7241135, ' even': -0.0029226525}
{' odd': -0.04303141, ' Odd': -4.124992, ' even': -4.1979613, ':': -5.634701, ' 1': -5.8461285}
{' Odd': -3.5588892, ':': -4.8735085, ' 1': -5.6708274, ' odd': -0.22928348, ' even': -1.838315}
{' even': -0.009086961, ':': -5.308008, ' 0': -6.595899, ' Even': -6.8540545, ' ': -7.6768203}
{' odd': -0.15071766, ' 1': -2.0286455, ' Odd': -5.8465247, ' even': -5.9431643, ':': -7.20582}
{' ': -6.0793176, ':': -3.8273923, ' 0': -1.704232, ' zero': -5.2608657, ' even': -0.25266537}
{' Odd': -4.5250607, ':': -6.6313934, ' 1': -4.3689404, ' odd': -0.0265468, ' even': -7.2911024}
{' ': -9.351043, ':': -8.556211, ' Even': -7.535689, ' odd': -9.579985, ' even': -0.0011104669}
{' odd': -0.02703634, ' 1': -3.805633, ' Odd': -5.919734, ' even': -7.1205263, ':': -8.463219}
{' even': -0.1416879, ':': -2.296102, ' ': -4.691732, ' 0': -4.9979877, ' an': -5.4927974}
{' odd': -0.13079767, ' 1': -2.41677, ' even': -4.1249595, ' Odd': -4.596637, ':': -5.687406}
{' Odd': -3.4440236, ':': -3.899687, ' 1': -4.7757587, ' odd': -0.53098917, ' even': -1.075007}
{' even': -0.012116492, ':': -4.96941, ' Even': -6.299768, ' 0': -6.701168, ' EVEN': -7.961742}
{' odd': -0.089669354, ' 1': -3.2695198, ' even': -3.6849327, ' Odd': -4.2239094, ':': -6.0298104}
{'\n': -5.0850396, ' ': -4.234483, ':': -2.9319177, ' 0': -2.5945537, ' even': -0.17658502}
{':': -6.848104, ' 1': -0.18491301, ' odd': -1.8181546, ' 0': -6.4640026, ' even': -6.8412137}
{' even': -0.0026121465, ' Even': -6.4700046, ':': -7.784899, ' an': -8.202696, ' ': -9.157305}
{' Odd': -6.542276, ' ': -8.7636795, ' 1': -5.497613, ' odd': -0.007121269, ' even': -6.896777}
{'\n': -7.7530723, ' ': -7.0403037, ':': -5.9083633, ' Even': -7.7152042, ' even': -0.005150484}
{' Odd': -4.6614304, ':': -5.5253553, ' 1': -1.9037933, ' odd': -0.18830498, ' even': -5.4374266}
{':': -4.5373135, ' 1': -4.6715126, ' odd': -0.28521258, ' 0': -4.3628683, ' even': -1.5957576}
{' even': -0.016821135, ':': -4.821765, ' 0': -6.095345, ' Even': -6.116971, ' odd': -6.915518}
{' Odd': -4.141284, ' 1': -4.573351, ' ->': -5.4620247, ' odd': -0.055763524, ' even': -4.3770294}
{' ': -7.625098, ':': -6.246242, ' Even': -6.893207, ' 0': -5.7815456, ' even': -0.008614003}
{' odd': -0.024522632, ' 1': -4.470361, ' Odd': -4.806769, ':': -6.2855077, ' even': -6.5741496}
{' even': -0.006519467, ' 0': -5.3818474, ':': -7.9033113, ' Even': -7.9578166, ' odd': -8.025631}
{' odd': -0.022642966, ' 1': -4.258517, ' even': -5.7253337, ' Odd': -5.8545547, ' one': -6.848242}
{' even': -0.005340726, ':': -6.3194304, ' 0': -6.694559, ' ': -7.58082, ' Even': -7.717682}
{' odd': -0.053144146, ' even': -3.6736188, ' 1': -4.472175, ' Odd': -4.570394, ':': -6.188021}
{' Odd': -4.1736493, ':': -4.0072713, ' 1': -4.4028573, ' odd': -0.21513046, ' even': -1.9508425}
{':': -6.191966, ' Even': -7.3669972, ' odd': -6.283754, ' 0': -4.81764, ' even': -0.014120777}
{' Odd': -4.847541, ':': -6.417887, ' 1': -3.3974059, ' odd': -0.0692599, ' even': -4.049631}
{' ': -8.581, ':': -7.15799, ' Even': -7.602465, ' 0': -6.38881, ' even': -0.0038193301}
{' Odd': -4.992873, ':': -5.6574283, ' 1': -2.568969, ' odd': -0.10482898, ' even': -4.810293}
{' even': -0.002171026, ':': -6.9559884, ' Even': -8.125336, ' ': -8.368804, ' an': -8.812361}
{' Odd': -5.831358, ':': -7.318496, ' 1': -5.737297, ' odd': -0.008508557, ' even': -7.771896}
{' even': -0.00448256, ':': -6.337928, ' Even': -7.3519726, ' an': -7.3809233, ' ': -7.855917}
{' Odd': -3.431559, ':': -5.9809704, ' 1': -2.778845, ' odd': -0.11358701, ' even': -5.1346498}
{' Odd': -6.019334, ':': -6.108306, ' 1': -6.302658, ' odd': -0.27067098, ' even': -1.4767104}
{':': -4.8389955, ' Even': -4.6816983, ' EVEN': -7.2686024, ' odd': -6.4786835, ' even': -0.021670917}
{' Odd': -6.0577717, ':': -7.3894815, ' 1': -3.8070433, ' odd': -0.031414595, ' even': -5.519835}
{':': -6.6683335, ' Even': -6.854159, ' EVEN': -8.636363, ' 0': -7.5262837, ' even': -0.003857324}
{' Odd': -6.39495, ':': -5.616315, ' 1': -0.9132409, ' odd': -0.5335221, ' even': -5.848325}
{' ': -7.2987127, ':': -6.7851095, ' Even': -8.190941, ' 0': -6.362551, ' even': -0.004617164}
{' Odd': -5.8386903, ':': -6.5221815, ' 1': -6.0717015, ' odd': -0.017410977, ' even': -4.830343}
{' even': -0.004228911, ':': -6.6740265, ' an': -7.101345, ' Even': -7.5334435, ' ': -7.7430387}
{' Odd': -4.8781543, ':': -5.958831, ' 1': -1.663926, ' odd': -0.23547626, ' even': -5.23447}
{' odd': -0.35811183, ' even': -1.4159235, ':': -3.4230921, ' Odd': -4.2170234, ' 1': -5.7608395}
{' even': -0.004528123, ':': -6.5297956, ' 0': -6.828102, ' Even': -7.1078167, ' odd': -8.253293}
{' Odd': -5.272601, ':': -7.991222, ' 1': -2.53798, ' odd': -0.094092384, ' even': -5.5855465}
{' ': -7.3797917, ':': -5.9224377, ' Even': -6.7719903, ' 0': -5.0213513, ' even': -0.013188251}
{' odd': -0.07289517, ' 1': -2.7965071, ':': -5.2601557, ' Odd': -6.6033654, ' even': -7.3664856}
{'\n': -6.1716523, ' ': -6.815103, ':': -5.2344522, ' Even': -6.369465, ' even': -0.011298067}
{' Odd': -5.7540936, ':': -6.081807, ' 1': -6.7611876, ' odd': -0.01248247, ' even': -6.6619263}
{'\n': -7.1647363, ' ': -6.32313, ':': -5.2620606, ' Even': -6.683346, ' even': -0.010293431}
{' odd': -0.08603769, ' 1': -2.9899492, ' even': -4.231227, ' Odd': -4.6407633, ':': -5.5550117}
{' Odd': -5.210284, ' 1': -4.710192, ' odd': -0.14696881, ' 0': -4.7258124, ' even': -2.2271821}
{':': -5.876656, ' Even': -7.121395, ' odd': -7.273941, ' 0': -6.0456543, ' even': -0.008361291}
{' odd': -0.017976407, ' Odd': -5.1885896, ' 1': -5.6094327, ' even': -5.67935, ':': -6.2873855}
{' ': -7.115913, ':': -5.023734, ' Even': -5.127683, ' 0': -6.9956975, ' even': -0.015477755}
{'\n': -4.213452, ' Odd': -3.8843064, ':': -3.3576846, ' 1': -3.3536227, ' odd': -0.13121092}
{'\n': -8.100343, ' ': -7.425544, ':': -7.354232, ' Even': -7.283893, ' even': -0.0028283831}
{' odd': -0.011581195, ' 1': -5.1565433, ' Odd': -5.703214, ' even': -6.8767686, ':': -7.78716}
{' ': -3.956856, ':': -0.53277814, ' 0': -3.3646815, ' zero': -4.6029534, ' even': -1.1615727}
{' odd': -0.13526288, ' 1': -2.2230446, ' even': -4.828954, ' Odd': -5.163099, ' 0': -6.3995066}
{' odd': -0.17267574, ' even': -1.9986589, ' 1': -4.5055957, ' 0': -5.239367, ':': -5.7197914}
{' even': -0.010436405, ' 0': -5.051574, ':': -6.200691, ' odd': -7.8103824, ' Even': -7.9330945}
{' odd': -0.06083415, ' even': -3.974384, ' 1': -4.023014, ' Odd': -4.2616777, ':': -5.8244095}
{'\n': -7.6057806, ' ': -6.7415056, ':': -5.105167, ' Even': -5.384313, ' even': -0.01351529}
{' odd': -0.14795943, '\n': -2.9149747, ' 1': -3.531834, ':': -3.9095514, ' even': -4.06737}
{' ': -7.3469777, ':': -6.5873547, ' Even': -7.168305, ' odd': -7.4943094, ' even': -0.004988853}
{' Odd': -6.2269106, ' ': -7.9544983, ' 1': -5.207823, ' odd': -0.012050913, ' even': -5.7852755}
{' ': -4.0560713, ':': -2.4702694, ' odd': -5.131496, ' 0': -4.2680745, ' even': -0.1508393}
{' Odd': -5.4428244, ':': -7.4064016, ' 1': -4.379989, ' odd': -0.040721267, ' even': -3.8661377}
{' Odd': -4.2104077, ' 1': -4.4455085, ' odd': -0.15751246, ' 0': -4.471736, ' even': -2.3305023}
{':': -7.050173, ' Even': -7.4028907, ' odd': -5.544932, ' 0': -7.5433507, ' even': -0.0067987195}
{' Odd': -5.0738997, ':': -6.222433, ' 1': -1.5506628, ' not': -6.0063224, ' odd': -0.26375845}
{' even': -0.0060763233, ':': -6.13736, ' 0': -6.6727777, ' Even': -7.0947056, ' ': -7.5662336}
{' odd': -0.044332527, ' even': -4.6621256, ' Odd': -4.684763, ' 1': -4.7515326, ':': -5.111036}
{'\n': -6.619654, ' ': -6.370499, ':': -5.242454, ' Even': -6.254501, ' even': -0.011335083}
{' Odd': -5.803595, ':': -6.3547187, ' 1': -6.78347, ' odd': -0.008333885, ' even': -6.876365}
{' even': -0.028884856, ':': -4.3881106, '\n': -4.8268747, ' Even': -6.0775633, ' ': -6.1389422}
{' Odd': -4.327658, ':': -5.979148, ' 1': -3.831362, ' odd': -0.043826412, ' even': -5.776556}
{' Odd': -3.2567725, ':': -3.2668636, ' Even': -5.876306, ' odd': -0.3231495, ' even': -1.6627891}
{' even': -0.062085208, ':': -3.3403244, ' Even': -4.4094496, ' -->': -5.6140547, ' ': -5.683078}
{'\n': -7.3422947, ' Odd': -5.2273345, ':': -6.206296, ' 1': -3.3393083, ' odd': -0.04864471}
{':': -3.361029, ' odd': -4.921333, ' 0': -2.3960319, ' zero': -5.2404137, ' even': -0.17273462}
{' Odd': -4.5952015, ':': -5.467924, ' 1': -5.2080007, ' odd': -0.028217396, ' even': -5.3138685}
{' ': -8.682875, ':': -7.8769765, ' an': -9.157736, ' Even': -8.187703, ' even': -0.0011974123}
{' odd': -0.017835323, ' Odd': -4.775826, ' 1': -5.600625, ':': -6.024023, ' even': -6.536023}
{' even': -0.02344198, ':': -4.5930924, ' Even': -4.9693294, ' ': -6.0116715, ' ->': -7.0571303}
{' odd': -0.10737115, ' Odd': -2.687062, ' 1': -4.133324, ' even': -5.329146, ':': -5.379969}
{' Odd': -5.3230863, ':': -6.807938, ' 1': -6.2502804, ' odd': -0.082131416, ' even': -2.6716738}
{':': -5.3753705, ' Even': -7.6800494, ' EVEN': -8.256514, ' 0': -7.3506317, ' even': -0.0066551827}
{' Odd': -4.8497634, ' 1': -1.9800547, ' odd': -0.16632658, ' 0': -7.3291106, ' even': -5.4498267}
{' ': -7.7832065, ':': -5.9738474, ' Even': -7.559211, ' 0': -5.53271, ' even': -0.0083819665}
{' odd': -0.041468833, ' even': -4.0648518, ' 1': -4.4109154, ' Odd': -5.0411463, ':': -6.026345}
{':': -7.08995, ' Even': -7.184275, ' odd': -6.925508, ' 0': -6.473585, ' even': -0.0053952574}
{'\n': -6.2954116, ' Odd': -4.0167756, ':': -5.4600143, ' odd': -0.030068401, ' even': -5.9783063}
{' even': -0.0076994104, ':': -5.8689566, ' ': -6.54352, ' an': -6.924779, ' Even': -7.175681}
{' odd': -0.0441716, ' 1': -3.551759, ' even': -4.9853363, ' Odd': -5.3558664, ':': -6.665614}
{' Odd': -4.2408004, ':': -5.6903987, ' 1': -5.2642965, ' odd': -0.089000285, ' even': -2.829949}
{':': -5.579119, ' Even': -5.9726863, ' odd': -7.3495393, ' 0': -6.3815136, ' even': -0.0108821485}
{' Odd': -5.70005, ' ': -5.9681935, ':': -6.049335, ' 1': -2.4724054, ' odd': -0.10418897}
{' ': -8.360902, ':': -6.5588956, ' Even': -6.8243837, ' 0': -8.629232, ' even': -0.0034332385}
{' odd': -0.04191284, ' even': -3.6393764, ' 1': -5.048474, ':': -5.81538, ' Odd': -5.8586926}
{' ': -7.960208, ':': -6.8482323, ' an': -7.7001853, ' Even': -6.66798, ' even': -0.0040935827}
{' odd': -0.013338466, ' 1': -5.4351177, ' Odd': -5.6448, ':': -6.225153, ' ': -6.9298425}
{' -->': -6.957025, ' ': -6.281351, ':': -4.8743997, ' ->': -4.5405087, ' even': -0.025871174}
{' Odd': -4.557943, ':': -5.537191, ' 1': -3.3208823, ' odd': -0.06568865, ' even': -4.609606}
{' Odd': -2.3698199, ':': -2.9879918, ' 1': -4.4283724, ' odd': -0.32404754, ' even': -2.2669368}
{':': -6.1839166, ' Even': -7.0374084, ' odd': -7.6630793, ' 0': -6.347976, ' even': -0.0063045886}
{' odd': -0.14023575, ' 1': -2.1686459, ' Odd': -5.208075, ':': -6.0909295, ' one': -6.884051}
{':': -6.8367944, ' Even': -7.042063, ' EVEN': -8.668883, ' 0': -7.438046, ' even': -0.0033167354}
{' odd': -0.047650218, ' 1': -3.4948165, ' even': -4.4959555, ' Odd': -5.667465, ':': -7.4278607}
{' ': -7.5646644, ':': -7.500761, ' an': -7.8059287, ' 0': -7.3896303, ' even': -0.0030477792}
{' Odd': -5.0283375, ':': -7.152844, ' 1': -7.3136053, ' odd': -0.012667411, ' even': -5.801957}
{' even': -0.0073951078, ':': -5.257685, ' Even': -7.3941393, ' ': -7.841465, ' an': -7.960476}
{' odd': -0.36487544, ' 1': -1.2264402, ' ': -5.5557547, ':': -6.117837, ' even': -6.502931}
{' odd': -0.32672447, ' Odd': -2.2771554, ' even': -2.4254515, ':': -2.6813443, ' 1': -5.090993}
{':': -6.8935146, ' Even': -8.2508135, ' odd': -7.8953943, ' 0': -7.056419, ' even': -0.003037793}
{' Odd': -5.4576964, ':': -6.2914143, ' 1': -2.4293754, ' odd': -0.103346445, ' even': -6.436265}
{' even': -0.0018087447, ' Even': -7.5715127, ':': -7.711407, ' ': -7.9611144, ' EVEN': -9.361478}
{' odd': -0.027535493, ' 1': -4.3575325, ' Odd': -4.4695873, ' even': -6.8087125, ':': -7.1133766}
{' ': -8.252852, ':': -8.250246, ' Even': -7.697409, ' odd': -8.298886, ' even': -0.001796502}
{' Odd': -5.3044977, ' 1': -2.6677732, ' one': -7.0236073, ' odd': -0.08425054, ' even': -5.797063}
{'\n': -8.018409, ' ': -6.6360755, ':': -5.9110003, ' Even': -6.8439426, ' even': -0.005985657}
{' odd': -0.090299934, ' 1': -2.6378767, ' even': -4.8194995, ' Odd': -5.594839, ' one': -6.934759}
{' odd': -0.33523917, ' even': -2.3090532, ':': -2.7706163, ' 1': -3.4790323, '?': -3.4793496}
{' even': -0.0049465033, ' 0': -6.5692444, ' odd': -6.6047454, ' Even': -7.0227823, ':': -7.8055553}
{' odd': -0.12004922, ' 1': -2.2514293, ' Odd': -5.8607183, ':': -6.835588, ' 0': -7.43991}
{' ': -7.8862247, ':': -6.293753, ' Even': -5.726726, ' 0': -6.4015636, ' even': -0.009195776}
{' Odd': -4.6757464, ':': -5.7624683, ' 1': -4.9296665, ' odd': -0.067428485, ' even': -3.1561294}
{' ': -8.261218, ':': -7.8283715, ' Even': -7.7264476, ' odd': -7.8081536, ' even': -0.0021295126}
{' Odd': -4.756456, ':': -6.7217693, ' 1': -7.378981, ' odd': -0.012781926, ' even': -7.2145014}
{'\n': -6.223811, ' ': -5.3957705, ':': -4.658879, ' Even': -5.9183774, ' even': -0.021425113}
{' odd': -0.5571471, ' 1': -0.9349375, ' Odd': -4.6059656, ':': -4.6320877, ' 0': -5.613784}
{' odd': -0.37554315, ' even': -1.5409809, ':': -2.8292785, ' 0': -4.3572073, ' 1': -4.618052}
{':': -5.1577, ' Even': -5.694764, ' EVEN': -7.2010417, ' odd': -6.2923493, ' even': -0.013992746}
{' Odd': -6.4173183, ' ': -7.5528274, ':': -7.6998014, ' 1': -2.4491148, ' odd': -0.09602345}
{'\n': -5.647327, ' ': -5.3085117, ':': -3.8398542, ' 0': -3.0640182, ' even': -0.0929252}
{' Odd': -6.2055993, ':': -6.5381536, ' 1': -5.3327394, ' odd': -0.034708798, ' even': -3.7059236}
{' ': -7.8607492, ':': -8.158275, ' an': -8.755284, ' Even': -8.1266165, ' even': -0.0016134427}
{' Odd': -5.5827456, ':': -7.705401, ' 1': -6.6395383, ' odd': -0.006810182, ' even': -7.2731037}
{' even': -0.17292975, ':': -2.4376106, ' ': -3.381585, '\n': -4.086329, ' 0': -4.8603625}
{' odd': -0.08241927, ' 1': -2.7401435, ' even': -4.850226, ' Odd': -5.536202, ':': -6.801582}
{' odd': -0.12218279, ' even': -2.5236986, ' 1': -4.262293, ' 0': -4.8297524, ':': -5.1810317}
{' ': -7.8628545, ':': -5.709031, ' Even': -7.273681, ' 0': -6.6392565, ' even': -0.0066109025}
{' odd': -0.09645954, ' 1': -3.1720886, ' even': -3.6025164, ' Odd': -4.0276947, ':': -6.801735}
{' ': -8.010372, ':': -6.9041014, ' Even': -7.5038834, ' 0': -6.451064, ' even': -0.00428422}
{' Odd': -4.34989, ':': -4.437586, ' 1': -4.6496725, ' odd': -0.04345563, ' even': -5.4784055}
{' ': -8.832867, ':': -7.3513517, ' Even': -7.198351, ' odd': -8.380806, ' even': -0.0022708478}
{' Odd': -6.267051, ':': -8.038646, ' 1': -2.2784963, ' odd': -0.11377787, ' even': -6.396378}
{' even': -0.007526318, ':': -5.915854, ' ': -6.1348147, ' Even': -7.374212, ' an': -7.467226}
{' Odd': -4.429163, ':': -5.242411, ' 1': -5.2407947, ' odd': -0.050018657, ' even': -3.880975}
{' odd': -0.40873033, ' even': -1.1317338, ':': -5.4902453, ' 0': -5.9204183, ' Odd': -6.02995}
{':': -5.071138, ' Even': -4.824, ' odd': -6.4613566, ' 0': -6.8868613, ' even': -0.019565148}
{' Odd': -5.2704024, ' 1': -3.2263024, ' odd': -0.05530703, ' 0': -7.375356, ' even': -5.194569}
{' even': -0.21180598, ' 0': -2.2097087, ':': -3.4122465, ' ': -3.6683974, '\n': -4.7255445}
{' Odd': -5.8066735, ':': -7.4005938, ' 1': -3.8409758, ' odd': -0.03563228, ' even': -4.786645}
{' even': -0.0035034597, ':': -6.676039, ' Even': -6.739122, ' an': -8.144128, ' odd': -8.705001}
{' odd': -0.013359671, ' 1': -5.3770967, ' Odd': -5.3992534, ' even': -5.951487, ':': -7.7329392}
{'\n': -5.0775948, ' ': -5.5531163, ':': -4.131172, ' Even': -5.9313903, ' even': -0.034002654}
{' Odd': -5.269246, ' ': -6.2345533, ' 1': -1.344039, ' odd': -0.33053297, ' even': -5.0678473}
{' Odd': -5.052685, ':': -5.4068756, ' odd': -0.19231437, ' 0': -6.01272, ' even': -1.8500634}
{' even': -0.0074470495, ':': -5.7131786, ' 0': -6.1074295, ' Even': -7.519223, ' EVEN': -8.185411}
