{' 2': -0.5821651, ' 1': -1.0164589, ' two': -2.836449, ' one': -4.4423275, ' number': -5.336175}
{' number': -5.7062073, ' 1': -0.12658614, ' 2': -2.5400841, ' one': -3.639836, ' two': -4.9539213}
{' number': -5.7212467, ' 1': -0.10081919, ' 2': -2.8468232, ' one': -3.6442397, ' two': -5.282696}
{' number': -5.8261814, ' 1': -0.10339039, ' 2': -2.7646587, ' one': -3.737019, ' two': -5.2179112}
{' number': -5.491396, ' 1': -0.281297, ' 2': -1.6258727, ' one': -3.8174431, ' two': -3.9818661}
{' number': -5.821496, ' 1': -0.07518917, ' 2': -3.3089669, ' one': -3.627784, ' two': -5.6237946}
{' 2': -0.53732437, ' 1': -1.0351194, ' two': -3.1443627, ' one': -4.7874312, ' #': -5.37024}
{' #': -5.3798094, ' 1': -0.5765638, ' 2': -0.9375467, ' one': -4.441905, ' two': -3.6600063}
{' #': -5.3856707, ' 1': -0.32790664, ' 2': -1.4144009, ' one': -4.3182096, ' two': -4.2247324}
{' #': -5.362498, ' 1': -0.24758297, ' 2': -1.678699, ' one': -4.301492, ' two': -4.541156}
{' #': -5.243263, ' 1': -0.29323918, ' 2': -1.5260463, ' one': -4.272102, ' two': -4.3254676}
{' #': -5.2044234, ' 1': -0.41198337, ' 2': -1.2299956, ' one': -4.248129, ' two': -3.863018}
{' 1': -0.2344031, ' 2': -1.7329305, ' one': -4.2590938, ' two': -4.6274314, ' #': -5.398923}
{' #': -5.3597, ' 1': -0.23273301, ' 2': -1.7347453, ' one': -4.32452, ' two': -4.65928}
{' #': -5.2287817, ' 1': -0.304881, ' 2': -1.4819059, ' one': -4.3309274, ' two': -4.3588815}
{' #': -5.4072113, ' 1': -0.18435024, ' 2': -1.9831514, ' one': -4.1915336, ' two': -4.883665}
{' #': -5.4020214, ' 1': -0.24671642, ' 2': -1.6821357, ' one': -4.3049116, ' two': -4.5273085}
{' #': -5.441327, ' 1': -0.15041937, ' 2': -2.210335, ' one': -4.132084, ' two': -5.1024714}
{' 1': -0.16913198, ' 2': -2.082811, ' one': -4.153894, ' two': -4.9501195, ' #': -5.4043374}
{' 1': -0.1781264, ' 2': -2.0232666, ' one': -4.1795225, ' two': -4.913203, ' #': -5.3542995}
{' #': -5.2393084, ' 1': -0.39898038, ' 2': -1.2483362, ' one': -4.2945585, ' two': -3.9857912}
{' #': -5.500681, ' 1': -0.17958681, ' 2': -1.9952759, ' one': -4.318156, ' two': -4.883479}
{' 1': -0.14108564, ' 2': -2.2610254, ' one': -4.221406, ' two': -5.1901693, ' #': -5.531637}
{' #': -5.624739, ' 1': -0.0892898, ' 2': -2.8284254, ' one': -4.1077986, ' two': -5.6984863}
{' #': -5.3818216, ' 1': -0.23304074, ' 2': -1.7465428, ' one': -4.199261, ' two': -4.5896006}
{' #': -5.494453, ' 1': -0.1323591, ' 2': -2.3577104, ' one': -4.0948606, ' two': -5.2230535}
{' #': -5.5377145, ' 1': -0.15650664, ' 2': -2.1581526, ' one': -4.159446, ' two': -5.047147}
{' #': -5.607209, ' 1': -0.07765208, ' 2': -3.0587957, ' one': -4.006756, ' two': -5.86191}
{' #': -5.45498, ' 1': -0.12380103, ' 2': -2.4468658, ' one': -4.0708947, ' two': -5.2936187}
{' #': -5.5976706, ' 1': -0.085826136, ' 2': -2.8944483, ' one': -4.0736456, ' two': -5.7264447}
{' #': -5.3901005, ' 1': -0.20323545, ' 2': -1.8857915, ' one': -4.183952, ' two': -4.748041}
{' number': -5.9953837, ' #': -5.7366214, ' 1': -0.06634504, ' 2': -3.2198348, ' one': -4.142898}
{' 1': -0.06697919, ' 2': -3.2248957, ' one': -4.1040616, ' #': -5.6710725, ' number': -5.9803147}
{' 1': -0.0535535, ' 2': -3.5741642, ' one': -4.097735, ' #': -5.718928, ' number': -6.103365}
{' 1': -0.107038535, ' 2': -2.609253, ' one': -4.1189137, ' #': -5.470121, ' two': -5.517343}
{' number': -6.03216, ' #': -5.6347685, ' 1': -0.0596662, ' 2': -3.422709, ' one': -4.0690255}
{' #': -5.6776586, ' 1': -0.07816189, ' 2': -2.9743428, ' one': -4.186959, ' two': -5.906802}
{' number': -6.106191, ' #': -5.739381, ' 1': -0.061743923, ' 2': -3.3233862, ' one': -4.131337}
{' number': -6.070348, ' #': -5.6988025, ' 1': -0.064260386, ' 2': -3.2623937, ' one': -4.1433754}
{' number': -6.159571, ' #': -5.7428074, ' 1': -0.061611872, ' 2': -3.3016214, ' one': -4.18051}
{' 1': -0.16644694, ' 2': -2.0678446, ' one': -4.32135, ' two': -5.0485473, ' #': -5.5439363}
{' number': -6.1788197, ' #': -5.8370633, ' 1': -0.041566625, ' 2': -4.01469, ' one': -4.1194396}
{' #': -5.183763, ' 1': -0.5236258, ' 2': -1.016559, ' one': -4.49306, ' two': -3.7298367}
{' #': -5.2369666, ' 1': -0.32421947, ' 2': -1.4323814, ' one': -4.3108296, ' two': -4.208876}
{' #': -5.2151275, ' 1': -0.30429888, ' 2': -1.4925388, ' one': -4.3032365, ' two': -4.2632546}
{' #': -5.30941, ' 1': -0.1846725, ' 2': -1.9798118, ' one': -4.2928514, ' two': -4.828312}
{' 1': -0.3241479, ' 2': -1.440584, ' two': -4.156067, ' one': -4.2859154, ' #': -5.1569858}
{' #': -5.1564364, ' 1': -0.2897851, ' 2': -1.5388467, ' one': -4.3250003, ' two': -4.324661}
{' #': -5.2489805, ' 1': -0.20705329, ' 2': -1.8678179, ' one': -4.26373, ' two': -4.7198715}
{' #': -5.279491, ' 1': -0.21263765, ' 2': -1.8395927, ' one': -4.249011, ' two': -4.686712}
{' #': -5.1086845, ' 1': -0.2746947, ' 2': -1.5979118, ' one': -4.238482, ' two': -4.368696}
{' 1': -0.16304225, ' 2': -2.1311092, ' one': -4.171524, ' two': -4.9771166, ' #': -5.215374}
{' #': -5.244069, ' 1': -0.24895488, ' 2': -1.675831, ' one': -4.3624268, ' two': -4.5219603}
{' #': -5.3140416, ' 1': -0.14333254, ' 2': -2.286689, ' one': -4.0725007, ' two': -5.117215}
{' #': -5.2506576, ' 1': -0.15207548, ' 2': -2.2167099, ' one': -4.1220593, ' two': -5.04732}
{' #': -5.2458353, ' 1': -0.15437128, ' 2': -2.1886158, ' one': -4.1642494, ' two': -5.0445147}
{' #': -5.082696, ' 1': -0.36000764, ' 2': -1.352981, ' one': -4.233016, ' two': -4.017366}
{' 1': -0.13433726, ' 2': -2.3322818, ' one': -4.223431, ' two': -5.124819, ' #': -5.425114}
{' #': -5.4294567, ' 1': -0.13155201, ' 2': -2.3524494, ' one': -4.199301, ' two': -5.2464037}
{' #': -5.499107, ' 1': -0.09030502, ' 2': -2.8339458, ' one': -4.087627, ' two': -5.673656}
{' #': -5.153609, ' 1': -0.2243305, ' 2': -1.8012557, ' one': -4.177095, ' two': -4.584288}
{' #': -5.3528237, ' 1': -0.12823671, ' 2': -2.4037416, ' one': -4.1053176, ' two': -5.251721}
{' #': -5.3221717, ' 1': -0.1522825, ' 2': -2.2047365, ' one': -4.1571574, ' two': -5.0286107}
{' #': -5.448707, ' 1': -0.089895815, ' 2': -2.8782372, ' one': -3.999579, ' two': -5.6449304}
{' 1': -0.107037745, ' 2': -2.6403894, ' one': -4.047431, ' #': -5.35538, ' two': -5.4651127}
{' #': -5.5077705, ' 1': -0.0774651, ' 2': -3.061422, ' one': -4.0411983, ' two': -5.839448}
{' #': -5.221474, ' 1': -0.16399646, ' 2': -2.1353614, ' one': -4.12349, ' two': -4.930058}
{' number': -5.892341, ' #': -5.566755, ' 1': -0.06036963, ' 2': -3.3735807, ' one': -4.180031}
{' number': -5.8924804, ' #': -5.5613317, ' 1': -0.060751807, ' 2': -3.4127128, ' one': -4.069836}
{' number': -5.918086, ' #': -5.5454054, ' 1': -0.056988515, ' 2': -3.5242982, ' one': -4.064362}
{' 1': -0.099747725, ' 2': -2.726489, ' one': -4.0843244, ' #': -5.3136206, ' two': -5.553183}
{' number': -5.949742, ' #': -5.5183954, ' 1': -0.053010073, ' 2': -3.666272, ' one': -4.0447245}
{' number': -5.8156996, ' #': -5.510196, ' 1': -0.079660445, ' 2': -2.987942, ' one': -4.1401577}
{' 1': -0.060260985, ' 2': -3.4060535, ' one': -4.093296, ' #': -5.5965095, ' number': -5.9576993}
{' number': -5.88433, ' #': -5.5045276, ' 1': -0.060264725, ' 2': -3.4128609, ' one': -4.1084785}
{' number': -6.0481224, ' #': -5.606896, ' 1': -0.051295042, ' 2': -3.6347811, ' one': -4.156445}
{' 1': -0.15002981, ' 2': -2.2072637, ' one': -4.2269645, ' two': -5.0672274, ' #': -5.356561}
{' 1': -0.04023162, ' one': -4.0484996, ' 2': -4.2016215, ' #': -5.716989, ' number': -6.0387254}
{' #': -5.3167357, ' 1': -0.6072012, ' 2': -0.9350573, ' one': -4.1755395, ' two': -3.2821164}
{' 1': -0.3895194, ' 2': -1.3147762, ' two': -3.6920266, ' one': -3.9188027, ' #': -5.3420715}
{' 1': -0.37344974, ' 2': -1.3648514, ' two': -3.674948, ' one': -3.8544679, ' #': -5.295921}
{' #': -5.3928328, ' 1': -0.21542741, ' 2': -1.8935776, ' one': -3.8418863, ' two': -4.3197174}
{' #': -5.232029, ' 1': -0.38131818, ' 2': -1.3444186, ' one': -3.882598, ' two': -3.6671019}
{' #': -5.255656, ' 1': -0.2833201, ' 2': -1.6105256, ' one': -3.9366782, ' two': -4.0328317}
{' 1': -0.2309123, ' 2': -1.8259629, ' one': -3.8178265, ' two': -4.2632113, ' #': -5.349033}
{' #': -5.4729147, ' 1': -0.14248411, ' 2': -2.323009, ' one': -3.9118934, ' two': -4.9233775}
{' #': -5.289079, ' 1': -0.17592974, ' 2': -2.1015983, ' one': -3.8758712, ' two': -4.664022}
{' #': -5.439944, ' 1': -0.10226571, ' 2': -2.7485077, ' one': -3.8627694, ' two': -5.3602705}
{' #': -5.332779, ' 1': -0.25234434, ' 2': -1.7238219, ' one': -3.9346545, ' two': -4.1416993}
{' 1': -0.08807417, ' 2': -2.989502, ' one': -3.7858756, ' #': -5.4740725, ' two': -5.546127}
{' #': -5.466547, ' 1': -0.0857343, ' 2': -3.0289943, ' one': -3.793391, ' two': -5.572076}
{' #': -5.501385, ' 1': -0.08841141, ' 2': -2.9465141, ' one': -3.856342, ' two': -5.5226326}
{' #': -5.2210407, ' 1': -0.24553886, ' 2': -1.7568247, ' one': -3.8632774, ' two': -4.234722}
{' #': -5.4819946, ' 1': -0.15126598, ' 2': -2.2724435, ' one': -3.897432, ' two': -4.700626}
{' #': -5.5531917, ' 1': -0.08267412, ' 2': -3.0217686, ' one': -3.9010637, ' two': -5.625569}
{' number': -5.997363, ' #': -5.615956, ' 1': -0.06075966, ' 2': -3.5708933, ' one': -3.8107615}
{' #': -5.307516, ' 1': -0.16641223, ' 2': -2.170719, ' one': -3.842422, ' two': -4.7130866}
{' #': -5.544439, ' 1': -0.07779755, ' 2': -3.160981, ' one': -3.8053613, ' two': -5.6911874}
{' 1': -0.14756185, ' 2': -2.337366, ' one': -3.7539387, ' two': -4.734316, ' #': -5.412562}
{' number': -6.0134797, ' #': -5.711519, ' 1': -0.049215388, ' 2': -4.120464, ' one': -3.7147925}
{' #': -5.5597587, ' 1': -0.07195326, ' 2': -3.3264773, ' one': -3.7490523, ' two': -5.8144255}
{' number': -6.047334, ' #': -5.676192, ' 1': -0.051571526, ' 2': -3.9368958, ' one': -3.7708404}
{' #': -5.475431, ' 1': -0.107589304, ' 2': -2.6832519, ' one': -3.8588254, ' two': -5.271004}
{' #': -5.67131, ' 1': -0.06593278, ' 2': -3.4640613, ' one': -3.7636447, ' two': -5.8550406}
{' #': -5.6083026, ' 1': -0.0727967, ' 2': -3.3729045, ' one': -3.6494606, ' two': -5.7765594}
{' 1': -0.04032762, ' one': -3.7803884, ' 2': -4.578585, ' #': -5.766739, ' number': -6.1382303}
{' #': -5.380105, ' 1': -0.12499265, ' 2': -2.564503, ' one': -3.682524, ' two': -5.000801}
{' number': -6.117827, ' #': -5.683834, ' 1': -0.041638456, ' 2': -4.467395, ' one': -3.7951937}
{' number': -6.0696015, ' #': -5.670713, ' 1': -0.050909996, ' 2': -3.7987735, ' one': -3.9368217}
{' 1': -0.046151288, ' one': -3.8530896, ' 2': -4.082423, ' #': -5.743804, ' number': -6.114795}
{' number': -6.0982847, ' #': -5.7129054, ' 1': -0.04487318, ' 2': -4.113391, ' one': -3.8884208}
{' #': -5.688048, ' 1': -0.06772796, ' 2': -3.3946507, ' one': -3.7759778, ' two': -5.8663573}
{' #': -5.6170783, ' 1': -0.09660048, ' 2': -2.7719717, ' one': -3.9923904, ' two': -5.4002523}
{' number': -6.2332554, ' #': -5.938483, ' 1': -0.03528496, ' 2': -5.0743265, ' one': -3.7749066}
{' number': -4.942984, ' 1': -1.0152318, ' 2': -0.57589495, ' one': -4.370271, ' two': -2.9935737}
{' 1': -0.62408894, ' 2': -0.91282916, ' two': -3.4065197, ' one': -4.0476956, ' number': -5.023621}
{' 1': -0.61114955, ' 2': -0.9291694, ' two': -3.4099834, ' one': -4.0554338, ' number': -5.0451536}
{' number': -5.077732, ' 1': -0.37495622, ' 2': -1.3526136, ' one': -3.851223, ' two': -3.8652077}
{' 1': -0.67010194, ' 2': -0.86907464, ' two': -3.26936, ' one': -4.0219903, ' number': -4.9387116}
{' 1': -0.534144, ' 2': -1.0404155, ' two': -3.526707, ' one': -4.0363684, ' number': -4.9328732}
{' number': -4.9873, ' 1': -0.37044752, ' 2': -1.3732074, ' one': -3.7871363, ' two': -3.873442}
{' number': -5.056903, ' 1': -0.45869818, ' 2': -1.1657486, ' one': -3.954579, ' two': -3.697815}
{' number': -4.958788, ' 1': -0.5079497, ' 2': -1.0898246, ' one': -3.921246, ' two': -3.5570066}
{' number': -5.0112576, ' 1': -0.34090748, ' 2': -1.4524511, ' one': -3.767856, ' two': -3.9673407}
{' number': -4.918896, ' 1': -0.48216388, ' 2': -1.1298021, ' one': -3.9812996, ' two': -3.6002364}
{' 1': -0.29994518, ' 2': -1.5832666, ' one': -3.70473, ' two': -4.1129503, ' number': -5.0080028}
{' 1': -0.15600199, ' 2': -2.268259, ' one': -3.745197, ' two': -4.998828, ' number': -5.1960635}
{' number': -5.110733, ' 1': -0.2437834, ' 2': -1.7938341, ' one': -3.6819792, ' two': -4.3321776}
{' number': -4.9277225, ' 1': -0.6450284, ' 2': -0.8970369, ' one': -4.007637, ' two': -3.329097}
{' 1': -0.21212663, ' 2': -1.9201384, ' one': -3.8033874, ' two': -4.4693985, ' number': -5.13407}
{' 1': -0.19814672, ' 2': -1.9939747, ' one': -3.7469978, ' two': -4.646763, ' number': -5.227352}
{' number': -5.1945977, ' 1': -0.1586958, ' 2': -2.287562, ' one': -3.617482, ' two': -4.845842}
{' number': -4.957688, ' 1': -0.39682883, ' 2': -1.3139068, ' one': -3.793704, ' two': -3.7788227}
{' number': -5.1078644, ' 1': -0.2112066, ' 2': -1.9651873, ' one': -3.5994148, ' two': -4.4759502}
{' 1': -0.29798028, ' 2': -1.5817116, ' one': -3.7384574, ' two': -4.108767, ' number': -5.0503335}
{' number': -5.2719717, ' #': -5.474085, ' 1': -0.094926886, ' 2': -3.0310059, ' one': -3.5487843}
{' number': -5.059989, ' 1': -0.18987927, ' 2': -2.0964098, ' one': -3.5681846, ' two': -4.6003823}
{' number': -5.334585, ' #': -5.477735, ' 1': -0.09945339, ' 2': -2.8979402, ' one': -3.6495059}
{' number': -5.056197, ' 1': -0.19794454, ' 2': -2.0222433, ' one': -3.6967888, ' two': -4.6153946}
{' number': -5.3056087, ' 1': -0.12040945, ' 2': -2.6178975, ' one': -3.6664891, ' two': -5.1571693}
{' number': -5.2560954, ' 1': -0.12646648, ' 2': -2.5994964, ' one': -3.550119, ' two': -5.1400743}
{' 1': -0.11542546, ' 2': -2.7328856, ' one': -3.5539076, ' number': -5.2543263, ' two': -5.257827}
{' number': -4.9841743, ' 1': -0.21615754, ' 2': -1.9540287, ' one': -3.576406, ' two': -4.4312415}
{' number': -5.253448, ' 1': -0.10742265, ' 2': -2.8575065, ' one': -3.5188413, ' two': -5.3860917}
{' 1': -0.14745352, ' 2': -2.365654, ' one': -3.6540031, ' two': -4.9668617, ' number': -5.2015834}
{' number': -5.4960275, ' #': -5.703743, ' 1': -0.081267014, ' 2': -3.1440778, ' one': -3.7255025}
{' number': -5.27007, ' 1': -0.1254044, ' 2': -2.577341, ' one': -3.6248703, ' two': -5.2110996}
{' number': -5.3966956, ' 1': -0.11962349, ' 2': -2.6035235, ' one': -3.6932852, ' two': -5.251968}
{' number': -5.028434, ' 1': -0.32298213, ' 2': -1.4959327, ' one': -3.8218932, ' two': -4.0022745}
{' 1': -0.07800915, ' 2': -3.3432581, ' one': -3.5690675, ' number': -5.3730507, ' #': -5.726084}
{' number': -5.5375934, ' 1': -0.7673241, ' 2': -0.7025905, ' one': -4.923986, ' two': -3.675342}
{' number': -5.5138555, ' 1': -0.40910605, ' 2': -1.1995876, ' one': -4.5507283, ' two': -4.155129}
{' #': -5.479093, ' 1': -0.26298562, ' 2': -1.6041243, ' one': -4.4079385, ' two': -4.5846124}
{' #': -5.486565, ' 1': -0.3110273, ' 2': -1.457092, ' one': -4.348573, ' two': -4.314338}
{' #': -5.3500423, ' 1': -0.39949337, ' 2': -1.2389557, ' one': -4.3559027, ' two': -4.0385904}
{' #': -5.5122614, ' 1': -0.34404194, ' 2': -1.3489991, ' one': -4.5122776, ' two': -4.3813686}
{' #': -5.4588065, ' 1': -0.18367052, ' 2': -1.9595091, ' one': -4.373337, ' two': -5.049069}
{' #': -5.5276265, ' 1': -0.18009615, ' 2': -1.9808695, ' one': -4.315163, ' two': -5.072577}
{' #': -5.357476, ' 1': -0.24452509, ' 2': -1.6757059, ' one': -4.3988614, ' two': -4.72097}
{' #': -5.470743, ' 1': -0.13879849, ' 2': -2.267756, ' one': -4.286723, ' two': -5.3390465}
{' #': -5.379722, ' 1': -0.3434118, ' 2': -1.3683752, ' one': -4.3234897, ' two': -4.2497764}
{' 1': -0.123472825, ' 2': -2.4110188, ' one': -4.196835, ' two': -5.4723096, ' #': -5.532849}
{' #': -5.495958, ' 1': -0.13738231, ' 2': -2.2844923, ' one': -4.254989, ' two': -5.339187}
{' #': -5.5425205, ' 1': -0.12425716, ' 2': -2.3886063, ' one': -4.2647963, ' two': -5.478325}
{' #': -5.2865767, ' 1': -0.35380223, ' 2': -1.3397089, ' one': -4.4012227, ' two': -4.2414417}
{' #': -5.59564, ' 1': -0.19614652, ' 2': -1.8799881, ' one': -4.5085664, ' two': -4.9325166}
{' #': -5.587503, ' 1': -0.12492497, ' 2': -2.3597138, ' one': -4.3957267, ' two': -5.53536}
{' #': -5.737163, ' 1': -0.0746455, ' 2': -3.0233126, ' one': -4.2016726, ' two': -6.0310726}
{' 1': -0.20082168, ' 2': -1.8777817, ' one': -4.307362, ' two': -4.883484, ' #': -5.4351296}
{' 1': -0.10561626, ' 2': -2.5806031, ' one': -4.2215123, ' #': -5.6388392, ' two': -5.642616}
{' #': -5.6113076, ' 1': -0.114411004, ' 2': -2.4944293, ' one': -4.2139974, ' two': -5.502744}
{' number': -6.0314236, ' #': -5.8021193, ' 1': -0.06227042, ' 2': -3.3151581, ' one': -4.109164}
{' 1': -0.07971163, ' 2': -2.9508035, ' one': -4.1712055, ' #': -5.6709914, ' two': -5.9565477}
{' number': -6.04151, ' #': -5.7322903, ' 1': -0.06626944, ' 2': -3.1994803, ' one': -4.175328}
{' #': -5.4401274, ' 1': -0.16860512, ' 2': -2.0653276, ' one': -4.230056, ' two': -5.110523}
{' number': -6.1466136, ' #': -5.862829, ' 1': -0.05318368, ' 2': -3.4791844, ' one': -4.256728}
{' 1': -0.05536291, ' 2': -3.4387531, ' one': -4.226307, ' #': -5.795179, ' number': -6.0826817}
{' 1': -0.0448432, ' 2': -3.8349621, ' one': -4.1549144, ' #': -5.8152122, ' number': -6.138961}
{' #': -5.5104656, ' 1': -0.092453055, ' 2': -2.7513466, ' one': -4.243431, ' two': -5.825857}
{' 1': -0.048701033, ' 2': -3.6607308, ' one': -4.2150807, ' #': -5.706748, ' number': -6.1350265}
{' number': -6.04685, ' #': -5.739409, ' 1': -0.061929137, ' 2': -3.2446952, ' one': -4.312721}
{' number': -6.1531725, ' #': -5.8196497, ' 1': -0.050620276, ' 2': -3.5757551, ' one': -4.225463}
{' 1': -0.056976337, ' 2': -3.3954177, ' one': -4.244396, ' #': -5.728125, ' number': -6.0488153}
{' number': -6.1444755, ' #': -5.774312, ' 1': -0.054916043, ' 2': -3.4150786, ' one': -4.3058085}
{' 1': -0.15755509, ' 2': -2.107224, ' one': -4.4158273, ' two': -5.2433467, ' #': -5.600948}
{' number': -6.078594, ' #': -5.9339457, ' 1': -0.051060095, ' 2': -3.531092, ' one': -4.283299}
{' 1': -0.71018136, ' 2': -0.781028, ' two': -3.485719, ' one': -4.643394, ' #': -5.2863083}
{' 1': -0.41105878, ' 2': -1.2233968, ' two': -3.9381964, ' one': -4.3243504, ' #': -5.2988734}
{' #': -5.188382, ' 1': -0.28357154, ' 2': -1.5656111, ' one': -4.2036858, ' two': -4.3383904}
{' 1': -0.27805924, ' 2': -1.6036779, ' one': -4.085537, ' two': -4.2365475, ' #': -5.168297}
{' #': -5.0995216, ' 1': -0.43562576, ' 2': -1.199849, ' one': -4.121302, ' two': -3.7235935}
{' #': -5.161947, ' 1': -0.3693875, ' 2': -1.3160903, ' one': -4.354064, ' two': -4.078147}
{' #': -5.1489453, ' 1': -0.27837878, ' 2': -1.6001294, ' one': -4.085105, ' two': -4.2921367}
{' #': -5.2590036, ' 1': -0.16783048, ' 2': -2.0957804, ' one': -4.160903, ' two': -4.9537067}
{' 1': -0.25016794, ' 2': -1.6909257, ' one': -4.175825, ' two': -4.50206, ' #': -5.0987663}
{' #': -5.2187095, ' 1': -0.14881115, ' 2': -2.2390802, ' one': -4.1063, ' two': -5.109472}
{' #': -5.270267, ' 1': -0.1974865, ' 2': -1.9106652, ' one': -4.271089, ' two': -4.7977138}
{' 1': -0.12127814, ' 2': -2.4923372, ' one': -4.03099, ' #': -5.255796, ' two': -5.345167}
{' #': -5.22929, ' 1': -0.12954181, ' 2': -2.4167922, ' one': -4.0417614, ' two': -5.231304}
{' #': -5.245828, ' 1': -0.13257489, ' 2': -2.3756244, ' one': -4.0785913, ' two': -5.218826}
{' 1': -0.34374526, ' 2': -1.3992624, ' two': -4.0776167, ' one': -4.166993, ' #': -5.011084}
{' #': -5.3502088, ' 1': -0.20132908, ' 2': -1.8993213, ' one': -4.2503843, ' two': -4.6872544}
{' 1': -0.114932284, ' 2': -2.5156186, ' one': -4.158841, ' #': -5.357564, ' two': -5.460039}
{' number': -5.8195105, ' #': -5.3807206, ' 1': -0.07684288, ' 2': -3.08629, ' one': -4.034253}
{' #': -5.136684, ' 1': -0.18345146, ' 2': -2.0212066, ' one': -4.0751634, ' two': -4.824513}
{' #': -5.328255, ' 1': -0.10583535, ' 2': -2.6550562, ' one': -4.021633, ' two': -5.5036592}
{' #': -5.4032326, ' 1': -0.10178894, ' 2': -2.694427, ' one': -4.047303, ' two': -5.5284357}
{' number': -5.781889, ' #': -5.413231, ' 1': -0.07053759, ' 2': -3.2726326, ' one': -3.9149342}
{' #': -5.3240886, ' 1': -0.09184522, ' 2': -2.8641136, ' one': -3.9768567, ' two': -5.6555104}
{' number': -5.8523316, ' #': -5.436807, ' 1': -0.06305193, ' 2': -3.4289615, ' one': -3.9584813}
{' #': -5.215894, ' 1': -0.15542969, ' 2': -2.2011144, ' one': -4.0609646, ' two': -5.0187664}
{' number': -5.7406096, ' #': -5.5663466, ' 1': -0.079665735, ' 2': -3.0053325, ' one': -4.092708}
{' 1': -0.05904199, ' 2': -3.5055406, ' one': -3.99724, ' #': -5.489547, ' number': -5.8987627}
{' number': -5.9844537, ' #': -5.5648975, ' 1': -0.0463616, ' 2': -3.9970279, ' one': -3.9558995}
{' 1': -0.081637695, ' 2': -3.0363572, ' one': -3.97635, ' #': -5.281058, ' number': -5.697814}
{' number': -5.9456215, ' #': -5.4376984, ' 1': -0.050273977, ' 2': -3.8459682, ' one': -3.9589539}
{' number': -5.840275, ' #': -5.405997, ' 1': -0.071749404, ' 2': -3.1479685, ' one': -4.119597}
