{' Odd': -4.4407353, ' 1': -2.4530902, ' odd': -0.20778708, ' 0': -4.4610972, ' even': -2.702409}
{' Even': -6.748357, ' 1': -6.0673985, ' odd': -5.415569, ' 0': -5.353235, ' even': -0.01663385}
{' Odd': -5.0631413, ' ': -6.507497, ' 1': -1.8781104, ' odd': -0.18580972, ' even': -6.2197146}
{' even': -0.003369125, ' Even': -6.625424, ' ': -7.7739735, ' EVEN': -7.8233194, ' 0': -8.417882}
{' Odd': -5.455894, ' 1': -1.5633814, ' odd': -0.2635521, ' 0': -6.428899, ' even': -4.4978986}
{' even': -0.0028769807, ' odd': -7.248711, ' Even': -7.6162095, ' an': -7.8177867, ' EVEN': -8.148104}
{' Odd': -5.169965, ' ': -7.6592565, ' 1': -2.6115618, ' odd': -0.08772013, ' even': -5.9037213}
{' an': -6.6432405, ' Even': -6.4394555, ' odd': -6.7930083, ' 0': -6.539603, ' even': -0.008416226}
{' Odd': -4.241088, ' ': -7.2105827, ' 1': -2.7781658, ' odd': -0.096037164, ' even': -4.459234}
{' odd': -0.38072, ' 1': -1.5964124, ' even': -2.7543554, ' 0': -3.782107, ' Odd': -4.2551165}
{' Even': -6.4448833, ' 1': -5.7539663, ' odd': -6.155159, ' 0': -4.50525, ' even': -0.02280656}
{' Odd': -5.053322, ' 1': -2.7924523, ' odd': -0.07644319, ' 0': -7.1777325, ' even': -6.1091156}
{' ': -7.456596, ' Even': -6.5317454, ' odd': -7.7563457, ' 0': -6.2692676, ' even': -0.005896794}
{' Odd': -5.7084727, ' 1': -1.7117573, ' odd': -0.22304884, ' 0': -5.998255, ' even': -4.762652}
{' even': -0.021717332, ' 0': -4.3085403, ' odd': -6.34793, ' 1': -6.667631, ' Even': -6.7677937}
{' odd': -0.08047943, ' 1': -2.7320278, ' Odd': -5.1115813, ' even': -5.7682576, ' an': -7.502688}
{':': -6.908494, ' Even': -6.59408, ' odd': -5.839798, ' 0': -6.0746636, ' even': -0.011493281}
{' odd': -0.041015144, ' 1': -3.9911597, ' Odd': -4.189801, ' even': -5.475136, ' ': -7.890648}
{' Odd': -4.4032836, ' 1': -2.8640819, ' odd': -0.2965248, ' 0': -3.7541316, ' even': -1.8892735}
{' even': -0.022267768, ' 0': -4.869883, ' odd': -5.221747, ' 1': -6.161785, ' Even': -6.347528}
{' Odd': -4.781559, ' 1': -4.96999, ' "': -7.552833, ' odd': -0.025476482, ' even': -5.032956}
{' ': -7.586679, ' Even': -6.650478, ' odd': -7.5862136, ' 0': -6.275931, ' even': -0.0056578354}
{' Odd': -5.6150417, ' 1': -1.6276819, ' odd': -0.25648317, ' 0': -6.157048, ' even': -3.9914293}
{' even': -0.0020342444, ' odd': -7.509558, ' Even': -8.079709, ' ': -8.155007, ' an': -8.551481}
{' Odd': -5.449107, ' 1': -1.6514611, ' one': -7.0317903, ' odd': -0.22615659, ' even': -6.0407243}
{' an': -6.483081, ' Even': -6.4844813, ' odd': -6.6641936, ' 0': -6.804788, ' even': -0.008516252}
{' Odd': -4.2978263, ' ': -7.877293, ' 1': -4.322563, ' odd': -0.036781065, ' even': -4.9458623}
{' Odd': -4.665076, ' 1': -1.9970078, ' odd': -0.31763032, ' 0': -4.0369987, ' even': -2.347713}
{' even': -0.060675543, ' 0': -3.5786142, ' 1': -4.2645416, ' odd': -5.188821, ' Even': -5.863067}
{' Odd': -4.881314, ' 1': -4.187491, ' odd': -0.03185352, ' 0': -7.5855985, ' even': -5.1391716}
{' ': -9.144621, ' Even': -7.3658805, ' EVEN': -8.956333, ' odd': -7.757997, ' even': -0.0018708479}
{' Odd': -5.8191743, ' 1': -2.5944936, ' odd': -0.10476856, ' 0': -7.2362776, ' even': -3.979532}
{' even': -0.0021375765, ' odd': -7.454047, ' Even': -7.9774017, ' ': -8.157554, ' EVEN': -8.448762}
{' odd': -0.06186249, ' 1': -3.1057582, ' Odd': -4.689998, ' even': -5.469025, '\n': -7.9171925}
{' even': -0.0131442845, ' 0': -5.9036016, ' odd': -6.040995, ' Even': -6.18734, ' 1': -6.6936445}
{' odd': -0.039152402, ' 1': -3.9720795, ' Odd': -4.554261, ' even': -4.9978886, ' an': -7.6899123}
{' Odd': -4.316922, ' 1': -4.6116667, ' odd': -0.14405176, ' 0': -6.000673, ' even': -2.2841341}
{':': -6.07442, ' 1': -4.6154957, ' odd': -5.302359, ' 0': -4.210685, ' even': -0.041349117}
{' odd': -0.20733237, ' 1': -1.7524124, ' Odd': -5.234942, ' even': -6.2345166, ' one': -6.6719384}
{' even': -0.007950201, ' 0': -5.81165, ' Even': -6.3775496, ' odd': -7.27247, ' ': -7.509823}
{' Odd': -5.3673515, ' 1': -2.3432999, ' odd': -0.12299745, ' 0': -7.0167522, ' even': -4.5039034}
{' an': -6.9758716, ' Even': -6.626628, ' odd': -6.1701546, ' 0': -6.6623497, ' even': -0.008205691}
{' odd': -0.09466234, ' 1': -2.5234036, ' Odd': -5.221104, ' even': -6.282055, ' ': -7.176703}
{':': -7.2094483, ' an': -6.260591, ' Even': -6.606233, ' odd': -5.8907714, ' even': -0.008723789}
{' Odd': -4.3929696, ' ': -6.866485, ' 1': -2.0354342, ' odd': -0.16742662, ' even': -5.146005}
{' Odd': -4.9823313, ' 1': -2.7389596, ' odd': -0.20738547, ' 0': -4.268705, ' even': -2.3931766}
{' even': -0.014497888, ' odd': -5.0630727, ' 0': -5.8153315, ' 1': -6.424466, ' Even': -6.8661675}
{' odd': -0.022700766, ' 1': -4.7491817, ' Odd': -5.079451, ' even': -5.299194, ' "': -7.667773}
{' ': -7.760492, ' Even': -6.7358246, ' EVEN': -7.637419, ' 0': -7.1382427, ' even': -0.004211253}
