{' No': -0.01724444, 'No': -4.245142, '\n': -6.1593676, ' Yes': -7.7318993, ' ': -9.192548}
{' No': -0.054842122, '\n': -3.966047, 'No': -4.242817, ' Yes': -4.2309775, ' Patient': -5.5008183}
{' No': -0.015059069, '\n': -5.832354, ' ': -8.736994, 'No': -4.5317082, ' Yes': -6.9655538}
{' No': -0.029397147, '\n': -5.405535, ' ': -8.938109, 'No': -3.7586565, ' Yes': -6.9662504}
{' No': -0.052252326, '\n': -5.5429826, 'No': -4.212216, ' Yes': -3.5299628, ' Doctor': -6.3982406}
{' No': -0.025625804, 'No': -4.587172, '\n': -5.0042176, ' Yes': -5.6781864, ' Hospital': -6.3900766}
{' No': -0.021718184, 'No': -4.6633425, '\n': -4.6965685, ' Yes': -6.147094, ' ': -7.679919}
{' No': -0.022393448, 'No': -4.0309496, '\n': -5.777446, ' Yes': -7.332299, ' Patient': -8.129134}
{' No': -0.017340805, 'No': -4.078561, '\n': -8.651236, ' ': -10.395226, ' Yes': -10.422335}
{' No': -0.05409388, 'No': -3.354234, '\n': -4.3976164, ' Unfortunately': -5.3929567, ' ': -7.839707}
{' No': -0.91837734, '\n': -3.4755847, 'No': -3.5455747, ' Yes': -0.6684709, 'Yes': -4.0336576}
{' No': -0.108138025, '\n': -3.2168262, 'No': -3.2533274, ' Unfortunately': -3.9136074, ' ': -6.626567}
{' No': -0.4884204, '\n': -1.155672, 'No': -3.1233692, ' Unfortunately': -4.2984405, ' Yes': -5.1957893}
{' No': -0.07609074, 'No': -3.0077922, '\n': -4.4637303, ' Unfortunately': -4.647246, ' Yes': -7.057231}
{' No': -0.16632333, '\n': -2.6039033, 'No': -2.7295728, ' Yes': -5.9259853, ' Unfortunately': -4.873974}
{' No': -0.043778025, '\n': -4.505142, ' ': -7.9842124, 'No': -3.48206, ' Yes': -8.040501}
{' Yes': -0.35421917, ' No': -1.2914484, '\n': -4.6963096, 'Yes': -4.8118033, 'No': -5.2629085}
{' No': -0.03796275, ' Not': -8.311805, '\n': -4.0567865, ' ': -7.2635884, 'No': -3.981013}
{' No': -0.047616027, '\n': -3.5965033, ' ': -7.57263, 'No': -4.003611, ' Yes': -9.320319}
{' No': -0.022185314, 'No': -4.0883584, '\n': -5.364985, ' ': -8.489694, ' Yes': -8.922669}
{' No': -0.020916583, ' Not': -8.637571, '\n': -5.4249215, 'No': -4.1860814, ' Yes': -7.5318913}
{' No': -0.022738874, 'No': -4.024923, '\n': -5.7939043, ' Yes': -6.6166677, ' ': -9.215476}
{' No': -0.04052759, ' Not': -8.281849, '\n': -5.7681394, 'No': -3.5765803, ' Yes': -4.8547516}
{' No': -0.05788151, '\n': -3.3891954, 'No': -4.0177183, ' Yes': -6.0127897, ' ': -6.858166}
{' No': -0.087461844, '\n': -2.8863397, 'No': -3.7090664, ' Yes': -6.215559, ' ': -6.8509393}
{' No': -0.029973445, '\n': -5.449123, ' ': -8.700032, 'No': -3.9195015, ' Yes': -5.2921724}
{' No': -0.04535962, 'No': -3.4767137, '\n': -5.0276093, ' Yes': -5.149434, ' Not': -7.90136}
{' No': -0.032815557, 'No': -3.5968394, '\n': -5.6953764, ' Yes': -6.824754, ' Not': -8.770335}
{' No': -0.05634309, '\n': -4.425428, ' ': -8.164048, 'No': -3.3533552, ' Yes': -4.9697227}
{' No': -0.84025633, '\n': -4.467965, 'No': -4.6236444, ' Yes': -0.63289326, 'Yes': -4.8571043}
{' No': -0.034144435, ' Not': -7.6894536, '\n': -4.242003, 'No': -4.033105, ' Yes': -7.7943745}
{' No': -0.08063706, '\n': -2.8574903, 'No': -4.083812, ' Yes': -6.65194, ' ': -7.1431346}
{' No': -0.01748006, 'No': -4.338286, ' Yes': -5.844582, '\n': -6.847487, ' Not': -8.910438}
{' No': -0.012341554, ' Not': -9.806281, '\n': -7.5999804, 'No': -4.55606, ' Yes': -6.802557}
{' No': -0.021887293, ' Not': -8.414383, '\n': -5.987406, 'No': -4.0357914, ' Yes': -6.859333}
{' No': -0.023499519, 'No': -3.8854055, '\n': -5.9861436, ' ': -9.39687, ' Yes': -9.801771}
{' No': -0.034375988, '\n': -7.0192623, 'No': -3.6727977, ' Yes': -4.9243293, 'Yes': -8.838871}
{' No': -0.021686329, 'No': -4.2304835, '\n': -5.156751, ' ': -8.166949, ' Yes': -8.183304}
{' No': -0.015867809, 'No': -4.510224, '\n': -5.4000454, ' ': -9.064662, ' no': -10.1758175}
{' No': -0.014206441, '\n': -7.988924, ' ': -9.946147, 'No': -4.310311, ' Yes': -8.4669}
{' No': -0.018117448, 'No': -4.077354, '\n': -7.3217864, ' Yes': -8.433892, ' ': -10.379987}
{' No': -0.018326746, '\n': -8.16002, ' ': -10.255538, 'No': -4.0282445, ' Yes': -11.419732}
{' No': -0.02595467, '\n': -5.605621, ' ': -8.767961, 'No': -3.8828404, ' Yes': -6.8326006}
{' No': -0.14951712, '\n': -4.871881, 'No': -4.215887, ' Yes': -2.1700706, 'Yes': -6.5438743}
{' No': -0.033666942, '\n': -3.9335427, ' ': -6.5508785, 'No': -4.6025605, ' Yes': -6.8022842}
{' No': -0.025104318, '\n': -4.249885, 'No': -4.639152, ' ': -7.9739604, ' Yes': -8.169346}
{' No': -0.01342473, 'No': -4.5335264, '\n': -6.4708257, ' Yes': -7.20949, ' ': -9.046761}
{' No': -0.020107778, '\n': -6.6283474, ' ': -9.31358, 'No': -4.2316384, ' Yes': -5.6003075}
{' No': -0.019003555, '\n': -6.616587, ' ': -9.366829, 'No': -4.0652776, ' Yes': -8.71875}
{' No': -0.17092663, '\n': -3.0949664, ' ': -6.604123, 'No': -2.2165504, ' Yes': -7.3820868}
{' No': -0.25350478, 'No': -2.4600801, ' Yes': -2.4681807, '\n': -3.0880268, 'Yes': -5.1099954}
{' No': -0.18566495, '\n': -2.791185, ' ': -6.284227, 'No': -2.2621076, ' Yes': -7.122036}
{' No': -0.27039695, '\n': -2.1496885, ' ': -5.9845533, 'No': -2.17753, ' Yes': -6.130317}
{' No': -0.14969122, '\n': -3.6585183, ' ': -6.9892354, 'No': -2.2300344, ' Yes': -5.6149063}
{' No': -0.1395648, 'No': -2.3142073, '\n': -3.625248, ' Yes': -5.9749565, ' ': -6.979718}
{' No': -0.19612528, '\n': -3.3401089, ' ': -6.8406944, 'No': -1.9702952, ' Yes': -6.8882904}
{' No': -0.249226, '\n': -3.0677264, 'No': -2.584931, ' Yes': -2.4773526, ' Unfortunately': -4.976689}
{' No': -0.8606079, '\n': -3.3839138, 'No': -3.112023, ' Yes': -0.7551526, 'Yes': -3.7205722}
{' No': -0.37659183, '\n': -1.7287323, 'No': -2.2482426, ' Yes': -4.570227, ' Unfortunately': -4.3091764}
{' No': -0.43628103, '\n': -1.7381915, 'No': -2.219978, ' Yes': -3.021852, ' Unfortunately': -4.737594}
{' No': -0.28197256, 'No': -2.2149234, '\n': -2.61276, ' Yes': -3.091556, ' Unfortunately': -4.551824}
{' No': -0.31913248, 'No': -2.1423097, '\n': -2.4610317, ' Yes': -2.8406682, 'Yes': -5.1995606}
{' No': -0.23772737, '\n': -3.0056028, 'No': -1.9496965, ' Yes': -4.6809936, ' Unfortunately': -5.0205946}
{' No': -0.031525373, '\n': -5.4996076, ' ': -8.706011, 'No': -3.9679515, ' Yes': -4.8837495}
{' No': -2.0068347, '\n': -4.18624, 'No': -5.662728, ' Yes': -0.18477526, 'Yes': -4.2909474}
{' No': -0.026422556, '\n': -4.416816, ' ': -7.602346, 'No': -4.570488, ' Yes': -6.0420246}
{' No': -0.1510076, '\n': -2.3129034, ' Yes': -3.748307, 'No': -4.2679167, ' ': -6.41571}
{' No': -0.037073728, 'No': -3.680634, ' Yes': -5.2880235, '\n': -5.3391347, ' Unfortunately': -7.2096252}
{' No': -0.04000683, '\n': -5.2724037, 'No': -3.7295077, ' Yes': -4.6783466, 'Yes': -8.31876}
{' No': -0.031739827, 'No': -3.7114463, ' Yes': -5.6751685, '\n': -5.831306, ' ': -8.86827}
{' No': -1.7377445, '\n': -3.0720608, 'No': -4.2674823, ' Yes': -0.3121464, 'Yes': -3.5110843}
{' No': -0.28510246, ' Not': -5.5289674, '\n': -1.7865978, 'No': -2.7365851, ' Unfortunately': -5.22385}
{' No': -0.7698227, '\n': -1.3303448, 'No': -3.8574636, ' Yes': -1.4379859, 'Yes': -4.755838}
{' No': -0.12601162, '\n': -3.206612, 'No': -2.725745, ' Yes': -4.912789, ' Unfortunately': -6.431784}
{' No': -0.1251882, '\n': -2.9004183, 'No': -2.9829378, ' Yes': -4.669297, ' Patient': -7.4870634}
{' No': -0.12943089, '\n': -2.8973901, 'No': -3.536287, ' Yes': -3.3540933, 'Yes': -6.8764987}
{' No': -0.8409395, '\n': -2.4421797, 'No': -3.468833, ' Yes': -0.84974575, 'Yes': -4.07273}
{' No': -0.34995723, '\n': -1.5237623, 'No': -3.0480008, ' Unfortunately': -3.8377938, ' Not': -5.558604}
{' No': -1.6639667, '\n': -0.75012535, 'No': -4.390001, ' Yes': -1.1977973, 'Yes': -4.097858}
{' No': -0.16017252, '\n': -2.569068, 'No': -3.0655584, ' Unfortunately': -4.0537615, ' Yes': -5.833045}
{' No': -0.24842048, '\n': -2.4699495, 'No': -2.9086013, ' Yes': -2.6677988, ' Unfortunately': -5.6829214}
{' No': -0.29361358, '\n': -1.8943655, 'No': -2.589466, ' Yes': -3.8308163, ' Unfortunately': -5.7886214}
{' No': -1.5448086, '\n': -5.070159, 'No': -5.18814, ' Yes': -0.2712624, 'Yes': -4.428094}
{' No': -2.7592273, '\n': -5.1195292, 'No': -6.057852, ' Yes': -0.096000485, 'Yes': -3.989904}
{' No': -3.0116408, '\n': -3.318619, ' Yes': -0.13386561, ' Sur': -4.3250203, 'Yes': -3.8477364}
{' No': -0.046628658, '\n': -4.929031, ' ': -7.9303656, 'No': -3.349094, ' Yes': -6.0386977}
{' No': -0.17330173, '\n': -5.151268, 'No': -4.0478973, ' Yes': -2.0344298, ' Patient': -5.988582}
{' No': -0.02013983, 'No': -4.1334877, ' Yes': -6.1983147, '\n': -6.4202633, ' ': -8.970721}
{' No': -0.097960405, ' Yes': -3.2264202, 'No': -3.6492488, '\n': -3.6682234, 'Yes': -6.7802477}
{' No': -0.071978495, 'No': -3.4960716, ' Yes': -3.52513, '\n': -4.818915, 'Yes': -7.4466367}
{' No': -0.0674679, 'No': -3.6287298, '\n': -3.7332754, ' Hospital': -5.020461, ' Yes': -6.0469136}
{' No': -0.039244145, '\n': -4.909659, ' ': -8.090647, 'No': -3.6265528, ' Yes': -5.583542}
{' No': -0.07511464, '\n': -3.6201413, 'No': -3.7505276, ' Yes': -4.0443454, ' Patient': -5.798526}
{' No': -0.019079007, 'No': -4.2454906, '\n': -6.01456, ' Yes': -6.269296, ' ': -9.003518}
{' No': -0.03240439, '\n': -5.2084184, ' ': -9.063519, 'No': -3.6721747, ' Yes': -7.1256294}
{' No': -0.060993657, ' Yes': -3.5535471, 'No': -4.009461, '\n': -4.797777, ' Doctor': -5.8432655}
{' No': -0.03240439, ' Not': -6.625091, '\n': -5.2428613, 'No': -3.8164313, ' Hospital': -6.4863124}
{' No': -0.03126127, '\n': -4.1255603, ' ': -7.766357, 'No': -4.3570666, ' Yes': -6.7494693}
{' No': -0.03559213, '\n': -4.731953, 'No': -3.8935518, ' Yes': -6.073878, ' Patient': -5.991275}
{' No': -0.015240249, '\n': -8.591997, ' ': -10.420519, 'No': -4.209397, ' Yes': -10.304566}
{' No': -0.061019003, 'No': -3.4142828, '\n': -4.0813456, ' Unfortunately': -5.0803022, ' Yes': -6.0867167}
{' Yes': -0.73543024, ' No': -0.82951593, 'No': -3.4381297, '\n': -3.7125895, 'Yes': -3.9998708}
{' No': -0.13313606, ' Not': -6.6581373, '\n': -2.8178396, 'No': -3.223447, ' Unfortunately': -3.886575}
{' No': -0.99984497, '\n': -0.9021678, 'No': -3.6827614, ' Yes': -1.7642951, ' Unfortunately': -4.615577}
{' No': -0.102532476, '\n': -3.459296, 'No': -3.082284, ' Yes': -5.592303, ' Unfortunately': -4.303096}
{' No': -0.120742775, 'No': -2.5421696, '\n': -3.568546, ' Unfortunately': -5.6623325, ' Yes': -6.7234144}
{' No': -0.044809785, 'No': -3.4057717, '\n': -4.6751885, ' Yes': -7.012873, ' ': -8.483774}
{' No': -1.702023, '\n': -4.8280144, 'No': -5.3532853, ' Yes': -0.23431246, 'Yes': -4.3655534}
{' No': -0.027987877, 'No': -4.0641966, '\n': -4.696368, ' ': -7.719369, ' Not': -8.1674795}
{' No': -0.02903978, '\n': -4.3436623, ' ': -8.110894, 'No': -4.2010517, ' Yes': -8.985522}
{' No': -0.027838815, '\n': -5.645592, ' ': -8.868848, 'No': -3.765332, ' Yes': -8.076533}
{' No': -0.032435544, 'No': -3.737559, '\n': -5.093114, ' Yes': -6.475981, ' ': -9.208675}
{' No': -0.059841666, 'No': -3.3472867, '\n': -4.091061, ' Yes': -5.3763337, ' ': -7.1622243}
{' No': -0.073480405, '\n': -4.983667, ' ': -7.589763, 'No': -2.8117213, ' Yes': -6.018536}
{' No': -0.064302266, '\n': -3.6834943, ' ': -6.887883, 'No': -3.7277217, ' Yes': -4.638454}
{' No': -0.06693489, '\n': -3.3987293, 'No': -3.782696, ' Yes': -5.0673637, ' ': -7.362438}
{' No': -0.04803052, '\n': -4.417995, ' ': -7.616426, 'No': -3.60543, ' Yes': -5.0423846}
{' No': -0.094358616, '\n': -3.3655777, 'No': -3.7656631, ' Yes': -3.4997003, 'Yes': -7.5258484}
{' No': -0.02568017, ' Not': -9.115347, '\n': -5.4118037, 'No': -3.9026294, ' Yes': -7.8703837}
{' No': -0.06863114, 'No': -3.4892054, '\n': -3.6424036, ' Yes': -4.896699, ' ': -7.280249}
{' No': -0.717816, ' Yes': -0.7837321, '\n': -3.5335891, 'No': -4.2061734, 'Yes': -4.8522897}
{' No': -0.08340351, '\n': -3.1701858, 'No': -3.9478405, ' Yes': -4.546845, ' ': -5.972724}
{' No': -0.1517845, '\n': -2.489145, ' Yes': -3.2942688, 'No': -4.1744986, ' ': -6.364314}
{' No': -0.057718396, 'No': -3.781292, '\n': -3.9427354, ' Yes': -4.510128, ' ': -7.140024}
{' No': -0.10772398, '\n': -3.1592813, 'No': -4.2144055, ' Pat': -4.6999917, ' Yes': -3.9381623}
{' No': -0.02079973, 'No': -4.2619534, '\n': -5.29443, ' Yes': -6.7937336, ' ': -8.82696}
{' No': -0.024957705, '\n': -6.402847, ' ': -9.403921, 'No': -3.780403, ' Yes': -9.712739}
{' No': -0.27938184, ' Yes': -1.7599288, 'No': -3.07907, '\n': -4.1097383, 'Yes': -4.9800806}
{' No': -0.043984536, 'No': -3.56911, '\n': -4.614587, ' Yes': -5.6854095, ' ': -7.5964518}
{' No': -0.029920692, '\n': -4.6674137, ' ': -7.9855766, 'No': -3.9938543, ' Yes': -7.223573}
{' No': -0.048758112, '\n': -5.785897, 'No': -3.1606183, ' Yes': -6.677172, ' The': -8.215008}
{' No': -0.032082696, '\n': -5.052298, 'No': -3.84052, ' Yes': -5.873427, ' The': -8.195389}
{' No': -0.019012181, '\n': -7.3951545, ' ': -10.066011, 'No': -4.012975, ' Yes': -9.767924}
{' No': -0.064154364, '\n': -3.3992772, ' ': -7.0382175, 'No': -3.66631, ' Yes': -6.186665}
{' No': -0.54577523, '\n': -3.421307, 'No': -3.7491422, ' Yes': -1.0461091, 'Yes': -4.6109433}
{' No': -0.09994031, '\n': -3.426501, 'No': -4.2153864, ' Yes': -4.2844286, ' Hospital': -3.615029}
{' No': -0.06380291, '\n': -3.1312597, 'No': -4.5231056, ' Yes': -5.38455, ' ': -6.706213}
{' No': -0.025368268, '\n': -4.9806714, ' ': -8.012419, 'No': -4.1121373, ' Yes': -6.873928}
{' No': -0.08462392, '\n': -3.5387084, 'No': -4.3508515, ' Yes': -3.7768254, ' Patient': -5.0426526}
{' No': -0.013818802, '\n': -6.3643394, ' ': -9.479128, 'No': -4.4432807, ' Yes': -9.038705}
{' No': -0.10737992, '\n': -3.2055357, ' ': -7.283447, 'No': -2.8234804, ' Yes': -7.084733}
{' No': -0.29726183, '\n': -2.9055152, 'No': -2.6596408, ' Yes': -2.0846858, 'Yes': -5.026109}
{' No': -0.1675057, '\n': -2.3291116, 'No': -2.9763818, ' ': -5.842289, ' Unfortunately': -7.225806}
{' No': -0.21656476, '\n': -1.9996552, 'No': -2.8872035, ' ': -6.2411613, ' Yes': -7.3723793}
{' No': -0.17781575, 'No': -2.0834343, '\n': -3.339301, ' ': -6.944007, ' Unfortunately': -6.9674783}
{' No': -0.13403647, 'No': -2.496709, '\n': -3.2277122, ' Yes': -6.2869062, ' ': -7.20939}
{' No': -0.17017345, '\n': -3.2480826, ' ': -7.308906, 'No': -2.1559312, ' Yes': -7.6753554}
{' No': -0.3205333, '\n': -1.9524857, 'No': -2.6368918, ' Yes': -3.5711799, ' Unfortunately': -3.678857}
{' Yes': -0.6479584, ' No': -1.2060008, '\n': -2.2894664, 'No': -3.366466, 'Yes': -3.536243}
{' No': -0.44914573, '\n': -1.8679957, 'No': -2.5355713, ' Yes': -2.6177592, ' Unfortunately': -3.4355693}
{' No': -0.50059247, '\n': -2.289119, 'No': -2.3686707, ' Yes': -1.8942349, ' Unfortunately': -3.814706}
{' No': -0.6437322, '\n': -2.406124, 'No': -2.482603, ' Yes': -1.3775693, ' Unfortunately': -3.9897137}
{' No': -0.69466317, '\n': -2.5274134, 'No': -2.5994349, ' Yes': -1.1994793, 'Yes': -3.8129702}
{' No': -0.3758349, '\n': -1.9690279, 'No': -2.2433293, ' Yes': -3.2315054, ' Unfortunately': -3.9737046}
{' No': -0.08146199, '\n': -3.4256334, ' ': -7.423821, 'No': -3.9072597, ' Yes': -3.7263}
{' No': -1.2848127, '\n': -3.0671213, 'No': -4.573461, ' Yes': -0.4312895, 'Yes': -4.26231}
{' No': -0.21919546, '\n': -3.464942, 'No': -4.6843915, ' Yes': -1.9339647, ' Hospital': -5.0939226}
{' No': -0.45755124, ' Yes': -1.4874812, '\n': -2.0871174, 'No': -4.618268, 'Yes': -5.393213}
{' No': -0.07664028, '\n': -3.7167444, ' ': -7.3507185, 'No': -3.1753798, ' Yes': -5.127223}
{' No': -0.0977318, ' Yes': -3.0583217, '\n': -3.451005, 'No': -4.397374, 'Yes': -7.190894}
{' No': -0.04226284, '\n': -4.265407, ' ': -8.659001, 'No': -3.6453931, ' Yes': -7.169803}
{' No': -0.74464774, ' Yes': -1.0458982, '\n': -2.2659469, 'No': -3.0101924, 'Yes': -4.0366874}
{' No': -0.16000639, '\n': -3.557614, 'No': -2.7042549, ' Yes': -3.8952603, ' Hospital': -3.9126344}
{' No': -0.15499677, '\n': -3.4479768, 'No': -3.3513885, ' Yes': -2.6482084, 'Yes': -5.953744}
{' No': -0.13884985, '\n': -3.290238, 'No': -2.5440125, ' Yes': -5.8529754, ' Unfortunately': -4.895844}
{' No': -0.13906696, '\n': -3.0109138, 'No': -2.7093623, ' Yes': -4.570042, ' Unfortunately': -7.019579}
{' No': -0.13308664, '\n': -2.9078918, ' Yes': -3.3516269, 'No': -3.4243941, 'Yes': -6.8748274}
{' No': -0.34005502, ' Yes': -2.1150508, '\n': -2.359426, 'No': -3.0077717, ' Unfortunately': -4.1095247}
{' No': -0.33011302, '\n': -2.1616864, ' ': -5.511522, 'No': -2.4423203, ' Unfortunately': -2.7025628}
{' No': -0.4686078, ' Yes': -1.3950127, '\n': -2.751851, 'No': -3.4051962, ' Unfortunately': -4.3604803}
