{' odd': -0.16390109, ' even': -2.1779258, ' 1': -4.3650184, ' 0': -4.76874, ' Odd': -4.793174}
{' odd': -0.14224668, ' even': -2.800297, ' 1': -3.2802203, ' Odd': -4.438994, ' 0': -4.6031294}
{':': -7.006282, ' Even': -5.999456, ' odd': -6.706025, ' 0': -5.1059666, ' even': -0.0147221545}
{' Odd': -4.473632, ' 1': -2.1285424, ' odd': -0.23209526, ' 0': -4.378789, ' even': -2.9321244}
{' even': -0.008115614, ' odd': -6.262262, ' 0': -6.293757, ' Even': -6.723075, ':': -6.7783737}
{' Odd': -5.427395, ' uneven': -6.2855444, ' 1': -5.558888, ' odd': -0.04425259, ' even': -3.608428}
{':': -6.8800507, ' an': -7.160332, ' Even': -6.9072905, ' 0': -6.1807895, ' even': -0.0074600796}
{' odd': -0.04436275, ' even': -4.2461867, ' 1': -4.371165, ' Odd': -4.639362, ':': -6.53444}
{' odd': -0.18687506, ' even': -2.182575, ' Odd': -3.7210104, ' 0': -4.6302123, ':': -4.8778043}
{':': -5.873233, ' Even': -6.2751036, ' odd': -6.9732084, ' 0': -4.874861, ' even': -0.017045135}
{' Odd': -4.22288, ' 1': -2.2555032, ' odd': -0.23699728, ' 0': -4.0985503, ' even': -3.0045316}
{' even': -0.025459977, ' 0': -4.340471, ' Even': -5.847364, ' odd': -5.85891, ' EVEN': -6.726767}
{' Odd': -5.5033903, ' 1': -1.8413746, ' one': -5.9425907, ' odd': -0.20076294, ' even': -4.7424135}
{' Even': -6.6290364, ' EVEN': -7.6216397, ' odd': -6.2201467, ' 0': -6.2039447, ' even': -0.007305881}
{' Odd': -5.4076943, ' uneven': -7.264853, ' 1': -5.2704997, ' odd': -0.019480664, ' even': -5.213359}
{':': -6.3758826, ' Even': -6.226293, ' odd': -6.6787906, ' 0': -5.6795173, ' even': -0.011434557}
{' Odd': -4.6593, ' 1': -3.0481517, ' odd': -0.07672297, ' 0': -6.5818176, ' even': -4.583854}
{' odd': -0.20457448, ' even': -1.8376502, ' 0': -4.7427526, ' Odd': -4.9536977, ' 1': -5.2836614}
{':': -6.0426373, ' Even': -6.1057286, ' odd': -6.122762, ' 0': -4.595619, ' even': -0.02117243}
{' Odd': -4.488339, ' 1': -2.5116422, ' odd': -0.18801081, ' 0': -3.6973064, ' even': -3.0966735}
{' even': -0.016712459, ' 0': -4.9463673, ' Even': -5.95453, ':': -6.4130907, ' zero': -6.9871154}
{' Odd': -4.4748573, ' 1': -2.3195188, ' one': -6.084905, ' odd': -0.12904915, ' even': -5.415054}
{':': -7.0053587, ' Even': -6.3598695, ' odd': -6.475735, ' 0': -6.185976, ' even': -0.008175883}
{' Odd': -4.417978, ' 1': -4.6627793, ' "': -6.866384, ' odd': -0.038758006, ' even': -4.6215005}
{':': -5.499535, ' Even': -6.073729, ' odd': -6.0862174, ' 0': -6.0277247, ' even': -0.01761163}
{' odd': -0.102175996, ' 1': -2.7032766, ' Odd': -4.163952, ' even': -4.9321337, ' 0': -6.2245736}
{' Odd': -4.1569934, ':': -4.8152966, ' odd': -0.1634713, ' 0': -4.168587, ' even': -2.3177369}
{' even': -0.021293588, ' 0': -4.424883, ':': -5.903774, ' Even': -6.2241125, ' odd': -6.8174853}
{' Odd': -4.836658, ' 1': -3.791001, ' odd': -0.06134483, ' 0': -6.319491, ' even': -3.9426897}
{' Even': -6.936304, ' odd': -6.7423253, ' 0': -4.5240917, ' zero': -7.3957634, ' even': -0.015941873}
{' Odd': -3.945598, ' 1': -2.6433327, ' odd': -0.19715057, ' 0': -4.5588756, ' even': -2.6746352}
{' Even': -6.41679, ' EVEN': -7.5561085, ' odd': -7.093034, ' 0': -5.7776527, ' even': -0.007798822}
{' Odd': -4.341259, ' 1': -4.0004625, ' odd': -0.049889706, ' 0': -6.322621, ' even': -4.7392926}
{':': -6.2980514, ' Even': -6.5306516, ' odd': -7.2185416, ' 0': -5.5181866, ' even': -0.010543683}
{' Odd': -5.086567, ' 1': -4.2531576, ' "': -6.690769, ' odd': -0.03961932, ' even': -4.329046}
{' odd': -0.14594553, ' even': -2.5396633, ' Odd': -3.707013, ' 0': -4.488085, ':': -4.9355454}
{':': -5.838579, ' Even': -6.356637, ' odd': -6.6481857, ' 0': -4.2802825, ' even': -0.02375291}
{' odd': -0.12063168, ' even': -2.8176377, ' 1': -3.4075491, ' Odd': -4.893519, ' 0': -4.914882}
{' even': -0.080587246, ' 0': -2.760539, ' zero': -5.816915, ' odd': -5.999624, ' Even': -6.0745378}
{' odd': -0.09563241, ' 1': -2.7456071, ' even': -4.1653996, ' Odd': -5.1627593, ' "': -6.8654876}
{' Even': -6.9244967, ' EVEN': -7.803894, ' odd': -7.1416583, ' 0': -5.811691, ' even': -0.006056176}
{' Odd': -5.6880617, ' 1': -4.1723485, ' odd': -0.032096293, ' 0': -6.6565514, ' even': -4.9526687}
{':': -6.528889, ' Even': -6.5393286, ' odd': -6.534256, ' 0': -6.279059, ' even': -0.009016949}
{' Odd': -5.1801844, ' 1': -3.0540838, ' "': -6.2256155, ' odd': -0.069032766, ' even': -5.1046944}
{' Odd': -3.57535, ' 1': -4.494457, ' odd': -0.20377383, ' 0': -3.8377564, ' even': -2.2040644}
{' even': -0.023682782, ' 0': -4.2965527, ':': -5.8178067, ' Even': -6.3141284, ' odd': -6.64576}
{' odd': -0.4378862, ' 1': -1.7045087, ' even': -2.423895, ' 0': -3.0823069, ' Odd': -4.461727}
{' even': -0.008759927, ' 0': -5.8813934, ' Even': -6.2036877, ' odd': -7.0576744, ':': -7.290367}
{' Odd': -4.3551097, ' 1': -3.5317903, ' odd': -0.17749368, ' 0': -4.815632, ' even': -2.2922397}
{':': -6.5498037, ' Even': -6.3526087, ' odd': -6.5382495, ' 0': -6.4936733, ' even': -0.0083182575}
{' Odd': -5.5102262, ' 1': -4.6292934, ' odd': -0.022582244, ' 0': -7.2557855, ' even': -5.2113504}
{' even': -0.011695228, ' 0': -5.832646, ':': -5.9791937, ' Even': -6.3463373, ' odd': -6.7083116}
{' odd': -0.08828308, ' 1': -3.4886508, ' even': -3.8409896, ' Odd': -4.0940785, ':': -5.4414687}
{' Odd': -3.9044883, ':': -4.6045303, ' odd': -0.33375365, ' 0': -3.7322423, ' even': -1.5634003}
{':': -5.0184236, ' Even': -5.321995, ' EVEN': -5.8048024, ' 0': -5.378242, ' even': -0.024581522}
{' Odd': -4.3336453, ' 1': -2.40547, ' odd': -0.23611067, ' 0': -4.0614333, ' even': -2.6846952}
{' Even': -6.6946726, ' odd': -6.9618115, ' 0': -5.082251, ' zero': -7.2040753, ' even': -0.012358271}
{' Odd': -5.0722175, ' 1': -2.0144355, ' odd': -0.16382876, ' 0': -6.416155, ' even': -5.3221145}
{':': -7.640525, ' Even': -6.5878716, ' odd': -6.2453384, ' 0': -6.1075377, ' even': -0.0075980234}
{' odd': -0.02755614, ' 1': -4.3320823, ' Odd': -4.799128, ' even': -5.8458877, ' an': -7.5184636}
{' even': -0.007832523, ':': -6.4504294, ' odd': -6.5091295, ' Even': -6.603599, ' 0': -6.8029337}
{' odd': -0.039215382, ' 1': -4.0869446, ' even': -4.573354, ' Odd': -4.8913255, ' 0': -7.0817237}
{' odd': -0.24159467, ' even': -1.8331587, ' Odd': -3.726316, ' 0': -4.597593, ':': -4.9428105}
{':': -4.721737, ' Even': -5.556694, ' odd': -5.2885437, ' 0': -3.5028985, ' even': -0.059340674}
{' Odd': -4.353651, ' 1': -3.0144053, ' odd': -0.12121871, ' 0': -4.2145033, ' even': -3.4923542}
{' Even': -6.684586, ' odd': -6.4935484, ' 0': -3.4775271, ' zero': -5.983587, ' even': -0.041446403}
{' odd': -0.10901004, ' 1': -3.0689116, ' even': -3.3673737, ' Odd': -4.7162676, ' 0': -5.327789}
{' even': -0.010479351, ' 0': -5.4401326, ' odd': -5.860217, ' Even': -7.0153627, ':': -7.314157}
{' odd': -0.041394714, ' even': -3.7775023, ' Odd': -5.3031163, ' 1': -5.492627, ' uneven': -6.2199326}
{' even': -0.012770399, ':': -5.874157, ' Even': -5.954769, ' an': -6.539356, ' odd': -6.611516}
{' Odd': -5.605485, ' 1': -3.1781619, ' one': -6.334015, ' odd': -0.06706103, ' even': -4.4181867}
{' Odd': -4.610485, ' 1': -3.8657322, ' odd': -0.15158957, ' 0': -4.5033507, ' even': -2.4893286}
{':': -5.6585703, ' Even': -6.1197333, ' odd': -6.3235316, ' 0': -3.9996564, ' even': -0.031275727}
{' odd': -0.1698107, ' 1': -2.807833, ' even': -3.0505977, ' Odd': -4.0107436, ' 0': -4.25804}
{':': -6.2146845, ' Even': -6.1817036, ' 0': -4.047939, ' zero': -5.992464, ' even': -0.029769622}
{' Odd': -4.9528966, ' 1': -4.156588, ' odd': -0.062149778, ' 0': -6.0730834, ' even': -3.50683}
{' even': -0.007823752, ' 0': -5.363175, ' Even': -7.26636, ' odd': -7.2743435, ' an': -8.014847}
{' Odd': -5.194149, ' uneven': -7.1922913, ' 1': -5.314553, ' odd': -0.0207634, ' even': -5.1661158}
{' even': -0.013344509, ' 0': -5.4973845, ':': -6.0815816, ' odd': -6.3462186, ' Even': -6.6244683}
{' Odd': -4.443177, ' 1': -3.1376865, ' "': -6.1707993, ' odd': -0.08014479, ' even': -4.5344443}
{' odd': -0.38869077, ' even': -1.3084725, ' 0': -4.182572, ' Odd': -4.3505654, ':': -4.8293896}
{':': -5.428108, ' Even': -5.628769, ' odd': -5.877973, ' 0': -4.557622, ' even': -0.026800416}
{' Odd': -4.704517, ' 1': -2.771693, ' odd': -0.17071225, ' 0': -3.997401, ' even': -2.8378901}
{':': -6.864596, ' Even': -5.8619356, ' odd': -7.121664, ' 0': -5.8023233, ' even': -0.01054802}
{' Odd': -5.554159, ' 1': -2.6137612, ' odd': -0.107464194, ' 0': -6.619563, ' even': -3.9910777}
{' even': -0.0077798404, ' Even': -6.4189687, ' 0': -6.5139546, ':': -6.616367, ' odd': -6.697673}
{' Odd': -4.492974, ' ': -7.6654143, ' 1': -5.0528245, ' odd': -0.026900893, ' even': -5.17996}
{':': -6.1423955, ' an': -6.6221776, ' Even': -6.176761, ' odd': -6.3632836, ' even': -0.011677316}
{' Odd': -4.635375, ':': -6.5343666, ' 1': -4.3482604, ' odd': -0.044813585, ' even': -4.2403617}
{' Odd': -4.1895223, ':': -4.564467, ' odd': -0.26662794, ' 0': -4.5858855, ' even': -1.700401}
{':': -5.325801, ' Even': -5.3301554, ' odd': -4.7951126, ' 0': -4.285798, ' even': -0.04101676}
{' Odd': -4.552692, ' 1': -3.9096303, ' odd': -0.093289986, ' 0': -5.442365, ' even': -3.08156}
{':': -7.052708, ' Even': -7.038993, ' odd': -6.951226, ' 0': -4.4263225, ' even': -0.017229585}
{' Odd': -5.5592475, ' 1': -1.9087878, ' odd': -0.18877134, ' 0': -6.2809405, ' even': -4.4317217}
{' even': -0.0050297673, ' 0': -6.0248966, ' Even': -7.309132, ' odd': -7.5036454, ' an': -8.229662}
{' odd': -0.038345125, ' 1': -4.236148, ' even': -4.4781995, ' Odd': -4.957506, ' 0': -6.650656}
{' even': -0.011757707, ':': -5.6260066, ' Even': -6.3010464, ' an': -6.664716, ' odd': -6.667124}
{' Odd': -5.318428, ' 1': -3.407005, ' odd': -0.06422149, ' 0': -6.353576, ' even': -4.171727}
{' odd': -0.13206854, ' even': -2.643072, ' Odd': -3.6909769, ':': -4.8547125, ' 0': -4.889044}
{':': -6.230373, ' Even': -6.0298767, ' odd': -6.1559973, ' 0': -4.686374, ' even': -0.01844064}
{' Odd': -4.0739527, ' 1': -3.377217, ' odd': -0.19613267, ' 0': -4.5753164, ' even': -2.292302}
{' Even': -6.052046, ' odd': -6.123849, ' 0': -3.9676228, ' zero': -5.995503, ' even': -0.031499106}
{' Odd': -5.4767604, ' 1': -1.9715749, ' odd': -0.17765063, ' 0': -6.061254, ' even': -4.543056}
{':': -6.9676647, ' Even': -6.14456, ' odd': -6.554918, ' 0': -6.326062, ' even': -0.008871111}
{' Odd': -5.182012, ' 1': -4.34373, ' odd': -0.025150344, ' 0': -7.2717886, ' even': -5.6667886}
{' even': -0.011465607, ' 0': -5.4843907, ' Even': -6.0280437, ':': -6.8344045, ' odd': -6.897829}
{' Odd': -4.778666, ' 1': -3.7373238, ' odd': -0.04849091, ' 0': -6.6772947, ' even': -4.5377903}
{' Odd': -3.6540966, ':': -4.8407345, ' odd': -0.14073794, ' 0': -4.2799625, ' even': -2.6557972}
{' even': -0.01354302, ' 0': -5.7015924, ':': -5.797314, ' Even': -5.9901085, ' odd': -6.095555}
{' odd': -0.13325775, ' even': -2.6197097, ' 1': -3.514482, ' 0': -4.790473, ' Odd': -5.015009}
{' Even': -6.306646, ' odd': -6.5296407, ' 0': -4.4927506, ' zero': -6.9407554, ' even': -0.019260129}
{' odd': -0.21905246, ' 1': -1.8395894, ' even': -3.7451801, ' 0': -5.3564186, ' Odd': -5.443988}
{' an': -7.725723, ' Even': -7.231948, ' odd': -7.4503107, ' 0': -5.959638, ' even': -0.005529325}
{' Odd': -5.2604194, ' 1': -5.4918494, ' "': -7.5002, ' odd': -0.017627282, ' even': -5.3279595}
{' even': -0.009390756, ':': -5.6342144, ' Even': -6.420457, ' odd': -6.886453, ' EVEN': -7.350846}
{' odd': -0.061085526, ' 1': -3.4382074, ' even': -4.565085, ' Odd': -5.0418577, ' "': -6.079146}
{' Odd': -3.862071, ':': -5.0575275, ' odd': -0.13162537, ' 0': -4.952629, ' even': -2.5743773}
{':': -6.264256, ' Even': -6.45122, ' odd': -7.102011, ' 0': -5.105264, ' even': -0.013208848}
{' odd': -0.18282801, ' even': -2.7352333, ' 1': -2.9536486, ' 0': -3.5203762, ' Odd': -4.6329975}
{':': -6.7185736, ' Even': -6.01201, ' odd': -7.160184, ' 0': -5.4244843, ' even': -0.012338115}
{' Odd': -4.4375772, ' 1': -2.8107712, ' odd': -0.17648937, ' 0': -4.736524, ' even': -2.6197495}
{' an': -7.334045, ' Even': -7.1606717, ' odd': -7.07046, ' 0': -6.098156, ' even': -0.005740141}
{' Odd': -5.5119166, ' uneven': -7.522395, ' 1': -5.5409026, ' odd': -0.018434202, ' even': -5.0111127}
{':': -5.797283, ' an': -6.6065764, ' Even': -6.3734174, ' odd': -6.214012, ' even': -0.012971996}
{' Odd': -4.7623725, ' 1': -2.9191053, ' odd': -0.080663554, ' 0': -6.40493, ' even': -4.8779674}
{' Odd': -4.5667114, ' 1': -5.288809, ' odd': -0.31185135, ' 0': -4.281318, ' even': -1.475746}
{' even': -0.012518743, ' 0': -5.551844, ':': -5.883843, ' Even': -6.239175, ' odd': -6.3338866}
{' Odd': -4.729289, ' 1': -2.7721198, ' odd': -0.31586, ' 0': -4.0374403, ' even': -1.8475313}
{' even': -0.020169629, ' 0': -4.4456406, ' odd': -5.707129, ' Even': -6.513308, ' zero': -7.2750945}
{' Odd': -4.3606987, ' 1': -1.905992, ' odd': -0.19805853, ' 0': -5.398668, ' even': -4.901714}
{' even': -0.015374066, ' 0': -4.76864, ' odd': -5.99474, ' Even': -6.407929, ' EVEN': -7.2064953}
{' odd': -0.02974948, ' 1': -4.2975416, ' Odd': -5.056587, ' even': -5.1992383, ' 0': -7.1566095}
{' even': -0.011397842, ':': -5.76058, ' odd': -6.2855353, ' 0': -6.412606, ' Even': -6.6656804}
{' Odd': -4.258922, ' 1': -2.9949248, ' odd': -0.08047549, ' 0': -6.721316, ' even': -4.866033}
{' odd': -0.4228153, ' even': -1.6295176, ' 0': -3.09521, ':': -3.7136564, ' right': -3.9736192}
{':': -5.902137, ' Even': -5.8400407, ' odd': -6.007441, ' 0': -5.1589317, ' even': -0.017430749}
{' odd': -0.11522513, ' even': -2.8437006, ' 1': -3.6612349, ' Odd': -4.6758366, ' 0': -5.409914}
{' Even': -6.3188314, ' odd': -6.6855307, ' 0': -4.398101, ' zero': -6.4629297, ' even': -0.021659223}
{' Odd': -4.8462896, ' 1': -2.216139, ' odd': -0.15892546, ' 0': -5.6185617, ' even': -3.9019475}
{' an': -8.112103, ' Even': -7.4702477, ' odd': -7.5926414, ' 0': -6.3927283, ' even': -0.00401925}
{' Odd': -5.745888, ' 1': -4.350845, ' odd': -0.023663312, ' 0': -7.362351, ' even': -5.597918}
{' even': -0.0053580455, ' 0': -6.6824503, ':': -6.9673805, ' Even': -7.3376293, ' an': -7.4133277}
{' odd': -0.057852272, ' 1': -3.389155, ' Odd': -4.703921, ' even': -4.770641, ' 0': -6.654584}
{' odd': -0.4183751, ' even': -1.2631075, ' 0': -3.9329834, ' Odd': -4.2201576, ':': -4.856223}
{':': -6.005435, ' Even': -6.26508, ' odd': -6.9288692, ' 0': -4.626408, ' even': -0.018746866}
{' odd': -0.29969648, ' 1': -2.0317674, ' even': -2.7032647, ' 0': -3.961736, ' Odd': -4.232155}
{' even': -0.02561223, ' 0': -4.1287985, ' zero': -6.159297, ' odd': -6.4564157, ' Even': -6.67147}
{' odd': -0.21871588, ' 1': -1.7985115, ' even': -4.16461, ' Odd': -5.5507507, ' 0': -5.724878}
{' even': -0.004933803, ' odd': -6.6288095, ' Even': -6.674629, ' 0': -7.2282667, ' EVEN': -7.773142}
{' Odd': -5.440198, ' 1': -4.6108856, ' odd': -0.020228382, ' 0': -7.32361, ' even': -5.7027216}
{' an': -6.9206944, ' Even': -7.175152, ' odd': -7.242756, ' 0': -6.7107515, ' even': -0.006202145}
{' Odd': -4.9770613, ':': -6.153645, ' 1': -4.616499, ' odd': -0.053299103, ' even': -3.5860624}
{' odd': -0.17072031, ' even': -2.2515814, ' 1': -4.2690344, ' 0': -4.285329, ' Odd': -4.312649}
{':': -4.8360806, ' Even': -5.2435164, ' EVEN': -5.8539333, ' 0': -4.5866537, ' even': -0.0334578}
{' Odd': -4.2716327, ' 1': -3.0573852, ' odd': -0.19633183, ' 0': -4.521024, ' even': -2.4262378}
{':': -7.098932, ' Even': -6.003616, ' odd': -6.8235006, ' 0': -5.2550445, ' even': -0.013395187}
{' Odd': -5.464508, ' 1': -2.163983, ' one': -6.1437416, ' odd': -0.15073769, ' even': -4.40869}
{' even': -0.008390382, ' odd': -6.1812983, ' 0': -6.3411107, ' Even': -6.49167, ':': -6.94727}
{' Odd': -4.831795, ' 1': -4.757549, ' "': -7.355651, ' odd': -0.02356518, ' even': -5.5886474}
{' even': -0.032026812, ':': -5.0660777, ' 0': -5.0666203, ' Even': -5.3043, ' odd': -5.642353}
{' odd': -0.08352727, ' 1': -3.4591641, ' even': -3.895416, ' Odd': -4.339746, ' 0': -5.474967}
{' Odd': -3.9545286, ':': -4.509359, ' odd': -0.3105237, ' 0': -4.7146754, ' even': -1.5664213}
{' even': -0.018506516, ' 0': -5.2985654, ' Even': -5.635576, ':': -5.8045173, ' odd': -5.853852}
{' Odd': -4.1970944, ' 1': -2.6733222, ' odd': -0.29119828, ' 0': -3.8911405, ' even': -2.1287894}
{' even': -0.03785076, ' 0': -3.5073845, ' zero': -6.655841, ' odd': -6.8214674, ' Even': -6.8503447}
{' odd': -0.044363994, ' even': -3.803115, ' 1': -4.6343646, ' Odd': -5.167714, ' 0': -6.581598}
{' even': -0.0066162404, ' 0': -5.75988, ' odd': -6.489785, ' Even': -7.4284887, ':': -8.14375}
{' Odd': -5.990412, ' an': -7.6233206, ' 1': -4.6128373, ' odd': -0.019207023, ' even': -5.6428614}
{' even': -0.011884124, ':': -5.5226436, ' Even': -5.8099747, ' EVEN': -6.6326375, ' odd': -6.856755}
{' odd': -0.058915723, ' even': -3.6615155, ' Odd': -4.239884, ' 1': -5.027642, ':': -5.44637}
{' odd': -0.13740303, ' even': -2.4142392, ' Odd': -4.1787505, ' 0': -4.758146, ':': -5.326525}
{' even': -0.01295672, ' 0': -5.4718876, ' Even': -6.1055655, ':': -6.2312775, ' odd': -6.2696104}
{' odd': -0.0941599, ' even': -3.124515, ' 1': -3.7773862, ' Odd': -4.7321343, ' 0': -5.416126}
{' Even': -6.833912, ' odd': -6.4506245, ' 0': -4.3791847, ' zero': -6.882366, ' even': -0.02041178}
{' odd': -0.17750576, ' 1': -2.1984122, ' even': -3.4441223, ' 0': -4.6356764, ' Odd': -5.451256}
{' even': -0.008251126, ' 0': -6.076032, ' odd': -6.1404243, ' Even': -6.8953533, ':': -7.11906}
{' Odd': -4.9173656, ' 1': -4.1229653, ' odd': -0.031019807, ' 0': -7.6618857, ' even': -5.450936}
{' even': -0.029095376, ':': -5.087293, ' 0': -5.301805, ' Even': -5.445599, ' odd': -5.715438}
{' odd': -0.039159283, ' even': -4.387403, ' Odd': -4.4039826, ' 1': -4.9553304, ':': -6.092181}
{' Odd': -4.3991194, ' 1': -4.965003, ' odd': -0.16716605, ' 0': -4.401104, ' even': -2.18796}
{' even': -0.02270894, ' 0': -4.427802, ':': -5.8900924, ' Even': -6.300007, ' odd': -6.3954525}
{' Odd': -4.666315, ' 1': -2.6493752, ' odd': -0.13174748, ' 0': -4.5429754, ' even': -3.6873856}
{' Even': -6.3438177, ' odd': -6.222201, ' 0': -3.3417022, ' zero': -6.5068855, ' even': -0.04622288}
{' Odd': -5.292605, ' 1': -2.3720918, ' one': -6.2414813, ' odd': -0.124570355, ' even': -4.4997783}
{' even': -0.0047049536, ' 0': -6.383024, ' Even': -6.9529495, ' odd': -6.9630365, ' EVEN': -8.021469}
{' odd': -0.028979588, ' Odd': -4.621772, ' 1': -4.8643084, ' even': -4.9181566, ':': -7.5632854}
{' even': -0.009401045, ' 0': -6.008327, ' an': -6.713475, ' odd': -6.7205534, ' Even': -6.8007817}
{' odd': -0.06862814, ' 1': -3.2875724, ' even': -4.215551, ' Odd': -5.2268457, ' 0': -6.433435}
{' Odd': -4.714716, ' 1': -4.762602, ' odd': -0.18200132, ' 0': -4.7694297, ' even': -2.0428352}
{' even': -0.073110856, ' 0': -3.192874, ':': -4.555867, ' odd': -5.2787895, ' Even': -5.4604177}
{' odd': -0.13058615, ' even': -2.742821, ' 1': -3.2872021, ' Odd': -4.776159, ' 0': -5.097828}
{' even': -0.031751074, ' 0': -3.816391, ' odd': -6.169985, ' zero': -6.4534597, ' Even': -6.682574}
{' Odd': -4.0069523, ' 1': -2.6304944, ' odd': -0.16688654, ' 0': -4.460827, ' even': -3.2550955}
{':': -6.7879834, ' Even': -6.468153, ' odd': -5.619722, ' 0': -5.270806, ' even': -0.01463971}
{' Odd': -5.4751472, ' an': -7.5141315, ' 1': -4.619111, ' odd': -0.023829514, ' even': -5.0640774}
{':': -6.1197047, ' Even': -6.137267, ' odd': -6.737215, ' 0': -5.359463, ' even': -0.013656189}
{' Odd': -4.805324, ' 1': -2.7419794, ' "': -5.5951314, ' odd': -0.105909035, ' even': -4.402965}
{' odd': -0.1845649, ' even': -2.229251, ' Odd': -4.030225, ' 0': -4.1706505, ':': -4.6287003}
{' even': -0.009769882, ' 0': -5.6652493, ':': -6.195713, ' Even': -6.374938, ' odd': -7.174035}
{' Odd': -4.974165, ' 1': -3.1488001, ' odd': -0.094742216, ' 0': -5.469434, ' even': -3.5398219}
{':': -6.4009523, ' Even': -6.01353, ' 0': -3.9478157, ' zero': -6.2854996, ' even': -0.030969823}
{' odd': -0.124570355, ' 1': -2.3720918, ' even': -4.4997783, ' Odd': -5.292605, ' one': -6.2414813}
{' an': -7.5297112, ' Even': -7.1338778, ' odd': -6.648519, ' 0': -5.0038595, ' even': -0.01145771}
{' Odd': -5.382851, ' 1': -5.34903, ' "': -7.556208, ' odd': -0.017105946, ' even': -5.481129}
{':': -5.284809, ' Even': -6.004987, ' odd': -6.475097, ' 0': -5.8693466, ' even': -0.017566377}
{' Odd': -5.593937, ' 1': -2.9582028, ' one': -6.217829, ' odd': -0.08482029, ' even': -4.0881276}
{' odd': -0.2123447, ' even': -2.0312133, ' Odd': -3.8687031, ' 0': -4.422548, ':': -4.585091}
{' even': -0.028490264, ' 0': -4.1915226, ':': -5.3318253, ' Even': -6.2569413, ' odd': -6.615591}
{' Odd': -4.2093825, ' 1': -3.1170516, ' odd': -0.14105757, ' 0': -4.9288526, ' even': -2.8671174}
{' Even': -6.6396623, ' odd': -6.366247, ' 0': -4.0006113, ' zero': -6.2125726, ' even': -0.02795055}
{' Odd': -4.6715684, ':': -6.7017, ' 1': -3.728586, ' odd': -0.052659053, ' even': -4.3900847}
{':': -8.271737, ' Even': -7.4529066, ' odd': -7.6705804, ' 0': -5.7565136, ' even': -0.005563969}
{' Odd': -5.068149, ' 1': -4.3675075, ' odd': -0.02803612, ' 0': -7.567118, ' even': -5.207278}
{' even': -0.014211519, ':': -5.8373384, ' odd': -5.911595, ' Even': -5.9620886, ' 0': -6.1694994}
{' odd': -0.08653735, ' 1': -3.1395833, ' even': -3.8986273, ' Odd': -4.659342, ' 0': -5.6897354}
{' Odd': -4.144279, ':': -5.216749, ' odd': -0.124383904, ' 0': -5.0884233, ' even': -2.5467167}
{' even': -0.036936413, ' 0': -4.3628297, ':': -4.9530215, ' Even': -5.285259, ' odd': -5.501345}
{' Odd': -4.2552147, ' 1': -2.9828837, ' odd': -0.17998812, ' 0': -4.260994, ' even': -2.5878117}
{' Even': -6.801564, ' odd': -6.238631, ' 0': -4.1886888, ' zero': -7.1775875, ' even': -0.022218587}
{' Odd': -4.9368334, ' 1': -1.654591, ' odd': -0.2503684, ' 0': -5.440775, ' even': -4.5147705}
{':': -7.2177596, ' Even': -6.497579, ' odd': -6.176426, ' 0': -5.8697214, ' even': -0.009427943}
